"";"AC";"ID";"Description";"Gene";"Go.Cc";"GSC.det";"GSC.aqu";"GSC.det.norm";"GSC.aqu.norm";"ratio";"sqrt.ratio"
"11";"O14979";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";"spliceosomal complex, cytoplasm, nucleus";2;27;0,0298507462686567;0,402985074626866;0,0740740740740741;0,272165526975909
"12";"O15355";"PPM1G_HUMAN";"Protein phosphatase 1G";"PPM1G";"nucleus, cytoplasm";1;33;0,0149253731343284;0,492537313432836;0,0303030303030303;0,174077655955698
"13";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";"eukaryotic translation initiation factor 3 complex, cytosol, extracellular vesicular exosome, eukaryotic 43S preinitiation complex, eukaryotic 48S preinitiation complex";4;26;0,0597014925373134;0,388059701492537;0,153846153846154;0,392232270276368
"14";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";"U12-type spliceosomal complex, nucleolus, nucleus";6;54;0,0895522388059701;0,805970149253731;0,111111111111111;0,333333333333333
"15";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";"cytosol, extracellular vesicular exosome";118;36;1,76119402985075;0,537313432835821;3,27777777777778;1,81046341520004
"16";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";"cytoplasm, nucleus, proteasome complex, cytosol, proteasome accessory complex, nucleoplasm, extracellular vesicular exosome";7;38;0,104477611940299;0,567164179104478;0,184210526315789;0,429197537639476
"17";"O43314";"VIP2_HUMAN";"Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2";"PPIP5K2";"cytosol";4;4;0,0597014925373134;0,0597014925373134;1;1
"18";"O43324";"MCA3_HUMAN";"Eukaryotic translation elongation factor 1 epsilon-1";"EEF1E1";"cytoplasm, nucleus, cytosol";10;9;0,149253731343284;0,134328358208955;1,11111111111111;1,05409255338946
"19";"O43390";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";"cytoplasm, catalytic step 2 spliceosome, spliceosomal complex, ribonucleoprotein complex, nucleus, nucleoplasm";10;66;0,149253731343284;0,985074626865672;0,151515151515152;0,389249472080761
"20";"O43592";"XPOT_HUMAN";"Exportin-T";"XPOT";"cytoplasm, nucleoplasm, nucleus";118;4;1,76119402985075;0,0597014925373134;29,5;5,43139024560011
"21";"O43681";"ASNA_HUMAN";"ATPase ASNA1";"ASNA1";"cytoplasm, extracellular vesicular exosome, nucleolus, endoplasmic reticulum, nucleus";8;18;0,119402985074627;0,26865671641791;0,444444444444444;0,666666666666667
"22";"O43684";"BUB3_HUMAN";"Mitotic checkpoint protein BUB3";"BUB3";"nucleus, kinetochore, cytosol, condensed chromosome kinetochore";1;31;0,0149253731343284;0,462686567164179;0,032258064516129;0,179605302026775
"23";"O43765";"SGTA_HUMAN";"Small glutamine-rich tetratricopeptide repeat-containing protein alpha";"SGTA";"cytoplasm";2;8;0,0298507462686567;0,119402985074627;0,25;0,5
"24";"O43823";"AKAP8_HUMAN";"A-kinase anchor protein 8";"AKAP8";"mitochondrion, female pronucleus, nucleus, condensed chromosome, Golgi apparatus, nuclear matrix";2;11;0,0298507462686567;0,164179104477612;0,181818181818182;0,426401432711221
"25";"O43837";"IDH3B_HUMAN";"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial";"IDH3B";"mitochondrial matrix, mitochondrion";12;20;0,17910447761194;0,298507462686567;0,6;0,774596669241483
"26";"O43852";"CALU_HUMAN";"Calumenin";"CALU";"sarcoplasmic reticulum lumen, Golgi apparatus, melanosome, extracellular region, endoplasmic reticulum";46;20;0,686567164179104;0,298507462686567;2,3;1,51657508881031
"27";"O60502";"NCOAT_HUMAN";"Bifunctional protein NCOAT";"MGEA5";"nucleus, cytoplasm";1;5;0,0149253731343284;0,0746268656716418;0,2;0,447213595499958
"28";"O60506";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";"ribonucleoprotein complex, nucleoplasm, CRD-mediated mRNA stability complex, endoplasmic reticulum, catalytic step 2 spliceosome, nucleus, histone pre-mRNA 3'end processing complex, GAIT complex";12;60;0,17910447761194;0,895522388059702;0,2;0,447213595499958
"29";"O60841";"IF2P_HUMAN";"Eukaryotic translation initiation factor 5B";"EIF5B";"cytosol";4;46;0,0597014925373134;0,686567164179104;0,0869565217391304;0,294883912309794
"30";"O75390";"CISY_HUMAN";"Citrate synthase, mitochondrial";"CS";"mitochondrion, extracellular vesicular exosome, mitochondrial matrix";2;46;0,0298507462686567;0,686567164179104;0,0434782608695652;0,208514414057075
"31";"O75400";"PR40A_HUMAN";"Pre-mRNA-processing factor 40 homolog A";"PRPF40A";"nuclear speck, nuclear matrix, cytoplasm, nucleus";1;9;0,0149253731343284;0,134328358208955;0,111111111111111;0,333333333333333
"32";"O75531";"BAF_HUMAN";"Barrier-to-autointegration factor";"BANF1";"cytosol, chromosome, nucleoplasm";15;13;0,223880597014925;0,194029850746269;1,15384615384615;1,07417231105915
"33";"O76071";"CIAO1_HUMAN";"Probable cytosolic iron-sulfur protein assembly protein CIAO1";"CIAO1";"CIA complex, MMXD complex";16;2;0,238805970149254;0,0298507462686567;8;2,82842712474619
"34";"O76094";"SRP72_HUMAN";"Signal recognition particle 72 kDa protein";"SRP72";"endoplasmic reticulum, cytosol, signal recognition particle, endoplasmic reticulum targeting";9;38;0,134328358208955;0,567164179104478;0,236842105263158;0,486664263392288
"35";"O95104";"SCAF8_HUMAN, SFR15_HUMAN";"Protein SCAF8, Splicing factor, arginine/serine-rich 15";"SCAF4, SCAF8";"nucleus";1;1;0,0149253731343284;0,0149253731343284;1;1
"36";"O95319";"CELF2_HUMAN";"CUGBP Elav-like family member 2";"CELF2";"cytoplasm, nucleus";28;3;0,417910447761194;0,0447761194029851;9,33333333333333;3,05505046330389
"37";"O95347";"SMC2_HUMAN";"Structural maintenance of chromosomes protein 2";"SMC2";"condensin complex, cytoplasm, condensed chromosome, cytosol, extracellular vesicular exosome, nucleus, nuclear chromosome, nucleoplasm";15;33;0,223880597014925;0,492537313432836;0,454545454545455;0,674199862463242
"38";"O95373";"IPO7_HUMAN";"Importin-7";"IPO7";"nuclear pore, cytoplasm";144;26;2,14925373134328;0,388059701492537;5,53846153846154;2,35339362165821
"39";"O95433";"AHSA1_HUMAN";"Activator of 90 kDa heat shock protein ATPase homolog 1";"AHSA1";"endoplasmic reticulum, cytosol, extracellular vesicular exosome, cytoplasm";2;32;0,0298507462686567;0,477611940298507;0,0625;0,25
"40";"O95671";"ASML_HUMAN";"N-acetylserotonin O-methyltransferase-like protein";"ASMTL";"cytoplasm";18;15;0,26865671641791;0,223880597014925;1,2;1,09544511501033
"41";"O95747";"OXSR1_HUMAN";"Serine/threonine-protein kinase OSR1";"OXSR1";"extracellular vesicular exosome, cytoplasm";2;20;0,0298507462686567;0,298507462686567;0,1;0,316227766016838
"42";"O95793";"STAU1_HUMAN";"Double-stranded RNA-binding protein Staufen homolog 1";"STAU1";"cytoplasmic stress granule, neuronal cell body, neuron projection, rough endoplasmic reticulum, cytoplasm, microtubule associated complex, extracellular vesicular exosome";10;8;0,149253731343284;0,119402985074627;1,25;1,11803398874989
"43";"P00338";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";"extracellular vesicular exosome, cytosol, cilium, mitochondrion";7;124;0,104477611940299;1,85074626865672;0,0564516129032258;0,237595481655746
"44";"P00367";"DHE3_HUMAN";"Glutamate dehydrogenase 1, mitochondrial";"GLUD1";"cytoplasm, mitochondrion, mitochondrial matrix";15;43;0,223880597014925;0,641791044776119;0,348837209302326;0,590624423218618
"45";"P00374";"DYR_HUMAN";"Dihydrofolate reductase";"DHFR";"nucleoplasm, cytosol";2;2;0,0298507462686567;0,0298507462686567;1;1
"46";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";"extracellular vesicular exosome, cytosol";59;303;0,880597014925373;4,52238805970149;0,194719471947195;0,441270293524496
"47";"P02545";"LMNA_HUMAN";"Prelamin-A/C";"LMNA";"lamin filament, cytosol, nuclear lamina, nuclear speck, nuclear envelope, perinuclear region of cytoplasm, cytoplasm, nucleus, nucleoplasm, intermediate filament";4;1;0,0597014925373134;0,0149253731343284;4;2
"48";"P02765";"FETUA_HUMAN";"Alpha-2-HS-glycoprotein";"AHSG";"extracellular space, blood microparticle, extracellular region, extracellular vesicular exosome";3;21;0,0447761194029851;0,313432835820896;0,142857142857143;0,377964473009227
"49";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";"actin cytoskeleton, platelet alpha granule lumen, cytosol, extracellular space, extracellular vesicular exosome, extracellular region, I band";1;159;0,0149253731343284;2,37313432835821;0,00628930817610063;0,0793051585718144
"50";"P04181";"OAT_HUMAN";"Ornithine aminotransferase, mitochondrial";"OAT";"mitochondrion, mitochondrial matrix";1;3;0,0149253731343284;0,0447761194029851;0,333333333333333;0,577350269189626
"51";"P04350";"TBB4A_HUMAN";"Tubulin beta-4A chain";"TUBB4A";"cilium, cytosol, myelin sheath, microtubule, internode region of axon, neuronal cell body";1;8;0,0149253731343284;0,119402985074627;0,125;0,353553390593274
"52";"P04908";"H2A1_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-B/E, Histone H2A type 1-C, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A type 3, Histone H2A.J";"H2AFJ, HIST1H2AB,HIST1H2AE, HIST1H2AC, HIST1H2AD, HIST1H2AH, HIST1H2AJ, HIST1H2AM,HIST1H2AL,HIST1H2AG,HIST1H2AI,HIST1H2AK, HIST2H2AA3,HIST2H2AA4, HIST2H2AC, HIST3H2A";"nucleus, extracellular vesicular exosome, nucleosome";8;1;0,119402985074627;0,0149253731343284;8;2,82842712474619
"53";"P05114";"HMGN1_HUMAN";"Non-histone chromosomal protein HMG-14";"HMGN1";"chromatin, cytoplasm, nucleus";4;4;0,0597014925373134;0,0597014925373134;1;1
"54";"P05198";"IF2A_HUMAN";"Eukaryotic translation initiation factor 2 subunit 1";"EIF2S1";"polysome, nucleus, extracellular vesicular exosome, cytoplasmic stress granule, eukaryotic translation initiation factor 2 complex, cytosol";5;31;0,0746268656716418;0,462686567164179;0,161290322580645;0,401609664451249
"55";"P05386";"RLA1_HUMAN";"60S acidic ribosomal protein P1";"RPLP1";"cytosol, cytoplasm, cytosolic large ribosomal subunit";4;5;0,0597014925373134;0,0746268656716418;0,8;0,894427190999916
"56";"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";"extracellular vesicular exosome, cytosolic large ribosomal subunit, cytosol";18;21;0,26865671641791;0,313432835820896;0,857142857142857;0,925820099772551
"57";"P05388";"RLA0_HUMAN";"60S acidic ribosomal protein P0";"RPLP0";"ribonucleoprotein complex, extracellular vesicular exosome, cytoplasm, cytosolic large ribosomal subunit, nucleus, cytosol";39;55;0,582089552238806;0,82089552238806;0,709090909090909;0,842075358320684
"58";"P06454";"PTMA_HUMAN";"Prothymosin alpha";"PTMA";"nucleus";3;27;0,0447761194029851;0,402985074626866;0,111111111111111;0,333333333333333
"59";"P06493";"CDK1_HUMAN";"Cyclin-dependent kinase 1";"CDK1";"cytoplasm, spindle microtubule, cytosol, microtubule organizing center, nucleus, mitochondrion, nucleoplasm, extracellular vesicular exosome, midbody";62;10;0,925373134328358;0,149253731343284;6,2;2,48997991959775
"60";"P06730";"IF4E_HUMAN";"Eukaryotic translation initiation factor 4E";"EIF4E";"cytoplasmic mRNA processing body, cytoplasm, cytosol, extracellular vesicular exosome, chromatoid body, RISC complex, eukaryotic translation initiation factor 4F complex, cytoplasmic stress granule, mRNA cap binding complex";6;17;0,0895522388059701;0,253731343283582;0,352941176470588;0,594088525786005
"61";"P06748";"NPM_HUMAN";"Nucleophosmin";"NPM1";"spindle pole centrosome, centrosome, cytosol, nucleolus, ribonucleoprotein complex, nucleoplasm, nucleus, cytoplasm";43;82;0,641791044776119;1,22388059701493;0,524390243902439;0,72414794338066
"62";"P06899";"H2B1B_HUMAN, H2B1J_HUMAN, H2B1O_HUMAN, H2B2E_HUMAN";"Histone H2B type 1-B, Histone H2B type 1-J, Histone H2B type 1-O, Histone H2B type 2-E";"HIST1H2BB, HIST1H2BJ, HIST1H2BO, HIST2H2BE";"nucleoplasm, nucleosome";4;4;0,0597014925373134;0,0597014925373134;1;1
"63";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";"extracellular vesicular exosome, mitochondrion, cytoplasm, cytosol";17;116;0,253731343283582;1,73134328358209;0,146551724137931;0,382820746744388
"64";"P07203";"GPX1_HUMAN";"Glutathione peroxidase 1";"GPX1";"mitochondrial matrix, cytosol, mitochondrion, nucleus, cytoplasm";2;18;0,0298507462686567;0,26865671641791;0,111111111111111;0,333333333333333
"65";"P07339";"CATD_HUMAN";"Cathepsin D";"CTSD";"extracellular space, lysosomal lumen, mitochondrion, extracellular vesicular exosome, extracellular region, melanosome, lysosome";2;35;0,0298507462686567;0,522388059701492;0,0571428571428571;0,239045721866879
"66";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";"cytosol, cell body, microtubule, nuclear envelope lumen, extracellular vesicular exosome, cytoskeleton";85;78;1,26865671641791;1,16417910447761;1,08974358974359;1,04390784542678
"67";"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";"extracellular vesicular exosome, synapse, nucleus, cytosol, cytoskeleton, neuron projection, blood microparticle";20;90;0,298507462686567;1,34328358208955;0,222222222222222;0,471404520791032
"68";"P07814";"SYEP_HUMAN";"Bifunctional glutamate/proline--tRNA ligase";"EPRS";"ribonucleoprotein complex, cytoplasm, GAIT complex, cytosol";55;142;0,82089552238806;2,11940298507463;0,387323943661972;0,622353551979879
"69";"P07910";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";"spliceosomal complex, extracellular vesicular exosome, catalytic step 2 spliceosome, nucleus, nucleoplasm";32;70;0,477611940298507;1,04477611940298;0,457142857142857;0,676123403782813
"70";"P08107";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";"nucleus, cytosol, blood microparticle, nuclear speck, inclusion body, perinuclear region of cytoplasm, extracellular vesicular exosome, ribonucleoprotein complex, aggresome, endoplasmic reticulum, mitochondrion, cytoplasm";7;57;0,104477611940299;0,850746268656716;0,12280701754386;0,350438322025231
"71";"P08559";"ODPA_HUMAN";"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial";"PDHA1";"mitochondrion, pyruvate dehydrogenase complex, mitochondrial matrix";6;23;0,0895522388059701;0,343283582089552;0,260869565217391;0,510753918455249
"72";"P08670";"VIME_HUMAN";"Vimentin";"VIM";"cell leading edge, cell projection, intermediate filament, intermediate filament cytoskeleton, peroxisome, cytoplasm, extracellular vesicular exosome, cytoskeleton, cytosol";60;35;0,895522388059702;0,522388059701492;1,71428571428571;1,30930734141595
"73";"P08708";"RS17_HUMAN, RS17L_HUMAN";"40S ribosomal protein S17, 40S ribosomal protein S17-like";"RPS17, RPS17L";"ribosome, cytosolic small ribosomal subunit, cytosol";13;42;0,194029850746269;0,626865671641791;0,30952380952381;0,556348640264187
"74";"P09382";"LEG1_HUMAN";"Galectin-1";"LGALS1";"extracellular space, proteinaceous extracellular matrix, cell surface, nucleus, cytoplasm, intracellular";17;24;0,253731343283582;0,358208955223881;0,708333333333333;0,841625411530173
"75";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";"nucleoplasm, condensed chromosome, cell surface, nucleus, extracellular region, extracellular space";25;62;0,373134328358209;0,925373134328358;0,403225806451613;0,635000635000952
"76";"P09651";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";"spliceosomal complex, extracellular vesicular exosome, intermediate filament cytoskeleton, cytoplasm, ribonucleoprotein complex, nucleus, nucleoplasm, catalytic step 2 spliceosome";21;103;0,313432835820896;1,53731343283582;0,203883495145631;0,451534600164407
"77";"P09874";"PARP1_HUMAN";"Poly [ADP-ribose] polymerase 1";"PARP1";"transcription factor complex, nucleus, nucleolus, nuclear envelope, nucleoplasm";16;39;0,238805970149254;0,582089552238806;0,41025641025641;0,640512615220349
"78";"P0C0S5";"H2AV_HUMAN, H2AZ_HUMAN";"Histone H2A.V, Histone H2A.Z";"H2AFV, H2AFZ";"nucleosome, nucleus";6;9;0,0895522388059701;0,134328358208955;0,666666666666667;0,816496580927726
"79";"P11172";"UMPS_HUMAN";"Uridine 5'-monophosphate synthase";"UMPS";"cytoplasm, cytosol, nucleus";3;13;0,0447761194029851;0,194029850746269;0,230769230769231;0,480384461415261
"80";"P11177";"ODPB_HUMAN";"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial";"PDHB";"mitochondrial matrix, pyruvate dehydrogenase complex";22;23;0,328358208955224;0,343283582089552;0,956521739130435;0,978019293843651
"81";"P11310";"ACADM_HUMAN";"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial";"ACADM";"axon, mitochondrial matrix, mitochondrion";11;11;0,164179104477612;0,164179104477612;1;1
"82";"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";"extracellular vesicular exosome, mitochondrion, cytosol";19;126;0,283582089552239;1,88059701492537;0,150793650793651;0,388321581673812
"83";"P11940";"PABP1_HUMAN";"Polyadenylate-binding protein 1";"PABPC1";"ribonucleoprotein complex, cytoplasmic stress granule, catalytic step 2 spliceosome, cytosol, cytoplasm, nucleus";9;61;0,134328358208955;0,91044776119403;0,147540983606557;0,384110639798688
"84";"P12004";"PCNA_HUMAN";"Proliferating cell nuclear antigen";"PCNA";"cytoplasm, extracellular vesicular exosome, nuclear replication fork, PCNA complex, nucleoplasm, nucleus, PCNA-p21 complex, DNA replication factor C complex";4;63;0,0597014925373134;0,940298507462687;0,0634920634920635;0,251976315339485
"85";"P12277";"KCRB_HUMAN";"Creatine kinase B-type";"CKB";"extracellular vesicular exosome, mitochondrion, cytosol";1;33;0,0149253731343284;0,492537313432836;0,0303030303030303;0,174077655955698
"86";"P13010";"XRCC5_HUMAN";"X-ray repair cross-complementing protein 5";"XRCC5";"cytosol, nuclear chromosome, telomeric region, nonhomologous end joining complex, nuclear telomere cap complex, nucleus, nucleoplasm, Ku70:Ku80 complex";48;119;0,716417910447761;1,77611940298507;0,403361344537815;0,635107348829956
"87";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";"polysome, cytosol, extracellular vesicular exosome, ribonucleoprotein complex";64;258;0,955223880597015;3,85074626865672;0,248062015503876;0,498058245091752
"88";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";"extracellular vesicular exosome, cytoplasm, extracellular space, intermediate filament, keratin filament";32;2;0,477611940298507;0,0298507462686567;16;4
"89";"P13667";"PDIA4_HUMAN";"Protein disulfide-isomerase A4";"PDIA4";"cell surface, endoplasmic reticulum, endoplasmic reticulum lumen, melanosome";5;73;0,0746268656716418;1,08955223880597;0,0684931506849315;0,261711961295107
"90";"P13804";"ETFA_HUMAN";"Electron transfer flavoprotein subunit alpha, mitochondrial";"ETFA";"mitochondrion, mitochondrial matrix";48;42;0,716417910447761;0,626865671641791;1,14285714285714;1,0690449676497
"91";"P14314";"GLU2B_HUMAN";"Glucosidase 2 subunit beta";"PRKCSH";"endoplasmic reticulum lumen, intracellular, endoplasmic reticulum";30;58;0,447761194029851;0,865671641791045;0,517241379310345;0,719194952228076
"92";"P14406";"CX7A2_HUMAN";"Cytochrome c oxidase subunit 7A2, mitochondrial";"COX7A2";"mitochondrial respiratory chain";8;3;0,119402985074627;0,0447761194029851;2,66666666666667;1,63299316185545
"93";"P14678";"RSMB_HUMAN";"Small nuclear ribonucleoprotein-associated proteins B and B'";"SNRPB";"U1 snRNP, methylosome, SMN-Sm protein complex, nucleoplasm, cytosol, U4 snRNP, U12-type spliceosomal complex, U7 snRNP, catalytic step 2 spliceosome, small nuclear ribonucleoprotein complex, spliceosomal complex, histone pre-mRNA 3'end processing complex";9;21;0,134328358208955;0,313432835820896;0,428571428571429;0,654653670707977
"94";"P14866";"HNRPL_HUMAN";"Heterogeneous nuclear ribonucleoprotein L";"HNRNPL";"nucleoplasm, ribonucleoprotein complex, extracellular vesicular exosome, cytoplasm, nucleus";13;83;0,194029850746269;1,23880597014925;0,156626506024096;0,395760667606189
"95";"P14868";"SYDC_HUMAN";"Aspartate--tRNA ligase, cytoplasmic";"DARS";"cytoplasm, extracellular vesicular exosome, cytosol";46;72;0,686567164179104;1,07462686567164;0,638888888888889;0,799305253885453
"96";"P15880";"RS2_HUMAN";"40S ribosomal protein S2";"RPS2";"extracellular vesicular exosome, cytosol, nucleoplasm, cytosolic small ribosomal subunit";33;51;0,492537313432836;0,761194029850746;0,647058823529412;0,804399666539844
"97";"P16403";"H12_HUMAN";"Histone H1.2";"HIST1H1C";"nucleus, nucleosome";21;26;0,313432835820896;0,388059701492537;0,807692307692308;0,898717034272917
"98";"P17066";"HSP76_HUMAN";"Heat shock 70 kDa protein 6";"HSPA6";"extracellular vesicular exosome, blood microparticle";0;0;0;0;NA;NA
"99";"P17844";"DDX5_HUMAN";"Probable ATP-dependent RNA helicase DDX5";"DDX5";"catalytic step 2 spliceosome, nucleus, ribonucleoprotein complex, nucleolus, extracellular vesicular exosome";17;42;0,253731343283582;0,626865671641791;0,404761904761905;0,636209010280352
"100";"P17858";"K6PL_HUMAN";"6-phosphofructokinase, liver type";"PFKL";"cytosol, extracellular vesicular exosome, 6-phosphofructokinase complex";33;53;0,492537313432836;0,791044776119403;0,622641509433962;0,789076364767037
"101";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";"extracellular vesicular exosome, microtubule, pericentriolar material, acrosomal vesicle, nuclear heterochromatin, chaperonin-containing T-complex, centrosome, zona pellucida receptor complex, cell body, Golgi apparatus, cytosol";29;103;0,432835820895522;1,53731343283582;0,281553398058252;0,53061605522096
"102";"P18077";"RL35A_HUMAN";"60S ribosomal protein L35a";"RPL35A";"cytosol, extracellular vesicular exosome, cytosolic large ribosomal subunit";27;19;0,402985074626866;0,283582089552239;1,42105263157895;1,19207912135854
"103";"P18124";"RL7_HUMAN";"60S ribosomal protein L7";"RPL7";"cytosolic large ribosomal subunit, ribonucleoprotein complex, cytosol";41;55;0,611940298507463;0,82089552238806;0,745454545454545;0,863397096042456
"104";"P18621";"RL17_HUMAN";"60S ribosomal protein L17";"RPL17";"cytosolic large ribosomal subunit, cytosol";17;33;0,253731343283582;0,492537313432836;0,515151515151515;0,717740562565274
"105";"P18669";"PGAM1_HUMAN";"Phosphoglycerate mutase 1";"PGAM1";"cytoplasm, cytosol, extracellular vesicular exosome";2;78;0,0298507462686567;1,16417910447761;0,0256410256410256;0,160128153805087
"106";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";"nucleolus, extracellular vesicular exosome, nucleus, nucleoplasm, ribonucleoprotein complex, cell cortex";44;142;0,656716417910448;2,11940298507463;0,309859154929577;0,556649939306183
"107";"P19525";"E2AK2_HUMAN";"Interferon-induced, double-stranded RNA-activated protein kinase";"EIF2AK2";"cytoplasm, perinuclear region of cytoplasm, nucleus, cytosol";7;6;0,104477611940299;0,0895522388059701;1,16666666666667;1,08012344973464
"108";"P20042";"IF2B_HUMAN";"Eukaryotic translation initiation factor 2 subunit 2";"EIF2S2";"cytosol, eukaryotic translation initiation factor 2 complex";2;30;0,0298507462686567;0,447761194029851;0,0666666666666667;0,258198889747161
"109";"P20231";"TRYB1_HUMAN, TRYB2_HUMAN";"Tryptase alpha/beta-1, Tryptase beta-2";"TPSAB1, TPSB2";"extracellular region";26;37;0,388059701492537;0,552238805970149;0,702702702702703;0,838273644284909
"110";"P21108";"PRPS1_HUMAN, PRPS3_HUMAN";"Ribose-phosphate pyrophosphokinase 1, Ribose-phosphate pyrophosphokinase 3";"PRPS1, PRPS1L1";NA;3;0;0,0447761194029851;0;Inf;Inf
"111";"P22087";"FBRL_HUMAN";"rRNA 2'-O-methyltransferase fibrillarin";"FBL";"extracellular vesicular exosome, Cajal body, box C/D snoRNP complex, nucleolus, granular component";1;5;0,0149253731343284;0,0746268656716418;0,2;0,447213595499958
"112";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";"extracellular vesicular exosome";15;189;0,223880597014925;2,82089552238806;0,0793650793650794;0,281718084909506
"113";"P22626";"ROA2_HUMAN";"Heterogeneous nuclear ribonucleoproteins A2/B1";"HNRNPA2B1";"spliceosomal complex, cytoplasm, catalytic step 2 spliceosome, ribonucleoprotein complex, nucleoplasm";40;128;0,597014925373134;1,91044776119403;0,3125;0,559016994374947
"114";"P23193";"TCEA1_HUMAN";"Transcription elongation factor A protein 1";"TCEA1";"nucleolus, nucleoplasm, nucleus";6;44;0,0895522388059701;0,656716417910448;0,136363636363636;0,369274472937998
"115";"P23246";"SFPQ_HUMAN";"Splicing factor, proline- and glutamine-rich";"SFPQ";"cytoplasm, nucleus, nucleoplasm, paraspeckles, nuclear matrix";19;90;0,283582089552239;1,34328358208955;0,211111111111111;0,459468291736341
