"";"accession";"name";"go_name"
"11";"P63261";"ACTG_HUMAN";"P:axon guidance, C:myofibril, P:innate immune response, P:sarcomere organization, C:cytoskeleton, F:structural constituent of cytoskeleton, F:ATP binding, P:cell junction assembly, P:adherens junction organization, P:Fc-gamma receptor signaling pathway involved in phagocytosis, P:retina homeostasis, C:cytosol, C:extracellular vesicular exosome, C:blood microparticle, C:filamentous actin"
"12";"P68133";"ACTS_HUMAN";"C:blood microparticle, F:structural constituent of cytoskeleton, P:response to lithium ion, P:response to extracellular stimulus, C:extracellular vesicular exosome, P:response to mechanical stimulus, F:ATP binding, P:skeletal muscle thin filament assembly, C:cytosol, P:skeletal muscle fiber adaptation, P:response to steroid hormone, F:myosin binding, P:cell growth, P:skeletal muscle fiber development, C:striated muscle thin filament, C:stress fiber, C:actin filament, F:ADP binding, P:muscle filament sliding"
"13";"P05141";"ADT2_HUMAN";"P:energy reserve metabolic process, P:negative regulation of mitochondrial outer membrane permeabilization, P:regulation of insulin secretion, C:MMXD complex, C:mitochondrial nucleoid, C:integral component of plasma membrane, P:positive regulation of cell proliferation, P:viral process, P:small molecule metabolic process, P:chromosome segregation, F:adenine transmembrane transporter activity, C:mitochondrial inner membrane"
"14";"Q99996";"AKAP9_HUMAN";"F:receptor binding, C:Golgi apparatus, P:transport, C:voltage-gated potassium channel complex, C:cytosol, F:protein complex scaffold, C:centrosome, P:synaptic transmission, C:pericentriolar material, P:G2/M transition of mitotic cell cycle, P:signal transduction"
"15";"P02768";"ALBU_HUMAN";"F:copper ion binding, P:maintenance of mitochondrion location, P:response to platinum ion, P:sodium-independent organic anion transport, P:lipoprotein metabolic process, P:response to nutrient, F:pyridoxal phosphate binding, C:blood microparticle, P:cellular response to starvation, P:negative regulation of apoptotic process, P:bile acid and bile salt transport, P:response to mercury ion, P:platelet degranulation, P:response to organic substance, F:DNA binding, F:toxic substance binding, P:positive regulation of circadian sleep/wake cycle, non-REM sleep, F:fatty acid binding, F:drug binding, P:transmembrane transport, C:basement membrane, P:retina homeostasis, C:protein complex, F:antioxidant activity, P:bile acid metabolic process, F:zinc ion binding, P:hemolysis by symbiont of host erythrocytes, C:extracellular vesicular exosome, C:platelet alpha granule lumen, P:platelet activation"
"16";"P04075";"ALDOA_HUMAN";"F:fructose binding, C:extracellular space, P:fructose 1,6-bisphosphate metabolic process, P:fructose metabolic process, P:striated muscle contraction, P:glycolysis, C:extracellular vesicular exosome, P:platelet activation, P:gluconeogenesis, P:ATP biosynthetic process, F:identical protein binding, P:regulation of cell shape, P:actin filament organization, C:I band, C:actin cytoskeleton, C:cytosol, F:actin binding, C:platelet alpha granule lumen, P:muscle cell cellular homeostasis, P:protein homotetramerization, F:tubulin binding, F:fructose-bisphosphate aldolase activity, P:platelet degranulation"
"17";"P39687";"AN32A_HUMAN";"C:perinuclear region of cytoplasm, P:transcription, DNA-templated, P:mRNA metabolic process, P:gene expression, C:nucleoplasm, C:endoplasmic reticulum, P:intracellular signal transduction, P:regulation of transcription, DNA-templated, P:nucleocytoplasmic transport"
"18";"P07355";"ANXA2_HUMAN";"C:extracellular vesicular exosome, P:positive regulation of fibroblast proliferation, C:cell surface, C:myelin sheath adaxonal region, P:positive regulation of binding, F:calcium ion binding, C:melanosome, P:membrane budding, C:midbody, C:lipid particle, C:extracellular space, C:Schmidt-Lanterman incisure, P:fibrinolysis, C:protein complex, C:extrinsic component of plasma membrane, F:calcium-dependent phospholipid binding, F:phospholipase A2 inhibitor activity, P:positive regulation of vesicle fusion, C:macropinosome, P:collagen fibril organization, P:osteoclast development, P:angiogenesis, P:protein targeting to plasma membrane, P:cellular response to acid, C:basement membrane, P:protein heterotetramerization, P:membrane raft assembly, P:body fluid secretion, C:ruffle, C:perinuclear region of cytoplasm, F:phosphatidylinositol-4,5-bisphosphate binding, C:sarcolemma, C:early endosome, C:cell cortex, P:positive regulation of protein phosphorylation"
"19";"P05089";"ARGI1_HUMAN";"P:cellular response to transforming growth factor beta stimulus, P:positive regulation of endothelial cell proliferation, P:response to amine, P:cellular response to glucagon stimulus, P:cellular response to hydrogen peroxide, C:neuron projection, P:response to selenium ion, C:extracellular space, F:arginase activity, P:mammary gland involution, P:response to herbicide, P:response to methylmercury, P:response to manganese ion, P:urea cycle, P:response to drug, P:cellular response to interleukin-4, P:response to zinc ion, P:arginine catabolic process, P:response to axon injury, C:cytosol, C:neuronal cell body, P:regulation of L-arginine import, P:maternal process involved in female pregnancy, P:lung development, P:response to cadmium ion, P:protein homotrimerization, P:cellular response to dexamethasone stimulus, P:response to vitamin E, P:collagen biosynthetic process, P:response to amino acid, P:liver development, F:manganese ion binding, P:cellular response to lipopolysaccharide, P:response to vitamin A"
"20";"P24539";"AT5F1_HUMAN";"P:substantia nigra development, P:respiratory electron transport chain, C:mitochondrial matrix, F:proton-transporting ATP synthase activity, rotational mechanism, P:mitochondrial ATP synthesis coupled proton transport, C:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"21";"P18859";"ATP5J_HUMAN";"P:ATP catabolic process, F:transmembrane transporter activity, P:respiratory electron transport chain, C:mitochondrial proton-transporting ATP synthase complex, P:mitochondrial ATP synthesis coupled proton transport, F:hydrogen ion transmembrane transporter activity, C:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o), P:substantia nigra development"
"22";"P25705";"ATPA_HUMAN";"C:mitochondrial matrix, F:MHC class I protein binding, C:plasma membrane, P:lipid metabolic process, F:ATP binding, P:negative regulation of endothelial cell proliferation, F:proton-transporting ATPase activity, rotational mechanism, P:ATP hydrolysis coupled proton transport, P:respiratory electron transport chain, P:embryo development, C:mitochondrial proton-transporting ATP synthase complex, P:mitochondrial ATP synthesis coupled proton transport, C:proton-transporting ATP synthase complex, catalytic core F(1), C:extracellular vesicular exosome, F:proton-transporting ATP synthase activity, rotational mechanism"
"23";"P06576";"ATPB_HUMAN";"P:ATP hydrolysis coupled proton transport, F:MHC class I protein binding, P:lipid metabolic process, F:ATP binding, C:mitochondrial nucleoid, C:cell surface, P:mitochondrial ATP synthesis coupled proton transport, P:negative regulation of cell adhesion involved in substrate-bound cell migration, C:mitochondrial proton-transporting ATP synthase, catalytic core, P:respiratory electron transport chain, F:proton-transporting ATP synthase activity, rotational mechanism, P:angiogenesis, F:proton-transporting ATPase activity, rotational mechanism, C:extracellular vesicular exosome, C:plasma membrane, P:regulation of intracellular pH"
"24";"P30049";"ATPD_HUMAN";"P:oxidative phosphorylation, C:mitochondrial proton-transporting ATP synthase complex, catalytic core F(1), F:proton-transporting ATP synthase activity, rotational mechanism, F:transmembrane transporter activity, C:mitochondrial matrix, P:mitochondrial ATP synthesis coupled proton transport, P:response to copper ion, P:ATP catabolic process, F:proton-transporting ATPase activity, rotational mechanism, P:respiratory electron transport chain"
"25";"Q13867";"BLMH_HUMAN";"F:carboxypeptidase activity, P:response to toxic substance, C:nucleus, F:cysteine-type endopeptidase activity, C:cytosol, P:antigen processing and presentation of peptide antigen via MHC class I, P:proteolysis, P:protein polyubiquitination, F:aminopeptidase activity, P:response to drug, C:extracellular vesicular exosome"
"26";"P27797";"CALR_HUMAN";"F:unfolded protein binding, P:cell cycle arrest, C:endocytic vesicle lumen, P:positive regulation of gene expression, P:protein localization to nucleus, P:protein export from nucleus, P:negative regulation of transcription from RNA polymerase II promoter, F:protein binding involved in protein folding, P:chaperone-mediated protein folding, P:response to testosterone, P:peptide antigen assembly with MHC class I protein complex, F:zinc ion binding, F:hormone binding, C:acrosomal vesicle, P:regulation of meiosis, P:negative regulation of translation, F:mRNA binding, C:nucleus, P:cardiac muscle cell differentiation, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:cytosol, P:positive regulation of cell cycle, C:extracellular space, C:endoplasmic reticulum lumen, C:perinuclear region of cytoplasm, P:activation of signaling protein activity involved in unfolded protein response, F:chaperone binding, P:response to estradiol, C:Golgi apparatus, P:protein maturation by protein folding, P:cellular senescence, P:positive regulation of DNA replication, C:external side of plasma membrane, P:response to drug, P:positive regulation of dendritic cell chemotaxis, F:complement component C1q binding, P:positive regulation of cell proliferation, P:post-translational protein modification, F:iron ion binding, F:androgen receptor binding, P:protein N-linked glycosylation via asparagine, P:positive regulation of substrate adhesion-dependent cell spreading, C:sarcoplasmic reticulum lumen, P:negative regulation of retinoic acid receptor signaling pathway, C:proteinaceous extracellular matrix, F:carbohydrate binding, P:negative regulation of intracellular steroid hormone receptor signaling pathway, C:polysome, F:calcium ion binding, F:DNA binding, P:cortical actin cytoskeleton organization, P:sequestering of calcium ion, C:MHC class I peptide loading complex, P:protein stabilization, P:positive regulation of phagocytosis, P:cellular response to lithium ion, C:extracellular vesicular exosome, P:spermatogenesis, F:peptide binding, C:cell surface, P:regulation of apoptotic process, P:glucocorticoid receptor signaling pathway, P:negative regulation of neuron differentiation, C:integral component of lumenal side of endoplasmic reticulum membrane"
"27";"P27824";"CALX_HUMAN";"P:aging, C:melanosome, P:protein secretion, C:endoplasmic reticulum lumen, C:dendritic spine, P:chaperone-mediated protein folding, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, P:protein N-linked glycosylation via asparagine, F:calcium ion binding, P:clathrin-mediated endocytosis, C:protein complex, C:neuronal cell body, C:ribosome, C:dendrite cytoplasm, P:synaptic vesicle endocytosis, C:integral component of lumenal side of endoplasmic reticulum membrane, P:post-translational protein modification, P:protein folding, P:antigen processing and presentation of peptide antigen via MHC class I, C:axon"
"28";"P31944";"CASPE_HUMAN";"C:keratin filament, F:cysteine-type endopeptidase activity, C:nucleus, P:cornification, P:proteolysis, C:cytoplasm, P:apoptotic process"
"29";"P04040";"CATA_HUMAN";"P:kidney development, P:response to hypoxia, F:NADP binding, P:cholesterol metabolic process, C:endoplasmic reticulum, P:hemoglobin metabolic process, C:peroxisomal matrix, F:aminoacylase activity, P:negative regulation of apoptotic process, P:positive regulation of NF-kappaB transcription factor activity, F:catalase activity, P:response to hyperoxia, P:hydrogen peroxide catabolic process, P:negative regulation of NF-kappaB transcription factor activity, F:protein homodimerization activity, P:triglyceride metabolic process, F:metal ion binding, C:Golgi apparatus, C:lysosome, P:positive regulation of phosphatidylinositol 3-kinase signaling, C:cytosol, P:UV protection, P:cellular response to growth factor stimulus, C:peroxisomal membrane, P:aerobic respiration, P:ureteric bud development, P:response to vitamin E, F:heme binding, P:positive regulation of cell division, P:protein homotetramerization, P:menopause, P:purine nucleobase metabolic process, C:mitochondrial intermembrane space, C:plasma membrane, P:purine nucleotide catabolic process"
"30";"P10809";"CH60_HUMAN";"P:B cell proliferation, P:positive regulation of T cell activation, C:coated vesicle, P:MyD88-dependent toll-like receptor signaling pathway, C:mitochondrial matrix, P:positive regulation of interleukin-10 production, F:single-stranded DNA binding, P:positive regulation of macrophage activation, F:DNA replication origin binding, C:extracellular vesicular exosome, P:positive regulation of interleukin-6 production, C:mitochondrial inner membrane, C:cell surface, C:early endosome, C:plasma membrane, P:protein maturation, P:'de novo' protein folding, P:positive regulation of interferon-gamma production, C:secretory granule, F:ATPase activity, P:positive regulation of interleukin-12 production, P:T cell activation, P:response to unfolded protein, P:protein stabilization, C:lipopolysaccharide receptor complex, F:lipopolysaccharide binding, F:unfolded protein binding, P:positive regulation of apoptotic process, C:coated pit, F:double-stranded RNA binding, C:extracellular space, P:viral process, P:chaperone-mediated protein complex assembly, P:activation of cysteine-type endopeptidase activity involved in apoptotic process, P:isotype switching to IgG isotypes, F:ATP binding, P:positive regulation of interferon-alpha production, P:B cell cytokine production, P:negative regulation of apoptotic process, C:cytosol, P:positive regulation of T cell mediated immune response to tumor cell, P:protein refolding"
"31";"Q00610";"CLH1_HUMAN";"C:cytosol, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, C:clathrin complex, C:spindle, C:mitochondrion, C:melanosome, F:double-stranded RNA binding, P:post-Golgi vesicle-mediated transport, P:mitosis, C:trans-Golgi network membrane, C:extracellular vesicular exosome, P:receptor internalization, C:clathrin coat of coated pit, F:structural molecule activity, P:transferrin transport, C:clathrin coat of trans-Golgi network vesicle, C:clathrin-coated endocytic vesicle membrane, P:intracellular protein transport"
"32";"P02452";"CO1A1_HUMAN";"C:extracellular space, P:embryonic skeletal system development, P:cellular response to retinoic acid, P:response to hydrogen peroxide, P:positive regulation of transcription, DNA-templated, P:collagen catabolic process, P:face morphogenesis, P:collagen fibril organization, P:cellular response to transforming growth factor beta stimulus, P:positive regulation of cell migration, P:response to estradiol, P:cartilage development involved in endochondral bone morphogenesis, P:skin morphogenesis, C:collagen type I, P:leukocyte migration, P:platelet activation, P:visual perception, P:intramembranous ossification, P:endochondral ossification, F:identical protein binding, P:protein transport, P:bone trabecula formation, P:sensory perception of sound, F:platelet-derived growth factor binding, P:cellular response to amino acid stimulus, P:osteoblast differentiation, P:blood vessel development, P:tooth mineralization, P:protein localization to nucleus, C:endoplasmic reticulum lumen, P:response to peptide hormone, P:cellular response to mechanical stimulus, F:extracellular matrix structural constituent, P:extracellular matrix disassembly, P:response to cAMP, F:metal ion binding, P:protein heterotrimerization, P:response to nutrient, P:response to corticosteroid, P:collagen biosynthetic process, P:positive regulation of epithelial to mesenchymal transition, P:negative regulation of cell-substrate adhesion, P:positive regulation of canonical Wnt signaling pathway"
"33";"P08123";"CO1A2_HUMAN";"P:Rho protein signal transduction, P:blood vessel development, C:extracellular space, P:collagen fibril organization, C:extracellular vesicular exosome, F:identical protein binding, P:platelet activation, F:extracellular matrix structural constituent, P:skeletal system development, P:collagen catabolic process, P:cellular response to amino acid stimulus, C:endoplasmic reticulum lumen, F:protein binding, bridging, P:skin morphogenesis, C:collagen type I, F:platelet-derived growth factor binding, P:protein heterotrimerization, P:odontogenesis, P:extracellular matrix disassembly, P:regulation of blood pressure, P:leukocyte migration, F:metal ion binding, P:transforming growth factor beta receptor signaling pathway"
"34";"P23528";"COF1_HUMAN";"P:negative regulation of apoptotic process, P:platelet activation, C:ruffle membrane, C:extracellular space, C:cytoplasm, P:response to amino acid, P:protein phosphorylation, P:neural crest cell migration, P:Rho protein signal transduction, P:neural fold formation, C:extracellular vesicular exosome, C:nucleus, P:axon guidance, P:actin filament depolymerization, P:establishment of cell polarity, C:cortical actin cytoskeleton, P:actin cytoskeleton organization, P:platelet degranulation, P:negative regulation of cell size, P:Fc-gamma receptor signaling pathway involved in phagocytosis, P:positive regulation of actin filament depolymerization, C:lamellipodium membrane, P:response to virus, P:innate immune response, P:protein import into nucleus, C:nuclear matrix, P:regulation of cell morphogenesis"
"35";"P31146";"COR1A_HUMAN";"P:homeostasis of number of cells within a tissue, C:phagocytic cup, P:leukocyte chemotaxis, P:T cell homeostasis, P:positive chemotaxis, C:immunological synapse, P:cell-substrate adhesion, C:phagocytic vesicle, P:phagolysosome assembly, P:calcium ion transport, P:positive regulation of T cell proliferation, P:negative regulation of actin nucleation, P:regulation of cell shape, P:actin filament organization, F:protein homodimerization activity, P:positive regulation of cell migration, F:actin filament binding, C:extracellular vesicular exosome, P:uropod organization, P:cellular response to interleukin-4, C:phagocytic vesicle membrane, F:phosphatidylinositol 3-kinase binding, P:regulation of actin filament polymerization, C:cortical actin cytoskeleton, C:lamellipodium, P:actin cytoskeleton organization, C:actin filament, P:innate immune response"
"36";"P20674";"COX5A_HUMAN";"C:mitochondrial inner membrane, F:electron carrier activity, F:cytochrome-c oxidase activity, F:metal ion binding, P:small molecule metabolic process, P:respiratory electron transport chain"
"37";"P14406";"CX7A2_HUMAN";"P:oxidation-reduction process, F:electron carrier activity, P:hydrogen ion transmembrane transport, F:cytochrome-c oxidase activity, C:mitochondrial respiratory chain"
"38";"O43169";"CYB5B_HUMAN";"C:mitochondrial outer membrane, F:heme binding, C:integral component of membrane, F:metal ion binding, P:oxidation-reduction process"
"39";"P01040";"CYTA_HUMAN";"F:protein binding, bridging, P:peptide cross-linking, C:cornified envelope, P:keratinocyte differentiation, F:structural molecule activity, C:cytoplasm, P:cell-cell adhesion, C:nucleus, F:cysteine-type endopeptidase inhibitor activity"
"40";"P81605";"DCD_HUMAN";"P:proteolysis, P:killing of cells of other organism, P:defense response to fungus, C:extracellular vesicular exosome, F:peptidase activity, P:defense response to bacterium"
"41";"Q92841";"DDX17_HUMAN";"C:nucleus, P:regulation of skeletal muscle cell differentiation, P:RNA processing, C:nucleolus, F:RNA helicase activity, F:estrogen receptor binding, F:ATP binding, F:transcription coactivator activity, P:transcription, DNA-templated, F:ATP-dependent helicase activity, P:positive regulation of transcription from RNA polymerase II promoter, P:positive regulation of intracellular estrogen receptor signaling pathway, F:RNA binding, F:RNA-dependent ATPase activity"
"42";"O00571";"DDX3X_HUMAN";"P:chromosome segregation, P:positive regulation of translational initiation, F:ATP binding, P:negative regulation of protein complex assembly, P:cellular response to arsenic-containing substance, P:positive regulation of transcription from RNA polymerase II promoter, P:positive regulation of interferon-beta production, F:eukaryotic initiation factor 4E binding, P:negative regulation of cell growth, F:poly(A) RNA binding, P:positive regulation of apoptotic process, F:transcription factor binding, P:positive regulation of cell growth, C:mitochondrial outer membrane, P:negative regulation of translation, F:ATP-dependent DNA helicase activity, P:positive regulation of chemokine (C-C motif) ligand 5 production, C:cytoplasmic stress granule, F:mRNA 5'-UTR binding, P:negative regulation of cysteine-type endopeptidase activity involved in apoptotic process, P:RNA secondary structure unwinding, F:RNA stem-loop binding, F:ATP-dependent RNA helicase activity, P:viral process, P:positive regulation of cysteine-type endopeptidase activity involved in apoptotic process, P:transcription, DNA-templated, P:extrinsic apoptotic signaling pathway via death domain receptors, P:response to virus, P:negative regulation of apoptotic process, C:extracellular vesicular exosome, P:innate immune response, F:ribosomal small subunit binding, P:cellular response to osmotic stress, P:negative regulation of intrinsic apoptotic signaling pathway, C:nucleus, P:stress granule assembly, P:positive regulation of G1/S transition of mitotic cell cycle, P:intrinsic apoptotic signaling pathway, P:mature ribosome assembly, F:DNA binding, C:nuclear speck"
"43";"P17844";"DDX5_HUMAN";"P:regulation of viral genome replication, P:mRNA splicing, via spliceosome, P:positive regulation of transcription from RNA polymerase II promoter, P:regulation of skeletal muscle cell differentiation, F:ATP-dependent RNA helicase activity, P:circadian rhythm, F:RNA helicase activity, P:regulation of androgen receptor signaling pathway, F:androgen receptor binding, F:pre-mRNA binding, P:regulation of osteoblast differentiation, P:regulation of alternative mRNA splicing, via spliceosome, P:intrinsic apoptotic signaling pathway by p53 class mediator, F:estrogen receptor binding, P:in utero embryonic development, C:catalytic step 2 spliceosome, C:extracellular vesicular exosome, P:ATP catabolic process, P:negative regulation of transcription from RNA polymerase II promoter, P:cell growth, C:nucleolus, F:transcription coactivator activity, F:ATP binding, P:positive regulation of DNA damage response, signal transduction by p53 class mediator, P:positive regulation of intracellular estrogen receptor signaling pathway, P:transcription, DNA-templated"
"44";"P15924";"DESP_HUMAN";"C:desmosome, C:plasma membrane, C:fascia adherens, C:extracellular vesicular exosome, P:wound healing, C:mitochondrion, P:desmosome organization, P:peptide cross-linking, C:cornified envelope, P:cell-cell adhesion, P:adherens junction organization, P:ventricular cardiac muscle cell action potential, C:intercalated disc, P:ventricular compact myocardium morphogenesis, P:protein localization to adherens junction, P:keratinocyte differentiation, F:structural constituent of cytoskeleton, C:intermediate filament, C:basolateral plasma membrane, P:intermediate filament organization, P:bundle of His cell to Purkinje myocyte communication, F:protein binding, bridging, P:regulation of heart rate by cardiac conduction, P:cellular component disassembly involved in execution phase of apoptosis"
"45";"Q08211";"DHX9_HUMAN";"P:innate immune response, P:positive regulation of type I interferon production, P:cellular response to heat, C:CRD-mediated mRNA stability complex, C:ribonucleoprotein complex, C:nucleoplasm, F:ATP-dependent DNA helicase activity, P:CRD-mediated mRNA stabilization, P:mRNA splicing, via spliceosome, F:ATP binding, F:DNA binding, C:cytosol, C:centrosome, F:RNA binding, F:ATP-dependent RNA helicase activity, C:nucleolus, P:circadian rhythm"
"46";"Q08554";"DSC1_HUMAN";"C:integral component of membrane, C:membrane, C:gap junction, F:calcium ion binding, C:plasma membrane, P:homophilic cell adhesion, C:desmosome"
"47";"Q02413";"DSG1_HUMAN";"C:apical plasma membrane, C:cytoplasmic side of plasma membrane, P:protein stabilization, F:toxic substance binding, P:homophilic cell adhesion, P:maternal process involved in female pregnancy, C:cytosol, P:calcium-dependent cell-cell adhesion, C:integral component of membrane, F:calcium ion binding, C:desmosome, C:lateral plasma membrane, P:cellular component disassembly involved in execution phase of apoptosis, P:cell-cell junction assembly, P:response to progesterone"
"48";"O00148";"DX39A_HUMAN";"C:nucleus, C:cytoplasm, P:mRNA export from nucleus, F:ATP binding, P:mRNA splicing, via spliceosome, P:ATP catabolic process, F:ATP-dependent helicase activity, F:nucleic acid binding"
"49";"Q16610";"ECM1_HUMAN";"C:extracellular space, P:negative regulation of bone mineralization, C:proteinaceous extracellular matrix, P:regulation of type 2 immune response, P:positive regulation of angiogenesis, F:signal transducer activity, P:ossification, P:regulation of T cell migration, P:regulation of transcription from RNA polymerase II promoter, C:extracellular vesicular exosome, P:negative regulation of cytokine-mediated signaling pathway, P:biomineral tissue development, P:positive regulation of I-kappaB kinase/NF-kappaB signaling, P:angiogenesis, P:positive regulation of endothelial cell proliferation, P:negative regulation of peptidase activity, P:inflammatory response"
"50";"P68104";"EF1A1_HUMAN";"C:extracellular space, P:transcription, DNA-templated, C:eukaryotic translation elongation factor 1 complex, C:nucleus, F:translation elongation factor activity, C:cytosol, F:GTP binding, C:plasma membrane, F:GTPase activity, C:extracellular vesicular exosome, P:GTP catabolic process, P:regulation of transcription, DNA-templated"
"51";"P29692";"EF1D_HUMAN";"C:nucleus, F:signal transducer activity, P:positive regulation of I-kappaB kinase/NF-kappaB signaling, F:DNA binding, P:translational elongation, P:regulation of transcription, DNA-templated, P:transcription, DNA-templated, F:translation elongation factor activity, F:translation factor activity, nucleic acid binding, C:eukaryotic translation elongation factor 1 complex, C:cytosol"
"52";"P13639";"EF2_HUMAN";"C:polysome, F:GTPase activity, P:positive regulation of gene expression, C:ribonucleoprotein complex, F:GTP binding, F:translation activator activity, P:translational elongation, C:extracellular vesicular exosome, F:translation elongation factor activity, C:cytosol"
"53";"P49411";"EFTU_HUMAN";"F:translation elongation factor activity, F:GTPase activity, C:mitochondrial nucleoid, C:extracellular vesicular exosome, P:GTP catabolic process, F:GTP binding"
