"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5572"	"spectra.count.P5572"	"dNSAF.P5572"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"P38646"	"P38646"	"GRP75_HUMAN"	"Stress-70 protein, mitochondrial"	"HSPA9"	17	29	0.00332535211250482	17	29	0.00421062853329723	0	"protein targeting to mitochondrion;protein export from nucleus;cellular protein metabolic process;negative regulation of apoptotic process;protein folding"	"mitochondrial nucleoid;nucleolus;cell surface"	"ATP binding;unfolded protein binding"
"P14625"	"P14625"	"ENPL_HUMAN"	"Endoplasmin"	"HSP90B1"	20	33	0.0033496747384458	20	33	0.00424142633735735	3	"negative regulation of apoptotic process;innate immune response;regulation of phosphoprotein phosphatase activity;toll-like receptor signaling pathway;actin rod assembly;protein folding;cellular response to ATP;response to hypoxia;ER-associated protein catabolic process;activation of signaling protein activity involved in unfolded protein response;sequestering of calcium ion;protein transport"	"cytosol;perinuclear region of cytoplasm;plasma membrane;extracellular region;endocytic vesicle lumen;endoplasmic reticulum lumen;endoplasmic reticulum membrane;melanosome;midbody"	"protein phosphatase binding;calcium ion binding;virion binding;low-density lipoprotein particle receptor binding;RNA binding;ATP binding"
"P22695"	"P22695"	"QCR2_HUMAN"	"Cytochrome b-c1 complex subunit 2, mitochondrial"	"UQCRC2"	16	31	0.00532810661613107	16	31	0.00674655705239959	0	"proteolysis;respiratory electron transport chain;small molecule metabolic process;aerobic respiration;oxidative phosphorylation"	"mitochondrial inner membrane;mitochondrial respiratory chain complex III"	"metalloendopeptidase activity;metal ion binding"
"P29401"	"P29401"	"TKT_HUMAN"	"Transketolase"	"TKT"	16	24	0.00299938772487843	16	24	0.00379788579059123	0	"pentose-phosphate shunt;energy reserve metabolic process;regulation of growth;xylulose biosynthetic process;glyceraldehyde-3-phosphate biosynthetic process"	"peroxisome;nucleus;cytosol"	"metal ion binding;cofactor binding;transketolase activity;protein homodimerization activity"
"P17844"	"P17844"	"DDX5_HUMAN"	"Probable ATP-dependent RNA helicase DDX5"	"DDX5"	15	24	0.00405648096693686	15	24	0.0051363987711051	14	"positive regulation of intracellular estrogen receptor signaling pathway;transcription;circadian rhythm;cell growth;regulation of viral genome replication;regulation of alternative mRNA splicing;regulation of androgen receptor signaling pathway;in utero embryonic development;regulation of skeletal muscle cell differentiation;negative regulation of transcription from RNA polymerase II promoter;positive regulation of DNA damage response;intrinsic apoptotic signaling pathway by p53 class mediator;regulation of osteoblast differentiation;positive regulation of transcription from RNA polymerase II promoter;mRNA splicing"	"catalytic step 2 spliceosome;nucleolus"	"androgen receptor binding;ATP-dependent RNA helicase activity;transcription coactivator activity;estrogen receptor binding;RNA helicase activity;ATP binding;pre-mRNA binding"
"P33991"	"P33991"	"MCM4_HUMAN"	"DNA replication licensing factor MCM4"	"MCM4"	15	21	0.00189460166109427	15	21	0.00239898318840793	0	"DNA unwinding involved in DNA replication;DNA strand elongation involved in DNA replication;DNA replication initiation;G1/S transition of mitotic cell cycle"	"nucleoplasm;MCM complex"	"single-stranded DNA binding;ATP binding;DNA helicase activity"
"P39019"	"P39019"	"RS19_HUMAN"	"40S ribosomal protein S19"	"RPS19"	15	34	0.0182566180426364	15	34	0.0231169013839952	0	"translational elongation;protein tetramerization;nuclear-transcribed mRNA catabolic process;monocyte chemotaxis;ribosomal small subunit assembly;translational termination;erythrocyte differentiation;maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA;response to extracellular stimulus;translational initiation;negative regulation of respiratory burst involved in inflammatory response;nucleolus organization;SRP-dependent cotranslational protein targeting to membrane;positive regulation of respiratory burst involved in inflammatory response;positive regulation of cellular component movement;viral transcription"	"cytosolic small ribosomal subunit;nucleolus"	"structural constituent of ribosome;protein homodimerization activity"
"P35232"	"P35232"	"PHB_HUMAN"	"Prohibitin"	"PHB"	14	30	0.00858740143657748	14	30	0.0108735424978784	0	"cellular response to interleukin-6;negative regulation of transcription by competitive promoter binding;positive regulation of transcription;negative regulation of cell growth;DNA biosynthetic process;histone deacetylation;progesterone receptor signaling pathway;negative regulation of androgen receptor signaling pathway;regulation of apoptotic process;negative regulation of glucocorticoid receptor signaling pathway;DNA replication;negative regulation of cell proliferation;negative regulation of transcription from RNA polymerase II promoter"	"integral to plasma membrane;mitochondrial inner membrane;nucleoplasm"	"sequence-specific DNA binding RNA polymerase II transcription factor activity;transcription regulatory region DNA binding"
"Q15233"	"Q15233"	"NONO_HUMAN"	"Non-POU domain-containing octamer-binding protein"	"NONO"	14	29	0.00496207885346801	14	29	0.00628308524872129	2	"regulation of transcription;DNA repair;transcription;DNA recombination;mRNA processing;RNA splicing"	"paraspeckles;nuclear speck;nuclear matrix;nucleolus"	"nucleotide binding;DNA binding;RNA binding"
"P49411"	"P49411"	"EFTU_HUMAN"	"Elongation factor Tu, mitochondrial"	"TUFM"	13	22	0.00378960252186428	13	22	0.00479847185157111	0	"GTP catabolic process"	"mitochondrial nucleoid"	"GTPase activity;translation elongation factor activity;GTP binding"
"P49790"	"P49790"	"NU153_HUMAN"	"Nuclear pore complex protein Nup153"	"NUP153"	13	14	0.000739001687468634	13	14	0.000935738979252449	0	"negative regulation of RNA export from nucleus;nuclear pore complex assembly;cytokine-mediated signaling pathway;carbohydrate metabolic process;small molecule metabolic process;modulation by virus of host morphology or physiology;regulation of glucose transport;viral process;glucose transport;viral penetration into host nucleus;mRNA transport;protein transport;transmembrane transport;viral entry into host cell;mitotic nuclear envelope disassembly"	"nuclear membrane;cytoplasm;nuclear pore nuclear basket;nuclear inclusion body;nuclear periphery;nucleoplasm;nucleolus"	"structural constituent of nuclear pore;protein anchor;DNA binding;zinc ion binding;nucleocytoplasmic transporter activity"
"P61978-1,P61978-2,P61978-3"	"P61978-[1-3]"	"HNRPK_HUMAN"	"Heterogeneous nuclear ribonucleoprotein K"	"HNRNPK"	13	25	0.00140135180630494	13	25	0	0	"regulation of low-density lipoprotein particle clearance;positive regulation of receptor-mediated endocytosis;modulation by virus of host morphology or physiology;mRNA splicing;regulation of apoptotic process;regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter;positive regulation of low-density lipoprotein particle receptor biosynthetic process;signal transduction"	"cell projection;cell junction;podosome;catalytic step 2 spliceosome;cytoplasm;nuclear chromatin;nucleoplasm"	"RNA binding;RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription;RNA polymerase II core promoter proximal region sequence-specific DNA binding;single-stranded DNA binding"
"Q01518-1,Q01518-2"	"Q01518-[1,2]"	"CAP1_HUMAN"	"Adenylyl cyclase-associated protein 1"	"CAP1"	13	16	0.00131131126498194	13	16	0	0	"receptor-mediated endocytosis;axon guidance;activation of adenylate cyclase activity;ameboidal cell migration;platelet degranulation;signal transduction;platelet activation;actin cytoskeleton organization;establishment or maintenance of cell polarity"	"plasma membrane;cortical actin cytoskeleton"	""
"Q13573"	"Q13573"	"SNW1_HUMAN"	"SNW domain-containing protein 1"	"SNW1"	13	21	0.00305045006254543	13	21	0.00386254196193292	0	"negative regulation of transcription from RNA polymerase II promoter;regulation of retinoic acid receptor signaling pathway;positive regulation of transforming growth factor beta receptor signaling pathway;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;modulation by virus of host morphology or physiology;cellular response to retinoic acid;positive regulation of histone H3-K4 methylation;retinoic acid receptor signaling pathway;positive regulation of mRNA splicing;mRNA splicing;positive regulation of neurogenesis;Notch signaling pathway;positive regulation of vitamin D receptor signaling pathway;transcription initiation from RNA polymerase II promoter;positive regulation by host of viral transcription;positive regulation of transcription from RNA polymerase II promoter"	"nuclear matrix;chromatin;catalytic step 2 spliceosome;nucleoplasm"	"SMAD binding;vitamin D receptor binding;transcription coactivator activity;transcription corepressor activity;retinoic acid receptor binding"
"P19338"	"P19338"	"NUCL_HUMAN"	"Nucleolin"	"NCL"	12	19	0.00208355355043345	12	19	0.00263823791685612	0	"angiogenesis"	"nucleoplasm;nucleolus;cell cortex;ribonucleoprotein complex"	"telomeric DNA binding;RNA binding;nucleotide binding"
"P55084"	"P55084"	"ECHB_HUMAN"	"Trifunctional enzyme subunit beta, mitochondrial"	"HADHB"	12	22	0.00361371379722079	12	22	0.00457575796816485	0	"cardiolipin acyl-chain remodeling;glycerophospholipid biosynthetic process;fatty acid beta-oxidation"	"endoplasmic reticulum;mitochondrial fatty acid beta-oxidation multienzyme complex;mitochondrial outer membrane;mitochondrial nucleoid;mitochondrial inner membrane"	"3-hydroxyacyl-CoA dehydrogenase activity;enoyl-CoA hydratase activity;acetyl-CoA C-acyltransferase activity;long-chain-3-hydroxyacyl-CoA dehydrogenase activity;NAD binding;long-chain-enoyl-CoA hydratase activity;fatty-acyl-CoA binding"
"Q14566"	"Q14566"	"MCM6_HUMAN"	"DNA replication licensing factor MCM6"	"MCM6"	12	18	0.00170702060225267	12	18	0.00216146423343941	0	"DNA strand elongation involved in DNA replication;G1/S transition of mitotic cell cycle;DNA unwinding involved in DNA replication;DNA replication initiation"	"MCM complex;nucleoplasm"	"single-stranded DNA binding;DNA helicase activity;ATP binding"
"P21333-1,P21333-2"	"P21333-[1,2]"	"FLNA_HUMAN"	"Filamin-A"	"FLNA"	11	15	0.000220605703697495	11	15	0	0	"cell junction assembly;spindle assembly involved in mitosis;actin crosslink formation;negative regulation of protein catabolic process;epithelial to mesenchymal transition;cytoplasmic sequestering of protein;receptor clustering;establishment of protein localization;actin cytoskeleton reorganization;protein stabilization;platelet degranulation;early endosome to late endosome transport;protein localization to cell surface;adenylate cyclase-inhibiting dopamine receptor signaling pathway;cilium assembly;positive regulation of I-kappaB kinase/NF-kappaB cascade;platelet activation;negative regulation of sequence-specific DNA binding transcription factor activity;positive regulation of transcription factor import into nucleus"	"Myb complex;actin cytoskeleton;trans-Golgi network;plasma membrane;cell cortex;nucleus;extracellular vesicular exosome;cytosol"	"actin filament binding;Fc-gamma receptor I complex binding;protein homodimerization activity;glycoprotein binding;Rac GTPase binding;signal transducer activity;Ral GTPase binding"
"P21796"	"P21796"	"VDAC1_HUMAN"	"Voltage-dependent anion-selective channel protein 1"	"VDAC1"	11	17	0.00545655692381507	11	17	0.0069092034466299	3	"behavioral fear response;apoptotic process;learning;neuron-neuron synaptic transmission;modulation by virus of host morphology or physiology"	"pore complex;mitochondrial nucleoid;mitochondrial outer membrane;mitochondrial inner membrane;plasma membrane"	"voltage-gated anion channel activity;porin activity"
"P23284"	"P23284"	"PPIB_HUMAN"	"Peptidyl-prolyl cis-trans isomerase B"	"PPIB"	11	18	0.00648825886319187	11	18	0.00821556544284144	0	"protein folding;extracellular matrix organization"	"endoplasmic reticulum lumen;melanosome"	"peptidyl-prolyl cis-trans isomerase activity;peptide binding;unfolded protein binding"
"P40926"	"P40926"	"MDHM_HUMAN"	"Malate dehydrogenase, mitochondrial"	"MDH2"	11	19	0.00437669532783357	11	19	0.00554186071292263	0	"gluconeogenesis;malate metabolic process;cellular carbohydrate metabolic process;NADH metabolic process;internal protein amino acid acetylation;oxaloacetate metabolic process;tricarboxylic acid cycle"	"plasma membrane;mitochondrial matrix;mitochondrial inner membrane;nucleus"	"L-malate dehydrogenase activity;malate dehydrogenase (NADP+) activity"
"P04075"	"P04075"	"ALDOA_HUMAN"	"Fructose-bisphosphate aldolase A"	"ALDOA"	10	17	0.00380943299031988	10	17	0.00482358159438414	1	"glycolysis;regulation of cell shape;platelet degranulation;fructose 1;striated muscle contraction;protein homotetramerization;fructose metabolic process;actin filament organization;ATP biosynthetic process;muscle cell cellular homeostasis;gluconeogenesis;platelet activation"	"extracellular vesicular exosome;actin cytoskeleton;platelet alpha granule lumen;I band;cytosol"	"identical protein binding;actin binding;fructose binding;fructose-bisphosphate aldolase activity;tubulin binding"
"P04406"	"P04406"	"G3P_HUMAN"	"Glyceraldehyde-3-phosphate dehydrogenase"	"GAPDH"	10	18	0.00418347437149088	10	18	0.00529720040493657	0	"glycolysis;cellular response to interferon-gamma;microtubule cytoskeleton organization;peptidyl-cysteine S-trans-nitrosylation;small molecule metabolic process;neuron apoptotic process;gluconeogenesis;protein stabilization;negative regulation of translation"	"cytosol;extracellular vesicular exosome;ribonucleoprotein complex;perinuclear region of cytoplasm;lipid particle;nucleus;plasma membrane;microtubule cytoskeleton"	"NAD binding;microtubule binding;NADP binding;peptidyl-cysteine S-nitrosylase activity;glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"
"P07900-1,P07900-2"	"P07900-[1,2]"	"HS90A_HUMAN"	"Heat shock protein HSP 90-alpha"	"HSP90AA1"	11	14	0.00113595838550508	11	14	0	24	"positive regulation of cardiac muscle contraction;response to unfolded protein;G2/M transition of mitotic cell cycle;chaperone-mediated protein complex assembly;neuron migration;positive regulation of lamellipodium assembly;skeletal muscle contraction;response to salt stress;positive regulation of protein import into nucleus;protein refolding;axon guidance;innate immune response;regulation of nitric-oxide synthase activity;Fc-gamma receptor signaling pathway involved in phagocytosis;protein import into mitochondrial outer membrane;cardiac muscle cell apoptotic process;response to heat;positive regulation of nitric oxide biosynthetic process;response to estrogen stimulus;positive regulation of cell size;nitric oxide metabolic process"	"apical plasma membrane;melanosome;extracellular region;brush border membrane;endocytic vesicle lumen;plasma membrane;basolateral plasma membrane;cell surface;neuron projection;protein complex;neuronal cell body;perinuclear region of cytoplasm;extracellular matrix;cytosol"	"TPR domain binding;GTP binding;ATPase activity;CTP binding;ATP binding;dATP binding;UTP binding;nitric-oxide synthase regulator activity;protein homodimerization activity;mRNA binding"
"P50552"	"P50552"	"VASP_HUMAN"	"Vasodilator-stimulated phosphoprotein"	"VASP"	10	15	0.00307338577730141	10	15	0.00389158363081963	0	"actin polymerization or depolymerization;neural tube closure;axon guidance;protein homotetramerization;T cell receptor signaling pathway;cell junction assembly"	"lamellipodium membrane;cytosol;tight junction;plasma membrane;actin cytoskeleton;filopodium membrane;focal adhesion"	""
"Q00839-1,Q00839-2"	"Q00839-[1,2]"	"HNRPU_HUMAN"	"Heterogeneous nuclear ribonucleoprotein U"	"HNRNPU"	10	17	0.00080218473217645	10	17	0	0	"mRNA splicing;CRD-mediated mRNA stabilization"	"catalytic step 2 spliceosome;nucleoplasm;CRD-mediated mRNA stability complex;cell surface"	"RNA binding;DNA binding;ATP binding"
"Q06830"	"Q06830"	"PRDX1_HUMAN"	"Peroxiredoxin-1"	"PRDX1"	10	16	0.00850359781790153	10	16	0.0107674286500655	7	"hydrogen peroxide catabolic process;regulation of NF-kappaB import into nucleus;cell proliferation;removal of superoxide radicals;natural killer cell mediated cytotoxicity;skeletal system development;regulation of stress-activated MAPK cascade;erythrocyte homeostasis"	"cytosol;peroxisomal matrix;mitochondrial matrix;mitochondrion;nuclear euchromatin;melanosome;nucleolus;nucleus"	"thioredoxin peroxidase activity;heme binding"
"Q15029-1,Q15029-2"	"Q15029-[1,2]"	"U5S1_HUMAN"	"116 kDa U5 small nuclear ribonucleoprotein component"	"EFTUD2"	10	13	0.000520662748280829	10	13	0	0	"mRNA splicing"	"nuclear speck;cytoplasm;catalytic step 2 spliceosome;Cajal body"	"GTP binding;GTPase activity"
"Q96CT7"	"Q96CT7"	"CC124_HUMAN"	"Coiled-coil domain-containing protein 124"	"CCDC124"	10	17	0.00593544756991544	10	17	0.00751558453067109	0	"cell cycle;cell division"	"microtubule organizing center;midbody;cytoplasm"	""
"Q9Y230"	"Q9Y230"	"RUVB2_HUMAN"	"RuvB-like 2"	"RUVBL2"	10	13	0.00218610881783571	10	13	0.00276809548398113	0	"histone H4 acetylation;DNA recombination;histone H2A acetylation;protein folding;regulation of transcription;transcription;regulation of growth;cellular response to UV;DNA repair"	"membrane;cytoplasm;ribonucleoprotein complex;Ino80 complex;MLL1 complex;NuA4 histone acetyltransferase complex;nuclear matrix"	"unfolded protein binding;ATP binding;ATP-dependent DNA helicase activity;identical protein binding;ATP-dependent 5'-3' DNA helicase activity;damaged DNA binding"
"P02545-1,P02545-2,P02545-3"	"P02545-[1-3]"	"LMNA_HUMAN"	"Prelamin-A/C"	"LMNA"	9	10	0.000399844231286578	9	10	0	2	"mitotic nuclear envelope disassembly;cellular response to hypoxia;mitotic nuclear envelope reassembly;positive regulation of cell aging;muscle organ development;activation of signaling protein activity involved in unfolded protein response;ventricular cardiac muscle cell development;protein localization to nucleus;regulation of apoptotic process;establishment or maintenance of microtubule cytoskeleton polarity;cellular component disassembly involved in execution phase of apoptosis;regulation of cell migration;cellular protein metabolic process;sterol regulatory element binding protein import into nucleus"	"cytosol;lamin filament;perinuclear region of cytoplasm;nucleoplasm;nuclear envelope"	"structural molecule activity"
"P08238"	"P08238"	"HS90B_HUMAN"	"Heat shock protein HSP 90-beta"	"HSP90AB1"	13	31	0.00565924803499185	13	31	0.00716585505743445	31	"nucleotide-binding domain;positive regulation of cell size;placenta development;negative regulation of neuron apoptotic process;cellular response to organic cyclic compound;protein folding;innate immune response;regulation of type I interferon-mediated signaling pathway;positive regulation of nitric oxide biosynthetic process;positive regulation of protein serine/threonine kinase activity;negative regulation of proteasomal ubiquitin-dependent protein catabolic process;positive regulation of protein binding;positive regulation of protein import into nucleus;axon guidance;response to salt stress;response to unfolded protein;regulation of interferon-gamma-mediated signaling pathway;Fc-gamma receptor signaling pathway involved in phagocytosis;cellular response to interleukin-4"	"mitochondrion;melanosome;cytosol;apical plasma membrane;brush border membrane;basolateral plasma membrane;cell surface;inclusion body"	"TPR domain binding;ATP binding;dATP binding;GTP binding;CTP binding;nitric-oxide synthase regulator activity;UTP binding"
"P22314"	"P22314"	"UBA1_HUMAN"	"Ubiquitin-like modifier-activating enzyme 1"	"UBA1"	9	16	0.00117745340428435	9	16	0.00149091546788805	0	"cell death;protein ubiquitination"	""	"ATP binding;small protein activating enzyme activity;ligase activity"
"P40939"	"P40939"	"ECHA_HUMAN"	"Trifunctional enzyme subunit alpha, mitochondrial"	"HADHA"	9	14	0.00142860745611564	9	14	0.00180893184062564	0	"response to insulin stimulus;response to drug;cardiolipin acyl-chain remodeling;fatty acid beta-oxidation;glycerophospholipid biosynthetic process"	"mitochondrial nucleoid;mitochondrial inner membrane;mitochondrial fatty acid beta-oxidation multienzyme complex;nucleolus"	"long-chain-3-hydroxyacyl-CoA dehydrogenase activity;fatty-acyl-CoA binding;acetyl-CoA C-acetyltransferase activity;3-hydroxyacyl-CoA dehydrogenase activity;enoyl-CoA hydratase activity;NAD binding;long-chain-enoyl-CoA hydratase activity"
"P48047"	"P48047"	"ATPO_HUMAN"	"ATP synthase subunit O, mitochondrial"	"ATP5O"	9	19	0.00694517850144482	9	19	0.00879412638952042	0	"respiratory electron transport chain;ATP catabolic process;mitochondrial ATP synthesis coupled proton transport"	"plasma membrane;mitochondrial proton-transporting ATP synthase complex"	"proton-transporting ATP synthase activity;transmembrane transporter activity;drug binding"
