"";"AC";"db2goCC";"Florian.GoCC"
"52";"P10809";"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol";"secretory granule;cell surface;coated vesicle;extracellular space;mitochondrial matrix;mitochondrial inner membrane;coated pit;early endosome;lipopolysaccharide receptor complex;plasma membrane;cytosol"
"53";"P11021";"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus";"melanosome;endoplasmic reticulum lumen;cell surface;endoplasmic reticulum-Golgi intermediate compartment;endoplasmic reticulum chaperone complex;midbody;integral to endoplasmic reticulum membrane;nucleus"
"54";"P11142";"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle";"Prp19 complex;spliceosomal complex;extracellular vesicular exosome;nucleolus;ribonucleoprotein complex;plasma membrane;clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane;cytosol;cell surface;melanosome"
"55";"P11940";"cytosol, catalytic step 2 spliceosome, cytoplasmic stress granule";"cytoplasmic stress granule;cytosol;catalytic step 2 spliceosome"
"56";"P12236";"integral component of membrane, mitochondrial inner membrane presequence translocase complex";"integral to membrane;mitochondrial inner membrane presequence translocase complex"
"57";"P12270";"extrinsic component of membrane, mitotic spindle, nuclear inclusion body, kinetochore, nucleoplasm, nuclear pore nuclear basket, nuclear membrane, nuclear periphery, cytoplasmic dynein complex";"nuclear membrane;cytoplasmic dynein complex;nucleoplasm;nuclear periphery;nuclear pore nuclear basket;kinetochore;extrinsic to membrane;nuclear inclusion body;mitotic spindle"
"58";"P13010";"nonhomologous end joining complex, Ku70:Ku80 complex, nuclear telomere cap complex, cytosol, nucleoplasm";"nucleoplasm;Ku70:Ku80 complex;cytosol;nuclear telomere cap complex;nonhomologous end joining complex"
"59";"P13639";"polysome, ribonucleoprotein complex, extracellular vesicular exosome, cytosol";"cytosol;ribonucleoprotein complex;polysome"
"60";"P13645";"cytoplasm, extracellular space, keratin filament, intermediate filament, extracellular vesicular exosome";"intermediate filament;keratin filament;cytoplasm"
"61";"P13647";"keratin filament, cytosol, plasma membrane, extracellular vesicular exosome, mitochondrion";"cytosol;keratin filament;mitochondrion;plasma membrane"
"62";"P13796";"extracellular vesicular exosome, actin filament, actin filament bundle, ruffle membrane, phagocytic cup, plasma membrane, filopodium, focal adhesion, cytosol, ruffle, extracellular space";"cytosol;ruffle membrane;phagocytic cup;plasma membrane;cell junction;actin cytoskeleton;actin filament"
"63";"P14317";"plasma membrane, transcription factor complex, mitochondrion, cytoplasm, nucleus";"nucleus;transcription factor complex;cytoplasm;mitochondrion;plasma membrane"
"64";"P14618";"cytosol, mitochondrion, plasma membrane, nucleus, extracellular vesicular exosome, cilium";"mitochondrion;cilium;plasma membrane;extracellular vesicular exosome;nucleus;cytosol"
"65";"P14625";"cytosol, melanosome, midbody, extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum membrane, endocytic vesicle lumen, endoplasmic reticulum lumen, plasma membrane";"cytosol;perinuclear region of cytoplasm;plasma membrane;extracellular region;endocytic vesicle lumen;endoplasmic reticulum lumen;endoplasmic reticulum membrane;melanosome;midbody"
"66";"P14678";"U12-type spliceosomal complex, catalytic step 2 spliceosome, nucleoplasm, cytosol, U1 snRNP, U4 snRNP, methylosome, histone pre-mRNA 3'end processing complex, SMN-Sm protein complex, U7 snRNP";"histone pre-mRNA 3'end processing complex;U12-type spliceosomal complex;U7 snRNP;cytosol;catalytic step 2 spliceosome;nucleoplasm;spliceosomal complex;U1 snRNP;small nuclear ribonucleoprotein complex;U2 snRNP"
"67";"P14866";"extracellular vesicular exosome, pronucleus, ribonucleoprotein complex, cytoplasm, nucleoplasm";"ribonucleoprotein complex;cytoplasm;nucleoplasm"
"68";"P14927";"mitochondrial respiratory chain, mitochondrial respiratory chain complex III";"mitochondrial respiratory chain complex III;mitochondrial respiratory chain"
"69";"P15311";"cortical cytoskeleton, astrocyte projection, Schwann cell microvillus, nucleolus, cytosol, actin filament, uropod, microvillus, T-tubule, cell body, microspike, extracellular vesicular exosome, extrinsic component of membrane, ruffle membrane, ruffle, filopodium, microvillus membrane, apical plasma membrane, membrane raft, basolateral plasma membrane, cell tip, apical part of cell";"extrinsic to membrane;filopodium;microtubule basal body;cortical cytoskeleton;actin filament;ruffle;uropod;basolateral plasma membrane;ruffle membrane;nucleolus;cytosol;microvillus;apical part of cell;apical plasma membrane;microvillus membrane"
"70";"P16402";"nucleosome, nuclear chromatin";"nuclear chromatin;nucleosome"
"71";"P16403";"nucleus, nucleosome";"nucleosome;nucleus"
"72";"P16949";"membrane, microtubule, intracellular, cytosol, extracellular vesicular exosome";"intracellular;cytosol;membrane;microtubule"
"73";"P17066";"blood microparticle, extracellular vesicular exosome";""
"74";"P17844";"catalytic step 2 spliceosome, extracellular vesicular exosome, nucleolus";"catalytic step 2 spliceosome;nucleolus"
"75";"P18077";"cytosolic large ribosomal subunit, extracellular vesicular exosome";"cytosolic large ribosomal subunit"
"76";"P18859";"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";"mitochondrial proton-transporting ATP synthase complex;mitochondrial proton-transporting ATP synthase complex"
"77";"P19338";"ribonucleoprotein complex, nucleoplasm, extracellular vesicular exosome, nucleolus, cell cortex";"nucleoplasm;nucleolus;cell cortex;ribonucleoprotein complex"
"79";"P20700";"lamin filament, nuclear envelope, nucleoplasm, nuclear inner membrane";"lamin filament;nucleoplasm;nuclear envelope;nuclear inner membrane"
"80";"P21333";"cytosol, plasma membrane, dendritic shaft, nucleus, cortical cytoskeleton, actin filament, perinuclear region of cytoplasm, apical dendrite, extracellular vesicular exosome, trans-Golgi network, Myb complex, actin cytoskeleton, neuronal cell body";"Myb complex;actin cytoskeleton;trans-Golgi network;plasma membrane;cell cortex;nucleus;extracellular vesicular exosome;cytosol"
"81";"P21796";"mitochondrial outer membrane, mitochondrial inner membrane, pore complex, extracellular vesicular exosome, mitochondrial nucleoid, plasma membrane";"pore complex;mitochondrial nucleoid;mitochondrial outer membrane;mitochondrial inner membrane;plasma membrane"
"82";"P22626";"nucleoplasm, cytoplasm, nucleolus, catalytic step 2 spliceosome";"cytoplasm;nucleolus;catalytic step 2 spliceosome;nucleoplasm"
"83";"P22695";"mitochondrial respiratory chain complex III, mitochondrial inner membrane";"mitochondrial inner membrane;mitochondrial respiratory chain complex III"
"84";"P23193";"nucleolus, nucleoplasm";"nucleoplasm;nucleolus"
"85";"P23246";"paraspeckles, nuclear matrix, cytoplasm";"nuclear matrix;cytoplasm;paraspeckles"
"86";"P23284";"endoplasmic reticulum lumen, extracellular vesicular exosome, melanosome, macromolecular complex";"endoplasmic reticulum lumen;melanosome"
"87";"P23396";"ruffle membrane, nucleus, extracellular vesicular exosome, cytosolic small ribosomal subunit";"ruffle membrane;nucleus;cytosolic small ribosomal subunit"
"88";"P23528";"ruffle membrane, extracellular space, cytoplasm, extracellular vesicular exosome, nucleus, cortical actin cytoskeleton, lamellipodium membrane, nuclear matrix";"lamellipodium membrane;ruffle membrane;cortical actin cytoskeleton;nuclear matrix;cytoplasm;nucleus;actin cytoskeleton"
"89";"P23588";"cytosol, eukaryotic translation initiation factor 4F complex";"cytosol;eukaryotic translation initiation factor 4F complex"
"90";"P24752";"mitochondrial matrix, mitochondrial inner membrane, extracellular vesicular exosome";"mitochondrial matrix;mitochondrial inner membrane"
"92";"P25705";"mitochondrial matrix, plasma membrane, mitochondrial proton-transporting ATP synthase complex, proton-transporting ATP synthase complex, catalytic core F(1), extracellular vesicular exosome";"mitochondrial proton-transporting ATP synthase complex;mitochondrial matrix;plasma membrane;proton-transporting ATP synthase complex"
"93";"P26038";"apical plasma membrane, apical part of cell, basolateral plasma membrane, filopodium, microvillus membrane, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleolus, uropod, extrinsic component of membrane, plasma membrane, microvillus, blood microparticle";"apical part of cell;extracellular vesicular exosome;cytoplasm;filopodium;microvillus;basolateral plasma membrane;microvillus membrane;nucleolus;extrinsic to membrane;plasma membrane;cytoskeleton;apical plasma membrane;uropod"
"95";"P26583";"extracellular space, nucleoplasm, condensed chromosome, perinuclear region of cytoplasm, protein complex";"extracellular space;condensed chromosome;perinuclear region of cytoplasm;nucleoplasm;protein complex"
"96";"P26641";"cytosol, eukaryotic translation elongation factor 1 complex";"eukaryotic translation elongation factor 1 complex;cytosol"
"97";"P27348";"cytosol, protein complex, extracellular vesicular exosome, cytoplasmic vesicle membrane";"extracellular vesicular exosome;cytoplasmic vesicle membrane;cytosol"
"98";"P27797";"endocytic vesicle lumen, acrosomal vesicle, nucleus, cytosol, extracellular space, endoplasmic reticulum lumen, perinuclear region of cytoplasm, Golgi apparatus, external side of plasma membrane, sarcoplasmic reticulum lumen, proteinaceous extracellular matrix, polysome, MHC class I peptide loading complex, extracellular vesicular exosome, cell surface, integral component of lumenal side of endoplasmic reticulum membrane";"endocytic vesicle lumen;nucleus;external side of plasma membrane;proteinaceous extracellular matrix;polysome;perinuclear region of cytoplasm;extracellular space;sarcoplasmic reticulum lumen;cytosol;integral to lumenal side of endoplasmic reticulum membrane;endoplasmic reticulum lumen;acrosomal vesicle;cell surface;MHC class I peptide loading complex;Golgi apparatus"
"99";"P27816";"microtubule associated complex, microtubule, mitotic spindle, cytoplasm, plasma membrane";"microtubule associated complex;cytoplasm;plasma membrane;microtubule;mitotic spindle"
"100";"P27816";"microtubule associated complex, microtubule, mitotic spindle, cytoplasm, plasma membrane";"microtubule associated complex;cytoplasm;plasma membrane;microtubule;mitotic spindle"
"101";"P27816";"microtubule associated complex, microtubule, mitotic spindle, cytoplasm, plasma membrane";"microtubule associated complex;cytoplasm;plasma membrane;microtubule;mitotic spindle"
"102";"P27816";"microtubule associated complex, microtubule, mitotic spindle, cytoplasm, plasma membrane";"microtubule associated complex;cytoplasm;plasma membrane;microtubule;mitotic spindle"
"103";"P29401";"extracellular vesicular exosome, cytosol, nucleus, peroxisome";"peroxisome;nucleus;cytosol"
"104";"P29590";"nuclear matrix, nuclear membrane, nucleus, early endosome membrane, nucleolus, cytosol, PML body, cytoplasm, extrinsic component of endoplasmic reticulum membrane";"nuclear matrix;early endosome membrane;nucleus;nuclear membrane;cytosol;cytoplasm;nucleolus;extrinsic to endoplasmic reticulum membrane;PML body"
"105";"P29692";"nucleus, eukaryotic translation elongation factor 1 complex, cytosol";"cytosol;eukaryotic translation elongation factor 1 complex;nucleus"
"106";"P30050";"extracellular vesicular exosome, cytosolic large ribosomal subunit";"cytosolic large ribosomal subunit"
"107";"P30101";"endoplasmic reticulum lumen, cell surface, melanosome, extracellular vesicular exosome";"melanosome;cell surface;endoplasmic reticulum lumen"
"108";"P31146";"phagocytic cup, immunological synapse, phagocytic vesicle, extracellular vesicular exosome, phagocytic vesicle membrane, cortical actin cytoskeleton, lamellipodium, actin filament";"phagocytic cup;phagocytic vesicle;immunological synapse;cortical actin cytoskeleton;phagocytic vesicle membrane;actin filament;lamellipodium"
"109";"P31689";"extracellular vesicular exosome, membrane";"membrane"
"110";"P31930";"mitochondrial respiratory chain complex III, mitochondrial respiratory chain";"mitochondrial respiratory chain complex III;mitochondrial respiratory chain"
"111";"P31942";"spliceosomal complex";"ribonucleoprotein complex;nucleus"
"112";"P31943";"cytoplasm, catalytic step 2 spliceosome, nucleoplasm, actin cytoskeleton";"nucleoplasm;catalytic step 2 spliceosome;cytoplasm;actin cytoskeleton"
"113";"P31946";"melanosome, perinuclear region of cytoplasm, extracellular vesicular exosome, cytosol, cytoplasmic vesicle membrane, transcriptional repressor complex";"perinuclear region of cytoplasm;cytoplasmic vesicle membrane;cytosol;melanosome;extracellular vesicular exosome;transcriptional repressor complex"
"114";"P31948";"Golgi apparatus, nucleus";"nucleus;Golgi apparatus;protein complex"
"115";"P32119";"cytosol, cytoplasm, extracellular vesicular exosome";"cytosol;cytoplasm"
"116";"P33991";"MCM complex, nucleoplasm";"nucleoplasm;MCM complex"
"117";"P33993";"cytosol, MCM complex, nucleoplasm, chromatin";"chromatin;cytosol;MCM complex;nucleoplasm"
"118";"P34897";"extracellular vesicular exosome, microtubule cytoskeleton, mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial nucleoid";"mitochondrial nucleoid;mitochondrial inner membrane;microtubule cytoskeleton;mitochondrial intermembrane space"
"119";"P34931";"mitochondrial matrix, zona pellucida receptor complex, blood microparticle, cell body";"zona pellucida receptor complex;mitochondrial matrix"
"120";"P35232";"mitochondrial inner membrane, extracellular vesicular exosome, integral component of plasma membrane, nucleoplasm";"integral to plasma membrane;mitochondrial inner membrane;nucleoplasm"
"121";"P35527";"intermediate filament, extracellular vesicular exosome, extracellular space";"intermediate filament"
"122";"P35637";"nucleoplasm, cytoplasm";"cytoplasm;nucleoplasm"
"123";"P35908";"keratin filament, intermediate filament, extracellular vesicular exosome, extracellular space, Golgi apparatus";"intermediate filament;keratin filament;Golgi apparatus"
"124";"P36542";"mitochondrial matrix, mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)";"mitochondrial proton-transporting ATP synthase complex;mitochondrial matrix"
"125";"P37802";"extracellular vesicular exosome";""
"126";"P38159";"nucleoplasm, extracellular vesicular exosome, extracellular space, catalytic step 2 spliceosome, supraspliceosomal complex, nuclear euchromatin";"catalytic step 2 spliceosome;nuclear euchromatin;extracellular vesicular exosome;supraspliceosomal complex;nucleoplasm"
"127";"P38646";"nucleolus, extracellular vesicular exosome, mitochondrial nucleoid";"mitochondrial nucleoid;nucleolus;cell surface"
"128";"P38919";"nuclear speck, catalytic step 2 spliceosome, cytosol, exon-exon junction complex";"nuclear speck;cytosol;exon-exon junction complex;catalytic step 2 spliceosome"
"129";"P39019";"nucleolus, extracellular vesicular exosome, cytosolic small ribosomal subunit";"cytosolic small ribosomal subunit;nucleolus"
"130";"P40926";"plasma membrane, mitochondrial matrix, nucleus, mitochondrial inner membrane, extracellular vesicular exosome";"plasma membrane;mitochondrial matrix;mitochondrial inner membrane;nucleus"
"131";"P42166";"nuclear inner membrane, chromatin, nuclear envelope";"chromatin;nuclear envelope;nuclear inner membrane"
"132";"P42765";"mitochondrial inner membrane, mitochondrion";"mitochondrion;mitochondrial inner membrane"
"133";"P43487";"cytoplasm, nuclear envelope, centrosome";"nuclear envelope;centrosome;cytoplasm"
"134";"P46783";"nucleolus, cytosolic small ribosomal subunit";"cytosolic small ribosomal subunit;nucleolus"
"135";"P48643";"zona pellucida receptor complex, centrosome, extracellular vesicular exosome, cytosol, chaperonin-containing T-complex, nucleolus, cell body, microtubule";"chaperonin-containing T-complex;centrosome;cytosol;zona pellucida receptor complex;nucleolus;microtubule"
"136";"P48735";"mitochondrial matrix, mitochondrial inner membrane";"mitochondrial matrix;mitochondrial inner membrane"
"137";"P49006";"cytoplasm, extracellular vesicular exosome, plasma membrane";"cytoplasm;plasma membrane"
"138";"P49327";"mitochondrion, plasma membrane, Golgi apparatus, glycogen granule, cytosol, extracellular vesicular exosome, melanosome";"melanosome;plasma membrane;mitochondrion;Golgi apparatus;glycogen granule;cytosol"
"139";"P49368";"cytosol, chaperonin-containing T-complex, cell body, microtubule, plasma membrane, extracellular vesicular exosome, zona pellucida receptor complex";"zona pellucida receptor complex;chaperonin-containing T-complex;cytosol;plasma membrane;microtubule"
"140";"P49411";"mitochondrial nucleoid, extracellular vesicular exosome";"mitochondrial nucleoid"
"141";"P49588";"cytosol, extracellular vesicular exosome";"cytosol"
"142";"P49736";"nuclear origin of replication recognition complex, nucleoplasm, chromatin, MCM complex";"MCM complex;chromatin;nuclear origin of replication recognition complex;nucleoplasm"
"143";"P49790";"nuclear pore nuclear basket, nuclear membrane, nuclear inclusion body, nucleolus, nucleoplasm, cytoplasm, nuclear periphery";"nuclear membrane;cytoplasm;nuclear pore nuclear basket;nuclear inclusion body;nuclear periphery;nucleoplasm;nucleolus"
"144";"P50454";"endoplasmic reticulum lumen, endoplasmic reticulum-Golgi intermediate compartment, extracellular space";"extracellular space;endoplasmic reticulum lumen;endoplasmic reticulum-Golgi intermediate compartment"
"145";"P50502";"protein complex, cytosol, cytoplasm, extracellular vesicular exosome";"cytoplasm;cytosol;protein complex"
"146";"P50552";"tight junction, actin cytoskeleton, plasma membrane, extracellular vesicular exosome, lamellipodium membrane, filopodium membrane, cytosol, focal adhesion";"lamellipodium membrane;cytosol;tight junction;plasma membrane;actin cytoskeleton;filopodium membrane;focal adhesion"
"147";"P50990";"microtubule, intermediate filament cytoskeleton, extracellular vesicular exosome, zona pellucida receptor complex, aggresome, cell body, chaperonin-containing T-complex, cytosol, centrosome";"centrosome;cytosol;microtubule;chaperonin-containing T-complex;intermediate filament cytoskeleton;zona pellucida receptor complex;aggresome"
"148";"P51571";"Sec61 translocon complex, extracellular vesicular exosome, integral component of membrane";"integral to membrane;Sec61 translocon complex"
"149";"P51610";"histone acetyltransferase complex, MLL5-L complex, Set1C/COMPASS complex, neuronal cell body, mitochondrion, MLL1 complex";"MLL1 complex;MLL5-L complex;Set1C/COMPASS complex;neuronal cell body;mitochondrion;histone acetyltransferase complex"
"150";"P51991";"nucleoplasm, nucleolus, catalytic step 2 spliceosome";"nucleolus;nucleoplasm;catalytic step 2 spliceosome"
"151";"P52272";"catalytic step 2 spliceosome, nuclear matrix, integral component of plasma membrane, paraspeckles";"catalytic step 2 spliceosome;integral to plasma membrane;nuclear matrix;paraspeckles"
"152";"P52566";"cytosol, cytoskeleton, extracellular vesicular exosome, cytoplasmic membrane-bounded vesicle";"cytoskeleton;cytosol;cytoplasmic membrane-bounded vesicle"
"153";"P52597";"catalytic step 2 spliceosome, nucleoplasm, cytoplasm";"cytoplasm;catalytic step 2 spliceosome;nucleoplasm"
"154";"P53999";"nucleolus, extracellular vesicular exosome, transcription factor complex";"nucleolus;transcription factor complex"
"155";"P55084";"mitochondrial outer membrane, endoplasmic reticulum, mitochondrial inner membrane, mitochondrial nucleoid, mitochondrial fatty acid beta-oxidation multienzyme complex";"endoplasmic reticulum;mitochondrial fatty acid beta-oxidation multienzyme complex;mitochondrial outer membrane;mitochondrial nucleoid;mitochondrial inner membrane"
"156";"P55884";"eukaryotic translation initiation factor 3 complex, extracellular vesicular exosome, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, cytosol";"cytosol;eukaryotic 43S preinitiation complex;eukaryotic 48S preinitiation complex;eukaryotic translation initiation factor 3 complex"
"157";"P56385";"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o), mitochondrial proton-transporting ATP synthase complex";"mitochondrial proton-transporting ATP synthase complex;mitochondrial proton-transporting ATP synthase complex"
"158";"P57737";"Golgi apparatus, cytosol, cytoplasmic membrane-bounded vesicle, Golgi membrane, integral component of membrane";"Golgi apparatus;cytosol;cytoplasmic membrane-bounded vesicle;integral to membrane;Golgi membrane"
"159";"P60174";"cytosol, extracellular space, extracellular vesicular exosome";"cytosol"
"160";"P60660";"extracellular vesicular exosome, unconventional myosin complex, cytosol";"unconventional myosin complex;cytosol"
