"";"Protein.Acs";"X.1";"X";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5572";"Spectra.Count.P5572";"DNSAF.P5572";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc";"Go.Mf"
"30";"P05387";63;63;"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";3;5;"0.0033851785373175";3;5;"0.00428638197017814";0;"extracellular vesicular exosome, cytosolic large ribosomal subunit";0,00112485939257593;"RNA binding, structural constituent of ribosome"
"31";"P05388";64;64;"P05388,Q8NHW5";"RLA0L_HUMAN, RLA0_HUMAN";"60S acidic ribosomal protein P0, 60S acidic ribosomal protein P0-like";"RPLP0, RPLP0P6";5;8;"9.82449291587413E-4";5;8;"0.00124399729102962";0;"extracellular vesicular exosome, nucleus, cytosolic large ribosomal subunit";0,00179977502812148;"RNA binding, protein binding, poly(A) RNA binding, structural constituent of ribosome"
"32";"P06493";66;66;"P06493-1";"CDK1_HUMAN";"Cyclin-dependent kinase 1";"CDK1";3;4;"0.00146805049025755";3;4;"0";2;"midbody, cytosol, extracellular vesicular exosome, nucleoplasm, mitochondrion, microtubule organizing center, spindle microtubule";0,000899887514060742;"protein serine/threonine kinase activity, histone kinase activity, protein binding, ATP binding, RNA polymerase II carboxy-terminal domain kinase activity, protein kinase activity, cyclin-dependent protein serine/threonine kinase activity"
"33";"P06576";67;67;"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";20;50;"0.00735908377677717";20;50;"0.00931822167430031";0;"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane";0,0112485939257593;"proton-transporting ATP synthase activity, rotational mechanism, transmembrane transporter activity, ATP binding, transporter activity, proton-transporting ATPase activity, rotational mechanism, MHC class I protein binding, protein binding"
"34";"P06730";68;68;"P06730-1,P06730-2,P06730-3";"IF4E_HUMAN";"Eukaryotic translation initiation factor 4E";"EIF4E";2;2;"2.39198483435645E-4";2;2;"0";0;"chromatoid body, eukaryotic translation initiation factor 4F complex, cytoplasmic mRNA processing body, cytosol, RISC complex, mRNA cap binding complex, cytoplasmic stress granule, extracellular vesicular exosome";0,000449943757030371;"RNA cap binding, protein binding, translation initiation factor activity, poly(A) RNA binding"
"35";"P06733";69;69;"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";15;27;"0.00484376928957181";15;27;"0";0;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space";0,00607424071991001;"transcription corepressor activity, sequence-specific DNA binding transcription factor activity, phosphopyruvate hydratase activity, magnesium ion binding, DNA binding, protein binding, poly(A) RNA binding"
"36";"P06744";70;70;"P06744-1,P06744-2";"G6PI_HUMAN";"Glucose-6-phosphate isomerase";"GPI";3;3;"2.09298673006189E-4";3;3;"0";0;"neuron projection, cytosol, nucleus, extracellular space, extracellular vesicular exosome, plasma membrane";0,000674915635545557;"intramolecular transferase activity, monosaccharide binding, glucose-6-phosphate isomerase activity"
"37";"P07195";73;73;"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";5;10;"0.00259012329867939";5;10;"0.00327966684344968";2;"extracellular vesicular exosome, cytosol, mitochondrion";0,00224971878515186;"NAD binding, L-lactate dehydrogenase activity"
"38";"P07237";74;74;"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";4;4;"6.13063829592933E-4";4;4;"7.76273900111002E-4";0;"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome";0,000899887514060742;"procollagen-proline 4-dioxygenase activity, protein disulfide isomerase activity, protein binding, poly(A) RNA binding"
"39";"P07437";75;75;"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";5;11;"0.00925637281431894";5;11;"0.0117206076734683";57;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen";0,00247469066366704;"structural molecule activity, protein binding, GTP binding, MHC class I protein binding, structural constituent of cytoskeleton, GTPase activity"
"40";"P07737";76;76;"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";5;7;"0.00389295531791512";5;7;"0.00492933926570487";0;"synapse, extracellular vesicular exosome, cytoplasm, blood microparticle, neuron projection, cytoskeleton, nucleus";0,0015748031496063;"protein binding, actin binding, proline-rich region binding, adenyl-nucleotide exchange factor activity, phosphatidylinositol-4,5-bisphosphate binding, poly(A) RNA binding"
"41";"P07900";78;78;"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";11;14;"0.00113595838550508";11;14;"0";24;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane";0,0031496062992126;"MHC class II protein complex binding, nitric-oxide synthase regulator activity, protein homodimerization activity, TPR domain binding, ATP binding, ATPase activity, identical protein binding, poly(A) RNA binding, protein binding, nucleotide binding"
"42";"P07910";79;79;"P07910-2";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";14;26;"0.00712436267330872";14;26;"0";2;"catalytic step 2 spliceosome, nucleoplasm, extracellular vesicular exosome";0,00584926884139483;"identical protein binding, mRNA 3'-UTR binding, RNA binding, poly(U) RNA binding, nucleotide binding, RNA polymerase II distal enhancer sequence-specific DNA binding, nucleosomal DNA binding, poly(A) RNA binding, protein binding, RNA polymerase II core promoter proximal region sequence-specific DNA binding"
"43";"P07954";81;81;"P07954-1,P07954-2";"FUMH_HUMAN";"Fumarate hydratase, mitochondrial";"FH";4;5;"3.8166228607011E-4";4;5;"0";0;"tricarboxylic acid cycle enzyme complex, extracellular vesicular exosome, mitochondrial matrix";0,00112485939257593;"fumarate hydratase activity"
"44";"P08107";82;82;"P08107-1";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";11;27;"0.00612437448547105";11;27;"0";31;"blood microparticle, mitochondrion, ribonucleoprotein complex, perinuclear region of cytoplasm, endoplasmic reticulum, extracellular vesicular exosome, aggresome, cytosol, nuclear speck";0,00607424071991001;"ATPase activity, coupled, enzyme binding, protein binding, poly(A) RNA binding, ATPase activity, virus receptor activity, heat shock protein binding, protein N-terminus binding, ubiquitin protein ligase binding, unfolded protein binding, ATP binding, double-stranded RNA binding, protein binding involved in protein folding"
"45";"P08238";83;83;"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";13;31;"0.00565924803499185";13;31;"0.00716585505743445";31;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body";0,00697412823397075;"TPR domain binding, GTP binding, poly(A) RNA binding, dATP binding, CTP binding, MHC class II protein complex binding, ATP binding, nitric-oxide synthase regulator activity, UTP binding, double-stranded RNA binding, protein binding"
"46";"P08670";84;84;"P08670";"VIME_HUMAN";"Vimentin";"VIM";28;46;"0.00768566285940325";28;46;"0.0097317427563272";0;"cell projection, peroxisome, cytosol, extracellular vesicular exosome, intermediate filament, cell leading edge";0,0103487064116985;"protein C-terminus binding, protein binding, structural constituent of cytoskeleton, double-stranded RNA binding, scaffold protein binding, identical protein binding, glycoprotein binding, structural constituent of eye lens"
"47";"P08865";86;86;"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";2;3;"7.91787522287822E-4";2;3;"0.00100257747777048";0;"cytosolic small ribosomal subunit, 90S preribosome, nucleus, plasma membrane, extracellular vesicular exosome";0,000674915635545557;"poly(A) RNA binding, ribosome binding, structural constituent of ribosome, protein binding, laminin receptor activity"
"48";"P09651";87;87;"P09651-1,P09651-2,P09651-3";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";12;19;"0.00144170975463192";12;19;"0";4;"extracellular vesicular exosome, intermediate filament cytoskeleton, nucleolus, catalytic step 2 spliceosome, cytoplasm, nucleoplasm";0,00427446569178853;"single-stranded RNA binding, single-stranded DNA binding, protein binding, poly(A) RNA binding, nucleotide binding, RNA binding"
"49";"P09972";89;89;"P09972";"ALDOC_HUMAN";"Fructose-bisphosphate aldolase C";"ALDOC";2;4;"8.96337174192912E-4";2;4;"0.00113496037514921";1;"mitochondrion, cytoskeleton, axon, extracellular vesicular exosome, cytosol";0,000899887514060742;"cytoskeletal protein binding, protein binding, fructose-bisphosphate aldolase activity"
"50";"P0C0S8";91;91;"P0C0S8,P20671,Q16777,Q6FI13,Q96KK5,Q99878,Q9BTM1-1";"H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A1_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A.J";"H2AFJ, HIST1H2AD, HIST1H2AH, HIST1H2AJ, HIST1H2AM,HIST1H2AL,HIST1H2AG,HIST1H2AI,HIST1H2AK, HIST2H2AA3,HIST2H2AA4, HIST2H2AC";1;4;"0.00146069427874056";1;4;"0.00215742321164727";37;"extracellular vesicular exosome, nucleosome, nucleus";0,000899887514060742;"enzyme binding, DNA binding, protein binding"
"51";"P0CG47";92;92;"P0CG47,P0CG48,P62979,P62987";"RL40_HUMAN, RS27A_HUMAN, UBB_HUMAN, UBC_HUMAN";"Polyubiquitin-B, Polyubiquitin-C, Ubiquitin-40S ribosomal protein S27a, Ubiquitin-60S ribosomal protein L40";"RPS27A, UBA52, UBB, UBC";5;10;"6.49909068099353E-4";5;10;"8.22928091102649E-4";0;"cytosol, nucleoplasm, endocytic vesicle membrane, endosome membrane, plasma membrane";0,00224971878515186;"protein binding"
"52";"P10319";93;93;"P10319,P18465";"1B57_HUMAN, 1B58_HUMAN";"HLA class I histocompatibility antigen, B-57 alpha chain, HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";1;1;"2.72435178785957E-4";1;1;"3.4496296887069E-4";4;"phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, cell surface";0,000224971878515186;"peptide antigen binding"
"53";"P10809";95;95;"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";27;51;"0.00692986810518923";27;51;"0.00877474005413431";0;"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol";0,0114735658042745;"double-stranded RNA binding, DNA replication origin binding, protein binding, ATPase activity, lipopolysaccharide binding, poly(A) RNA binding, ATP binding, chaperone binding, p53 binding, single-stranded DNA binding, unfolded protein binding"
"54";"P11021";96;96;"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";26;53;"0.00658420514787931";26;53;"0.0083370545815253";6;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus";0,0119235095613048;"calcium ion binding, ATPase activity, chaperone binding, glycoprotein binding, ATP binding, ribosome binding, enzyme binding, misfolded protein binding, protein domain specific binding, unfolded protein binding, ubiquitin protein ligase binding, protein binding"
"55";"P11142";97;97;"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";25;77;"0.0108801712605685";25;77;"0";18;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle";0,0173228346456693;"heat shock protein binding, MHC class II protein complex binding, enzyme binding, ATP binding, unfolded protein binding, ATPase activity, coupled, protein binding, ATPase activity, poly(A) RNA binding"
"56";"P11586";100;100;"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";6;8;"6.66174172049647E-4";6;8;"8.43523296805111E-4";0;"extracellular vesicular exosome, mitochondrion, cytosol";0,00179977502812148;"methenyltetrahydrofolate cyclohydrolase activity, formate-tetrahydrofolate ligase activity, methylenetetrahydrofolate dehydrogenase (NADP+) activity, methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity, ATP binding"
"57";"P12268";102;102;"P12268";"IMDH2_HUMAN";"Inosine-5'-monophosphate dehydrogenase 2";"IMPDH2";7;10;"0.00151476860619265";7;10;"0.00191803084268672";0;"nucleus, peroxisomal membrane, extracellular vesicular exosome, cytosol";0,00224971878515186;"adenyl nucleotide binding, IMP dehydrogenase activity, DNA binding, nucleotide binding, RNA binding, metal ion binding"
"58";"P12814";104;104;"P12814-1,P12814-2,P12814-3";"ACTN1_HUMAN";"Alpha-actinin-1";"ACTN1";1;1;"3.55609603862036E-5";1;1;"0";2;"fascia adherens, ruffle, pseudopodium, Z disc, plasma membrane, extracellular vesicular exosome, focal adhesion, cytosol, nucleus, cytoskeleton, platelet alpha granule lumen, dendritic spine";0,000224971878515186;"ion channel binding, double-stranded RNA binding, protein binding, integrin binding, calcium ion binding, vinculin binding"
"59";"P13639";106;106;"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";18;33;"0.00299458101378086";18;33;"0.00379179943515759";0;"polysome, ribonucleoprotein complex, extracellular vesicular exosome, cytosol";0,00742407199100112;"GTPase activity, translation activator activity, translation elongation factor activity, GTP binding, poly(A) RNA binding, protein kinase binding"
"60";"P13645";107;107;"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";6;9;"0.0011998834883985";6;9;"0.00151931689696383";0;"cytoplasm, extracellular space, keratin filament, intermediate filament, extracellular vesicular exosome";0,00202474690663667;"structural constituent of epidermis"
"61";"P13667";108;108;"P13667";"PDIA4_HUMAN";"Protein disulfide-isomerase A4";"PDIA4";1;1;"1.2071179280357E-4";1;1;"1.52847729169143E-4";0;"melanosome, endoplasmic reticulum lumen, cell surface";0,000224971878515186;"protein binding, protein disulfide isomerase activity, poly(A) RNA binding"
"62";"P13796";109;109;"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";6;10;"0.00124177203123289";6;10;"0.00157235702255339";0;"extracellular vesicular exosome, actin filament, actin filament bundle, ruffle membrane, phagocytic cup, plasma membrane, filopodium, focal adhesion, cytosol, ruffle, extracellular space";0,00224971878515186;"actin filament binding, calcium ion binding, actin binding"
"63";"P13861";111;111;"P13861";"KAP2_HUMAN";"cAMP-dependent protein kinase type II-alpha regulatory subunit";"PRKAR2A";3;4;"7.70882241171312E-4";3;4;"9.76106785288092E-4";0;"extracellular vesicular exosome, plasma membrane, cAMP-dependent protein kinase complex, centrosome, AMP-activated protein kinase complex, cytosol";0,000899887514060742;"cAMP-dependent protein kinase inhibitor activity, protein kinase A catalytic subunit binding, protein binding, ubiquitin protein ligase binding, cAMP binding, cAMP-dependent protein kinase regulator activity"
"64";"P14618";113;113;"P14618-1";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";22;45;"0.00731542819505053";22;45;"0";5;"cytosol, mitochondrion, plasma membrane, nucleus, extracellular vesicular exosome, cilium";0,0101237345331834;"ATP binding, pyruvate kinase activity, protein binding, MHC class II protein complex binding, magnesium ion binding, poly(A) RNA binding, potassium ion binding"
"65";"P14625";114;114;"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";20;33;"0.0033496747384458";20;33;"0.00424142633735735";3;"cytosol, melanosome, midbody, extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum membrane, endocytic vesicle lumen, endoplasmic reticulum lumen, plasma membrane";0,00742407199100112;"low-density lipoprotein particle receptor binding, RNA binding, calcium ion binding, ATP binding, protein binding, virion binding, protein phosphatase binding"
"66";"P14866";115;115;"P14866-1";"HNRPL_HUMAN";"Heterogeneous nuclear ribonucleoprotein L";"HNRNPL";6;6;"7.93131813497139E-4";6;6;"0";0;"extracellular vesicular exosome, pronucleus, ribonucleoprotein complex, cytoplasm, nucleoplasm";0,00134983127109111;"RNA binding, transcription regulatory region DNA binding, nucleotide binding, poly(A) RNA binding, protein binding"
