"";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5572";"Spectra.Count.P5572";"DNSAF.P5572";"Unspecific.Spectra.Count";"Go.Cc"
"16";"O43399";"O43399-1,O43399-2,O43399-3,O43399-4,O43399-5";"TPD54_HUMAN";"Tumor protein D54";"TPD52L2";"2";"3";"2.2677409618923E-4";"2";"3";"0";"0";"perinuclear region of cytoplasm"
"17";"O43684";"O43684-1,O43684-2";"BUB3_HUMAN";"Mitotic checkpoint protein BUB3";"BUB3";"6";"8";"9.49501297052469E-4";"6";"8";"0";"0";"nucleus, condensed chromosome kinetochore, cytosol, kinetochore"
"18";"O43707";"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";"7";"8";"8.35663051534409E-4";"7";"8";"0.0010581335660008";"2";"platelet alpha granule lumen, protein complex, nucleus, neuron projection, Z disc, extracellular vesicular exosome, cell-cell junction, stress fiber, cortical cytoskeleton, ribonucleoprotein complex, perinuclear region of cytoplasm, pseudopodium"
"19";"O43837";"O43837-1";"IDH3B_HUMAN";"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial";"IDH3B";"2";"2";"4.04462890173E-4";"2";"2";"0";"0";"mitochondrial matrix"
"20";"O60234";"O60234";"GMFG_HUMAN";"Glia maturation factor gamma";"GMFG";"2";"2";"0.00109660713180708";"2";"2";"0.00138854627202954";"0";"intracellular"
"21";"O60506";"O60506-1,O60506-2,O60506-3,O60506-4";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";"6";"9";"3.63896304856574E-4";"6";"9";"0";"5";"catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm, GAIT complex, histone pre-mRNA 3'end processing complex, endoplasmic reticulum"
"22";"O60610";"O60610-1,O60610-2,O60610-3";"DIAP1_HUMAN";"Protein diaphanous homolog 1";"DIAPH1";"5";"6";"1.2241997855079E-4";"5";"6";"0";"0";"mitotic spindle, cytoplasm, ruffle membrane, neuron projection"
"23";"O60664";"O60664-1,O60664-3";"PLIN3_HUMAN";"Perilipin-3";"PLIN3";"5";"8";"7.17595450306935E-4";"5";"8";"0";"0";"lipid particle, endosome, Golgi apparatus, endosome membrane"
"24";"O60828";"O60828-1,O60828-2,O60828-3,O60828-6";"PQBP1_HUMAN";"Polyglutamine-binding protein 1";"PQBP1";"1";"1";"7.3451987130474E-5";"1";"1";"0";"0";"nucleus, neuronal ribonucleoprotein granule, cytoplasm, cytoplasmic stress granule"
"25";"O60869";"O60869-1";"EDF1_HUMAN";"Endothelial differentiation-related factor 1";"EDF1";"5";"10";"0.00526075042961503";"5";"10";"0";"0";"nucleus, cytoplasm, nucleolus"
"26";"O75083";"O75083-1";"WDR1_HUMAN";"WD repeat-containing protein 1";"WDR1";"5";"6";"7.70882241171312E-4";"5";"6";"0";"0";"podosome, cell junction, extracellular vesicular exosome, cytosol, cell projection"
"27";"O75348";"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";"2";"2";"0.0013196458704797";"2";"2";"0.0016709624629508";"0";"vacuolar proton-transporting V-type ATPase complex, lysosomal membrane, plasma membrane, extracellular vesicular exosome, cytosol"
"28";"O75369";"O75369-1,O75369-2,O75369-7,O75369-8,O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";"5";"6";"3.59073511260426E-5";"5";"6";"0";"0";"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"29";"O75380";"O75380";"NDUS6_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial";"NDUFS6";"2";"2";"0.00125579203803714";"2";"2";"0.00159010944054996";"0";"mitochondrial respiratory chain complex I"
"30";"O75489";"O75489";"NDUS3_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial";"NDUFS3";"4";"5";"0.00147460428708906";"4";"5";"0.00186717396428215";"0";"mitochondrial respiratory chain complex I"
"31";"O75534";"O75534-1,O75534-2";"CSDE1_HUMAN";"Cold shock domain-containing protein E1";"CSDE1";"2";"2";"9.75678024540131E-5";"2";"2";"0";"0";"CRD-mediated mRNA stability complex"
"32";"O75937";"O75937";"DNJC8_HUMAN";"DnaJ homolog subfamily C member 8";"DNAJC8";"5";"5";"0.0015387175169625";"5";"5";"0.00194835544099007";"0";"nucleoplasm"
"33";"O75947";"O75947-1,O75947-2";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";"6";"11";"0.00265978313646375";"6";"11";"0";"0";"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"34";"O75964";"O75964";"ATP5L_HUMAN";"ATP synthase subunit g, mitochondrial";"ATP5L";"2";"2";"0.0015118273079282";"2";"2";"0.00191430651095335";"0";"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"35";"O94804";"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";"4";"4";"3.21731844455795E-4";"4";"4";"4.07383410388832E-4";"0";"extracellular vesicular exosome, cytoplasm, plasma membrane"
"36";"O94979";"O94979-1,O94979-2,O94979-3,O94979-4,O94979-6,O94979-7,O94979-8,O94979-9";"SC31A_HUMAN";"Protein transport protein Sec31A";"SEC31A";"1";"1";"7.97736745474411E-6";"1";"1";"0";"0";"endoplasmic reticulum membrane, Golgi membrane, cytosol, COPII vesicle coat, perinuclear region of cytoplasm"
"37";"O95182";"O95182";"NDUA7_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7";"NDUFA7";"6";"9";"0.00620116776305064";"6";"9";"0.00785204484802545";"0";"mitochondrial respiratory chain complex I"
"38";"O95336";"O95336";"6PGL_HUMAN";"6-phosphogluconolactonase";"PGLS";"1";"1";"3.01779482008924E-4";"1";"1";"3.82119322922858E-4";"0";"cytosol, extracellular vesicular exosome"
"39";"O95347";"O95347-1,O95347-2";"SMC2_HUMAN";"Structural maintenance of chromosomes protein 2";"SMC2";"7";"8";"2.60180806544035E-4";"7";"8";"0";"0";"extracellular vesicular exosome, cytosol, condensin complex, nuclear chromosome"
"40";"O95721";"O95721";"SNP29_HUMAN";"Synaptosomal-associated protein 29";"SNAP29";"3";"3";"9.05338446026773E-4";"3";"3";"0.00114635796876857";"0";"SNARE complex, nucleus, synapse, plasma membrane, cell junction, neuron projection"
"41";"O95757";"O95757";"HS74L_HUMAN";"Heat shock 70 kDa protein 4L";"HSPA4L";"1";"1";"1.34559838163932E-4";"1";"1";"1.7038240608515E-4";"2";"cytoplasm, nucleus"
"42";"O95831";"O95831-1,O95831-3";"AIFM1_HUMAN";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";"10";"10";"6.35066120377671E-4";"10";"10";"0";"0";"perinuclear region of cytoplasm, mitochondrial inner membrane, nucleus, cytosol, mitochondrial intermembrane space"
"43";"O95983";"O95983-1,O95983-2";"MBD3_HUMAN";"Methyl-CpG-binding domain protein 3";"MBD3";"2";"2";"2.67557066523376E-4";"2";"2";"0";"0";"cytoplasm, heterochromatin, NuRD complex"
"44";"O96000";"O96000";"NDUBA_HUMAN";"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10";"NDUFB10";"6";"11";"0.00497936145314725";"6";"11";"0.00630496882822715";"0";"mitochondrial respiratory chain complex I"
"45";"P00338";"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";"5";"8";"0.00104229058043243";"5";"8";"0";"2";"extracellular vesicular exosome, cilium, mitochondrion, cytosol"
"46";"P00367";"P00367";"DHE3_HUMAN";"Glutamate dehydrogenase 1, mitochondrial";"GLUD1";"4";"5";"6.97662243353965E-4";"4";"5";"8.83394133638865E-4";"0";"mitochondrial matrix"
"47";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";"21";"46";"0.00858877432249859";"21";"46";"0.0108752808739772";"0";"extracellular vesicular exosome, cytosol"
"48";"P01892";"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";"2";"4";"0.0026308556486367";"2";"4";"0.00333124297408365";"10";"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex"
"49";"P02545";"P02545-1,P02545-2,P02545-3";"LMNA_HUMAN";"Prelamin-A/C";"LMNA";"9";"10";"3.99844231286578E-4";"9";"10";"0";"2";"nuclear envelope, nucleoplasm, cytosol, lamin filament, nuclear speck, perinuclear region of cytoplasm"
"50";"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";"2";"2";"2.04892385153428E-4";"2";"2";"2.59438908721309E-4";"0";"extracellular vesicular exosome, blood microparticle, integral component of plasma membrane, endosome, external side of plasma membrane, coated pit, perinuclear region of cytoplasm, cytoplasmic membrane-bounded vesicle, melanosome"
"51";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";"10";"17";"0.00380943299031988";"10";"17";"0.00482358159438414";"1";"extracellular space, extracellular vesicular exosome, I band, actin cytoskeleton, cytosol, platelet alpha granule lumen"
"52";"P04259";"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";"0";"0";"0";"0";"0";"0";"2";"keratin filament, extracellular vesicular exosome"
"53";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";"7";"10";"0.00153139029069125";"7";"10";"0.00193907755793773";"3";"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle"
"54";"P04350";"P04350";"TBB4A_HUMAN";"Tubulin beta-4A chain";"TUBB4A";"1";"2";"0.00160939994624519";"1";"2";"0.00203785497170782";"46";"internode region of axon, plasma membrane, neuronal cell body, cilium, myelin sheath, cytosol, microtubule"
"55";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";"10";"18";"0.00418347437149088";"10";"18";"0.00529720040493657";"0";"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane"
"56";"P04439";"P04439,P13746-1,P13746-2,P16188";"1A03_HUMAN, 1A11_HUMAN, 1A30_HUMAN";"HLA class I histocompatibility antigen, A-11 alpha chain, HLA class I histocompatibility antigen, A-3 alpha chain, HLA class I histocompatibility antigen, A-30 alpha chain";"HLA-A";"0";"0";"0";"0";"0";"0";"8";"MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, early endosome membrane, integral component of plasma membrane, ER to Golgi transport vesicle membrane, Golgi membrane"
"57";"P04792";"P04792";"HSPB1_HUMAN";"Heat shock protein beta-1";"HSPB1";"7";"9";"0.00341820466938889";"7";"9";"0.00432820033086281";"0";"spindle, Z disc, extracellular vesicular exosome, cytoskeleton, proteasome complex, cytosol, nucleus, plasma membrane, extracellular space"
"58";"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";"3";"3";"3.84806126976783E-4";"3";"3";"4.87249350811025E-4";"0";"integral component of membrane, oligosaccharyltransferase complex, melanosome, rough endoplasmic reticulum"
"59";"P04908";"P04908,Q7L7L0,Q93077";"H2A1B_HUMAN, H2A1C_HUMAN, H2A3_HUMAN";"Histone H2A type 1-B/E, Histone H2A type 1-C, Histone H2A type 3";"HIST1H2AB,HIST1H2AE, HIST1H2AC, HIST3H2A";"1";"3";"0.00253936082304128";"1";"3";"0.00321539036351275";"37";"nucleus, nucleosome, extracellular vesicular exosome"
"60";"P05114";"P05114";"HMGN1_HUMAN";"Non-histone chromosomal protein HMG-14";"HMGN1";"1";"1";"7.78591063583025E-4";"1";"1";"9.85867853140973E-4";"0";"chromatin, nucleus, cytoplasm"
"61";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";"9";"14";"0.00365781036582629";"9";"14";"0.00463159394093075";"0";"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane"
"62";"P05204";"P05204";"HMGN2_HUMAN";"Non-histone chromosomal protein HMG-17";"HMGN2";"3";"7";"0.00605570827231241";"3";"7";"0.00766786107998535";"0";"cytoplasm, nucleus, chromatin"
"63";"P05387";"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";"3";"5";"0.0033851785373175";"3";"5";"0.00428638197017814";"0";"extracellular vesicular exosome, cytosolic large ribosomal subunit"
"64";"P05388";"P05388,Q8NHW5";"RLA0L_HUMAN, RLA0_HUMAN";"60S acidic ribosomal protein P0, 60S acidic ribosomal protein P0-like";"RPLP0, RPLP0P6";"5";"8";"9.82449291587413E-4";"5";"8";"0.00124399729102962";"0";"extracellular vesicular exosome, nucleus, cytosolic large ribosomal subunit"
"65";"P06454";"P06454-1,P06454-2";"PTMA_HUMAN";"Prothymosin alpha";"PTMA";"2";"2";"7.01433390615338E-4";"2";"2";"0";"0";"cytoplasm, nucleus"
"66";"P06493";"P06493-1";"CDK1_HUMAN";"Cyclin-dependent kinase 1";"CDK1";"3";"4";"0.00146805049025755";"3";"4";"0";"2";"midbody, cytosol, extracellular vesicular exosome, nucleoplasm, mitochondrion, microtubule organizing center, spindle microtubule"
"67";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";"20";"50";"0.00735908377677717";"20";"50";"0.00931822167430031";"0";"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane"
"68";"P06730";"P06730-1,P06730-2,P06730-3";"IF4E_HUMAN";"Eukaryotic translation initiation factor 4E";"EIF4E";"2";"2";"2.39198483435645E-4";"2";"2";"0";"0";"chromatoid body, eukaryotic translation initiation factor 4F complex, cytoplasmic mRNA processing body, cytosol, RISC complex, mRNA cap binding complex, cytoplasmic stress granule, extracellular vesicular exosome"
"69";"P06733";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";"15";"27";"0.00484376928957181";"15";"27";"0";"0";"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space"
"70";"P06744";"P06744-1,P06744-2";"G6PI_HUMAN";"Glucose-6-phosphate isomerase";"GPI";"3";"3";"2.09298673006189E-4";"3";"3";"0";"0";"neuron projection, cytosol, nucleus, extracellular space, extracellular vesicular exosome, plasma membrane"
"71";"P06748";"P06748-1";"NPM_HUMAN";"Nucleophosmin";"NPM1";"11";"18";"0.00476688406275321";"11";"18";"0";"0";"spindle pole centrosome, ribonucleoprotein complex, cytosol, nucleolus, nucleoplasm"
"72";"P06753";"P06753-1,P06753-2,P06753-3,P07951-1,P07951-2,P07951-3,P09493-1,P09493-2,P09493-3,P09493-4,P09493-5,P09493-6,P09493-7,P67936-1,P67936-2";"TPM1_HUMAN, TPM2_HUMAN, TPM3_HUMAN, TPM4_HUMAN";"Tropomyosin alpha-1 chain, Tropomyosin alpha-3 chain, Tropomyosin alpha-4 chain, Tropomyosin beta chain";"TPM1, TPM2, TPM3, TPM4";"2";"2";"3.71819992159993E-5";"2";"2";"0";"0";"cytosol, stress fiber, extracellular vesicular exosome, muscle thin filament tropomyosin"
"73";"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";"5";"10";"0.00259012329867939";"5";"10";"0.00327966684344968";"2";"extracellular vesicular exosome, cytosol, mitochondrion"
"74";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";"4";"4";"6.13063829592933E-4";"4";"4";"7.76273900111002E-4";"0";"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome"
"75";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";"5";"11";"0.00925637281431894";"5";"11";"0.0117206076734683";"57";"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen"
"76";"P07737";"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";"5";"7";"0.00389295531791512";"5";"7";"0.00492933926570487";"0";"synapse, extracellular vesicular exosome, cytoplasm, blood microparticle, neuron projection, cytoskeleton, nucleus"
"77";"P07814";"P07814";"SYEP_HUMAN";"Bifunctional glutamate/proline--tRNA ligase";"EPRS";"5";"5";"2.57470589809201E-4";"5";"5";"3.26014501700057E-4";"0";"GAIT complex, ribonucleoprotein complex, cytosol"
"78";"P07900";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";"11";"14";"0.00113595838550508";"11";"14";"0";"24";"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane"
"79";"P07910";"P07910-2";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";"14";"26";"0.00712436267330872";"14";"26";"0";"2";"catalytic step 2 spliceosome, nucleoplasm, extracellular vesicular exosome"
"80";"P07919";"P07919";"QCR6_HUMAN";"Cytochrome b-c1 complex subunit 6, mitochondrial";"UQCRH";"2";"2";"0.00171118915073192";"2";"2";"0.00216674253437577";"0";"mitochondrial respiratory chain complex III, mitochondrial respiratory chain"
"81";"P07954";"P07954-1,P07954-2";"FUMH_HUMAN";"Fumarate hydratase, mitochondrial";"FH";"4";"5";"3.8166228607011E-4";"4";"5";"0";"0";"tricarboxylic acid cycle enzyme complex, extracellular vesicular exosome, mitochondrial matrix"
"82";"P08107";"P08107-1";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";"11";"27";"0.00612437448547105";"11";"27";"0";"31";"blood microparticle, mitochondrion, ribonucleoprotein complex, perinuclear region of cytoplasm, endoplasmic reticulum, extracellular vesicular exosome, aggresome, cytosol, nuclear speck"
"83";"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";"13";"31";"0.00565924803499185";"13";"31";"0.00716585505743445";"31";"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body"
"84";"P08670";"P08670";"VIME_HUMAN";"Vimentin";"VIM";"28";"46";"0.00768566285940325";"28";"46";"0.0097317427563272";"0";"cell projection, peroxisome, cytosol, extracellular vesicular exosome, intermediate filament, cell leading edge"
"85";"P08708";"P08708,P0CW22";"RS17L_HUMAN, RS17_HUMAN";"40S ribosomal protein S17, 40S ribosomal protein S17-like";"RPS17, RPS17L";"4";"5";"0.00144183530293153";"4";"5";"0.00182568120952032";"0";"cytosolic small ribosomal subunit"
"86";"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";"2";"3";"7.91787522287822E-4";"2";"3";"0.00100257747777048";"0";"cytosolic small ribosomal subunit, 90S preribosome, nucleus, plasma membrane, extracellular vesicular exosome"
"87";"P09651";"P09651-1,P09651-2,P09651-3";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";"12";"19";"0.00144170975463192";"12";"19";"0";"4";"extracellular vesicular exosome, intermediate filament cytoskeleton, nucleolus, catalytic step 2 spliceosome, cytoplasm, nucleoplasm"
"88";"P09874";"P09874";"PARP1_HUMAN";"Poly [ADP-ribose] polymerase 1";"PARP1";"5";"6";"4.60704771350902E-4";"5";"6";"5.83353759255014E-4";"0";"nuclear envelope, transcription factor complex, nucleoplasm, nucleolus"
"89";"P09972";"P09972";"ALDOC_HUMAN";"Fructose-bisphosphate aldolase C";"ALDOC";"2";"4";"8.96337174192912E-4";"2";"4";"0.00113496037514921";"1";"mitochondrion, cytoskeleton, axon, extracellular vesicular exosome, cytosol"
"90";"P0C0S5";"P0C0S5,Q71UI9-1";"H2AV_HUMAN, H2AZ_HUMAN";"Histone H2A.V, Histone H2A.Z";"H2AFV, H2AFZ";"2";"5";"0.00536139178899569";"2";"5";"0.013577406831619";"32";"nucleosome, nucleus"
"91";"P0C0S8";"P0C0S8,P20671,Q16777,Q6FI13,Q96KK5,Q99878,Q9BTM1-1";"H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A1_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A.J";"H2AFJ, HIST1H2AD, HIST1H2AH, HIST1H2AJ, HIST1H2AM,HIST1H2AL,HIST1H2AG,HIST1H2AI,HIST1H2AK, HIST2H2AA3,HIST2H2AA4, HIST2H2AC";"1";"4";"0.00146069427874056";"1";"4";"0.00215742321164727";"37";"extracellular vesicular exosome, nucleosome, nucleus"
"92";"P0CG47";"P0CG47,P0CG48,P62979,P62987";"RL40_HUMAN, RS27A_HUMAN, UBB_HUMAN, UBC_HUMAN";"Polyubiquitin-B, Polyubiquitin-C, Ubiquitin-40S ribosomal protein S27a, Ubiquitin-60S ribosomal protein L40";"RPS27A, UBA52, UBB, UBC";"5";"10";"6.49909068099353E-4";"5";"10";"8.22928091102649E-4";"0";"cytosol, nucleoplasm, endocytic vesicle membrane, endosome membrane, plasma membrane"
"93";"P10319";"P10319,P18465";"1B57_HUMAN, 1B58_HUMAN";"HLA class I histocompatibility antigen, B-57 alpha chain, HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";"1";"1";"2.72435178785957E-4";"1";"1";"3.4496296887069E-4";"4";"phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, cell surface"
"94";"P10606";"P10606";"COX5B_HUMAN";"Cytochrome c oxidase subunit 5B, mitochondrial";"COX5B";"6";"7";"0.00422491274812494";"6";"7";"0.00534967052092001";"0";"mitochondrial inner membrane"
"95";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";"27";"51";"0.00692986810518923";"27";"51";"0.00877474005413431";"0";"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol"
"96";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";"26";"53";"0.00658420514787931";"26";"53";"0.0083370545815253";"6";"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus"
"97";"P11142";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";"25";"77";"0.0108801712605685";"25";"77";"0";"18";"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle"
