"";"accession";"name";"go_name"
"11";"P01889";"1B07_HUMAN";"P:regulation of dendritic cell differentiation, P:interferon-gamma-mediated signaling pathway, C:integral component of lumenal side of endoplasmic reticulum membrane, P:positive regulation of T cell mediated cytotoxicity, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:ER to Golgi transport vesicle membrane, P:regulation of T cell anergy, C:MHC class I protein complex, P:regulation of immune response, C:Golgi membrane, C:cell surface, C:phagocytic vesicle membrane, P:regulation of interleukin-12 production, C:extracellular vesicular exosome, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:integral component of plasma membrane, C:early endosome membrane, P:regulation of interleukin-6 production, P:viral process, P:type I interferon signaling pathway, F:peptide antigen binding"
"12";"P30460";"1B08_HUMAN";"F:peptide antigen binding, F:receptor binding, P:interferon-gamma-mediated signaling pathway, C:phagocytic vesicle membrane, C:cell surface, C:integral component of plasma membrane, F:TAP binding, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:type I interferon signaling pathway, C:Golgi membrane, P:viral process, P:regulation of immune response, C:MHC class I protein complex, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:ER to Golgi transport vesicle membrane, C:early endosome membrane, P:positive regulation of T cell mediated cytotoxicity, C:integral component of lumenal side of endoplasmic reticulum membrane"
"13";"P30466";"1B18_HUMAN";"P:regulation of immune response, P:positive regulation of T cell mediated cytotoxicity, C:integral component of lumenal side of endoplasmic reticulum membrane, C:cell surface, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:viral process, F:peptide antigen binding, P:interferon-gamma-mediated signaling pathway, P:type I interferon signaling pathway, C:early endosome membrane, C:MHC class I protein complex, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:Golgi membrane, C:ER to Golgi transport vesicle membrane, C:phagocytic vesicle membrane, F:receptor binding"
"14";"Q04826";"1B40_HUMAN";"C:early endosome membrane, F:peptide antigen binding, P:type I interferon signaling pathway, C:cell surface, C:integral component of lumenal side of endoplasmic reticulum membrane, C:ER to Golgi transport vesicle membrane, P:regulation of immune response, C:MHC class I protein complex, C:phagocytic vesicle membrane, P:interferon-gamma-mediated signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:positive regulation of T cell mediated cytotoxicity, P:viral process, C:Golgi membrane"
"15";"P30479";"1B41_HUMAN";"P:viral process, P:positive regulation of T cell mediated cytotoxicity, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:phagocytic vesicle membrane, C:cell surface, C:integral component of lumenal side of endoplasmic reticulum membrane, C:early endosome membrane, P:regulation of immune response, P:type I interferon signaling pathway, C:ER to Golgi transport vesicle membrane, F:peptide antigen binding, C:MHC class I protein complex, P:interferon-gamma-mediated signaling pathway, C:Golgi membrane"
"16";"P30486";"1B48_HUMAN";"P:viral process, C:integral component of membrane, F:peptide antigen binding, C:cell surface, P:antigen processing and presentation of peptide antigen via MHC class I, P:positive regulation of T cell mediated cytotoxicity, P:immune response, C:MHC class I protein complex"
"17";"P18464";"1B51_HUMAN";"C:cell surface, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:Golgi membrane, C:ER to Golgi transport vesicle membrane, F:peptide antigen binding, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:MHC class I protein complex, P:positive regulation of T cell mediated cytotoxicity, C:integral component of lumenal side of endoplasmic reticulum membrane, P:type I interferon signaling pathway, C:early endosome membrane, P:viral process, C:phagocytic vesicle membrane, P:antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent, P:interferon-gamma-mediated signaling pathway, P:regulation of immune response"
"18";"P18465";"1B57_HUMAN";"C:ER to Golgi transport vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, F:peptide antigen binding, C:phagocytic vesicle membrane, C:early endosome membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:viral process, C:Golgi membrane, C:cell surface, P:regulation of immune response, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:MHC class I protein complex, P:interferon-gamma-mediated signaling pathway"
"19";"P10319";"1B58_HUMAN";"P:interferon-gamma-mediated signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:phagocytic vesicle membrane, P:viral process, F:peptide antigen binding, P:positive regulation of T cell mediated cytotoxicity, C:ER to Golgi transport vesicle membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:type I interferon signaling pathway, C:early endosome membrane, C:Golgi membrane, C:MHC class I protein complex, C:integral component of lumenal side of endoplasmic reticulum membrane, C:cell surface, P:regulation of immune response"
"20";"Q31612";"1B73_HUMAN";"P:regulation of immune response, P:positive regulation of T cell mediated cytotoxicity, C:integral component of lumenal side of endoplasmic reticulum membrane, C:early endosome membrane, C:MHC class I protein complex, C:ER to Golgi transport vesicle membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:Golgi membrane, P:viral process, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:phagocytic vesicle membrane, C:cell surface, F:peptide antigen binding, P:type I interferon signaling pathway, P:interferon-gamma-mediated signaling pathway"
"21";"P30501";"1C02_HUMAN";"P:type I interferon signaling pathway, C:phagocytic vesicle membrane, C:ER to Golgi transport vesicle membrane, C:early endosome membrane, P:viral process, C:cell surface, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:integral component of plasma membrane, F:TAP binding, F:peptide antigen binding, C:MHC class I protein complex, C:Golgi membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:regulation of immune response, P:positive regulation of T cell mediated cytotoxicity, C:integral component of lumenal side of endoplasmic reticulum membrane, P:interferon-gamma-mediated signaling pathway"
"22";"P04222";"1C03_HUMAN";"C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, F:peptide antigen binding, P:interferon-gamma-mediated signaling pathway, F:receptor binding, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, F:TAP binding, C:early endosome membrane, C:Golgi membrane, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:cell surface, C:ER to Golgi transport vesicle membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:regulation of immune response, C:MHC class I protein complex, P:viral process"
"23";"P10321";"1C07_HUMAN";"C:integral component of lumenal side of endoplasmic reticulum membrane, F:peptide antigen binding, F:receptor binding, C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, P:viral process, P:type I interferon signaling pathway, C:extracellular vesicular exosome, C:cell surface, P:regulation of immune response, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:interferon-gamma-mediated signaling pathway, C:MHC class I protein complex, C:Golgi membrane, C:ER to Golgi transport vesicle membrane, C:early endosome membrane"
"24";"P30508";"1C12_HUMAN";"C:Golgi membrane, F:peptide antigen binding, P:regulation of immune response, C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, C:ER to Golgi transport vesicle membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:type I interferon signaling pathway, C:MHC class I protein complex, C:cell surface, C:early endosome membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:integral component of plasma membrane, P:viral process, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:interferon-gamma-mediated signaling pathway"
"25";"Q95604";"1C17_HUMAN";"F:peptide antigen binding, P:interferon-gamma-mediated signaling pathway, C:MHC class I protein complex, C:phagocytic vesicle membrane, C:ER to Golgi transport vesicle membrane, C:early endosome membrane, P:positive regulation of T cell mediated cytotoxicity, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:Golgi membrane, P:type I interferon signaling pathway, C:integral component of lumenal side of endoplasmic reticulum membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:viral process, C:cell surface, P:regulation of immune response"
"26";"Q14738";"2A5D_HUMAN";"P:toll-like receptor 9 signaling pathway, P:TRIF-dependent toll-like receptor signaling pathway, P:innate immune response, P:toll-like receptor TLR6:TLR2 signaling pathway, C:nucleoplasm, P:neurotrophin TRK receptor signaling pathway, P:toll-like receptor TLR1:TLR2 signaling pathway, P:MyD88-dependent toll-like receptor signaling pathway, C:cytosol, P:toll-like receptor 2 signaling pathway, C:protein phosphatase type 2A complex, P:toll-like receptor 4 signaling pathway, F:protein phosphatase type 2A regulator activity, F:protein serine/threonine phosphatase activity, P:stress-activated MAPK cascade, P:toll-like receptor 3 signaling pathway, P:toll-like receptor 10 signaling pathway, P:small molecule metabolic process, P:toll-like receptor 5 signaling pathway, P:nervous system development, P:glycolysis, P:energy reserve metabolic process"
"27";"P30153";"2AAA_HUMAN";"C:chromosome, centromeric region, F:protein phosphatase type 2A regulator activity, P:negative regulation of tyrosine phosphorylation of Stat3 protein, F:protein serine/threonine phosphatase activity, P:peptidyl-serine dephosphorylation, P:regulation of DNA replication, P:negative regulation of cell growth, C:nucleus, P:inactivation of MAPK activity, P:second-messenger-mediated signaling, C:membrane, F:antigen binding, P:RNA splicing, C:microtubule cytoskeleton, P:protein complex assembly, C:protein phosphatase type 2A complex, P:G2/M transition of mitotic cell cycle, P:ceramide metabolic process, P:mitotic nuclear envelope reassembly, P:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay, C:cytosol, P:apoptotic process, C:mitochondrion, P:regulation of cell differentiation, P:fibroblast growth factor receptor signaling pathway, P:regulation of Wnt signaling pathway, P:positive regulation of extrinsic apoptotic signaling pathway in absence of ligand, P:regulation of cell adhesion, P:protein dephosphorylation, P:chromosome segregation, P:regulation of transcription, DNA-templated"
"28";"P30154";"2AAB_HUMAN";"P:apoptotic process involved in morphogenesis, P:positive regulation of extrinsic apoptotic signaling pathway in absence of ligand, C:membrane raft"
"29";"P63151";"2ABA_HUMAN";"P:signal transduction, P:mitotic nuclear envelope reassembly, P:protein dephosphorylation, C:cytosol, P:response to morphine, P:gene expression, C:protein phosphatase type 2A complex, P:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay, F:protein phosphatase type 2A regulator activity, F:protein serine/threonine phosphatase activity"
"30";"Q00005";"2ABB_HUMAN";"C:mitochondrial outer membrane, P:apoptotic process, F:protein phosphatase type 2A regulator activity, C:protein phosphatase type 2A complex, P:signal transduction, C:cytoskeleton"
"31";"P01912";"2B13_HUMAN";"P:immunoglobulin production involved in immunoglobulin mediated immune response, C:ER to Golgi transport vesicle membrane, C:trans-Golgi network membrane, C:MHC class II protein complex, P:T cell receptor signaling pathway, C:plasma membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, C:Golgi membrane, P:T cell costimulation, C:late endosome membrane, P:interferon-gamma-mediated signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, C:lysosomal membrane, C:clathrin-coated endocytic vesicle membrane, P:humoral immune response mediated by circulating immunoglobulin"
"32";"P31937";"3HIDH_HUMAN";"P:pentose-phosphate shunt, P:valine catabolic process, F:3-hydroxyisobutyrate dehydrogenase activity, C:mitochondrial matrix, F:phosphogluconate dehydrogenase (decarboxylating) activity, P:cellular nitrogen compound metabolic process, F:NAD binding"
"33";"P11171";"41_HUMAN";"C:Golgi apparatus, C:spectrin, F:1-phosphatidylinositol binding, P:actin cytoskeleton organization, C:protein complex, F:structural constituent of cytoskeleton, P:positive regulation of protein binding, C:extrinsic component of membrane, P:blood circulation, F:spectrin binding, P:cortical actin cytoskeleton organization, C:plasma membrane, C:spectrin-associated cytoskeleton, C:nucleus"
"34";"P08195";"4F2_HUMAN";"P:leucine import, C:apical plasma membrane, C:melanosome, P:response to exogenous dsRNA, F:calcium:sodium antiporter activity, F:cation binding, F:neutral amino acid transmembrane transporter activity, C:extracellular vesicular exosome, C:integral component of membrane, P:tryptophan transport, P:leukocyte migration, P:cell growth, C:plasma membrane, P:blood coagulation, F:catalytic activity, P:carbohydrate metabolic process, F:double-stranded RNA binding"
"35";"P49902";"5NTC_HUMAN";"C:cytosol, P:purine nucleobase metabolic process, P:drug metabolic process, F:nucleotide binding, P:purine nucleotide catabolic process, F:metal ion binding, F:5'-nucleotidase activity, F:nucleoside phosphotransferase activity"
"36";"P56378";"68MP_HUMAN";"C:integral component of membrane, C:mitochondrial proton-transporting ATP synthase complex"
"37";"P52209";"6PGD_HUMAN";"F:NADP binding, C:extracellular vesicular exosome, P:pentose biosynthetic process, F:phosphogluconate dehydrogenase (decarboxylating) activity, P:D-gluconate metabolic process, P:pentose-phosphate shunt, oxidative branch, C:cytosol"
"38";"O95336";"6PGL_HUMAN";"C:cytosol, C:extracellular vesicular exosome, F:monosaccharide binding, P:pentose-phosphate shunt, F:6-phosphogluconolactonase activity, P:pentose-phosphate shunt, oxidative branch"
"39";"P36639";"8ODP_HUMAN";"P:dATP catabolic process, F:8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity, P:nucleobase-containing small molecule catabolic process, P:DNA protection, F:8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity, C:nucleus, P:dGTP catabolic process, F:GTPase activity, C:cytosol, P:response to oxidative stress, F:snoRNA binding, F:metal ion binding, C:mitochondrial matrix, P:mismatch repair, P:ATP catabolic process, F:ATP diphosphatase activity"
"40";"Q8IZ83";"A16A1_HUMAN";"F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
"41";"Q15758";"AAAT_HUMAN";"F:L-glutamine transmembrane transporter activity, P:sodium ion transmembrane transport, C:extracellular vesicular exosome, C:integral component of plasma membrane, C:Golgi apparatus, C:melanosome, P:extracellular amino acid transport, F:L-serine transmembrane transporter activity, F:sodium:dicarboxylate symporter activity, F:receptor activity, F:virus receptor activity, P:response to virus"
"42";"Q9BTE6";"AASD1_HUMAN";"P:alanyl-tRNA aminoacylation, F:alanine-tRNA ligase activity, F:nucleic acid binding, F:Ser-tRNA(Ala) hydrolase activity, F:ATP binding, F:metal ion binding, C:cytoplasm"
"43";"P17174";"AATC_HUMAN";"P:gluconeogenesis, P:glutamate metabolic process, P:2-oxoglutarate metabolic process, P:polyamine metabolic process, P:glutamate catabolic process to aspartate, C:axon terminus, P:glycerol biosynthetic process, F:L-aspartate:2-oxoglutarate aminotransferase activity, F:L-phenylalanine:2-oxoglutarate aminotransferase activity, F:carboxylic acid binding, P:cellular response to insulin stimulus, P:oxaloacetate metabolic process, P:L-methionine salvage from methylthioadenosine, F:phosphatidylserine decarboxylase activity, P:fatty acid homeostasis, P:glutamate catabolic process to 2-oxoglutarate, F:L-cysteine:2-oxoglutarate aminotransferase activity, C:cytosol, C:extracellular vesicular exosome, P:aspartate catabolic process, P:response to glucocorticoid, C:lysosome, F:pyridoxal phosphate binding, P:aspartate biosynthetic process"
"44";"P00505";"AATM_HUMAN";"P:4-hydroxyproline catabolic process, C:mitochondrial matrix, P:response to ethanol, P:2-oxoglutarate metabolic process, P:glutamate catabolic process to aspartate, P:aspartate biosynthetic process, F:L-aspartate:2-oxoglutarate aminotransferase activity, F:pyridoxal phosphate binding, P:glutamate catabolic process to 2-oxoglutarate, P:aspartate catabolic process, P:oxaloacetate metabolic process, C:extracellular vesicular exosome, C:mitochondrial inner membrane, F:kynurenine-oxoglutarate transaminase activity, F:L-phenylalanine:2-oxoglutarate aminotransferase activity, P:L-kynurenine metabolic process, P:cellular amino acid biosynthetic process, C:plasma membrane, P:fatty acid transport, P:cellular nitrogen compound metabolic process, P:gluconeogenesis, P:glutamate metabolic process"
"45";"Q9NRW3";"ABC3C_HUMAN";"F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines, C:cytoplasm, P:viral process, C:nucleus, P:defense response to virus, F:zinc ion binding, P:innate immune response, P:negative regulation of transposition, P:cytidine deamination, P:DNA demethylation, P:negative regulation of viral genome replication"
"46";"O75027";"ABCB7_HUMAN";"C:mitochondrial inner membrane, F:ATPase activity, coupled to transmembrane movement of substances, F:ATP binding, C:integral component of membrane, F:heme transporter activity, P:cellular iron ion homeostasis"
"47";"P61221";"ABCE1_HUMAN";"F:ribonuclease inhibitor activity, F:ATPase activity, P:RNA catabolic process, P:response to virus, P:viral process, F:iron-sulfur cluster binding, F:ATP binding, P:ATP catabolic process, C:mitochondrion"
"48";"Q8NE71";"ABCF1_HUMAN";"C:nucleoplasm, P:inflammatory response, F:translation factor activity, nucleic acid binding, F:ribosome binding, C:nuclear envelope, F:translation activator activity, F:ATP binding, C:ribosome, P:ATP catabolic process, C:polysomal ribosome, P:translational initiation, F:ATPase activity"
"49";"Q9UG63";"ABCF2_HUMAN";"F:transporter activity, F:ATP binding, C:ATP-binding cassette (ABC) transporter complex, C:mitochondrial envelope, P:ATP catabolic process, F:ATPase activity"
"50";"Q9NUJ1";"ABHDA_HUMAN";"C:cytosol, C:mitochondrion, P:glucuronoside catabolic process, F:hydrolase activity, hydrolyzing O-glycosyl compounds"
"51";"Q96IU4";"ABHEB_HUMAN";"F:hydrolase activity, C:nucleolus, C:cytosol, C:extracellular vesicular exosome, P:positive regulation of transcription from RNA polymerase II promoter"
"52";"Q8IZP0";"ABI1_HUMAN";"C:extracellular vesicular exosome, F:protein tyrosine kinase activator activity, C:endoplasmic reticulum, C:lamellipodium, C:filopodium, F:cytoskeletal protein binding, C:cell junction, C:nucleus, C:cytosol, C:growth cone, F:protein complex binding, P:Fc-gamma receptor signaling pathway involved in phagocytosis, P:lamellipodium morphogenesis, C:synapse, P:negative regulation of cell proliferation, P:somitogenesis, C:cytoskeleton, P:cellular component movement, P:megakaryocyte development, C:SCAR complex, P:peptidyl-tyrosine phosphorylation, P:transmembrane receptor protein tyrosine kinase signaling pathway, P:innate immune response, P:actin polymerization or depolymerization"
"53";"Q13085";"ACACA_HUMAN";"P:triglyceride biosynthetic process, P:positive regulation of cellular metabolic process, C:mitochondrion, F:ATP binding, P:acetyl-CoA metabolic process, P:long-chain fatty-acyl-CoA biosynthetic process, P:multicellular organismal protein metabolic process, P:malonyl-CoA biosynthetic process, C:cytosol, P:protein homotetramerization, F:metal ion binding, P:tissue homeostasis, F:biotin carboxylase activity, P:biotin metabolic process, P:energy reserve metabolic process, P:lipid homeostasis, P:carnitine shuttle, P:fatty acid biosynthetic process, F:acetyl-CoA carboxylase activity"
"54";"Q9H845";"ACAD9_HUMAN";"C:dendrite, F:acyl-CoA dehydrogenase activity, F:flavin adenine dinucleotide binding, C:mitochondrion, C:nucleus"
"55";"P11310";"ACADM_HUMAN";"C:axon, F:identical protein binding, P:regulation of gluconeogenesis, P:fatty acid beta-oxidation using acyl-CoA dehydrogenase, C:mitochondrial matrix, P:cardiac muscle cell differentiation, P:liver development, P:carnitine biosynthetic process, P:post-embryonic development, P:response to cold, P:carnitine metabolic process, CoA-linked, F:flavin adenine dinucleotide binding, P:medium-chain fatty acid catabolic process, P:glycogen biosynthetic process, F:medium-chain-acyl-CoA dehydrogenase activity, P:response to starvation"
"56";"P16219";"ACADS_HUMAN";"C:mitochondrial membrane, F:flavin adenine dinucleotide binding, P:butyrate catabolic process, P:protein homotetramerization, P:fatty acid beta-oxidation, P:fatty acid beta-oxidation using acyl-CoA dehydrogenase, C:mitochondrial matrix, F:acyl-CoA dehydrogenase activity, P:response to glucocorticoid, F:butyryl-CoA dehydrogenase activity, P:response to starvation, F:fatty-acyl-CoA binding"
"57";"P49748";"ACADV_HUMAN";"P:temperature homeostasis, P:epithelial cell differentiation, F:flavin adenine dinucleotide binding, P:fatty acid beta-oxidation using acyl-CoA dehydrogenase, P:activation of signaling protein activity involved in unfolded protein response, F:long-chain-acyl-CoA dehydrogenase activity, P:cellular protein metabolic process, P:regulation of cholesterol metabolic process, P:negative regulation of fatty acid oxidation, P:negative regulation of fatty acid biosynthetic process, P:energy derivation by oxidation of organic compounds, C:mitochondrial nucleoid, C:mitochondrial inner membrane"
"58";"O00400";"ACATN_HUMAN";"P:transmembrane transport, C:integral component of plasma membrane, C:Golgi membrane, P:cell death, F:acetyl-CoA transporter activity, C:endoplasmic reticulum membrane"
"59";"P45954";"ACDSB_HUMAN";"F:flavin adenine dinucleotide binding, F:acyl-CoA dehydrogenase activity, P:fatty acid metabolic process, P:cellular nitrogen compound metabolic process, P:branched-chain amino acid catabolic process, C:mitochondrial matrix"
"60";"Q9UKV3";"ACINU_HUMAN";"P:negative regulation of mRNA splicing, via spliceosome, P:apoptotic chromosome condensation, F:RNA binding, C:nuclear speck, P:positive regulation of monocyte differentiation, F:enzyme binding, F:ATPase activity, P:erythrocyte differentiation, C:cytosol, F:nucleic acid binding, P:mRNA processing, C:ASAP complex, P:RNA splicing, P:positive regulation of apoptotic process, F:nucleotide binding"
"61";"O96019";"ACL6A_HUMAN";"P:regulation of growth, P:DNA repair, P:DNA recombination, P:histone H2A acetylation, P:nervous system development, C:Ino80 complex, C:NuA4 histone acetyltransferase complex, F:chromatin binding, P:neural retina development, C:SWI/SNF complex, P:histone H4 acetylation, P:regulation of transcription from RNA polymerase II promoter, C:plasma membrane, P:transcription, DNA-templated, P:chromatin remodeling, C:npBAF complex, P:signal transduction, F:transcription coactivator activity"
