"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838.1.id.csv";"peptide.count.P5838.2.id.csv";"peptide.count.P5839.1.id.csv";"peptide.count.P5839.2.id.csv";"spectra.count.P5838.1.id.csv";"spectra.count.P5838.2.id.csv";"spectra.count.P5839.1.id.csv";"spectra.count.P5839.2.id.csv";"dNSAF.P5838.1.id.csv";"dNSAF.P5838.2.id.csv";"dNSAF.P5839.1.id.csv";"dNSAF.P5839.2.id.csv";"Go.Cc";"norm.sc"
"64";64;"O14964";"O14964-1,O14964-2";"O14964-1,O14964-2";"HGS_HUMAN";"Hepatocyte growth factor-regulated tyrosine kinase substrate";"HGS";1;1;5,63581764862524e-06;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;"cytosol, early endosome, secretory granule, multivesicular body membrane, early endosome membrane, cytoplasm, endosome, extracellular vesicular exosome, intracellular membrane-bounded organelle";2,31449335740406e-05
"66";66;"O14975";"O14975-1,O14975-2";"O14975-1,O14975-2";"S27A2_HUMAN";"Very long-chain acyl-CoA synthetase";"SLC27A2";1;1;7,0629521177126e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"mitochondrion, endoplasmic reticulum lumen, peroxisomal membrane, endoplasmic reticulum membrane, integral component of peroxisomal membrane, extracellular vesicular exosome, integral component of endoplasmic reticulum membrane";2,31449335740406e-05
"68";68;"O14980";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";23;76;0,000621487028546439;16;18;17;20;17;18;18;23;0,00075871920343964;0,000811468271340135;0,000740045081533545;0,00094474670643418;"intracellular membrane-bounded organelle, ribonucleoprotein complex, nucleus, cytosol, nucleoplasm, kinetochore, annulate lamellae, Cajal body, cytoplasm, nucleolus, nuclear envelope, nuclear membrane";0,00175901495162709
"72";72;"O15126";"O15126-1";"O15126-1";"SCAM1_HUMAN";"Secretory carrier-associated membrane protein 1";"SCAMP1";1;4;0,000103645687881226;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"recycling endosome membrane, integral component of membrane, Golgi apparatus, trans-Golgi network";9,25797342961626e-05
"73";73;"O15127";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";2;7;0,000186341715446035;1;2;1;1;2;2;2;1;0,000290573311955607;0,000293509800271964;0,000267675880554687;0,000133715306276068;"nucleus, Golgi apparatus, recycling endosome membrane, extracellular vesicular exosome, trans-Golgi network membrane, integral component of membrane, transport vesicle, intracellular membrane-bounded organelle";0,000162014535018284
"75";75;"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";13;51;0,00148887030641382;10;9;11;9;14;12;14;11;0,00223063445811254;0,00193129448578952;0,00205485850972481;0,00161305231137697;"plasma membrane, cell leading edge, cytoplasm, synapse, extracellular vesicular exosome, Golgi apparatus, cytosol, endosome, Arp2/3 protein complex, neuron projection, focal adhesion, actin cytoskeleton";0,00118039161227607
"77";77;"O15173";"O15173";"O15173";"PGRC2_HUMAN";"Membrane-associated progesterone receptor component 2";"PGRMC2";2;6;0,000282771464156673;1;1;2;2;1;1;2;2;0,000267933350990456;0,000216512834729767;0,000473894339206234;0,000507278695558536;"integral component of membrane";0,000138869601444244
"79";79;"O15260";"O15260-1,O15260-2";"O15260-1,O15260-2";"SURF4_HUMAN";"Surfeit locus protein 4";"SURF4";4;14;0,000227904923352213;2;2;4;4;3;3;4;4;NA;NA;NA;NA;"Golgi membrane, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, integral component of membrane";0,000324029070036569
"81";81;"O15269";"O15269-1";"O15269-1";"SPTC1_HUMAN";"Serine palmitoyltransferase 1";"SPTLC1";3;7;0,000129611890870498;1;NA;2;3;1;NA;3;3;NA;NA;NA;NA;"integral component of membrane, endoplasmic reticulum membrane, serine C-palmitoyltransferase complex, SPOTS complex";0,000162014535018284
"82";82;"O15270";"O15270";"O15270";"SPTC2_HUMAN";"Serine palmitoyltransferase 2";"SPTLC2";1;1;1,55837377686186e-05;1;NA;NA;NA;1;NA;NA;NA;8,50521526987497e-05;NA;NA;NA;"endoplasmic reticulum membrane, serine C-palmitoyltransferase complex, mitochondrion, integral component of membrane";2,31449335740406e-05
"83";83;"O15294";"O15294-1,O15294-2,O15294-3,O15294-4";"O15294-1,O15294-2,O15294-3,O15294-4";"OGT1_HUMAN";"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit";"OGT";1;1;2,09322672704676e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"microtubule organizing center, nucleoplasm, cytoplasm, histone acetyltransferase complex, MLL5-L complex, mitochondrion, plasma membrane, nucleus, cytosol";2,31449335740406e-05
"90";90;"O15400";"O15400-1,O15400-2";"O15400-1,O15400-2";"STX7_HUMAN";"Syntaxin-7";"STX7";2;4;6,71115756778822e-05;2;NA;1;1;2;NA;1;1;NA;NA;NA;NA;"early endosome membrane, perinuclear region of cytoplasm, lysosomal membrane, intracellular membrane-bounded organelle, SNARE complex, integral component of membrane, extracellular vesicular exosome";9,25797342961626e-05
"93";93;"O43169";"O43169";"O43169";"CYB5B_HUMAN";"Cytochrome b5 type B";"CYB5B";3;12;0,000719840599394271;2;3;2;1;3;4;3;2;0,000982177598973232;0,00132280444232159;0,000904781144203684;0,000602634736504471;"integral component of membrane, mitochondrial outer membrane";0,000277739202888488
"95";95;"O43181";"O43181";"O43181";"NDUS4_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial";"NDUFS4";2;4;0,000200184242879169;2;1;1;NA;2;1;1;NA;0,000546277826476541;0,000275899212255646;0,000251615327721405;NA;"mitochondrial inner membrane, mitochondrial respiratory chain complex I, mitochondrion";9,25797342961626e-05
"97";97;"O43264";"O43264";"O43264";"ZW10_HUMAN";"Centromere/kinetochore protein zw10 homolog";"ZW10";2;4;4,49707862693896e-05;1;NA;1;2;1;NA;1;2;6,13598328840787e-05;NA;5,65246243276585e-05;0,00011294566306759;"condensed chromosome kinetochore, endoplasmic reticulum membrane, nucleus, kinetochore, kinetochore microtubule, spindle pole, cytoplasm, cytosol, endoplasmic reticulum";9,25797342961626e-05
"104";104;"O43402";"O43402";"O43402";"EMC8_HUMAN";"ER membrane protein complex subunit 8";"EMC8";2;4;0,000166820202399307;NA;NA;2;2;NA;NA;2;2;NA;NA;0,000419358879535676;0,00041897462633168;"nucleus, cytoplasm, ER membrane protein complex, mitochondrion";9,25797342961626e-05
"107";107;"O43464";"O43464-1,O43464-2,O43464-3";"O43464-1,O43464-2,O43464-3";"HTRA2_HUMAN";"Serine protease HTRA2, mitochondrial";"HTRA2";1;1;6,37413437115257e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"endoplasmic reticulum, endoplasmic reticulum membrane, CD40 receptor complex, cytosol, nucleus, cytoplasmic side of plasma membrane, mitochondrion, mitochondrial membrane, mitochondrial intermembrane space";2,31449335740406e-05
"109";109;"O43491";"O43491-1";"O43491-1";"E41L2_HUMAN";"Band 4.1-like protein 2";"EPB41L2";5;7;0,000122002834590538;4;1;1;1;4;1;1;1;NA;NA;NA;NA;"extracellular vesicular exosome, extrinsic component of membrane, plasma membrane, spectrin";0,000162014535018284
"110";110;"O43493";"O43493-1,O43493-2,O43493-3,O43493-4,O43493-5,O43493-6";"O43493-1,O43493-2,O43493-3,O43493-4,O43493-5,O43493-6";"TGON2_HUMAN";"Trans-Golgi network integral membrane protein 2";"TGOLN2";1;1;3,04099327290404e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"plasma membrane, Golgi apparatus, transport vesicle, nucleus, integral component of membrane, trans-Golgi network";2,31449335740406e-05
"112";112;"O43615";"O43615";"O43615";"TIM44_HUMAN";"Mitochondrial import inner membrane translocase subunit TIM44";"TIMM44";9;23;0,000445653527427353;4;5;6;5;4;6;7;6;0,000423002741740684;0,000640916311655815;0,000681922071811331;0,000583969058825129;"mitochondrial inner membrane, mitochondrial matrix, mitochondrion";0,000532333472202935
"113";113;"O43665";"O43665-3";"O43665-3";"RGS10_HUMAN";"Regulator of G-protein signaling 10";"RGS10";1;3;0,000151873883687231;1;NA;1;1;1;NA;1;1;NA;NA;NA;NA;"dendritic spine, cytoplasm, neuronal cell body, nucleus, axon terminus, plasma membrane";6,94348007221219e-05
"115";115;"O43676";"O43676";"O43676";"NDUB3_HUMAN";"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3";"NDUFB3";2;2;0,000178735931142115;NA;2;NA;NA;NA;2;NA;NA;NA;0,00098535432948445;NA;NA;"mitochondrial inner membrane, mitochondrial respiratory chain complex I, integral component of membrane";4,62898671480813e-05
"116";116;"O43678";"O43678";"O43678";"NDUA2_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2";"NDUFA2";2;2;0,000176930517696235;2;NA;NA;NA;2;NA;NA;NA;0,000965642622559542;NA;NA;NA;"mitochondrial respiratory chain complex I, mitochondrial inner membrane, mitochondrial membrane";4,62898671480813e-05
"121";121;"O43747";"O43747-1,O43747-2";"O43747-1,O43747-2";"AP1G1_HUMAN";"AP-1 complex subunit gamma-1";"AP1G1";4;10;5,32728748537934e-05;4;2;2;2;4;2;2;2;NA;NA;NA;NA;"AP-type membrane coat adaptor complex, lysosomal membrane, trans-Golgi network membrane, clathrin-coated vesicle, clathrin adaptor complex, cytoplasm, clathrin-coated vesicle membrane, intracellular membrane-bounded organelle, Golgi membrane, cytosol, Golgi apparatus, recycling endosome, cytoplasmic vesicle membrane, perinuclear region of cytoplasm";0,000231449335740406
"122";122;"O43760";"O43760";"O43760";"SNG2_HUMAN";"Synaptogyrin-2";"SYNGR2";1;1;3,90984849373376e-05;NA;1;NA;NA;NA;1;NA;NA;NA;0,000215546259574723;NA;NA;"integral component of membrane, synaptic vesicle, extracellular vesicular exosome";2,31449335740406e-05
"127";127;"O43813";"O43813";"O43813";"LANC1_HUMAN";"LanC-like protein 1";"LANCL1";1;3;6,58500798944634e-05;NA;NA;1;1;NA;NA;1;2;NA;NA;0,000110357599877809;0,0002205129612272;"cytoplasm, integral component of plasma membrane, nucleus";6,94348007221219e-05
"133";133;"O43920";"O43920";"O43920";"NDUS5_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5";"NDUFS5";2;6;0,000495739280714922;1;1;2;2;1;1;2;2;0,000450936885063182;0,000455493982497529;0,000830805327381999;0,00083004407103446;"mitochondrial inner membrane, mitochondrion, mitochondrial respiratory chain complex I, mitochondrial intermembrane space";0,000138869601444244
"138";138;"O60313";"O60313-1,O60313-2";"O60313-1,O60313-2";"OPA1_HUMAN";"Dynamin-like 120 kDa protein, mitochondrial";"OPA1";6;10;4,56148990935606e-05;2;3;1;4;2;3;1;4;NA;NA;NA;NA;"mitochondrial intermembrane space, integral component of membrane, mitochondrial inner membrane, mitochondrial outer membrane, mitochondrion, dendrite, mitochondrial crista";0,000231449335740406
"139";139;"O60343";"O60343-1,O60343-2,O60343-3";"O60343-1,O60343-2,O60343-3";"TBCD4_HUMAN";"TBC1 domain family member 4";"TBC1D4";2;2;4,49823350075174e-06;NA;1;NA;1;NA;1;NA;1;NA;NA;NA;NA;"cytoplasmic vesicle membrane, cytoplasm";4,62898671480813e-05
"140";140;"O60488";"O60488-1,O60488-2";"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";9;26;0,000178753469747859;6;5;6;7;6;5;7;8;NA;NA;NA;NA;"endoplasmic reticulum membrane, lipid particle, extracellular vesicular exosome, cytoplasm, neuronal cell body, mitochondrial outer membrane, integral component of membrane, peroxisomal membrane";0,000601768272925057
"141";141;"O60493";"O60493-1";"O60493-1";"SNX3_HUMAN";"Sorting nexin-3";"SNX3";2;2;0,00010812420525881;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;"extracellular vesicular exosome, cytosol, intracellular membrane-bounded organelle, early endosome, endosome membrane, cytoplasm";4,62898671480813e-05
"145";145;"O60610";"O60610-1,O60610-2,O60610-3";"O60610-1,O60610-2,O60610-3";"DIAP1_HUMAN";"Protein diaphanous homolog 1";"DIAPH1";29;89;0,000204262944368649;15;19;19;21;17;25;23;24;NA;NA;NA;NA;"cytoplasm, mitotic spindle, ruffle membrane, neuron projection";0,00205989908808962
"146";146;"O60664";"O60664-1";"O60664-1";"PLIN3_HUMAN";"Perilipin-3";"PLIN3";10;30;0,000605395895803938;8;6;6;8;9;7;6;8;NA;NA;NA;NA;"cytoplasm, intracellular membrane-bounded organelle, Golgi apparatus, lipid particle, endosome, endosome membrane";0,000694348007221219
"147";147;"O60711";"O60711-1,O60711-2";"O60711-1,O60711-2";"LPXN_HUMAN";"Leupaxin";"LPXN";3;8;9,07571049322656e-05;1;2;2;3;1;2;2;3;NA;NA;NA;NA;"podosome, plasma membrane, cytoplasm, nucleus, perinuclear region of cytoplasm, focal adhesion, cell projection";0,000185159468592325
"148";148;"O60749";"O60749";"O60749";"SNX2_HUMAN";"Sorting nexin-2";"SNX2";5;9;0,000175853970585214;1;NA;4;3;1;NA;4;4;0,000110518635414329;NA;0,000387846362576348;0,0004068655330851;"endosome membrane, cytoplasm, retromer complex, early endosome membrane, intracellular membrane-bounded organelle";0,000208304402166366
"149";149;"O60762";"O60762";"O60762";"DPM1_HUMAN";"Dolichol-phosphate mannosyltransferase";"DPM1";1;1;3,36848485613986e-05;1;NA;NA;NA;1;NA;NA;NA;0,00018384349929499;NA;NA;NA;"endoplasmic reticulum membrane, dolichol-phosphate-mannose synthase complex, endoplasmic reticulum, membrane";2,31449335740406e-05
"150";150;"O60763";"O60763-1,O60763-2";"O60763-1,O60763-2";"USO1_HUMAN";"General vesicular transport factor p115";"USO1";8;15;6,82800984352674e-05;3;3;5;4;3;3;5;4;NA;NA;NA;NA;"Golgi apparatus, Golgi stack, ER to Golgi transport vesicle membrane, cytosol, nucleolus, endoplasmic reticulum, Golgi membrane";0,00034717400361061
"154";154;"O60884";"O60884";"O60884";"DNJA2_HUMAN";"DnaJ homolog subfamily A member 2";"DNAJA2";6;12;0,000255089144445543;4;2;4;1;4;2;4;2;0,000464070969094149;0,000234380398760864;0,000427501770400446;0,000213555027984594;"membrane, extracellular vesicular exosome";0,000277739202888488
"155";155;"O60888";"O60888-1,O60888-2,O60888-3";"O60888-1,O60888-2,O60888-3";"CUTA_HUMAN";"Protein CutA";"CUTA";2;8;0,000130473901317894;NA;2;2;2;NA;2;3;3;NA;NA;NA;NA;"extracellular vesicular exosome, membrane";0,000185159468592325
"159";159;"O75027";"O75027-1,O75027-2";"O75027-1,O75027-2";"ABCB7_HUMAN";"ATP-binding cassette sub-family B member 7, mitochondrial";"ABCB7";2;3;1,74695358230657e-05;NA;2;NA;1;NA;2;NA;1;NA;NA;NA;NA;"integral component of membrane, mitochondrial inner membrane, mitochondrion";6,94348007221219e-05
"161";161;"O75122";"O75122-1";"O75122-1";"CLAP2_HUMAN";"CLIP-associating protein 2";"CLASP2";2;5;3,3841037967402e-05;2;1;1;1;2;1;1;1;NA;NA;NA;NA;"microtubule, Golgi apparatus, cytoplasm, cytoplasmic microtubule, condensed chromosome kinetochore, plasma membrane, microtubule organizing center, kinetochore microtubule, ruffle membrane, cytosol, trans-Golgi network, cell cortex";0,000115724667870203
"165";165;"O75306";"O75306";"O75306";"NDUS2_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial";"NDUFS2";6;17;0,000321570260564539;2;4;4;4;3;4;5;5;0,000309714750432164;0,00041712623883143;0,0004755149281992;0,000475079219922531;"mitochondrial inner membrane, nucleus, mitochondrial respiratory chain complex I, mitochondrion";0,000393463870758691
"166";166;"O75323";"O75323-1";"O75323-1";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";6;17;0,000556486369650691;4;4;4;5;4;4;4;5;NA;NA;NA;NA;"integral component of plasma membrane, mitochondrion, membrane";0,000393463870758691
"167";167;"O75340";"O75340";"O75340";"PDCD6_HUMAN";"Programmed cell death protein 6";"PDCD6";5;18;0,000825366969986101;3;4;5;4;3;4;7;4;0,000750774499738701;0,00101114894543954;0,00161376322753257;0,000921305461043485;"extracellular vesicular exosome, cytoplasm, endoplasmic reticulum membrane, nucleus, cytoplasmic vesicle, endosome, nuclear membrane, endoplasmic reticulum";0,000416608804332732
"169";169;"O75348";"O75348";"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";5;12;0,000890650233148844;4;2;2;2;5;3;2;2;0,00202539448375836;0,00122751768164588;0,000746316650021118;0,000745632809573329;"lysosomal membrane, cytosol, vacuolar proton-transporting V-type ATPase complex, extracellular vesicular exosome, plasma membrane";0,000277739202888488
