"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838.1.id.csv";"peptide.count.P5838.2.id.csv";"peptide.count.P5839.1.id.csv";"peptide.count.P5839.2.id.csv";"spectra.count.P5838.1.id.csv";"spectra.count.P5838.2.id.csv";"spectra.count.P5839.1.id.csv";"spectra.count.P5839.2.id.csv";"dNSAF.P5838.1.id.csv";"dNSAF.P5838.2.id.csv";"dNSAF.P5839.1.id.csv";"dNSAF.P5839.2.id.csv";"Go.Cc"
"18";"O00203";"O00203-1,Q13367-1";"O00203-1,Q13367-1";"AP3B1_HUMAN, AP3B2_HUMAN";"AP-3 complex subunit beta-1, AP-3 complex subunit beta-2";"AP3B1, AP3B2";1;1;4,02484403766711e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"Golgi apparatus, lysosomal membrane, AP-3 adaptor complex, clathrin-coated vesicle membrane"
"19";"O00217";"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";5;19;0,000792395961396709;4;4;4;5;5;4;5;5;0,00113807880515946;0,000919664040852153;0,00104839719883919;0,0010474365658292;"mitochondrial inner membrane, mitochondrion, mitochondrial respiratory chain complex I"
"20";"O00231";"O00231-1,O00231-2";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";11;35;0,000363189717901335;6;7;11;8;6;7;14;8;NA;NA;NA;NA;"proteasome complex, proteasome accessory complex, nucleoplasm, cytosol"
"21";"O00232";"O00232-1";"O00232-1";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";9;25;0,000480156832563795;7;5;6;5;8;5;7;5;NA;NA;NA;NA;"proteasome regulatory particle, proteasome accessory complex, extracellular vesicular exosome, nucleoplasm, cytosol"
"22";"O00233";"O00233-1,O00233-2";"O00233-1,O00233-2";"PSMD9_HUMAN";"26S proteasome non-ATPase regulatory subunit 9";"PSMD9";2;6;0,000117821443398614;1;1;2;2;1;1;2;2;NA;NA;NA;NA;"proteasome regulatory particle, nucleus, nucleoplasm, cytosol"
"23";"O00264";"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";5;14;0,000754540607775328;3;3;3;5;3;3;3;5;0,000919217496474948;0,000742805571457508;0,000812911058792233;0,00145029678345581;"endoplasmic reticulum, integral component of membrane, nucleolus, endoplasmic reticulum membrane"
"24";"O00299";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";12;51;0,0018533655266562;11;11;9;9;14;13;13;11;0,00277672339184134;0,00260444277129292;0,00237520693180995;0,00200794893532403;"perinuclear region of cytoplasm, brush border, blood microparticle, nuclear envelope, nucleus, extracellular vesicular exosome, extracellular space, cytoplasm, plasma membrane, mitochondrion, nuclear membrane, chloride channel complex"
"25";"O00303";"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";10;45;0,00110395722176012;6;7;9;8;8;10;13;14;0,00107113299309126;0,00135244711890023;0,00160343100998935;0,00172518963783633;"eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, cytosol"
"26";"O00400";"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";1;1;1,59527515955622e-05;NA;NA;1;NA;NA;NA;1;NA;NA;NA;8,02052501844189e-05;NA;"endoplasmic reticulum membrane, integral component of plasma membrane, Golgi membrane, membrane"
"27";"O00410";"O00410-1,O00410-3";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";25;82;0,000327329522027811;15;17;17;20;16;20;21;25;NA;NA;NA;NA;"cytoplasm, nuclear membrane, nuclear pore, nucleus, Golgi apparatus, intracellular membrane-bounded organelle"
"28";"O00418";"O00418";"O00418";"EF2K_HUMAN";"Eukaryotic elongation factor 2 kinase";"EEF2K";1;2;2,41601672440376e-05;1;1;NA;NA;1;1;NA;NA;6,59300825057894e-05;6,6596361578949e-05;NA;NA;"cytosol, cytoplasm"
"29";"O00422";"O00422";"O00422";"SAP18_HUMAN";"Histone deacetylase complex subunit SAP18";"SAP18";2;3;0,000171726678940463;NA;NA;NA;2;NA;NA;NA;3;NA;NA;NA;0,000862594818918164;"ASAP complex, cytoplasm, nucleus, histone deacetylase complex, nuclear speck"
"30";"O00429";"O00429-1,O00429-2,O00429-3,O00429-4,O00429-5,O00429-6";"O00429-1,O00429-2,O00429-3,O00429-4,O00429-5,O00429-6";"DNM1L_HUMAN";"Dynamin-1-like protein";"DNM1L";9;18;3,5698616681917e-05;5;5;3;4;5;5;3;5;NA;NA;NA;NA;"cell junction, mitochondrion, cytosol, coated pit, perinuclear region of cytoplasm, intracellular membrane-bounded organelle, protein complex, peroxisome, microtubule, mitochondrial outer membrane, Golgi apparatus, synaptic vesicle membrane, cytoplasm"
"31";"O00461";"O00461";"O00461";"GOLI4_HUMAN";"Golgi integral membrane protein 4";"GOLIM4";3;7;8,80839430772204e-05;3;NA;2;2;3;NA;2;2;0,000206031507830592;NA;0,000126530696411626;0,000126414757944903;"Golgi cisterna membrane, Golgi lumen, integral component of membrane, cis-Golgi network, nucleus, endosome membrane, endocytic vesicle, Golgi apparatus"
"32";"O00483";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";4;16;0,00172998728414096;3;3;4;4;4;3;5;4;0,00236045974403444;0,0017882356349903;0,00271806681180531;0,00217246102542353;"mitochondrial respiratory chain complex I, mitochondrion, mitochondrial respiratory chain complex IV, mitochondrial inner membrane"
"33";"O00487";"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";5;21;0,000593287977887859;4;5;3;4;5;6;4;6;0,000770956609946731;0,00093449733183364;0,000568163643241883;0,000851464563190188;"proteasome accessory complex, nucleoplasm, proteasome complex, proteasome regulatory particle, lid subcomplex, cytosol"
"34";"O00505";"O00505";"O00505";"IMA3_HUMAN";"Importin subunit alpha-3";"KPNA3";3;3;5,04302915122666e-05;NA;NA;3;NA;NA;NA;3;NA;NA;NA;0,000253547115266291;NA;"cytosol, nucleoplasm, nuclear pore"
"35";"O00507";"O00507-1,O00507-2";"O00507-1,O00507-2";"USP9Y_HUMAN";"Probable ubiquitin carboxyl-terminal hydrolase FAF-Y";"USP9Y";1;1;8,56953094516989e-06;0;1;0;NA;0;1;0;NA;NA;NA;NA;NA;"cytoplasm"
"36";"O00571";"O00571-1,O00571-2";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";14;43;0,000292507702871608;8;9;11;13;8;9;12;14;NA;NA;NA;NA;"mitochondrial outer membrane, extracellular vesicular exosome, cytoplasm, nuclear speck, cytoplasmic stress granule, nucleus"
"37";"O00584";"O00584-1";"O00584-1";"RNT2_HUMAN";"Ribonuclease T2";"RNASET2";3;9;0,000307900568881534;2;2;2;3;2;2;2;3;NA;NA;NA;NA;"extracellular space, lysosomal lumen, lysosome, extracellular region, endoplasmic reticulum lumen"
"38";"O00625";"O00625";"O00625";"PIR_HUMAN";"Pirin";"PIR";3;10;0,00030200209055047;1;2;3;3;1;2;3;4;0,000164825206264474;0,000332981807894745;0,000455510507081855;0,000606790838135536;"nucleus, cytoplasm"
"39";"O00629";"O00629";"O00629";"IMA4_HUMAN";"Importin subunit alpha-4";"KPNA4";3;11;0,000184911068878311;3;2;2;2;3;2;3;3;0,000275235949040484;0,000185344960248515;0,000253547115266291;0,000253314793271553;"cytosol, nucleoplasm"
"40";"O00764";"O00764-1,O00764-2";"O00764-1,O00764-2";"PDXK_HUMAN";"Pyridoxal kinase";"PDXK";1;3;4,21060607017482e-05;1;1;1;NA;1;1;1;NA;NA;NA;NA;NA;"cytoplasm, nucleus, extracellular vesicular exosome, cytosol"
"41";"O00767";"O00767";"O00767";"ACOD_HUMAN";"Acyl-CoA desaturase";"SCD";2;3;7,31871361501139e-05;1;NA;NA;2;1;NA;NA;2;0,000133145709795814;NA;NA;0,000245082650500426;"endoplasmic reticulum membrane, endoplasmic reticulum, integral component of membrane"
"42";"O14497";"O14497-1,O14497-2,O14497-3";"O14497-1,O14497-2,O14497-3";"ARI1A_HUMAN";"AT-rich interactive domain-containing protein 1A";"ARID1A";1;1;1,27761642975399e-06;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;"npBAF complex, nucleus, SWI/SNF complex, nBAF complex, nuclear chromatin"
"43";"O14508";"O14508";"O14508";"SOCS2_HUMAN";"Suppressor of cytokine signaling 2";"SOCS2";1;1;4,42326294240587e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,00022218351396377;"cytosol, cytoplasm"
"44";"O14548";"O14548";"O14548";"COX7R_HUMAN";"Cytochrome c oxidase subunit 7A-related protein, mitochondrial";"COX7A2L";1;3;0,000230475279630622;1;NA;1;1;1;NA;1;1;0,000419292191374538;NA;0,000386251599572333;0,0003858976821476;"mitochondrial respiratory chain, mitochondrial inner membrane"
"45";"O14561";"O14561";"O14561";"ACPM_HUMAN";"Acyl carrier protein, mitochondrial";"NDUFAB1";4;11;0,000617555556958974;1;2;3;4;2;2;3;4;0,000612811664316632;0,000619004642881257;0,000846782352908576;0,00112800860935452;"mitochondrial membrane, mitochondrial inner membrane, mitochondrial matrix, mitochondrial respiratory chain complex I"
"46";"O14579";"O14579-1,O14579-2";"O14579-1,O14579-2";"COPE_HUMAN";"Coatomer subunit epsilon";"COPE";4;11;0,00015639393974935;3;1;2;3;4;2;2;3;NA;NA;NA;NA;"nucleus, cytosol, COPI vesicle coat, Golgi apparatus"
"47";"O14617";"O14617-1,O14617-2,O14617-3,O14617-4,O14617-5";"O14617-1,O14617-2,O14617-3,O14617-4,O14617-5";"AP3D1_HUMAN";"AP-3 complex subunit delta-1";"AP3D1";1;1;1,51917790563116e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"endosome membrane, terminal bouton, lysosomal membrane, membrane coat, Golgi apparatus, Golgi membrane"
"48";"O14628";"O14628-1,O14628-4,O14628-5,O14628-6,O14628-7";"O14628-1,O14628-4,O14628-5,O14628-6,O14628-7";"ZN195_HUMAN";"Zinc finger protein 195";"ZNF195";2;4;1,11390278231652e-05;2;1;NA;1;2;1;NA;1;NA;NA;NA;NA;"nucleus"
"49";"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";3;5;5,85431860024307e-05;NA;1;2;2;NA;1;2;2;NA;6,45486124929653e-05;0,000117734444789428;0,000117626566216113;"cell surface, cytoplasm, Golgi-associated vesicle, nucleus, extracellular vesicular exosome, plasma membrane, Golgi apparatus, postsynaptic density, integral component of membrane"
"50";"O14686";"O14686-1,O14686-3";"O14686-1,O14686-3";"MLL2_HUMAN";"Histone-lysine N-methyltransferase MLL2";"MLL2";2;2;1,58173390391252e-06;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;"nucleus, histone methyltransferase complex"
"51";"O14737";"O14737";"O14737";"PDCD5_HUMAN";"Programmed cell death protein 5";"PDCD5";6;17;0,00119109624513105;4;5;4;4;4;5;4;4;0,00152957791413431;0,00193129448578952;0,00140904583523987;0,00140775474447444;"cytoplasm, nucleus, extracellular vesicular exosome"
"52";"O14744";"O14744-1,O14744-2";"O14744-1,O14744-2";"ANM5_HUMAN";"Protein arginine N-methyltransferase 5";"PRMT5";7;20;0,000137489177801627;5;5;5;5;5;5;5;5;NA;NA;NA;NA;"cytosol, nucleus, cytoplasm, methylosome"
"53";"O14745";"O14745";"O14745";"NHRF1_HUMAN";"Na(+)/H(+) exchange regulatory cofactor NHE-RF1";"SLC9A3R1";2;3;7,33915694913153e-05;NA;NA;2;NA;NA;NA;3;NA;NA;NA;0,000368988958250664;NA;"intracellular membrane-bounded organelle, sperm midpiece, endomembrane system, brush border membrane, filopodium, cell periphery, membrane, microvillus membrane, membrane raft, microvillus, plasma membrane, ruffle, extracellular vesicular exosome, apical plasma membrane, cytoplasm, actin cytoskeleton, centrosome"
"54";"O14773";"O14773-1,O14773-2";"O14773-1,O14773-2";"TPP1_HUMAN";"Tripeptidyl-peptidase 1";"TPP1";2;10;7,77802897510091e-05;2;2;2;2;2;2;3;3;NA;NA;NA;NA;"lysosome, lysosomal lumen, extracellular vesicular exosome, mitochondrion, melanosome"
"55";"O14776";"O14776-1,O14776-2";"O14776-1,O14776-2";"TCRG1_HUMAN";"Transcription elongation regulator 1";"TCERG1";7;14;5,58346305844676e-05;2;3;6;2;2;3;7;2;NA;NA;NA;NA;"nucleus"
"56";"O14787";"O14787-1,O14787-2";"O14787-1,O14787-2";"TNPO2_HUMAN";"Transportin-2";"TNPO2";1;1;6,91597132299246e-06;0;1;0;0;0;1;0;0;NA;NA;NA;NA;"nucleus, cytoplasm"
"57";"O14818";"O14818-1";"O14818-1";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";8;39;0,00137727566295396;7;8;5;6;13;12;6;8;NA;NA;NA;NA;"extracellular vesicular exosome, proteasome core complex, alpha-subunit complex, proteasome complex, proteasome core complex, nucleoplasm, cytosol"
"58";"O14828";"O14828-1,O14828-2";"O14828-1,O14828-2";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";2;9;0,000113577155091747;2;2;2;2;2;2;2;3;NA;NA;NA;NA;"extracellular vesicular exosome, integral component of membrane, Golgi membrane"
"59";"O14920";"O14920-1,O14920-2,O14920-4";"O14920-1,O14920-2,O14920-4";"IKKB_HUMAN";"Inhibitor of nuclear factor kappa-B kinase subunit beta";"IKBKB";2;2;7,72315751848644e-06;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;"nucleus, cytoplasm, cytosol, CD40 receptor complex, IkappaB kinase complex, cytoplasmic side of plasma membrane, membrane raft"
"60";"O14929";"O14929-1";"O14929-1";"HAT1_HUMAN";"Histone acetyltransferase type B catalytic subunit";"HAT1";8;17;0,000355338975277761;5;3;4;5;5;3;4;5;NA;NA;NA;NA;"nucleus, nucleoplasm, intracellular membrane-bounded organelle, cytoplasm, nuclear matrix"
"61";"O14933";"O14933-1,O14933-2";"O14933-1,O14933-2";"UB2L6_HUMAN";"Ubiquitin/ISG15-conjugating enzyme E2 L6";"UBE2L6";1;2;5,72422263134878e-05;1;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;"cytosol"
"62";"O14949";"O14949";"O14949";"QCR8_HUMAN";"Cytochrome b-c1 complex subunit 8";"UQCRQ";3;6;0,000640833704338802;NA;NA;2;3;NA;NA;2;4;NA;NA;0,00107396786222551;0,00214596759828421;"respiratory chain, mitochondrion, mitochondrial inner membrane"
"63";"O14950";"O14950,P19105";"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";7;31;0,00079154483791508;7;7;6;6;8;8;7;8;0,00111485270709498;0,00112611923369651;0,000898626170433591;0,00102606030938371;"stress fiber, cytosol, Z disc, myosin II complex, extracellular vesicular exosome, apical part of cell"
"64";"O14964";"O14964-1,O14964-2";"O14964-1,O14964-2";"HGS_HUMAN";"Hepatocyte growth factor-regulated tyrosine kinase substrate";"HGS";1;1;5,63581764862524e-06;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;"cytosol, early endosome, secretory granule, multivesicular body membrane, early endosome membrane, cytoplasm, endosome, extracellular vesicular exosome, intracellular membrane-bounded organelle"
"65";"O14974";"O14974-1,O14974-3,O14974-4";"O14974-1,O14974-3,O14974-4";"MYPT1_HUMAN";"Protein phosphatase 1 regulatory subunit 12A";"PPP1R12A";5;15;4,25148574075904e-05;3;4;4;4;3;4;4;4;NA;NA;NA;NA;"kinetochore, cytoplasm, contractile fiber, actin cytoskeleton, centrosome, nucleoplasm, PTW/PP1 phosphatase complex"
"66";"O14975";"O14975-1,O14975-2";"O14975-1,O14975-2";"S27A2_HUMAN";"Very long-chain acyl-CoA synthetase";"SLC27A2";1;1;7,0629521177126e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"mitochondrion, endoplasmic reticulum lumen, peroxisomal membrane, endoplasmic reticulum membrane, integral component of peroxisomal membrane, extracellular vesicular exosome, integral component of endoplasmic reticulum membrane"
"67";"O14979";"O14979-1,O14979-2,O14979-3";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";6;20;0,000184059898661402;6;6;3;1;8;8;3;1;NA;NA;NA;NA;"nucleus, spliceosomal complex, cytoplasm"
"68";"O14980";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";23;76;0,000621487028546439;16;18;17;20;17;18;18;23;0,00075871920343964;0,000811468271340135;0,000740045081533545;0,00094474670643418;"intracellular membrane-bounded organelle, ribonucleoprotein complex, nucleus, cytosol, nucleoplasm, kinetochore, annulate lamellae, Cajal body, cytoplasm, nucleolus, nuclear envelope, nuclear membrane"
"69";"O15042";"O15042-1,O15042-2";"O15042-1,O15042-2";"SR140_HUMAN";"U2 snRNP-associated SURP motif-containing protein";"U2SURP";5;6;2,55337044488736e-05;NA;3;1;2;NA;3;1;2;NA;NA;NA;NA;"nucleus"
"70";"O15067";"O15067";"O15067";"PUR4_HUMAN";"Phosphoribosylformylglycinamidine synthase";"PFAS";23;72;0,000471285773594455;17;17;14;14;18;19;16;19;0,000643040042377094;0,000685623976644262;0,000526549265784705;0,00062470431953042;"cytosol, extracellular vesicular exosome"
"71";"O15116";"O15116";"O15116";"LSM1_HUMAN";"U6 snRNA-associated Sm-like protein LSm1";"LSM1";5;16;0,00105360127831141;3;3;3;3;4;4;4;4;0,00143757322756984;0,00145210111713498;0,00132429119853371;0,0013230777673632;"cytoplasm, cytosol, nucleus, ribonucleoprotein complex"
"72";"O15126";"O15126-1";"O15126-1";"SCAM1_HUMAN";"Secretory carrier-associated membrane protein 1";"SCAMP1";1;4;0,000103645687881226;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"recycling endosome membrane, integral component of membrane, Golgi apparatus, trans-Golgi network"
"73";"O15127";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";2;7;0,000186341715446035;1;2;1;1;2;2;2;1;0,000290573311955607;0,000293509800271964;0,000267675880554687;0,000133715306276068;"nucleus, Golgi apparatus, recycling endosome membrane, extracellular vesicular exosome, trans-Golgi network membrane, integral component of membrane, transport vesicle, intracellular membrane-bounded organelle"
"74";"O15143";"O15143";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";9;32;0,000753381559222678;9;7;6;7;9;8;7;8;0,0011564349149201;0,00103833036870404;0,000828571979727746;0,000946071736877987;"Arp2/3 protein complex, actin cytoskeleton, cytoplasm, extracellular vesicular exosome"
"75";"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";13;51;0,00148887030641382;10;9;11;9;14;12;14;11;0,00223063445811254;0,00193129448578952;0,00205485850972481;0,00161305231137697;"plasma membrane, cell leading edge, cytoplasm, synapse, extracellular vesicular exosome, Golgi apparatus, cytosol, endosome, Arp2/3 protein complex, neuron projection, focal adhesion, actin cytoskeleton"
"76";"O15145";"O15145";"O15145";"ARPC3_HUMAN";"Actin-related protein 2/3 complex subunit 3";"ARPC3";5;17;0,000836443992367313;4;4;4;3;5;4;4;4;0,00134267724204206;0,00108499690212894;0,00098949847980328;0,000988591814939919;"extracellular vesicular exosome, cytosol, Arp2/3 protein complex, actin cytoskeleton, lamellipodium"
"77";"O15173";"O15173";"O15173";"PGRC2_HUMAN";"Membrane-associated progesterone receptor component 2";"PGRMC2";2;6;0,000282771464156673;1;1;2;2;1;1;2;2;0,000267933350990456;0,000216512834729767;0,000473894339206234;0,000507278695558536;"integral component of membrane"
"78";"O15212";"O15212";"O15212";"PFD6_HUMAN";"Prefoldin subunit 6";"PFDN6";3;3;0,000203675828510782;NA;3;NA;NA;NA;3;NA;NA;NA;0,00112284563127298;NA;NA;"prefoldin complex"
"79";"O15260";"O15260-1,O15260-2";"O15260-1,O15260-2";"SURF4_HUMAN";"Surfeit locus protein 4";"SURF4";4;14;0,000227904923352213;2;2;4;4;3;3;4;4;NA;NA;NA;NA;"Golgi membrane, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, integral component of membrane"
"80";"O15264";"O15264";"O15264";"MK13_HUMAN";"Mitogen-activated protein kinase 13";"MAPK13";1;2;7,19840599394271e-05;1;0;1;0;1;0;1;0;0,000174609350928575;NA;0,000180956228840737;NA;"cytosol"
"81";"O15269";"O15269-1";"O15269-1";"SPTC1_HUMAN";"Serine palmitoyltransferase 1";"SPTLC1";3;7;0,000129611890870498;1;NA;2;3;1;NA;3;3;NA;NA;NA;NA;"integral component of membrane, endoplasmic reticulum membrane, serine C-palmitoyltransferase complex, SPOTS complex"
"82";"O15270";"O15270";"O15270";"SPTC2_HUMAN";"Serine palmitoyltransferase 2";"SPTLC2";1;1;1,55837377686186e-05;1;NA;NA;NA;1;NA;NA;NA;8,50521526987497e-05;NA;NA;NA;"endoplasmic reticulum membrane, serine C-palmitoyltransferase complex, mitochondrion, integral component of membrane"
"83";"O15294";"O15294-1,O15294-2,O15294-3,O15294-4";"O15294-1,O15294-2,O15294-3,O15294-4";"OGT1_HUMAN";"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit";"OGT";1;1;2,09322672704676e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"microtubule organizing center, nucleoplasm, cytoplasm, histone acetyltransferase complex, MLL5-L complex, mitochondrion, plasma membrane, nucleus, cytosol"
