"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838.1.id.csv";"peptide.count.P5838.2.id.csv";"peptide.count.P5839.1.id.csv";"peptide.count.P5839.2.id.csv";"spectra.count.P5838.1.id.csv";"spectra.count.P5838.2.id.csv";"spectra.count.P5839.1.id.csv";"spectra.count.P5839.2.id.csv";"dNSAF.P5838.1.id.csv";"dNSAF.P5838.2.id.csv";"dNSAF.P5839.1.id.csv";"dNSAF.P5839.2.id.csv";"Go.Cc";"norm.sc"
"173";173;"O75369";"O75369-1,O75369-2,O75369-8,O75369-9";"O75369-1,O75369-2,O75369-8,O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";40;112;9,97560208611368e-05;22;23;28;30;22;24;34;32;NA;NA;NA;NA;"focal adhesion, cytosol, cell cortex, actin cytoskeleton, cytoplasm, integral component of membrane, extracellular vesicular exosome, plasma membrane, stress fiber, Z disc";0,00259223256029255
"175";175;"O75390";"O75390";"O75390";"CISY_HUMAN";"Citrate synthase, mitochondrial";"CS";14;48;0,000902117832717284;11;9;11;13;11;9;12;16;0,00112830988837698;0,000932491972752452;0,00113388881591191;0,00151046646402837;"extracellular vesicular exosome, mitochondrion, mitochondrial matrix";0,00111095681155395
"181";181;"O75449";"O75449-1,O75449-2";"O75449-1,O75449-2";"KTNA1_HUMAN";"Katanin p60 ATPase-containing subunit A1";"KATNA1";1;4;3,56743813684873e-05;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"lipid particle, spindle pole, centrosome, spindle, microtubule, plasma membrane, axon, midbody, neuronal cell body, nucleus, cytoplasm, growth cone";9,25797342961626e-05
"188";188;"O75534";"O75534-1,O75534-2";"O75534-1,O75534-2";"CSDE1_HUMAN";"Cold shock domain-containing protein E1";"CSDE1";3;12;6,58500798944634e-05;2;2;2;3;2;2;4;4;NA;NA;NA;NA;"cytoplasm, plasma membrane, Golgi apparatus, CRD-mediated mRNA stability complex";0,000277739202888488
"194";194;"O75695";"O75695";"O75695";"XRP2_HUMAN";"Protein XRP2";"RP2";2;8;0,000200184242879169;2;2;2;2;2;2;2;2;0,00027313891323827;0,000275899212255646;0,000251615327721405;0,000251384775799008;"cytoplasmic vesicle, extracellular vesicular exosome, cytoplasm, ciliary basal body, plasma membrane";0,000185159468592325
"199";199;"O75844";"O75844";"O75844";"FACE1_HUMAN";"CAAX prenyl protease 1 homolog";"ZMPSTE24";5;15;0,000276570335556746;2;5;3;5;2;5;3;5;0,000201260251859778;0,000508235390997243;0,00027810115169208;0,00046307721857712;"extracellular vesicular exosome, endoplasmic reticulum membrane, integral component of membrane, nuclear inner membrane";0,00034717400361061
"200";200;"O75874";"O75874";"O75874";"IDHC_HUMAN";"Isocitrate dehydrogenase [NADP] cytoplasmic";"IDH1";9;19;0,000435040919982507;2;4;6;5;2;4;8;5;0,000245346698938362;0,000518329169562405;0,000907597961507163;0,000581909203238444;"peroxisomal matrix, extracellular vesicular exosome, cytosol, cytoplasm, mitochondrion, peroxisome";0,000439753737906772
"212";212;"O76041";"O76041-2";"O76041-2";"NEBL_HUMAN";"Nebulette";"NEBL";1;1;1,22359492637559e-05;0;1;0;0;0;1;0;0;NA;NA;NA;NA;"extracellular vesicular exosome, stress fiber, Z disc, I band";2,31449335740406e-05
"217";217;"O94804";"O94804";"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";6;14;0,000153332727357562;2;4;2;5;3;4;2;5;0,000197517809159906;0,000224453129805084;0,000136464924642291;0,000265105329161316;"extracellular vesicular exosome, cytoplasm, plasma membrane";0,000324029070036569
"224";224;"O95166";"O95166";"O95166";"GBRAP_HUMAN";"Gamma-aminobutyric acid receptor-associated protein";"GABARAP";1;1;7,48552190253302e-05;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000376347712403812;NA;"smooth endoplasmic reticulum, cell body, actin cytoskeleton, axoneme, plasma membrane, perinuclear region of cytoplasm, cytoplasmic vesicle, microtubule, autophagic vacuole, microtubule associated complex, lysosome, Golgi membrane, autophagic vacuole membrane";2,31449335740406e-05
"226";226;"O95197";"O95197-1,O95197-2,O95197-3,O95197-4";"O95197-1,O95197-2,O95197-3,O95197-4";"RTN3_HUMAN";"Reticulon-3";"RTN3";2;6;1,27297392819239e-05;2;2;1;1;2;2;1;1;NA;NA;NA;NA;"endoplasmic reticulum, integral component of membrane, extracellular space, Golgi membrane, endoplasmic reticulum membrane";0,000138869601444244
"229";229;"O95232";"O95232-1";"O95232-1";"LC7L3_HUMAN";"Luc7-like protein 3";"LUC7L3";4;8;0,000162186307888215;2;2;2;1;2;3;2;1;NA;NA;NA;NA;"focal adhesion, plasma membrane, nuclear speck, U1 snRNP, nucleus";0,000185159468592325
"233";233;"O95336";"O95336";"O95336";"6PGL_HUMAN";"6-phosphogluconolactonase";"PGLS";7;19;0,00064497345695081;5;4;3;5;5;4;3;7;0,000926343213501886;0,000748563754181985;0,000512007934316813;0,00119359050524723;"cytosol, extracellular vesicular exosome";0,000439753737906772
"234";234;"O95347";"O95347-1";"O95347-1";"SMC2_HUMAN";"Structural maintenance of chromosomes protein 2";"SMC2";12;22;0,000160966861964244;4;6;7;5;4;6;7;5;NA;NA;NA;NA;"cytoplasm, condensin complex, condensed chromosome, nuclear chromosome, nucleus, extracellular vesicular exosome, nucleoplasm, cytosol";0,000509188538628894
