"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5838-1.id.csv";"peptide.count.P5838-2.id.csv";"peptide.count.P5839-1.id.csv";"peptide.count.P5839-2.id.csv";"spectra.count.P5838-1.id.csv";"spectra.count.P5838-2.id.csv";"spectra.count.P5839-1.id.csv";"spectra.count.P5839-2.id.csv";"dNSAF.P5838-1.id.csv";"dNSAF.P5838-2.id.csv";"dNSAF.P5839-1.id.csv";"dNSAF.P5839-2.id.csv"
"P08133";"P08133";"P08133";"ANXA6_HUMAN";"Annexin A6";"ANXA6";32;98;0,00127531937792635;20;22;20;20;24;26;22;26;0,00170458162793571;0,00186529185105972;0,00143940417790106;0,00169955531929493
"P54577";"P54577";"P54577";"SYYC_HUMAN";"Tyrosine--tRNA ligase, cytoplasmic";"YARS";32;117;0,00194070661598058;25;25;29;24;30;29;29;29;0,00271586987594871;0,00265187216325266;0,00241846172004949;0,00241624571435599
"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";37;148;0,0016551832618299;32;35;29;27;41;40;33;34;0,00249731978653659;0,00246236324761162;0,00186126406807615;0,00191236089717419
"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";30;134;0,00188854526728511;24;24;21;24;34;36;30;34;0,00264560083983518;0,00279320447013591;0,00212634186119129;0,00238657753897193
"P11586";"P11586";"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";30;120;0,00112402917124667;25;22;24;28;29;26;30;35;0,00148254543816494;0,00134261113985368;0,00141281333747313;0,00164677192702559
"P31948";"P31948";"P31948";"STIP1_HUMAN";"Stress-induced-phosphoprotein 1";"STIP1";30;112;0,00180645081051183;25;26;23;22;27;33;27;25;0,00237676126160373;0,0029342872021664;0,00218947039315588;0,00202542982342663
"P38646";"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";30;122;0,00158413909057012;27;24;23;26;31;31;29;31;0,00218229544082123;0,00220434937626934;0,00190674988826681;0,00203211586500957
"P48643";"P48643";"P48643";"TCPE_HUMAN";"T-complex protein 1 subunit epsilon";"CCT5";30;99;0,00171652786669291;20;21;18;19;24;23;25;27;0,00226842789139981;0,00219262449497823;0,00216466169579807;0,00237477960237906
"P50990";"P50990";"P50990";"TCPQ_HUMAN";"T-complex protein 1 subunit theta";"CCT8";30;120;0,00191782349473656;27;27;28;25;30;32;32;26;0,00261675053741044;0,00281940800845186;0,00257125152416035;0,00208722760928008
"O60610-1,O60610-2,O60610-3";"O60610-1,O60610-2,O60610-3";"O60610-[1-3]";"DIAP1_HUMAN";"Protein diaphanous homolog 1";"DIAPH1";29;89;0,000204262944368649;15;19;19;21;17;25;23;24;NA;NA;NA;NA
"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";29;167;0,00270892938639159;27;26;28;25;42;43;44;38;0,0038283200082023;0,00387484429306408;0,00352261458809968;0,00303823037699294
"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";29;130;0,00160358856531728;23;24;25;23;35;33;33;29;0,00235630400504846;0,00224410978982585;0,00204658946139594;0,00179687005236615
"P21333-1,P21333-2";"P21333-1,P21333-2";"P21333-[1,2]";"FLNA_HUMAN";"Filamin-A";"FLNA";29;82;0,000151687672963336;16;16;22;17;19;18;26;19;NA;NA;NA;NA
"P29401";"P29401";"P29401";"TKT_HUMAN";"Transketolase";"TKT";29;147;0,00206650868702513;25;24;27;28;34;31;41;41;0,00260863007025314;0,00240249314042838;0,00289781697656675;0,00289516174375262
"P33991";"P33991";"P33991";"MCM4_HUMAN";"DNA replication licensing factor MCM4";"MCM4";29;98;0,000994542226355082;19;22;21;22;22;26;24;26;0,00121852238234918;0,00145462504723429;0,00122454736550394;0,00132537743903301
"P33992";"P33992";"P33992";"MCM5_HUMAN";"DNA replication licensing factor MCM5";"MCM5";29;92;0,00109774056892187;20;21;17;19;24;25;21;22;0,0015629202119901;0,00164449462345838;0,00125979063947706;0,00131857137169779
"P35579-1";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";74;285;0,00169033082149373;61;58;55;55;74;75;69;67;NA;NA;NA;NA
"P78371-1,P78371-2";"P78371-1,P78371-2";"P78371-[1,2]";"TCPB_HUMAN";"T-complex protein 1 subunit beta";"CCT2";29;114;0,00093310178631762;22;26;21;22;28;33;26;27;NA;NA;NA;NA
"Q14974";"Q14974";"Q14974";"IMB1_HUMAN";"Importin subunit beta-1";"KPNB1";29;116;0,00115974318791299;20;21;25;24;25;27;34;30;0,00136413555412949;0,00148815499761179;0,00170903105016251;0,00150658684126118
"Q7KZF4";"Q7KZF4";"Q7KZF4";"SND1_HUMAN";"Staphylococcal nuclease domain-containing protein 1";"SND1";29;103;0,000991296971949729;25;19;19;21;29;25;22;27;0,0015232747084442;0,00132643852045984;0,00106452638651364;0,00130526710511023
"Q99798";"Q99798";"Q99798";"ACON_HUMAN";"Aconitate hydratase, mitochondrial";"ACO2";29;97;0,00108914343681855;20;22;21;18;24;26;25;22;0,00147074799435992;0,00160941207149127;0,00141130392151429;0,00124080947028997
"P34932";"P34932";"P34932";"HSP74_HUMAN";"Heat shock 70 kDa protein 4";"HSPA4";28;89;0,000993364209580193;19;18;20;16;24;21;25;19;0,00145041821057544;0,00124256079048958;0,00149776691254525;0,00102349515861025
"P46940";"P46940";"P46940";"IQGA1_HUMAN";"Ras GTPase-activating-like protein IQGAP1";"IQGAP1";28;73;0,000390034856010516;18;17;14;17;20;18;16;19;0,000576937957956516;0,00054833208777971;0,000425179793373528;0,000504438370266567
"P49588";"P49588";"P49588";"SYAC_HUMAN";"Alanine--tRNA ligase, cytoplasmic";"AARS";28;95;0,00085952041267205;19;21;23;17;23;23;29;20;0,00113572740266946;0,00114720488567043;0,00131916093820881;0,000908932557124512
"P53396-1,P53396-2";"P53396-1,P53396-2";"P53396-[1,2]";"ACLY_HUMAN";"ATP-citrate synthase";"ACLY";28;95;0,00037784548567963;22;20;22;20;24;25;23;23;NA;NA;NA;NA
"P04843";"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";27;102;0,00147170046762486;18;24;21;24;23;27;24;28;0,00181117648399347;0,00214765037546611;0,00174099567780874;0,0020293004965653
"P13010";"P13010";"P13010";"XRCC5_HUMAN";"X-ray repair cross-complementing protein 5";"XRCC5";27;97;0,00120698518572023;18;18;22;21;22;21;27;27;0,00149905176901973;0,00144811108519054;0,0016843102538728;0,00168062055541857
"P27824";"P27824";"P27824";"CALX_HUMAN";"Calnexin";"CANX";27;110;0,00162734234604054;23;21;19;18;29;30;27;24;0,00234152024439902;0,00244674132490227;0,00200824733696561;0,00178347307154702
"Q14566";"Q14566";"Q14566";"MCM6_HUMAN";"DNA replication licensing factor MCM6";"MCM6";27;104;0,00110942546297225;23;22;17;21;29;28;21;26;0,00168840436624144;0,00164665790505806;0,00112629272762018;0,00139317993895918
"Q6P2Q9";"Q6P2Q9";"Q6P2Q9";"PRP8_HUMAN";"Pre-mRNA-processing-splicing factor 8";"PRPF8";27;71;0,000266305055436153;18;16;21;16;18;16;21;16;0,000368474336916724;0,000330842738465014;0,000396011275964096;0,000301446412093029
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";31;310;0,00651078847493699;27;28;31;30;67;71;88;84;0,00767998503050053;0,00822073791912806;0,00929226869762505;0,00886176547780675
"P05455";"P05455";"P05455";"LA_HUMAN";"Lupus La protein";"SSB";26;89;0,00191045930321265;20;19;19;16;24;22;25;18;0,00281172410686455;0,00260346070388293;0,00269808102642438;0,00194083834256587
"P30101";"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";26;99;0,00171692673657505;22;21;23;23;24;25;25;25;0,00227165036752621;0,00239021594775931;0,00217983575996267;0,00217783840419933
"P41250";"P41250";"P41250";"SYG_HUMAN";"Glycine--tRNA ligase";"GARS";26;89;0,00110061878549499;23;19;16;19;24;21;20;24;0,00161702671910343;0,00143736396100709;0,00124585028180423;0,00148585751108263
"P41252";"P41252";"P41252";"SYIC_HUMAN";"Isoleucine--tRNA ligase, cytoplasmic";"IARS";26;70;0,00048578783186803;14;14;19;16;14;16;22;18;0,000530261757079051;0,000612137713403969;0,000767606189958329;0,000627465961780408
"Q08211-1";"Q08211-1";"Q08211-1";"DHX9_HUMAN";"ATP-dependent RNA helicase A";"DHX9";30;100;0,000689611072910522;23;23;22;20;25;26;25;24;NA;NA;NA;NA
"P07237";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";25;80;0,00137922214582104;15;17;20;22;16;20;21;23;0,00150549007296684;0,00190088039939914;0,00182024867987434;0,00199177898147836
"P25205";"P25205";"P25205";"MCM3_HUMAN";"DNA replication licensing factor MCM3";"MCM3";25;81;0,000877973899384968;21;17;19;18;24;18;20;19;0,00141978147970388;0,00107559717649169;0,00108991787998134;0,00103447324199468
"P26639";"P26639";"P26639";"SYTC_HUMAN";"Threonine--tRNA ligase, cytoplasmic";"TARS";25;87;0,00105387451515745;21;17;18;20;25;19;19;24;0,0016528115427627;0,00126883109370681;0,00115715209498433;0,00146032649841747
"P26641";"P26641";"P26641";"EF1G_HUMAN";"Elongation factor 1-gamma";"EEF1G";25;100;0,00200413286635323;21;23;21;21;22;26;26;26;0,0024063725765843;0,00287263481868007;0,00261979345796887;0,00261739297456633
"O43707";"O43707";"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";24;96;0,00124211153148176;20;20;21;20;24;24;25;23;0,00167900978499925;0,00175654822292288;0,00158016465416529;0,00150970289700773
"O75533";"O75533";"O75533";"SF3B1_HUMAN";"Splicing factor 3B subunit 1";"SF3B1";24;67;0,000449992378788009;15;16;15;14;17;18;17;15;0,000623150511413999;0,000666474324083807;0,000574045705499372;0,000506046807110733
"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";24;189;0,00312906135785846;21;19;23;22;50;42;47;50;0,0045178931773816;0,00383338224967674;0,00391216648489331;0,00415806576227093
"P17987";"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";24;89;0,00140191977645821;20;18;18;17;25;21;23;20;0,00214924954211768;0,00182361439755306;0,00182149585265945;0,00158245812103692
"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";24;139;0,00220139317723136;22;21;23;23;32;31;35;41;0,00276596367836223;0,0027066061961788;0,00278687862982569;0,00326163791384789
"P38606";"P38606";"P38606";"VATA_HUMAN";"V-type proton ATPase catalytic subunit A";"ATP6V1A";24;69;0,000979426552984587;19;16;17;14;19;17;17;16;0,00147193984848825;0,00133030819523589;0,00121321815230337;0,00114080611383666
"Q13200";"Q13200";"Q13200";"PSMD2_HUMAN";"26S proteasome non-ATPase regulatory subunit 2";"PSMD2";24;62;0,00059801735551734;13;13;16;14;13;14;19;16;0,000684351352001173;0,000744441707077459;0,000921388727614177;0,000775195343873593
"O14980";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";23;76;0,000621487028546439;16;18;17;20;17;18;18;23;0,00075871920343964;0,000811468271340135;0,000740045081533545;0,00094474670643418
"O15067";"O15067";"O15067";"PUR4_HUMAN";"Phosphoribosylformylglycinamidine synthase";"PFAS";23;72;0,000471285773594455;17;17;14;14;18;19;16;19;0,000643040042377094;0,000685623976644262;0,000526549265784705;0,00062470431953042
"P49411";"P49411";"P49411";"EFTU_HUMAN";"Elongation factor Tu, mitochondrial";"TUFM";23;103;0,00199575275326162;20;18;18;20;25;26;23;29;0,00264376713587928;0,0027773040171752;0,00224060109309437;0,00282251711765479
"P49736";"P49736";"P49736";"MCM2_HUMAN";"DNA replication licensing factor MCM2";"MCM2";23;91;0,000881618934693241;19;18;19;18;21;22;25;23;0,0011103821970693;0,00117501323803566;0,00121771798537738;0,00111927402941483
"P50991";"P50991";"P50991";"TCPD_HUMAN";"T-complex protein 1 subunit delta";"CCT4";23;84;0,00146185214621151;15;16;16;16;19;21;22;22;0,00180250234196805;0,00200938992396932;0,00191197057539062;0,00194218558561916
"Q02790";"Q02790";"Q02790";"FKBP4_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP4";"FKBP4";23;92;0,00175542827361362;19;21;17;17;24;25;21;22;0,00249931031721293;0,00262975828675044;0,00201456716639687;0,00210856511291107
"Q9P2J5";"Q9P2J5";"Q9P2J5";"SYLC_HUMAN";"Leucine--tRNA ligase, cytoplasmic";"LARS";23;67;0,000498971141105071;15;15;15;18;16;15;16;20;0,000650330745805406;0,000615846455927781;0,000599084113622394;0,000748168975592286
"P13667";"P13667";"P13667";"PDIA4_HUMAN";"Protein disulfide-isomerase A4";"PDIA4";22;64;0,00086901686831267;15;17;13;15;16;18;14;16;0,00118571931328241;0,00134741475752757;0,000955748144058052;0,00109128274765461
"P27797";"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";22;123;0,00258331284650726;18;18;20;21;34;28;31;30;0,0038973058363734;0,00324198115120543;0,00327341283666337;0,00316491624207384
"Q8WUM4";"Q8WUM4";"Q8WUM4";"PDC6I_HUMAN";"Programmed cell death 6-interacting protein";"PDCD6IP";22;68;0,000686115348577796;16;15;13;18;18;17;14;19;0,000991229927074368;0,000945622300069754;0,000710204554052354;0,000962965875036522
"P04040";"P04040";"P04040";"CATA_HUMAN";"Catalase";"CAT";21;99;0,00164525237565541;19;18;19;20;23;21;28;27;0,00208611788573821;0,00192396509495161;0,0023394973545254;0,0022538767849152
"P12814-1,P12814-2,P12814-3";"P12814-1,P12814-2,P12814-3";"P12814-[1-3]";"ACTN1_HUMAN";"Alpha-actinin-1";"ACTN1";21;62;0,000277526669946313;14;15;12;14;15;18;14;15;NA;NA;NA;NA
"P55060-1,P55060-3";"P55060-1,P55060-3";"P55060-[1,3]";"XPO2_HUMAN";"Exportin-2";"CSE1L";28;86;0,000387844085392828;16;16;18;21;18;18;23;27;NA;NA;NA;NA
"P56192";"P56192";"P56192";"SYMC_HUMAN";"Methionine--tRNA ligase, cytoplasmic";"MARS";21;64;0,000622795422290747;14;15;14;17;15;16;16;17;0,000796655163611622;0,000858353104795343;0,000782803241799928;0,000830966342224498
"Q13423";"Q13423";"Q13423";"NNTM_HUMAN";"NAD(P) transhydrogenase, mitochondrial";"NNT";21;68;0,000548386853191093;15;14;14;13;17;18;16;17;0,000748239656430805;0,000800260146045382;0,000648731968342482;0,000688646139965054
"Q14839-1,Q14839-2";"Q14839-1,Q14839-2";"Q14839-[1,2]";"CHD4_HUMAN";"Chromodomain-helicase-DNA-binding protein 4";"CHD4";22;57;0,000148552806570459;9;13;13;14;11;15;16;15;NA;NA;NA;NA
"Q92945";"Q92945";"Q92945";"FUBP2_HUMAN";"Far upstream element-binding protein 2";"KHSRP";21;81;0,00103079194558244;17;18;16;14;22;22;21;16;0,00155116967124955;0,00153328398549801;0,00133389062624136;0,00101998170123452
"P07900-1,P07900-2";"P07900-1,P07900-2";"P07900-[1,2]";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";26;178;0,00142990792275832;25;24;24;24;48;43;44;43;NA;NA;NA;NA
"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-[1-4]";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";20;80;0,000278033670665512;18;18;14;14;24;20;19;17;NA;NA;NA;NA
"P12956";"P12956";"P12956";"XRCC6_HUMAN";"X-ray repair cross-complementing protein 6";"XRCC6";20;83;0,0012511515179948;16;17;15;16;18;22;20;23;0,00149127567572619;0,00182347180513789;0,00151836835693952;0,00173368810895868
"P27708";"P27708";"P27708";"PYR1_HUMAN";"CAD protein";"CAD";20;48;0,00018893793709944;9;10;12;14;10;10;13;15;0,00021482835872673;0,000216999380425789;0,000257269604748853;0,000296577544481976
"P30153";"P30153";"P30153";"2AAA_HUMAN";"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform";"PPP2R1A";20;83;0,00147811940402264;14;16;17;16;18;21;23;21;0,00184517039056503;0,00203443199035553;0,00200601637197244;0,00186724684910129
"P36578";"P36578";"P36578";"RL4_HUMAN";"60S ribosomal protein L4";"RPL4";20;76;0,00155881172733779;17;16;16;16;20;19;18;19;0,00223884355113336;0,00214839550526937;0,00185617864712512;0,00195750440171359
"P55884-1,P55884-2";"P55884-1,P55884-2";"P55884-[1,2]";"EIF3B_HUMAN";"Eukaryotic translation initiation factor 3 subunit B";"EIF3B";20;75;0,000403473308935671;14;15;15;17;17;18;19;21;NA;NA;NA;NA
"P78347-1,P78347-2,P78347-3,P78347-4";"P78347-1,P78347-2,P78347-3,P78347-4";"P78347-[1-4]";"GTF2I_HUMAN";"General transcription factor II-I";"GTF2I";20;66;0,000144797595519439;14;13;18;18;15;13;19;19;NA;NA;NA;NA
"Q15046-1,Q15046-2";"Q15046-1,Q15046-2";"Q15046-[1,2]";"SYK_HUMAN";"Lysine--tRNA ligase";"KARS";20;66;0,000484113903947738;14;15;13;15;18;17;15;16;NA;NA;NA;NA
"P11413-1,P11413-2,P11413-3";"P11413-1,P11413-2,P11413-3";"P11413-[1-3]";"G6PD_HUMAN";"Glucose-6-phosphate 1-dehydrogenase";"G6PD";19;67;0,000379799392841141;12;13;15;14;16;15;18;18;NA;NA;NA;NA
"P23396";"P23396";"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";19;88;0,00317164335425843;17;15;17;18;22;21;22;23;0,0043275095307298;0,00417254981497736;0,00398649799064778;0,00416388363206176
"P37837";"P37837";"P37837";"TALDO_HUMAN";"Transaldolase";"TALDO1";19;69;0,00179319342193321;14;15;15;15;15;18;18;18;0,00212756571884409;0,00257887987716702;0,00235189401282619;0,00234973900227559
"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";19;112;0,00290207926067434;16;18;19;18;28;26;30;28;0,00395970613866132;0,00371402785728754;0,00390822624419343;0,00364433550714538
"Q12906-1,Q12906-2,Q12906-3,Q12906-4,Q12906-5,Q12906-6";"Q12906-1,Q12906-2,Q12906-3,Q12906-4,Q12906-5,Q12906-6";"Q12906-[1-6]";"ILF3_HUMAN";"Interleukin enhancer-binding factor 3";"ILF3";19;60;0,000115630682706088;11;12;12;16;11;14;15;20;NA;NA;NA;NA
"Q9UQ80";"Q9UQ80";"Q9UQ80";"PA2G4_HUMAN";"Proliferation-associated protein 2G4";"PA2G4";19;81;0,0018005150017844;17;16;16;16;20;20;20;21;0,00242636090440088;0,00245088132714406;0,00223516154067238;0,00234476916513034
"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";18;149;0,00387854156472411;16;15;18;18;28;31;43;47;0,00412255119631189;0,00466762960442894;0,00541839898438523;0,0060018571290184
"P06737";"P06737";"P06737";"PYGL_HUMAN";"Glycogen phosphorylase, liver form";"PYGL";18;70;0,000792274861182772;14;13;15;15;15;16;21;18;0,000959372215919545;0,000962733706677185;0,00119096661506;0,00103331280178366
"P07195";"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";18;125;0,0035225260611421;13;14;17;16;26;25;37;37;0,00410058847504846;0,00381472422134906;0,00532131490581198;0,00514414704635279
"P31146";"P31146";"P31146";"COR1A_HUMAN";"Coronin-1A";"CORO1A";18;64;0,00121586958798627;14;12;15;14;15;14;20;15;0,00155529207646521;0,00146627563997035;0,00191031159875254;0,00143142090341084
"P31939";"P31939";"P31939";"PUR9_HUMAN";"Bifunctional purine biosynthesis protein PURH";"ATIC";18;70;0,00103558149293489;16;17;13;12;18;19;17;16;0,00145335739307526;0,00154960283910477;0,00126445202697835;0,00118898204769801
"P52209";"P52209";"P52209";"6PGD_HUMAN";"6-phosphogluconate dehydrogenase, decarboxylating";"PGD";18;84;0,00152314097842846;15;14;13;17;22;19;18;25;0,00217719423595723;0,0018993061713251;0,00164096952861786;0,00227703601267217
"P53618";"P53618";"P53618";"COPB_HUMAN";"Coatomer subunit beta";"COPB1";18;52;0,000477879488510083;6;8;12;15;9;12;15;16;0,000451410061227991;0,000607962587341927;0,000693064255266201;0,000738591156597295
"P53621-1,P53621-2";"P53621-1,P53621-2";"P53621-[1,2]";"COPA_HUMAN";"Coatomer subunit alpha";"COPA";18;46;0,000164571400651277;10;8;15;11;10;8;15;13;NA;NA;NA;NA
"P63244";"P63244";"P63244";"GBLP_HUMAN";"Guanine nucleotide-binding protein subunit beta-2-like 1";"GNB2L1";18;77;0,00212735226561262;18;15;13;13;21;19;19;18;0,00316651579227332;0,00289389552287073;0,00263918285386017;0,00249798751976932
"Q04446";"Q04446";"Q04446";"GLGB_HUMAN";"1,4-alpha-glucan-branching enzyme";"GBE1";18;56;0,000698648710903081;14;12;14;13;14;13;15;14;0,000953262588936983;0,000894117817495149;0,000940869281009529;0,000877340029497962
"Q16555";"Q16555";"Q16555";"DPYL2_HUMAN";"Dihydropyrimidinase-related protein 2";"DPYSL2";20;60;0,000918677688038143;15;15;12;14;16;17;13;14;0,00133704363123629;0,00143496530849746;0,00100074278071014;0,0010767354907475
"Q8N163-1,Q8N163-2";"Q8N163-1,Q8N163-2";"Q8N163-[1,2]";"K1967_HUMAN";"DBIRD complex subunit KIAA1967";"KIAA1967";18;59;0,000284660692068157;13;11;15;14;14;12;18;15;NA;NA;NA;NA
"Q96QK1";"Q96QK1";"Q96QK1";"VPS35_HUMAN";"Vacuolar protein sorting-associated protein 35";"VPS35";18;53;0,000583137202482503;13;12;12;13;13;13;13;14;0,0007806419944938;0,000788531040052254;0,000719126721816831;0,0007737345486276
"Q99613";"Q99613";"Q99613";"EIF3C_HUMAN";"Eukaryotic translation initiation factor 3 subunit C";"EIF3C,EIF3CL";18;41;0,000393297355601872;10;13;8;10;10;13;8;10;0,000523541180905776;0,000687481607756402;0,000385828541960534;0,000481843765222633
"O43143";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";18;54;0,000594887136857907;12;11;13;13;13;12;13;16;0,000781623934109516;0,000728790371996046;0,000720031283731066;0,000885380342436758
"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";17;210;0,00549012755657422;16;16;15;15;44;48;57;61;0,00627811830428263;0,00691806979984306;0,00749212804185379;0,00801054472135645
"P07954-1,P07954-2";"P07954-1,P07954-2";"P07954-[1,2]";"FUMH_HUMAN";"Fumarate hydratase, mitochondrial";"FH";17;61;0,000523766370768413;12;12;13;13;14;13;17;17;NA;NA;NA;NA
"P14868";"P14868";"P14868";"SYDC_HUMAN";"Aspartate--tRNA ligase, cytoplasmic";"DARS";17;66;0,0011537564896479;13;13;15;12;17;15;17;17;0,00162193266843085;0,00144557970493228;0,00149412295403429;0,00149275390818772
"P18206-1,P18206-2";"P18206-1,P18206-2";"P18206-[1,2]";"VINC_HUMAN";"Vinculin";"VCL";21;49;0,000189217359202918;10;8;16;12;10;8;17;14;NA;NA;NA;NA
"P40227";"P40227";"P40227";"TCPZ_HUMAN";"T-complex protein 1 subunit zeta";"CCT6A";22;93;0,00153389762375634;17;18;16;17;22;23;21;27;0,00198038571745262;0,00209132642058187;0,00174140551671594;0,00223689842871999
