"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5573"	"spectra.count.P5573"	"dNSAF.P5573"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"O00151"	"O00151"	"PDLI1_HUMAN"	"PDZ and LIM domain protein 1"	"PDLIM1"	4	8	0.00853810637450028	4	8	0.0104569011539408	0	"response to oxidative stress;response to hypoxia;regulation of transcription"	"cytoplasm;cytoskeleton;transcription factor complex"	"zinc ion binding;transcription coactivator activity"
"P25786-1,P25786-2"	"P25786-[1,2]"	"PSA1_HUMAN"	"Proteasome subunit alpha type-1"	"PSMA1"	4	6	0.00400528088955883	4	6	0	0	"G1/S transition of mitotic cell cycle;viral process;protein polyubiquitination;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;negative regulation of apoptotic process;apoptotic process;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;negative regulation of inflammatory response to antigenic stimulus;DNA damage response;regulation of cellular amino acid metabolic process;mRNA metabolic process;antigen processing and presentation of exogenous peptide antigen via MHC class I;small molecule metabolic process;gene expression"	"centrosome;proteasome core complex;proteasome core complex;nucleoplasm;cytosol;polysome"	"threonine-type endopeptidase activity;lipopolysaccharide binding;RNA binding"
"P26038"	"P26038"	"MOES_HUMAN"	"Moesin"	"MSN"	4	12	0.00730252252307779	4	12	0.00894364076164609	0	"leukocyte migration;membrane to membrane docking;leukocyte cell-cell adhesion;regulation of lymphocyte migration"	"apical part of cell;extracellular vesicular exosome;cytoplasm;filopodium;microvillus;basolateral plasma membrane;microvillus membrane;nucleolus;extrinsic to membrane;plasma membrane;cytoskeleton;apical plasma membrane;uropod"	"structural constituent of cytoskeleton"
"P33240-1,P33240-2"	"P33240-[1,2]"	"CSTF2_HUMAN"	"Cleavage stimulation factor subunit 2"	"CSTF2"	4	6	0.00182563063076945	4	6	0	0	"mRNA cleavage;mRNA polyadenylation;mRNA splicing;termination of RNA polymerase II transcription"	"cleavage body;mRNA cleavage and polyadenylation specificity factor complex"	"RNA binding;nucleotide binding"
"P40926"	"P40926"	"MDHM_HUMAN"	"Malate dehydrogenase, mitochondrial"	"MDH2"	4	7	0.00727191530342979	4	7	0.00890615508784235	0	"gluconeogenesis;malate metabolic process;cellular carbohydrate metabolic process;NADH metabolic process;internal protein amino acid acetylation;oxaloacetate metabolic process;tricarboxylic acid cycle"	"plasma membrane;mitochondrial matrix;mitochondrial inner membrane;nucleus"	"L-malate dehydrogenase activity;malate dehydrogenase (NADP+) activity"
"P48047"	"P48047"	"ATPO_HUMAN"	"ATP synthase subunit O, mitochondrial"	"ATP5O"	4	4	0.00659398356152721	4	4	0.00807586967053176	0	"respiratory electron transport chain;ATP catabolic process;mitochondrial ATP synthesis coupled proton transport"	"plasma membrane;mitochondrial proton-transporting ATP synthase complex"	"proton-transporting ATP synthase activity;transmembrane transporter activity;drug binding"
"P61604"	"P61604"	"CH10_HUMAN"	"10 kDa heat shock protein, mitochondrial"	"HSPE1"	4	5	0.0172122365025159	4	5	0.0210803950958733	0	"response to unfolded protein;activation of cysteine-type endopeptidase activity involved in apoptotic process;protein folding"	"mitochondrial matrix;mitochondrion"	"ATP binding;unfolded protein binding;chaperone binding"
"P62826"	"P62826"	"RAN_HUMAN"	"GTP-binding nuclear protein Ran"	"RAN"	4	6	0.009753600684759	4	6	0.0119455572209949	0	"mitosis;protein export from nucleus;positive regulation of transcription;viral infectious cycle;intracellular transport of viral material;RNA export from nucleus;cellular protein complex localization;small GTPase mediated signal transduction;actin cytoskeleton organization;protein import into nucleus;androgen receptor signaling pathway;cell division;DNA metabolic process;gene expression;positive regulation of protein binding;modulation by virus of host morphology or physiology;mitotic spindle organization"	"cytosol;nucleoplasm;melanosome;nuclear pore"	"GTPase activity;GTP binding;androgen receptor binding;chromatin binding;transcription coactivator activity"
"P62917"	"P62917"	"RL8_HUMAN"	"60S ribosomal protein L8"	"RPL8"	4	7	0.00956384191657303	4	7	0.0117131533840106	0	"translational initiation;translational elongation;nuclear-transcribed mRNA catabolic process;viral transcription;SRP-dependent cotranslational protein targeting to membrane;translational termination"	"cytosolic large ribosomal subunit"	"structural constituent of ribosome;RNA binding;rRNA binding"
"P63220"	"P63220"	"RS21_HUMAN"	"40S ribosomal protein S21"	"RPS21"	4	11	0.046535251459814	4	11	0.0569932609579998	0	"translational elongation;endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA;viral transcription;endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA;translational termination;SRP-dependent cotranslational protein targeting to membrane;translational initiation;nuclear-transcribed mRNA catabolic process"	"cytosolic small ribosomal subunit"	"structural constituent of ribosome"
"P68104,Q05639,Q5VTE0"	"P68104, Q05639, Q5VTE0"	"EF1A1_HUMAN, EF1A2_HUMAN, EF1A3_HUMAN"	"Elongation factor 1-alpha 1, Elongation factor 1-alpha 2, Putative elongation factor 1-alpha-like 3"	"EEF1A1, EEF1A1P5, EEF1A2"	4	7	0.00177210336882427	4	7	0.00217035358305026	0	"GTP catabolic process;transcription;regulation of transcription;negative regulation of apoptotic process;response to inorganic substance"	"eukaryotic translation elongation factor 1 complex;plasma membrane;cytosol;nucleus;neuronal cell body;cytoplasm"	"GTPase activity;translation elongation factor activity;GTP binding;translation factor activity"
"Q9UQ80"	"Q9UQ80"	"PA2G4_HUMAN"	"Proliferation-associated protein 2G4"	"PA2G4"	4	6	0.0053471516444364	4	6	0.00654883340034238	0	"regulation of translation;cell proliferation;cell cycle arrest;negative regulation of transcription;transcription;rRNA processing"	"nucleolus;cytoplasm;ribonucleoprotein complex"	"DNA binding;sequence-specific DNA binding transcription factor activity;RNA binding"
"136429"	"136429"	"136429"	"trypsin [Sus scrofa]"	""	3	10	0.0152004166515725	3	10	0.0186164528119401	0	""	""	""
"P12956"	"P12956"	"XRCC6_HUMAN"	"X-ray repair cross-complementing protein 6"	"XRCC6"	3	4	0.00230627011265237	3	4	0.00282456525422539	0	"negative regulation of transcription;response to ionizing radiation;innate immune response;transcription;positive regulation of neurogenesis;DNA ligation;positive regulation of type I interferon production;telomere maintenance;positive regulation of transcription from RNA polymerase II promoter;establishment of integrated proviral latency;V(D)J recombination;double-strand break repair via nonhomologous end joining"	"membrane;nucleoplasm;cytosol;transcription factor complex;nuclear telomere cap complex;Ku70:Ku80 complex;nonhomologous end joining complex"	"telomeric DNA binding;ATP-dependent DNA helicase activity;double-stranded DNA binding;5'-deoxyribose-5-phosphate lyase activity;transcription regulatory region DNA binding;damaged DNA binding;ATP binding"
"P14618-1,P14618-2"	"P14618-[1,2]"	"KPYM_HUMAN"	"Pyruvate kinase isozymes M1/M2"	"PKM"	5	12	0.00396756638024095	5	12	0	0	"small molecule metabolic process;glycolysis;programmed cell death"	"mitochondrion;cilium;plasma membrane;extracellular vesicular exosome;nucleus;cytosol"	"magnesium ion binding;ATP binding;potassium ion binding;pyruvate kinase activity"
"P23246-1"	"P23246-1"	"SFPQ_HUMAN"	"Splicing factor, proline- and glutamine-rich"	"SFPQ"	7	16	0.00794635642775273	7	16	0	0	"DNA repair;DNA recombination;alternative mRNA splicing;negative regulation of transcription from RNA polymerase II promoter;transcription"	"nuclear matrix;cytoplasm;paraspeckles"	"DNA binding;RNA binding;nucleotide binding"
"P25705"	"P25705"	"ATPA_HUMAN"	"ATP synthase subunit alpha, mitochondrial"	"ATP5A1"	3	6	0.0038097246797612	3	6	0.00466589576805587	0	"lipid metabolic process;respiratory electron transport chain;ATP hydrolysis coupled proton transport;mitochondrial ATP synthesis coupled proton transport;negative regulation of endothelial cell proliferation;embryo development"	"mitochondrial proton-transporting ATP synthase complex;mitochondrial matrix;plasma membrane;proton-transporting ATP synthase complex"	"proton-transporting ATP synthase activity;MHC class I protein binding;proton-transporting ATPase activity;ATP binding"
"P30050-1"	"P30050-1"	"RL12_HUMAN"	"60S ribosomal protein L12"	"RPL12"	3	7	0.014896408318541	3	7	0	0	"translational termination;translational elongation;nuclear-transcribed mRNA catabolic process;SRP-dependent cotranslational protein targeting to membrane;translational initiation;viral transcription"	"cytosolic large ribosomal subunit"	"RNA binding;structural constituent of ribosome"
"P35232"	"P35232"	"PHB_HUMAN"	"Prohibitin"	"PHB"	3	5	0.00645458868844345	3	5	0.00790514816095251	0	"cellular response to interleukin-6;negative regulation of transcription by competitive promoter binding;positive regulation of transcription;negative regulation of cell growth;DNA biosynthetic process;histone deacetylation;progesterone receptor signaling pathway;negative regulation of androgen receptor signaling pathway;regulation of apoptotic process;negative regulation of glucocorticoid receptor signaling pathway;DNA replication;negative regulation of cell proliferation;negative regulation of transcription from RNA polymerase II promoter"	"integral to plasma membrane;mitochondrial inner membrane;nucleoplasm"	"sequence-specific DNA binding RNA polymerase II transcription factor activity;transcription regulatory region DNA binding"
"P46779-1"	"P46779-1"	"RL28_HUMAN"	"60S ribosomal protein L28"	"RPL28"	6	15	0.0384448494143785	6	15	0	0	"translational elongation;translational initiation;SRP-dependent cotranslational protein targeting to membrane;nuclear-transcribed mRNA catabolic process;viral transcription;translational termination"	"cytosolic large ribosomal subunit"	"RNA binding;structural constituent of ribosome"
"P56385"	"P56385"	"ATP5I_HUMAN"	"ATP synthase subunit e, mitochondrial"	"ATP5I"	3	6	0.0305330108392456	3	6	0.0373947878222449	0	"respiratory electron transport chain;ATP catabolic process;mitochondrial ATP synthesis coupled proton transport"	"mitochondrial proton-transporting ATP synthase complex;mitochondrial proton-transporting ATP synthase complex"	"transmembrane transporter activity;hydrogen ion transmembrane transporter activity"
"P60709,P62736,P63261,P63267,P68032,P68133"	"P60709, P62736, P63261, P63267, P68032, P68133"	"ACTA_HUMAN, ACTB_HUMAN, ACTC_HUMAN, ACTG_HUMAN, ACTH_HUMAN, ACTS_HUMAN"	"Actin, alpha cardiac muscle 1, Actin, alpha skeletal muscle, Actin, aortic smooth muscle, Actin, cytoplasmic 1, Actin, cytoplasmic 2, Actin, gamma-enteric smooth muscle"	"ACTA1, ACTA2, ACTB, ACTC1, ACTG1, ACTG2"	3	10	0.0031704014792768	3	10	0.00388289550785149	12	"axon guidance;adherens junction organization;blood coagulation;Fc-gamma receptor signaling pathway involved in phagocytosis;innate immune response;'de novo' posttranslational protein folding;cell junction assembly;response to virus;muscle contraction;regulation of blood pressure;vascular smooth muscle contraction;glomerular mesangial cell development;sarcomere organization;cardiac muscle contraction;cardiac myofibril assembly;skeletal muscle thin filament assembly;response to drug;muscle filament sliding;apoptotic process;cardiac muscle tissue morphogenesis;heart contraction;response to ethanol;skeletal muscle fiber adaptation;response to steroid hormone stimulus;cell growth;response to lithium ion;skeletal muscle fiber development;response to mechanical stimulus;response to extracellular stimulus"	"MLL5-L complex;extracellular vesicular exosome;ribonucleoprotein complex;cytosol;NuA4 histone acetyltransferase complex;postsynaptic density;cytoskeleton;axon;cortical cytoskeleton;actin cytoskeleton;protein complex;smooth muscle contractile fiber;filamentous actin;myofibril;cell periphery;I band;actomyosin;stress fiber;actin filament;striated muscle thin filament"	"structural constituent of cytoskeleton;ATP binding;myosin binding;ATPase activity;ADP binding"
"P61313"	"P61313"	"RL15_HUMAN"	"60S ribosomal protein L15"	"RPL15"	3	3	0.00516367095075476	3	3	0.006324118528762	0	"nuclear-transcribed mRNA catabolic process;viral transcription;SRP-dependent cotranslational protein targeting to membrane;translational termination;translational initiation;translational elongation"	"cytosolic large ribosomal subunit"	"RNA binding;structural constituent of ribosome"
"P62263"	"P62263"	"RS14_HUMAN"	"40S ribosomal protein S14"	"RPS14"	3	3	0.00697608525797332	3	3	0.00854384225077781	0	"translational termination;translational elongation;nuclear-transcribed mRNA catabolic process;SRP-dependent cotranslational protein targeting to membrane;maturation of SSU-rRNA;negative regulation of transcription from RNA polymerase II promoter;viral transcription;erythrocyte differentiation;translational initiation;ribosomal small subunit assembly"	"cytosolic small ribosomal subunit;nucleolus;mitochondrion"	"structural constituent of ribosome;mRNA 5'-UTR binding;translation regulator activity"
"P62861"	"P62861"	"RS30_HUMAN"	"40S ribosomal protein S30"	"FAU"	3	7	0.04165944699253	3	7	0.0510217020286562	0	"nuclear-transcribed mRNA catabolic process;translational initiation;viral transcription;SRP-dependent cotranslational protein targeting to membrane;translational elongation;translational termination"	"cytosolic small ribosomal subunit"	"structural constituent of ribosome;RNA binding"
"P62913-1,P62913-2"	"P62913-[1,2]"	"RL11_HUMAN"	"60S ribosomal protein L11"	"RPL11"	3	6	0.00591791502221332	3	6	0	0	"viral transcription;protein localization to nucleus;SRP-dependent cotranslational protein targeting to membrane;translational elongation;rRNA processing;translational termination;translational initiation;ribosomal large subunit biogenesis;nuclear-transcribed mRNA catabolic process"	"cytosolic large ribosomal subunit;nucleolus"	"RNA binding;rRNA binding;structural constituent of ribosome"
"P62937"	"P62937"	"PPIA_HUMAN"	"Peptidyl-prolyl cis-trans isomerase A"	"PPIA"	3	6	0.0127683499873209	3	6	0.0156378203620297	0	"establishment of integrated proviral latency;entry into host cell;protein folding;lipid particle organization;positive regulation of viral genome replication;platelet degranulation;RNA-dependent DNA replication;platelet activation;positive regulation of protein secretion;modulation by virus of host morphology or physiology;virion assembly;uncoating of virus;leukocyte migration;viral release from host cell"	"extracellular region;cytosol;nucleus"	"peptidyl-prolyl cis-trans isomerase activity;virion binding;peptide binding;unfolded protein binding"
"P63244"	"P63244"	"GBLP_HUMAN"	"Guanine nucleotide-binding protein subunit beta-2-like 1"	"GNB2L1"	3	6	0.00664598658646039	3	6	0.00813955949443185	0	"positive regulation of cAMP catabolic process;positive regulation of protein homooligomerization;regulation of protein localization;gastrulation;cell cycle;negative regulation of protein kinase B signaling cascade;regulation of establishment of protein localization to plasma membrane;regulation of cell division;positive regulation of GTPase activity;positive regulation of gastrulation;positive regulation of cyclic-nucleotide phosphodiesterase activity;negative regulation of cell growth;positive regulation of intrinsic apoptotic signaling pathway;positive regulation of protein phosphorylation;negative regulation of translation;positive regulation of proteasomal ubiquitin-dependent protein catabolic process;positive regulation of cell migration;positive regulation of apoptotic process;regulation of cell cycle;negative regulation of Wnt receptor signaling pathway;regulation of establishment of cell polarity;modulation by virus of host morphology or physiology;negative regulation of phagocytosis;rhythmic process"	"perinuclear region of cytoplasm;perikaryon;dendrite;cytoskeleton;neuronal cell body;nucleus;midbody;phagocytic cup;small ribosomal subunit"	"receptor tyrosine kinase binding;protein tyrosine kinase inhibitor activity;protein complex scaffold;ion channel inhibitor activity;cysteine-type endopeptidase activator activity involved in apoptotic process;SH2 domain binding;protein kinase C binding"
"P98179"	"P98179"	"RBM3_HUMAN"	"Putative RNA-binding protein 3"	"RBM3"	3	10	0.0223649442453073	3	10	0.0273910866213896	0	"production of miRNAs involved in gene silencing by miRNA;RNA processing;translation;positive regulation of translation;response to cold"	"nucleus;dendrite;cytoplasm"	"nucleotide binding;ribosomal large subunit binding;RNA binding"
"Q04837"	"Q04837"	"SSBP_HUMAN"	"Single-stranded DNA-binding protein, mitochondrial"	"SSBP1"	3	8	0.0189799797108824	3	8	0.0232454086462603	0	"mitochondrion morphogenesis;positive regulation of helicase activity;DNA replication"	"mitochondrial nucleoid"	"single-stranded DNA binding;chromatin binding"
"Q13263-1,Q13263-2"	"Q13263-[1,2]"	"TIF1B_HUMAN"	"Transcription intermediary factor 1-beta"	"TRIM28"	3	3	0.000630771780810762	3	3	0	0	"negative regulation of transcription;convergent extension involved in axis elongation;positive regulation of DNA repair;transcription initiation from RNA polymerase II promoter;DNA repair;protein sumoylation;epithelial to mesenchymal transition;protein autophosphorylation;negative regulation of transcription from RNA polymerase II promoter;positive regulation of transcription;protein oligomerization;embryonic placenta morphogenesis"	"nucleoplasm;nuclear heterochromatin;nuclear euchromatin"	"sequence-specific DNA binding;ubiquitin-protein ligase activity;protein kinase activity;ubiquitin protein ligase binding;transcription corepressor activity;DNA binding;sequence-specific DNA binding transcription factor activity;zinc ion binding;transcription coactivator activity"
"Q14566"	"Q14566"	"MCM6_HUMAN"	"DNA replication licensing factor MCM6"	"MCM6"	3	3	0.0012830558757052	3	3	0.00157140094989945	0	"DNA strand elongation involved in DNA replication;G1/S transition of mitotic cell cycle;DNA unwinding involved in DNA replication;DNA replication initiation"	"MCM complex;nucleoplasm"	"single-stranded DNA binding;DNA helicase activity;ATP binding"
"Q92945"	"Q92945"	"FUBP2_HUMAN"	"Far upstream element-binding protein 2"	"KHSRP"	3	5	0.00246926599614152	3	5	0.0030241917015177	0	"regulation of transcription;mRNA processing;RNA splicing;mRNA transport;transcription"	"nucleoplasm;cytosol;cytoplasmic stress granule"	"RNA binding;DNA binding"
"Q9HAV7"	"Q9HAV7"	"GRPE1_HUMAN"	"GrpE protein homolog 1, mitochondrial"	"GRPEL1"	3	4	0.00647243547744376	3	4	0.00792700571347127	0	"protein folding;protein import into mitochondrial matrix;cellular protein metabolic process"	"mitochondrial matrix"	"adenyl-nucleotide exchange factor activity;unfolded protein binding"
"O15127"	"O15127"	"SCAM2_HUMAN"	"Secretory carrier-associated membrane protein 2"	"SCAMP2"	2	5	0.00533631648406267	2	5	0.00653556322121301	0	"protein transport;post-Golgi vesicle-mediated transport"	"trans-Golgi network membrane;recycling endosome membrane;nucleus;integral to membrane;Golgi apparatus"	""
"O75367-1,O75367-2,O75367-3"	"O75367-[1-3]"	"H2AY_HUMAN"	"Core histone macro-H2A.1"	"H2AFY"	2	5	0.00157316140076758	2	5	0	0	"chromatin modification;dosage compensation;nucleosome assembly"	"Barr body;nucleosome;condensed chromosome"	"chromatin binding;DNA binding"
"O75534-1,O75534-2"	"O75534-[1,2]"	"CSDE1_HUMAN"	"Cold shock domain-containing protein E1"	"CSDE1"	2	3	0.000660018091449857	2	3	0	0	"regulation of transcription;male gonad development;nuclear-transcribed mRNA catabolic process"	"CRD-mediated mRNA stability complex"	"RNA binding;DNA binding"
"P06733-1"	"P06733-1"	"ENOA_HUMAN"	"Alpha-enolase"	"ENO1"	5	6	0.00485432660808282	5	6	0	0	"transcription;negative regulation of transcription from RNA polymerase II promoter;small molecule metabolic process;negative regulation of cell growth;glycolysis;response to virus;gluconeogenesis"	"nucleus;cytosol;extracellular vesicular exosome;M band;phosphopyruvate hydratase complex;plasma membrane"	"sequence-specific DNA binding transcription factor activity;phosphopyruvate hydratase activity;transcription corepressor activity;magnesium ion binding;DNA binding"
