"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5772";"peptide.count.P5774";"spectra.count.P5772";"spectra.count.P5774";"dNSAF.P5772";"dNSAF.P5774";"Go.Cc"
"40";"P00846";"P00846";"P00846";"ATP6_HUMAN";"ATP synthase subunit a";"MT-ATP6";2;2;0,000388907918278414;2;NA;2;NA;0,000942591005132449;NA;"mitochondrial proton-transporting ATP synthase complex, integral component of membrane, proton-transporting ATP synthase complex, coupling factor F(o), mitochondrial inner membrane"
"41";"P01892";"P01892,P10316";"P01892,P10316";"1A02_HUMAN, 1A69_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain, HLA class I histocompatibility antigen, A-69 alpha chain";"HLA-A";2;2;0,000228763096039385;NA;2;NA;2;NA;0,000534004912222369;"plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, cell surface"
"42";"P01893";"P01893,P04439,P05534,P13746-1,P13746-2,P16188,P30443,P30447,P30455,P30501,P30505,P30508,Q07000,Q29960-1,Q29960-2,Q29963,Q9TNN7";"P01893,P04439,P05534,P13746-1,P13746-2,P16188,P30443,P30447,P30455,P30501,P30505,P30508,Q07000,Q29960-1,Q29960-2,Q29963,Q9TNN7";"1A01_HUMAN, 1A03_HUMAN, 1A11_HUMAN, 1A23_HUMAN, 1A24_HUMAN, 1A30_HUMAN, 1A36_HUMAN, 1C02_HUMAN, 1C05_HUMAN, 1C06_HUMAN, 1C08_HUMAN, 1C12_HUMAN, 1C15_HUMAN, 1C16_HUMAN, HLAH_HUMAN";"HLA class I histocompatibility antigen, A-1 alpha chain, HLA class I histocompatibility antigen, A-11 alpha chain, HLA class I histocompatibility antigen, A-23 alpha chain, HLA class I histocompatibility antigen, A-24 alpha chain, HLA class I histocompatibility antigen, A-3 alpha chain, HLA class I histocompatibility antigen, A-30 alpha chain, HLA class I histocompatibility antigen, A-36 alpha chain, HLA class I histocompatibility antigen, Cw-12 alpha chain, HLA class I histocompatibility antigen, Cw-15 alpha chain, HLA class I histocompatibility antigen, Cw-16 alpha chain, HLA class I histocompatibility antigen, Cw-2 alpha chain, HLA class I histocompatibility antigen, Cw-5 alpha chain, HLA class I histocompatibility antigen, Cw-6 alpha chain, HLA class I histocompatibility antigen, Cw-8 alpha chain, Putative HLA class I histocompatibility antigen, alpha chain H";"HLA-A, HLA-C, HLA-H";1;1;9,90744487466104e-06;NA;1;NA;1;NA;3,02483605446759e-05;"integral component of plasma membrane, MHC class I protein complex"
"43";"P02533";"P02533";"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";7;23;0,00462109517729681;7;4;17;6;0,00758297700992004;0,00395899017384072;"keratin filament, cytosol, cell periphery, intermediate filament, extracellular vesicular exosome, nucleus, cytoplasm"
"44";"P02538";"P02538";"P02538";"K2C6A_HUMAN";"Keratin, type II cytoskeletal 6A";"KRT6A";2;5;0,00245596690634364;2;1;4;1;0,00438406896289461;0,00177157823267984;"extracellular vesicular exosome, intermediate filament, keratin filament"
"45";"P02795";"P02795,P13640-1,P13640-2,P80297";"P02795,P13640-1,P13640-2,P80297";"MT1G_HUMAN, MT1X_HUMAN, MT2_HUMAN";"Metallothionein-1G, Metallothionein-1X, Metallothionein-2";"MT1G, MT1X, MT2A";1;4;0,00214373633002248;1;1;2;2;0,00523833361868689;0,00504517151754524;"nucleus, cytoplasm, perinuclear region of cytoplasm, cytosol"
"46";"P04040";"P04040";"P04040";"CATA_HUMAN";"Catalase";"CAT";3;4;0,00033356049157845;NA;3;NA;4;NA;0,00077863494641432;"endoplasmic reticulum, peroxisome, cytosol, intracellular membrane-bounded organelle, plasma membrane, mitochondrial intermembrane space, peroxisomal matrix, peroxisomal membrane, lysosome, Golgi apparatus"
"47";"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";15;59;0,00858975539250562;15;14;30;29;0,0104244997665833;0,00998921373218487;"actin cytoskeleton, platelet alpha granule lumen, cytosol, extracellular space, extracellular vesicular exosome, extracellular region, I band"
"48";"P04259";"P04259";"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";1;2;0,000962393549723275;1;0;2;0;0,00213109933030585;0;"extracellular vesicular exosome, keratin filament"
"49";"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";29;204;0,0165266447272519;29;25;114;90;0,0223444149178491;0,0170594808863119;"extracellular vesicular exosome, plasma membrane, blood microparticle, extracellular space, membrane, cytoskeleton, keratin filament"
"50";"P04350";"P04350";"P04350";"TBB4A_HUMAN";"Tubulin beta-4A chain";"TUBB4A";1;1;0,000602121136989233;1;0;1;0;0,001319415111914;0;"cilium, cytosol, myelin sheath, microtubule, internode region of axon, neuronal cell body"
"51";"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";16;62;0,00813339962823452;12;14;25;37;0,00794871519253483;0,0113303006120394;"perinuclear region of cytoplasm, extracellular vesicular exosome, GAIT complex, ribonucleoprotein complex, cytosol, nucleus, microtubule cytoskeleton, lipid particle, cytoplasm, plasma membrane"
"52";"P04732";"P04732-1";"P04732-1";"MT1E_HUMAN";"Metallothionein-1E";"MT1E";0;0;0;0;0;0;0;NA;NA;"perinuclear region of cytoplasm, nucleus, cytoplasm"
"53";"P04733";"P04733";"P04733";"MT1F_HUMAN";"Metallothionein-1F";"MT1F";1;1;0,00360217989880826;0;1;0;1;NA;0,00504517151754524;"perinuclear region of cytoplasm, nucleus, cytoplasm"
"54";"P04792";"P04792";"P04792";"HSPB1_HUMAN";"Heat shock protein beta-1";"HSPB1";2;2;0,000428747266004495;NA;2;NA;2;NA;0,00100083077258621;"spindle, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleus, extracellular space, Z disc, proteasome complex, plasma membrane, cytosol"
"55";"P04843";"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";8;22;0,00159279256151588;8;5;13;9;0,00228116340451329;0,00152103194021545;"endoplasmic reticulum membrane, oligosaccharyltransferase complex, integral component of membrane, melanosome, rough endoplasmic reticulum"
"56";"P04844";"P04844-1,P04844-2";"P04844-1,P04844-2";"RPN2_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2";"RPN2";4;5;0,000174114876249844;3;1;4;1;NA;NA;"autophagic vacuole membrane, endoplasmic reticulum, integral component of membrane, rough endoplasmic reticulum, nucleus, endoplasmic reticulum membrane, oligosaccharyltransferase complex"
"57";"P04908";"P04908,P0C0S8,P20671,Q16777,Q6FI13,Q7L7L0,Q93077,Q96KK5,Q99878,Q9BTM1-1";"P04908,P0C0S8,P20671,Q16777,Q6FI13,Q7L7L0,Q93077,Q96KK5,Q99878,Q9BTM1-1";"H2A1_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-B/E, Histone H2A type 1-C, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A type 3, Histone H2A.J";"H2AFJ, HIST1H2AB,HIST1H2AE, HIST1H2AC, HIST1H2AD, HIST1H2AH, HIST1H2AJ, HIST1H2AM,HIST1H2AL,HIST1H2AG,HIST1H2AI,HIST1H2AK, HIST2H2AA3,HIST2H2AA4, HIST2H2AC, HIST3H2A";2;8;0,000392447694968909;2;1;6;2;0,000705296175759436;0,000352223705373688;"nucleus, extracellular vesicular exosome, nucleosome"
"58";"P05023";"P05023-1,P05023-3";"P05023-1,P05023-3";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";3;3;6,4437822236746e-05;3;NA;3;NA;NA;NA;"basolateral plasma membrane, integral component of membrane, endosome, endoplasmic reticulum, T-tubule, membrane, extracellular vesicular exosome, caveola, sodium:potassium-exchanging ATPase complex, Golgi apparatus, melanosome, plasma membrane"
"59";"P05109";"P05109";"P05109";"S10A8_HUMAN";"Protein S100-A8";"S100A8";5;10;0,00472544029736137;5;NA;10;NA;0,0114529874817168;NA;"cytoskeleton, cytosol, extracellular vesicular exosome, extracellular space, plasma membrane, extracellular region"
"60";"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";9;22;0,00324437947932932;7;8;12;10;0,00428910537905906;0,00344245483859351;"integral component of membrane, mitochondrial nucleoid, integral component of plasma membrane, mitochondrion, mitochondrial inner membrane, MMXD complex"
"61";"P05165";"P05165-1,P05165-2";"P05165-1,P05165-2";"PCCA_HUMAN";"Propionyl-CoA carboxylase alpha chain, mitochondrial";"PCCA";41;210;0,0063384511680953;41;33;122;88;NA;NA;"cytosol, mitochondrial matrix"
"62";"P05166";"P05166-1,P05166-2";"P05166-1,P05166-2";"PCCB_HUMAN";"Propionyl-CoA carboxylase beta chain, mitochondrial";"PCCB";13;31;0,00126377035039822;13;5;22;9;NA;NA;"cytosol, mitochondrion, mitochondrial matrix"
"63";"P05198";"P05198";"P05198";"IF2A_HUMAN";"Eukaryotic translation initiation factor 2 subunit 1";"EIF2S1";2;7;0,000976590994788017;2;2;4;3;0,00135254328355513;0,000977001468477016;"polysome, nucleus, extracellular vesicular exosome, cytoplasmic stress granule, eukaryotic translation initiation factor 2 complex, cytosol"
"64";"P05387";"P05387";"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";2;4;0,00152857720923342;2;1;3;1;0,00277859435426;0,000892044819044231;"extracellular vesicular exosome, cytosolic large ribosomal subunit, cytosol"
"65";"P05388";"P05388,Q8NHW5";"P05388,Q8NHW5";"RLA0_HUMAN, RLA0L_HUMAN";"60S acidic ribosomal protein P0, 60S acidic ribosomal protein P0-like";"RPLP0, RPLP0P6";4;11;0,000762480350820297;3;4;4;7;0,000672004943722187;0,00113264365825017;"ribonucleoprotein complex, extracellular vesicular exosome, cytoplasm, cytosolic large ribosomal subunit, nucleus, cytosol"
"66";"P05455";"P05455";"P05455";"LA_HUMAN";"Lupus La protein";"SSB";3;7;0,000753985694505454;2;3;2;5;0,000522121488137092;0,00125717100723145;"ribonucleoprotein complex, nucleus"
"67";"P05787";"P05787";"P05787";"K2C8_HUMAN";"Keratin, type II cytoskeletal 8";"KRT8";0;0;0;0;0;0;0;0;0;"sarcolemma, extracellular vesicular exosome, intermediate filament, Z disc, nuclear matrix, costamere, cytoplasm, keratin filament, nucleoplasm, dystrophin-associated glycoprotein complex"
"68";"P06454";"P06454-1,P06454-2";"P06454-1,P06454-2";"PTMA_HUMAN";"Prothymosin alpha";"PTMA";5;20;0,00395915268157304;4;5;7;13;NA;NA;"nucleus"
"69";"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";13;35;0,00290761969147661;9;12;14;21;0,00281886383765507;0,00407237852172366;"mitochondrial nucleoid, mitochondrial membrane, mitochondrial proton-transporting ATP synthase, catalytic core, mitochondrial matrix, mitochondrial proton-transporting ATP synthase complex, extracellular vesicular exosome, cell surface, mitochondrion, plasma membrane"
"70";"P06702";"P06702";"P06702";"S10A9_HUMAN";"Protein S100-A9";"S100A9";3;4;0,00154198578124424;3;NA;4;NA;0,00373729065192866;NA;"cytoskeleton, extracellular space, cytosol, plasma membrane, extracellular region, extracellular vesicular exosome"
"71";"P06733";"P06733-1";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";28;96;0,00972090575457196;23;24;49;47;NA;NA;"extracellular vesicular exosome, plasma membrane, cytoplasm, nucleus, phosphopyruvate hydratase complex, extracellular space, M band, cytosol"
"72";"P06744";"P06744-1,P06744-2";"P06744-1,P06744-2";"G6PI_HUMAN";"Glucose-6-phosphate isomerase";"GPI";9;18;0,000708816044604205;5;7;7;11;NA;NA;"cytoplasm, extracellular vesicular exosome, neuron projection, nucleus, cytosol, plasma membrane, extracellular space"
"73";"P06748";"P06748-1";"P06748-1";"NPM_HUMAN";"Nucleophosmin";"NPM1";9;21;0,0031390424832472;6;8;10;11;NA;NA;"spindle pole centrosome, centrosome, cytosol, nucleolus, ribonucleoprotein complex, nucleoplasm, nucleus, cytoplasm"
"74";"P06753";"P06753-2";"P06753-2";"TPM3_HUMAN";"Tropomyosin alpha-3 chain";"TPM3";8;18;0,00384185869732051;3;8;5;13;NA;NA;"filamentous actin, podosome, extracellular vesicular exosome, cytoskeleton, muscle thin filament tropomyosin, cortical cytoskeleton, stress fiber, cytosol, cleavage furrow, growth cone"
"75";"P06899";"P06899,P23527,P33778,Q16778";"P06899,P23527,P33778,Q16778";"H2B1B_HUMAN, H2B1J_HUMAN, H2B1O_HUMAN, H2B2E_HUMAN";"Histone H2B type 1-B, Histone H2B type 1-J, Histone H2B type 1-O, Histone H2B type 2-E";"HIST1H2BB, HIST1H2BJ, HIST1H2BO, HIST2H2BE";1;4;0,000736318607181441;1;1;2;2;0,000951006996249703;0,000814167890397513;"nucleoplasm, nucleosome"
"76";"P07195";"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";10;25;0,00350511517099606;5;9;10;15;0,00338831833993158;0,00492484995853709;"extracellular vesicular exosome, mitochondrion, cytoplasm, cytosol"
"77";"P07237";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";7;14;0,00121112662739459;6;3;9;5;0,00188703750436949;0,00100969639950873;"endoplasmic reticulum, endoplasmic reticulum lumen, extracellular region, plasma membrane, procollagen-proline 4-dioxygenase complex, extracellular vesicular exosome, melanosome, endoplasmic reticulum-Golgi intermediate compartment"
"78";"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";3;11;0,00838727642483241;3;3;6;5;0,0101783451490509;0,00973700787840269;"cytosol, cell body, microtubule, nuclear envelope lumen, extracellular vesicular exosome, cytoskeleton"
"79";"P07737";"P07737";"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";7;28;0,00878931895309215;7;6;12;16;0,00912966716399715;0,0117240176217242;"extracellular vesicular exosome, synapse, nucleus, cytosol, cytoskeleton, neuron projection, blood microparticle"
"80";"P07814";"P07814";"P07814";"SYEP_HUMAN";"Bifunctional glutamate/proline--tRNA ligase";"EPRS";10;25;0,000726630204455369;8;7;15;10;0,00105667444027745;0,000678473241997927;"ribonucleoprotein complex, cytoplasm, GAIT complex, cytosol"
"81";"P07900";"P07900-1,P07900-2";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";15;35;0,00162230528530887;8;13;13;22;NA;NA;"cytosol, plasma membrane, mitochondrion, extracellular vesicular exosome, melanosome, nucleus, extracellular region, endocytic vesicle lumen, cytoplasm"
"82";"P07910";"P07910-1,P07910-2,P07910-4";"P07910-1,P07910-2,P07910-4";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";2;5;0,000319147383917652;1;2;1;4;NA;NA;"spliceosomal complex, extracellular vesicular exosome, catalytic step 2 spliceosome, nucleus, nucleoplasm"
"83";"P08107";"P08107-1";"P08107-1";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";1;3;0,000724112167057529;1;1;2;1;NA;NA;"nucleus, cytosol, blood microparticle, nuclear speck, inclusion body, perinuclear region of cytoplasm, extracellular vesicular exosome, ribonucleoprotein complex, aggresome, endoplasmic reticulum, mitochondrion, cytoplasm"
