"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5772";"peptide.count.P5774";"spectra.count.P5772";"spectra.count.P5774";"dNSAF.P5772";"dNSAF.P5774";"Go.Cc";"norm.sc"
"26";26;"O75874";"O75874";"O75874";"IDHC_HUMAN";"Isocitrate dehydrogenase [NADP] cytoplasmic";"IDH1";1;3;0,000367446444527264;1;1;1;2;0,000289436911902083;0,000594696546029488;"mitochondrion, peroxisome, cytosol, cytoplasm, extracellular vesicular exosome, peroxisomal matrix";0,000368188512518409
"30";30;"O94804";"O94804";"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";2;2;9,07987495154148e-05;NA;2;NA;2;NA;0,000211952797913402;"plasma membrane, cytoplasm, extracellular vesicular exosome";0,000245459008345606
"32";32;"O95716";"O95716";"O95716";"RAB3D_HUMAN";"Ras-related protein Rab-3D";"RAB3D";0;0;0;0;0;0;0;0;0;"plasma membrane, transport vesicle, mitochondrion, zymogen granule, extracellular vesicular exosome";0
"36";36;"P00338";"P00338-1,P00338-3";"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";11;36;0,00253888583229257;11;9;22;14;NA;NA;"extracellular vesicular exosome, cytosol, cilium, mitochondrion";0,00441826215022091
"38";38;"P00492";"P00492";"P00492";"HPRT_HUMAN";"Hypoxanthine-guanine phosphoribosyltransferase";"HPRT1";2;4;0,000806359536980931;NA;2;NA;4;NA;0,00188229640715755;"cytosol, extracellular vesicular exosome, cytoplasm";0,000490918016691213
"39";39;"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";27;113;0,0119087894688179;21;26;51;62;0,0130267433155355;0,0152524689683102;"extracellular vesicular exosome, cytosol";0,0138684339715268
"41";41;"P01892";"P01892,P10316";"P01892,P10316";"1A02_HUMAN, 1A69_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain, HLA class I histocompatibility antigen, A-69 alpha chain";"HLA-A";2;2;0,000228763096039385;NA;2;NA;2;NA;0,000534004912222369;"plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, cell surface";0,000245459008345606
"42";42;"P01893";"P01893,P04439,P05534,P13746-1,P13746-2,P16188,P30443,P30447,P30455,P30501,P30505,P30508,Q07000,Q29960-1,Q29960-2,Q29963,Q9TNN7";"P01893,P04439,P05534,P13746-1,P13746-2,P16188,P30443,P30447,P30455,P30501,P30505,P30508,Q07000,Q29960-1,Q29960-2,Q29963,Q9TNN7";"1A01_HUMAN, 1A03_HUMAN, 1A11_HUMAN, 1A23_HUMAN, 1A24_HUMAN, 1A30_HUMAN, 1A36_HUMAN, 1C02_HUMAN, 1C05_HUMAN, 1C06_HUMAN, 1C08_HUMAN, 1C12_HUMAN, 1C15_HUMAN, 1C16_HUMAN, HLAH_HUMAN";"HLA class I histocompatibility antigen, A-1 alpha chain, HLA class I histocompatibility antigen, A-11 alpha chain, HLA class I histocompatibility antigen, A-23 alpha chain, HLA class I histocompatibility antigen, A-24 alpha chain, HLA class I histocompatibility antigen, A-3 alpha chain, HLA class I histocompatibility antigen, A-30 alpha chain, HLA class I histocompatibility antigen, A-36 alpha chain, HLA class I histocompatibility antigen, Cw-12 alpha chain, HLA class I histocompatibility antigen, Cw-15 alpha chain, HLA class I histocompatibility antigen, Cw-16 alpha chain, HLA class I histocompatibility antigen, Cw-2 alpha chain, HLA class I histocompatibility antigen, Cw-5 alpha chain, HLA class I histocompatibility antigen, Cw-6 alpha chain, HLA class I histocompatibility antigen, Cw-8 alpha chain, Putative HLA class I histocompatibility antigen, alpha chain H";"HLA-A, HLA-C, HLA-H";1;1;9,90744487466104e-06;NA;1;NA;1;NA;3,02483605446759e-05;"integral component of plasma membrane, MHC class I protein complex";0,000122729504172803
"43";43;"P02533";"P02533";"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";7;23;0,00462109517729681;7;4;17;6;0,00758297700992004;0,00395899017384072;"keratin filament, cytosol, cell periphery, intermediate filament, extracellular vesicular exosome, nucleus, cytoplasm";0,00282277859597447
"44";44;"P02538";"P02538";"P02538";"K2C6A_HUMAN";"Keratin, type II cytoskeletal 6A";"KRT6A";2;5;0,00245596690634364;2;1;4;1;0,00438406896289461;0,00177157823267984;"extracellular vesicular exosome, intermediate filament, keratin filament";0,000613647520864016
"46";46;"P04040";"P04040";"P04040";"CATA_HUMAN";"Catalase";"CAT";3;4;0,00033356049157845;NA;3;NA;4;NA;0,00077863494641432;"endoplasmic reticulum, peroxisome, cytosol, intracellular membrane-bounded organelle, plasma membrane, mitochondrial intermembrane space, peroxisomal matrix, peroxisomal membrane, lysosome, Golgi apparatus";0,000490918016691213
"47";47;"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";15;59;0,00858975539250562;15;14;30;29;0,0104244997665833;0,00998921373218487;"actin cytoskeleton, platelet alpha granule lumen, cytosol, extracellular space, extracellular vesicular exosome, extracellular region, I band";0,00724104074619539
"48";48;"P04259";"P04259";"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";1;2;0,000962393549723275;1;0;2;0;0,00213109933030585;0;"extracellular vesicular exosome, keratin filament";0,000245459008345606
"49";49;"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";29;204;0,0165266447272519;29;25;114;90;0,0223444149178491;0,0170594808863119;"extracellular vesicular exosome, plasma membrane, blood microparticle, extracellular space, membrane, cytoskeleton, keratin filament";0,0250368188512518
"51";51;"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";16;62;0,00813339962823452;12;14;25;37;0,00794871519253483;0,0113303006120394;"perinuclear region of cytoplasm, extracellular vesicular exosome, GAIT complex, ribonucleoprotein complex, cytosol, nucleus, microtubule cytoskeleton, lipid particle, cytoplasm, plasma membrane";0,00760922925871379
"54";54;"P04792";"P04792";"P04792";"HSPB1_HUMAN";"Heat shock protein beta-1";"HSPB1";2;2;0,000428747266004495;NA;2;NA;2;NA;0,00100083077258621;"spindle, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleus, extracellular space, Z disc, proteasome complex, plasma membrane, cytosol";0,000245459008345606
"57";57;"P04908";"P04908,P0C0S8,P20671,Q16777,Q6FI13,Q7L7L0,Q93077,Q96KK5,Q99878,Q9BTM1-1";"P04908,P0C0S8,P20671,Q16777,Q6FI13,Q7L7L0,Q93077,Q96KK5,Q99878,Q9BTM1-1";"H2A1_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-B/E, Histone H2A type 1-C, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A type 3, Histone H2A.J";"H2AFJ, HIST1H2AB,HIST1H2AE, HIST1H2AC, HIST1H2AD, HIST1H2AH, HIST1H2AJ, HIST1H2AM,HIST1H2AL,HIST1H2AG,HIST1H2AI,HIST1H2AK, HIST2H2AA3,HIST2H2AA4, HIST2H2AC, HIST3H2A";2;8;0,000392447694968909;2;1;6;2;0,000705296175759436;0,000352223705373688;"nucleus, extracellular vesicular exosome, nucleosome";0,000981836033382425
"58";58;"P05023";"P05023-1,P05023-3";"P05023-1,P05023-3";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";3;3;6,4437822236746e-05;3;NA;3;NA;NA;NA;"basolateral plasma membrane, integral component of membrane, endosome, endoplasmic reticulum, T-tubule, membrane, extracellular vesicular exosome, caveola, sodium:potassium-exchanging ATPase complex, Golgi apparatus, melanosome, plasma membrane";0,000368188512518409
"59";59;"P05109";"P05109";"P05109";"S10A8_HUMAN";"Protein S100-A8";"S100A8";5;10;0,00472544029736137;5;NA;10;NA;0,0114529874817168;NA;"cytoskeleton, cytosol, extracellular vesicular exosome, extracellular space, plasma membrane, extracellular region";0,00122729504172803
"60";60;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";9;22;0,00324437947932932;7;8;12;10;0,00428910537905906;0,00344245483859351;"integral component of membrane, mitochondrial nucleoid, integral component of plasma membrane, mitochondrion, mitochondrial inner membrane, MMXD complex";0,00270004909180167
"63";63;"P05198";"P05198";"P05198";"IF2A_HUMAN";"Eukaryotic translation initiation factor 2 subunit 1";"EIF2S1";2;7;0,000976590994788017;2;2;4;3;0,00135254328355513;0,000977001468477016;"polysome, nucleus, extracellular vesicular exosome, cytoplasmic stress granule, eukaryotic translation initiation factor 2 complex, cytosol";0,000859106529209622
"64";64;"P05387";"P05387";"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";2;4;0,00152857720923342;2;1;3;1;0,00277859435426;0,000892044819044231;"extracellular vesicular exosome, cytosolic large ribosomal subunit, cytosol";0,000490918016691213
"65";65;"P05388";"P05388,Q8NHW5";"P05388,Q8NHW5";"RLA0_HUMAN, RLA0L_HUMAN";"60S acidic ribosomal protein P0, 60S acidic ribosomal protein P0-like";"RPLP0, RPLP0P6";4;11;0,000762480350820297;3;4;4;7;0,000672004943722187;0,00113264365825017;"ribonucleoprotein complex, extracellular vesicular exosome, cytoplasm, cytosolic large ribosomal subunit, nucleus, cytosol";0,00135002454590083
"67";67;"P05787";"P05787";"P05787";"K2C8_HUMAN";"Keratin, type II cytoskeletal 8";"KRT8";0;0;0;0;0;0;0;0;0;"sarcolemma, extracellular vesicular exosome, intermediate filament, Z disc, nuclear matrix, costamere, cytoplasm, keratin filament, nucleoplasm, dystrophin-associated glycoprotein complex";0
"69";69;"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";13;35;0,00290761969147661;9;12;14;21;0,00281886383765507;0,00407237852172366;"mitochondrial nucleoid, mitochondrial membrane, mitochondrial proton-transporting ATP synthase, catalytic core, mitochondrial matrix, mitochondrial proton-transporting ATP synthase complex, extracellular vesicular exosome, cell surface, mitochondrion, plasma membrane";0,00429553264604811
"70";70;"P06702";"P06702";"P06702";"S10A9_HUMAN";"Protein S100-A9";"S100A9";3;4;0,00154198578124424;3;NA;4;NA;0,00373729065192866;NA;"cytoskeleton, extracellular space, cytosol, plasma membrane, extracellular region, extracellular vesicular exosome";0,000490918016691213
"71";71;"P06733";"P06733-1";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";28;96;0,00972090575457196;23;24;49;47;NA;NA;"extracellular vesicular exosome, plasma membrane, cytoplasm, nucleus, phosphopyruvate hydratase complex, extracellular space, M band, cytosol";0,0117820324005891
"72";72;"P06744";"P06744-1,P06744-2";"P06744-1,P06744-2";"G6PI_HUMAN";"Glucose-6-phosphate isomerase";"GPI";9;18;0,000708816044604205;5;7;7;11;NA;NA;"cytoplasm, extracellular vesicular exosome, neuron projection, nucleus, cytosol, plasma membrane, extracellular space";0,00220913107511046
"74";74;"P06753";"P06753-2";"P06753-2";"TPM3_HUMAN";"Tropomyosin alpha-3 chain";"TPM3";8;18;0,00384185869732051;3;8;5;13;NA;NA;"filamentous actin, podosome, extracellular vesicular exosome, cytoskeleton, muscle thin filament tropomyosin, cortical cytoskeleton, stress fiber, cytosol, cleavage furrow, growth cone";0,00220913107511046
"76";76;"P07195";"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";10;25;0,00350511517099606;5;9;10;15;0,00338831833993158;0,00492484995853709;"extracellular vesicular exosome, mitochondrion, cytoplasm, cytosol";0,00306823760432008
"77";77;"P07237";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";7;14;0,00121112662739459;6;3;9;5;0,00188703750436949;0,00100969639950873;"endoplasmic reticulum, endoplasmic reticulum lumen, extracellular region, plasma membrane, procollagen-proline 4-dioxygenase complex, extracellular vesicular exosome, melanosome, endoplasmic reticulum-Golgi intermediate compartment";0,00171821305841924
"78";78;"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";3;11;0,00838727642483241;3;3;6;5;0,0101783451490509;0,00973700787840269;"cytosol, cell body, microtubule, nuclear envelope lumen, extracellular vesicular exosome, cytoskeleton";0,00135002454590083
"79";79;"P07737";"P07737";"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";7;28;0,00878931895309215;7;6;12;16;0,00912966716399715;0,0117240176217242;"extracellular vesicular exosome, synapse, nucleus, cytosol, cytoskeleton, neuron projection, blood microparticle";0,00343642611683849
"81";81;"P07900";"P07900-1,P07900-2";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";15;35;0,00162230528530887;8;13;13;22;NA;NA;"cytosol, plasma membrane, mitochondrion, extracellular vesicular exosome, melanosome, nucleus, extracellular region, endocytic vesicle lumen, cytoplasm";0,00429553264604811
"82";82;"P07910";"P07910-1,P07910-2,P07910-4";"P07910-1,P07910-2,P07910-4";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";2;5;0,000319147383917652;1;2;1;4;NA;NA;"spliceosomal complex, extracellular vesicular exosome, catalytic step 2 spliceosome, nucleus, nucleoplasm";0,000613647520864016
"83";83;"P08107";"P08107-1";"P08107-1";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";1;3;0,000724112167057529;1;1;2;1;NA;NA;"nucleus, cytosol, blood microparticle, nuclear speck, inclusion body, perinuclear region of cytoplasm, extracellular vesicular exosome, ribonucleoprotein complex, aggresome, endoplasmic reticulum, mitochondrion, cytoplasm";0,000368188512518409
"84";84;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";1;2;3,48782498138577e-05;NA;1;NA;2;NA;NA;"integral component of membrane, apical plasma membrane, cytoplasm, nucleus, melanosome, cell junction, plasma membrane, extracellular vesicular exosome";0,000245459008345606
"85";85;"P08238";"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";12;33;0,0033306624365346;8;12;13;20;0,00340208303907007;0,00450716147059839;"brush border membrane, inclusion body, cytosol, basolateral plasma membrane, apical plasma membrane, extracellular vesicular exosome, cell surface, mitochondrion, cytoplasm, melanosome";0,0040500736377025
"88";88;"P08727";"P08727";"P08727";"K1C19_HUMAN";"Keratin, type I cytoskeletal 19";"KRT19";0;0;NA;0;0;0;0;NA;0;"Z disc, sarcolemma, intermediate filament, cell periphery, costamere, extracellular vesicular exosome, dystrophin-associated glycoprotein complex";0
"90";90;"P08779";"P08779";"P08779";"K1C16_HUMAN";"Keratin, type I cytoskeletal 16";"KRT16";13;34;0,00496257453882827;13;5;25;9;0,00831304094096674;0,00364867002977446;"intermediate filament, extracellular vesicular exosome";0,00417280314187531
"91";91;"P08865";"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";2;4;0,000595886030718112;NA;2;NA;4;NA;0,0013909851415605;"plasma membrane, cytoplasm, nucleus, 90S preribosome, cytosol, cytosolic small ribosomal subunit, extracellular vesicular exosome";0,000490918016691213
"92";92;"P09211";"P09211";"P09211";"GSTP1_HUMAN";"Glutathione S-transferase P";"GSTP1";4;10;0,00209269498883146;4;3;6;4;0,00304322238799905;0,00195400293695403;"extracellular space, TRAF2-GSTP1 complex, mitochondrion, cytoplasm, nucleus, intracellular, cytosol, extracellular vesicular exosome, plasma membrane";0,00122729504172803
"93";93;"P09382";"P09382";"P09382";"LEG1_HUMAN";"Galectin-1";"LGALS1";2;2;0,000651060663192011;NA;2;NA;2;NA;0,00151978006207536;"extracellular space, proteinaceous extracellular matrix, cell surface, nucleus, cytoplasm, intracellular";0,000245459008345606
"94";94;"P09429";"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";7;38;0,00789059567881879;7;6;21;17;0,0106925623826401;0,00811138428479755;"nucleoplasm, condensed chromosome, cell surface, nucleus, extracellular region, extracellular space";0,00466372115856652
"95";95;"P09496";"P09496-2";"P09496-2";"CLCA_HUMAN";"Clathrin light chain A";"CLTA";1;1;0,000177204011151051;NA;1;NA;1;NA;NA;"clathrin complex, clathrin-coated endocytic vesicle membrane, cytoplasmic membrane-bounded vesicle, trans-Golgi network membrane, plasma membrane, clathrin coat of trans-Golgi network vesicle, clathrin coat, cytosol, intracellular membrane-bounded organelle, clathrin coat of coated pit";0,000122729504172803
"96";96;"P09651";"P09651-1,P09651-2,P09651-3";"P09651-1,P09651-2,P09651-3";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";8;27;0,00110846764422147;7;7;15;12;NA;NA;"spliceosomal complex, extracellular vesicular exosome, intermediate filament cytoskeleton, cytoplasm, ribonucleoprotein complex, nucleus, nucleoplasm, catalytic step 2 spliceosome";0,00331369661266568
"98";98;"P09972";"P09972";"P09972";"ALDOC_HUMAN";"Fructose-bisphosphate aldolase C";"ALDOC";2;9;0,00131030167004323;1;2;2;7;0,000694966651105552;0,00241118952156187;"axon, mitochondrion, cytosol, cytoskeleton, extracellular vesicular exosome";0,00110456553755523
"100";100;"P10599";"P10599";"P10599";"THIO_HUMAN";"Thioredoxin";"TXN";4;10;0,00418538997766293;3;4;4;6;0,0040576298506654;0,00586200881086209;"mitochondrion, extracellular vesicular exosome, cytoplasm, nucleus, nucleoplasm, cytosol";0,00122729504172803
"101";101;"P10768";"P10768";"P10768";"ESTD_HUMAN";"S-formylglutathione hydrolase";"ESD";5;10;0,00155838988530003;5;2;8;2;0,00302163925049551;0,000727554285036075;"extracellular vesicular exosome, nucleus, cytoplasmic membrane-bounded vesicle, plasma membrane, cytoplasm, Golgi apparatus";0,00122729504172803
"102";102;"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";30;86;0,00659582399621226;20;27;38;48;0,0070636750018128;0,00859352076985019;"mitochondrion, coated pit, secretory granule, mitochondrial matrix, extracellular space, protein complex, mitochondrial inner membrane, plasma membrane, extracellular vesicular exosome, early endosome, cytoplasm, cell surface, coated vesicle, cytosol, lipopolysaccharide receptor complex";0,0105547373588611
"103";103;"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";14;32;0,00237679549361901;5;13;8;24;0,00148628099864672;0,00408164628715193;"endoplasmic reticulum chaperone complex, endoplasmic reticulum, cell surface, nucleus, midbody, melanosome, integral component of endoplasmic reticulum membrane, extracellular vesicular exosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, endoplasmic reticulum membrane";0,0039273441335297
"104";104;"P11142";"P11142-1";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";13;42;0,00398416992602938;13;12;19;23;NA;NA;"extracellular vesicular exosome, intracellular, plasma membrane, ribonucleoprotein complex, nucleolus, blood microparticle, Prp19 complex, cytosol, melanosome, spliceosomal complex, clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleus";0,00515463917525773
"106";106;"P11532";"P11532-1,P11532-2,P11532-3,P11532-4";"P11532-1,P11532-2,P11532-3,P11532-4";"DMD_HUMAN";"Dystrophin";"DMD";1;1;4,47217721493834e-06;NA;1;NA;1;NA;NA;"sarcolemma, cytosol, cytoskeleton, filopodium, cell junction, membrane raft, nucleus, postsynaptic membrane, cell surface, dystrophin-associated glycoprotein complex, protein complex, costamere, plasma membrane, syntrophin complex";0,000122729504172803
"107";107;"P11586";"P11586";"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";6;16;0,000752027290104141;5;5;8;8;0,000911339324748378;0,000877733939594324;"extracellular vesicular exosome, mitochondrion, cytosol";0,00196367206676485
"109";109;"P12004";"P12004";"P12004";"PCNA_HUMAN";"Proliferating cell nuclear antigen";"PCNA";4;11;0,00185215533494279;2;4;3;8;0,00122428486873525;0,00314437254222488;"cytoplasm, extracellular vesicular exosome, nuclear replication fork, PCNA complex, nucleoplasm, nucleus, PCNA-p21 complex, DNA replication factor C complex";0,00135002454590083
"111";111;"P12268";"P12268";"P12268";"IMDH2_HUMAN";"Inosine-5'-monophosphate dehydrogenase 2";"IMPDH2";2;2;0,00017099842321191;NA;2;NA;2;NA;0,00039916402408594;"cytoplasm, nucleus, peroxisomal membrane, cytosol, extracellular vesicular exosome";0,000245459008345606
"112";112;"P12814";"P12814-1,P12814-2,P12814-3";"P12814-1,P12814-2,P12814-3";"ACTN1_HUMAN";"Alpha-actinin-1";"ACTN1";3;3;4,92674829209201e-05;NA;3;NA;3;NA;NA;"dendritic spine, extracellular region, pseudopodium, fascia adherens, cytosol, Z disc, focal adhesion, ruffle, cytoskeleton, cell projection, platelet alpha granule lumen, cytoplasm, nucleus, extracellular vesicular exosome, plasma membrane";0,000368188512518409
"115";115;"P13164";"P13164,Q01628,Q01629";"P13164,Q01628,Q01629";"IFM1_HUMAN, IFM2_HUMAN, IFM3_HUMAN";"Interferon-induced transmembrane protein 1, Interferon-induced transmembrane protein 2, Interferon-induced transmembrane protein 3";"IFITM1, IFITM2, IFITM3";1;1;0,000112683576321694;1;NA;1;NA;0,000273109701487094;NA;"integral component of membrane, plasma membrane";0,000122729504172803
"116";116;"P13489";"P13489";"P13489";"RINI_HUMAN";"Ribonuclease inhibitor";"RNH1";2;2;0,000190657677941261;NA;2;NA;2;NA;0,000445054898872393;"extracellular vesicular exosome, angiogenin-PRI complex, cytoplasm";0,000245459008345606
"117";117;"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";26;70;0,00358538651932663;21;19;38;32;0,00471734938932253;0,00382601973669321;"polysome, cytosol, extracellular vesicular exosome, ribonucleoprotein complex";0,00859106529209622
"118";118;"P13645";"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";30;200;0,0181911314459901;30;27;112;88;0,02487774118689;0,0184374268843767;"extracellular vesicular exosome, cytoplasm, extracellular space, intermediate filament, keratin filament";0,0245459008345606
"119";119;"P13646";"P13646-1,P13646-3";"P13646-1,P13646-3";"K1C13_HUMAN";"Keratin, type I cytoskeletal 13";"KRT13";0;0;NA;0;0;0;0;NA;NA;"intermediate filament cytoskeleton, keratin filament, extracellular vesicular exosome";0
"120";120;"P13647";"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";14;44;0,0060246277666361;13;11;24;20;0,00839517872957735;0,0059014367153421;"plasma membrane, cytosol, extracellular vesicular exosome, intermediate filament, cytoplasm, mitochondrion, keratin filament";0,00540009818360334
"121";121;"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";20;47;0,00329424235083996;12;17;20;27;0,00339753695629878;0,00441754252493196;"cytosol, extracellular space, ruffle, actin filament, actin filament bundle, actin cytoskeleton, ruffle membrane, plasma membrane, extracellular vesicular exosome, phagocytic cup, focal adhesion, filopodium, cytoplasm";0,00576828669612175
"123";123;"P14174";"P14174";"P14174";"MIF_HUMAN";"Macrophage migration inhibitory factor";"MIF";1;1;0,000382144302308354;NA;1;NA;1;NA;0,000892044819044231;"extracellular space, cell surface, extracellular region, extracellular vesicular exosome, cytoplasm";0,000122729504172803
"125";125;"P14550";"P14550";"P14550";"AK1A1_HUMAN";"Alcohol dehydrogenase [NADP(+)]";"AKR1A1";2;2;0,000270440583172066;2;NA;2;NA;0,000655463283569026;NA;"apical plasma membrane, cytosol, extracellular vesicular exosome, extracellular space";0,000245459008345606
