"";"X";"accession";"name";"go_name"
"11";11;"P30457";"1A66_HUMAN";"P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:Golgi membrane, P:viral process, P:type I interferon signaling pathway, C:ER to Golgi transport vesicle membrane, C:early endosome membrane, C:phagocytic vesicle membrane, C:MHC class I protein complex, F:peptide antigen binding, P:regulation of immune response, P:positive regulation of T cell mediated cytotoxicity, C:integral component of lumenal side of endoplasmic reticulum membrane, C:plasma membrane, P:interferon-gamma-mediated signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"
"12";12;"P10316";"1A69_HUMAN";"C:plasma membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:positive regulation of T cell mediated cytotoxicity, C:early endosome membrane, C:MHC class I protein complex, F:peptide antigen binding, C:integral component of lumenal side of endoplasmic reticulum membrane, P:viral process, P:regulation of immune response, C:phagocytic vesicle membrane, P:interferon-gamma-mediated signaling pathway, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:Golgi membrane, C:extracellular vesicular exosome, C:ER to Golgi transport vesicle membrane"
"13";13;"P30464";"1B15_HUMAN";"P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:integral component of lumenal side of endoplasmic reticulum membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:type I interferon signaling pathway, C:cell surface, P:viral process, C:early endosome membrane, C:ER to Golgi transport vesicle membrane, P:regulation of immune response, P:interferon-gamma-mediated signaling pathway, F:peptide antigen binding, C:Golgi membrane, P:positive regulation of T cell mediated cytotoxicity, C:MHC class I protein complex, F:receptor binding, C:phagocytic vesicle membrane"
"14";14;"P30466";"1B18_HUMAN";"P:regulation of immune response, P:positive regulation of T cell mediated cytotoxicity, C:integral component of lumenal side of endoplasmic reticulum membrane, C:cell surface, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:viral process, F:peptide antigen binding, P:interferon-gamma-mediated signaling pathway, P:type I interferon signaling pathway, C:early endosome membrane, C:MHC class I protein complex, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:Golgi membrane, C:ER to Golgi transport vesicle membrane, C:phagocytic vesicle membrane, F:receptor binding"
"15";15;"P03989";"1B27_HUMAN";"P:viral process, C:ER to Golgi transport vesicle membrane, C:cell surface, P:positive regulation of T cell mediated cytotoxicity, C:phagocytic vesicle membrane, P:type I interferon signaling pathway, C:early endosome membrane, P:interferon-gamma-mediated signaling pathway, P:detection of bacterium, C:integral component of lumenal side of endoplasmic reticulum membrane, C:MHC class I protein complex, F:peptide antigen binding, P:antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:regulation of immune response, C:Golgi membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:extracellular vesicular exosome"
"16";16;"P30486";"1B48_HUMAN";"P:viral process, C:integral component of membrane, F:peptide antigen binding, C:cell surface, P:antigen processing and presentation of peptide antigen via MHC class I, P:positive regulation of T cell mediated cytotoxicity, P:immune response, C:MHC class I protein complex"
"17";17;"P30491";"1B53_HUMAN";"P:regulation of immune response, P:positive regulation of T cell mediated cytotoxicity, C:MHC class I protein complex, C:integral component of lumenal side of endoplasmic reticulum membrane, P:viral process, C:cell surface, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:phagocytic vesicle membrane, P:interferon-gamma-mediated signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:early endosome membrane, F:peptide antigen binding, C:Golgi membrane, C:ER to Golgi transport vesicle membrane, P:type I interferon signaling pathway"
"18";18;"P30492";"1B54_HUMAN";"P:type I interferon signaling pathway, C:Golgi membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, F:peptide antigen binding, P:viral process, C:early endosome membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:MHC class I protein complex, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:positive regulation of T cell mediated cytotoxicity, C:phagocytic vesicle membrane, C:cell surface, P:regulation of immune response, P:interferon-gamma-mediated signaling pathway, C:ER to Golgi transport vesicle membrane"
"19";19;"P18465";"1B57_HUMAN";"C:ER to Golgi transport vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, F:peptide antigen binding, C:phagocytic vesicle membrane, C:early endosome membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:viral process, C:Golgi membrane, C:cell surface, P:regulation of immune response, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:MHC class I protein complex, P:interferon-gamma-mediated signaling pathway"
"20";20;"P10319";"1B58_HUMAN";"P:interferon-gamma-mediated signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:phagocytic vesicle membrane, P:viral process, F:peptide antigen binding, P:positive regulation of T cell mediated cytotoxicity, C:ER to Golgi transport vesicle membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:type I interferon signaling pathway, C:early endosome membrane, C:Golgi membrane, C:MHC class I protein complex, C:integral component of lumenal side of endoplasmic reticulum membrane, C:cell surface, P:regulation of immune response"
"21";21;"Q29940";"1B59_HUMAN";"P:regulation of immune response, P:interferon-gamma-mediated signaling pathway, C:early endosome membrane, C:phagocytic vesicle membrane, P:type I interferon signaling pathway, P:positive regulation of T cell mediated cytotoxicity, C:integral component of lumenal side of endoplasmic reticulum membrane, P:viral process, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, F:peptide antigen binding, C:cell surface, C:MHC class I protein complex, C:ER to Golgi transport vesicle membrane, C:Golgi membrane"
"22";22;"Q31612";"1B73_HUMAN";"P:regulation of immune response, P:positive regulation of T cell mediated cytotoxicity, C:integral component of lumenal side of endoplasmic reticulum membrane, C:early endosome membrane, C:MHC class I protein complex, C:ER to Golgi transport vesicle membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:Golgi membrane, P:viral process, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:phagocytic vesicle membrane, C:cell surface, F:peptide antigen binding, P:type I interferon signaling pathway, P:interferon-gamma-mediated signaling pathway"
"23";23;"P30501";"1C02_HUMAN";"P:type I interferon signaling pathway, C:phagocytic vesicle membrane, C:ER to Golgi transport vesicle membrane, C:early endosome membrane, P:viral process, C:cell surface, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:integral component of plasma membrane, F:TAP binding, F:peptide antigen binding, C:MHC class I protein complex, C:Golgi membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:regulation of immune response, P:positive regulation of T cell mediated cytotoxicity, C:integral component of lumenal side of endoplasmic reticulum membrane, P:interferon-gamma-mediated signaling pathway"
"24";24;"P04222";"1C03_HUMAN";"C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, F:peptide antigen binding, P:interferon-gamma-mediated signaling pathway, F:receptor binding, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, F:TAP binding, C:early endosome membrane, C:Golgi membrane, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:cell surface, C:ER to Golgi transport vesicle membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:regulation of immune response, C:MHC class I protein complex, P:viral process"
"25";25;"P10321";"1C07_HUMAN";"C:integral component of lumenal side of endoplasmic reticulum membrane, F:peptide antigen binding, F:receptor binding, C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, P:viral process, P:type I interferon signaling pathway, C:extracellular vesicular exosome, C:cell surface, P:regulation of immune response, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:interferon-gamma-mediated signaling pathway, C:MHC class I protein complex, C:Golgi membrane, C:ER to Golgi transport vesicle membrane, C:early endosome membrane"
"26";26;"P30508";"1C12_HUMAN";"C:Golgi membrane, F:peptide antigen binding, P:regulation of immune response, C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, C:ER to Golgi transport vesicle membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:type I interferon signaling pathway, C:MHC class I protein complex, C:cell surface, C:early endosome membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:integral component of plasma membrane, P:viral process, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:interferon-gamma-mediated signaling pathway"
"27";27;"Q95604";"1C17_HUMAN";"F:peptide antigen binding, P:interferon-gamma-mediated signaling pathway, C:MHC class I protein complex, C:phagocytic vesicle membrane, C:ER to Golgi transport vesicle membrane, C:early endosome membrane, P:positive regulation of T cell mediated cytotoxicity, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:Golgi membrane, P:type I interferon signaling pathway, C:integral component of lumenal side of endoplasmic reticulum membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:viral process, C:cell surface, P:regulation of immune response"
"29";29;"P01912";"2B13_HUMAN";"P:immunoglobulin production involved in immunoglobulin mediated immune response, C:ER to Golgi transport vesicle membrane, C:trans-Golgi network membrane, C:MHC class II protein complex, P:T cell receptor signaling pathway, C:plasma membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, C:Golgi membrane, P:T cell costimulation, C:late endosome membrane, P:interferon-gamma-mediated signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, C:lysosomal membrane, C:clathrin-coated endocytic vesicle membrane, P:humoral immune response mediated by circulating immunoglobulin"
"31";31;"P08195";"4F2_HUMAN";"P:leucine import, C:apical plasma membrane, C:melanosome, P:response to exogenous dsRNA, F:calcium:sodium antiporter activity, F:cation binding, F:neutral amino acid transmembrane transporter activity, C:extracellular vesicular exosome, C:integral component of membrane, P:tryptophan transport, P:leukocyte migration, P:cell growth, C:plasma membrane, P:blood coagulation, F:catalytic activity, P:carbohydrate metabolic process, F:double-stranded RNA binding"
"33";33;"Q15758";"AAAT_HUMAN";"F:L-glutamine transmembrane transporter activity, P:sodium ion transmembrane transport, C:extracellular vesicular exosome, C:integral component of plasma membrane, C:Golgi apparatus, C:melanosome, P:extracellular amino acid transport, F:L-serine transmembrane transporter activity, F:sodium:dicarboxylate symporter activity, F:receptor activity, F:virus receptor activity, P:response to virus"
"34";34;"P00505";"AATM_HUMAN";"P:4-hydroxyproline catabolic process, C:mitochondrial matrix, P:response to ethanol, P:2-oxoglutarate metabolic process, P:glutamate catabolic process to aspartate, P:aspartate biosynthetic process, F:L-aspartate:2-oxoglutarate aminotransferase activity, F:pyridoxal phosphate binding, P:glutamate catabolic process to 2-oxoglutarate, P:aspartate catabolic process, P:oxaloacetate metabolic process, C:extracellular vesicular exosome, C:mitochondrial inner membrane, F:kynurenine-oxoglutarate transaminase activity, F:L-phenylalanine:2-oxoglutarate aminotransferase activity, P:L-kynurenine metabolic process, P:cellular amino acid biosynthetic process, C:plasma membrane, P:fatty acid transport, P:cellular nitrogen compound metabolic process, P:gluconeogenesis, P:glutamate metabolic process"
"44";44;"P60709";"ACTB_HUMAN";"P:innate immune response, C:ribonucleoprotein complex, P:retina homeostasis, C:MLL5-L complex, F:ATP binding, P:cell junction assembly, P:Fc-gamma receptor signaling pathway involved in phagocytosis, P:blood coagulation, F:structural constituent of cytoskeleton, C:cortical cytoskeleton, P:'de novo' posttranslational protein folding, P:axon guidance, C:cytosol, C:blood microparticle, C:NuA4 histone acetyltransferase complex, C:cytoskeleton, C:extracellular vesicular exosome, C:postsynaptic density, C:axon, P:substantia nigra development, P:adherens junction organization"
"45";45;"Q562R1";"ACTBL_HUMAN";"F:ATP binding, C:cytoplasm, C:extracellular space, C:cytoskeleton, C:extracellular vesicular exosome"
"46";46;"P68032";"ACTC_HUMAN";"P:response to drug, C:I band, P:skeletal muscle thin filament assembly, P:cardiac muscle contraction, P:heart contraction, P:cardiac muscle tissue morphogenesis, P:apoptotic process, P:cardiac myofibril assembly, P:muscle filament sliding, F:ATP binding, P:negative regulation of apoptotic process, C:cytosol, C:extracellular vesicular exosome, C:actomyosin, actin portion, F:myosin binding, F:ATPase activity, P:response to ethanol, C:blood microparticle"
"47";47;"P00813";"ADA_HUMAN";"P:liver development, C:external side of plasma membrane, C:cytosol, P:positive regulation of heart rate, F:purine nucleoside binding, P:response to hydrogen peroxide, P:embryonic digestive tract development, P:positive regulation of alpha-beta T cell differentiation, P:positive regulation of B cell proliferation, P:purine nucleotide salvage, P:positive regulation of T cell receptor signaling pathway, C:dendrite cytoplasm, P:negative regulation of penile erection, P:response to morphine, P:deoxyadenosine catabolic process, P:negative regulation of adenosine receptor signaling pathway, P:placenta development, P:aging, P:histamine secretion, C:cell junction, P:negative regulation of circadian sleep/wake cycle, non-REM sleep, C:lysosome, C:cytoplasmic membrane-bounded vesicle lumen, P:lung alveolus development, P:positive regulation of calcium-mediated signaling, P:negative regulation of thymocyte apoptotic process, P:positive regulation of T cell differentiation in thymus, P:dATP catabolic process, P:inosine biosynthetic process, F:adenosine deaminase activity, C:extracellular space, P:positive regulation of germinal center formation, P:response to hypoxia, P:hypoxanthine salvage, P:negative regulation of leukocyte migration, P:negative regulation of mature B cell apoptotic process, P:xanthine biosynthetic process, P:purine ribonucleoside monophosphate biosynthetic process, P:Peyer's patch development, P:response to vitamin E, P:adenosine catabolic process, F:zinc ion binding, C:neuronal cell body, P:cell adhesion, P:germinal center B cell differentiation, P:trophectodermal cell differentiation, P:regulation of cell-cell adhesion mediated by integrin, P:negative regulation of inflammatory response, P:negative regulation of mucus secretion, P:T cell activation, P:positive regulation of smooth muscle contraction"
"49";49;"Q9BRR6";"ADPGK_HUMAN";"F:metal ion binding, P:glycolysis, C:extracellular region, F:ADP-specific glucokinase activity"
"50";50;"Q16186";"ADRM1_HUMAN";"F:proteasome binding, P:transcription elongation from RNA polymerase II promoter, F:endopeptidase activator activity, C:nucleus, C:proteasome complex, C:integral component of plasma membrane, C:cytoplasm, P:proteasome assembly"
"51";51;"P05141";"ADT2_HUMAN";"P:energy reserve metabolic process, P:negative regulation of mitochondrial outer membrane permeabilization, P:regulation of insulin secretion, C:MMXD complex, C:mitochondrial nucleoid, C:integral component of plasma membrane, P:positive regulation of cell proliferation, P:viral process, P:small molecule metabolic process, P:chromosome segregation, F:adenine transmembrane transporter activity, C:mitochondrial inner membrane"
"54";54;"P49189";"AL9A1_HUMAN";"P:cellular aldehyde metabolic process, P:liver development, C:plasma membrane, F:4-trimethylammoniobutyraldehyde dehydrogenase activity, P:kidney development, C:mitochondrion, F:1-pyrroline dehydrogenase activity, C:cytosol, P:neurotransmitter biosynthetic process, F:aminobutyraldehyde dehydrogenase activity, F:amine binding, F:3-chloroallyl aldehyde dehydrogenase activity, P:carnitine biosynthetic process, P:hormone metabolic process, F:NAD binding, C:extracellular vesicular exosome"
"55";55;"P04075";"ALDOA_HUMAN";"F:fructose binding, C:extracellular space, P:fructose 1,6-bisphosphate metabolic process, P:fructose metabolic process, P:striated muscle contraction, P:glycolysis, C:extracellular vesicular exosome, P:platelet activation, P:gluconeogenesis, P:ATP biosynthetic process, F:identical protein binding, P:regulation of cell shape, P:actin filament organization, C:I band, C:actin cytoskeleton, C:cytosol, F:actin binding, C:platelet alpha granule lumen, P:muscle cell cellular homeostasis, P:protein homotetramerization, F:tubulin binding, F:fructose-bisphosphate aldolase activity, P:platelet degranulation"
"56";56;"P15121";"ALDR_HUMAN";"C:nucleus, F:electron carrier activity, P:C21-steroid hormone biosynthetic process, P:response to stress, C:cytosol, P:doxorubicin metabolic process, C:extracellular vesicular exosome, F:glyceraldehyde oxidoreductase activity, F:alditol:NADP+ 1-oxidoreductase activity, P:daunorubicin metabolic process, C:extracellular space, P:carbohydrate metabolic process"
"57";57;"P28838";"AMPL_HUMAN";"P:proteolysis, F:manganese ion binding, C:cytoplasm, F:metalloexopeptidase activity, C:mitochondrion, C:extracellular vesicular exosome, F:aminopeptidase activity, C:trans-Golgi network, C:nucleus"
"58";58;"P15144";"AMPN_HUMAN";"C:external side of plasma membrane, C:cytosol, F:aminopeptidase activity, C:endoplasmic reticulum-Golgi intermediate compartment, P:cell differentiation, F:zinc ion binding, C:extracellular vesicular exosome, P:angiotensin maturation, F:virus receptor activity, P:cellular protein metabolic process, P:viral process, C:integral component of plasma membrane, P:response to virus, C:lysosomal membrane, P:angiogenesis, F:metallopeptidase activity, F:receptor activity, P:proteolysis"
"59";59;"P30533";"AMRP_HUMAN";"C:cell surface, P:negative regulation of very-low-density lipoprotein particle clearance, F:asialoglycoprotein receptor activity, C:plasma membrane, F:receptor antagonist activity, C:endoplasmic reticulum, F:unfolded protein binding, F:low-density lipoprotein particle receptor binding, P:negative regulation of protein binding, C:vesicle, C:extracellular region, P:negative regulation of beta-amyloid clearance, C:rough endoplasmic reticulum lumen, F:heparin binding, P:protein folding, C:integral component of membrane"
"63";63;"Q9HDC9";"APMAP_HUMAN";"F:arylesterase activity, C:integral component of membrane, C:cell surface, C:membrane, P:biosynthetic process, F:strictosidine synthase activity"
"64";64;"P61204";"ARF3_HUMAN";"P:small GTPase mediated signal transduction, C:Golgi membrane, F:GTPase activity, P:vesicle-mediated transport, C:perinuclear region of cytoplasm, C:extracellular vesicular exosome, P:protein transport, P:phosphatidylinositol biosynthetic process, F:GTP binding"
"65";65;"P18085";"ARF4_HUMAN";"P:small GTPase mediated signal transduction, C:extracellular vesicular exosome, P:protein ADP-ribosylation, F:epidermal growth factor receptor binding, P:response to axon injury, P:negative regulation of apoptotic process, P:regulation of reactive oxygen species metabolic process, P:positive regulation of transcription from RNA polymerase II promoter, C:Golgi apparatus, P:protein transport, P:cell migration, C:cytosol, P:activation of phospholipase D activity, P:brain development, P:vesicle-mediated transport, C:ruffle membrane, P:epidermal growth factor receptor signaling pathway, F:GTP binding"
"66";66;"P61160";"ARP2_HUMAN";"P:asymmetric cell division, C:Arp2/3 protein complex, P:cellular component movement, P:cytoplasmic transport, C:cell projection, P:meiotic cytokinesis, C:extracellular vesicular exosome, P:Fc-gamma receptor signaling pathway involved in phagocytosis, P:establishment or maintenance of cell polarity, P:Arp2/3 complex-mediated actin nucleation, P:innate immune response, C:cytosol, C:actin cap, P:spindle localization, F:ATP binding"
"67";67;"P61158";"ARP3_HUMAN";"P:response to carbohydrate, C:podosome, P:meiotic cytokinesis, C:Arp2/3 protein complex, P:positive regulation of dendrite morphogenesis, P:establishment or maintenance of cell polarity, P:cellular component movement, P:asymmetric cell division, P:response to antibiotic, F:ATP binding, P:spindle localization, P:Fc-gamma receptor signaling pathway involved in phagocytosis, C:extracellular vesicular exosome, P:cilium morphogenesis, C:Golgi membrane, P:positive regulation of filopodium assembly, P:positive regulation of lamellipodium assembly, P:positive regulation of actin filament polymerization, P:regulation of myosin II filament organization, C:excitatory synapse, C:lamellipodium, P:innate immune response, C:hemidesmosome, C:cytosol, P:positive regulation of neuron differentiation"
"68";68;"P59998";"ARPC4_HUMAN";"C:extracellular vesicular exosome, P:Fc-gamma receptor signaling pathway involved in phagocytosis, C:Arp2/3 protein complex, P:actin filament polymerization, P:Arp2/3 complex-mediated actin nucleation, P:actin nucleation, C:cytosol, C:cell projection, P:innate immune response"
"69";69;"Q13510";"ASAH1_HUMAN";"P:lung development, P:ceramide metabolic process, C:lysosomal lumen, P:cell death, P:response to organic substance, P:small molecule metabolic process, F:ceramidase activity, P:glycosphingolipid metabolic process, C:extracellular vesicular exosome"
"70";70;"P05023";"AT1A1_HUMAN";"C:T-tubule, C:endoplasmic reticulum, P:ATP biosynthetic process, F:ADP binding, P:regulation of sodium ion transport, F:chaperone binding, C:basolateral plasma membrane, P:regulation of cardiac muscle cell contraction, C:melanosome, P:positive regulation of heart contraction, P:potassium ion import, P:negative regulation of heart contraction, P:regulation of the force of heart contraction, P:response to drug, P:negative regulation of glucocorticoid biosynthetic process, C:endosome, C:Golgi apparatus, P:membrane hyperpolarization, F:sodium:potassium-exchanging ATPase activity, P:regulation of blood pressure, F:potassium ion binding, C:sodium:potassium-exchanging ATPase complex, C:caveola, C:extracellular vesicular exosome, F:sodium ion binding, P:positive regulation of striated muscle contraction, F:ATP binding, P:cellular response to mechanical stimulus"
"73";73;"P54709";"AT1B3_HUMAN";"C:sodium:potassium-exchanging ATPase complex, F:sodium:potassium-exchanging ATPase activity, P:leukocyte migration, C:extracellular vesicular exosome, P:blood coagulation, C:caveola, C:melanosome"
"74";74;"P16615";"AT2A2_HUMAN";"P:cell adhesion, P:regulation of the force of heart contraction, P:positive regulation of heart rate, F:metal ion binding, P:sarcoplasmic reticulum calcium ion transport, P:epidermis development, P:ER-nucleus signaling pathway, F:calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential, C:platelet dense tubular network membrane, P:relaxation of cardiac muscle, P:negative regulation of heart contraction, C:integral component of plasma membrane, P:cellular calcium ion homeostasis, P:blood coagulation, C:sarcoplasmic reticulum membrane, F:ATP binding"
