"";"protein.acs";"X.2";"X";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5745.3.id.csv";"peptide.count.P5745.4.id.csv";"spectra.count.P5745.3.id.csv";"spectra.count.P5745.4.id.csv";"dNSAF.P5745.3.id.csv";"dNSAF.P5745.4.id.csv";"Go.Cc";"norm.sc";"Go.Mf"
"11";"P04406";17;17;"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";7;14;0,00812351755196724;6;6;7;7;0,0090197521089193;0,00850746409713368;"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane";0,00873907615480649;"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity, NAD binding, peptidyl-cysteine S-nitrosylase activity, identical protein binding, protein binding, microtubule binding, NADP binding"
"12";"P04439";18;18;"P04439,P05534,P13746-1,P13746-2,P16188,P30447";"P04439,P05534,P13746-1,P13746-2,P16188,P30447";"1A03_HUMAN, 1A11_HUMAN, 1A23_HUMAN, 1A24_HUMAN, 1A30_HUMAN";"HLA class I histocompatibility antigen, A-11 alpha chain, HLA class I histocompatibility antigen, A-23 alpha chain, HLA class I histocompatibility antigen, A-24 alpha chain, HLA class I histocompatibility antigen, A-3 alpha chain, HLA class I histocompatibility antigen, A-30 alpha chain";"HLA-A";1;1;0,00032545294823874;0;1;0;1;NA;0,000697162542206405;"MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, early endosome membrane, integral component of plasma membrane, ER to Golgi transport vesicle membrane, Golgi membrane";0,000624219725343321;"TAP binding, receptor binding, beta-2-microglobulin binding, peptide antigen binding"
"13";"P05109";20;20;"P05109";"P05109";"S10A8_HUMAN";"Protein S100-A8";"S100A8";1;1;0,00209015236552153;NA;1;NA;1;NA;0,00437788091019936;"extracellular space, cytoskeleton, plasma membrane, cytosol, extracellular vesicular exosome";0,000624219725343321;"RAGE receptor binding, protein binding, calcium ion binding, Toll-like receptor 4 binding, zinc ion binding, microtubule binding, arachidonic acid binding"
"14";"P05141";21;21;"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";8;12;0,00782755046953699;5;7;5;7;0,00724261015457326;0,00956375997496572;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane";0,00749063670411985;"protein binding, poly(A) RNA binding, adenine transmembrane transporter activity"
"15";"P05387";22;22;"P05387";"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";3;5;0,00845148565189139;3;2;3;2;0,011260684309893;0,00708074651562679;"extracellular vesicular exosome, cytosolic large ribosomal subunit";0,0031210986267166;"RNA binding, structural constituent of ribosome"
"16";"P05388";23;23;"P05388,Q8NHW5";"P05388,Q8NHW5";"RLA0_HUMAN, RLA0L_HUMAN";"60S acidic ribosomal protein P0, 60S acidic ribosomal protein P0-like";"RPLP0, RPLP0P6";2;2;0,000613199274427451;NA;2;NA;2;NA;0,00128436253832347;"extracellular vesicular exosome, nucleus, cytosolic large ribosomal subunit";0,00124843945068664;"RNA binding, protein binding, poly(A) RNA binding, structural constituent of ribosome"
"17";"P05787";25;25;"P05787";"P05787";"K2C8_HUMAN";"Keratin, type II cytoskeletal 8";"KRT8";0;0;0;0;0;0;0;0;0;"intermediate filament, nucleoplasm, keratin filament, Z disc, cytoplasm, nuclear matrix, sarcolemma, extracellular vesicular exosome, costamere, dystrophin-associated glycoprotein complex";0;"structural molecule activity, scaffold protein binding, protein binding"
"18";"P06576";26;26;"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";9;17;0,00624675026444146;8;8;9;8;0,00734392454993024;0,00615717088315373;"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane";0,0106117353308365;"proton-transporting ATP synthase activity, rotational mechanism, transmembrane transporter activity, ATP binding, transporter activity, proton-transporting ATPase activity, rotational mechanism, MHC class I protein binding, protein binding"
"19";"P06702";27;27;"P06702";"P06702";"S10A9_HUMAN";"Protein S100-A9";"S100A9";2;2;0,00341024859637723;NA;2;NA;2;NA;0,00714285832716738;"extracellular vesicular exosome, plasma membrane, nucleus, cytoskeleton, cytosol, extracellular space";0,00124843945068664;"Toll-like receptor 4 binding, antioxidant activity, zinc ion binding, RAGE receptor binding, protein binding, signal transducer activity, calcium ion binding, arachidonic acid binding, microtubule binding"
"20";"P06733";28;28;"P06733-1";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";8;11;0,00492678771872931;6;5;6;5;NA;NA;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space";0,00686641697877653;"transcription corepressor activity, sequence-specific DNA binding transcription factor activity, phosphopyruvate hydratase activity, magnesium ion binding, DNA binding, protein binding, poly(A) RNA binding"
"21";"P07195";31;31;"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";4;6;0,00419031743698567;2;4;2;4;0,00323098476955514;0,0056886236976842;"extracellular vesicular exosome, cytosol, mitochondrion";0,00374531835205993;"NAD binding, L-lactate dehydrogenase activity"
"22";"P07237";32;32;"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";1;2;0,000765292007848433;1;1;1;1;0,000849723553568044;0,000801462450095552;"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome";0,00124843945068664;"procollagen-proline 4-dioxygenase activity, protein disulfide isomerase activity, protein binding, poly(A) RNA binding"
"23";"P07355";33;33;"P07355-1,P07355-2";"P07355-1,P07355-2";"ANXA2_HUMAN";"Annexin A2";"ANXA2";2;2;0,000573404631249268;2;NA;2;NA;NA;NA;"extracellular vesicular exosome, cell surface, myelin sheath adaxonal region, melanosome, midbody, lipid particle, extracellular space, Schmidt-Lanterman incisure, protein complex, extrinsic component of plasma membrane, macropinosome, basement membrane, ruffle, perinuclear region of cytoplasm, sarcolemma, early endosome, cell cortex";0,00124843945068664;"calcium ion binding, protein binding, S100 protein binding, phospholipase A2 inhibitor activity, calcium-dependent protein binding, poly(A) RNA binding, calcium-dependent phospholipid binding, phosphatidylinositol-4,5-bisphosphate binding"
"24";"P07437";34;34;"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";2;3;0,00722373604705581;1;2;1;2;0,00486103113978115;0,0110038628283389;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen";0,00187265917602996;"structural molecule activity, protein binding, GTP binding, MHC class I protein binding, structural constituent of cytoskeleton, GTPase activity"
"25";"P07900";35;35;"P07900-1,P07900-2";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";4;7;0,00172608894119913;4;3;4;3;NA;NA;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane";0,00436953807740325;"MHC class II protein complex binding, nitric-oxide synthase regulator activity, protein homodimerization activity, TPR domain binding, ATP binding, ATPase activity, identical protein binding, poly(A) RNA binding, protein binding, nucleotide binding"
"26";"P07910";36;36;"P07910-1,P07910-2";"P07910-1,P07910-2";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";9;13;0,00412907550639792;8;4;9;4;NA;NA;"catalytic step 2 spliceosome, nucleoplasm, extracellular vesicular exosome";0,00811485642946317;"identical protein binding, mRNA 3'-UTR binding, RNA binding, poly(U) RNA binding, nucleotide binding, RNA polymerase II distal enhancer sequence-specific DNA binding, nucleosomal DNA binding, poly(A) RNA binding, protein binding, RNA polymerase II core promoter proximal region sequence-specific DNA binding"
"27";"P08107";37;37;"P08107-1,P08107-2";"P08107-1,P08107-2";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";0;0;NA;0;0;0;0;NA;NA;"blood microparticle, mitochondrion, ribonucleoprotein complex, perinuclear region of cytoplasm, endoplasmic reticulum, extracellular vesicular exosome, aggresome, cytosol, nuclear speck";0;"ATPase activity, coupled, enzyme binding, protein binding, poly(A) RNA binding, ATPase activity, virus receptor activity, heat shock protein binding, protein N-terminus binding, ubiquitin protein ligase binding, unfolded protein binding, ATP binding, double-stranded RNA binding, protein binding involved in protein folding"
"28";"P08195";38;38;"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";3;3;0,00023140972618274;NA;3;NA;3;NA;NA;"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane";0,00187265917602996;"poly(A) RNA binding, double-stranded RNA binding, calcium:sodium antiporter activity, catalytic activity, neutral amino acid transmembrane transporter activity, protein binding, cation binding"
"29";"P08238";39;39;"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";8;14;0,00747092654310841;6;7;6;8;0,00712205761789694;0,00892946980227001;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body";0,00873907615480649;"TPR domain binding, GTP binding, poly(A) RNA binding, dATP binding, CTP binding, MHC class II protein complex binding, ATP binding, nitric-oxide synthase regulator activity, UTP binding, double-stranded RNA binding, protein binding"
"30";"P08670";40;40;"P08670";"P08670";"VIME_HUMAN";"Vimentin";"VIM";2;2;0,000848406939667572;2;NA;2;NA;0,00190710487029031;NA;"cell projection, peroxisome, cytosol, extracellular vesicular exosome, intermediate filament, cell leading edge";0,00124843945068664;"protein C-terminus binding, protein binding, structural constituent of cytoskeleton, double-stranded RNA binding, scaffold protein binding, identical protein binding, glycoprotein binding, structural constituent of eye lens"
"31";"P08779";42;42;"P08779";"P08779";"K1C16_HUMAN";"Keratin, type I cytoskeletal 16";"KRT16";1;1;0,000770745085050124;1;0;1;0;0,00153134550428283;0;"intermediate filament, extracellular vesicular exosome";0,000624219725343321;"protein binding, structural constituent of cytoskeleton"
"32";"P08865";43;43;"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";1;3;0,00197678816942544;NA;1;NA;3;NA;0,00414043652184956;"cytosolic small ribosomal subunit, 90S preribosome, nucleus, plasma membrane, extracellular vesicular exosome";0,00187265917602996;"poly(A) RNA binding, ribosome binding, structural constituent of ribosome, protein binding, laminin receptor activity"
"33";"P09429";44;44;"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";4;7;0,00805481972911763;4;3;4;3;0,00917814357927052;0,00852159609729503;"nucleoplasm, condensed chromosome, cell surface, extracellular space";0,00436953807740325;"single-stranded DNA binding, repressing transcription factor binding, double-stranded DNA binding, chemoattractant activity, protein binding, poly(A) RNA binding, RAGE receptor binding, DNA binding, bending, transcription factor binding, sequence-specific DNA binding transcription factor activity, damaged DNA binding, cytokine activity"
"34";"P09651";45;45;"P09651-1,P09651-2,P09651-3";"P09651-1,P09651-2,P09651-3";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";4;8;0,00152011081128838;4;4;4;4;NA;NA;"extracellular vesicular exosome, intermediate filament cytoskeleton, nucleolus, catalytic step 2 spliceosome, cytoplasm, nucleoplasm";0,00499375780274657;"single-stranded RNA binding, single-stranded DNA binding, protein binding, poly(A) RNA binding, nucleotide binding, RNA binding"
"35";"P10809";49;49;"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";11;18;0,00610630900503147;9;9;9;9;0,00677999317087801;0,00639491504683571;"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol";0,0112359550561798;"double-stranded RNA binding, DNA replication origin binding, protein binding, ATPase activity, lipopolysaccharide binding, poly(A) RNA binding, ATP binding, chaperone binding, p53 binding, single-stranded DNA binding, unfolded protein binding"
"36";"P11021";50;50;"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";5;8;0,00260789652945805;4;4;4;4;0,002795420821668;0,00284590947766564;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus";0,00499375780274657;"calcium ion binding, ATPase activity, chaperone binding, glycoprotein binding, ATP binding, ribosome binding, enzyme binding, misfolded protein binding, protein domain specific binding, unfolded protein binding, ubiquitin protein ligase binding, protein binding"
"37";"P11142";51;51;"P11142-1";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";13;23;0,00909507476699847;12;10;13;10;NA;NA;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle";0,0143570536828964;"heat shock protein binding, MHC class II protein complex binding, enzyme binding, ATP binding, unfolded protein binding, ATPase activity, coupled, protein binding, ATPase activity, poly(A) RNA binding"
"38";"P13639";55;55;"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";5;8;0,00181243981345923;4;4;4;4;0,00201239890541989;0,00189810221281371;"polysome, ribonucleoprotein complex, extracellular vesicular exosome, cytosol";0,00499375780274657;"GTPase activity, translation activator activity, translation elongation factor activity, GTP binding, poly(A) RNA binding, protein kinase binding"
"39";"P13645";56;56;"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";29;141;0,0572209744030455;26;28;70;71;0,0624282260184755;0,060966169139626;"cytoplasm, extracellular space, keratin filament, intermediate filament, extracellular vesicular exosome";0,0880149812734082;"structural constituent of epidermis"
"40";"P13646";57;57;"P13646-1,P13646-3";"P13646-1,P13646-3";"K1C13_HUMAN";"Keratin, type I cytoskeletal 13";"KRT13";0;0;0;0;0;0;0;NA;NA;"extracellular vesicular exosome, keratin filament";0;"structural molecule activity"
"41";"P13647";58;58;"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";17;42;0,0205396812496841;17;14;25;17;0,0258248126198473;0,0186541596708086;"keratin filament, cytosol, plasma membrane, extracellular vesicular exosome, mitochondrion";0,0262172284644195;"structural constituent of cytoskeleton, scaffold protein binding, protein binding"
"42";"P14618";60;60;"P14618-1,P14618-2";"P14618-1,P14618-2";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";8;13;0,00237946724097507;5;8;5;8;NA;NA;"cytosol, mitochondrion, plasma membrane, nucleus, extracellular vesicular exosome, cilium";0,00811485642946317;"ATP binding, pyruvate kinase activity, protein binding, MHC class II protein complex binding, magnesium ion binding, poly(A) RNA binding, potassium ion binding"
"43";"P14625";61;61;"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";7;9;0,0024628239633158;5;4;5;4;0,00293213788211865;0,00236612741597325;"cytosol, melanosome, midbody, extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum membrane, endocytic vesicle lumen, endoplasmic reticulum lumen, plasma membrane";0,00561797752808989;"low-density lipoprotein particle receptor binding, RNA binding, calcium ion binding, ATP binding, protein binding, virion binding, protein phosphatase binding"
"44";"P14866";62;62;"P14866-1,P14866-2";"P14866-1,P14866-2";"HNRPL_HUMAN";"Heterogeneous nuclear ribonucleoprotein L";"HNRNPL";3;3;0,000495036086570888;NA;3;NA;3;NA;NA;"extracellular vesicular exosome, pronucleus, ribonucleoprotein complex, cytoplasm, nucleoplasm";0,00187265917602996;"RNA binding, transcription regulatory region DNA binding, nucleotide binding, poly(A) RNA binding, protein binding"
"45";"P14923";63;63;"P14923";"P14923";"PLAK_HUMAN";"Junction plakoglobin";"JUP";8;8;0,00208734679187653;NA;8;NA;8;NA;0,00437200455998433;"cytosol, gamma-catenin-TCF7L2 complex, cytoplasmic side of plasma membrane, intermediate filament, fascia adherens, apicolateral plasma membrane, actin cytoskeleton, lateral plasma membrane, extracellular vesicular exosome, zonula adherens, desmosome, protein-DNA complex, catenin complex, basolateral plasma membrane, Z disc";0,00499375780274657;"protein homodimerization activity, structural molecule activity, protein binding, protein phosphatase binding, protein kinase binding, alpha-catenin binding, cadherin binding, structural constituent of cell wall, transcription coactivator activity"
"46";"P15880";64;64;"P15880";"P15880";"RS2_HUMAN";"40S ribosomal protein S2";"RPS2";2;2;0,00132685440268602;2;NA;2;NA;0,00294648167380592;NA;"cytosolic small ribosomal subunit, extracellular vesicular exosome, nucleoplasm";0,00124843945068664;"protein binding, mRNA binding, structural constituent of ribosome, enzyme binding, fibroblast growth factor binding, poly(A) RNA binding"
"47";"P15924";65;65;"P15924-1";"P15924-1";"DESP_HUMAN";"Desmoplakin";"DSP";14;18;0,00121870952973982;11;7;11;7;NA;NA;"desmosome, plasma membrane, fascia adherens, extracellular vesicular exosome, mitochondrion, cornified envelope, intercalated disc, intermediate filament, basolateral plasma membrane";0,0112359550561798;"structural molecule activity, protein binding, bridging, protein binding, scaffold protein binding, protein kinase C binding, poly(A) RNA binding, structural constituent of cytoskeleton"
"48";"P16949";68;68;"P16949-1,P16949-2";"P16949-1,P16949-2";"STMN1_HUMAN";"Stathmin";"STMN1";3;3;0,00195688761738425;3;NA;3;NA;NA;NA;"membrane, microtubule, intracellular, cytosol, extracellular vesicular exosome";0,00187265917602996;"tubulin binding, signal transducer activity"
"49";"P17066";69;69;"P17066";"P17066";"HSP76_HUMAN";"Heat shock 70 kDa protein 6";"HSPA6";0;0;NA;0;0;0;0;NA;0;"blood microparticle, extracellular vesicular exosome";0;"heat shock protein binding, enzyme binding, ATPase activity, coupled, ATP binding, unfolded protein binding"
"50";"P17844";70;70;"P17844";"P17844";"DDX5_HUMAN";"Probable ATP-dependent RNA helicase DDX5";"DDX5";1;1;0,000712319841181399;NA;1;NA;1;NA;0,0014919732580769;"catalytic step 2 spliceosome, extracellular vesicular exosome, nucleolus";0,000624219725343321;"pre-mRNA binding, androgen receptor binding, ATP-dependent RNA helicase activity, poly(A) RNA binding, ATP binding, transcription coactivator activity, RNA helicase activity, estrogen receptor binding, protein binding"
"51";"P19012";72;72;"P19012";"P19012";"K1C15_HUMAN";"Keratin, type I cytoskeletal 15";"KRT15";0;0;0;0;0;0;0;0;0;"extracellular vesicular exosome, intermediate filament";0;"structural constituent of cytoskeleton, scaffold protein binding, protein binding"
"52";"P19338";74;74;"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";10;18;0,00492804938011695;8;10;8;10;0,00486376974887399;0,00573440738941606;"ribonucleoprotein complex, nucleoplasm, extracellular vesicular exosome, nucleolus, cell cortex";0,0112359550561798;"nucleotide binding, protein C-terminus binding, poly(A) RNA binding, RNA binding, telomeric DNA binding, identical protein binding, protein binding"
"53";"P20231";75;75;"P20231,Q15661-1,Q15661-2";"P20231,Q15661-1,Q15661-2";"TRYB1_HUMAN, TRYB2_HUMAN";"Tryptase alpha/beta-1, Tryptase beta-2";"TPSAB1, TPSB2";2;3;0,000706851527249098;2;1;2;1;0,00313934229245503;0,00148051972599469;"extracellular region";0,00187265917602996;"serine-type endopeptidase activity, serine-type peptidase activity"
"54";"P20645";76;76;"P20645";"P20645";"MPRD_HUMAN";"Cation-dependent mannose-6-phosphate receptor";"M6PR";1;1;0,000701747906113725;1;NA;1;NA;0,00155833778055078;NA;"lysosomal membrane, endosome, late endosome, integral component of plasma membrane";0,000624219725343321;"transmembrane signaling receptor activity, mannose binding, mannose transmembrane transporter activity"
"55";"P21796";79;79;"P21796";"P21796";"VDAC1_HUMAN";"Voltage-dependent anion-selective channel protein 1";"VDAC1";3;6;0,00412121915180569;3;3;3;3;0,00457589645101661;0,00431600273479018;"mitochondrial outer membrane, mitochondrial inner membrane, pore complex, extracellular vesicular exosome, mitochondrial nucleoid, plasma membrane";0,00374531835205993;"voltage-gated anion channel activity, protein binding, porin activity"
"56";"P22314";80;80;"P22314";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";6;8;0,00146982359163328;4;4;4;4;0,00163198323331783;0,00153929272078843;"extracellular vesicular exosome";0,00499375780274657;"ubiquitin activating enzyme activity, ATP binding, poly(A) RNA binding, protein binding, ubiquitin-protein transferase activity"
"57";"P23396";84;84;"P23396";"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";6;9;0,00719941370346303;3;5;3;6;0,00532913043472304;0,010052911719717;"ruffle membrane, nucleus, extracellular vesicular exosome, cytosolic small ribosomal subunit";0,00561797752808989;"structural constituent of ribosome, NF-kappaB binding, protein kinase A binding, endonuclease activity, iron-sulfur cluster binding, damaged DNA binding, poly(A) RNA binding, protein kinase binding, enzyme binding, mRNA binding, DNA-(apurinic or apyrimidinic site) lyase activity, protein binding"
"58";"P23528";86;86;"P23528";"P23528";"COF1_HUMAN";"Cofilin-1";"CFL1";2;4;0,00468395590345788;2;2;2;2;0,00520071765316345;0,00490533644154868;"ruffle membrane, extracellular space, cytoplasm, extracellular vesicular exosome, nucleus, cortical actin cytoskeleton, lamellipodium membrane, nuclear matrix";0,00249687890137328;"protein binding"
"59";"P25705";89;89;"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";9;15;0,00527262667251813;7;8;7;8;0,00546404512927299;0,00588995189364977;"mitochondrial matrix, plasma membrane, mitochondrial proton-transporting ATP synthase complex, proton-transporting ATP synthase complex, catalytic core F(1), extracellular vesicular exosome";0,00936329588014981;"poly(A) RNA binding, protein binding, ATP binding, proton-transporting ATPase activity, rotational mechanism, MHC class I protein binding, transmembrane transporter activity, proton-transporting ATP synthase activity, rotational mechanism"
"60";"P26038";90;90;"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";11;18;0,00606397757345413;9;9;9;9;0,00673299148511802;0,00635058288013321;"apical plasma membrane, apical part of cell, basolateral plasma membrane, filopodium, microvillus membrane, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleolus, uropod, extrinsic component of membrane, plasma membrane, microvillus, blood microparticle";0,0112359550561798;"protein kinase binding, protein binding, double-stranded RNA binding, structural constituent of cytoskeleton, receptor binding, cell adhesion molecule binding"
