"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5832.1.id.csv";"peptide.count.P5832.2.id.csv";"spectra.count.P5832.1.id.csv";"spectra.count.P5832.2.id.csv";"dNSAF.P5832.1.id.csv";"dNSAF.P5832.2.id.csv";"Go.Cc"
"29";"O15162";"O15162";"O15162";"PLS1_HUMAN";"Phospholipid scramblase 1";"PLSCR1";1;1;0,000167115566081801;NA;1;NA;1;NA;0,000430947514963749;"integral component of plasma membrane, Golgi apparatus, extracellular matrix, membrane raft, plasma membrane, nucleolus, cytosol, extracellular vesicular exosome, nucleus"
"30";"O15173";"O15173";"O15173";"PGRC2_HUMAN";"Membrane-associated progesterone receptor component 2";"PGRMC2";1;1;0,000238308296026963;1;NA;1;NA;0,000561009025014489;NA;"integral component of membrane"
"31";"O15269";"O15269-1";"O15269-1";"SPTC1_HUMAN";"Serine palmitoyltransferase 1";"SPTLC1";1;1;0,000112352537027511;1;NA;1;NA;NA;NA;"integral component of membrane, endoplasmic reticulum membrane, serine C-palmitoyltransferase complex, SPOTS complex"
"32";"O15270";"O15270";"O15270";"SPTC2_HUMAN";"Serine palmitoyltransferase 2";"SPTLC2";3;4;0,000378240213622867;2;2;2;2;0,000445213567894061;0,000487691493802392;"endoplasmic reticulum membrane, serine C-palmitoyltransferase complex, mitochondrion, integral component of membrane"
"33";"O15355";"O15355";"O15355";"PPM1G_HUMAN";"Protein phosphatase 1G";"PPM1G";7;14;0,00136263461574392;5;7;6;8;0,00137478035800254;0,00200793127851241;"nucleus, cytoplasm"
"34";"O15371";"O15371";"O15371";"EIF3D_HUMAN";"Eukaryotic translation initiation factor 3 subunit D";"EIF3D";5;6;0,000581854927160725;4;2;4;2;0,000913175274293658;0,000500150765541869;"eukaryotic translation initiation factor 3 complex, cytosol, eukaryotic 43S preinitiation complex, eukaryotic 48S preinitiation complex"
"35";"O15372";"O15372";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";5;6;0,00090584232978431;3;3;3;3;0,00106623590265538;0,0011679657081688;"eukaryotic 43S preinitiation complex, cytosol, eukaryotic translation initiation factor 3 complex, extracellular vesicular exosome, eukaryotic 48S preinitiation complex"
"36";"O15382";"O15382-1,O15382-2";"O15382-1,O15382-2";"BCAT2_HUMAN";"Branched-chain-amino-acid aminotransferase, mitochondrial";"BCAT2";1;1;6,77841199158327e-05;1;NA;1;NA;NA;NA;"mitochondrial matrix, mitochondrion"
"37";"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";5;13;0,00148571129071434;4;5;6;7;0,00161425822681589;0,00206298745872969;"plasma membrane, nuclear membrane, membrane, actin cytoskeleton, integral component of plasma membrane"
"38";"O15511";"O15511-1,O15511-2";"O15511-1,O15511-2";"ARPC5_HUMAN";"Actin-related protein 2/3 complex subunit 5";"ARPC5";1;1;0,000175969370907327;NA;1;NA;1;NA;NA;"cell projection, extracellular vesicular exosome, cytoplasm, cytosol, actin cytoskeleton, Arp2/3 protein complex"
"39";"O43143";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";2;2;0,000133692452865441;2;NA;2;NA;0,000314729591391776;NA;"U12-type spliceosomal complex, nucleolus, nucleus"
"40";"O43169";"O43169";"O43169";"CYB5B_HUMAN";"Cytochrome b5 type B";"CYB5B";2;2;0,000727982876904285;2;NA;2;NA;0,00171376729559221;NA;"integral component of membrane, mitochondrial outer membrane"
"41";"O43175";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";6;8;0,000797639775069611;4;4;4;4;0,000938874390831003;0,00102845260606733;"extracellular vesicular exosome, cytosol"
"42";"O43196";"O43196-1,O43196-2,O43196-3,O43196-4";"O43196-1,O43196-2,O43196-3,O43196-4";"MSH5_HUMAN";"MutS protein homolog 5";"MSH5";1;2;3,18601618789046e-05;1;1;1;1;NA;NA;"synaptonemal complex"
"43";"O43242";"O43242";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";1;2;0,000199036516906415;1;1;1;1;0,000234279049771968;0,000256631666214367;"cytoplasm, extracellular vesicular exosome, proteasome accessory complex, proteasome complex, nucleus, nucleoplasm, cytosol"
"44";"O43290";"O43290-1";"O43290-1";"SNUT1_HUMAN";"U4/U6.U5 tri-snRNP-associated protein 1";"SART1";1;1;6,64284375175161e-05;1;NA;1;NA;NA;NA;"Cajal body, nucleus, Golgi apparatus, cytoplasm, cytosol, catalytic step 2 spliceosome, nucleoplasm"
"45";"O43390";"O43390-1";"O43390-1";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";12;19;0,00186745994731937;10;7;11;8;NA;NA;"catalytic step 2 spliceosome, nucleoplasm, ribonucleoprotein complex, spliceosomal complex, nucleus, cytoplasm"
"46";"O43396";"O43396";"O43396";"TXNL1_HUMAN";"Thioredoxin-like protein 1";"TXNL1";1;2;0,000367769896290746;1;1;1;1;0,000432889316879692;0,000474191383247308;"cytoplasm, proteasome complex, nucleus"
"47";"O43670";"O43670-1,O43670-2";"O43670-1,O43670-2";"ZN207_HUMAN";"Zinc finger protein 207";"ZNF207";2;3;0,000166765951926819;2;1;2;1;NA;NA;"nucleus"
"48";"O43681";"O43681";"O43681";"ASNA_HUMAN";"ATPase ASNA1";"ASNA1";1;1;0,000152709051764405;NA;1;NA;1;NA;0,000393796867122046;"endoplasmic reticulum, extracellular vesicular exosome, cytoplasm, nucleolus, nucleus"
"49";"O43684";"O43684-1,O43684-2";"O43684-1,O43684-2";"BUB3_HUMAN";"Mitotic checkpoint protein BUB3";"BUB3";2;4;0,00032404115862203;2;2;2;2;NA;NA;"kinetochore, nucleus, condensed chromosome kinetochore, cytosol"
"50";"O43707";"O43707";"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";5;6;0,000568761594551729;3;3;3;3;0,000617972070913326;0,000789755078190975;"cytoplasm, neuron projection, extracellular region, ribonucleoprotein complex, extracellular vesicular exosome, perinuclear region of cytoplasm, stress fiber, Z disc, cell-cell junction, cortical cytoskeleton, platelet alpha granule lumen, protein complex, pseudopodium, nucleus"
"51";"O43776";"O43776";"O43776";"SYNC_HUMAN";"Asparagine--tRNA ligase, cytoplasmic";"NARS";2;2;0,000193951642386908;1;1;1;1;0,000228293818573414;0,000250075382770934;"cytoplasm, mitochondrion, cytosol, extracellular vesicular exosome"
"52";"O43809";"O43809";"O43809";"CPSF5_HUMAN";"Cleavage and polyadenylation specificity factor subunit 5";"NUDT21";2;2;0,00046821806179747;NA;2;NA;2;NA;0,00120741242077949;"nucleoplasm, nucleus, centrosome, mRNA cleavage factor complex, paraspeckles"
"53";"O60488";"O60488-1,O60488-2";"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";6;9;0,000336346519076031;5;4;5;4;NA;NA;"endoplasmic reticulum membrane, lipid particle, extracellular vesicular exosome, cytoplasm, neuronal cell body, mitochondrial outer membrane, integral component of membrane, peroxisomal membrane"
"54";"O60506";"O60506-1,O60506-2";"O60506-1,O60506-2";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";12;22;0,0010985151316368;12;9;13;9;NA;NA;"nucleoplasm, endoplasmic reticulum, GAIT complex, CRD-mediated mRNA stability complex, nucleus, histone pre-mRNA 3'end processing complex, catalytic step 2 spliceosome, ribonucleoprotein complex"
"55";"O60812";"O60812";"O60812";"HNRCL_HUMAN";"Heterogeneous nuclear ribonucleoprotein C-like 1";"HNRNPCL1";1;2;0,000621855680319994;1;1;1;1;0,000693841793309302;0,000857482598033671;"nucleus, ribonucleoprotein complex"
"56";"O60814";"O60814";"O60814";"H2B1K_HUMAN";"Histone H2B type 1-K";"HIST1H2BK";0;0;NA;0;0;0;0;NA;NA;"nucleosome, nucleoplasm"
"57";"O60832";"O60832-1,O60832-2";"O60832-1,O60832-2";"DKC1_HUMAN";"H/ACA ribonucleoprotein complex subunit 4";"DKC1";4;7;0,000361866974803589;4;3;4;3;NA;NA;"nucleus, telomerase holoenzyme complex, nucleoplasm, cytoplasm, nucleolus, Cajal body"
"58";"O60884";"O60884";"O60884";"DNJA2_HUMAN";"DnaJ homolog subfamily A member 2";"DNAJA2";4;5;0,000644936286577826;4;1;4;1;0,00121461177260419;0,000332624538248719;"membrane, extracellular vesicular exosome"
"59";"O75323";"O75323-1";"O75323-1";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";2;3;0,000557441433713422;1;2;1;2;NA;NA;"integral component of plasma membrane, mitochondrion, membrane"
"60";"O75348";"O75348";"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";1;1;0,000450362288254346;1;NA;1;NA;0,00106021197100196;NA;"lysosomal membrane, cytosol, vacuolar proton-transporting V-type ATPase complex, extracellular vesicular exosome, plasma membrane"
"61";"O75367";"O75367-1,O75367-2,O75367-3";"O75367-1,O75367-2,O75367-3";"H2AY_HUMAN";"Core histone macro-H2A.1";"H2AFY";5;8;0,000380951613003676;3;4;3;5;NA;NA;"sex chromatin, condensed chromosome, nucleosome, Barr body"
"62";"O75390";"O75390";"O75390";"CISY_HUMAN";"Citrate synthase, mitochondrial";"CS";10;18;0,00205272424946831;9;9;9;9;0,00241619123005167;0,00264672057473444;"extracellular vesicular exosome, mitochondrion, mitochondrial matrix"
"63";"O75396";"O75396";"O75396";"SC22B_HUMAN";"Vesicle-trafficking protein SEC22b";"SEC22B";2;3;0,000741526744381575;2;1;2;1;0,00116376755886727;0,00063740144073708;"melanosome, endoplasmic reticulum membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, endoplasmic reticulum-Golgi intermediate compartment, Golgi apparatus, integral component of membrane"
"64";"O75400";"O75400-1,O75400-2,O75400-3";"O75400-1,O75400-2,O75400-3";"PR40A_HUMAN";"Pre-mRNA-processing factor 40 homolog A";"PRPF40A";1;1;1,85101880926551e-05;1;NA;1;NA;NA;NA;"nuclear matrix, nucleus, nuclear speck, cytoplasm"
"65";"O75475";"O75475-1,O75475-2,O75475-3";"O75475-1,O75475-2,O75475-3";"PSIP1_HUMAN";"PC4 and SFRS1-interacting protein";"PSIP1";3;4;0,000133692452865441;2;2;2;2;NA;NA;"nucleoplasm, cytosol, nuclear periphery, nucleus, transcriptionally active chromatin, nuclear heterochromatin"
"66";"O75494";"O75494-1,O75494-2,O75494-3,O75494-4,O75494-5";"O75494-1,O75494-2,O75494-3,O75494-4,O75494-5";"SRS10_HUMAN";"Serine/arginine-rich splicing factor 10";"SRSF10";1;2;8,11339694870425e-05;1;1;1;1;NA;NA;"cytoplasm, nuclear speck, nucleoplasm, nucleus"
"67";"O75531";"O75531";"O75531";"BAF_HUMAN";"Barrier-to-autointegration factor";"BANF1";3;5;0,00298554775359623;2;3;2;3;0,00281134859726362;0,00461936999185861;"chromosome, cytosol, nucleoplasm"
"68";"O75533";"O75533";"O75533";"SF3B1_HUMAN";"Splicing factor 3B subunit 1";"SF3B1";10;12;0,000489043711785394;8;4;8;4;0,000767515414590375;0,000420372115823534;"intracellular membrane-bounded organelle, nuclear speck, spliceosomal complex, nucleus, nucleoplasm, catalytic step 2 spliceosome, U12-type spliceosomal complex"
"69";"O75534";"O75534-1,O75534-2";"O75534-1,O75534-2";"CSDE1_HUMAN";"Cold shock domain-containing protein E1";"CSDE1";1;1;3,3297462414795e-05;1;NA;1;NA;NA;NA;"cytoplasm, plasma membrane, Golgi apparatus, CRD-mediated mRNA stability complex"
"70";"O75643";"O75643-1";"O75643-1";"U520_HUMAN";"U5 small nuclear ribonucleoprotein 200 kDa helicase";"SNRNP200";4;4;9,95182584532076e-05;2;2;2;2;NA;NA;"spliceosomal complex, nucleoplasm, catalytic step 2 spliceosome, U5 snRNP, nucleus"
"71";"O75821";"O75821";"O75821";"EIF3G_HUMAN";"Eukaryotic translation initiation factor 3 subunit G";"EIF3G";2;3;0,00049821328138137;1;2;1;2;0,000390953164306972;0,000856508185990451;"eukaryotic translation initiation factor 3 complex, eukaryotic 43S preinitiation complex, perinuclear region of cytoplasm, nucleus, cytosol, eukaryotic 48S preinitiation complex"
"72";"O75822";"O75822";"O75822";"EIF3J_HUMAN";"Eukaryotic translation initiation factor 3 subunit J";"EIF3J";3;4;0,000823918604868416;2;2;2;2;0,000969806299056055;0,0010623357345618;"eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, cytosol, eukaryotic translation initiation factor 3 complex"
"73";"O75947";"O75947-1,O75947-2";"O75947-1,O75947-2";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";4;4;0,00066015838526724;NA;4;NA;4;NA;NA;"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o), mitochondrial proton-transporting ATP synthase complex, mitochondrion, mitochondrial inner membrane"
"74";"O75964";"O75964";"O75964";"ATP5L_HUMAN";"ATP synthase subunit g, mitochondrial";"ATP5L";4;5;0,0025797451463113;2;3;2;3;0,00242922354520837;0,00399149445898462;"mitochondrion, mitochondrial proton-transporting ATP synthase complex, mitochondrial inner membrane, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"75";"O76021";"O76021";"O76021";"RL1D1_HUMAN";"Ribosomal L1 domain-containing protein 1";"RSL1D1";4;6;0,000650727551191994;4;2;4;2;0,00102126540880189;0,000559352284728458;"nucleolus"
"76";"O76094";"O76094";"O76094";"SRP72_HUMAN";"Signal recognition particle 72 kDa protein";"SRP72";1;2;0,000158398658760098;1;1;1;1;0,000186445622322252;0,000204234440772686;"signal recognition particle, endoplasmic reticulum targeting, cytosol, endoplasmic reticulum"
"77";"O94776";"O94776";"O94776";"MTA2_HUMAN";"Metastasis-associated protein MTA2";"MTA2";2;2;0,000159110029982074;NA;2;NA;2;NA;0,000410303322630156;"nucleus, histone deacetylase complex, transcription factor complex, NuRD complex"
"78";"O95202";"O95202-1";"O95202-1";"LETM1_HUMAN";"LETM1 and EF-hand domain-containing protein 1, mitochondrial";"LETM1";1;2;0,000143823410051456;1;1;1;1;NA;NA;"mitochondrion, mitochondrial inner membrane, integral component of membrane"
"79";"O95297";"O95297-1,O95297-2,O95297-3";"O95297-1,O95297-2,O95297-3";"MPZL1_HUMAN";"Myelin protein zero-like protein 1";"MPZL1";2;5;0,000329261152503177;1;2;2;3;NA;NA;"integral component of plasma membrane"
"80";"O95373";"O95373";"O95373";"IPO7_HUMAN";"Importin-7";"IPO7";1;2;0,00010239450869752;1;NA;2;NA;0,000241050120574626;NA;"cytoplasm, nuclear pore"
"81";"O95831";"O95831-1,O95831-3";"O95831-1,O95831-3";"AIFM1_HUMAN";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";17;34;0,00147377936417328;15;13;16;18;NA;NA;"perinuclear region of cytoplasm, nucleus, mitochondrial intermembrane space, cytosol, mitochondrion, mitochondrial inner membrane"
"82";"O95864";"O95864-1,O95864-3";"O95864-1,O95864-3";"FADS2_HUMAN";"Fatty acid desaturase 2";"FADS2";1;1;5,98454392049694e-05;NA;1;NA;1;NA;NA;"integral component of plasma membrane, membrane, endoplasmic reticulum membrane"
"83";"P00338";"P00338-1,P00338-3";"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";8;15;0,0012965550455226;8;6;9;6;NA;NA;"cilium, extracellular vesicular exosome, mitochondrion, cytosol"
"84";"P00367";"P00367";"P00367";"DHE3_HUMAN";"Glutamate dehydrogenase 1, mitochondrial";"GLUD1";10;14;0,00133333064551287;8;5;9;5;0,00201782278351986;0,00122796872543434;"cytoplasm, mitochondrion, mitochondrial matrix"
"85";"P00387";"P00387-1,P00387-2,P00387-3";"P00387-1,P00387-2,P00387-3";"NB5R3_HUMAN";"NADH-cytochrome b5 reductase 3";"CYB5R3";3;3;0,000176553986757518;NA;3;NA;3;NA;NA;"cytoplasm, membrane, mitochondrial outer membrane, endoplasmic reticulum membrane, lipid particle, hemoglobin complex, mitochondrial inner membrane, mitochondrion, endoplasmic reticulum"
"86";"P00505";"P00505";"P00505";"AATM_HUMAN";"Aspartate aminotransferase, mitochondrial";"GOT2";14;28;0,00346045814044735;13;11;15;13;0,00436412834575225;0,00414310936479102;"mitochondrial inner membrane, plasma membrane, extracellular vesicular exosome, mitochondrial matrix, mitochondrion"
"87";"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";17;31;0,00395066007298417;17;12;19;12;0,00570022839085466;0,00394363481319344;"extracellular vesicular exosome, cytosol"
"88";"P00813";"P00813";"P00813";"ADA_HUMAN";"Adenosine deaminase";"ADA";1;2;0,000292797520738363;1;1;1;1;0,000344641907929011;0,000377524269307086;"cell surface, cell junction, external side of plasma membrane, dendrite cytoplasm, lysosome, extracellular space, cytoplasmic membrane-bounded vesicle lumen, cytoplasm, neuronal cell body, cytosol, plasma membrane, membrane"
"89";"P00846";"P00846";"P00846";"ATP6_HUMAN";"ATP synthase subunit a";"MT-ATP6";2;4;0,000940579646265714;2;2;2;2;0,00110712400511709;0,0012127549536148;"mitochondrial inner membrane, mitochondrial proton-transporting ATP synthase complex, integral component of membrane, proton-transporting ATP synthase complex, coupling factor F(o)"
"90";"P01889";"P01889";"P01889";"1B07_HUMAN";"HLA class I histocompatibility antigen, B-7 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"early endosome membrane, plasma membrane, Golgi membrane, integral component of plasma membrane, phagocytic vesicle membrane, cell surface, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, extracellular vesicular exosome, MHC class I protein complex"
"91";"P01892";"P01892";"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";1;4;0,0104829534274217;1;1;2;2;0,0119963710691454;0,0138918587974342;"integral component of lumenal side of endoplasmic reticulum membrane, cell surface, plasma membrane, early endosome membrane, phagocytic vesicle membrane, MHC class I protein complex, ER to Golgi transport vesicle membrane, Golgi membrane"
"92";"P01903";"P01903";"P01903";"DRA_HUMAN";"HLA class II histocompatibility antigen, DR alpha chain";"HLA-DRA";7;15;0,00313835137878029;6;6;7;8;0,00344777593719535;0,00431626172467629;"integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, integral component of plasma membrane, MHC class II protein complex, lysosome, Golgi membrane, late endosome membrane, extracellular vesicular exosome, clathrin-coated endocytic vesicle membrane, trans-Golgi network membrane, transport vesicle membrane, lysosomal membrane, plasma membrane, endocytic vesicle membrane"
"93";"P02042";"P02042,P68871";"P02042,P68871";"HBB_HUMAN, HBD_HUMAN";"Hemoglobin subunit beta, Hemoglobin subunit delta";"HBB, HBD";2;5;0,000903788265544436;2;2;3;2;0,00127658176100236;0,000932253807880762;"blood microparticle, cytosol, hemoglobin complex"
