"";"X.1";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5832.1.id.csv";"peptide.count.P5832.2.id.csv";"spectra.count.P5832.1.id.csv";"spectra.count.P5832.2.id.csv";"dNSAF.P5832.1.id.csv";"dNSAF.P5832.2.id.csv";"Go.Cc";"norm.sc"
"69";69;"O75534";"O75534-1,O75534-2";"O75534-1,O75534-2";"CSDE1_HUMAN";"Cold shock domain-containing protein E1";"CSDE1";1;1;3,3297462414795e-05;1;NA;1;NA;NA;NA;"cytoplasm, plasma membrane, Golgi apparatus, CRD-mediated mRNA stability complex";0,000152021891152326
"79";79;"O95297";"O95297-1,O95297-2,O95297-3";"O95297-1,O95297-2,O95297-3";"MPZL1_HUMAN";"Myelin protein zero-like protein 1";"MPZL1";2;5;0,000329261152503177;1;2;2;3;NA;NA;"integral component of plasma membrane";0,00076010945576163
"82";82;"O95864";"O95864-1,O95864-3";"O95864-1,O95864-3";"FADS2_HUMAN";"Fatty acid desaturase 2";"FADS2";1;1;5,98454392049694e-05;NA;1;NA;1;NA;NA;"integral component of plasma membrane, membrane, endoplasmic reticulum membrane";0,000152021891152326
"86";86;"P00505";"P00505";"P00505";"AATM_HUMAN";"Aspartate aminotransferase, mitochondrial";"GOT2";14;28;0,00346045814044735;13;11;15;13;0,00436412834575225;0,00414310936479102;"mitochondrial inner membrane, plasma membrane, extracellular vesicular exosome, mitochondrial matrix, mitochondrion";0,00425661295226513
"88";88;"P00813";"P00813";"P00813";"ADA_HUMAN";"Adenosine deaminase";"ADA";1;2;0,000292797520738363;1;1;1;1;0,000344641907929011;0,000377524269307086;"cell surface, cell junction, external side of plasma membrane, dendrite cytoplasm, lysosome, extracellular space, cytoplasmic membrane-bounded vesicle lumen, cytoplasm, neuronal cell body, cytosol, plasma membrane, membrane";0,000304043782304652
"90";90;"P01889";"P01889";"P01889";"1B07_HUMAN";"HLA class I histocompatibility antigen, B-7 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"early endosome membrane, plasma membrane, Golgi membrane, integral component of plasma membrane, phagocytic vesicle membrane, cell surface, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, extracellular vesicular exosome, MHC class I protein complex";0
"91";91;"P01892";"P01892";"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";1;4;0,0104829534274217;1;1;2;2;0,0119963710691454;0,0138918587974342;"integral component of lumenal side of endoplasmic reticulum membrane, cell surface, plasma membrane, early endosome membrane, phagocytic vesicle membrane, MHC class I protein complex, ER to Golgi transport vesicle membrane, Golgi membrane";0,000608087564609304
"92";92;"P01903";"P01903";"P01903";"DRA_HUMAN";"HLA class II histocompatibility antigen, DR alpha chain";"HLA-DRA";7;15;0,00313835137878029;6;6;7;8;0,00344777593719535;0,00431626172467629;"integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, integral component of plasma membrane, MHC class II protein complex, lysosome, Golgi membrane, late endosome membrane, extracellular vesicular exosome, clathrin-coated endocytic vesicle membrane, trans-Golgi network membrane, transport vesicle membrane, lysosomal membrane, plasma membrane, endocytic vesicle membrane";0,00228032836728489
"96";96;"P02647";"P02647";"P02647";"APOA1_HUMAN";"Apolipoprotein A-I";"APOA1";1;3;0,000597109550719245;1;1;2;1;0,000937116199087874;0,000513263332428734;"cytoplasmic vesicle, spherical high-density lipoprotein particle, cytosol, early endosome, secretory granule lumen, blood microparticle, endocytic vesicle, plasma membrane, extracellular region, high-density lipoprotein particle, nucleus, endoplasmic reticulum lumen, very-low-density lipoprotein particle, extracellular vesicular exosome, extracellular space, endocytic vesicle lumen";0,000456065673456978
"99";99;"P02786";"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";23;41;0,00286691151391385;17;18;21;20;0,00345684903176691;0,0036063502568019;"coated pit, extracellular region, cell surface, endosome, blood microparticle, external side of plasma membrane, perinuclear region of cytoplasm, cytoplasmic membrane-bounded vesicle, extracellular space, extracellular vesicular exosome, melanosome, integral component of plasma membrane, intracellular membrane-bounded organelle, membrane, plasma membrane";0,00623289753724536
"102";102;"P03989";"P03989";"P03989";"1B27_HUMAN";"HLA class I histocompatibility antigen, B-27 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"early endosome membrane, cell surface, integral component of lumenal side of endoplasmic reticulum membrane, plasma membrane, phagocytic vesicle membrane, extracellular vesicular exosome, ER to Golgi transport vesicle membrane, MHC class I protein complex, membrane, Golgi membrane";0
"103";103;"P04040";"P04040";"P04040";"CATA_HUMAN";"Catalase";"CAT";19;32;0,00322688425132526;16;12;18;14;0,00427303648274793;0,00364056610364062;"lysosome, Golgi apparatus, peroxisomal membrane, endoplasmic reticulum, intracellular membrane-bounded organelle, plasma membrane, mitochondrial intermembrane space, peroxisome, peroxisomal matrix, cytosol";0,00486470051687443
"106";106;"P04222";"P04222";"P04222";"1C03_HUMAN";"HLA class I histocompatibility antigen, Cw-3 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"phagocytic vesicle membrane, MHC class I protein complex, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, plasma membrane, cell surface, ER to Golgi transport vesicle membrane, Golgi membrane";0
"107";107;"P04229";"P04229,Q29974";"P04229,Q29974";"2B11_HUMAN, 2B1G_HUMAN";"HLA class II histocompatibility antigen, DRB1-1 beta chain, HLA class II histocompatibility antigen, DRB1-16 beta chain";"HLA-DRB1";0;0;0;0;0;0;0;0;NA;"extracellular vesicular exosome, trans-Golgi network membrane, ER to Golgi transport vesicle membrane, external side of plasma membrane, lysosomal membrane, transport vesicle membrane, Golgi membrane, plasma membrane, clathrin-coated endocytic vesicle membrane, endocytic vesicle membrane, late endosome membrane, MHC class II protein complex, integral component of lumenal side of endoplasmic reticulum membrane";0
"108";108;"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";13;26;0,00269557566335703;12;12;12;14;0,00280634512209649;0,00387660739864973;"extracellular vesicular exosome, cytoskeleton, plasma membrane, blood microparticle, membrane, extracellular space, keratin filament";0,00395256916996047
"110";110;"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";17;52;0,00824902388277214;16;16;28;24;0,0104565383647477;0,0098178848782189;"perinuclear region of cytoplasm, nucleus, extracellular vesicular exosome, cytosol, microtubule cytoskeleton, plasma membrane, ribonucleoprotein complex, lipid particle, cytoplasm, GAIT complex";0,00790513833992095
"111";111;"P04439";"P04439";"P04439";"1A03_HUMAN";"HLA class I histocompatibility antigen, A-3 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;NA;"early endosome membrane, ER to Golgi transport vesicle membrane, phagocytic vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, integral component of plasma membrane, Golgi membrane, MHC class I protein complex, plasma membrane";0
"112";112;"P04792";"P04792";"P04792";"HSPB1_HUMAN";"Heat shock protein beta-1";"HSPB1";4;7;0,00181463048828337;2;4;2;5;0,0012205367080803;0,00334247096971883;"spindle, proteasome complex, plasma membrane, cytoskeleton, cytoplasm, extracellular space, extracellular vesicular exosome, Z disc, nucleus, cytosol";0,00106415323806628
"115";115;"P04899";"P04899-1,P04899-2,P04899-3";"P04899-1,P04899-2,P04899-3";"GNAI2_HUMAN";"Guanine nucleotide-binding protein G(i) subunit alpha-2";"GNAI2";2;3;0,000278010362246345;0;2;0;3;NA;NA;"heterotrimeric G-protein complex, extrinsic component of cytoplasmic side of plasma membrane, plasma membrane, cytoplasm, centrosome, extracellular vesicular exosome, nucleus, membrane raft, midbody, cytosol";0,000456065673456978
"116";116;"P05023";"P05023-1";"P05023-1";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";22;44;0,00228570967802206;19;18;24;20;NA;NA;"basolateral plasma membrane, integral component of membrane, endosome, Golgi apparatus, endoplasmic reticulum, caveola, melanosome, T-tubule, sodium:potassium-exchanging ATPase complex, extracellular vesicular exosome, plasma membrane, membrane";0,00668896321070234
"117";117;"P05026";"P05026-1,P05026-2";"P05026-1,P05026-2";"AT1B1_HUMAN";"Sodium/potassium-transporting ATPase subunit beta-1";"ATP1B1";3;3;0,00026308292086145;3;NA;3;NA;NA;NA;"caveola, basolateral plasma membrane, apical plasma membrane, plasma membrane, extracellular vesicular exosome, sodium:potassium-exchanging ATPase complex";0,000456065673456978
"118";118;"P05067";"P05067-1,P05067-7,P05067-8,P05067-9";"P05067-1,P05067-7,P05067-8,P05067-9";"A4_HUMAN";"Amyloid beta A4 protein";"APP";1;1;1,72541396149392e-05;NA;1;NA;1;NA;NA;"dendritic shaft, neuromuscular junction, platelet alpha granule lumen, axon, extracellular region, spindle midzone, cytosol, receptor complex, perinuclear region of cytoplasm, extracellular vesicular exosome, cell surface, coated pit, intracellular membrane-bounded organelle, integral component of membrane, dendritic spine, Golgi apparatus, ciliary rootlet, synapse, apical part of cell, cytoplasm, plasma membrane, integral component of plasma membrane";0,000152021891152326
"119";119;"P05107";"P05107";"P05107";"ITB2_HUMAN";"Integrin beta-2";"ITGB2";17;27;0,00186587028657782;14;12;14;13;0,00227759450727599;0,00231669314286104;"receptor complex, extracellular vesicular exosome, plasma membrane, integrin complex";0,0041045910611128
"121";121;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";2;4;0,00213997651063139;2;2;2;2;0,00335852382760352;0,00229935083487369;"mitochondrion, integral component of plasma membrane, mitochondrial nucleoid, mitochondrial inner membrane, MMXD complex";0,000608087564609304
"125";125;"P05362";"P05362";"P05362";"ICAM1_HUMAN";"Intercellular adhesion molecule 1";"ICAM1";4;7;0,000699246710710695;3;4;3;4;0,000705479394238145;0,00103038578765768;"immunological synapse, extracellular vesicular exosome, external side of plasma membrane, plasma membrane, integral component of plasma membrane, extracellular space";0,00106415323806628
"130";130;"P05556";"P05556-1";"P05556-1";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";14;31;0,00206444266971729;13;11;17;14;NA;NA;"integrin complex, filopodium, plasma membrane, sarcolemma, cell surface, alpha3-beta1 integrin complex, myelin sheath abaxonal region, alpha7-beta1 integrin complex, alpha8-beta1 integrin complex, alpha9-beta1 integrin complex, hemidesmosome, cytoplasm, recycling endosome, focal adhesion, intercalated disc, lamellipodium, neuromuscular junction, basement membrane, ruffle, external side of plasma membrane, extracellular vesicular exosome, cleavage furrow, receptor complex, acrosomal vesicle, membrane raft, melanosome";0,0047126786257221
"132";132;"P06213";"P06213-1,P06213-2";"P06213-1,P06213-2";"INSR_HUMAN";"Insulin receptor";"INSR";1;1;1,92267547083983e-05;1;NA;1;NA;NA;NA;"insulin receptor complex, endosome membrane, plasma membrane, receptor complex, extracellular vesicular exosome, caveola, integral component of plasma membrane, membrane";0,000152021891152326
"135";135;"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";23;51;0,00512340312044358;20;20;26;25;0,00614882859552743;0,00647643240824537;"plasma membrane, mitochondrial nucleoid, mitochondrial proton-transporting ATP synthase complex, extracellular vesicular exosome, mitochondrion, mitochondrial membrane, cell surface, mitochondrial matrix, mitochondrial proton-transporting ATP synthase, catalytic core";0,00775311644876862
"136";136;"P06733";"P06733-1";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";14;28;0,00342856451703309;12;13;14;14;NA;NA;"extracellular space, M band, extracellular vesicular exosome, phosphopyruvate hydratase complex, cytosol, nucleus, plasma membrane, cytoplasm";0,00425661295226513
"137";137;"P06744";"P06744-1,P06744-2";"P06744-1,P06744-2";"G6PI_HUMAN";"Glucose-6-phosphate isomerase";"GPI";1;1;4,76189516254595e-05;NA;1;NA;1;NA;NA;"cytoplasm, cytosol, extracellular space, plasma membrane, extracellular vesicular exosome, neuron projection, nucleus";0,000152021891152326
"142";142;"P07237";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";12;19;0,00198762253989418;12;6;13;6;0,00320150622739568;0,00161859814675361;"procollagen-proline 4-dioxygenase complex, extracellular vesicular exosome, endoplasmic reticulum lumen, extracellular region, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum, plasma membrane, melanosome";0,00288841593189419
"146";146;"P07900";"P07900-1,P07900-2";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";9;14;0,000896815935627025;7;6;7;7;NA;NA;"perinuclear region of cytoplasm, extracellular matrix, neuron projection, neuronal cell body, melanosome, extracellular vesicular exosome, nucleus, cytosol, extracellular region, protein complex, endocytic vesicle lumen, mitochondrion, apical plasma membrane, brush border membrane, cell surface, plasma membrane, cytoplasm, basolateral plasma membrane";0,00212830647613256
"149";149;"P07948";"P07948-1,P07948-2";"P07948-1,P07948-2";"LYN_HUMAN";"Tyrosine-protein kinase Lyn";"LYN";3;3;0,000155691650431678;NA;3;NA;3;NA;NA;"postsynaptic density, mast cell granule, mitochondrial crista, membrane raft, nucleus, plasma membrane, perinuclear region of cytoplasm, Golgi apparatus, alpha2-beta1 integrin complex, cytosol, cytoplasm, mitochondrial intermembrane space";0,000456065673456978
"152";152;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";28;55;0,00115986160744869;25;20;31;24;NA;NA;"extracellular vesicular exosome, nucleus, cytoplasm, cell junction, plasma membrane, integral component of membrane, apical plasma membrane, melanosome";0,00836120401337793
"153";153;"P08238";"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";11;20;0,00262979181089818;9;10;10;10;0,00304935844763319;0,00343992135317308;"apical plasma membrane, brush border membrane, mitochondrion, cell surface, extracellular vesicular exosome, cytosol, cytoplasm, melanosome, inclusion body, basolateral plasma membrane";0,00304043782304652
"155";155;"P08575";"P08575-1,P08575-2";"P08575-1,P08575-2";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";41;115;0,00234333445230501;37;37;57;58;NA;NA;"external side of plasma membrane, extracellular vesicular exosome, plasma membrane, focal adhesion, membrane raft, integral component of plasma membrane";0,0174825174825175
"158";158;"P08648";"P08648";"P08648";"ITA5_HUMAN";"Integrin alpha-5";"ITGA5";12;23;0,00116518898982106;9;9;11;12;0,00131187334448097;0,00156767942526374;"integrin complex, synapse, plasma membrane, ruffle, external side of plasma membrane, cytoplasm, alphav-beta3 integrin-vitronectin complex";0,0034965034965035
"161";161;"P08754";"P08754";"P08754";"GNAI3_HUMAN";"Guanine nucleotide-binding protein G(k) subunit alpha";"GNAI3";2;2;0,000557591404505381;0;2;0;2;0;0,00116136703185146;"zymogen granule, heterotrimeric G-protein complex, extrinsic component of cytoplasmic side of plasma membrane, cytoplasm, Golgi apparatus, lysosomal membrane, midbody, extracellular vesicular exosome, centrosome, membrane raft, plasma membrane";0,000304043782304652
"162";162;"P08865";"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";7;12;0,00216173898362086;6;6;6;6;0,0025445087304047;0,0027872808764435;"cytosolic small ribosomal subunit, 90S preribosome, nucleus, extracellular vesicular exosome, plasma membrane, cytosol, cytoplasm";0,00182426269382791
"165";165;"P09382";"P09382";"P09382";"LEG1_HUMAN";"Galectin-1";"LGALS1";2;5;0,00196825000051899;2;1;3;2;0,00278011139062736;0,00203024162605144;"proteinaceous extracellular matrix, cytoplasm, cell surface, extracellular space, intracellular, nucleus";0,00076010945576163
"166";166;"P09429";"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";4;7;0,00184557767490525;3;4;3;4;0,0017456513383009;0,00280456633924315;"extracellular space, condensed chromosome, nucleoplasm, cell surface, nucleus, extracellular region";0,00106415323806628
"174";174;"P0CG47";"P0CG47,P0CG48,P62979,P62987";"P0CG47,P0CG48,P62979,P62987";"RL40_HUMAN, RS27A_HUMAN, UBB_HUMAN, UBC_HUMAN";"Polyubiquitin-B, Polyubiquitin-C, Ubiquitin-40S ribosomal protein S27a, Ubiquitin-60S ribosomal protein L40";"RPS27A, UBA52, UBB, UBC";4;8;0,000354876460861522;4;3;5;3;0,000522141120944203;0,000343175233118044;"endosome membrane, cytosol, nucleoplasm, plasma membrane, endocytic vesicle membrane";0,00121617512921861
"175";175;"P10316";"P10316";"P10316";"1A69_HUMAN";"HLA class I histocompatibility antigen, A-69 alpha chain";"HLA-A";0;0;NA;0;0;0;0;0;NA;"early endosome membrane, ER to Golgi transport vesicle membrane, phagocytic vesicle membrane, Golgi membrane, MHC class I protein complex, plasma membrane, extracellular vesicular exosome, integral component of lumenal side of endoplasmic reticulum membrane";0
"176";176;"P10319";"P10319";"P10319";"1B58_HUMAN";"HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"integral component of lumenal side of endoplasmic reticulum membrane, plasma membrane, Golgi membrane, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, cell surface, MHC class I protein complex, early endosome membrane";0
"177";177;"P10321";"P10321";"P10321";"1C07_HUMAN";"HLA class I histocompatibility antigen, Cw-7 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"plasma membrane, ER to Golgi transport vesicle membrane, cell surface, early endosome membrane, MHC class I protein complex, phagocytic vesicle membrane, Golgi membrane, extracellular vesicular exosome, integral component of lumenal side of endoplasmic reticulum membrane";0
"181";181;"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";31;87;0,00806879450474541;31;27;47;40;0,0102616676983889;0,00956658357825285;"secretory granule, early endosome, mitochondrial inner membrane, protein complex, extracellular vesicular exosome, extracellular space, mitochondrion, coated vesicle, cytosol, cell surface, lipopolysaccharide receptor complex, coated pit, plasma membrane, mitochondrial matrix, cytoplasm";0,0132259045302524
"182";182;"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";19;40;0,00339813932242366;16;18;18;22;0,00361132097252364;0,00480620934398134;"nucleus, midbody, endoplasmic reticulum-Golgi intermediate compartment, cell surface, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum chaperone complex, extracellular vesicular exosome, endoplasmic reticulum lumen, endoplasmic reticulum membrane, endoplasmic reticulum";0,00608087564609304
"183";183;"P11142";"P11142-1";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";20;46;0,00449261813387957;16;18;22;24;NA;NA;"nucleus, Prp19 complex, plasma membrane, spliceosomal complex, ribonucleoprotein complex, blood microparticle, melanosome, cytosol, intracellular, extracellular vesicular exosome, clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus";0,00699300699300699
"184";184;"P11169";"P11169,Q8TDB8-1,Q8TDB8-2,Q8TDB8-3";"P11169,Q8TDB8-1,Q8TDB8-2,Q8TDB8-3";"GTR14_HUMAN, GTR3_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 14, Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A14, SLC2A3";1;2;5,16952821147985e-05;NA;1;NA;2;NA;0,000552585926445452;"integral component of membrane, plasma membrane, extracellular vesicular exosome";0,000304043782304652
"185";185;"P11279";"P11279";"P11279";"LAMP1_HUMAN";"Lysosome-associated membrane glycoprotein 1";"LAMP1";2;2;0,000254881295031237;NA;2;NA;2;NA;0,000657272468865574;"neuronal cell body, dendrite, cytolytic granule, multivesicular body, endosome membrane, melanosome, alveolar lamellar body, late endosome, integral component of plasma membrane, external side of plasma membrane, cytoplasm, membrane, lysosomal membrane, extracellular vesicular exosome, lysosome, sarcolemma";0,000304043782304652
"188";188;"P11717";"P11717";"P11717";"MPRI_HUMAN";"Cation-independent mannose-6-phosphate receptor";"IGF2R";1;1;2,13339020529959e-05;1;NA;1;NA;5,02228071369856e-05;NA;"integral component of plasma membrane, extracellular space, extracellular vesicular exosome, perinuclear region of cytoplasm, cell surface, nuclear envelope lumen, lysosomal membrane, late endosome, clathrin coat, trans-Golgi network transport vesicle, endocytic vesicle, endosome";0,000152021891152326
"190";190;"P12235";"P12235";"P12235";"ADT1_HUMAN";"ADP/ATP translocase 1";"SLC25A4";0;0;0;0;0;0;0;NA;0;"integral component of plasma membrane, mitochondrial inner membrane, mitochondrion";0
"194";194;"P12814";"P12814-1,P12814-2,P12814-3";"P12814-1,P12814-2,P12814-3";"ACTN1_HUMAN";"Alpha-actinin-1";"ACTN1";1;2;6,45418301739693e-05;1;1;1;1;NA;NA;"cytosol, focal adhesion, Z disc, pseudopodium, plasma membrane, nucleus, cell projection, platelet alpha granule lumen, extracellular region, fascia adherens, cytoskeleton, ruffle, extracellular vesicular exosome, cytoplasm, dendritic spine";0,000304043782304652
"197";197;"P13473";"P13473-1,P13473-2,P13473-3";"P13473-1,P13473-2,P13473-3";"LAMP2_HUMAN";"Lysosome-associated membrane glycoprotein 2";"LAMP2";1;2;8,64109756325412e-05;1;1;1;1;NA;NA;"lysosomal membrane, lysosome, late endosome membrane, phagocytic vesicle membrane, integral component of membrane, late endosome, platelet dense granule membrane, membrane, plasma membrane, extracellular vesicular exosome";0,000304043782304652
"198";198;"P13612";"P13612";"P13612";"ITA4_HUMAN";"Integrin alpha-4";"ITGA4";17;30;0,00154484738412828;16;12;18;12;0,00218206417287612;0,0015935036018427;"plasma membrane, cell surface, external side of plasma membrane, integrin complex, extracellular vesicular exosome";0,00456065673456978
"201";201;"P13647";"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";1;1;0,000113424576301095;1;0;1;0;0,000268224567022718;0;"plasma membrane, cytosol, intermediate filament, extracellular vesicular exosome, mitochondrion, cytoplasm, keratin filament";0,000152021891152326
"203";203;"P13761";"P13761,P79483,Q9TQE0";"P13761,P79483,Q9TQE0";"2B17_HUMAN, 2B19_HUMAN, DRB3_HUMAN";"HLA class II histocompatibility antigen, DR beta 3 chain, HLA class II histocompatibility antigen, DRB1-7 beta chain, HLA class II histocompatibility antigen, DRB1-9 beta chain";"HLA-DRB1, HLA-DRB3";0;0;NA;0;0;0;0;NA;NA;"clathrin-coated endocytic vesicle membrane, external side of plasma membrane, membrane, endocytic vesicle membrane, plasma membrane, transport vesicle membrane, MHC class II protein complex, Golgi membrane, late endosome membrane, ER to Golgi transport vesicle membrane, trans-Golgi network membrane, lysosomal membrane, integral component of lumenal side of endoplasmic reticulum membrane";0
"204";204;"P13987";"P13987";"P13987";"CD59_HUMAN";"CD59 glycoprotein";"CD59";3;7;0,00290624414139133;3;3;4;3;0,00390953164306972;0,00321190569746419;"extracellular vesicular exosome, extracellular region, extracellular space, compact myelin, sarcolemma, plasma membrane, anchored component of external side of plasma membrane, cell surface, membrane";0,00106415323806628
"206";206;"P14209";"P14209-1";"P14209-1";"CD99_HUMAN";"CD99 antigen";"CD99";2;3;0,00086177432455156;2;1;2;1;NA;NA;"cytoplasm, plasma membrane, integral component of plasma membrane";0,000456065673456978
"209";209;"P14618";"P14618-1";"P14618-1";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";29;68;0,00680547457806567;26;26;34;34;NA;NA;"cytosol, mitochondrion, nucleus, cytoplasm, extracellular vesicular exosome, cilium, plasma membrane";0,0103374885983582
"210";210;"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";31;55;0,00373697876810867;27;26;27;28;0,00420651972554451;0,00503002775543976;"extracellular region, endoplasmic reticulum membrane, cytosol, endoplasmic reticulum, perinuclear region of cytoplasm, endocytic vesicle lumen, midbody, extracellular vesicular exosome, melanosome, plasma membrane, endoplasmic reticulum lumen";0,00836120401337793
