"";"Protein.Acs";"X.1";"X";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc";"Go.Mf"
"14";"O14578";50;50;"O14578-4";"CTRO_HUMAN";"Citron Rho-interacting kinase";"CIT";2;3;"2.71701802964574E-5";0;2;0;3;"0";"0";0;"actin cytoskeleton, ruffle, Golgi cisterna, plasma membrane, neuronal cell body, vacuole";0,000148148148148148;"small GTPase regulator activity, protein serine/threonine kinase activity, PDZ domain binding, metal ion binding, ATP binding"
"15";"O14672";55;55;"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";16;42;"0.00103079595782469";16;0;42;0;"0.00207202743323421";"0";0;"postsynaptic density, extracellular vesicular exosome, cell surface, nucleus, plasma membrane, integral component of membrane, Golgi-associated vesicle";0,00207407407407407;"metalloendopeptidase activity, integrin binding, protein binding, protein kinase binding, protein homodimerization activity, zinc ion binding, receptor binding, metallopeptidase activity, endopeptidase activity"
"16";"O14763";58;58;"O14763-2";"TR10B_HUMAN";"Tumor necrosis factor receptor superfamily member 10B";"TNFRSF10B";2;2;"8.34453870619987E-5";2;0;2;0;"0";"0";0;"plasma membrane, integral component of membrane";9,87654320987654e-05;"TRAIL binding, protein binding, receptor activity"
"17";"O14786";60;60;"O14786-1";"NRP1_HUMAN";"Neuropilin-1";"NRP1";2;5;"9.94473735300093E-5";2;0;5;0;"0";"0";0;"extracellular region, cytosol, cell surface, neuronal cell body, neurofilament, plasma membrane, axon, cytoplasmic vesicle, growth cone, semaphorin receptor complex, integral component of membrane";0,000246913580246914;"growth factor binding, protein binding, heparin binding, semaphorin receptor activity, vascular endothelial growth factor binding, metal ion binding, coreceptor activity, cytokine binding, vascular endothelial growth factor-activated receptor activity"
"18";"O14795";61;61;"O14795";"UN13B_HUMAN";"Protein unc-13 homolog B";"UNC13B";2;2;"2.30772912050782E-5";2;0;2;0;"4.63882110699827E-5";"0";0;"cell junction, cytosol, plasma membrane, Golgi apparatus, neuromuscular junction";9,87654320987654e-05;"signal transducer activity, metal ion binding, protein binding, diacylglycerol binding, receptor activity"
"19";"O14818";63;63;"O14818-1";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";5;12;"0.00171312995097329";3;4;4;8;"0";"0";13;"extracellular vesicular exosome, cytosol, proteasome core complex, nucleoplasm, proteasome core complex, alpha-subunit complex";0,000592592592592593;"protein binding, threonine-type endopeptidase activity, identical protein binding"
"20";"O14924";65;65;"O14924-4";"RGS12_HUMAN";"Regulator of G-protein signaling 12";"RGS12";3;3;"3.80607847000132E-5";3;0;3;0;"0";"0";0;"nuclear matrix, cytoplasm, plasma membrane, condensed nuclear chromosome";0,000148148148148148;"GTPase activator activity, GTPase regulator activity, receptor signaling protein activity"
"21";"O14950";66;66;"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";5;25;"0.00133804556513409";4;4;10;15;"0.00107585486606913";"0.00335867232046882";0;"myosin II complex, apical part of cell, Z disc, stress fiber, cytosol, extracellular vesicular exosome";0,00123456790123457;"calcium ion binding, protein binding"
"22";"O15020";76;76;"O15020-2";"SPTN2_HUMAN";"Spectrin beta chain, non-erythrocytic 2";"SPTBN2";2;2;"1.53623306725018E-5";0;2;0;2;"0";"0";0;"cytosol, neuronal cell body, extracellular space, spectrin";9,87654320987654e-05;"phospholipid binding, actin binding, structural constituent of cytoskeleton"
"23";"O15031";77;77;"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";23;49;"4.89413097131853E-4";23;0;49;0;"9.83780888684652E-4";"0";0;"integral component of plasma membrane, intracellular, extracellular vesicular exosome";0,00241975308641975;"GTPase activator activity, protein binding, semaphorin receptor activity"
"24";"O15127";83;83;"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";3;6;"3.34796081829296E-4";3;0;6;0;"6.7298155451984E-4";"0";0;"extracellular vesicular exosome, nucleus, Golgi apparatus, transport vesicle, recycling endosome membrane, integral component of membrane, trans-Golgi network membrane";0,000296296296296296;"protein binding"
"25";"O15143";84;84;"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";8;23;"0.00113503671648848";7;4;14;9;"0.00138877824378064";"0.00185810420309808";0;"Arp2/3 protein complex, cytoplasm, extracellular vesicular exosome";0,0011358024691358;"structural constituent of cytoskeleton"
"26";"O15144";85;85;"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";11;22;"0.00134625224460025";7;6;12;10;"0.00147607287624685";"0.00256005467982401";0;"focal adhesion, extracellular vesicular exosome, endosome, cell leading edge, cell projection, cytosol, Arp2/3 protein complex, plasma membrane, Golgi apparatus";0,00108641975308642;"structural constituent of cytoskeleton, protein binding"
"27";"O15145";86;86;"O15145";"ARPC3_HUMAN";"Actin-related protein 2/3 complex subunit 3";"ARPC3";4;16;"0.00165015596886649";4;3;9;7;"0.00186582245593001";"0.00302028922900586";0;"extracellular vesicular exosome, lamellipodium, cytosol, Arp2/3 protein complex";0,000790123456790123;"structural constituent of cytoskeleton, protein binding"
"28";"O15230";87;87;"O15230";"LAMA5_HUMAN";"Laminin subunit alpha-5";"LAMA5";4;5;"2.4841657853369E-5";2;2;3;2;"2.9960883820978E-5";"4.15705766683196E-5";0;"laminin-10 complex, laminin-5 complex, laminin-1 complex, extracellular space, extracellular vesicular exosome, laminin-11 complex";0,000246913580246914;"structural molecule activity, integrin binding"
"29";"O15372";94;94;"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";9;35;"0.00182536784198122";9;6;21;14;"0.00220152914781135";"0.00305461069751729";0;"cytosol, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex";0,0017283950617284;"poly(A) RNA binding, protein binding, translation initiation factor activity"
"30";"O15427";97;97;"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";7;20;"7.89590759296332E-4";7;0;20;0;"0.0015871751357493";"0";0;"actin cytoskeleton, nuclear membrane, integral component of plasma membrane";0,000987654320987654;"symporter activity, monocarboxylic acid transmembrane transporter activity, poly(A) RNA binding, secondary active monocarboxylate transmembrane transporter activity"
"31";"O15511";98;98;"O15511-1";"ARPC5_HUMAN";"Actin-related protein 2/3 complex subunit 5";"ARPC5";4;10;"0.00121576060620131";4;2;8;2;"0";"0";0;"Arp2/3 protein complex, cytosol, cell projection, extracellular vesicular exosome";0,000493827160493827;"protein binding, structural constituent of cytoskeleton"
"32";"O43175";102;102;"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";3;6;"2.06656493286751E-4";3;0;6;0;"4.15405124647331E-4";"0";0;"extracellular vesicular exosome, cytosol";0,000296296296296296;"electron carrier activity, phosphoglycerate dehydrogenase activity, NAD binding"
"33";"O43184";103;103;"O43184-1";"ADA12_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 12";"ADAM12";2;2;"4.03916064986572E-5";2;0;2;0;"0";"0";0;"plasma membrane, mitochondrion, extracellular region, nucleus, integral component of membrane";9,87654320987654e-05;"metallopeptidase activity, SH3 domain binding, metalloendopeptidase activity, protein binding, zinc ion binding"
"34";"O43242";104;104;"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";10;23;"7.9069973508186E-4";6;8;10;13;"6.91045354048151E-4";"0.00186970285605125";0;"extracellular vesicular exosome, nucleoplasm, proteasome accessory complex, cytosol";0,0011358024691358;"enzyme regulator activity"
"35";"O43278";105;105;"O43278-1";"SPIT1_HUMAN";"Kunitz-type protease inhibitor 1";"SPINT1";8;11;"3.8173504100196E-4";8;0;11;0;"0";"0";0;"membrane, extracellular region";0,00054320987654321;"serine-type endopeptidase inhibitor activity"
"36";"O43707";118;118;"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";6;9;"2.86629937151238E-4";3;4;4;5;"2.59244412952246E-4";"6.67412718395394E-4";7;"platelet alpha granule lumen, protein complex, nucleus, neuron projection, Z disc, extracellular vesicular exosome, cell-cell junction, stress fiber, cortical cytoskeleton, ribonucleoprotein complex, perinuclear region of cytoplasm, pseudopodium";0,000444444444444444;"poly(A) RNA binding, nucleoside binding, protein homodimerization activity, actin filament binding, calcium ion binding, integrin binding, protein binding, actin binding"
"37";"O43776";121;121;"O43776";"SYNC_HUMAN";"Asparagine--tRNA ligase, cytoplasmic";"NARS";11;35;"0.00117249905178356";11;6;20;15;"0.00134678182139311";"0.00210223468233724";0;"mitochondrion, extracellular vesicular exosome, cytosol";0,0017283950617284;"ATP binding, asparagine-tRNA ligase activity, nucleic acid binding"
"38";"O60241";124;124;"O60241-4";"BAI2_HUMAN";"Brain-specific angiogenesis inhibitor 2";"BAI2";2;2;"2.8955812545173E-5";0;2;0;2;"0";"0";1;"plasma membrane, integral component of membrane";9,87654320987654e-05;"G-protein coupled receptor activity"
"39";"O60271";127;127;"O60271-2";"JIP4_HUMAN";"C-Jun-amino-terminal kinase-interacting protein 4";"SPAG9";3;3;"4.16911093572439E-5";3;0;3;0;"0";"0";0;"perinuclear region of cytoplasm, acrosomal vesicle, integral component of membrane, cytosol, extracellular vesicular exosome";0,000148148148148148;"protein binding"
"40";"O60312";128;128;"O60312";"AT10A_HUMAN";"Probable phospholipid-transporting ATPase VA";"ATP10A";2;2;"2.44936426332751E-5";2;0;2;0;"4.9235252710035E-5";"0";0;"endoplasmic reticulum, plasma membrane, integral component of membrane, endoplasmic reticulum membrane";9,87654320987654e-05;"phospholipid-translocating ATPase activity, ATP binding, cation-transporting ATPase activity, protein binding, magnesium ion binding"
"41";"O60437";133;133;"O60437";"PEPL_HUMAN";"Periplakin";"PPL";3;3;"3.13633003763776E-5";0;3;0;3;"0";"1.31210091790525E-4";0;"mitochondrion, desmosome, cytoskeleton, plasma membrane, extracellular vesicular exosome, nucleus";0,000148148148148148;"structural constituent of cytoskeleton, protein binding"
"42";"O60488";134;134;"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";6;11;"1.80522151905612E-4";6;1;9;2;"0";"0";5;"peroxisomal membrane, neuronal cell body, endoplasmic reticulum membrane, extracellular vesicular exosome, mitochondrial outer membrane, integral component of membrane, lipid particle";0,00054320987654321;"ATP binding, very long-chain fatty acid-CoA ligase activity, long-chain fatty acid-CoA ligase activity, arachidonate-CoA ligase activity"
"43";"O60669";139;139;"O60669";"MOT2_HUMAN";"Monocarboxylate transporter 2";"SLC16A7";1;1;"3.84058266812546E-5";1;0;1;0;"7.7200464238852E-5";"0";0;"integral component of plasma membrane";4,93827160493827e-05;"symporter activity, lactate transmembrane transporter activity, secondary active monocarboxylate transmembrane transporter activity, pyruvate secondary active transmembrane transporter activity, pyruvate transmembrane transporter activity"
"44";"O60884";147;147;"O60884";"DNJA2_HUMAN";"DnaJ homolog subfamily A member 2";"DNAJA2";3;3;"1.33674649176988E-4";3;0;3;0;"2.68702586695422E-4";"0";0;"membrane, extracellular vesicular exosome";0,000148148148148148;"metal ion binding, protein binding, ATP binding, unfolded protein binding, chaperone binding"
"45";"O75038";151;151;"O75038-3";"PLCH2_HUMAN";"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2";"PLCH2";3;4;"5.1858715123276E-5";3;0;4;0;"0";"0";0;"plasma membrane, cytoplasm";0,000197530864197531;"signal transducer activity, calcium ion binding, phosphatidylinositol phospholipase C activity"
"46";"O75106";152;152;"O75106-2";"AOC2_HUMAN";"Retina-specific copper amine oxidase";"AOC2";2;2;"4.85660982900521E-5";2;0;2;0;"0";"0";0;"plasma membrane, cytoplasm";9,87654320987654e-05;"copper ion binding, electron carrier activity, quinone binding, phenethylamine:oxygen oxidoreductase (deaminating) activity, tryptamine:oxygen oxidoreductase (deaminating) activity, aliphatic-amine oxidase activity, primary amine oxidase activity, aminoacetone:oxygen oxidoreductase(deaminating) activity"
"47";"O75144";153;153;"O75144-1,O75144-2";"ICOSL_HUMAN";"ICOS ligand";"ICOSLG";6;13;"3.95122197015424E-4";6;0;13;0;"0";"0";0;"plasma membrane, integral component of membrane, external side of plasma membrane, integral component of plasma membrane";0,000641975308641975;"receptor binding"
"48";"O75150";154;154;"O75150-1";"BRE1B_HUMAN";"E3 ubiquitin-protein ligase BRE1B";"RNF40";3;3;"5.50189365243947E-5";3;0;3;0;"0";"0";0;"neuron projection, HULC complex, cytoplasm, nucleus, plasma membrane";0,000148148148148148;"ligase activity, zinc ion binding, ubiquitin-protein transferase activity, protein binding, protein homodimerization activity, ubiquitin protein ligase binding"
"49";"O75197";158;158;"O75197";"LRP5_HUMAN";"Low-density lipoprotein receptor-related protein 5";"LRP5";3;5;"5.68358673487298E-5";0;3;0;5;"0";"2.37775976454243E-4";0;"endoplasmic reticulum, integral component of membrane, plasma membrane, receptor complex";0,000246913580246914;"coreceptor activity, protein binding, Wnt-activated receptor activity, Wnt-protein binding"
"50";"O75309";159;159;"O75309-1";"CAD16_HUMAN";"Cadherin-16";"CDH16";1;1;"2.95263130738073E-5";0;1;0;1;"0";"0";1;"plasma membrane, integral component of membrane";4,93827160493827e-05;"calcium ion binding"
"51";"O75323";160;160;"O75323-1";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";3;3;"1.92566277835382E-4";3;0;3;0;"0";"0";0;"integral component of plasma membrane, mitochondrion";0,000148148148148148;"protein binding"
"52";"O75334";161;161;"O75334-1";"LIPA2_HUMAN";"Liprin-alpha-2";"PPFIA2";2;2;"2.92092046995063E-5";0;2;0;2;"0";"0";0;"cytoplasm, synapse, cell surface, extracellular vesicular exosome";9,87654320987654e-05;"protein binding"
"53";"O75369";169;169;"O75369-5";"FLNB_HUMAN";"Filamin-B";"FLNB";1;1;"2.23794575268588E-5";0;1;0;1;"0";"0";26;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber";4,93827160493827e-05;"identical protein binding, protein binding, poly(A) RNA binding, actin binding"
"54";"O75369";168;168;"O75369-1";"FLNB_HUMAN";"Filamin-B";"FLNB";1;1;"2.412369345507E-5";0;1;0;1;"0";"0";29;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber";4,93827160493827e-05;"identical protein binding, protein binding, poly(A) RNA binding, actin binding"
"55";"O75369";167;167;"O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";1;1;"2.412369345507E-5";1;0;1;0;"0";"0";29;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber";4,93827160493827e-05;"identical protein binding, protein binding, poly(A) RNA binding, actin binding"
"56";"O75369";165;165;"O75369-7";"FLNB_HUMAN";"Filamin-B";"FLNB";5;6;"1.41309834943961E-4";3;2;4;2;"0";"0";26;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber";0,000296296296296296;"identical protein binding, protein binding, poly(A) RNA binding, actin binding"
"57";"O75369";164;164;"O75369-8";"FLNB_HUMAN";"Filamin-B";"FLNB";1;1;"2.412369345507E-5";1;0;1;0;"0";"0";29;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber";4,93827160493827e-05;"identical protein binding, protein binding, poly(A) RNA binding, actin binding"
"58";"O75369";166;166;"O75369-4";"FLNB_HUMAN";"Filamin-B";"FLNB";1;1;"2.23794575268588E-5";1;0;1;0;"0";"0";26;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber";4,93827160493827e-05;"identical protein binding, protein binding, poly(A) RNA binding, actin binding"
"59";"O75390";170;170;"O75390";"CISY_HUMAN";"Citrate synthase, mitochondrial";"CS";7;15;"5.90922268893982E-4";7;1;13;2;"0.00102944996733954";"3.29620774226268E-4";0;"mitochondrial matrix, extracellular vesicular exosome";0,000740740740740741;"poly(A) RNA binding, citrate (Si)-synthase activity"
"60";"O75473";173;173;"O75473-1";"LGR5_HUMAN";"Leucine-rich repeat-containing G-protein coupled receptor 5";"LGR5";3;5;"1.01201682214111E-4";0;3;0;5;"0";"0";0;"integral component of plasma membrane, trans-Golgi network membrane, Golgi apparatus";0,000246913580246914;"protein binding, G-protein coupled receptor activity, transmembrane signaling receptor activity"
"61";"O75581";178;178;"O75581";"LRP6_HUMAN";"Low-density lipoprotein receptor-related protein 6";"LRP6";3;3;"3.41438037575444E-5";3;0;3;0;"6.86332707492336E-5";"0";0;"plasma membrane, endoplasmic reticulum, cell surface, receptor complex, neuronal cell body, early endosome, synapse, cytoplasmic vesicle, integral component of membrane";0,000148148148148148;"toxin transporter activity, protein binding, low-density lipoprotein receptor activity, receptor binding, coreceptor activity involved in Wnt signaling pathway, Wnt-activated receptor activity, protein homodimerization activity, frizzled binding, Wnt-protein binding, kinase inhibitor activity, apolipoprotein binding"
"62";"O75828";185;185;"O75828";"CBR3_HUMAN";"Carbonyl reductase [NADPH] 3";"CBR3";1;1;"8.83657528454378E-5";0;1;0;1;"0";"3.69682986256175E-4";2;"cytosol, extracellular space, nucleus";4,93827160493827e-05;"carbonyl reductase (NADPH) activity, 3-keto sterol reductase activity, NADPH binding"
"63";"O75923";190;190;"O75923-4";"DYSF_HUMAN";"Dysferlin";"DYSF";1;1;"1.17679392010511E-5";0;1;0;1;"0";"0";1;"lamellipodium, T-tubule, integral component of membrane, extracellular vesicular exosome, cytoplasmic vesicle membrane";4,93827160493827e-05;"calcium ion binding, phospholipid binding, calcium-dependent phospholipid binding, protein binding"
"64";"O75923";187;187;"O75923-13";"DYSF_HUMAN";"Dysferlin";"DYSF";1;1;"1.17679392010511E-5";0;1;0;1;"0";"0";1;"lamellipodium, T-tubule, integral component of membrane, extracellular vesicular exosome, cytoplasmic vesicle membrane";4,93827160493827e-05;"calcium ion binding, phospholipid binding, calcium-dependent phospholipid binding, protein binding"
"65";"O75923";188;188;"O75923-7";"DYSF_HUMAN";"Dysferlin";"DYSF";3;3;"2.6477863202365E-5";0;3;0;3;"0";"0";0;"lamellipodium, T-tubule, integral component of membrane, extracellular vesicular exosome, cytoplasmic vesicle membrane";0,000148148148148148;"calcium ion binding, phospholipid binding, calcium-dependent phospholipid binding, protein binding"
"66";"O75923";189;189;"O75923-10";"DYSF_HUMAN";"Dysferlin";"DYSF";1;1;"1.17679392010511E-5";0;1;0;1;"0";"0";1;"lamellipodium, T-tubule, integral component of membrane, extracellular vesicular exosome, cytoplasmic vesicle membrane";4,93827160493827e-05;"calcium ion binding, phospholipid binding, calcium-dependent phospholipid binding, protein binding"
"67";"O75955";193;193;"O75955";"FLOT1_HUMAN";"Flotillin-1";"FLOT1";2;2;"8.59858789397645E-5";2;0;2;0;"1.72842257171762E-4";"0";0;"flotillin complex, melanosome, integral component of membrane, sarcolemma, extracellular vesicular exosome, endosome, lysosomal membrane, caveola, centriolar satellite";9,87654320987654e-05;"protein binding"
"68";"O75970";195;195;"O75970-1";"MPDZ_HUMAN";"Multiple PDZ domain protein";"MPDZ";3;3;"2.66057755849851E-5";3;0;3;0;"0";"0";0;"postsynaptic membrane, cytoplasmic vesicle, apicolateral plasma membrane, postsynaptic density, dendrite, tight junction, cytoplasm, Schmidt-Lanterman incisure, apical plasma membrane";0,000148148148148148;"protein C-terminus binding, protein binding"
"69";"O76094";201;201;"O76094";"SRP72_HUMAN";"Signal recognition particle 72 kDa protein";"SRP72";4;9;"2.46232289691144E-4";2;3;4;5;"2.19981054582243E-4";"5.7229240234516E-4";0;"endoplasmic reticulum, cytosol, signal recognition particle, endoplasmic reticulum targeting, plasma membrane, nucleolus";0,000444444444444444;"signal recognition particle binding, 7S RNA binding, poly(A) RNA binding"
"70";"O94804";204;204;"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";7;18;"3.59334202659324E-4";6;3;10;8;"4.15873274675108E-4";"6.34724300782814E-4";1;"extracellular vesicular exosome, cytoplasm, plasma membrane";0,000888888888888889;"identical protein binding, receptor signaling protein serine/threonine kinase activity, protein serine/threonine kinase activity, ATP binding, polo kinase kinase activity, protein homodimerization activity, protein binding"
"71";"O94856";207;207;"O94856-6";"NFASC_HUMAN";"Neurofascin";"NFASC";2;2;"2.72575874590048E-5";2;0;2;0;"0";"0";0;"node of Ranvier, paranodal junction, intracellular, paranode region of axon, integral component of membrane, plasma membrane, axon initial segment";9,87654320987654e-05;"protein binding"
"72";"O94856";206;206;"O94856-1";"NFASC_HUMAN";"Neurofascin";"NFASC";2;2;"2.72575874590048E-5";0;2;0;2;"0";"0";0;"node of Ranvier, paranodal junction, intracellular, paranode region of axon, integral component of membrane, plasma membrane, axon initial segment";9,87654320987654e-05;"protein binding"
"73";"O94905";209;209;"O94905-1";"ERLN2_HUMAN";"Erlin-2";"ERLIN2";5;10;"5.41533485358104E-4";5;0;10;0;"0";"0";0;"integral component of membrane, plasma membrane, endoplasmic reticulum membrane, protein complex";0,000493827160493827;"protein binding"
"74";"O95255";218;218;"O95255";"MRP6_HUMAN";"Multidrug resistance-associated protein 6";"ABCC6";1;1;"3.78641077686514E-5";1;0;1;0;"3.95561778398376E-5";"0";25;"plasma membrane, integral component of membrane, lateral plasma membrane, apical plasma membrane, basolateral plasma membrane";4,93827160493827e-05;"ATP binding, ATPase activity, coupled to transmembrane movement of substances, transporter activity"
"75";"O95294";219;219;"O95294-1";"RASL1_HUMAN";"RasGAP-activating-like protein 1";"RASAL1";2;2;"4.56666297354222E-5";0;2;0;2;"0";"0";0;"cytoplasm, intrinsic component of the cytoplasmic side of the plasma membrane";9,87654320987654e-05;"metal ion binding, phospholipid binding, Ras GTPase activator activity"
"76";"O95297";220;220;"O95297-1,O95297-2";"MPZL1_HUMAN";"Myelin protein zero-like protein 1";"MPZL1";1;1;"1.13742163281535E-4";1;0;1;0;"0";"0";7;"integral component of plasma membrane";4,93827160493827e-05;"protein binding, structural molecule activity"
