"";"Protein.G";"Protein.Acs";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Bp";"Go.Cc";"Go.F"
"753";"Q9H2Y9";"Q9H2Y9";"SO5A1_HUMAN";"Solute carrier organic anion transporter family member 5A1";"SLCO5A1";"3";"5";"1.082428369908E-4";"0";"3";"0";"5";"0";"4.52839860817927E-4";"0";"";"plasma membrane;integral to membrane";"transporter activity"
"937";"P19634-1";"P19634";"SL9A1_HUMAN";"Sodium/hydrogen exchanger 1";"SLC9A1";"2";"3";"6.75754054735204E-5";"2";"0";"3";"0";"0";"0";"0";"carbohydrate metabolic process;cardiac muscle cell differentiation;regulation of sensory perception of pain;positive regulation of action potential;positive regulation of cell growth;sodium ion export;neuron death;small molecule metabolic process;cell growth;response to organic cyclic compound;hyaluronan catabolic process;regulation of the force of heart contraction;response to drug;cellular response to acidity;response to acid;positive regulation of intracellular protein kinase cascade;regulation of intracellular pH;positive regulation of mitochondrial membrane permeability;protein oligomerization";"membrane raft;basolateral plasma membrane;plasma membrane;endoplasmic reticulum;mitochondrion;integral to membrane;endoplasmic reticulum membrane";"calcium-dependent protein binding;sodium:hydrogen antiporter activity"
"1061";"Q00325-1,Q00325-2";"Q00325";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";"2";"7";"1.77494331595964E-4";"2";"0";"7";"0";"0";"0";"0";"generation of precursor metabolites and energy";"integral to plasma membrane;mitochondrial inner membrane";"symporter activity;phosphate ion carrier activity"
"1337";"Q8NFF2-1";"Q8NFF2";"NCKX4_HUMAN";"Sodium/potassium/calcium exchanger 4";"SLC24A4";"2";"2";"5.90288911692595E-5";"0";"2";"0";"2";"0";"0";"0";"potassium ion transport;calcium ion transport;ion transport;transmembrane transport;sodium ion transport";"plasma membrane;integral to membrane";"symporter activity;antiporter activity"
"1348";"Q8TB61-2";"Q8TB61";"S35B2_HUMAN";"Adenosine 3'-phospho 5'-phosphosulfate transporter 1";"SLC35B2";"2";"2";"8.49906720075913E-5";"2";"0";"2";"0";"0";"0";"0";"3'-phosphoadenosine 5'-phosphosulfate transport;positive regulation of I-kappaB kinase/NF-kappaB cascade";"Golgi membrane;integral to membrane";"signal transducer activity;3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity"
"1363";"Q8WUX1-1";"Q8WUX1";"S38A5_HUMAN";"Sodium-coupled neutral amino acid transporter 5";"SLC38A5";"2";"2";"7.7788072684914E-5";"2";"0";"2";"0";"0";"0";"0";"amino acid transport;transmembrane transport";"plasma membrane;integral to membrane";"glycine transmembrane transporter activity"
"1383";"Q92959";"Q92959";"SO2A1_HUMAN";"Solute carrier organic anion transporter family member 2A1";"SLCO2A1";"2";"2";"5.71010424685528E-5";"0";"2";"0";"2";"0";"2.38885351149986E-4";"0";"transmembrane transport;sodium-independent organic anion transport";"integral to plasma membrane";"lipid transporter activity;prostaglandin transmembrane transporter activity"
"1397";"Q96DW6";"Q96DW6";"S2538_HUMAN";"Solute carrier family 25 member 38";"SLC25A38";"2";"2";"1.20776218116051E-4";"0";"2";"0";"2";"0";"5.05273949965266E-4";"0";"transport;heme biosynthetic process;erythrocyte differentiation";"integral to membrane;mitochondrial inner membrane";""
"1453";"Q9BXS9-2";"Q9BXS9";"S26A6_HUMAN";"Solute carrier family 26 member 6";"SLC26A6";"2";"2";"4.83741374272456E-5";"0";"2";"0";"2";"0";"0";"0";"ion transport;transmembrane transport;bicarbonate transport;sulfate transport";"plasma membrane;integral to plasma membrane";"secondary active sulfate transmembrane transporter activity;chloride transmembrane transporter activity;anion:anion antiporter activity;formate transmembrane transporter activity"
"1528";"Q9UBY0";"Q9UBY0";"SL9A2_HUMAN";"Sodium/hydrogen exchanger 2";"SLC9A2";"2";"3";"6.78250683016246E-5";"2";"0";"3";"0";"1.36336780441519E-4";"0";"0";"regulation of pH;protein localization";"plasma membrane;integral to membrane";"sodium:hydrogen antiporter activity"
"1558";"Q9Y2P5";"Q9Y2P5";"S27A5_HUMAN";"Bile acyl-CoA synthetase";"SLC27A5";"2";"2";"5.32115511699702E-5";"0";"2";"0";"2";"0";"2.2261345041948E-4";"0";"plasma membrane long-chain fatty acid transport;bile acid and bile salt transport;triglyceride mobilization;very long-chain fatty acid metabolic process;bile acid biosynthetic process;ketone body biosynthetic process";"protein complex;integral to endoplasmic reticulum membrane;basal plasma membrane";"ATP binding;fatty acid transporter activity;very long-chain fatty acid-CoA ligase activity;cholate-CoA ligase activity"
"1577";"Q9Y6M7-1";"Q9Y6M7";"S4A7_HUMAN";"Sodium bicarbonate cotransporter 3";"SLC4A7";"2";"2";"4.03250634895985E-5";"2";"0";"2";"0";"0";"0";"1";"retinal cell programmed cell death;auditory receptor cell development;retina vasculature morphogenesis in camera-type eye;cochlear nucleus development";"plasma membrane;integral to membrane;stereocilium;basolateral plasma membrane;apical plasma membrane";"inorganic anion exchanger activity;sodium:bicarbonate symporter activity"
"1619";"O60669";"O60669";"MOT2_HUMAN";"Monocarboxylate transporter 2";"SLC16A7";"1";"1";"3.84058266812546E-5";"1";"0";"1";"0";"7.7200464238852E-5";"0";"0";"";"integral to plasma membrane";"pyruvate secondary active transmembrane transporter activity;symporter activity;secondary active monocarboxylate transmembrane transporter activity"
"1649";"O95436-2";"O95436";"NPT2B_HUMAN";"Sodium-dependent phosphate transport protein 2B";"SLC34A2";"3";"3";"7.98173267549553E-5";"0";"3";"0";"3";"0";"0";"0";"aging;response to estradiol stimulus;response to estrogen stimulus;response to fructose stimulus;cellular phosphate ion homeostasis;in utero embryonic development";"integral to plasma membrane;apical plasma membrane;brush border membrane";"sodium ion binding;sodium:phosphate symporter activity;phosphate ion binding;sodium-dependent phosphate transmembrane transporter activity"
"1685";"P08195-4";"P08195";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";"24";"96";"0.002797407261507";"23";"6";"84";"12";"0";"0";"0";"leucine import;carbohydrate metabolic process;blood coagulation;leukocyte migration;tryptophan transport;cell growth";"plasma membrane;integral to membrane;cell surface;melanosome;apical plasma membrane";"neutral amino acid transmembrane transporter activity;cation binding;catalytic activity;calcium:sodium antiporter activity"
"1710";"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";"3";"10";"0.00123207954051273";"3";"0";"10";"0";"0.00224076259577262";"0";"28";"small molecule metabolic process;cellular protein metabolic process;energy reserve metabolic process;apoptotic process;regulation of insulin secretion;active induction of host immune response by virus;protein targeting to mitochondrion;viral infectious cycle";"mitochondrial inner membrane presequence translocase complex;integral to membrane";"ATP:ADP antiporter activity"
"1819";"P43007-1,P43007-2";"P43007";"SATT_HUMAN";"Neutral amino acid transporter A";"SLC1A4";"1";"1";"1.72537454451501E-5";"1";"0";"1";"0";"0";"0";"0";"cognition;synaptic transmission";"dendrite;intermediate filament;melanosome;integral to plasma membrane;neuronal cell body";"L-hydroxyproline transmembrane transporter activity;sodium:dicarboxylate symporter activity;L-proline transmembrane transporter activity;L-alanine transmembrane transporter activity;L-serine transmembrane transporter activity;chloride channel activity;L-glutamine transmembrane transporter activity;L-cystine transmembrane transporter activity;L-threonine transmembrane transporter activity"
"1919";"Q13433-1";"Q13433";"S39A6_HUMAN";"Zinc transporter ZIP6";"SLC39A6";"2";"2";"4.86304242480522E-5";"2";"0";"2";"0";"0";"0";"0";"zinc ion transmembrane import;cellular zinc ion homeostasis";"integral to plasma membrane;endoplasmic reticulum;lamellipodium membrane";"zinc ion transmembrane transporter activity"
"2136";"Q9H1N7-2";"Q9H1N7";"S35B3_HUMAN";"Adenosine 3'-phospho 5'-phosphosulfate transporter 2";"SLC35B3";"1";"1";"4.57805116050866E-5";"1";"0";"1";"0";"0";"0";"0";"transmembrane transport";"mitochondrion;Golgi membrane;integral to membrane";""
"2201";"Q9Y6M7-3";"Q9Y6M7";"S4A7_HUMAN";"Sodium bicarbonate cotransporter 3";"SLC4A7";"1";"1";"2.01625317447992E-5";"1";"0";"1";"0";"0";"0";"1";"retinal cell programmed cell death;auditory receptor cell development;retina vasculature morphogenesis in camera-type eye;cochlear nucleus development";"plasma membrane;integral to membrane;stereocilium;basolateral plasma membrane;apical plasma membrane";"inorganic anion exchanger activity;sodium:bicarbonate symporter activity"
