"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5134"	"peptide.count.P5135"	"peptide.count.P5136"	"peptide.count.P5137"	"spectra.count.P5134"	"spectra.count.P5135"	"spectra.count.P5136"	"spectra.count.P5137"	"dNSAF.P5134"	"dNSAF.P5135"	"dNSAF.P5136"	"dNSAF.P5137"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"O15031"	"O15031"	"PLXB2_HUMAN"	"Plexin-B2"	"PLXNB2"	28	51	0.000578949134356527	28	0	0	0	51	0	0	0	0.00116313269578103	0	0	0	1	"brain development;neural tube closure;regulation of Rho GTPase activity;positive regulation of axonogenesis;regulation of cell shape;regulation of neuron migration;regulation of protein phosphorylation;neuroblast proliferation;positive regulation of GTPase activity"	"integral to plasma membrane;intracellular"	"semaphorin receptor activity;GTPase activator activity"
"P11586"	"P11586"	"C1TC_HUMAN"	"C-1-tetrahydrofolate synthase, cytoplasmic"	"MTHFD1"	28	75	0.00165008031638771	22	0	22	0	37	0	38	0	0.00163543918575095	0	0.00344077767507057	0	0	"methionine biosynthetic process;histidine biosynthetic process;tetrahydrofolate interconversion;folic acid-containing compound biosynthetic process;one-carbon metabolic process;purine nucleotide biosynthetic process;folic acid metabolic process"	"cytosol;mitochondrion"	"methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity;methenyltetrahydrofolate cyclohydrolase activity;formate-tetrahydrofolate ligase activity;methylenetetrahydrofolate dehydrogenase (NADP+) activity;ATP binding"
"P26038"	"P26038"	"MOES_HUMAN"	"Moesin"	"MSN"	28	124	0.00572104103225447	27	0	17	0	75	0	49	0	0.00693352784455195	0	0.00934648353271757	0	40	"regulation of lymphocyte migration;leukocyte migration;leukocyte cell-cell adhesion;membrane to membrane docking"	"plasma membrane;microvillus;cytoplasm;apical part of cell;apical plasma membrane;filopodium;cytoskeleton;extrinsic to membrane;basolateral plasma membrane;microvillus membrane;extracellular vesicular exosome;uropod;nucleolus"	"structural constituent of cytoskeleton"
"P04264"	"P04264"	"K2C1_HUMAN"	"Keratin, type II cytoskeletal 1"	"KRT1"	27	337	0.0132081017602065	20	21	21	25	65	67	99	106	0.00510979228837664	0.0756092858467496	0.0163209378196256	0.13734583911252	100	"fibrinolysis;regulation of angiogenesis;epidermis development;complement activation;response to oxidative stress"	"keratin filament;intermediate filament;membrane;plasma membrane"	"carbohydrate binding;receptor activity;structural constituent of cytoskeleton"
"P13645"	"P13645"	"K1C10_HUMAN"	"Keratin, type I cytoskeletal 10"	"KRT10"	29	305	0.0128455435036283	26	15	19	19	76	60	73	96	0.00589395046036688	0.0825853645354208	0.0117194862819373	0.142868302030905	74	"keratinocyte differentiation;cellular response to calcium ion"	"cytoplasm;keratin filament;intermediate filament"	"structural constituent of epidermis"
"Q7KZF4"	"Q7KZF4"	"SND1_HUMAN"	"Staphylococcal nuclease domain-containing protein 1"	"SND1"	27	80	0.00180843967275898	25	0	17	0	46	0	34	0	0.00208910719866791	0	0.00316316721487835	0	0	"gene silencing by RNA;regulation of transcription;virus-host interaction;transcription;nucleic acid phosphodiester bond hydrolysis"	"cytoplasm;mitochondrion;RNA-induced silencing complex;melanosome;nucleus"	"nuclease activity;nucleic acid binding;transcription cofactor activity"
"P02786"	"P02786"	"TFR1_HUMAN"	"Transferrin receptor protein 1"	"TFRC"	26	66	0.0017864290583208	26	0	2	0	62	0	4	0	0.00337149394018431	0	0.000445585474541687	0	0	"proteolysis;transferrin transport;positive regulation of bone resorption;transmembrane transport;osteoclast differentiation;cellular iron ion homeostasis;virus-host interaction"	"perinuclear region of cytoplasm;melanosome;extracellular region;endosome;coated pit;cytoplasmic membrane-bounded vesicle;extracellular vesicular exosome;external side of plasma membrane;integral to plasma membrane"	"transferrin receptor activity;peptidase activity"
"P05166-1,P05166-2"	"P05166-[1,2]"	"PCCB_HUMAN"	"Propionyl-CoA carboxylase beta chain, mitochondrial"	"PCCB"	26	125	0.00238532018525434	24	0	21	0	58	0	67	0	0	0	0	0	0	"short-chain fatty acid catabolic process;fatty acid beta-oxidation"	"mitochondrial matrix"	"ATP binding;propionyl-CoA carboxylase activity"
"P10809"	"P10809"	"CH60_HUMAN"	"60 kDa heat shock protein, mitochondrial"	"HSPD1"	26	98	0.00351825152741375	26	0	9	0	83	0	15	0	0.00598642790482537	0	0.00221626283149007	0	0	"positive regulation of macrophage activation;negative regulation of apoptotic process;MyD88-dependent toll-like receptor signaling pathway;virus-host interaction;positive regulation of apoptotic process;protein stabilization;positive regulation of T cell activation;T cell activation;B cell cytokine production;positive regulation of interferon-gamma production;positive regulation of T cell mediated immune response to tumor cell;positive regulation of interferon-alpha production;positive regulation of interleukin-12 production;positive regulation of interleukin-6 production;protein refolding;protein maturation;B cell proliferation;'de novo' protein folding;response to unfolded protein;isotype switching to IgG isotypes;chaperone-mediated protein complex assembly;positive regulation of interleukin-10 production;activation of cysteine-type endopeptidase activity involved in apoptotic process"	"coated pit;cell surface;secretory granule;plasma membrane part;cytosol;mitochondrial inner membrane;lipopolysaccharide receptor complex;coated vesicle;early endosome;mitochondrial matrix;extracellular space"	"ATP binding;cell surface binding;single-stranded DNA binding;unfolded protein binding;DNA replication origin binding;lipopolysaccharide binding;ATPase activity"
"P78371-1,P78371-2"	"P78371-[1,2]"	"TCPB_HUMAN"	"T-complex protein 1 subunit beta"	"CCT2"	26	80	0.00153801878711278	24	0	19	0	46	0	34	0	0	0	0	0	0	"'de novo' posttranslational protein folding;chaperone-mediated protein complex assembly"	"microtubule;cytosol;nucleus;chaperonin-containing T-complex"	"unfolded protein binding;ATP binding"
"P35527"	"P35527"	"K1C9_HUMAN"	"Keratin, type I cytoskeletal 9"	"KRT9"	25	262	0.00872921919848522	22	18	20	18	65	49	70	78	0.00431190909348897	0.0480771981736351	0.00961369569146241	0.0867279312104546	6	"intermediate filament organization;spermatogenesis;skin development"	"intermediate filament"	"structural constituent of cytoskeleton"
"P55072"	"P55072"	"TERA_HUMAN"	"Transitional endoplasmic reticulum ATPase"	"VCP"	25	73	0.00186313038866903	20	0	19	0	36	0	37	0	0.00184591519657894	0	0.00388643410177179	0	0	"aggresome assembly;retrograde protein transport;positive regulation of protein complex assembly;translesion synthesis;ER to Golgi vesicle-mediated transport;positive regulation of proteasomal ubiquitin-dependent protein catabolic process;double-strand break repair;protein homooligomerization;protein ubiquitination;activation of cysteine-type endopeptidase activity involved in apoptotic process;ER-associated protein catabolic process;endoplasmic reticulum unfolded protein response;protein N-linked glycosylation via asparagine"	"nucleus;proteasome complex;endoplasmic reticulum;site of double-strand break;cytosol"	"ATPase activity;ATP binding;polyubiquitin binding;lipid binding"
"Q14974"	"Q14974"	"IMB1_HUMAN"	"Importin subunit beta-1"	"KPNB1"	25	75	0.00176121586281108	24	0	8	0	62	0	13	0	0.00292504040472611	0	0.00125638826725795	0	0	"NLS-bearing substrate import into nucleus;intracellular transport of viral material;small molecule metabolic process;protein import into nucleus;cytokine-mediated signaling pathway;ribosomal protein import into nucleus;viral infectious cycle;apoptotic DNA fragmentation"	"cytosol;nucleoplasm;nuclear membrane;nuclear pore"	"protein transporter activity;zinc ion binding;nuclear localization sequence binding"
"Q6P2Q9"	"Q6P2Q9"	"PRP8_HUMAN"	"Pre-mRNA-processing-splicing factor 8"	"PRPF8"	25	47	0.000414062980748939	18	0	14	0	25	0	22	0	0.000442483835487338	0	0.000797664789543577	0	0	"mRNA splicing"	"nucleoplasm;U5 snRNP;nuclear speck;catalytic step 2 spliceosome"	"RNA binding"
"P13612"	"P13612"	"ITA4_HUMAN"	"Integrin alpha-4"	"ITGA4"	24	46	0.000916924475553429	24	0	0	0	46	0	0	0	0.00184213909960058	0	0	0	0	"heart development;regulation of immune response;face development;heterophilic cell-cell adhesion;blood coagulation;B cell differentiation;blood vessel remodeling;leukocyte cell-cell adhesion;chorio-allantoic fusion;leukocyte migration;integrin-mediated signaling pathway"	"plasma membrane;integrin complex;external side of plasma membrane;cell surface"	"metal ion binding"
"P25705"	"P25705"	"ATPA_HUMAN"	"ATP synthase subunit alpha, mitochondrial"	"ATP5A1"	24	91	0.00338510147606626	24	6	15	0	56	8	27	0	0.004185112935141	0.00877274367694153	0.00413355060469956	0	0	"mitochondrial ATP synthesis coupled proton transport;embryo development;lipid metabolic process;ATP hydrolysis coupled proton transport;respiratory electron transport chain;negative regulation of endothelial cell proliferation"	"mitochondrial proton-transporting ATP synthase complex;mitochondrial matrix;proton-transporting ATP synthase complex;plasma membrane"	"ATP binding;eukaryotic cell surface binding;MHC class I protein binding;proton-transporting ATPase activity;proton-transporting ATP synthase activity"
"P38646"	"P38646"	"GRP75_HUMAN"	"Stress-70 protein, mitochondrial"	"HSPA9"	24	61	0.00188974306088395	21	0	16	0	35	0	26	0	0.00218290899164117	0	0.00330415738485625	0	3	"protein export from nucleus;negative regulation of apoptotic process;cellular protein metabolic process;protein targeting to mitochondrion;protein folding"	"cell surface;mitochondrial nucleoid;nucleolus"	"unfolded protein binding;ATP binding"
"Q08211-1"	"Q08211-1"	"DHX9_HUMAN"	"ATP-dependent RNA helicase A"	"DHX9"	26	68	0.00110143943848746	26	0	13	0	47	0	21	0	0	0	0	0	0	"cellular response to heat;mRNA splicing;circadian rhythm;CRD-mediated mRNA stabilization"	"CRD-mediated mRNA stability complex;centrosome;nucleolus;nucleoplasm;ribonucleoprotein complex"	"ATP binding;ATP-dependent DNA helicase activity;ATP-dependent RNA helicase activity;double-stranded RNA binding;DNA binding"
"P08195-1,P08195-2,P08195-3,P08195-4"	"P08195-[1-4]"	"4F2_HUMAN"	"4F2 cell-surface antigen heavy chain"	"SLC3A2"	23	85	0.000693863138332874	23	0	7	0	75	0	10	0	0	0	0	0	0	"leucine import;carbohydrate metabolic process;blood coagulation;leukocyte migration;tryptophan transport;cell growth"	"plasma membrane;integral to membrane;cell surface;melanosome;apical plasma membrane"	"neutral amino acid transmembrane transporter activity;cation binding;catalytic activity;calcium:sodium antiporter activity"
"P12956"	"P12956"	"XRCC6_HUMAN"	"X-ray repair cross-complementing protein 6"	"XRCC6"	23	75	0.00253337454158047	23	0	14	0	48	0	27	0	0.00325737854065161	0	0.00375345399737086	0	0	"positive regulation of transcription from RNA polymerase II promoter;response to ionizing radiation;establishment of integrated proviral latency;transcription;positive regulation of neurogenesis;DNA ligation;telomere maintenance;V(D)J recombination;negative regulation of transcription;double-strand break repair via nonhomologous end joining"	"cytoplasm;Ku70:Ku80 complex;membrane;transcription factor complex;nonhomologous end joining complex;nuclear telomere cap complex"	"5'-deoxyribose-5-phosphate lyase activity;telomeric DNA binding;double-stranded DNA binding;transcription regulatory region DNA binding;damaged DNA binding;ATP-dependent DNA helicase activity;ATP binding"
"P14625"	"P14625"	"ENPL_HUMAN"	"Endoplasmin"	"HSP90B1"	28	78	0.00208381571383819	28	0	16	0	52	0	26	0	0.00273510271610753	0	0.00296498307226738	0	6	"activation of signaling protein activity involved in unfolded protein response;actin rod assembly;response to hypoxia;ER-associated protein catabolic process;negative regulation of apoptotic process;regulation of phosphoprotein phosphatase activity;protein transport;innate immune response;toll-like receptor signaling pathway;protein folding;cellular response to ATP;sequestering of calcium ion"	"perinuclear region of cytoplasm;endoplasmic reticulum lumen;cytosol;endoplasmic reticulum membrane;melanosome;plasma membrane part;midbody"	"protein phosphatase binding;calcium ion binding;virion binding;low-density lipoprotein particle receptor binding;RNA binding;ATP binding"
"P17987"	"P17987"	"TCPA_HUMAN"	"T-complex protein 1 subunit alpha"	"TCP1"	23	78	0.00288585989146656	23	0	18	0	44	0	34	0	0.00327056037827116	0	0.00517712619701313	0	0	"tubulin complex assembly;'de novo' posttranslational protein folding"	"chaperonin-containing T-complex;cell junction;nuclear heterochromatin;nucleus;centrosome;plasma membrane;cytosol;Golgi apparatus;pericentriolar material;microtubule"	"ATP binding;unfolded protein binding"
"P41252"	"P41252"	"SYIC_HUMAN"	"Isoleucine--tRNA ligase, cytoplasmic"	"IARS"	23	54	0.000880217170358325	13	0	19	0	23	0	31	0	0.000753204259424642	0	0.00207963426707649	0	0	"isoleucyl-tRNA aminoacylation;regulation of translational fidelity;tRNA aminoacylation for protein translation"	"cytosol;nucleus"	"aminoacyl-tRNA editing activity;isoleucine-tRNA ligase activity;ATP binding"
"P06576"	"P06576"	"ATPB_HUMAN"	"ATP synthase subunit beta, mitochondrial"	"ATP5B"	22	97	0.00377199834391388	22	0	11	0	66	0	31	0	0.00515623318615906	0	0.00496124469763806	0	0	"mitochondrial ATP synthesis coupled proton transport;lipid metabolic process;respiratory electron transport chain;ATP hydrolysis coupled proton transport;angiogenesis;negative regulation of cell adhesion involved in substrate-bound cell migration;regulation of intracellular pH"	"mitochondrial nucleoid;mitochondrial proton-transporting ATP synthase;plasma membrane;cell surface"	"MHC class I protein binding;proton-transporting ATP synthase activity;eukaryotic cell surface binding;ATP binding;proton-transporting ATPase activity"
"P19338"	"P19338"	"NUCL_HUMAN"	"Nucleolin"	"NCL"	22	78	0.00225991281641607	19	2	16	0	38	4	36	0	0.00221192060410093	0.00341642764320329	0.00429268259981005	0	0	"angiogenesis"	"nucleolus;nucleoplasm;ribonucleoprotein complex;cell cortex"	"nucleotide binding;telomeric DNA binding;RNA binding"
"P48643"	"P48643"	"TCPE_HUMAN"	"T-complex protein 1 subunit epsilon"	"CCT5"	22	63	0.00246649220494607	19	0	15	0	36	0	27	0	0.00286159736549138	0	0.00429450368269837	0	4	"response to virus;'de novo' posttranslational protein folding"	"chaperonin-containing T-complex;microtubule;centrosome;cytosol;nucleolus"	"ATP binding"
"P50991"	"P50991"	"TCPD_HUMAN"	"T-complex protein 1 subunit delta"	"CCT4"	22	72	0.00282930778240302	19	0	18	0	38	0	34	0	0.00303178306739702	0	0.00542795992163498	0	4	"'de novo' posttranslational protein folding"	"nucleus;chaperonin-containing T-complex;microtubule;cytosol;centrosome;melanosome"	"unfolded protein binding;ATP binding"
"P00558"	"P00558"	"PGK1_HUMAN"	"Phosphoglycerate kinase 1"	"PGK1"	26	92	0.00453844632504143	26	2	17	0	56	2	34	0	0.0055500418540359	0.00290846957634812	0.00690283492935084	0	0	"gluconeogenesis;glycolysis;small molecule metabolic process"	"cytosol"	"phosphoglycerate kinase activity;ATP binding"
"P11021"	"P11021"	"GRP78_HUMAN"	"78 kDa glucose-regulated protein"	"HSPA5"	21	56	0.00190875689809665	19	0	10	0	40	0	16	0	0.00272769872745699	0	0.00226399916768073	0	11	"activation of signaling protein activity involved in unfolded protein response;ER-associated protein catabolic process;negative regulation of transforming growth factor beta receptor signaling pathway;positive regulation of protein ubiquitination;cerebellar Purkinje cell layer development;platelet degranulation;regulation of protein folding in endoplasmic reticulum;cerebellum structural organization;cellular response to glucose starvation;negative regulation of apoptotic process;ER overload response;platelet activation"	"midbody;endoplasmic reticulum lumen;integral to endoplasmic reticulum membrane;endoplasmic reticulum-Golgi intermediate compartment;melanosome;endoplasmic reticulum chaperone complex;nucleus;cell surface"	"chaperone binding;unfolded protein binding;protein binding;misfolded protein binding;ribosome binding;calcium ion binding;ATPase activity;ATP binding"
"P13010"	"P13010"	"XRCC5_HUMAN"	"X-ray repair cross-complementing protein 5"	"XRCC5"	21	62	0.00174235256723125	21	0	11	0	47	0	15	0	0.00265357314347311	0	0.00173486147874837	0	0	"telomere maintenance;double-strand break repair via nonhomologous end joining;establishment of integrated proviral latency;cell proliferation;hematopoietic stem cell differentiation;transcription;positive regulation of neurogenesis;negative regulation of apoptotic process;negative regulation of transcription;DNA recombination"	"nuclear telomere cap complex;nonhomologous end joining complex;cytoplasm;Ku70:Ku80 complex;nucleoplasm"	"transcription regulatory region DNA binding;telomeric DNA binding;ATP binding;double-stranded DNA binding;ATP-dependent DNA helicase activity;damaged DNA binding"
"P35908"	"P35908"	"K22E_HUMAN"	"Keratin, type II cytoskeletal 2 epidermal"	"KRT2"	21	167	0.00742231487865829	21	10	18	16	49	24	49	45	0.00411918894700222	0.0333124289801583	0.00903494750165517	0.0677613407279151	116	"keratinization;keratinocyte migration;keratinocyte proliferation;keratinocyte activation"	"Golgi apparatus;keratin filament;intermediate filament"	"structural constituent of cytoskeleton"
"P61978-1,P61978-2,P61978-3"	"P61978-[1-3]"	"HNRPK_HUMAN"	"Heterogeneous nuclear ribonucleoprotein K"	"HNRNPK"	21	80	0.00118479489000049	21	0	13	0	53	0	27	0	0	0	0	0	0	"mRNA splicing;virus-host interaction;signal transduction;positive regulation of low-density lipoprotein particle receptor biosynthetic process;regulation of low-density lipoprotein particle clearance;positive regulation of receptor-mediated endocytosis;regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter"	"nuclear chromatin;cytoplasm;catalytic step 2 spliceosome;nucleoplasm"	"RNA polymerase II core promoter proximal region sequence-specific DNA binding;RNA binding;RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription;single-stranded DNA binding"
"P09874"	"P09874"	"PARP1_HUMAN"	"Poly [ADP-ribose] polymerase 1"	"PARP1"	20	37	0.000750618389815027	20	0	0	0	37	0	0	0	0.00150802331230487	0	0	0	0	"cellular response to insulin stimulus;transforming growth factor beta receptor signaling pathway;protein poly-ADP-ribosylation;double-strand break repair;DNA damage response;telomere maintenance;protein autoprocessing;base-excision repair;regulation of growth rate;transcription initiation from RNA polymerase II promoter;negative regulation of transcription from RNA polymerase II promoter"	"nuclear envelope;transcription factor complex;nucleolus"	"NAD+ ADP-ribosyltransferase activity;NAD binding;DNA binding;zinc ion binding"
"P20700"	"P20700"	"LMNB1_HUMAN"	"Lamin-B1"	"LMNB1"	20	36	0.00126374751876246	20	0	0	0	36	0	0	0	0.00253892090177922	0	0	0	0	"cellular component disassembly involved in execution phase of apoptosis"	"nucleoplasm;nuclear envelope;lamin filament;nuclear inner membrane"	"structural molecule activity"
"P35579-1"	"P35579-1"	"MYH9_HUMAN"	"Myosin-9"	"MYH9"	54	153	0.00203942002480467	42	0	42	0	70	0	83	0	0	0	0	0	43	"protein transport;angiogenesis;termination of G-protein coupled receptor signaling pathway;leukocyte migration;cytokinesis;actin cytoskeleton reorganization;establishment of meiotic spindle localization;monocyte differentiation;actin filament-based movement;membrane protein ectodomain proteolysis;in utero embryonic development;cell-cell adhesion;establishment of T cell polarity;meiotic metaphase I;blood vessel endothelial cell migration;meiotic spindle organization;uropod organization;integrin-mediated signaling pathway;platelet formation;regulation of cell shape;axon guidance;myoblast fusion"	"neuromuscular junction;spindle;extracellular vesicular exosome;immunological synapse;stress fiber;cleavage furrow;cell-cell adherens junction;plasma membrane;cytosol;uropod;ruffle;nucleus;cortical cytoskeleton;actomyosin contractile ring;protein complex;myosin II complex"	"actin filament binding;microfilament motor activity;ADP binding;protein anchor;ATP binding;actin-dependent ATPase activity;protein homodimerization activity"
"P40926"	"P40926"	"MDHM_HUMAN"	"Malate dehydrogenase, mitochondrial"	"MDH2"	19	67	0.00407768368521136	19	0	5	0	58	0	9	0	0.00709178530651481	0	0.00225429337711919	0	0	"NADH metabolic process;tricarboxylic acid cycle;cellular carbohydrate metabolic process;oxaloacetate metabolic process;gluconeogenesis;malate metabolic process;internal protein amino acid acetylation"	"mitochondrial matrix;nucleus;mitochondrial inner membrane;plasma membrane"	"malate dehydrogenase (NADP+) activity;L-malate dehydrogenase activity"
"O75533"	"O75533"	"SF3B1_HUMAN"	"Splicing factor 3B subunit 1"	"SF3B1"	18	46	0.000725664155499339	14	0	9	0	29	0	17	0	0.000919104077301382	0	0.00110371248678654	0	0	"anterior/posterior pattern specification;mRNA splicing"	"nuclear speck;U12-type spliceosomal complex;catalytic step 2 spliceosome;nucleoplasm"	"chromatin binding"
"P04075"	"P04075"	"ALDOA_HUMAN"	"Fructose-bisphosphate aldolase A"	"ALDOA"	18	194	0.0124934793090457	17	9	13	0	138	12	44	0	0.0177299229360632	0.0216577109524494	0.0120397368040352	0	30	"protein homotetramerization;platelet activation;striated muscle contraction;ATP biosynthetic process;gluconeogenesis;fructose metabolic process;glycolysis;actin filament organization;muscle cell homeostasis;regulation of cell shape;fructose 1;platelet degranulation"	"actin cytoskeleton;platelet alpha granule lumen;I band;cytosol;extracellular vesicular exosome"	"actin binding;fructose binding;fructose-bisphosphate aldolase activity;tubulin binding;identical protein binding"
"P46940"	"P46940"	"IQGA1_HUMAN"	"Ras GTPase-activating-like protein IQGAP1"	"IQGAP1"	18	40	0.000496584219134181	11	0	14	0	17	0	23	0	0.000424004727813394	0	0.00117514093165188	0	0	"small molecule metabolic process;signal transduction;energy reserve metabolic process;negative regulation of dephosphorylation;positive regulation of protein kinase activity;regulation of insulin secretion;positive regulation of Ras GTPase activity;small GTPase mediated signal transduction;glomerular visceral epithelial cell development;regulation of cytokine production;cellular response to calcium ion"	"ribonucleoprotein complex;microtubule;actin filament;cytoplasm;plasma membrane;lateral plasma membrane;neuron projection;slit diaphragm;nucleus;midbody;cell leading edge"	"calcium ion binding;calmodulin binding;Ras GTPase activator activity;GTPase activator activity;GTPase inhibitor activity"
"P54577"	"P54577"	"SYYC_HUMAN"	"Tyrosine--tRNA ligase, cytoplasmic"	"YARS"	18	35	0.00136360803923707	13	0	14	0	15	0	20	0	0.00117409063166242	0	0.00320686515768638	0	0	"tyrosyl-tRNA aminoacylation;apoptotic process"	"extracellular space;nucleus;cytosol"	"tRNA binding;interleukin-8 receptor binding;ATP binding;tyrosine-tRNA ligase activity;signal transducer activity"
"Q15046-1,Q15046-2"	"Q15046-[1,2]"	"SYK_HUMAN"	"Lysine--tRNA ligase"	"KARS"	18	44	0.000758060348589507	15	0	11	0	23	0	21	0	0	0	0	0	0	"diadenosine tetraphosphate biosynthetic process;lysyl-tRNA aminoacylation;virus-host interaction;tRNA processing"	"nucleus;extracellular region;mitochondrial matrix;plasma membrane;aminoacyl-tRNA synthetase multienzyme complex;cytosol;microtubule cytoskeleton"	"metal ion binding;tRNA binding;lysine-tRNA ligase activity;ATP binding;amino acid binding"
