"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc"
"40";40;"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";6;11;"6.51412376419474E-4";5;3;8;3;"9.5230508144958E-4";"7.4324168123923E-4";0;"nucleoplasm, cytosol, proteasome regulatory particle, lid subcomplex";0,00054320987654321
"42";42;"O00567";"O00567";"NOP56_HUMAN";"Nucleolar protein 56";"NOP56";5;7;"2.1633989238296E-4";5;0;7;0;"4.3486995512323E-4";"0";0;"pre-snoRNP complex, box C/D snoRNP complex, cytoplasm";0,000345679012345679
"45";45;"O00743";"O00743-1,O00743-3";"PPP6_HUMAN";"Serine/threonine-protein phosphatase 6 catalytic subunit";"PPP6C";2;2;"6.01901152578351E-5";0;2;0;2;"0";"0";0;"cytosol";9,87654320987654e-05
"48";48;"O14497";"O14497-2";"ARI1A_HUMAN";"AT-rich interactive domain-containing protein 1A";"ARID1A";2;2;"1.60682583401661E-5";0;2;0;2;"0";"0";0;"nuclear chromatin, nBAF complex, npBAF complex, SWI/SNF complex";9,87654320987654e-05
"53";53;"O14646";"O14646-1";"CHD1_HUMAN";"Chromodomain-helicase-DNA-binding protein 1";"CHD1";3;3;"3.43541242641211E-5";3;0;3;0;"0";"0";1;"cytoplasm, nucleus";0,000148148148148148
"54";54;"O14647";"O14647-1";"CHD2_HUMAN";"Chromodomain-helicase-DNA-binding protein 2";"CHD2";2;2;"2.00853229252076E-5";2;0;2;0;"0";"0";0;"nucleus";9,87654320987654e-05
"56";56;"O14686";"O14686-3";"MLL2_HUMAN";"Histone-lysine N-methyltransferase MLL2";"MLL2";3;3;"9.9465334045366E-6";3;0;3;0;"0";"0";0;"histone methyltransferase complex";0,000148148148148148
"57";57;"O14744";"O14744-1,O14744-2";"ANM5_HUMAN";"Protein arginine N-methyltransferase 5";"PRMT5";2;2;"2.88194429413496E-5";2;0;2;0;"0";"0";0;"cytosol, nucleus, methylosome";9,87654320987654e-05
"59";59;"O14776";"O14776-2";"TCRG1_HUMAN";"Transcription elongation regulator 1";"TCERG1";3;3;"5.01584293815293E-5";0;3;0;3;"0";"0";0;"nucleus";0,000148148148148148
"62";62;"O14802";"O14802";"RPC1_HUMAN";"DNA-directed RNA polymerase III subunit RPC1";"POLR3A";3;3;"3.96215506913087E-5";0;3;0;3;"0";"1.65758936103713E-4";0;"nucleoplasm, cytosol";0,000148148148148148
"67";67;"O14974";"O14974-1";"MYPT1_HUMAN";"Protein phosphatase 1 regulatory subunit 12A";"PPP1R12A";3;3;"5.34698596707953E-5";0;3;0;3;"0";"0";0;"PTW/PP1 phosphatase complex, kinetochore, nucleoplasm, contractile fiber, centrosome";0,000148148148148148
"68";68;"O14979";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";5;23;"3.80109225218413E-4";5;3;18;5;"0";"0";7;"cytoplasm, nucleus, spliceosomal complex";0,0011358024691358
"69";69;"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";6;9;"1.54268782803695E-4";6;0;9;0;"3.10099343749338E-4";"0";0;"Cajal body, annulate lamellae, ribonucleoprotein complex, kinetochore, nuclear envelope, cytosol, nucleoplasm, nucleolus";0,000444444444444444
"70";70;"O14981";"O14981";"BTAF1_HUMAN";"TATA-binding protein-associated factor 172";"BTAF1";8;36;"3.57429673083304E-4";3;6;6;30;"1.19746312296932E-4";"0.00124610557698303";0;"nucleus";0,00177777777777778
"73";73;"O15013";"O15013-6";"ARHGA_HUMAN";"Rho guanine nucleotide exchange factor 10";"ARHGEF10";2;2;"2.68195546437395E-5";2;0;2;0;"0";"0";0;"centrosome, cytosol";9,87654320987654e-05
"74";74;"O15015";"O15015-2";"ZN646_HUMAN";"Zinc finger protein 646";"ZNF646";2;2;"2.00743413380423E-5";0;2;0;2;"0";"0";0;"nucleus";9,87654320987654e-05
"78";78;"O15047";"O15047";"SET1A_HUMAN";"Histone-lysine N-methyltransferase SETD1A";"SETD1A";2;2;"2.15090628630811E-5";0;2;0;2;"0";"8.99843472697369E-5";0;"chromosome, Set1C/COMPASS complex, nuclear speck";9,87654320987654e-05
"81";81;"O15090";"O15090";"ZN536_HUMAN";"Zinc finger protein 536";"ZNF536";3;3;"4.2364581123784E-5";3;0;3;0;"8.51580505527029E-5";"0";0;"nucleus";0,000148148148148148
"91";91;"O15347";"O15347";"HMGB3_HUMAN";"High mobility group protein B3";"HMGB3";1;1;"9.17899257681986E-5";1;0;1;0;"1.84509109530856E-4";"0";0;"chromosome, nucleus";4,93827160493827e-05
"92";92;"O15355";"O15355";"PPM1G_HUMAN";"Protein phosphatase 1G";"PPM1G";13;34;"0.00114317123667354";13;0;34;0;"0.00229791564983484";"0";0;"cytoplasm, nucleus";0,00167901234567901
"93";93;"O15371";"O15371";"EIF3D_HUMAN";"Eukaryotic translation initiation factor 3 subunit D";"EIF3D";7;21;"7.03499431070135E-4";6;4;12;9;"8.08069092835867E-4";"0.00126134080940234";0;"cytosol, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex";0,00103703703703704
"96";96;"O15397";"O15397-2";"IPO8_HUMAN";"Importin-8";"IPO8";3;3;"6.42897515911861E-5";3;0;3;0;"0";"0";4;"nucleus, cytoplasm";0,000148148148148148
"99";99;"O15523";"O15523";"DDX3Y_HUMAN, O15523";"ATP-dependent RNA helicase DDX3Y, ATP-dependent RNA helicase DDX3Y [Homo sapiens] ";"DDX3Y";2;2;"4.62260953724405E-4";1;1;1;1;"0.00112117975647937";"5.12872907237471E-4";34;"nucleus, cytoplasm";9,87654320987654e-05
"100";100;"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";5;10;"2.3091805224704E-4";4;3;7;3;"3.24921702318489E-4";"2.89817510923473E-4";0;"nucleolus, U12-type spliceosomal complex";0,000493827160493827
"106";106;"O43290";"O43290-1";"SNUT1_HUMAN";"U4/U6.U5 tri-snRNP-associated protein 1";"SART1";2;2;"4.58949628840993E-5";0;2;0;2;"0";"0";0;"Cajal body, catalytic step 2 spliceosome, cytosol, Golgi apparatus";9,87654320987654e-05
"107";107;"O43324";"O43324";"MCA3_HUMAN";"Eukaryotic translation elongation factor 1 epsilon-1";"EEF1E1";2;2;"2.11011323605054E-4";0;2;0;2;"0";"8.82777475801384E-4";0;"nucleus, cytosol";9,87654320987654e-05
"108";108;"O43390";"O43390-1";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";11;24;"0.00116006225299461";10;3;21;3;"0";"0";18;"nucleoplasm, cytoplasm, catalytic step 2 spliceosome";0,00118518518518519
"109";109;"O43395";"O43395";"PRPF3_HUMAN";"U4/U6 small nuclear ribonucleoprotein Prp3";"PRPF3";2;3;"8.06353667070558E-5";2;0;3;0;"1.62087065473666E-4";"0";0;"cytoplasm, Cajal body, nuclear speck, spliceosomal complex, U4/U6 x U5 tri-snRNP complex";0,000148148148148148
"110";110;"O43432";"O43432-1,O43432-3";"IF4G3_HUMAN";"Eukaryotic translation initiation factor 4 gamma 3";"EIF4G3";1;1;"1.54431000240923E-5";0;1;0;1;"0";"0";5;"cytosol, eukaryotic translation initiation factor 4F complex";4,93827160493827e-05
"111";111;"O43497";"O43497-8";"CAC1G_HUMAN";"Voltage-dependent T-type calcium channel subunit alpha-1G";"CACNA1G";2;3;"2.31695227012701E-5";2;0;3;0;"0";"0";0;"voltage-gated calcium channel complex";0,000148148148148148
"112";112;"O43497";"O43497-5";"CAC1G_HUMAN";"Voltage-dependent T-type calcium channel subunit alpha-1G";"CACNA1G";3;4;"3.08926969350269E-5";3;0;4;0;"0";"0";0;"voltage-gated calcium channel complex";0,000197530864197531
"113";113;"O43593";"O43593-2";"HAIR_HUMAN";"Protein hairless";"HR";2;2;"3.08797058934226E-5";0;2;0;2;"0";"0";0;"nuclear body, nucleus";9,87654320987654e-05
"114";114;"O43670";"O43670-3";"ZN207_HUMAN";"Zinc finger protein 207";"ZNF207";1;2;"1.53623306725018E-4";1;0;2;0;"0";"0";4;"nucleus";9,87654320987654e-05
"115";115;"O43670";"O43670-1,O43670-2";"ZN207_HUMAN";"Zinc finger protein 207";"ZNF207";1;2;"7.68116533625092E-5";1;0;2;0;"0";"0";4;"nucleus";9,87654320987654e-05
"116";116;"O43684";"O43684-1,O43684-2";"BUB3_HUMAN";"Mitotic checkpoint protein BUB3";"BUB3";6;9;"2.51862601193228E-4";6;0;9;0;"0";"0";0;"nucleus, condensed chromosome kinetochore, cytosol, kinetochore";0,000444444444444444
"119";119;"O43719";"O43719";"HTSF1_HUMAN";"HIV Tat-specific factor 1";"HTATSF1";4;4;"9.72608484961044E-5";0;4;0;4;"0";"4.06896108051499E-4";0;"nucleus";0,000197530864197531
"122";122;"O43809";"O43809";"CPSF5_HUMAN";"Cleavage and polyadenylation specificity factor subunit 5";"NUDT21";6;15;"0.00121308271940351";4;4;9;6;"0.00146306782887904";"0.00202999930558732";0;"centrosome, mRNA cleavage factor complex, paraspeckles";0,000740740740740741
"123";123;"O60231";"O60231";"DHX16_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16";"DHX16";2;2;"3.52699042336978E-5";2;0;2;0;"7.08968720579659E-5";"0";0;"nucleus";9,87654320987654e-05
"125";125;"O60244";"O60244";"MED14_HUMAN";"Mediator of RNA polymerase II transcription subunit 14";"MED14";3;3;"3.78775484600544E-5";3;0;3;0;"7.61385596413437E-5";"0";0;"mediator complex";0,000148148148148148
"126";126;"O60264";"O60264";"SMCA5_HUMAN";"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5";"SMARCA5";5;7;"1.58800061690229E-4";5;2;5;2;"2.41159720156775E-4";"1.46010723183879E-4";3;"chromatin silencing complex, nucleolus, NURF complex, RSF complex, nucleoplasm, condensed chromosome";0,000345679012345679
"135";135;"O60502";"O60502-3";"NCOAT_HUMAN";"Bifunctional protein NCOAT";"MGEA5";2;2;"4.00829370166806E-5";2;0;2;0;"0";"0";0;"cytoplasm, nucleus";9,87654320987654e-05
"136";136;"O60506";"O60506-1,O60506-2";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";0;0;"0";0;0;0;0;"0";"0";49;"catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm, GAIT complex, histone pre-mRNA 3'end processing complex, endoplasmic reticulum";0
"137";137;"O60506";"O60506-3,O60506-4";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";1;4;"5.45140811143394E-4";1;1;2;2;"0";"0";45;"catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm, GAIT complex, histone pre-mRNA 3'end processing complex, endoplasmic reticulum";0,000197530864197531
"140";140;"O60673";"O60673-1";"DPOLZ_HUMAN";"DNA polymerase zeta catalytic subunit";"REV3L";2;3;"1.75955129268112E-5";0;2;0;3;"0";"0";0;"chromosome, nucleus, zeta DNA polymerase complex";0,000148148148148148
"142";142;"O60812";"O60812";"HNRCL_HUMAN";"Heterogeneous nuclear ribonucleoprotein C-like 1";"HNRNPCL1";1;1;"1.07767011823414E-4";0;1;0;1;"0";"5.48072519105979E-4";36;"ribonucleoprotein complex, nucleus";4,93827160493827e-05
"143";143;"O60814";"O60814,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B2F_HUMAN";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 2-F";"HIST1H2BD, HIST1H2BF,HIST1H2BE,HIST1H2BC,HIST1H2BG,HIST1H2BI, HIST1H2BH, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST2H2BF";2;10;"0.00104173984335835";2;0;10;0;"0.00269231913955406";"0";71;"nucleus, nucleosome";0,000493827160493827
"144";144;"O60840";"O60840-2";"CAC1F_HUMAN";"Voltage-dependent L-type calcium channel subunit alpha-1F";"CACNA1F";2;2;"1.85715580714615E-5";0;2;0;2;"0";"0";0;"perikaryon, voltage-gated calcium channel complex, photoreceptor outer segment";9,87654320987654e-05
"145";145;"O60841";"O60841";"IF2P_HUMAN";"Eukaryotic translation initiation factor 5B";"EIF5B";9;16;"2.4076046103134E-4";7;4;12;4;"3.62968740060701E-4";"2.5180865703187E-4";0;"cytosol";0,000790123456790123
"146";146;"O60869";"O60869-1,O60869-2";"EDF1_HUMAN";"Endothelial differentiation-related factor 1";"EDF1";4;8;"4.96161760909181E-4";4;0;8;0;"0";"0";0;"nucleus, cytoplasm, nucleolus";0,000395061728395062
"148";148;"O60934";"O60934";"NBN_HUMAN";"Nibrin";"NBN";2;2;"4.86949208319356E-5";2;0;2;0;"9.78828167272447E-5";"0";0;"nuclear inclusion body, Mre11 complex, site of double-strand break, replication fork, PML body, nuclear chromosome, telomeric region, nucleolus";9,87654320987654e-05
"149";149;"O60941";"O60941-3";"DTNB_HUMAN";"Dystrobrevin beta";"DTNB";2;2;"7.80775551457298E-5";2;0;2;0;"0";"0";1;"cytoplasm, synapse";9,87654320987654e-05
"150";150;"O75037";"O75037-1,O75037-2";"KI21B_HUMAN";"Kinesin-like protein KIF21B";"KIF21B";2;2;"1.12144075465117E-5";0;2;0;2;"0";"0";0;"microtubule, kinesin complex, cytoplasm";9,87654320987654e-05
"155";155;"O75153";"O75153";"CLU_HUMAN";"Clustered mitochondria protein homolog";"KIAA0664";1;1;"2.80488696006718E-5";0;1;0;1;"0";"1.17343988380016E-4";1;"cytoplasm";4,93827160493827e-05
"156";156;"O75179";"O75179-2";"ANR17_HUMAN";"Ankyrin repeat domain-containing protein 17";"ANKRD17";7;74;"5.49728678233719E-4";4;4;25;49;"0";"0";4;"nucleus, cytoplasm";0,00365432098765432
"157";157;"O75190";"O75190-3";"DNJB6_HUMAN";"DnaJ homolog subfamily B member 6";"DNAJB6";2;2;"1.12625675789201E-4";2;0;2;0;"0";"0";0;"nucleus, perinuclear region of cytoplasm, Z disc";9,87654320987654e-05
"162";162;"O75343";"O75343";"GCYB2_HUMAN";"Guanylate cyclase soluble subunit beta-2";"GUCY1B2";2;2;"5.95072452305987E-5";2;0;2;0;"1.19616926762305E-4";"0";0;"cytoplasm";9,87654320987654e-05
"163";163;"O75367";"O75367-1,O75367-2,O75367-3";"H2AY_HUMAN";"Core histone macro-H2A.1";"H2AFY";4;6;"9.86988449120415E-5";4;0;6;0;"0";"0";0;"condensed chromosome, sex chromatin, Barr body, nucleosome";0,000296296296296296
"172";172;"O75419";"O75419-1";"CDC45_HUMAN";"Cell division control protein 45 homolog";"CDC45";2;11;"3.56780630194411E-4";2;2;5;6;"0";"0";0;"nucleoplasm, centrosome, cytoplasm";0,00054320987654321
"174";174;"O75475";"O75475-1,O75475-2,O75475-3";"PSIP1_HUMAN";"PC4 and SFRS1-interacting protein";"PSIP1";2;6;"6.92754156741121E-5";2;0;6;0;"0";"0";0;"cytosol, nucleoplasm, nuclear heterochromatin, transcriptionally active chromatin, nuclear periphery";0,000296296296296296
"175";175;"O75531";"O75531";"BAF_HUMAN";"Barrier-to-autointegration factor";"BANF1";4;9;"0.0018564254649748";4;0;9;0;"0.00373164491186001";"0";0;"cytosol, chromosome, nucleoplasm";0,000444444444444444
"176";176;"O75533";"O75533";"SF3B1_HUMAN";"Splicing factor 3B subunit 1";"SF3B1";21;58;"8.16536149471705E-4";20;8;39;19;"0.00110365878400359";"0.00111904230636479";0;"U12-type spliceosomal complex, nuclear speck, catalytic step 2 spliceosome, nucleoplasm";0,0028641975308642
"177";177;"O75534";"O75534-1,O75534-2";"CSDE1_HUMAN";"Cold shock domain-containing protein E1";"CSDE1";3;3;"3.45074908903002E-5";3;0;3;0;"0";"0";0;"CRD-mediated mRNA stability complex";0,000148148148148148
"179";179;"O75592";"O75592-1";"MYCB2_HUMAN";"Probable E3 ubiquitin-protein ligase MYCBP2";"MYCBP2";6;8;"3.16516985407581E-5";3;3;5;3;"0";"0";0;"microtubule cytoskeleton, axon, nucleus";0,000395061728395062
"180";180;"O75643";"O75643-2";"U520_HUMAN";"U5 small nuclear ribonucleoprotein 200 kDa helicase";"SNRNP200";0;0;"0";0;0;0;0;"0";"0";12;"nucleoplasm, catalytic step 2 spliceosome, U5 snRNP";0
"181";181;"O75643";"O75643-1";"U520_HUMAN";"U5 small nuclear ribonucleoprotein 200 kDa helicase";"SNRNP200";15;26;"3.09404244162467E-4";10;7;18;8;"0";"0";10;"nucleoplasm, catalytic step 2 spliceosome, U5 snRNP";0,00128395061728395
"182";182;"O75691";"O75691";"UTP20_HUMAN";"Small subunit processome component 20 homolog";"UTP20";5;7;"5.12690588771107E-5";4;2;5;2;"7.57154591560323E-5";"5.51537812529411E-5";1;"small-subunit processome, nucleoplasm, preribosome, small subunit precursor, cytoplasm, nucleolus, 90S preribosome";0,000345679012345679
"183";183;"O75821";"O75821";"EIF3G_HUMAN";"Eukaryotic translation initiation factor 3 subunit G";"EIF3G";6;21;"0.00120474277570761";6;4;12;9;"0.00138381832148142";"0.00216004613610151";0;"cytosol, perinuclear region of cytoplasm, eukaryotic 48S preinitiation complex, eukaryotic translation initiation factor 3 complex, nucleus, eukaryotic 43S preinitiation complex";0,00103703703703704
"184";184;"O75822";"O75822";"EIF3J_HUMAN";"Eukaryotic translation initiation factor 3 subunit J";"EIF3J";6;12;"8.53859774587893E-4";3;5;3;9;"4.2909095239734E-4";"0.0026791269905135";0;"eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex, cytosol";0,000592592592592593
"191";191;"O75937";"O75937";"DNJC8_HUMAN";"DnaJ homolog subfamily C member 8";"DNAJC8";3;3;"2.17683618422605E-4";0;3;0;3;"0";"9.10691388079689E-4";0;"nucleoplasm";0,000148148148148148
"192";192;"O75947";"O75947-1";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";6;20;"0.00228049505014158";6;2;15;5;"0";"0";0;"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";0,000987654320987654
"194";194;"O75964";"O75964";"ATP5L_HUMAN";"ATP synthase subunit g, mitochondrial";"ATP5L";3;6;"0.00106939719341591";3;0;6;0;"0.00214962069356337";"0";0;"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";0,000296296296296296
"196";196;"O76013";"O76013-1";"KRT36_HUMAN";"Keratin, type I cuticular Ha6";"KRT36";1;1;"6.00040805999536E-5";1;0;1;0;"0";"0";8;"intermediate filament";4,93827160493827e-05
"197";197;"O76014";"O76014";"KRT37_HUMAN";"Keratin, type I cuticular Ha7";"KRT37";1;2;"8.39327976096147E-5";0;1;0;2;"0";"3.48637806963962E-4";7;"intermediate filament";9,87654320987654e-05
"198";198;"O76015";"O76015";"KRT38_HUMAN";"Keratin, type I cuticular Ha8";"KRT38";1;1;"4.1322177770523E-5";1;0;1;0;"8.39222720413251E-5";"0";7;"intermediate filament";4,93827160493827e-05
"200";200;"O76074";"O76074-1";"PDE5A_HUMAN";"cGMP-specific 3',5'-cyclic phosphodiesterase";"PDE5A";2;2;"4.19611089226051E-5";2;0;2;0;"0";"0";0;"cytosol";9,87654320987654e-05
"203";203;"O94776";"O94776";"MTA2_HUMAN";"Metastasis-associated protein MTA2";"MTA2";5;7;"1.92374095921374E-4";5;0;7;0;"3.86695738537723E-4";"0";0;"transcription factor complex, NuRD complex";0,000345679012345679
"208";208;"O94903";"O94903";"PROSC_HUMAN";"Proline synthase co-transcribed bacterial homolog protein";"PROSC";2;4;"2.67025238598396E-4";2;0;4;0;"5.36753773180673E-4";"0";0;"cytoplasm, mitochondrion";0,000197530864197531
"210";210;"O94906";"O94906-1,O94906-2";"PRP6_HUMAN";"Pre-mRNA-processing factor 6";"PRPF6";4;7;"6.82815600826132E-5";3;2;3;4;"0";"0";0;"nucleoplasm, nuclear speck, U4/U6 snRNP, U5 snRNP, U4/U6 x U5 tri-snRNP complex, catalytic step 2 spliceosome";0,000345679012345679
"212";212;"O94972";"O94972-1";"TRI37_HUMAN";"E3 ubiquitin-protein ligase TRIM37";"TRIM37";2;3;"5.71306591918248E-5";0;2;0;3;"0";"0";0;"perinuclear region of cytoplasm, aggresome, cytosol, peroxisome";0,000148148148148148
"214";214;"O95180";"O95180-1";"CAC1H_HUMAN";"Voltage-dependent T-type calcium channel subunit alpha-1H";"CACNA1H";4;4;"3.12077945663233E-5";4;0;4;0;"0";"0";0;"caveola, sarcolemma, voltage-gated calcium channel complex";0,000197530864197531
"223";223;"O95373";"O95373";"IPO7_HUMAN";"Importin-7";"IPO7";7;16;"3.42548348876352E-4";7;0;16;0;"6.8856457060496E-4";"0";4;"Golgi apparatus, nuclear pore";0,000790123456790123
"224";224;"O95382";"O95382-3";"M3K6_HUMAN";"Mitogen-activated protein kinase kinase kinase 6";"MAP3K6";2;2;"2.85061881267697E-5";0;2;0;2;"0";"0";0;"cytoplasm";9,87654320987654e-05
"229";229;"O95613";"O95613-2";"PCNT_HUMAN";"Pericentrin";"PCNT";2;2;"1.10059863031413E-5";2;0;2;0;"0";"0";0;"centrosome, centriole, microtubule, intercellular bridge, cytosol";9,87654320987654e-05
"230";230;"O95613";"O95613-1";"PCNT_HUMAN";"Pericentrin";"PCNT";4;4;"2.20119726062826E-5";0;4;0;4;"0";"0";0;"centrosome, centriole, microtubule, intercellular bridge, cytosol";0,000197530864197531
"231";231;"O95628";"O95628-2";"CNOT4_HUMAN";"CCR4-NOT transcription complex subunit 4";"CNOT4";2;3;"9.57807921059463E-5";0;2;0;3;"0";"0";0;"cytosol, nucleus";0,000148148148148148
"232";232;"O95671";"O95671-1";"ASML_HUMAN";"N-acetylserotonin O-methyltransferase-like protein";"ASMTL";3;3;"8.8685918616617E-5";3;0;3;0;"0";"0";0;"cytoplasm";0,000148148148148148
"233";233;"O95678";"O95678";"K2C75_HUMAN";"Keratin, type II cytoskeletal 75";"KRT75";2;2;"9.87126080777571E-5";1;1;1;1;"1.41310297953461E-4";"2.01755043096073E-4";26;"keratin filament";9,87654320987654e-05
