"";"protein.acs";"X.1";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5134.1.id.csv";"peptide.count.P5134.2.id.csv";"spectra.count.P5134.1.id.csv";"spectra.count.P5134.2.id.csv";"dNSAF.P5134.1.id.csv";"dNSAF.P5134.2.id.csv";"Go.Cc";"norm.sc";"Go.Mf"
"32";"O15427";75;75;"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";7;20;0,00118369367805552;7;6;11;9;0,00177739612720274;0,00142566080858255;"integral component of plasma membrane, plasma membrane, actin cytoskeleton, nuclear membrane, membrane";0,00145180023228804;"symporter activity, monocarboxylic acid transmembrane transporter activity, poly(A) RNA binding, secondary active monocarboxylate transmembrane transporter activity"
"33";"O15511";76;76;"O15511-1";"ARPC5_HUMAN";"Actin-related protein 2/3 complex subunit 5";"ARPC5";4;8;0,00145805976237303;3;4;4;4;NA;NA;"cytosol, actin cytoskeleton, cell projection, extracellular vesicular exosome, cytoplasm, Arp2/3 protein complex";0,000580720092915215;"protein binding, structural constituent of cytoskeleton"
"34";"O43175";80;80;"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";3;6;0,000309803504856933;3;3;3;3;0,000422900835314314;0,000414591792364532;"extracellular vesicular exosome, cytosol";0,000435540069686411;"electron carrier activity, phosphoglycerate dehydrogenase activity, NAD binding"
"35";"O43184";81;81;"O43184-1";"ADA12_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 12";"ADAM12";2;2;6,05519868312231e-05;NA;2;NA;2;NA;NA;"integral component of membrane, plasma membrane, extracellular region";0,000145180023228804;"metallopeptidase activity, SH3 domain binding, metalloendopeptidase activity, protein binding, zinc ion binding"
"36";"O43242";82;82;"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";6;10;0,000515372247467995;4;4;6;4;0,000844217772369023;0,000551753870987005;"proteasome accessory complex, nucleoplasm, cytoplasm, extracellular vesicular exosome, proteasome complex, nucleus, cytosol";0,000725900116144019;"enzyme regulator activity"
"37";"O43278";83;83;"O43278-1";"SPIT1_HUMAN";"Kunitz-type protease inhibitor 1";"SPINT1";8;11;0,000572267784806616;8;3;8;3;NA;NA;"membrane, extracellular space, extracellular vesicular exosome, extracellular region";0,00079849012775842;"serine-type endopeptidase inhibitor activity"
"38";"O43497";86;86;"O43497-8";"CAC1G_HUMAN";"Voltage-dependent T-type calcium channel subunit alpha-1G";"CACNA1G";2;3;3,47339646800054e-05;NA;2;NA;3;NA;NA;"voltage-gated calcium channel complex, plasma membrane";0,000217770034843206;"scaffold protein binding, low voltage-gated calcium channel activity"
"39";"O43497";87;87;"O43497-5";"CAC1G_HUMAN";"Voltage-dependent T-type calcium channel subunit alpha-1G";"CACNA1G";3;4;4,63119529066738e-05;NA;3;NA;4;NA;NA;"voltage-gated calcium channel complex, plasma membrane";0,000290360046457607;"scaffold protein binding, low voltage-gated calcium channel activity"
"40";"O43707";92;92;"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";3;4;0,000193340965197214;3;1;3;1;0,000371140744054658;0,000161710519817267;"ribonucleoprotein complex, neuron projection, extracellular vesicular exosome, nucleus, protein complex, cell-cell junction, Z disc, extracellular space, extracellular region, perinuclear region of cytoplasm, stress fiber, cortical cytoskeleton, pseudopodium, cytoplasm, platelet alpha granule lumen";0,000290360046457607;"poly(A) RNA binding, nucleoside binding, protein homodimerization activity, actin filament binding, calcium ion binding, integrin binding, protein binding, actin binding"
"41";"O43776";94;94;"O43776";"SYNC_HUMAN";"Asparagine--tRNA ligase, cytoplasmic";"NARS";11;20;0,00100441160637923;10;8;12;8;0,00164530033009145;0,00107531593834694;"cytosol, extracellular vesicular exosome, mitochondrion, cytoplasm";0,00145180023228804;"ATP binding, asparagine-tRNA ligase activity, nucleic acid binding"
"42";"O60271";99;99;"O60271-2";"JIP4_HUMAN";"C-Jun-amino-terminal kinase-interacting protein 4";"SPAG9";3;3;6,25001014718946e-05;NA;3;NA;3;NA;NA;"extracellular vesicular exosome, cytosol, acrosomal vesicle, integral component of membrane, cytoplasm, perinuclear region of cytoplasm";0,000217770034843206;"protein binding"
"43";"O60312";100;100;"O60312";"AT10A_HUMAN";"Probable phospholipid-transporting ATPase VA";"ATP10A";2;2;3,67189833419492e-05;NA;2;NA;2;NA;9,82777075073585e-05;"integral component of membrane, endoplasmic reticulum, endoplasmic reticulum membrane, plasma membrane";0,000145180023228804;"phospholipid-translocating ATPase activity, ATP binding, cation-transporting ATPase activity, protein binding, magnesium ion binding"
"44";"O60488";102;102;"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";6;9;0,000229174244445387;5;4;5;4;NA;NA;"extracellular vesicular exosome, neuronal cell body, mitochondrial outer membrane, peroxisome, peroxisomal membrane, cytoplasm, integral component of membrane, mitochondrial membrane, endoplasmic reticulum membrane, lipid particle";0,000653310104529617;"ATP binding, very long-chain fatty acid-CoA ligase activity, long-chain fatty acid-CoA ligase activity, arachidonate-CoA ligase activity"
"45";"O60669";107;107;"O60669";"MOT2_HUMAN";"Monocarboxylate transporter 2";"SLC16A7";1;1;5,75750586083492e-05;NA;1;NA;1;NA;0,000154098622963944;"integral component of plasma membrane, plasma membrane";7,25900116144019e-05;"symporter activity, lactate transmembrane transporter activity, secondary active monocarboxylate transmembrane transporter activity, pyruvate secondary active transmembrane transporter activity, pyruvate transmembrane transporter activity"
"46";"O60814";109;109;"O60814,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B2F_HUMAN";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 2-F";"HIST1H2BD, HIST1H2BH, HIST1H2BI,HIST1H2BG,HIST1H2BC,HIST1H2BE,HIST1H2BF, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST2H2BF";2;10;0,00156169617266133;2;2;6;4;0,00302415652131511;0,00247200747912954;"nucleosome, nucleus, nucleoplasm, extracellular space";0,000725900116144019;"DNA binding"
"47";"O60869";111;111;"O60869-1,O60869-2";"EDF1_HUMAN";"Endothelial differentiation-related factor 1";"EDF1";4;8;0,000743807513913268;4;4;4;4;NA;NA;"extracellular vesicular exosome, nucleolus, nucleus, intracellular, cytoplasm";0,000580720092915215;"protein binding, poly(A) RNA binding, transcription coactivator activity, sequence-specific DNA binding"
"48";"O60884";112;112;"O60884";"DNJA2_HUMAN";"DnaJ homolog subfamily A member 2";"DNAJA2";3;3;0,000200394742826147;3;NA;3;NA;0,00054710229422944;NA;"cytosol, membrane, extracellular vesicular exosome";0,000217770034843206;"metal ion binding, protein binding, ATP binding, unfolded protein binding, chaperone binding"
"49";"O75038";115;115;"O75038-3";"PLCH2_HUMAN";"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2";"PLCH2";3;4;7,77425932621212e-05;NA;3;NA;4;NA;NA;"plasma membrane, cytoplasm";0,000290360046457607;"signal transducer activity, calcium ion binding, phosphatidylinositol phospholipase C activity"
"50";"O75106";116;116;"O75106-2";"AOC2_HUMAN";"Retina-specific copper amine oxidase";"AOC2";2;2;7,2806555594685e-05;NA;2;NA;2;NA;NA;"plasma membrane, cytoplasm";0,000145180023228804;"copper ion binding, electron carrier activity, quinone binding, phenethylamine:oxygen oxidoreductase (deaminating) activity, tryptamine:oxygen oxidoreductase (deaminating) activity, aliphatic-amine oxidase activity, primary amine oxidase activity, aminoacetone:oxygen oxidoreductase(deaminating) activity"
"51";"O75144";117;117;"O75144-1,O75144-2";"ICOSL_HUMAN";"ICOS ligand";"ICOSLG";6;13;0,000592336778464043;6;4;8;5;NA;NA;"integral component of plasma membrane, plasma membrane, extracellular vesicular exosome, integral component of membrane, external side of plasma membrane";0,000943670150987224;"receptor binding"
"52";"O75323";121;121;"O75323-1";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";3;3;0,000288680538616688;NA;3;NA;3;NA;NA;"membrane, integral component of plasma membrane, mitochondrion";0,000217770034843206;"protein binding"
"53";"O75367";123;123;"O75367-1,O75367-2,O75367-3";"H2AY_HUMAN";"Core histone macro-H2A.1";"H2AFY";4;6;0,00014796170975694;3;3;3;3;NA;NA;"nuclear chromatin, nucleus, Barr body, nucleosome, extracellular vesicular exosome, condensed chromosome, nucleolus, sex chromatin";0,000435540069686411;"transcription regulatory region DNA binding, protein kinase binding, protein binding, double-stranded methylated DNA binding, rDNA binding, chromatin DNA binding, protein serine/threonine kinase inhibitor activity, DNA binding"
"54";"O75369";125;125;"O75369-8";"FLNB_HUMAN";"Filamin-B";"FLNB";1;1;2,04925830721204e-05;0;1;0;1;NA;NA;"stress fiber, Z disc, plasma membrane, cytosol, actin cytoskeleton, integral component of membrane, focal adhesion, extracellular vesicular exosome, cytoplasm, cell cortex";7,25900116144019e-05;"identical protein binding, protein binding, poly(A) RNA binding, actin binding"
"55";"O75369";124;124;"O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";1;1;2,04925830721204e-05;0;1;0;1;NA;NA;"stress fiber, Z disc, plasma membrane, cytosol, actin cytoskeleton, integral component of membrane, focal adhesion, extracellular vesicular exosome, cytoplasm, cell cortex";7,25900116144019e-05;"identical protein binding, protein binding, poly(A) RNA binding, actin binding"
"56";"O75369";127;127;"O75369-4";"FLNB_HUMAN";"Filamin-B";"FLNB";1;1;2,04925830721204e-05;0;1;0;1;NA;NA;"stress fiber, Z disc, plasma membrane, cytosol, actin cytoskeleton, integral component of membrane, focal adhesion, extracellular vesicular exosome, cytoplasm, cell cortex";7,25900116144019e-05;"identical protein binding, protein binding, poly(A) RNA binding, actin binding"
"57";"O75369";126;126;"O75369-7";"FLNB_HUMAN";"Filamin-B";"FLNB";4;5;9,91576600263892e-05;4;1;4;1;NA;NA;"stress fiber, Z disc, plasma membrane, cytosol, actin cytoskeleton, integral component of membrane, focal adhesion, extracellular vesicular exosome, cytoplasm, cell cortex";0,000362950058072009;"identical protein binding, protein binding, poly(A) RNA binding, actin binding"
"58";"O75390";128;128;"O75390";"CISY_HUMAN";"Citrate synthase, mitochondrial";"CS";7;13;0,000767749815863266;4;7;5;8;0,000806173623828789;0,00126453462277708;"nucleus, mitochondrial matrix, extracellular vesicular exosome, mitochondrion";0,000943670150987224;"poly(A) RNA binding, citrate (Si)-synthase activity"
"59";"O75531";132;132;"O75531";"BAF_HUMAN";"Barrier-to-autointegration factor";"BANF1";4;9;0,00278301013632717;3;3;6;3;0,00506530663421414;0,00248289241944152;"cytoplasm, chromosome, cytosol, extracellular vesicular exosome, nucleoplasm, nucleus";0,000653310104529617;"DNA binding, protein binding"
"60";"O75534";134;134;"O75534-1,O75534-2";"CSDE1_HUMAN";"Cold shock domain-containing protein E1";"CSDE1";3;3;5,1730973712013e-05;NA;3;NA;3;NA;NA;"Golgi apparatus, cytoplasm, CRD-mediated mRNA stability complex, plasma membrane";0,000217770034843206;"poly(A) RNA binding, DNA binding"
"61";"O75581";135;135;"O75581";"LRP6_HUMAN";"Low-density lipoprotein receptor-related protein 6";"LRP6";3;3;5,11857619617934e-05;3;NA;3;NA;0,000139743425432442;NA;"plasma membrane, early endosome, cytoplasmic vesicle, integral component of membrane, endoplasmic reticulum, cell surface, synapse, receptor complex, neuronal cell body";0,000217770034843206;"toxin transporter activity, protein binding, low-density lipoprotein receptor activity, receptor binding, coreceptor activity involved in Wnt signaling pathway, Wnt-activated receptor activity, protein homodimerization activity, frizzled binding, Wnt-protein binding, kinase inhibitor activity, apolipoprotein binding"
"62";"O75947";142;142;"O75947-1";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";6;15;0,00256405695789977;5;4;8;7;NA;NA;"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o), mitochondrial inner membrane, mitochondrion, extracellular vesicular exosome";0,00108885017421603;"hydrogen ion transmembrane transporter activity, transmembrane transporter activity"
"63";"O75955";143;143;"O75955";"FLOT1_HUMAN";"Flotillin-1";"FLOT1";2;2;0,000128903409905344;NA;2;NA;2;NA;0,000345007689820914;"melanosome, microtubule organizing center, caveola, flotillin complex, integral component of membrane, sarcolemma, endosome, centriolar satellite, lysosomal membrane, membrane raft, extracellular vesicular exosome";0,000145180023228804;"protein binding"
"64";"O75964";144;144;"O75964";"ATP5L_HUMAN";"ATP synthase subunit g, mitochondrial";"ATP5L";3;6;0,00160315794260918;3;2;4;2;0,00291787890255701;0,00143027459760709;"extracellular vesicular exosome, mitochondrial proton-transporting ATP synthase complex, mitochondrial inner membrane, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o), mitochondrion";0,000435540069686411;"hydrogen ion transmembrane transporter activity, transmembrane transporter activity"
"65";"O75970";145;145;"O75970-1";"MPDZ_HUMAN";"Multiple PDZ domain protein";"MPDZ";3;3;3,98853304562187e-05;NA;3;NA;3;NA;NA;"cytoplasm, apicolateral plasma membrane, Schmidt-Lanterman incisure, dendrite, postsynaptic membrane, cytoplasmic vesicle, postsynaptic density, apical plasma membrane, tight junction";0,000217770034843206;"protein C-terminus binding, protein binding"
"66";"O94804";153;153;"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";6;10;0,000310152644794789;5;5;5;5;0,000452778643410728;0,000380470773640316;"cytoplasm, extracellular vesicular exosome, plasma membrane";0,000725900116144019;"identical protein binding, receptor signaling protein serine/threonine kinase activity, protein serine/threonine kinase activity, ATP binding, polo kinase kinase activity, protein homodimerization activity, protein binding"
"67";"O94856";155;155;"O94856-6";"NFASC_HUMAN";"Neurofascin";"NFASC";2;2;4,08624766366606e-05;NA;2;NA;2;NA;NA;"axon initial segment, node of Ranvier, intracellular, integral component of membrane, paranode region of axon, extracellular vesicular exosome, plasma membrane, paranodal junction";0,000145180023228804;"protein binding"
"68";"O94903";156;156;"O94903";"PROSC_HUMAN";"Proline synthase co-transcribed bacterial homolog protein";"PROSC";2;4;0,000400303680215141;2;2;2;2;0,000546439139933404;0,000535702849285565;"cytoplasm, intracellular, extracellular vesicular exosome, mitochondrion";0,000290360046457607;"pyridoxal phosphate binding"
"69";"O94905";157;157;"O94905-1";"ERLN2_HUMAN";"Erlin-2";"ERLIN2";5;10;0,000811825310170823;4;3;6;4;NA;NA;"extracellular vesicular exosome, endoplasmic reticulum membrane, protein complex, endoplasmic reticulum, integral component of membrane";0,000725900116144019;"protein binding"
"70";"O95180";160;160;"O95180-1";"CAC1H_HUMAN";"Voltage-dependent T-type calcium channel subunit alpha-1H";"CACNA1H";4;4;4,67843230170691e-05;NA;4;NA;4;NA;NA;"caveola, plasma membrane, voltage-gated calcium channel complex, integral component of membrane, sarcolemma";0,000290360046457607;"low voltage-gated calcium channel activity, metal ion binding, scaffold protein binding"
"71";"O95255";163;163;"O95255";"MRP6_HUMAN";"Multidrug resistance-associated protein 6";"ABCC6";1;1;2,95004606501418e-05;NA;1;NA;1;NA;7,89574595818064e-05;"integral component of membrane, basolateral plasma membrane, lateral plasma membrane, plasma membrane, apical plasma membrane";7,25900116144019e-05;"ATP binding, ATPase activity, coupled to transmembrane movement of substances, transporter activity"
