"";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc"
"11";"A5YKK6";"A5YKK6-1";"CNOT1_HUMAN";"CCR4-NOT transcription complex subunit 1";"CNOT1";"2";"2";"1.54528494559257E-5";"2";"0";"2";"0";"0";"0";"0";"CCR4-NOT complex, nucleus, peroxisomal membrane, cytoplasmic mRNA processing body, cytosol, extracellular space"
"12";"A6H8Y1";"A6H8Y1-1";"BDP1_HUMAN";"Transcription factor TFIIIB component B'' homolog";"BDP1";"2";"2";"2.33206112215952E-5";"0";"2";"0";"2";"0";"0";"2";"nucleoplasm"
"13";"A6H8Y1";"A6H8Y1-7";"BDP1_HUMAN";"Transcription factor TFIIIB component B'' homolog";"BDP1";"1";"1";"1.16603056107976E-5";"0";"1";"0";"1";"0";"0";"2";"nucleoplasm"
"14";"A6NCI4";"A6NCI4-1";"VWA3A_HUMAN";"von Willebrand factor A domain-containing protein 3A";"VWA3A";"2";"2";"3.10101100568238E-5";"0";"2";"0";"2";"0";"0";"0";"extracellular region"
"15";"A6NHL2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";"1";"4";"1.77534530520545E-4";"1";"1";"2";"2";"0";"0";"25";"cytoplasm, microtubule"
"16";"A6NHR9";"A6NHR9-2";"SMHD1_HUMAN";"Structural maintenance of chromosomes flexible hinge domain-containing protein 1";"SMCHD1";"2";"2";"1.83122046420346E-5";"2";"0";"2";"0";"0";"0";"0";"Barr body"
"17";"A6NJ46";"A6NJ46-1";"NKX63_HUMAN";"Homeobox protein Nkx-6.3";"NKX6-3";"1";"1";"9.5666050216631E-5";"1";"0";"1";"0";"0";"0";"5";"nucleus"
"18";"A6NJT0";"A6NJT0";"UNC4_HUMAN";"Homeobox protein unc-4 homolog";"UNCX";"2";"2";"6.91449534977014E-5";"2";"0";"2";"0";"1.38989913017594E-4";"0";"0";"nucleus"
"19";"A6NK75";"A6NK75";"ZNF98_HUMAN";"Zinc finger protein 98";"ZNF98";"3";"3";"9.62831389176908E-5";"3";"0";"3";"0";"1.93541023983416E-4";"0";"0";"nucleus"
"20";"A6NNC1";"A6NNC1";"P12LL_HUMAN";"Putative POM121-like protein 1-like";"";"1";"1";"2.81407241764265E-5";"1";"0";"1";"0";"6.17087322845673E-5";"0";"3";"integral component of membrane"
"21";"A7KAX9";"A7KAX9-2";"RHG32_HUMAN";"Rho GTPase-activating protein 32";"ARHGAP32";"2";"3";"2.63890538864011E-5";"0";"2";"0";"3";"0";"0";"0";"cell junction, postsynaptic membrane, endosome membrane, dendritic spine, cytosol, cell cortex, Golgi membrane, endoplasmic reticulum membrane, actin cytoskeleton, postsynaptic density"
"22";"A7MBM2";"A7MBM2";"DISP2_HUMAN";"Protein dispatched homolog 2";"DISP2";"2";"2";"2.62069738096213E-5";"2";"0";"2";"0";"5.26792603942487E-5";"0";"0";"integral component of membrane"
"23";"A8TX70";"A8TX70-1";"CO6A5_HUMAN";"Collagen alpha-5(VI) chain";"COL6A5";"2";"2";"1.40405240180801E-5";"2";"0";"2";"0";"0";"0";"0";"collagen, extracellular region"
"24";"B0I1T2";"B0I1T2-4";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";"1";"2";"4.80890246329789E-5";"1";"0";"2";"0";"0";"0";"1";"myosin complex, plasma membrane, extracellular vesicular exosome"
"25";"B0I1T2";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";"1";"1";"2.40445123164895E-5";"1";"0";"1";"0";"0";"0";"1";"myosin complex, plasma membrane, extracellular vesicular exosome"
"26";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";"3";"8";"2.23197387886197E-4";"3";"0";"8";"0";"4.48654369679894E-4";"0";"0";"mitochondrion, peroxisomal matrix, peroxisomal membrane"
"27";"O00139";"O00139-1";"KIF2A_HUMAN";"Kinesin-like protein KIF2A";"KIF2A";"2";"2";"5.20056236647017E-5";"2";"0";"2";"0";"0";"0";"0";"centrosome, kinesin complex, cytosol, microtubule, spindle pole"
"28";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";"10";"27";"0.00116080936568682";"10";"3";"23";"4";"0.00198768595747527";"7.19453305805344E-4";"0";"nucleus, cytoplasm"
"29";"O00182";"O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";"5";"11";"5.68838976591653E-4";"5";"0";"11";"0";"0";"0";"0";"extracellular region, cytoplasm"
"30";"O00203";"O00203-1";"AP3B1_HUMAN";"AP-3 complex subunit beta-1";"AP3B1";"2";"2";"3.35612160029976E-5";"2";"0";"2";"0";"0";"0";"0";"lysosomal membrane, Golgi apparatus, AP-3 adaptor complex, clathrin-coated vesicle membrane"
"31";"O00231";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";"8";"21";"4.56774512116628E-4";"6";"4";"11";"10";"0";"0";"0";"proteasome accessory complex, cytosol, nucleoplasm"
"32";"O00232";"O00232-1";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";"7";"18";"7.24657308696304E-4";"4";"6";"9";"9";"0";"0";"0";"nucleoplasm, extracellular vesicular exosome, cytosol, proteasome regulatory particle"
"33";"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";"2";"2";"1.88287027216818E-4";"2";"0";"2";"0";"3.78480224678679E-4";"0";"0";"nucleolus, endoplasmic reticulum, endoplasmic reticulum membrane, integral component of membrane"
"34";"O00267";"O00267-2";"SPT5H_HUMAN";"Transcription elongation factor SPT5";"SUPT5H";"2";"2";"3.37773415890335E-5";"2";"0";"2";"0";"0";"0";"0";"DSIF complex"
"35";"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";"6";"20";"0.00102845855202463";"5";"3";"13";"7";"0.0013437638229138";"0.00150591451754354";"0";"eukaryotic 48S preinitiation complex, cytosol, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex"
"36";"O00408";"O00408-1";"PDE2A_HUMAN";"cGMP-dependent 3',5'-cyclic phosphodiesterase";"PDE2A";"2";"2";"3.90180343329218E-5";"0";"2";"0";"2";"0";"0";"0";"perinuclear region of cytoplasm, nucleus, axon, dendrite, cytosol, presynaptic membrane, mitochondrial matrix, Golgi apparatus, endoplasmic reticulum"
"37";"O00410";"O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";"2";"2";"1.08775664082642E-4";"2";"0";"2";"0";"0";"0";"9";"cytoplasm, nuclear pore, nucleolus"
"38";"O00410";"O00410-2";"IPO5_HUMAN";"Importin-5";"IPO5";"2";"2";"1.08775664082642E-4";"0";"2";"0";"2";"0";"0";"9";"cytoplasm, nuclear pore, nucleolus"
"39";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";"3";"6";"0.00135985075212146";"3";"0";"6";"0";"0.00273346828934602";"0";"0";"mitochondrial respiratory chain complex I, mitochondrial respiratory chain complex IV"
"40";"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";"6";"11";"6.51412376419474E-4";"5";"3";"8";"3";"9.5230508144958E-4";"7.4324168123923E-4";"0";"nucleoplasm, cytosol, proteasome regulatory particle, lid subcomplex"
"41";"O00560";"O00560-1,O00560-2,O00560-3";"SDCB1_HUMAN";"Syntenin-1";"SDCBP";"3";"9";"1.8481193107691E-4";"3";"0";"9";"0";"0";"0";"0";"nucleus, extracellular vesicular exosome, melanosome, cytosol, adherens junction, blood microparticle, interleukin-5 receptor complex, endoplasmic reticulum membrane, cytoskeleton, focal adhesion"
"42";"O00567";"O00567";"NOP56_HUMAN";"Nucleolar protein 56";"NOP56";"5";"7";"2.1633989238296E-4";"5";"0";"7";"0";"4.3486995512323E-4";"0";"0";"pre-snoRNP complex, box C/D snoRNP complex, cytoplasm"
"43";"O00571";"O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";"2";"2";"4.60864394951824E-4";"0";"2";"0";"2";"0";"0";"34";"mitochondrial outer membrane, cytoplasmic stress granule, extracellular vesicular exosome, nucleus, nuclear speck"
"44";"O00592";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";"3";"5";"8.22490374267012E-5";"3";"0";"5";"0";"0";"0";"0";"microvillus membrane, lamellipodium, filopodium, cell body, ruffle, integral component of plasma membrane, apical plasma membrane, slit diaphragm, membrane raft, cytoplasm, extracellular vesicular exosome"
"45";"O00743";"O00743-1,O00743-3";"PPP6_HUMAN";"Serine/threonine-protein phosphatase 6 catalytic subunit";"PPP6C";"2";"2";"6.01901152578351E-5";"0";"2";"0";"2";"0";"0";"0";"cytosol"
"46";"O00763";"O00763-2";"ACACB_HUMAN";"Acetyl-CoA carboxylase 2";"ACACB";"1";"1";"1.81381929333881E-5";"1";"0";"1";"0";"0";"0";"10";"mitochondrion, endomembrane system, membrane, cytosol"
"47";"O00763";"O00763-1";"ACACB_HUMAN";"Acetyl-CoA carboxylase 2";"ACACB";"1";"1";"1.81381929333881E-5";"1";"0";"1";"0";"0";"0";"10";"mitochondrion, endomembrane system, membrane, cytosol"
"48";"O14497";"O14497-2";"ARI1A_HUMAN";"AT-rich interactive domain-containing protein 1A";"ARID1A";"2";"2";"1.60682583401661E-5";"0";"2";"0";"2";"0";"0";"0";"nuclear chromatin, nBAF complex, npBAF complex, SWI/SNF complex"
"49";"O14529";"O14529";"CUX2_HUMAN";"Homeobox protein cut-like 2";"CUX2";"2";"2";"2.47079207989767E-5";"0";"2";"0";"2";"0";"1.03366945349556E-4";"0";"extracellular vesicular exosome, nucleus"
"50";"O14578";"O14578-4";"CTRO_HUMAN";"Citron Rho-interacting kinase";"CIT";"2";"3";"2.71701802964574E-5";"0";"2";"0";"3";"0";"0";"0";"actin cytoskeleton, ruffle, Golgi cisterna, plasma membrane, neuronal cell body, vacuole"
"51";"O14617";"O14617-1";"AP3D1_HUMAN";"AP-3 complex subunit delta-1";"AP3D1";"2";"2";"4.24584796846249E-5";"0";"2";"0";"2";"0";"0";"1";"terminal bouton, lysosomal membrane, membrane coat, Golgi membrane, Golgi apparatus, endosome membrane"
"52";"O14617";"O14617-3";"AP3D1_HUMAN";"AP-3 complex subunit delta-1";"AP3D1";"1";"1";"2.12292398423125E-5";"0";"1";"0";"1";"0";"0";"1";"terminal bouton, lysosomal membrane, membrane coat, Golgi membrane, Golgi apparatus, endosome membrane"
"53";"O14646";"O14646-1";"CHD1_HUMAN";"Chromodomain-helicase-DNA-binding protein 1";"CHD1";"3";"3";"3.43541242641211E-5";"3";"0";"3";"0";"0";"0";"1";"cytoplasm, nucleus"
"54";"O14647";"O14647-1";"CHD2_HUMAN";"Chromodomain-helicase-DNA-binding protein 2";"CHD2";"2";"2";"2.00853229252076E-5";"2";"0";"2";"0";"0";"0";"0";"nucleus"
"55";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";"16";"42";"0.00103079595782469";"16";"0";"42";"0";"0.00207202743323421";"0";"0";"postsynaptic density, extracellular vesicular exosome, cell surface, nucleus, plasma membrane, integral component of membrane, Golgi-associated vesicle"
"56";"O14686";"O14686-3";"MLL2_HUMAN";"Histone-lysine N-methyltransferase MLL2";"MLL2";"3";"3";"9.9465334045366E-6";"3";"0";"3";"0";"0";"0";"0";"histone methyltransferase complex"
"57";"O14744";"O14744-1,O14744-2";"ANM5_HUMAN";"Protein arginine N-methyltransferase 5";"PRMT5";"2";"2";"2.88194429413496E-5";"2";"0";"2";"0";"0";"0";"0";"cytosol, nucleus, methylosome"
"58";"O14763";"O14763-2";"TR10B_HUMAN";"Tumor necrosis factor receptor superfamily member 10B";"TNFRSF10B";"2";"2";"8.34453870619987E-5";"2";"0";"2";"0";"0";"0";"0";"plasma membrane, integral component of membrane"
"59";"O14776";"O14776-2";"TCRG1_HUMAN";"Transcription elongation regulator 1";"TCERG1";"3";"3";"5.01584293815293E-5";"0";"3";"0";"3";"0";"0";"0";"nucleus"
"60";"O14786";"O14786-1";"NRP1_HUMAN";"Neuropilin-1";"NRP1";"2";"5";"9.94473735300093E-5";"2";"0";"5";"0";"0";"0";"0";"extracellular region, cytosol, cell surface, neuronal cell body, neurofilament, plasma membrane, axon, cytoplasmic vesicle, growth cone, semaphorin receptor complex, integral component of membrane"
"61";"O14795";"O14795";"UN13B_HUMAN";"Protein unc-13 homolog B";"UNC13B";"2";"2";"2.30772912050782E-5";"2";"0";"2";"0";"4.63882110699827E-5";"0";"0";"cell junction, cytosol, plasma membrane, Golgi apparatus, neuromuscular junction"
"62";"O14802";"O14802";"RPC1_HUMAN";"DNA-directed RNA polymerase III subunit RPC1";"POLR3A";"3";"3";"3.96215506913087E-5";"0";"3";"0";"3";"0";"1.65758936103713E-4";"0";"nucleoplasm, cytosol"
"63";"O14818";"O14818-1";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";"5";"12";"0.00171312995097329";"3";"4";"4";"8";"0";"0";"13";"extracellular vesicular exosome, cytosol, proteasome core complex, nucleoplasm, proteasome core complex, alpha-subunit complex"
"64";"O14828";"O14828-1";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";"5";"19";"0.00100519227066039";"3";"4";"10";"9";"0";"0";"0";"extracellular vesicular exosome, integral component of membrane, Golgi membrane"
"65";"O14924";"O14924-4";"RGS12_HUMAN";"Regulator of G-protein signaling 12";"RGS12";"3";"3";"3.80607847000132E-5";"3";"0";"3";"0";"0";"0";"0";"nuclear matrix, cytoplasm, plasma membrane, condensed nuclear chromosome"
"66";"O14950";"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";"5";"25";"0.00133804556513409";"4";"4";"10";"15";"0.00107585486606913";"0.00335867232046882";"0";"myosin II complex, apical part of cell, Z disc, stress fiber, cytosol, extracellular vesicular exosome"
"67";"O14974";"O14974-1";"MYPT1_HUMAN";"Protein phosphatase 1 regulatory subunit 12A";"PPP1R12A";"3";"3";"5.34698596707953E-5";"0";"3";"0";"3";"0";"0";"0";"PTW/PP1 phosphatase complex, kinetochore, nucleoplasm, contractile fiber, centrosome"
"68";"O14979";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";"5";"23";"3.80109225218413E-4";"5";"3";"18";"5";"0";"0";"7";"cytoplasm, nucleus, spliceosomal complex"
"69";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";"6";"9";"1.54268782803695E-4";"6";"0";"9";"0";"3.10099343749338E-4";"0";"0";"Cajal body, annulate lamellae, ribonucleoprotein complex, kinetochore, nuclear envelope, cytosol, nucleoplasm, nucleolus"
"70";"O14981";"O14981";"BTAF1_HUMAN";"TATA-binding protein-associated factor 172";"BTAF1";"8";"36";"3.57429673083304E-4";"3";"6";"6";"30";"1.19746312296932E-4";"0.00124610557698303";"0";"nucleus"
"71";"O14983";"O14983-2";"AT2A1_HUMAN";"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1";"ATP2A1";"3";"5";"1.39730632442907E-4";"3";"0";"5";"0";"0";"0";"6";"sarcoplasmic reticulum membrane, H zone, platelet dense tubular network membrane, endoplasmic reticulum-Golgi intermediate compartment, calcium channel complex, perinuclear region of cytoplasm, endoplasmic reticulum membrane, sarcoplasmic reticulum, I band"
"72";"O14983";"O14983-1";"AT2A1_HUMAN";"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1";"ATP2A1";"1";"1";"2.79461264885815E-5";"1";"0";"1";"0";"0";"0";"6";"sarcoplasmic reticulum membrane, H zone, platelet dense tubular network membrane, endoplasmic reticulum-Golgi intermediate compartment, calcium channel complex, perinuclear region of cytoplasm, endoplasmic reticulum membrane, sarcoplasmic reticulum, I band"
"73";"O15013";"O15013-6";"ARHGA_HUMAN";"Rho guanine nucleotide exchange factor 10";"ARHGEF10";"2";"2";"2.68195546437395E-5";"2";"0";"2";"0";"0";"0";"0";"centrosome, cytosol"
"74";"O15015";"O15015-2";"ZN646_HUMAN";"Zinc finger protein 646";"ZNF646";"2";"2";"2.00743413380423E-5";"0";"2";"0";"2";"0";"0";"0";"nucleus"
"75";"O15018";"O15018-2";"PDZD2_HUMAN";"PDZ domain-containing protein 2";"PDZD2";"2";"2";"1.29327123308487E-5";"2";"0";"2";"0";"0";"0";"0";"extracellular region, nucleus, cell-cell junction, endoplasmic reticulum"
"76";"O15020";"O15020-2";"SPTN2_HUMAN";"Spectrin beta chain, non-erythrocytic 2";"SPTBN2";"2";"2";"1.53623306725018E-5";"0";"2";"0";"2";"0";"0";"0";"cytosol, neuronal cell body, extracellular space, spectrin"
"77";"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";"23";"49";"4.89413097131853E-4";"23";"0";"49";"0";"9.83780888684652E-4";"0";"0";"integral component of plasma membrane, intracellular, extracellular vesicular exosome"
"78";"O15047";"O15047";"SET1A_HUMAN";"Histone-lysine N-methyltransferase SETD1A";"SETD1A";"2";"2";"2.15090628630811E-5";"0";"2";"0";"2";"0";"8.99843472697369E-5";"0";"chromosome, Set1C/COMPASS complex, nuclear speck"
"79";"O15056";"O15056-3";"SYNJ2_HUMAN";"Synaptojanin-2";"SYNJ2";"2";"3";"3.68141413508818E-5";"0";"2";"0";"3";"0";"0";"0";"membrane, cytosol"
"80";"O15085";"O15085-2";"ARHGB_HUMAN";"Rho guanine nucleotide exchange factor 11";"ARHGEF11";"2";"2";"2.41235021729825E-5";"2";"0";"2";"0";"0";"0";"0";"membrane, cytosol"
"81";"O15090";"O15090";"ZN536_HUMAN";"Zinc finger protein 536";"ZNF536";"3";"3";"4.2364581123784E-5";"3";"0";"3";"0";"8.51580505527029E-5";"0";"0";"nucleus"
"82";"O15126";"O15126-1";"SCAM1_HUMAN";"Secretory carrier-associated membrane protein 1";"SCAMP1";"2";"4";"2.17254262173251E-4";"2";"0";"4";"0";"0";"0";"0";"integral component of membrane, Golgi apparatus, trans-Golgi network, recycling endosome membrane"
"83";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";"3";"6";"3.34796081829296E-4";"3";"0";"6";"0";"6.7298155451984E-4";"0";"0";"extracellular vesicular exosome, nucleus, Golgi apparatus, transport vesicle, recycling endosome membrane, integral component of membrane, trans-Golgi network membrane"
"84";"O15143";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";"8";"23";"0.00113503671648848";"7";"4";"14";"9";"0.00138877824378064";"0.00185810420309808";"0";"Arp2/3 protein complex, cytoplasm, extracellular vesicular exosome"
"85";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";"11";"22";"0.00134625224460025";"7";"6";"12";"10";"0.00147607287624685";"0.00256005467982401";"0";"focal adhesion, extracellular vesicular exosome, endosome, cell leading edge, cell projection, cytosol, Arp2/3 protein complex, plasma membrane, Golgi apparatus"
"86";"O15145";"O15145";"ARPC3_HUMAN";"Actin-related protein 2/3 complex subunit 3";"ARPC3";"4";"16";"0.00165015596886649";"4";"3";"9";"7";"0.00186582245593001";"0.00302028922900586";"0";"extracellular vesicular exosome, lamellipodium, cytosol, Arp2/3 protein complex"
"87";"O15230";"O15230";"LAMA5_HUMAN";"Laminin subunit alpha-5";"LAMA5";"4";"5";"2.4841657853369E-5";"2";"2";"3";"2";"2.9960883820978E-5";"4.15705766683196E-5";"0";"laminin-10 complex, laminin-5 complex, laminin-1 complex, extracellular space, extracellular vesicular exosome, laminin-11 complex"
"88";"O15258";"O15258";"RER1_HUMAN";"Protein RER1";"RER1";"2";"2";"1.87326379118773E-4";"2";"0";"2";"0";"3.76549203124196E-4";"0";"0";"integral component of Golgi membrane"
"89";"O15269";"O15269-1";"SPTC1_HUMAN";"Serine palmitoyltransferase 1";"SPTLC1";"7";"15";"5.821771190372E-4";"7";"0";"15";"0";"0";"0";"0";"integral component of membrane, SPOTS complex"
"90";"O15270";"O15270";"SPTC2_HUMAN";"Serine palmitoyltransferase 2";"SPTLC2";"3";"6";"1.9599272406021E-4";"3";"0";"6";"0";"3.93969628891508E-4";"0";"0";"integral component of membrane, mitochondrion, serine C-palmitoyltransferase complex"
"91";"O15347";"O15347";"HMGB3_HUMAN";"High mobility group protein B3";"HMGB3";"1";"1";"9.17899257681986E-5";"1";"0";"1";"0";"1.84509109530856E-4";"0";"0";"chromosome, nucleus"
"92";"O15355";"O15355";"PPM1G_HUMAN";"Protein phosphatase 1G";"PPM1G";"13";"34";"0.00114317123667354";"13";"0";"34";"0";"0.00229791564983484";"0";"0";"cytoplasm, nucleus"
"93";"O15371";"O15371";"EIF3D_HUMAN";"Eukaryotic translation initiation factor 3 subunit D";"EIF3D";"7";"21";"7.03499431070135E-4";"6";"4";"12";"9";"8.08069092835867E-4";"0.00126134080940234";"0";"cytosol, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex"
"94";"O15372";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";"9";"35";"0.00182536784198122";"9";"6";"21";"14";"0.00220152914781135";"0.00305461069751729";"0";"cytosol, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex"
"95";"O15394";"O15394";"NCAM2_HUMAN";"Neural cell adhesion molecule 2";"NCAM2";"5";"6";"1.31598459882722E-4";"5";"0";"6";"0";"2.6452918929155E-4";"0";"0";"plasma membrane, axon, integral component of membrane"
"96";"O15397";"O15397-2";"IPO8_HUMAN";"Importin-8";"IPO8";"3";"3";"6.42897515911861E-5";"3";"0";"3";"0";"0";"0";"4";"nucleus, cytoplasm"
"97";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";"7";"20";"7.89590759296332E-4";"7";"0";"20";"0";"0.0015871751357493";"0";"0";"actin cytoskeleton, nuclear membrane, integral component of plasma membrane"
"98";"O15511";"O15511-1";"ARPC5_HUMAN";"Actin-related protein 2/3 complex subunit 5";"ARPC5";"4";"10";"0.00121576060620131";"4";"2";"8";"2";"0";"0";"0";"Arp2/3 protein complex, cytosol, cell projection, extracellular vesicular exosome"
"99";"O15523";"O15523";"DDX3Y_HUMAN, O15523";"ATP-dependent RNA helicase DDX3Y, ATP-dependent RNA helicase DDX3Y [Homo sapiens] ";"DDX3Y";"2";"2";"4.62260953724405E-4";"1";"1";"1";"1";"0.00112117975647937";"5.12872907237471E-4";"34";"nucleus, cytoplasm"
"100";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";"5";"10";"2.3091805224704E-4";"4";"3";"7";"3";"3.24921702318489E-4";"2.89817510923473E-4";"0";"nucleolus, U12-type spliceosomal complex"
"101";"O43166";"O43166-2";"SI1L1_HUMAN";"Signal-induced proliferation-associated 1-like protein 1";"SIPA1L1";"2";"2";"2.03525334297558E-5";"2";"0";"2";"0";"0";"0";"0";"dendritic spine, postsynaptic density, postsynaptic membrane, cytoplasm, cell junction"
"102";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";"3";"6";"2.06656493286751E-4";"3";"0";"6";"0";"4.15405124647331E-4";"0";"0";"extracellular vesicular exosome, cytosol"
"103";"O43184";"O43184-1";"ADA12_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 12";"ADAM12";"2";"2";"4.03916064986572E-5";"2";"0";"2";"0";"0";"0";"0";"plasma membrane, mitochondrion, extracellular region, nucleus, integral component of membrane"
"104";"O43242";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";"10";"23";"7.9069973508186E-4";"6";"8";"10";"13";"6.91045354048151E-4";"0.00186970285605125";"0";"extracellular vesicular exosome, nucleoplasm, proteasome accessory complex, cytosol"
"105";"O43278";"O43278-1";"SPIT1_HUMAN";"Kunitz-type protease inhibitor 1";"SPINT1";"8";"11";"3.8173504100196E-4";"8";"0";"11";"0";"0";"0";"0";"membrane, extracellular region"
"106";"O43290";"O43290-1";"SNUT1_HUMAN";"U4/U6.U5 tri-snRNP-associated protein 1";"SART1";"2";"2";"4.58949628840993E-5";"0";"2";"0";"2";"0";"0";"0";"Cajal body, catalytic step 2 spliceosome, cytosol, Golgi apparatus"
