"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5134"	"peptide.count.P5135"	"peptide.count.P5136"	"peptide.count.P5137"	"spectra.count.P5134"	"spectra.count.P5135"	"spectra.count.P5136"	"spectra.count.P5137"	"dNSAF.P5134"	"dNSAF.P5135"	"dNSAF.P5136"	"dNSAF.P5137"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"Q7KZF4"	"Q7KZF4"	"SND1_HUMAN"	"Staphylococcal nuclease domain-containing protein 1"	"SND1"	28	79	0.00181722926395951	25	0	18	0	46	0	33	0	0.0020759535732379	0	0.00319290194401905	0	0	"modulation by virus of host morphology or physiology;transcription;gene silencing by RNA;nucleic acid phosphodiester bond hydrolysis;regulation of transcription"	"cytoplasm;nucleus;mitochondrion;melanosome;RISC complex"	"nucleic acid binding;transcription cofactor activity;nuclease activity"
"P05107"	"P05107"	"ITB2_HUMAN"	"Integrin beta-2"	"ITGB2"	28	69	0.00187822135411792	28	0	0	0	69	0	0	0	0.00368488508123502	0	0	0	0	"leukocyte cell-cell adhesion;blood coagulation;cell-matrix adhesion;regulation of peptidyl-tyrosine phosphorylation;multicellular organismal development;cell-cell signaling;toll-like receptor 4 signaling pathway;inflammatory response;integrin-mediated signaling pathway;apoptotic process;neutrophil chemotaxis;innate immune response;regulation of cell shape"	"integrin complex"	"receptor activity;metal ion binding"
"P13645"	"P13645"	"K1C10_HUMAN"	"Keratin, type I cytoskeletal 10"	"KRT10"	29	288	0.0123235722239039	25	15	19	19	71	55	69	93	0.00550367058378385	0.0801888432807152	0.0114785271629579	0.14342109176093	69	"cellular response to calcium ion;keratinocyte differentiation"	"intermediate filament;keratin filament;cytoplasm"	"structural constituent of epidermis"
"P55072"	"P55072"	"TERA_HUMAN"	"Transitional endoplasmic reticulum ATPase"	"VCP"	27	76	0.00197379740389232	21	0	20	0	37	0	39	0	0.00188524535578056	0	0.00426032370829521	0	0	"positive regulation of protein complex assembly;retrograde protein transport;protein ubiquitination;translesion synthesis;positive regulation of proteasomal ubiquitin-dependent protein catabolic process;ER-associated protein catabolic process;activation of cysteine-type endopeptidase activity involved in apoptotic process;double-strand break repair;endoplasmic reticulum unfolded protein response;protein N-linked glycosylation via asparagine"	"cytosol;proteasome complex;nucleus;site of double-strand break;endoplasmic reticulum"	"ATP binding;polyubiquitin binding;lipid binding;ATPase activity"
"P05166-1,P05166-2"	"P05166-[1,2]"	"PCCB_HUMAN"	"Propionyl-CoA carboxylase beta chain, mitochondrial"	"PCCB"	26	122	0.002369000174782	24	0	21	0	57	0	65	0	0	0	0	0	0	"fatty acid beta-oxidation;biotin metabolic process;short-chain fatty acid catabolic process"	"mitochondrial matrix;cytosol"	"ATP binding;propionyl-CoA carboxylase activity"
"P11586"	"P11586"	"C1TC_HUMAN"	"C-1-tetrahydrofolate synthase, cytoplasmic"	"MTHFD1"	26	68	0.00152237388281073	22	0	19	0	36	0	32	0	0.00158121922946463	0	0.00301336265142877	0	0	"one-carbon metabolic process;folic acid metabolic process;folic acid-containing compound biosynthetic process;histidine biosynthetic process;methionine biosynthetic process;purine nucleotide biosynthetic process;tetrahydrofolate interconversion"	"mitochondrion;cytosol"	"ATP binding;formate-tetrahydrofolate ligase activity;methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity;methylenetetrahydrofolate dehydrogenase (NADP+) activity;methenyltetrahydrofolate cyclohydrolase activity"
"P78371-1,P78371-2"	"P78371-[1,2]"	"TCPB_HUMAN"	"T-complex protein 1 subunit beta"	"CCT2"	26	78	0.00152593083113505	24	0	19	0	46	0	32	0	0	0	0	0	0	"chaperone-mediated protein complex assembly;binding of sperm to zona pellucida;'de novo' posttranslational protein folding"	"nucleus;zona pellucida receptor complex;cytosol;microtubule;chaperonin-containing T-complex"	"unfolded protein binding;ATP binding"
"P14625"	"P14625"	"ENPL_HUMAN"	"Endoplasmin"	"HSP90B1"	31	76	0.00207054764883259	30	0	14	0	54	0	22	0	0.00282241562748409	0	0.00264197504154336	0	6	"negative regulation of apoptotic process;innate immune response;regulation of phosphoprotein phosphatase activity;toll-like receptor signaling pathway;actin rod assembly;protein folding;cellular response to ATP;response to hypoxia;ER-associated protein catabolic process;activation of signaling protein activity involved in unfolded protein response;sequestering of calcium ion;protein transport"	"cytosol;perinuclear region of cytoplasm;plasma membrane;extracellular region;endocytic vesicle lumen;endoplasmic reticulum lumen;endoplasmic reticulum membrane;melanosome;midbody"	"protein phosphatase binding;calcium ion binding;virion binding;low-density lipoprotein particle receptor binding;RNA binding;ATP binding"
"P25705"	"P25705"	"ATPA_HUMAN"	"ATP synthase subunit alpha, mitochondrial"	"ATP5A1"	25	92	0.00348246466863575	25	6	16	0	57	8	27	0	0.00423302586067497	0.00932074473198885	0.00429884381415683	0	0	"lipid metabolic process;respiratory electron transport chain;ATP hydrolysis coupled proton transport;mitochondrial ATP synthesis coupled proton transport;negative regulation of endothelial cell proliferation;embryo development"	"mitochondrial proton-transporting ATP synthase complex;mitochondrial matrix;plasma membrane;proton-transporting ATP synthase complex"	"proton-transporting ATP synthase activity;MHC class I protein binding;proton-transporting ATPase activity;ATP binding"
"P35527"	"P35527"	"K1C9_HUMAN"	"Keratin, type I cytoskeletal 9"	"KRT9"	25	257	0.00870291406795373	22	18	20	18	64	47	69	77	0.00421884067643853	0.0490220778402622	0.00985871955865212	0.0884996407362626	5	"intermediate filament organization;spermatogenesis;epidermis development"	"intermediate filament"	"structural constituent of cytoskeleton"
"P38646"	"P38646"	"GRP75_HUMAN"	"Stress-70 protein, mitochondrial"	"HSPA9"	25	61	0.00192394375812391	21	0	15	0	36	0	25	0	0.00223048525956665	0	0.00330931502255176	0	3	"protein targeting to mitochondrion;protein export from nucleus;cellular protein metabolic process;negative regulation of apoptotic process;protein folding"	"mitochondrial nucleoid;nucleolus;cell surface"	"ATP binding;unfolded protein binding"
"Q14974"	"Q14974"	"IMB1_HUMAN"	"Importin subunit beta-1"	"KPNB1"	25	75	0.00179217815827461	24	0	8	0	62	0	13	0	0.0029066235011436	0	0.00130662896076329	0	0	"cytokine-mediated signaling pathway;viral infectious cycle;NLS-bearing substrate import into nucleus;ribosomal protein import into nucleus;modulation by virus of host morphology or physiology;apoptotic DNA fragmentation;protein import into nucleus;intracellular transport of viral material;small molecule metabolic process"	"nucleoplasm;cytosol;nuclear membrane;nuclear pore"	"nuclear localization sequence binding;protein transporter activity;zinc ion binding"
"P12956"	"P12956"	"XRCC6_HUMAN"	"X-ray repair cross-complementing protein 6"	"XRCC6"	24	75	0.00257791143948861	24	0	12	0	51	0	24	0	0.00343917346091136	0	0.00346982029444076	0	0	"negative regulation of transcription;response to ionizing radiation;innate immune response;transcription;positive regulation of neurogenesis;DNA ligation;positive regulation of type I interferon production;telomere maintenance;positive regulation of transcription from RNA polymerase II promoter;establishment of integrated proviral latency;V(D)J recombination;double-strand break repair via nonhomologous end joining"	"membrane;nucleoplasm;cytosol;transcription factor complex;nuclear telomere cap complex;Ku70:Ku80 complex;nonhomologous end joining complex"	"telomeric DNA binding;ATP-dependent DNA helicase activity;double-stranded DNA binding;5'-deoxyribose-5-phosphate lyase activity;transcription regulatory region DNA binding;damaged DNA binding;ATP binding"
"P13612"	"P13612"	"ITA4_HUMAN"	"Integrin alpha-4"	"ITGA4"	24	47	0.000953327637370574	24	0	0	0	47	0	0	0	0.00187033481478314	0	0	0	0	"blood vessel remodeling;integrin-mediated signaling pathway;regulation of immune response;chorio-allantoic fusion;face development;leukocyte cell-cell adhesion;blood coagulation;heterophilic cell-cell adhesion;B cell differentiation;heart development;leukocyte migration"	"plasma membrane;integrin complex;cell surface;external side of plasma membrane;extracellular vesicular exosome"	"metal ion binding"
"Q6P2Q9"	"Q6P2Q9"	"PRP8_HUMAN"	"Pre-mRNA-processing-splicing factor 8"	"PRPF8"	24	46	0.000412377507870572	19	0	11	0	27	0	19	0	0.000474873655101529	0	0.000716439875570558	0	0	"mRNA splicing"	"nucleoplasm;catalytic step 2 spliceosome;U5 snRNP;nuclear speck"	"U6 snRNA binding;U5 snRNA binding"
"P08195-1,P08195-2,P08195-3,P08195-4"	"P08195-[1-4]"	"4F2_HUMAN"	"4F2 cell-surface antigen heavy chain"	"SLC3A2"	23	85	0.000706061299815491	23	0	7	0	76	0	9	0	0	0	0	0	0	"leucine import;cell growth;blood coagulation;leukocyte migration;tryptophan transport;carbohydrate metabolic process"	"integral to membrane;plasma membrane;cell surface;melanosome;apical plasma membrane"	"cation binding;neutral amino acid transmembrane transporter activity;catalytic activity;calcium:sodium antiporter activity"
"P17987"	"P17987"	"TCPA_HUMAN"	"T-complex protein 1 subunit alpha"	"TCP1"	23	76	0.00286129623657772	23	0	17	0	43	0	33	0	0.00317610507197369	0	0.00522579275010311	0	0	"'de novo' posttranslational protein folding;tubulin complex assembly;binding of sperm to zona pellucida"	"pericentriolar material;nuclear heterochromatin;cytosol;Golgi apparatus;nucleus;microtubule;acrosomal vesicle;chaperonin-containing T-complex;zona pellucida receptor complex;centrosome;cell junction;plasma membrane"	"unfolded protein binding;ATP binding"
"P50991"	"P50991"	"TCPD_HUMAN"	"T-complex protein 1 subunit delta"	"CCT4"	23	70	0.00280282013308176	19	0	19	0	36	0	34	0	0.0028604855156933	0	0.00564810061135581	0	4	"binding of sperm to zona pellucida;'de novo' posttranslational protein folding"	"zona pellucida receptor complex;chaperonin-containing T-complex;centrosome;melanosome;nucleus;microtubule;cytosol"	"ATP binding;unfolded protein binding"
"Q08211-1"	"Q08211-1"	"DHX9_HUMAN"	"ATP-dependent RNA helicase A"	"DHX9"	24	65	0.00107135563603314	24	0	13	0	45	0	20	0	0	0	0	0	0	"innate immune response;cellular response to heat;positive regulation of type I interferon production;mRNA splicing;CRD-mediated mRNA stabilization;circadian rhythm"	"nucleoplasm;centrosome;CRD-mediated mRNA stability complex;cytosol;nucleolus;ribonucleoprotein complex"	"RNA binding;DNA binding;ATP-dependent DNA helicase activity;ATP binding;ATP-dependent RNA helicase activity"
"P06576"	"P06576"	"ATPB_HUMAN"	"ATP synthase subunit beta, mitochondrial"	"ATP5B"	22	96	0.00379874012345966	22	0	11	0	65	0	31	0	0.00504613519589964	0	0.00515963589624662	0	0	"mitochondrial ATP synthesis coupled proton transport;regulation of intracellular pH;ATP hydrolysis coupled proton transport;respiratory electron transport chain;angiogenesis;negative regulation of cell adhesion involved in substrate-bound cell migration;lipid metabolic process"	"cell surface;mitochondrial proton-transporting ATP synthase;plasma membrane;mitochondrial nucleoid"	"proton-transporting ATP synthase activity;proton-transporting ATPase activity;ATP binding;MHC class I protein binding"
"P13010"	"P13010"	"XRCC5_HUMAN"	"X-ray repair cross-complementing protein 5"	"XRCC5"	22	61	0.00174438674072062	22	0	10	0	47	0	14	0	0.0026368654765795	0	0.00168395308688536	0	0	"transcription;DNA recombination;innate immune response;cell proliferation;double-strand break repair via nonhomologous end joining;negative regulation of apoptotic process;positive regulation of type I interferon production;establishment of integrated proviral latency;telomere maintenance;negative regulation of transcription;positive regulation of neurogenesis;hematopoietic stem cell differentiation"	"nucleoplasm;Ku70:Ku80 complex;cytosol;nuclear telomere cap complex;nonhomologous end joining complex"	"double-stranded DNA binding;ATP-dependent DNA helicase activity;ATP binding;damaged DNA binding;telomeric DNA binding;transcription regulatory region DNA binding"
"P19338"	"P19338"	"NUCL_HUMAN"	"Nucleolin"	"NCL"	22	75	0.0022111944600684	19	2	16	0	38	4	33	0	0.00219799370981527	0.00362983932168298	0.00409231094233427	0	0	"angiogenesis"	"nucleoplasm;nucleolus;cell cortex;ribonucleoprotein complex"	"telomeric DNA binding;RNA binding;nucleotide binding"
"P41252"	"P41252"	"SYIC_HUMAN"	"Isoleucine--tRNA ligase, cytoplasmic"	"IARS"	22	49	0.000812757055105964	13	0	18	0	22	0	27	0	0.000715920046444959	0	0.00188372474582308	0	0	"tRNA aminoacylation for protein translation;regulation of translational fidelity;isoleucyl-tRNA aminoacylation"	"cytosol;nucleus"	"aminoacyl-tRNA editing activity;ATP binding;isoleucine-tRNA ligase activity"
"P48643"	"P48643"	"TCPE_HUMAN"	"T-complex protein 1 subunit epsilon"	"CCT5"	22	59	0.00235364359789103	19	0	14	0	34	0	25	0	0.00269158233521233	0	0.00413766204947371	0	4	"'de novo' posttranslational protein folding;binding of sperm to zona pellucida;response to virus"	"chaperonin-containing T-complex;centrosome;cytosol;zona pellucida receptor complex;nucleolus;microtubule"	"ATP binding"
"P00558"	"P00558"	"PGK1_HUMAN"	"Phosphoglycerate kinase 1"	"PGK1"	26	90	0.00451783616301744	26	0	17	0	56	0	34	0	0.00551509717924113	0	0.00717886680822246	0	0	"glycolysis;small molecule metabolic process;gluconeogenesis"	"cytosol"	"ATP binding;phosphoglycerate kinase activity"
"P09874"	"P09874"	"PARP1_HUMAN"	"Poly [ADP-ribose] polymerase 1"	"PARP1"	21	37	0.000763814312504889	21	0	0	0	37	0	0	0	0.00149852835972301	0	0	0	0	"transcription initiation from RNA polymerase II promoter;double-strand break repair;negative regulation of transcription from RNA polymerase II promoter;cellular response to insulin stimulus;DNA damage response;transforming growth factor beta receptor signaling pathway;regulation of growth rate;base-excision repair;protein autoprocessing;telomere maintenance;protein poly-ADP-ribosylation"	"nucleoplasm;nucleolus;transcription factor complex;nuclear envelope"	"NAD+ ADP-ribosyltransferase activity;DNA binding;NAD binding;zinc ion binding"
"P35908"	"P35908"	"K22E_HUMAN"	"Keratin, type II cytoskeletal 2 epidermal"	"KRT2"	21	160	0.00760443621918414	21	10	18	15	48	23	46	43	0.00426934742839738	0.0341101355785758	0.00943724971375491	0.0702084508080495	124	"keratinization;keratinocyte proliferation;keratinocyte activation;keratinocyte migration"	"intermediate filament;keratin filament;Golgi apparatus"	"structural constituent of cytoskeleton"
"P61978-1,P61978-2,P61978-3"	"P61978-[1-3]"	"HNRPK_HUMAN"	"Heterogeneous nuclear ribonucleoprotein K"	"HNRNPK"	21	79	0.00119055336947671	21	0	13	0	53	0	26	0	0	0	0	0	0	"regulation of low-density lipoprotein particle clearance;positive regulation of receptor-mediated endocytosis;modulation by virus of host morphology or physiology;mRNA splicing;regulation of apoptotic process;regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter;positive regulation of low-density lipoprotein particle receptor biosynthetic process;signal transduction"	"cell projection;cell junction;podosome;catalytic step 2 spliceosome;cytoplasm;nuclear chromatin;nucleoplasm"	"RNA binding;RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription;RNA polymerase II core promoter proximal region sequence-specific DNA binding;single-stranded DNA binding"
"P11021"	"P11021"	"GRP78_HUMAN"	"78 kDa glucose-regulated protein"	"HSPA5"	20	54	0.00187866339203797	18	0	10	0	38	0	16	0	0.00257936978455604	0	0.00236958691934375	0	11	"negative regulation of transforming growth factor beta receptor signaling pathway;ER overload response;platelet activation;cellular response to glucose starvation;ER-associated protein catabolic process;cellular response to interleukin-4;cerebellum structural organization;negative regulation of apoptotic process;regulation of protein folding in endoplasmic reticulum;positive regulation of protein ubiquitination;cerebellar Purkinje cell layer development;activation of signaling protein activity involved in unfolded protein response;platelet degranulation"	"melanosome;endoplasmic reticulum lumen;cell surface;endoplasmic reticulum-Golgi intermediate compartment;endoplasmic reticulum chaperone complex;midbody;integral to endoplasmic reticulum membrane;nucleus"	"unfolded protein binding;ribosome binding;ATPase activity;misfolded protein binding;ATP binding;calcium ion binding;chaperone binding;protein binding"
"P20700"	"P20700"	"LMNB1_HUMAN"	"Lamin-B1"	"LMNB1"	20	36	0.00128596428667459	20	0	0	0	36	0	0	0	0.00252293511868503	0	0	0	0	"cellular component disassembly involved in execution phase of apoptosis"	"lamin filament;nucleoplasm;nuclear envelope;nuclear inner membrane"	"structural molecule activity"
"P35579-1"	"P35579-1"	"MYH9_HUMAN"	"Myosin-9"	"MYH9"	53	149	0.00203382456536143	41	0	41	0	69	0	80	0	0	0	0	0	43	"monocyte differentiation;protein transport;actin cytoskeleton reorganization;termination of G-protein coupled receptor signaling pathway;integrin-mediated signaling pathway;actin filament-based movement;angiogenesis;cytokinesis;cell-cell adhesion;platelet formation;in utero embryonic development;meiotic spindle organization;regulation of cell shape;blood vessel endothelial cell migration;myoblast fusion;establishment of T cell polarity;establishment of meiotic spindle localization;membrane protein ectodomain proteolysis;axon guidance;uropod organization;leukocyte migration"	"extracellular vesicular exosome;cortical cytoskeleton;cell-cell adherens junction;cleavage furrow;immunological synapse;actomyosin contractile ring;uropod;neuromuscular junction;ruffle;plasma membrane;cytosol;stress fiber;nucleus;spindle;protein complex;myosin II complex"	"microfilament motor activity;actin-dependent ATPase activity;protein anchor;ADP binding;ATP binding;actin filament binding;protein homodimerization activity"
"P40926"	"P40926"	"MDHM_HUMAN"	"Malate dehydrogenase, mitochondrial"	"MDH2"	20	70	0.00433516231421694	20	1	5	0	60	1	9	0	0.00729013796622005	0.0019062026023631	0.00234443849036364	0	0	"gluconeogenesis;malate metabolic process;cellular carbohydrate metabolic process;NADH metabolic process;internal protein amino acid acetylation;oxaloacetate metabolic process;tricarboxylic acid cycle"	"plasma membrane;mitochondrial matrix;mitochondrial inner membrane;nucleus"	"L-malate dehydrogenase activity;malate dehydrogenase (NADP+) activity"
"P04075"	"P04075"	"ALDOA_HUMAN"	"Fructose-bisphosphate aldolase A"	"ALDOA"	19	190	0.0124798920146238	18	8	13	0	138	11	41	0	0.0176182901939269	0.0212405432834746	0.0117768494999566	0	30	"glycolysis;regulation of cell shape;platelet degranulation;fructose 1;striated muscle contraction;protein homotetramerization;fructose metabolic process;actin filament organization;ATP biosynthetic process;muscle cell cellular homeostasis;gluconeogenesis;platelet activation"	"extracellular vesicular exosome;actin cytoskeleton;platelet alpha granule lumen;I band;cytosol"	"identical protein binding;actin binding;fructose binding;fructose-bisphosphate aldolase activity;tubulin binding"
"O75533"	"O75533"	"SF3B1_HUMAN"	"Splicing factor 3B subunit 1"	"SF3B1"	18	47	0.000754474019759534	15	0	9	0	30	0	17	0	0.000944810825376678	0	0.00114784795208158	0	0	"anterior/posterior pattern specification;mRNA splicing"	"catalytic step 2 spliceosome;nuclear speck;nucleoplasm;U12-type spliceosomal complex"	"chromatin binding"
"P46940"	"P46940"	"IQGA1_HUMAN"	"Ras GTPase-activating-like protein IQGAP1"	"IQGAP1"	18	38	0.0004800484935236	11	0	13	0	16	0	22	0	0.000396550655012251	0	0.00116899648724898	0	0	"signal transduction;negative regulation of dephosphorylation;cellular response to calcium ion;glomerular visceral epithelial cell development;small molecule metabolic process;positive regulation of protein kinase activity;positive regulation of Ras GTPase activity;regulation of cytokine production;regulation of insulin secretion;small GTPase mediated signal transduction;energy reserve metabolic process"	"nucleus;lateral plasma membrane;actin filament;cell leading edge;microtubule;ribonucleoprotein complex;cytoplasm;plasma membrane;midbody;neuron projection;slit diaphragm"	"GTPase inhibitor activity;calmodulin binding;GTPase activator activity;calcium ion binding;Ras GTPase activator activity"
