"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc"
"165";165;"O75369";"O75369-7";"FLNB_HUMAN";"Filamin-B";"FLNB";5;6;"1.41309834943961E-4";3;2;4;2;"0";"0";26;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"166";166;"O75369";"O75369-4";"FLNB_HUMAN";"Filamin-B";"FLNB";1;1;"2.23794575268588E-5";1;0;1;0;"0";"0";26;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"167";167;"O75369";"O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";1;1;"2.412369345507E-5";1;0;1;0;"0";"0";29;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"168";168;"O75369";"O75369-1";"FLNB_HUMAN";"Filamin-B";"FLNB";1;1;"2.412369345507E-5";0;1;0;1;"0";"0";29;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"169";169;"O75369";"O75369-5";"FLNB_HUMAN";"Filamin-B";"FLNB";1;1;"2.23794575268588E-5";0;1;0;1;"0";"0";26;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"173";173;"O75473";"O75473-1";"LGR5_HUMAN";"Leucine-rich repeat-containing G-protein coupled receptor 5";"LGR5";3;5;"1.01201682214111E-4";0;3;0;5;"0";"0";0;"integral component of plasma membrane, trans-Golgi network membrane, Golgi apparatus"
"178";178;"O75581";"O75581";"LRP6_HUMAN";"Low-density lipoprotein receptor-related protein 6";"LRP6";3;3;"3.41438037575444E-5";3;0;3;0;"6.86332707492336E-5";"0";0;"plasma membrane, endoplasmic reticulum, cell surface, receptor complex, neuronal cell body, early endosome, synapse, cytoplasmic vesicle, integral component of membrane"
"195";195;"O75970";"O75970-1";"MPDZ_HUMAN";"Multiple PDZ domain protein";"MPDZ";3;3;"2.66057755849851E-5";3;0;3;0;"0";"0";0;"postsynaptic membrane, cytoplasmic vesicle, apicolateral plasma membrane, postsynaptic density, dendrite, tight junction, cytoplasm, Schmidt-Lanterman incisure, apical plasma membrane"
"201";201;"O76094";"O76094";"SRP72_HUMAN";"Signal recognition particle 72 kDa protein";"SRP72";4;9;"2.46232289691144E-4";2;3;4;5;"2.19981054582243E-4";"5.7229240234516E-4";0;"endoplasmic reticulum, cytosol, signal recognition particle, endoplasmic reticulum targeting, plasma membrane, nucleolus"
"204";204;"O94804";"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";7;18;"3.59334202659324E-4";6;3;10;8;"4.15873274675108E-4";"6.34724300782814E-4";1;"extracellular vesicular exosome, cytoplasm, plasma membrane"
"206";206;"O94856";"O94856-1";"NFASC_HUMAN";"Neurofascin";"NFASC";2;2;"2.72575874590048E-5";0;2;0;2;"0";"0";0;"node of Ranvier, paranodal junction, intracellular, paranode region of axon, integral component of membrane, plasma membrane, axon initial segment"
"207";207;"O94856";"O94856-6";"NFASC_HUMAN";"Neurofascin";"NFASC";2;2;"2.72575874590048E-5";2;0;2;0;"0";"0";0;"node of Ranvier, paranodal junction, intracellular, paranode region of axon, integral component of membrane, plasma membrane, axon initial segment"
"209";209;"O94905";"O94905-1";"ERLN2_HUMAN";"Erlin-2";"ERLIN2";5;10;"5.41533485358104E-4";5;0;10;0;"0";"0";0;"integral component of membrane, plasma membrane, endoplasmic reticulum membrane, protein complex"
"218";218;"O95255";"O95255";"MRP6_HUMAN";"Multidrug resistance-associated protein 6";"ABCC6";1;1;"3.78641077686514E-5";1;0;1;0;"3.95561778398376E-5";"0";25;"plasma membrane, integral component of membrane, lateral plasma membrane, apical plasma membrane, basolateral plasma membrane"
"219";219;"O95294";"O95294-1";"RASL1_HUMAN";"RasGAP-activating-like protein 1";"RASAL1";2;2;"4.56666297354222E-5";0;2;0;2;"0";"0";0;"cytoplasm, intrinsic component of the cytoplasmic side of the plasma membrane"
"220";220;"O95297";"O95297-1,O95297-2";"MPZL1_HUMAN";"Myelin protein zero-like protein 1";"MPZL1";1;1;"1.13742163281535E-4";1;0;1;0;"0";"0";7;"integral component of plasma membrane"
"221";221;"O95297";"O95297-3";"MPZL1_HUMAN";"Myelin protein zero-like protein 1";"MPZL1";1;2;"4.54968653126139E-4";1;0;2;0;"0";"0";7;"integral component of plasma membrane"
"225";225;"O95436";"O95436-2";"NPT2B_HUMAN";"Sodium-dependent phosphate transport protein 2B";"SLC34A2";3;3;"7.98173267549553E-5";0;3;0;3;"0";"0";0;"apical plasma membrane, microvillus membrane, brush border membrane, integral component of plasma membrane"
"226";226;"O95466";"O95466-1,O95466-2,O95466-3";"FMNL_HUMAN";"Formin-like protein 1";"FMNL1";1;2;"1.11260516082665E-5";1;0;2;0;"0";"0";0;"plasma membrane, bleb, phagocytic vesicle, cytosol, extracellular vesicular exosome, cell cortex"
"227";227;"O95477";"O95477";"ABCA1_HUMAN";"ATP-binding cassette sub-family A member 1";"ABCA1";4;5;"4.05970481062355E-5";4;0;5;0;"8.16050904603522E-5";"0";0;"cell surface, phagocytic vesicle, integral component of plasma membrane, membrane raft, Golgi apparatus"
"235";235;"O95716";"O95716,P20337";"RAB3B_HUMAN, RAB3D_HUMAN";"Ras-related protein Rab-3B, Ras-related protein Rab-3D";"RAB3B, RAB3D";1;1;"6.05413006081472E-5";1;0;1;0;"1.26376102418395E-4";"0";4;"plasma membrane, zymogen granule, extracellular vesicular exosome, mitochondrion, transport vesicle"
"239";239;"O95782";"O95782-1,O95782-2";"AP2A1_HUMAN";"AP-2 complex subunit alpha-1";"AP2A1";3;3;"3.38222858511274E-5";2;1;2;1;"0";"0";1;"clathrin coat of trans-Golgi network vesicle, cytosol, AP-2 adaptor complex, apical plasma membrane, basolateral plasma membrane"
"242";242;"O95864";"O95864-1";"FADS2_HUMAN";"Fatty acid desaturase 2";"FADS2";3;3;"1.24040440227295E-4";3;0;3;0;"0";"0";0;"integral component of plasma membrane, endoplasmic reticulum membrane"
"252";252;"P00505";"P00505";"AATM_HUMAN";"Aspartate aminotransferase, mitochondrial";"GOT2";7;15;"6.4039483094092E-4";7;0;15;0;"0.00128727285719202";"0";0;"mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, plasma membrane"
"254";254;"P00748";"P00748";"FA12_HUMAN";"Coagulation factor XII";"F12";2;2;"5.97007647272836E-5";2;0;2;0;"1.20005924898118E-4";"0";0;"extracellular space, plasma membrane"
"255";255;"P00813";"P00813";"ADA_HUMAN";"Adenosine deaminase";"ADA";4;5;"4.21441348797973E-4";3;1;4;1;"5.08289557936243E-4";"5.28936917319011E-4";4;"external side of plasma membrane, cytosol, dendrite cytoplasm, cell junction, lysosome, cytoplasmic membrane-bounded vesicle lumen, extracellular space, neuronal cell body"
"256";256;"P01589";"P01589";"IL2RA_HUMAN";"Interleukin-2 receptor subunit alpha";"IL2RA";3;4;"2.69970369906466E-4";3;0;4;0;"5.42673851561342E-4";"0";0;"integral component of membrane, external side of plasma membrane, plasma membrane"
"257";257;"P01730";"P01730";"CD4_HUMAN";"T-cell surface glycoprotein CD4";"CD4";1;2;"8.01658740333612E-5";1;0;2;0;"1.61143327101184E-4";"0";0;"T cell receptor complex, membrane raft, endoplasmic reticulum lumen, integral component of membrane, endoplasmic reticulum membrane, early endosome, external side of plasma membrane"
"258";258;"P01889";"P01889";"1B07_HUMAN";"HLA class I histocompatibility antigen, B-7 alpha chain";"HLA-B";0;0;"0";0;0;0;0;"0";"0";46;"integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, MHC class I protein complex, Golgi membrane, cell surface, phagocytic vesicle membrane, extracellular vesicular exosome, integral component of plasma membrane, early endosome membrane"
"259";259;"P01892";"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";0;0;"0";0;0;0;0;"0";"0";145;"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex"
"260";260;"P01893";"P01893";"HLAH_HUMAN";"Putative HLA class I histocompatibility antigen, alpha chain H";"HLA-H";1;2;"2.54179405440402E-4";1;0;2;0;"5.18927253765019E-4";"0";25;"integral component of plasma membrane, MHC class I protein complex"
"261";261;"P01903";"P01903";"DRA_HUMAN";"HLA class II histocompatibility antigen, DR alpha chain";"HLA-DRA";8;18;"0.00130095957781699";8;0;18;0;"0.00261508974138221";"0";0;"extracellular vesicular exosome, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, integral component of plasma membrane, trans-Golgi network membrane, late endosome membrane, MHC class II protein complex, lysosomal membrane, Golgi membrane, clathrin-coated endocytic vesicle membrane"
"266";266;"P02751";"P02751-9";"FINC_HUMAN";"Fibronectin";"FN1";1;1;"1.69268932682344E-5";1;0;1;0;"0";"0";6;"platelet alpha granule lumen, extracellular vesicular exosome, basement membrane, endoplasmic reticulum-Golgi intermediate compartment, blood microparticle, apical plasma membrane, fibrinogen complex, extracellular matrix"
"267";267;"P02751";"P02751-5";"FINC_HUMAN";"Fibronectin";"FN1";2;2;"1.5388084789304E-5";0;2;0;2;"0";"0";0;"platelet alpha granule lumen, extracellular vesicular exosome, basement membrane, endoplasmic reticulum-Golgi intermediate compartment, blood microparticle, apical plasma membrane, fibrinogen complex, extracellular matrix"
"271";271;"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";21;67;"0.00161840132275508";21;2;63;4;"0.0030589668159063";"4.04219159972213E-4";0;"extracellular vesicular exosome, blood microparticle, integral component of plasma membrane, endosome, external side of plasma membrane, coated pit, perinuclear region of cytoplasm, cytoplasmic membrane-bounded vesicle, melanosome"
"272";272;"P03952";"P03952";"KLKB1_HUMAN";"Plasma kallikrein";"KLKB1";2;3;"8.63228142020676E-5";1;2;1;2;"5.78398462479173E-5";"2.40757493400378E-4";0;"extracellular space, plasma membrane"
"273";273;"P03989";"P03989";"1B27_HUMAN";"HLA class I histocompatibility antigen, B-27 alpha chain";"HLA-B";0;0;"0";0;0;0;0;"0";"0";56;"ER to Golgi transport vesicle membrane, cell surface, phagocytic vesicle membrane, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex, Golgi membrane, extracellular vesicular exosome"
"274";274;"P04040";"P04040";"CATA_HUMAN";"Catalase";"CAT";10;31;"0.00107988147962587";10;2;23;8;"0.00161051594656914";"0.00116586930390467";0;"endoplasmic reticulum, peroxisomal matrix, Golgi apparatus, lysosome, cytosol, peroxisomal membrane, mitochondrial intermembrane space, plasma membrane"
"276";276;"P04114";"P04114";"APOB_HUMAN";"Apolipoprotein B-100";"APOB";5;5;"2.01161353864121E-5";0;5;0;5;"0";"8.41569585740965E-5";0;"chylomicron remnant, cytosol, low-density lipoprotein particle, endosome lumen, early endosome, endosome membrane, endoplasmic reticulum lumen, endoplasmic reticulum membrane, mature chylomicron, clathrin-coated endocytic vesicle membrane, plasma membrane, intermediate-density lipoprotein particle, very-low-density lipoprotein particle, endocytic vesicle lumen"
"277";277;"P04222";"P04222";"1C03_HUMAN";"HLA class I histocompatibility antigen, Cw-3 alpha chain";"HLA-C";0;0;"0";0;0;0;0;"0";"0";29;"phagocytic vesicle membrane, early endosome membrane, Golgi membrane, cell surface, ER to Golgi transport vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex"
"278";278;"P04229";"P04229";"2B11_HUMAN";"HLA class II histocompatibility antigen, DRB1-1 beta chain";"HLA-DRB1";1;1;"4.55498879751963E-4";1;0;1;0;"9.15609114965151E-4";"0";24;"integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, late endosome membrane, external side of plasma membrane, clathrin-coated endocytic vesicle membrane, trans-Golgi network membrane, Golgi membrane, MHC class II protein complex, extracellular vesicular exosome, lysosomal membrane"
"279";279;"P04233";"P04233-2";"HG2A_HUMAN";"HLA class II histocompatibility antigen gamma chain";"CD74";7;14;"8.68283081591068E-4";7;0;14;0;"0";"0";0;"trans-Golgi network membrane, lysosomal membrane, external side of plasma membrane, clathrin-coated endocytic vesicle membrane, MHC class II protein complex, integral component of lumenal side of endoplasmic reticulum membrane, macrophage migration inhibitory factor receptor complex, extracellular vesicular exosome, Golgi membrane, NOS2-CD74 complex, plasma membrane, ER to Golgi transport vesicle membrane, multivesicular body, lysosomal lumen, cell surface"
"281";281;"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";21;194;"0.00669781321596778";18;19;72;122;"0.00513375349785815";"0.0173472372313942";58;"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle"
"283";283;"P04350";"P04350";"TBB4A_HUMAN";"Tubulin beta-4A chain";"TUBB4A";3;10;"0.00151334806118386";3;1;7;3;"0.00197368566954865";"0.00262322022082718";202;"internode region of axon, plasma membrane, neuronal cell body, cilium, myelin sheath, cytosol, microtubule"
"284";284;"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";17;385;"0.021097982937765";16;12;300;85;"0.0330464076771683";"0.019486983383735";0;"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane"
"285";285;"P04439";"P04439";"1A03_HUMAN";"HLA class I histocompatibility antigen, A-3 alpha chain";"HLA-A";1;1;"3.79950124611716E-4";1;0;1;0;"7.71953503708421E-4";"0";70;"MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, early endosome membrane, integral component of plasma membrane, ER to Golgi transport vesicle membrane, Golgi membrane"
"286";286;"P04792";"P04792";"HSPB1_HUMAN";"Heat shock protein beta-1";"HSPB1";8;24;"0.00214922753018221";7;3;19;5;"0.00342016885959636";"0.00187321074133465";0;"spindle, Z disc, extracellular vesicular exosome, cytoskeleton, proteasome complex, cytosol, nucleus, plasma membrane, extracellular space"
"291";291;"P05023";"P05023-3";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";1;1;"1.10248220237413E-4";1;0;1;0;"0";"0";69;"T-tubule, endoplasmic reticulum, basolateral plasma membrane, melanosome, endosome, Golgi apparatus, sodium:potassium-exchanging ATPase complex, caveola, extracellular vesicular exosome"
"292";292;"P05023";"P05023-1";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";4;12;"0.00132297864284896";4;0;12;0;"0";"0";69;"T-tubule, endoplasmic reticulum, basolateral plasma membrane, melanosome, endosome, Golgi apparatus, sodium:potassium-exchanging ATPase complex, caveola, extracellular vesicular exosome"
"293";293;"P05026";"P05026-2";"AT1B1_HUMAN";"Sodium/potassium-transporting ATPase subunit beta-1";"ATP1B1";4;4;"2.42349638991943E-4";4;0;4;0;"0";"0";0;"apical plasma membrane, caveola, sodium:potassium-exchanging ATPase complex, extracellular vesicular exosome, basolateral plasma membrane"
"294";294;"P05067";"P05067-1,P05067-7,P05067-8,P05067-9";"A4_HUMAN";"Amyloid beta A4 protein";"APP";1;1;"5.96038479014276E-6";1;0;1;0;"0";"0";0;"apical part of cell, extracellular vesicular exosome, perinuclear region of cytoplasm, spindle midzone, synapse, platelet alpha granule lumen, receptor complex, axon, integral component of plasma membrane, neuromuscular junction, dendritic shaft, ciliary rootlet, dendritic spine, coated pit, Golgi apparatus, cell surface, cytosol"
"297";297;"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";4;18;"0.00221774317292292";4;3;11;7;"0.00246483885534988";"0.0046390252587415";28;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane"
"302";302;"P05362";"P05362";"ICAM1_HUMAN";"Intercellular adhesion molecule 1";"ICAM1";6;14;"4.83104872464203E-4";6;0;14;0;"9.71100576478191E-4";"0";0;"extracellular vesicular exosome, external side of plasma membrane, immunological synapse, integral component of plasma membrane, extracellular space"
"308";308;"P05556";"P05556-4";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";1;1;"1.46395415898243E-4";1;0;1;0;"0";"0";59;"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface"
"309";309;"P05556";"P05556-1";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";2;8;"0.00117116332718595";2;0;8;0;"0";"0";59;"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface"
"310";310;"P05556";"P05556-2";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";2;2;"2.92790831796487E-4";2;0;2;0;"0";"0";59;"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface"
"315";315;"P06241";"P06241-1,P06241-2,P06241-3,P07947";"FYN_HUMAN, YES_HUMAN";"Tyrosine-protein kinase Fyn, Tyrosine-protein kinase Yes";"FYN, YES1";1;1;"9.20456080126782E-6";1;0;1;0;"7.33958888741527E-5";"0";2;"endosome, plasma membrane, mitochondrion, nucleus, cytosol, postsynaptic density"
"318";318;"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";21;125;"0.00433789819320409";21;11;86;39;"0.00599916197340402";"0.00566212471719111";0;"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane"
"321";321;"P06733";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";11;28;"0.0011843861389445";11;4;20;8;"0";"0";0;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space"
"326";326;"P07093";"P07093-3";"GDN_HUMAN";"Glia-derived nexin";"SERPINE2";1;1;"5.63757221356887E-5";1;0;1;0;"0";"0";2;"extracellular space, cytosol, platelet alpha granule, extrinsic component of external side of plasma membrane, neuromuscular junction, extracellular matrix"
"331";331;"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";9;24;"8.67306385211325E-4";9;4;18;6;"0.00130754487069111";"9.07105988914021E-4";0;"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome"
