"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5134"	"peptide.count.P5136"	"spectra.count.P5134"	"spectra.count.P5136"	"dNSAF.P5134"	"dNSAF.P5136"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"P12956"	"P12956"	"XRCC6_HUMAN"	"X-ray repair cross-complementing protein 6"	"XRCC6"	24	86	0.00259242483286209	22	14	49	37	0.00296911210739309	0.00466610951495018	0	"positive regulation of transcription from RNA polymerase II promoter;response to ionizing radiation;establishment of integrated proviral latency;transcription;positive regulation of neurogenesis;DNA ligation;telomere maintenance;V(D)J recombination;negative regulation of transcription;double-strand break repair via nonhomologous end joining"	"cytoplasm;Ku70:Ku80 complex;membrane;transcription factor complex;nonhomologous end joining complex;nuclear telomere cap complex"	"5'-deoxyribose-5-phosphate lyase activity;telomeric DNA binding;double-stranded DNA binding;transcription regulatory region DNA binding;damaged DNA binding;ATP-dependent DNA helicase activity;ATP binding"
"P25705"	"P25705"	"ATPA_HUMAN"	"ATP synthase subunit alpha, mitochondrial"	"ATP5A1"	24	97	0.00322011674485181	20	15	63	34	0.00420400502728533	0.0047219815070895	0	"mitochondrial ATP synthesis coupled proton transport;embryo development;lipid metabolic process;ATP hydrolysis coupled proton transport;respiratory electron transport chain;negative regulation of endothelial cell proliferation"	"mitochondrial proton-transporting ATP synthase complex;mitochondrial matrix;proton-transporting ATP synthase complex;plasma membrane"	"ATP binding;eukaryotic cell surface binding;MHC class I protein binding;proton-transporting ATPase activity;proton-transporting ATP synthase activity"
"P26038"	"P26038"	"MOES_HUMAN"	"Moesin"	"MSN"	24	164	0.00609237046877177	23	16	103	61	0.00777986028981627	0.00927932669290012	30	"regulation of lymphocyte migration;leukocyte migration;leukocyte cell-cell adhesion;membrane to membrane docking"	"plasma membrane;microvillus;cytoplasm;apical part of cell;apical plasma membrane;filopodium;cytoskeleton;extrinsic to membrane;basolateral plasma membrane;microvillus membrane;extracellular vesicular exosome;uropod;nucleolus"	"structural constituent of cytoskeleton"
"Q8WZ42-7"	"Q8WZ42-7"	"TITIN_HUMAN"	"Titin"	"TTN"	24	34	2.28578878413202e-05	15	11	23	11	0	0	44	"skeletal muscle thin filament assembly;regulation of protein kinase activity;detection of muscle stretch;muscle filament sliding;cardiac myofibril assembly;platelet activation;sarcomere organization;adult heart development;sarcomerogenesis;cardiac muscle fiber development;cardiac muscle hypertrophy;platelet degranulation;forward locomotion;response to calcium ion;in utero embryonic development;skeletal muscle myosin thick filament assembly;cardiac muscle contraction;cardiac muscle tissue morphogenesis;mitotic chromosome condensation"	"Golgi apparatus;M band;Z disc;striated muscle thin filament;cytosol;extracellular region;condensed nuclear chromosome"	"protein serine/threonine kinase activity;nucleic acid binding;protein self-association;protein tyrosine kinase activity;structural constituent of muscle;actin filament binding;actinin binding;calmodulin binding;ATP binding;calcium ion binding;telethonin binding"
"O15031"	"O15031"	"PLXB2_HUMAN"	"Plexin-B2"	"PLXNB2"	23	49	0.000489413097131853	23	0	49	0	0.000983780888684652	0	0	"brain development;neural tube closure;regulation of Rho GTPase activity;positive regulation of axonogenesis;regulation of cell shape;regulation of neuron migration;regulation of protein phosphorylation;neuroblast proliferation;positive regulation of GTPase activity"	"integral to plasma membrane;intracellular"	"semaphorin receptor activity;GTPase activator activity"
"P13612"	"P13612"	"ITA4_HUMAN"	"Integrin alpha-4"	"ITGA4"	23	58	0.00103174722762704	23	0	58	0	0.00207393960325381	0	0	"heart development;regulation of immune response;face development;heterophilic cell-cell adhesion;blood coagulation;B cell differentiation;blood vessel remodeling;leukocyte cell-cell adhesion;chorio-allantoic fusion;leukocyte migration;integrin-mediated signaling pathway"	"plasma membrane;integrin complex;external side of plasma membrane;cell surface"	"metal ion binding"
"P13645"	"P13645"	"K1C10_HUMAN"	"Keratin, type I cytoskeletal 10"	"KRT10"	25	173	0.00619054006134928	23	18	86	87	0.00617323373132302	0.013119024406972	28	"keratinocyte differentiation;cellular response to calcium ion"	"cytoplasm;keratin filament;intermediate filament"	"structural constituent of epidermis"
"Q14974"	"Q14974"	"IMB1_HUMAN"	"Importin subunit beta-1"	"KPNB1"	23	88	0.00184418115698664	22	7	72	16	0.00303302645804147	0.0014027696875748	0	"NLS-bearing substrate import into nucleus;intracellular transport of viral material;small molecule metabolic process;protein import into nucleus;cytokine-mediated signaling pathway;ribosomal protein import into nucleus;viral infectious cycle;apoptotic DNA fragmentation"	"cytosol;nucleoplasm;nuclear membrane;nuclear pore"	"protein transporter activity;zinc ion binding;nuclear localization sequence binding"
"Q6P2Q9"	"Q6P2Q9"	"PRP8_HUMAN"	"Pre-mRNA-processing-splicing factor 8"	"PRPF8"	23	42	0.000330207870001228	18	10	28	14	0.000442505787311689	0.000460480927420165	0	"mRNA splicing"	"nucleoplasm;U5 snRNP;nuclear speck;catalytic step 2 spliceosome"	"RNA binding"
"P11021"	"P11021"	"GRP78_HUMAN"	"78 kDa glucose-regulated protein"	"HSPA5"	22	65	0.00207930092895402	20	8	49	16	0.00308451096368068	0.00224801656026486	12	"activation of signaling protein activity involved in unfolded protein response;ER-associated protein catabolic process;negative regulation of transforming growth factor beta receptor signaling pathway;positive regulation of protein ubiquitination;cerebellar Purkinje cell layer development;platelet degranulation;regulation of protein folding in endoplasmic reticulum;cerebellum structural organization;cellular response to glucose starvation;negative regulation of apoptotic process;ER overload response;platelet activation"	"midbody;endoplasmic reticulum lumen;integral to endoplasmic reticulum membrane;endoplasmic reticulum-Golgi intermediate compartment;melanosome;endoplasmic reticulum chaperone complex;nucleus;cell surface"	"chaperone binding;unfolded protein binding;protein binding;misfolded protein binding;ribosome binding;calcium ion binding;ATPase activity;ATP binding"
"P11586"	"P11586"	"C1TC_HUMAN"	"C-1-tetrahydrofolate synthase, cytoplasmic"	"MTHFD1"	22	67	0.00131549198427151	21	14	41	26	0.00161815475738291	0.00213566058851629	0	"methionine biosynthetic process;histidine biosynthetic process;tetrahydrofolate interconversion;folic acid-containing compound biosynthetic process;one-carbon metabolic process;purine nucleotide biosynthetic process;folic acid metabolic process"	"cytosol;mitochondrion"	"methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity;methenyltetrahydrofolate cyclohydrolase activity;formate-tetrahydrofolate ligase activity;methylenetetrahydrofolate dehydrogenase (NADP+) activity;ATP binding"
"P17987"	"P17987"	"TCPA_HUMAN"	"T-complex protein 1 subunit alpha"	"TCP1"	22	72	0.00237729304147852	20	15	44	28	0.00292028806451715	0.00386770850908664	0	"tubulin complex assembly;'de novo' posttranslational protein folding"	"chaperonin-containing T-complex;cell junction;nuclear heterochromatin;nucleus;centrosome;plasma membrane;cytosol;Golgi apparatus;pericentriolar material;microtubule"	"ATP binding;unfolded protein binding"
"P19338"	"P19338"	"NUCL_HUMAN"	"Nucleolin"	"NCL"	22	94	0.00243049380907343	18	14	54	40	0.00280661744075105	0.00432685297998425	0	"angiogenesis"	"nucleolus;nucleoplasm;ribonucleoprotein complex;cell cortex"	"nucleotide binding;telomeric DNA binding;RNA binding"
"P35579-1"	"P35579-1"	"MYH9_HUMAN"	"Myosin-9"	"MYH9"	22	76	0.00195051046980157	18	16	38	38	0	0	137	"protein transport;angiogenesis;termination of G-protein coupled receptor signaling pathway;leukocyte migration;cytokinesis;actin cytoskeleton reorganization;establishment of meiotic spindle localization;monocyte differentiation;actin filament-based movement;membrane protein ectodomain proteolysis;in utero embryonic development;cell-cell adhesion;establishment of T cell polarity;meiotic metaphase I;blood vessel endothelial cell migration;meiotic spindle organization;uropod organization;integrin-mediated signaling pathway;platelet formation;regulation of cell shape;axon guidance;myoblast fusion"	"neuromuscular junction;spindle;extracellular vesicular exosome;immunological synapse;stress fiber;cleavage furrow;cell-cell adherens junction;plasma membrane;cytosol;uropod;ruffle;nucleus;cortical cytoskeleton;actomyosin contractile ring;protein complex;myosin II complex"	"actin filament binding;microfilament motor activity;ADP binding;protein anchor;ATP binding;actin-dependent ATPase activity;protein homodimerization activity"
"P35908"	"P35908"	"K22E_HUMAN"	"Keratin, type II cytoskeletal 2 epidermal"	"KRT2"	22	127	0.00488362744072813	21	18	67	60	0.00497794928647585	0.0100187259419003	72	"keratinization;keratinocyte migration;keratinocyte proliferation;keratinocyte activation"	"Golgi apparatus;keratin filament;intermediate filament"	"structural constituent of cytoskeleton"
"P48643"	"P48643"	"TCPE_HUMAN"	"T-complex protein 1 subunit epsilon"	"CCT5"	22	62	0.00214740100414046	19	13	36	26	0.00248626877722725	0.00380459142805639	3	"response to virus;'de novo' posttranslational protein folding"	"chaperonin-containing T-complex;microtubule;centrosome;cytosol;nucleolus"	"ATP binding"
"O75533"	"O75533"	"SF3B1_HUMAN"	"Splicing factor 3B subunit 1"	"SF3B1"	21	58	0.000816536149471705	20	8	39	19	0.00110365878400359	0.00111904230636479	0	"anterior/posterior pattern specification;mRNA splicing"	"nuclear speck;U12-type spliceosomal complex;catalytic step 2 spliceosome;nucleoplasm"	"chromatin binding"
"P02786"	"P02786"	"TFR1_HUMAN"	"Transferrin receptor protein 1"	"TFRC"	21	67	0.00161840132275508	21	2	63	4	0.0030589668159063	0.000404219159972213	0	"proteolysis;transferrin transport;positive regulation of bone resorption;transmembrane transport;osteoclast differentiation;cellular iron ion homeostasis;virus-host interaction"	"perinuclear region of cytoplasm;melanosome;extracellular region;endosome;coated pit;cytoplasmic membrane-bounded vesicle;extracellular vesicular exosome;external side of plasma membrane;integral to plasma membrane"	"transferrin receptor activity;peptidase activity"
"P04075"	"P04075"	"ALDOA_HUMAN"	"Fructose-bisphosphate aldolase A"	"ALDOA"	21	236	0.0132198744695428	20	13	189	47	0.0215556315461529	0.0104676228437859	29	"protein homotetramerization;platelet activation;striated muscle contraction;ATP biosynthetic process;gluconeogenesis;fructose metabolic process;glycolysis;actin filament organization;muscle cell homeostasis;regulation of cell shape;fructose 1;platelet degranulation"	"actin cytoskeleton;platelet alpha granule lumen;I band;cytosol;extracellular vesicular exosome"	"actin binding;fructose binding;fructose-bisphosphate aldolase activity;tubulin binding;identical protein binding"
"P04264"	"P04264"	"K2C1_HUMAN"	"Keratin, type II cytoskeletal 1"	"KRT1"	21	194	0.00669781321596778	18	19	72	122	0.00513375349785815	0.0173472372313942	58	"fibrinolysis;regulation of angiogenesis;epidermis development;complement activation;response to oxidative stress"	"keratin filament;intermediate filament;membrane;plasma membrane"	"carbohydrate binding;receptor activity;structural constituent of cytoskeleton"
"P06576"	"P06576"	"ATPB_HUMAN"	"ATP synthase subunit beta, mitochondrial"	"ATP5B"	21	125	0.00433789819320409	21	11	86	39	0.00599916197340402	0.00566212471719111	0	"mitochondrial ATP synthesis coupled proton transport;lipid metabolic process;respiratory electron transport chain;ATP hydrolysis coupled proton transport;angiogenesis;negative regulation of cell adhesion involved in substrate-bound cell migration;regulation of intracellular pH"	"mitochondrial nucleoid;mitochondrial proton-transporting ATP synthase;plasma membrane;cell surface"	"MHC class I protein binding;proton-transporting ATP synthase activity;eukaryotic cell surface binding;ATP binding;proton-transporting ATPase activity"
"Q8WZ42-4"	"Q8WZ42-4"	"TITIN_HUMAN"	"Titin"	"TTN"	21	23	1.55358560998171e-05	11	10	13	10	0	0	43	"skeletal muscle thin filament assembly;regulation of protein kinase activity;detection of muscle stretch;muscle filament sliding;cardiac myofibril assembly;platelet activation;sarcomere organization;adult heart development;sarcomerogenesis;cardiac muscle fiber development;cardiac muscle hypertrophy;platelet degranulation;forward locomotion;response to calcium ion;in utero embryonic development;skeletal muscle myosin thick filament assembly;cardiac muscle contraction;cardiac muscle tissue morphogenesis;mitotic chromosome condensation"	"Golgi apparatus;M band;Z disc;striated muscle thin filament;cytosol;extracellular region;condensed nuclear chromosome"	"protein serine/threonine kinase activity;nucleic acid binding;protein self-association;protein tyrosine kinase activity;structural constituent of muscle;actin filament binding;actinin binding;calmodulin binding;ATP binding;calcium ion binding;telethonin binding"
"P09874"	"P09874"	"PARP1_HUMAN"	"Poly [ADP-ribose] polymerase 1"	"PARP1"	20	37	0.000669867308367524	20	0	37	0	0.00134651618395299	0	0	"cellular response to insulin stimulus;transforming growth factor beta receptor signaling pathway;protein poly-ADP-ribosylation;double-strand break repair;DNA damage response;telomere maintenance;protein autoprocessing;base-excision repair;regulation of growth rate;transcription initiation from RNA polymerase II promoter;negative regulation of transcription from RNA polymerase II promoter"	"nuclear envelope;transcription factor complex;nucleolus"	"NAD+ ADP-ribosyltransferase activity;NAD binding;DNA binding;zinc ion binding"
"P41252"	"P41252"	"SYIC_HUMAN"	"Isoleucine--tRNA ligase, cytoplasmic"	"IARS"	20	48	0.000698243492372984	13	14	23	25	0.000672537166277289	0.00152142710766086	0	"isoleucyl-tRNA aminoacylation;regulation of translational fidelity;tRNA aminoacylation for protein translation"	"cytosol;nucleus"	"aminoacyl-tRNA editing activity;isoleucine-tRNA ligase activity;ATP binding"
"P46940"	"P46940"	"IQGA1_HUMAN"	"Ras GTPase-activating-like protein IQGAP1"	"IQGAP1"	20	44	0.00048747818150884	12	13	17	27	0.000378594431143579	0.00125144495513425	0	"small molecule metabolic process;signal transduction;energy reserve metabolic process;negative regulation of dephosphorylation;positive regulation of protein kinase activity;regulation of insulin secretion;positive regulation of Ras GTPase activity;small GTPase mediated signal transduction;glomerular visceral epithelial cell development;regulation of cytokine production;cellular response to calcium ion"	"ribonucleoprotein complex;microtubule;actin filament;cytoplasm;plasma membrane;lateral plasma membrane;neuron projection;slit diaphragm;nucleus;midbody;cell leading edge"	"calcium ion binding;calmodulin binding;Ras GTPase activator activity;GTPase activator activity;GTPase inhibitor activity"
"Q8WZ42-8"	"Q8WZ42-8"	"TITIN_HUMAN"	"Titin"	"TTN"	20	22	1.437048153194e-05	14	7	15	7	0	0	42	"skeletal muscle thin filament assembly;regulation of protein kinase activity;detection of muscle stretch;muscle filament sliding;cardiac myofibril assembly;platelet activation;sarcomere organization;adult heart development;sarcomerogenesis;cardiac muscle fiber development;cardiac muscle hypertrophy;platelet degranulation;forward locomotion;response to calcium ion;in utero embryonic development;skeletal muscle myosin thick filament assembly;cardiac muscle contraction;cardiac muscle tissue morphogenesis;mitotic chromosome condensation"	"Golgi apparatus;M band;Z disc;striated muscle thin filament;cytosol;extracellular region;condensed nuclear chromosome"	"protein serine/threonine kinase activity;nucleic acid binding;protein self-association;protein tyrosine kinase activity;structural constituent of muscle;actin filament binding;actinin binding;calmodulin binding;ATP binding;calcium ion binding;telethonin binding"
"Q8WZ42-9"	"Q8WZ42-9"	"TITIN_HUMAN"	"Titin"	"TTN"	20	22	1.33938225961659e-05	9	11	9	13	0	0	25	"skeletal muscle thin filament assembly;regulation of protein kinase activity;detection of muscle stretch;muscle filament sliding;cardiac myofibril assembly;platelet activation;sarcomere organization;adult heart development;sarcomerogenesis;cardiac muscle fiber development;cardiac muscle hypertrophy;platelet degranulation;forward locomotion;response to calcium ion;in utero embryonic development;skeletal muscle myosin thick filament assembly;cardiac muscle contraction;cardiac muscle tissue morphogenesis;mitotic chromosome condensation"	"Golgi apparatus;M band;Z disc;striated muscle thin filament;cytosol;extracellular region;condensed nuclear chromosome"	"protein serine/threonine kinase activity;nucleic acid binding;protein self-association;protein tyrosine kinase activity;structural constituent of muscle;actin filament binding;actinin binding;calmodulin binding;ATP binding;calcium ion binding;telethonin binding"
"P00558"	"P00558"	"PGK1_HUMAN"	"Phosphoglycerate kinase 1"	"PGK1"	19	67	0.00380456210583372	19	8	45	22	0.00491421782617006	0.00570947446579457	20	"gluconeogenesis;glycolysis;small molecule metabolic process"	"cytosol"	"phosphoglycerate kinase activity;ATP binding"
"P13010"	"P13010"	"XRCC5_HUMAN"	"X-ray repair cross-complementing protein 5"	"XRCC5"	19	62	0.00155491131082741	18	8	50	12	0.00252061625042153	0.00125904328515935	0	"telomere maintenance;double-strand break repair via nonhomologous end joining;establishment of integrated proviral latency;cell proliferation;hematopoietic stem cell differentiation;transcription;positive regulation of neurogenesis;negative regulation of apoptotic process;negative regulation of transcription;DNA recombination"	"nuclear telomere cap complex;nonhomologous end joining complex;cytoplasm;Ku70:Ku80 complex;nucleoplasm"	"transcription regulatory region DNA binding;telomeric DNA binding;ATP binding;double-stranded DNA binding;ATP-dependent DNA helicase activity;damaged DNA binding"
"P38646"	"P38646"	"GRP75_HUMAN"	"Stress-70 protein, mitochondrial"	"HSPA9"	19	73	0.00199690601740536	15	13	42	31	0.00233014081624019	0.00350640773525233	1	"protein export from nucleus;negative regulation of apoptotic process;cellular protein metabolic process;protein targeting to mitochondrion;protein folding"	"cell surface;mitochondrial nucleoid;nucleolus"	"unfolded protein binding;ATP binding"
"P40926"	"P40926"	"MDHM_HUMAN"	"Malate dehydrogenase, mitochondrial"	"MDH2"	19	82	0.00445371237455165	19	5	69	13	0.00753321216427756	0.00295390924595079	0	"NADH metabolic process;tricarboxylic acid cycle;cellular carbohydrate metabolic process;oxaloacetate metabolic process;gluconeogenesis;malate metabolic process;internal protein amino acid acetylation"	"mitochondrial matrix;nucleus;mitochondrial inner membrane;plasma membrane"	"malate dehydrogenase (NADP+) activity;L-malate dehydrogenase activity"
"P50991"	"P50991"	"TCPD_HUMAN"	"T-complex protein 1 subunit delta"	"CCT4"	19	83	0.00288541346845768	18	15	44	39	0.00305004854530599	0.00572806297563592	3	"'de novo' posttranslational protein folding"	"nucleus;chaperonin-containing T-complex;microtubule;cytosol;centrosome;melanosome"	"unfolded protein binding;ATP binding"
"Q8WZ42-2"	"Q8WZ42-2"	"TITIN_HUMAN"	"Titin"	"TTN"	19	29	2.04427851171258e-05	10	10	16	13	0	0	45	"skeletal muscle thin filament assembly;regulation of protein kinase activity;detection of muscle stretch;muscle filament sliding;cardiac myofibril assembly;platelet activation;sarcomere organization;adult heart development;sarcomerogenesis;cardiac muscle fiber development;cardiac muscle hypertrophy;platelet degranulation;forward locomotion;response to calcium ion;in utero embryonic development;skeletal muscle myosin thick filament assembly;cardiac muscle contraction;cardiac muscle tissue morphogenesis;mitotic chromosome condensation"	"Golgi apparatus;M band;Z disc;striated muscle thin filament;cytosol;extracellular region;condensed nuclear chromosome"	"protein serine/threonine kinase activity;nucleic acid binding;protein self-association;protein tyrosine kinase activity;structural constituent of muscle;actin filament binding;actinin binding;calmodulin binding;ATP binding;calcium ion binding;telethonin binding"
"Q99613"	"Q99613"	"EIF3C_HUMAN"	"Eukaryotic translation initiation factor 3 subunit C"	"EIF3C,EIF3CL"	19	49	0.000985258786997093	15	8	30	19	0.00121254617435393	0.00159828167305552	0	"translational initiation"	"eukaryotic translation initiation factor 3 complex;cytosol"	"translation initiation factor activity"
"P04843"	"P04843"	"RPN1_HUMAN"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1"	"RPN1"	18	49	0.00148194608324274	16	9	33	16	0.00200619460115923	0.0020244254469778	0	"post-translational protein modification;protein N-linked glycosylation via asparagine;SRP-dependent cotranslational protein targeting to membrane;translation"	"rough endoplasmic reticulum;melanosome;oligosaccharyltransferase complex;integral to membrane"	"dolichyl-diphosphooligosaccharide-protein glycotransferase activity"
"Q8WZ42-11"	"Q8WZ42-11"	"TITIN_HUMAN"	"Titin"	"TTN"	18	25	1.63300926499319e-05	8	11	10	15	0	0	42	"skeletal muscle thin filament assembly;regulation of protein kinase activity;detection of muscle stretch;muscle filament sliding;cardiac myofibril assembly;platelet activation;sarcomere organization;adult heart development;sarcomerogenesis;cardiac muscle fiber development;cardiac muscle hypertrophy;platelet degranulation;forward locomotion;response to calcium ion;in utero embryonic development;skeletal muscle myosin thick filament assembly;cardiac muscle contraction;cardiac muscle tissue morphogenesis;mitotic chromosome condensation"	"Golgi apparatus;M band;Z disc;striated muscle thin filament;cytosol;extracellular region;condensed nuclear chromosome"	"protein serine/threonine kinase activity;nucleic acid binding;protein self-association;protein tyrosine kinase activity;structural constituent of muscle;actin filament binding;actinin binding;calmodulin binding;ATP binding;calcium ion binding;telethonin binding"
