"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5375"	"spectra.count.P5375"	"dNSAF.P5375"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"P08865"	"P08865"	"RSSA_HUMAN"	"40S ribosomal protein SA"	"RPSA"	2	2	0.0130179184421279	2	2	0.013937214376216	0	"viral transcription;translational termination;rRNA export from nucleus;nuclear-transcribed mRNA catabolic process;translational elongation;SRP-dependent cotranslational protein targeting to membrane;cell adhesion;endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA;endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA;ribosomal small subunit assembly;translational initiation"	"plasma membrane;nucleus;90S preribosome;cytosolic small ribosomal subunit"	"structural constituent of ribosome;ribosome binding;laminin receptor activity"
"P19338"	"P19338"	"NUCL_HUMAN"	"Nucleolin"	"NCL"	2	2	0.00540885343722215	2	2	0.00579081442392074	0	"angiogenesis"	"nucleoplasm;nucleolus;cell cortex;ribonucleoprotein complex"	"telomeric DNA binding;RNA binding;nucleotide binding"
"P23396"	"P23396"	"RS3_HUMAN"	"40S ribosomal protein S3"	"RPS3"	2	2	0.0158036458453816	2	2	0.0169196635431429	0	"translational termination;negative regulation of DNA repair;translational initiation;activation of cysteine-type endopeptidase activity involved in apoptotic process;SRP-dependent cotranslational protein targeting to membrane;translational elongation;negative regulation of NF-kappaB transcription factor activity;nuclear-transcribed mRNA catabolic process;response to DNA damage stimulus;viral transcription;positive regulation of execution phase of apoptosis"	"ruffle membrane;nucleus;cytosolic small ribosomal subunit"	"iron-sulfur cluster binding;structural constituent of ribosome;DNA-(apurinic or apyrimidinic site) lyase activity;mRNA binding;endonuclease activity;damaged DNA binding"
"P35580-1,P35580-2,P35580-3"	"P35580-[1-3]"	"MYH10_HUMAN"	"Myosin-10"	"MYH10"	2	2	0.000647821514916958	2	2	0	0	"neuromuscular process controlling balance;cardiac myofibril assembly;axon guidance;cerebellar Purkinje cell layer development;lateral ventricle development;ventricular cardiac muscle cell development;third ventricle development;exocytosis;retina development in camera-type eye;plasma membrane repair;regulation of cell shape;in utero embryonic development;actin filament-based movement;mitotic cytokinesis;cell proliferation;neuron migration;fourth ventricle development;nuclear migration;adult heart development;substrate-dependent cell migration"	"stress fiber;spindle;plasma membrane;myosin complex;neuronal cell body;cleavage furrow;cell cortex;axon;myosin II complex;neuromuscular junction;growth cone;midbody;dendritic spine"	"actin filament binding;ADP binding;microfilament motor activity;ATP binding;actin-dependent ATPase activity"
"P60709,P63261"	"P60709, P63261"	"ACTB_HUMAN, ACTG_HUMAN"	"Actin, cytoplasmic 1, Actin, cytoplasmic 2"	"ACTB, ACTG1"	5	12	0.0307222875234218	5	12	0.0328918259278698	0	"axon guidance;adherens junction organization;blood coagulation;Fc-gamma receptor signaling pathway involved in phagocytosis;innate immune response;'de novo' posttranslational protein folding;cell junction assembly;sarcomere organization"	"MLL5-L complex;extracellular vesicular exosome;ribonucleoprotein complex;cytosol;NuA4 histone acetyltransferase complex;postsynaptic density;cytoskeleton;axon;cortical cytoskeleton;filamentous actin;myofibril"	"structural constituent of cytoskeleton;ATP binding"
"P68363,Q13748-1,Q13748-2,Q71U36,Q9BQE3"	"P68363, Q13748-[1,2], Q71U36, Q9BQE3"	"TBA1A_HUMAN, TBA1B_HUMAN, TBA1C_HUMAN, TBA3C_HUMAN"	"Tubulin alpha-1A chain, Tubulin alpha-1B chain, Tubulin alpha-1C chain, Tubulin alpha-3C/D chain"	"TUBA1A, TUBA1B, TUBA1C, TUBA3C,TUBA3D"	4	10	0.00853017756647651	4	10	0.015216425762338	0	"'de novo' posttranslational protein folding;microtubule cytoskeleton organization;cell division;microtubule-based process;cellular response to interleukin-4;protein polymerization;cytoskeleton-dependent intracellular transport;G2/M transition of mitotic cell cycle"	"microtubule;cytoplasmic microtubule;cytoplasm;cytosol"	"structural constituent of cytoskeleton;GTP binding;structural molecule activity;GTPase activity"
"Q08211-1"	"Q08211-1"	"DHX9_HUMAN"	"ATP-dependent RNA helicase A"	"DHX9"	2	2	0.00302384719718718	2	2	0	0	"innate immune response;cellular response to heat;positive regulation of type I interferon production;mRNA splicing;CRD-mediated mRNA stabilization;circadian rhythm"	"nucleoplasm;centrosome;CRD-mediated mRNA stability complex;cytosol;nucleolus;ribonucleoprotein complex"	"RNA binding;DNA binding;ATP-dependent DNA helicase activity;ATP binding;ATP-dependent RNA helicase activity"
"P07437"	"P07437"	"TBB5_HUMAN"	"Tubulin beta chain"	"TUBB"	1	3	0.0648696949396575	1	3	0.069450645962563	16	"natural killer cell mediated cytotoxicity;cytoskeleton-dependent intracellular transport;spindle assembly;cell division;protein polymerization;cellular component movement;microtubule-based process;G2/M transition of mitotic cell cycle"	"nuclear envelope lumen;microtubule;extracellular vesicular exosome;cell body;plasma membrane;cytosol"	"structural molecule activity;MHC class I protein binding;structural constituent of cytoskeleton;GTPase activity;GTP binding"
"P12035"	"P12035"	"K2C3_HUMAN"	"Keratin, type II cytoskeletal 3"	"KRT3"	1	1	0.00425202632725491	1	1	0.0045522948019468	5	"intermediate filament cytoskeleton organization;epithelial cell differentiation"	"keratin filament"	"structural molecule activity"
"P14618-1,P14618-2"	"P14618-[1,2]"	"KPYM_HUMAN"	"Pyruvate kinase isozymes M1/M2"	"PKM"	6	10	0.0180804422807332	6	10	0	0	"small molecule metabolic process;glycolysis;programmed cell death"	"mitochondrion;cilium;plasma membrane;extracellular vesicular exosome;nucleus;cytosol"	"magnesium ion binding;ATP binding;potassium ion binding;pyruvate kinase activity"
"P22626-1"	"P22626-1"	"ROA2_HUMAN"	"Heterogeneous nuclear ribonucleoproteins A2/B1"	"HNRNPA2B1"	4	5	0.0271974924959471	4	5	0	0	"negative regulation of mRNA splicing;mRNA splicing;RNA transport"	"cytoplasm;nucleolus;catalytic step 2 spliceosome;nucleoplasm"	"nucleotide binding;single-stranded telomeric DNA binding;RNA binding;pre-mRNA intronic binding"
"P68371"	"P68371"	"TBB4B_HUMAN"	"Tubulin beta-4B chain"	"TUBB4B"	1	1	0.0215746401147625	1	1	0.0230981923650771	16	"protein polymerization;G2/M transition of mitotic cell cycle;natural killer cell mediated cytotoxicity;spindle assembly;'de novo' posttranslational protein folding;cellular component movement"	"microtubule;cytosol;nucleus;plasma membrane"	"GTP binding;MHC class I protein binding;unfolded protein binding;structural constituent of cytoskeleton;GTPase activity"
"P02533"	"P02533"	"K1C14_HUMAN"	"Keratin, type I cytoskeletal 14"	"KRT14"	1	2	0.0112946262872455	1	2	0.012092227230059	13	"epithelial cell differentiation;response to ionizing radiation;hemidesmosome assembly;response to zinc ion;epidermis development;intermediate filament bundle assembly"	"cell periphery;nucleus;cytosol;keratin filament"	"structural constituent of cytoskeleton"
"P04259"	"P04259"	"K2C6B_HUMAN"	"Keratin, type II cytoskeletal 6B"	"KRT6B"	0	0	0	0	0	0	8	"ectoderm development"	"keratin filament"	"structural constituent of cytoskeleton"
