"";"protein.acs";"X.1";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6157.1.id.csv";"peptide.count.P6157.2.id.csv";"spectra.count.P6157.1.id.csv";"spectra.count.P6157.2.id.csv";"dNSAF.P6157.1.id.csv";"dNSAF.P6157.2.id.csv";"Go.Cc";"norm.sc";"Go.Mf"
"11";"O15144";21;21;"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";3;3;0,000702399818927286;3;NA;3;NA;0,00177208609510447;NA;"focal adhesion, extracellular vesicular exosome, actin cytoskeleton, neuron projection, cytoplasm, cell leading edge, endosome, synapse, plasma membrane, Golgi apparatus, Arp2/3 protein complex, cytosol";0,000579710144927536;"structural constituent of cytoskeleton, protein binding"
"12";"O15145";22;22;"O15145";"ARPC3_HUMAN";"Actin-related protein 2/3 complex subunit 3";"ARPC3";2;2;0,00078921327969358;2;NA;2;NA;0,00199110797202749;NA;"Arp2/3 protein complex, actin cytoskeleton, extracellular vesicular exosome, cytosol, lamellipodium";0,000386473429951691;"structural constituent of cytoskeleton, protein binding"
"13";"O15427";27;27;"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";2;6;0,00090632234700295;2;2;3;3;0,0011432813516803;0,00127091589534476;"membrane, actin cytoskeleton, integral component of plasma membrane, plasma membrane, nuclear membrane";0,00115942028985507;"symporter activity, monocarboxylic acid transmembrane transporter activity, poly(A) RNA binding, secondary active monocarboxylate transmembrane transporter activity"
"14";"O15511";28;28;"O15511-1,O15511-2";"ARPC5_HUMAN";"Actin-related protein 2/3 complex subunit 5";"ARPC5";1;1;0,000232582721499101;1;NA;1;NA;NA;NA;"extracellular vesicular exosome, cell projection, cytosol, cytoplasm, Arp2/3 protein complex, actin cytoskeleton";0,000193236714975845;"protein binding, structural constituent of cytoskeleton"
"15";"O43175";30;30;"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";5;5;0,000658911650025597;NA;5;NA;5;NA;0,0018479546320679;"cytosol, extracellular vesicular exosome";0,000966183574879227;"electron carrier activity, phosphoglycerate dehydrogenase activity, NAD binding"
"16";"O43242";31;31;"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";2;2;0,000263071093231193;2;NA;2;NA;0,000663702657342497;NA;"cytoplasm, nucleus, proteasome complex, cytosol, proteasome accessory complex, nucleoplasm, extracellular vesicular exosome";0,000386473429951691;"enzyme regulator activity"
"17";"O43278";32;32;"O43278-1,O43278-2";"SPIT1_HUMAN";"Kunitz-type protease inhibitor 1";"SPINT1";3;3;0,000199168190622104;3;NA;3;NA;NA;NA;"extracellular region, membrane";0,000579710144927536;"serine-type endopeptidase inhibitor activity"
"18";"O43707";37;37;"O43707-1";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";1;1;0,000115653098615909;1;NA;1;NA;NA;NA;"pseudopodium, platelet alpha granule lumen, extracellular vesicular exosome, extracellular region, cell-cell junction, Z disc, ribonucleoprotein complex, neuron projection, stress fiber, protein complex, cortical cytoskeleton, perinuclear region of cytoplasm, cytoplasm, nucleus";0,000193236714975845;"poly(A) RNA binding, nucleoside binding, protein homodimerization activity, actin filament binding, calcium ion binding, integrin binding, protein binding, actin binding"
"19";"O60488";39;39;"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";5;5;0,00024697602634574;3;2;3;2;NA;NA;"endoplasmic reticulum membrane, lipid particle, extracellular vesicular exosome, peroxisomal membrane, cytoplasm, mitochondrial outer membrane, integral component of membrane, neuronal cell body";0,000966183574879227;"ATP binding, very long-chain fatty acid-CoA ligase activity, long-chain fatty acid-CoA ligase activity, arachidonate-CoA ligase activity"
"20";"O60884";43;43;"O60884";"DNJA2_HUMAN";"DnaJ homolog subfamily A member 2";"DNAJA2";2;2;0,000340970785887032;2;NA;2;NA;0,000860235968497314;NA;"membrane, extracellular vesicular exosome";0,000386473429951691;"metal ion binding, protein binding, ATP binding, unfolded protein binding, chaperone binding"
"21";"O75323";44;44;"O75323-1";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";3;3;0,000736783026846803;1;2;1;2;NA;NA;"mitochondrion, membrane, integral component of plasma membrane";0,000579710144927536;"protein binding"
"22";"O75348";45;45;"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";1;2;0,00119050816767337;1;1;1;1;0,00150176787720718;0,00166942342185117;"vacuolar proton-transporting V-type ATPase complex, lysosomal membrane, cytosol, extracellular vesicular exosome, plasma membrane";0,000386473429951691;"ATPase binding, hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances"
"23";"O75390";48;48;"O75390";"CISY_HUMAN";"Citrate synthase, mitochondrial";"CS";4;7;0,0010551070241397;3;4;3;4;0,00114082795822176;0,00169091814402093;"mitochondrion, extracellular vesicular exosome, mitochondrial matrix";0,00135265700483092;"poly(A) RNA binding, citrate (Si)-synthase activity"
"24";"O94804";63;63;"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";4;7;0,000507933753356508;3;3;3;4;0,000549200236086095;0,000814016379249744;"plasma membrane, cytoplasm, extracellular vesicular exosome";0,00135265700483092;"identical protein binding, receptor signaling protein serine/threonine kinase activity, protein serine/threonine kinase activity, ATP binding, polo kinase kinase activity, protein homodimerization activity, protein binding"
"25";"O95232";66;66;"O95232-1";"LC7L3_HUMAN";"Luc7-like protein 3";"LUC7L3";1;1;0,000162592550677612;1;NA;1;NA;NA;NA;"plasma membrane, focal adhesion, nucleus, U1 snRNP, nuclear speck";0,000193236714975845;"DNA binding, poly(A) RNA binding, mRNA binding, protein binding"
"26";"O95297";67;67;"O95297-1,O95297-2,O95297-3";"MPZL1_HUMAN";"Myelin protein zero-like protein 1";"MPZL1";2;5;0,000435191957204019;2;1;3;2;NA;NA;"integral component of plasma membrane";0,000966183574879227;"protein binding, structural molecule activity"
"27";"P00338";69;69;"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";2;2;0,000282088280693689;2;0;2;0;NA;NA;"extracellular vesicular exosome, cytosol, cilium, mitochondrion";0,000386473429951691;"protein binding, L-lactate dehydrogenase activity"
"28";"P00505";71;71;"P00505";"AATM_HUMAN";"Aspartate aminotransferase, mitochondrial";"GOT2";4;4;0,000653395180397475;2;2;2;2;0,000824226090746264;0,000916241691992735;"mitochondrial inner membrane, mitochondrion, extracellular vesicular exosome, plasma membrane, mitochondrial matrix";0,000772946859903382;"poly(A) RNA binding, kynurenine-oxoglutarate transaminase activity, L-aspartate:2-oxoglutarate aminotransferase activity, pyridoxal phosphate binding, L-phenylalanine:2-oxoglutarate aminotransferase activity"
"29";"P00558";72;72;"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";15;23;0,00387414768233275;12;9;14;9;0,00594944971977519;0,00425162511752024;"extracellular vesicular exosome, cytosol";0,00444444444444444;"protein binding, phosphoglycerate kinase activity, ATP binding"
"30";"P00813";73;73;"P00813";"ADA_HUMAN";"Adenosine deaminase";"ADA";2;2;0,000386997145414483;NA;2;NA;2;NA;0,00108535517233299;"neuronal cell body, cell junction, extracellular space, membrane, cytosol, lysosome, plasma membrane, cell surface, cytoplasm, cytoplasmic membrane-bounded vesicle lumen, dendrite cytoplasm, external side of plasma membrane";0,000386473429951691;"zinc ion binding, adenosine deaminase activity, protein binding, purine nucleoside binding"
"31";"P01889";74;74;"P01889";"1B07_HUMAN";"HLA class I histocompatibility antigen, B-7 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"phagocytic vesicle membrane, early endosome membrane, cell surface, extracellular vesicular exosome, ER to Golgi transport vesicle membrane, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex, integral component of plasma membrane, plasma membrane";0;"receptor binding, peptide antigen binding"
"32";"P01892";75;75;"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";5;15;0,0132301335756852;4;5;8;7;0,0165071033516581;0,018754714359728;"plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, cell surface";0,00289855072463768;"T cell receptor binding, receptor binding, protein binding, peptide antigen binding, poly(A) RNA binding, beta-2-microglobulin binding, TAP binding"
"33";"P01903";76;76;"P01903";"DRA_HUMAN";"HLA class II histocompatibility antigen, DR alpha chain";"HLA-DRA";6;10;0,00276535361782396;4;5;5;5;0,00348835845493005;0,00387779456256768;"lysosomal membrane, MHC class II protein complex, extracellular vesicular exosome, plasma membrane, late endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, transport vesicle membrane, integral component of plasma membrane, lysosome, Golgi membrane, clathrin-coated endocytic vesicle membrane, trans-Golgi network membrane, endocytic vesicle membrane, ER to Golgi transport vesicle membrane";0,00193236714975845;"peptide antigen binding, MHC class II receptor activity, MHC class II protein complex binding"
"34";"P01912";77;77;"P01912,Q5Y7A7";"2B13_HUMAN, 2B1D_HUMAN";"HLA class II histocompatibility antigen, DRB1-13 beta chain, HLA class II histocompatibility antigen, DRB1-3 chain";"HLA-DRB1";1;1;0,00118827037036571;0;1;0;1;NA;0,0025919995234005;"transport vesicle membrane, plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, lysosomal membrane, Golgi membrane, endocytic vesicle membrane, late endosome membrane, MHC class II protein complex, trans-Golgi network membrane, clathrin-coated endocytic vesicle membrane, ER to Golgi transport vesicle membrane";0,000193236714975845;"peptide antigen binding"
"35";"P02786";78;78;"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";22;31;0,00286505189299288;17;12;19;12;0,00443021523776117;0,0031103994280806;"cell surface, endosome, plasma membrane, integral component of plasma membrane, perinuclear region of cytoplasm, extracellular region, extracellular space, blood microparticle, melanosome, external side of plasma membrane, intracellular membrane-bounded organelle, membrane, cytoplasmic membrane-bounded vesicle, extracellular vesicular exosome, coated pit";0,00599033816425121;"identical protein binding, transferrin receptor activity, poly(A) RNA binding, double-stranded RNA binding, peptidase activity, protein binding"
"36";"P03989";79;79;"P03989";"1B27_HUMAN";"HLA class I histocompatibility antigen, B-27 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"early endosome membrane, cell surface, integral component of lumenal side of endoplasmic reticulum membrane, plasma membrane, phagocytic vesicle membrane, extracellular vesicular exosome, ER to Golgi transport vesicle membrane, MHC class I protein complex, membrane, Golgi membrane";0;"peptide antigen binding"
"37";"P04040";80;80;"P04040";"CATA_HUMAN";"Catalase";"CAT";7;8;0,00106626158470935;4;4;4;4;0,00134503688432977;0,00149519517099384;"endoplasmic reticulum, peroxisome, cytosol, intracellular membrane-bounded organelle, plasma membrane, mitochondrial intermembrane space, peroxisomal matrix, peroxisomal membrane, lysosome, Golgi apparatus";0,00154589371980676;"catalase activity, oxidoreductase activity, acting on peroxide as acceptor, aminoacylase activity, metal ion binding, antioxidant activity, protein homodimerization activity, receptor binding, enzyme binding, NADP binding, heme binding"
"38";"P04075";81;81;"P04075-1";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";22;46;0,00887648122820196;20;16;25;21;NA;NA;"actin cytoskeleton, platelet alpha granule lumen, cytosol, extracellular space, extracellular vesicular exosome, extracellular region, I band";0,00888888888888889;"actin binding, protein binding, tubulin binding, fructose-bisphosphate aldolase activity, identical protein binding, fructose binding, poly(A) RNA binding, cytoskeletal protein binding"
"39";"P04222";82;82;"P04222";"1C03_HUMAN";"HLA class I histocompatibility antigen, Cw-3 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"MHC class I protein complex, cell surface, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, plasma membrane, ER to Golgi transport vesicle membrane, early endosome membrane";0;"peptide antigen binding, TAP binding, receptor binding"
"40";"P04259";83;83;"P02538,P04259,P48668";"K2C6A_HUMAN, K2C6B_HUMAN, K2C6C_HUMAN";"Keratin, type II cytoskeletal 6A, Keratin, type II cytoskeletal 6B, Keratin, type II cytoskeletal 6C";"KRT6A, KRT6B, KRT6C";0;0;0;0;0;0;0;0;0;"extracellular vesicular exosome, keratin filament";0;"structural constituent of cytoskeleton"
"41";"P04264";84;84;"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";18;28;0,00372942018167411;17;10;18;10;0,00613133678672301;0,00367065771015723;"extracellular vesicular exosome, plasma membrane, blood microparticle, extracellular space, membrane, cytoskeleton, keratin filament";0,00541062801932367;"protein binding, structural molecule activity, receptor activity, carbohydrate binding"
"42";"P04406";86;86;"P04406-1";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";18;45;0,00943522144827698;17;13;23;22;NA;NA;"perinuclear region of cytoplasm, extracellular vesicular exosome, GAIT complex, ribonucleoprotein complex, cytosol, nucleus, microtubule cytoskeleton, lipid particle, cytoplasm, plasma membrane";0,00869565217391304;"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity, NAD binding, peptidyl-cysteine S-nitrosylase activity, identical protein binding, protein binding, microtubule binding, NADP binding"
"43";"P04439";87;87;"P04439";"1A03_HUMAN";"HLA class I histocompatibility antigen, A-3 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;0;"MHC class I protein complex, integral component of plasma membrane, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane, early endosome membrane";0;"TAP binding, receptor binding, beta-2-microglobulin binding, peptide antigen binding"
"44";"P04792";88;88;"P04792";"HSPB1_HUMAN";"Heat shock protein beta-1";"HSPB1";4;5;0,00171317029006655;4;1;4;1;0,0034577289660575;0,000960936408675307;"spindle, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleus, extracellular space, Z disc, proteasome complex, plasma membrane, cytosol";0,000966183574879227;"poly(A) RNA binding, protein kinase C binding, ubiquitin binding, identical protein binding, protein kinase C inhibitor activity, protein binding, protein kinase binding"
"45";"P04899";91;91;"P04899-1,P04899-2,P04899-3,P04899-4";"GNAI2_HUMAN";"Guanine nucleotide-binding protein G(i) subunit alpha-2";"GNAI2";1;1;4,94647759807948e-05;1;NA;1;NA;NA;NA;"heterotrimeric G-protein complex, nucleus, centrosome, membrane raft, extrinsic component of cytoplasmic side of plasma membrane, extracellular vesicular exosome, cytosol, midbody, plasma membrane, cytoplasm";0,000193236714975845;"GTP binding, signal transducer activity, metal ion binding, G-protein coupled receptor binding, G-protein beta/gamma-subunit complex binding, GTPase activity, protein binding"
"46";"P05023";92;92;"P05023-1,P05023-4";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";23;46;0,00157919802886878;22;19;25;21;NA;NA;"basolateral plasma membrane, integral component of membrane, endosome, endoplasmic reticulum, T-tubule, membrane, extracellular vesicular exosome, caveola, sodium:potassium-exchanging ATPase complex, Golgi apparatus, melanosome, plasma membrane";0,00888888888888889;"ADP binding, ATP binding, potassium ion binding, protein binding, sodium ion binding, sodium:potassium-exchanging ATPase activity, chaperone binding"
"47";"P05026";93;93;"P05026-1,P05026-2";"AT1B1_HUMAN";"Sodium/potassium-transporting ATPase subunit beta-1";"ATP1B1";3;4;0,00046363024351636;3;1;3;1;NA;NA;"extracellular vesicular exosome, apical plasma membrane, basolateral plasma membrane, caveola, plasma membrane, sodium:potassium-exchanging ATPase complex";0,000772946859903382;"protein binding, sodium:potassium-exchanging ATPase activity, MHC class II protein complex binding"
"48";"P05107";94;94;"P05107";"ITB2_HUMAN";"Integrin beta-2";"ITGB2";15;25;0,00228348445685073;13;10;14;11;0,00322616454245287;0,00281783043116101;"integrin complex, extracellular vesicular exosome, receptor complex, plasma membrane";0,00483091787439614;"metal ion binding, protein binding, glycoprotein binding, receptor activity, protein kinase binding"
"49";"P05141";96;96;"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";1;1;0,000612832056782196;1;0;1;0;0,001585759369221;0;"integral component of membrane, mitochondrial nucleoid, integral component of plasma membrane, mitochondrion, mitochondrial inner membrane, MMXD complex";0,000193236714975845;"protein binding, poly(A) RNA binding, adenine transmembrane transporter activity"
"50";"P05198";97;97;"P05198";"IF2A_HUMAN";"Eukaryotic translation initiation factor 2 subunit 1";"EIF2S1";2;3;0,000668952208502177;1;2;1;2;0,000562567014318879;0,00125074262716469;"polysome, nucleus, extracellular vesicular exosome, cytoplasmic stress granule, eukaryotic translation initiation factor 2 complex, cytosol";0,000579710144927536;"poly(A) RNA binding, protein binding, translation initiation factor activity, ribosome binding"
"51";"P05362";99;99;"P05362";"ICAM1_HUMAN";"Intercellular adhesion molecule 1";"ICAM1";4;6;0,000792180246910473;3;3;3;3;0,000999296670171692;0,00111085693860021;"extracellular vesicular exosome, external side of plasma membrane, immunological synapse, integral component of plasma membrane, plasma membrane, extracellular space";0,00115942028985507;"transmembrane signaling receptor activity, receptor activity, protein binding, integrin binding, virus receptor activity"
"52";"P05387";100;100;"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";5;9;0,00549704206117006;5;3;6;3;0,00924566658315375;0,00513892079422012;"extracellular vesicular exosome, cytosolic large ribosomal subunit, cytosol";0,00173913043478261;"RNA binding, structural constituent of ribosome"
"53";"P05388";101;101;"P05388";"RLA0_HUMAN";"60S acidic ribosomal protein P0";"RPLP0";8;14;0,00310208121923723;7;5;8;6;0,00447214156493241;0,0037285545194657;"ribonucleoprotein complex, extracellular vesicular exosome, cytoplasm, cytosolic large ribosomal subunit, nucleus, cytosol";0,00270531400966184;"RNA binding, protein binding, poly(A) RNA binding, structural constituent of ribosome"
"54";"P05534";102;102;"P05534,P30447";"1A23_HUMAN, 1A24_HUMAN";"HLA class I histocompatibility antigen, A-23 alpha chain, HLA class I histocompatibility antigen, A-24 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;0;"ER to Golgi transport vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, extracellular vesicular exosome, Golgi membrane, MHC class I protein complex, plasma membrane, early endosome membrane, phagocytic vesicle membrane";0;"TAP binding, peptide antigen binding, beta-2-microglobulin binding"
"55";"P05556";103;103;"P05556-1";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";19;37;0,00325674101507639;18;14;21;16;NA;NA;"focal adhesion, alpha9-beta1 integrin complex, receptor complex, basement membrane, melanosome, myelin sheath abaxonal region, lamellipodium, hemidesmosome, membrane raft, alpha7-beta1 integrin complex, alpha3-beta1 integrin complex, cell surface, sarcolemma, plasma membrane, intercalated disc, alpha8-beta1 integrin complex, external side of plasma membrane, integrin complex, extracellular vesicular exosome, neuromuscular junction, cytoplasm, filopodium, recycling endosome, acrosomal vesicle, ruffle, cleavage furrow";0,00714975845410628;"metal ion binding, protein heterodimerization activity, peptide binding, cell adhesion molecule binding, virus receptor activity, actin binding, protein binding"
"56";"P05787";104;104;"P05787-1,P05787-2";"K2C8_HUMAN";"Keratin, type II cytoskeletal 8";"KRT8";0;0;0;0;0;0;0;NA;NA;"sarcolemma, extracellular vesicular exosome, intermediate filament, Z disc, nuclear matrix, costamere, cytoplasm, keratin filament, nucleoplasm, dystrophin-associated glycoprotein complex";0;"structural molecule activity, scaffold protein binding, protein binding"
"57";"P06213";105;105;"P06213-1,P06213-2";"INSR_HUMAN";"Insulin receptor";"INSR";1;1;2,54124391797137e-05;1;NA;1;NA;NA;NA;"extracellular vesicular exosome, integral component of plasma membrane, insulin receptor complex, endosome membrane, receptor complex, plasma membrane, caveola, membrane";0,000193236714975845;"GTP binding, insulin-like growth factor II binding, PTB domain binding, insulin receptor substrate binding, insulin-like growth factor receptor binding, protein binding, insulin binding, insulin-activated receptor activity, receptor signaling protein tyrosine kinase activity, protein tyrosine kinase activity, SH2 domain binding, phosphatidylinositol 3-kinase binding, ATP binding, insulin-like growth factor I binding"
"58";"P06493";106;106;"P06493-1,P06493-2";"CDK1_HUMAN";"Cyclin-dependent kinase 1";"CDK1";1;1;0,000118249127765536;1;NA;1;NA;NA;NA;"cytoplasm, spindle microtubule, cytosol, microtubule organizing center, nucleus, mitochondrion, nucleoplasm, extracellular vesicular exosome, midbody";0,000193236714975845;"protein serine/threonine kinase activity, histone kinase activity, protein binding, ATP binding, RNA polymerase II carboxy-terminal domain kinase activity, protein kinase activity, cyclin-dependent protein serine/threonine kinase activity"
"59";"P06576";107;107;"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";20;36;0,00478003657493049;17;14;20;16;0,00669975839358967;0,00595816903677695;"mitochondrial nucleoid, mitochondrial membrane, mitochondrial proton-transporting ATP synthase, catalytic core, mitochondrial matrix, mitochondrial proton-transporting ATP synthase complex, extracellular vesicular exosome, cell surface, mitochondrion, plasma membrane";0,00695652173913044;"proton-transporting ATP synthase activity, rotational mechanism, transmembrane transporter activity, ATP binding, transporter activity, proton-transporting ATPase activity, rotational mechanism, MHC class I protein binding, protein binding"
"60";"P06730";108;108;"P06730-1,P06730-2,P06730-3";"IF4E_HUMAN";"Eukaryotic translation initiation factor 4E";"EIF4E";1;1;0,000107895517500351;1;NA;1;NA;NA;NA;"cytoplasmic mRNA processing body, cytoplasm, cytosol, extracellular vesicular exosome, chromatoid body, RISC complex, eukaryotic translation initiation factor 4F complex, cytoplasmic stress granule, mRNA cap binding complex";0,000193236714975845;"RNA cap binding, protein binding, translation initiation factor activity, poly(A) RNA binding"
"61";"P06733";109;109;"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";7;10;0,00161843276250527;5;5;5;5;NA;NA;"extracellular vesicular exosome, plasma membrane, cytoplasm, nucleus, phosphopyruvate hydratase complex, extracellular space, M band, cytosol";0,00193236714975845;"transcription corepressor activity, sequence-specific DNA binding transcription factor activity, phosphopyruvate hydratase activity, magnesium ion binding, DNA binding, protein binding, poly(A) RNA binding"
"62";"P07195";113;113;"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";2;4;0,00112159651724916;2;2;2;2;0,00132641174783269;0,00176938889621351;"extracellular vesicular exosome, mitochondrion, cytoplasm, cytosol";0,000772946859903382;"NAD binding, L-lactate dehydrogenase activity"
"63";"P07237";114;114;"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";9;12;0,00165921217069438;6;6;6;6;0,00209301507295803;0,00232667673754061;"endoplasmic reticulum, endoplasmic reticulum lumen, extracellular region, plasma membrane, procollagen-proline 4-dioxygenase complex, extracellular vesicular exosome, melanosome, endoplasmic reticulum-Golgi intermediate compartment";0,00231884057971014;"procollagen-proline 4-dioxygenase activity, protein disulfide isomerase activity, protein binding, poly(A) RNA binding"
"64";"P07437";115;115;"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";4;9;0,00781355081128572;3;4;5;4;0,011175317716875;0,00952423608658514;"cytosol, cell body, microtubule, nuclear envelope lumen, extracellular vesicular exosome, cytoskeleton";0,00173913043478261;"structural molecule activity, protein binding, GTP binding, MHC class I protein binding, structural constituent of cytoskeleton, GTPase activity"
