"";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5836.1.id.csv";"peptide.count.P5836.2.id.csv";"peptide.count.P5837.1.id.csv";"peptide.count.P5837.2.id.csv";"spectra.count.P5836.1.id.csv";"spectra.count.P5836.2.id.csv";"spectra.count.P5837.1.id.csv";"spectra.count.P5837.2.id.csv";"dNSAF.P5836.1.id.csv";"dNSAF.P5836.2.id.csv";"dNSAF.P5837.1.id.csv";"dNSAF.P5837.2.id.csv";"Go.Cc"
"16";"O00178";"GTPB1_HUMAN";"GTP-binding protein 1";"GTPBP1";2;2;2,65671694033739e-05;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000139988406158199;"cytoplasmic exosome (RNase complex), cytosol"
"19";"O00231";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";12;39;0,000410642190108667;9;11;10;5;11;12;11;5;NA;NA;NA;NA;"nucleoplasm, proteasome accessory complex, proteasome complex, cytosol"
"20";"O00232";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";11;32;0,000623629344942357;5;8;9;6;6;9;10;7;NA;NA;NA;NA;"cytosol, proteasome accessory complex, proteasome regulatory particle, nucleoplasm, extracellular vesicular exosome"
"21";"O00233";"PSMD9_HUMAN";"26S proteasome non-ATPase regulatory subunit 9";"PSMD9";2;6;0,000119552262315183;1;1;2;2;1;1;2;2;NA;NA;NA;NA;"cytosol, nucleoplasm, nucleus, proteasome regulatory particle"
"23";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";9;41;0,00102060348678592;7;9;8;6;10;11;12;8;0,0013131540612469;0,0014599956305651;0,0016071143151112;0,001049324859606;"eukaryotic 48S preinitiation complex, cytosol, eukaryotic translation initiation factor 3 complex, eukaryotic 43S preinitiation complex"
"25";"O00418";"EF2K_HUMAN";"Eukaryotic elongation factor 2 kinase";"EEF2K";1;4;4,90301691885715e-05;1;1;1;1;1;1;1;1;6,46615172227783e-05;6,53565442146385e-05;6,59471046545632e-05;6,45877542895415e-05;"cytoplasm, cytosol"
"26";"O00425";"IF2B3_HUMAN";"Insulin-like growth factor 2 mRNA-binding protein 3";"IGF2BP3";1;3;5,75564648019986e-05;1;1;0;1;1;1;0;1;NA;NA;NA;NA;"nucleus, cytosol, cytoplasm"
"30";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";6;21;0,000602003488625808;4;6;4;4;5;7;5;4;0,000756122580427649;0,00106994987706223;0,000771155659267069;0,000604208023998936;"proteasome complex, nucleoplasm, cytosol, proteasome regulatory particle, lid subcomplex, proteasome accessory complex"
"31";"O00505";"IMA3_HUMAN";"Importin subunit alpha-3";"KPNA3";3;4;7,58090694427689e-05;NA;0;2;2;NA;0;2;2;NA;NA;0,000214127675062001;0,000179754786410432;"nuclear pore, cytosol, nucleoplasm"
"32";"O00507";"USP9Y_HUMAN";"Probable ubiquitin carboxyl-terminal hydrolase FAF-Y";"USP9Y";1;2;6,95633515884821e-06;NA;1;NA;1;NA;1;NA;1;NA;NA;NA;NA;"cytoplasm"
"33";"O00541";"PESC_HUMAN";"Pescadillo homolog";"PES1";1;1;7,55673313386784e-06;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;"cytoplasm, PeBoW complex, condensed chromosome, nucleolus, nucleoplasm, preribosome, large subunit precursor"
"35";"O00584";"RNT2_HUMAN";"Ribonuclease T2";"RNASET2";4;10;0,000347137428337054;2;3;2;3;2;3;2;3;NA;NA;NA;NA;"lysosomal lumen, endoplasmic reticulum lumen, lysosome, extracellular region, extracellular space"
"37";"O00625";"PIR_HUMAN";"Pirin";"PIR";6;14;0,000429013980400001;3;4;3;4;3;4;3;4;0,000484961379170837;0,000653565442146385;0,000494603284909224;0,000645877542895415;"nucleus, cytoplasm"
"38";"O00629";"IMA4_HUMAN";"Importin subunit alpha-4";"KPNA4";3;14;0,000265331743049691;3;2;3;2;4;3;4;3;0,000359920153447326;0,000363788825762863;0,000428255350124003;0,000269632179615648;"cytosol, nucleoplasm"
"40";"O00764";"PDXK_HUMAN";"Pyridoxal kinase";"PDXK";2;5;7,12076776076008e-05;1;2;1;NA;1;2;2;NA;NA;NA;NA;NA;"nucleus, extracellular vesicular exosome, cytoplasm, cytosol"
"41";"O14508";"SOCS2_HUMAN";"Suppressor of cytokine signaling 2";"SOCS2";2;2;8,97648299538241e-05;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000472991129898157;"cytoplasm, cytosol"
"42";"O14519";"CDKA1_HUMAN";"Cyclin-dependent kinase 2-associated protein 1";"CDK2AP1";1;1;7,72758101341616e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000407183668347109;"nucleus, cytoplasm"
"44";"O14579";"COPE_HUMAN";"Coatomer subunit epsilon";"COPE";5;15;0,000432794715848795;4;2;3;3;6;2;4;3;NA;NA;NA;NA;"nucleus, COPI vesicle coat, Golgi apparatus, cytosol"
"47";"O14646";"CHD1_HUMAN";"Chromodomain-helicase-DNA-binding protein 1";"CHD1";1;1;2,59845560392649e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"cytoplasm, nucleus"
"48";"O14737";"PDCD5_HUMAN";"Programmed cell death protein 5";"PDCD5";6;18;0,00127968741582172;4;3;4;5;4;3;4;7;0,00150014719956846;0,00113720386933471;0,00152997282798587;0,00262226282415538;"nucleus, extracellular vesicular exosome, cytoplasm"
"49";"O14744";"ANM5_HUMAN";"Protein arginine N-methyltransferase 5";"PRMT5";7;27;0,000188337041182552;6;7;6;4;6;9;7;5;NA;NA;NA;NA;"nucleus, cytosol, cytoplasm, methylosome"
"51";"O14773";"TPP1_HUMAN";"Tripeptidyl-peptidase 1";"TPP1";4;11;8,68151863407766e-05;2;1;3;3;2;2;4;3;NA;NA;NA;NA;"mitochondrion, lysosomal lumen, melanosome, lysosome, extracellular vesicular exosome"
"52";"O14776";"TCRG1_HUMAN";"Transcription elongation regulator 1";"TCERG1";9;33;0,000133543578988681;5;8;8;6;5;10;10;8;NA;NA;NA;NA;"nucleus"
"53";"O14818";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";9;36;0,00129000747562673;8;7;5;6;10;9;8;9;NA;NA;NA;NA;"proteasome core complex, proteasome complex, proteasome core complex, alpha-subunit complex, extracellular vesicular exosome, nucleoplasm, cytosol"
"56";"O14933";"UB2L6_HUMAN";"Ubiquitin/ISG15-conjugating enzyme E2 L6";"UBE2L6";1;3;8,71246878963587e-05;1;1;NA;1;1;1;NA;1;NA;NA;NA;NA;"cytosol"
"57";"O14950";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";7;35;0,000906807976064141;7;6;7;6;11;8;8;8;0,00150342740481533;0,00110515439196765;0,0011151405451792;0,00109215444571236;"cytosol, apical part of cell, stress fiber, myosin II complex, Z disc, extracellular vesicular exosome"
"58";"O14974";"MYPT1_HUMAN";"Protein phosphatase 1 regulatory subunit 12A";"PPP1R12A";6;16;6,90230537120667e-05;3;4;3;5;4;4;3;5;NA;NA;NA;NA;"nucleoplasm, actin cytoskeleton, contractile fiber, cytoplasm, centrosome, PTW/PP1 phosphatase complex, kinetochore"
"59";"O14979";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";7;27;0,000721420758323875;5;7;5;6;6;7;7;7;NA;NA;NA;NA;"spliceosomal complex, cytoplasm, nucleus"
"61";"O15042";"SR140_HUMAN";"U2 snRNP-associated SURP motif-containing protein";"U2SURP";8;11;4,74994654128836e-05;2;NA;2;6;2;NA;2;7;NA;NA;NA;NA;"nucleus"
"62";"O15067";"PUR4_HUMAN";"Phosphoribosylformylglycinamidine synthase";"PFAS";23;80;0,000531343388067479;20;18;18;16;23;21;19;17;0,000805852615612727;0,00074368713428092;0,000678939735886852;0,000594950726172346;"extracellular vesicular exosome, cytosol"
"63";"O15116";"LSM1_HUMAN";"U6 snRNA-associated Sm-like protein LSm1";"LSM1";4;15;0,00100226144722879;3;3;3;2;4;4;4;3;0,0014099127815493;0,00142506750543197;0,00143794438720476;0,00105622831262972;"cytosol, cytoplasm, ribonucleoprotein complex, nucleus"
"64";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";10;37;0,000883894011077574;8;8;9;7;8;10;11;8;0,0010081634405702;0,00127374985364551;0,00141378537532296;0,00100701337333156;"cytoplasm, extracellular vesicular exosome, Arp2/3 protein complex, actin cytoskeleton"
"66";"O15145";"ARPC3_HUMAN";"Actin-related protein 2/3 complex subunit 3";"ARPC3";5;22;0,00109835842494061;5;5;4;5;6;7;4;5;0,00158021123550048;0,00186339585331062;0,00107441912077659;0,00131534050168308;"Arp2/3 protein complex, actin cytoskeleton, extracellular vesicular exosome, cytosol, lamellipodium"
"67";"O15212";"PFD6_HUMAN";"Prefoldin subunit 6";"PFDN6";3;8;0,00055111430483278;2;2;2;2;2;2;2;2;0,000726815503666888;0,000734627822567642;0,000741265905031912;0,000725986385425079;"prefoldin complex"
"68";"O15226";"NKRF_HUMAN";"NF-kappa-B-repressing factor";"NKRF";2;2;2,57586033780539e-05;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000135727889449036;"nucleolus, nucleus"
"69";"O15234";"CASC3_HUMAN";"Protein CASC3";"CASC3";1;1;1,26411353704532e-05;NA;1;NA;NA;NA;1;NA;NA;NA;6,74018414731336e-05;NA;NA;"exon-exon junction complex, perinuclear region of cytoplasm, cytosol, nuclear speck, ribonucleoprotein complex"
"71";"O15305";"PMM2_HUMAN";"Phosphomannomutase 2";"PMM2";1;5;0,000180624352955866;1;1;1;1;1;2;1;1;0,000190567479619977;0,000385231663053763;0,000194356304368123;0,000190350088861454;"neuronal cell body, cytosol"
"72";"O15347";"HMGB3_HUMAN";"High mobility group protein B3";"HMGB3";5;26;0,00115527336150572;4;4;5;5;5;5;8;8;0,00117198999966286;0,00118458736389032;0,00191246603498233;0,0018730448743967;"nucleus, chromosome"
"73";"O15355";"PPM1G_HUMAN";"Protein phosphatase 1G";"PPM1G";8;33;0,000537109339668761;7;8;7;5;7;10;10;6;0,000601020512647619;0,000867829570615621;0,000875671261438797;0,000514572767691402;"nucleus, cytoplasm"
"74";"O15371";"EIF3D_HUMAN";"Eukaryotic translation initiation factor 3 subunit D";"EIF3D";7;31;0,000502715808628259;6;5;6;7;8;7;7;9;0,000684373722430865;0,000605263616586296;0,000610732766645818;0,000769042147334413;"eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex, cytosol, eukaryotic 43S preinitiation complex"
"75";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";8;26;0,000656405319037339;6;4;6;6;8;5;7;6;0,00106544545423896;0,00067306100221041;0,00095079987534633;0,00079817253170314;"eukaryotic translation initiation factor 3 complex, cytosol, extracellular vesicular exosome, eukaryotic 43S preinitiation complex, eukaryotic 48S preinitiation complex"
"76";"O15382";"BCAT2_HUMAN";"Branched-chain-amino-acid aminotransferase, mitochondrial";"BCAT2";3;6;0,000136021196409621;2;1;2;NA;2;1;3;NA;NA;NA;NA;NA;"mitochondrial matrix, mitochondrion"
"78";"O15511";"ARPC5_HUMAN";"Actin-related protein 2/3 complex subunit 5";"ARPC5";4;19;0,00111819632545128;4;4;4;3;5;5;6;3;NA;NA;NA;NA;"extracellular vesicular exosome, cell projection, cytosol, cytoplasm, Arp2/3 protein complex, actin cytoskeleton"
"79";"O15550";"KDM6A_HUMAN";"Lysine-specific demethylase 6A";"KDM6A";1;1;6,34312502885695e-06;NA;NA;1;NA;NA;NA;1;NA;NA;NA;3,41268029083214e-05;NA;"nucleus, histone methyltransferase complex"
"80";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";14;54;0,000646742292362727;12;11;11;13;13;16;12;13;0,000821340700572352;0,00100972596611295;0,000781825737571394;0,000824610950992259;"U12-type spliceosomal complex, nucleolus, nucleus"
"81";"O43148";"MCES_HUMAN";"mRNA cap guanine-N7 methyltransferase";"RNMT";3;4;3,73391519555823e-05;NA;NA;2;2;NA;NA;2;2;NA;NA;NA;NA;"nucleus, nucleolus, mRNA cap binding complex, nucleoplasm, receptor complex"
"82";"O43172";"PRP4_HUMAN";"U4/U6 small nuclear ribonucleoprotein Prp4";"PRPF4";1;1;8,51218215079366e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"nucleoplasm, U4/U6 snRNP, nuclear speck, nucleus, spliceosomal complex, Cajal body"
"83";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";10;36;0,000600228619053338;9;8;8;10;9;8;8;11;0,000791587992267596;0,000711196916406948;0,000717623277666916;0,000966392758835072;"cytosol, extracellular vesicular exosome"
"85";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";12;38;0,000632388184056716;7;10;9;9;8;12;9;9;0,00070231610466688;0,00106479763046321;0,000805814340582443;0,000789204301009847;"cytoplasm, nucleus, proteasome complex, cytosol, proteasome accessory complex, nucleoplasm, extracellular vesicular exosome"
"86";"O43252";"PAPS1_HUMAN";"Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1";"PAPSS1";1;1;1,42415355215202e-05;NA;1;NA;NA;NA;1;NA;NA;NA;7,59350874288668e-05;NA;NA;"cytosol"
"88";"O43290";"SNUT1_HUMAN";"U4/U6.U5 tri-snRNP-associated protein 1";"SART1";3;3;3,33251931203572e-05;NA;1;NA;2;NA;1;NA;2;NA;NA;NA;NA;"nucleus, nucleoplasm, Cajal body, catalytic step 2 spliceosome, Golgi apparatus, cytoplasm, cytosol"
"89";"O43314";"VIP2_HUMAN";"Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2";"PPIP5K2";1;4;2,1448233705781e-05;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"cytosol"
"90";"O43324";"MCA3_HUMAN";"Eukaryotic translation elongation factor 1 epsilon-1";"EEF1E1";3;9;0,000459657836142858;3;1;3;2;3;1;3;2;0,000808268965284729;0,00027231893422766;0,00082433880818204;0,000538231285746179;"cytoplasm, nucleus, cytosol"
"91";"O43390";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";14;66;0,00111042194183231;12;13;11;10;17;16;18;15;NA;NA;NA;NA;"cytoplasm, catalytic step 2 spliceosome, spliceosomal complex, ribonucleoprotein complex, nucleus, nucleoplasm"
"92";"O43395";"PRPF3_HUMAN";"U4/U6 small nuclear ribonucleoprotein Prp3";"PRPF3";2;3;3,90339011658649e-05;2;1;NA;NA;2;1;NA;NA;0,000137275549008827;6,93755410770321e-05;NA;NA;"spliceosomal complex, cytoplasm, nuclear speck, nucleus, U4/U6 x U5 tri-snRNP complex, Cajal body"
"93";"O43396";"TXNL1_HUMAN";"Thioredoxin-like protein 1";"TXNL1";5;18;0,000553498017223926;5;4;5;3;5;4;5;4;0,00081106574371132;0,000655826914264538;0,000827191191601355;0,000648112413286056;"nucleus, cytoplasm, proteasome complex"
"94";"O43399";"TPD54_HUMAN";"Tumor protein D54";"TPD52L2";5;17;0,000366684972845354;4;4;4;4;4;4;4;5;NA;NA;NA;NA;"cytoplasm, perinuclear region of cytoplasm"
"95";"O43447";"PPIH_HUMAN";"Peptidyl-prolyl cis-trans isomerase H";"PPIH";6;23;0,0011877647523769;6;5;4;5;7;6;4;6;0,00190278483442141;0,00165211215883977;0,00111050287655911;0,00163853023457339;"U4/U6 x U5 tri-snRNP complex, cytoplasm, U4/U6 snRNP, nuclear speck, spliceosomal complex"
"96";"O43488";"ARK72_HUMAN";"Aflatoxin B1 aldehyde reductase member 2";"AKR7A2";5;9;0,000222786806375647;2;1;4;2;2;1;4;2;0,000261167687947155;0,000131987450015635;0,000532720344006221;0,000260869759665279;"Golgi apparatus, extracellular vesicular exosome"
"98";"O43592";"XPOT_HUMAN";"Exportin-T";"XPOT";3;4;3,69510110828631e-05;NA;2;2;NA;NA;2;2;NA;NA;9,85103836915029e-05;9,94005215687283e-05;NA;"cytoplasm, nucleoplasm, nucleus"
"99";"O43598";"RCL_HUMAN";"Deoxyribonucleoside 5'-monophosphate N-glycosidase";"RCL";2;6;0,000306438557428572;2;NA;2;2;2;NA;2;2;NA;NA;NA;NA;"extracellular vesicular exosome, cytoplasm, nucleus"
"102";"O43670";"ZN207_HUMAN";"Zinc finger protein 207";"ZNF207";2;8;7,43658423885237e-05;2;2;2;1;2;3;2;1;NA;NA;NA;NA;"kinetochore, nucleus"
"104";"O43681";"ASNA_HUMAN";"ATPase ASNA1";"ASNA1";5;18;0,000459657836142858;4;3;3;3;5;5;5;3;0,000673557471070607;0,000680797335569151;0,000686949006818366;0,000403673464309634;"cytoplasm, extracellular vesicular exosome, nucleolus, endoplasmic reticulum, nucleus"
"105";"O43684";"BUB3_HUMAN";"Mitotic checkpoint protein BUB3";"BUB3";9;31;0,000419951620622387;7;6;7;8;8;6;8;9;NA;NA;NA;NA;"nucleus, kinetochore, cytosol, condensed chromosome kinetochore"
"106";"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";26;90;0,0012002237153214;20;17;19;24;22;20;20;28;0,00149107024668627;0,00140574641930794;0,00153192461341926;0,00194127643786552;"pseudopodium, platelet alpha granule lumen, extracellular vesicular exosome, extracellular region, cell-cell junction, Z disc, ribonucleoprotein complex, neuron projection, stress fiber, protein complex, cortical cytoskeleton, perinuclear region of cytoplasm, cytoplasm, nucleus"
"107";"O43719";"HTSF1_HUMAN";"HIV Tat-specific factor 1";"HTATSF1";6;17;0,000200098289817597;3;4;5;4;3;4;6;4;0,000186276556237805;0,000251038381751591;0,000379960139400463;0,000248085413827378;"nucleus"
"109";"O43765";"SGTA_HUMAN";"Small glutamine-rich tetratricopeptide repeat-containing protein alpha";"SGTA";4;8;0,000227136566528526;3;3;1;1;3;3;1;1;0,000449325239487357;0,000454154899894053;0,000152752878193477;0,000149604223194625;"cytoplasm"
"110";"O43768";"ARP19_HUMAN, ENSA_HUMAN";"Alpha-endosulfine, cAMP-regulated phosphoprotein 19";"ARPP19, ENSA";1;3;2,23659014230585e-05;1;1;1;NA;1;1;1;NA;NA;NA;NA;NA;"nucleoplasm, cytoplasm"
"111";"O43776";"SYNC_HUMAN";"Asparagine--tRNA ligase, cytoplasmic";"NARS";18;63;0,00102164825624453;15;11;14;15;16;11;18;18;0,00136874744486173;0,000951128540349894;0,00157045568566067;0,00153808429466883;"cytoplasm, mitochondrion, extracellular vesicular exosome, cytosol"
"113";"O43809";"CPSF5_HUMAN";"Cleavage and polyadenylation specificity factor subunit 5";"NUDT21";5;22;0,000861267839821273;4;4;5;4;5;5;7;5;0,001032590308073;0,00104368930739235;0,00147436808864277;0,00103141237576911;"nucleoplasm, centrosome, paraspeckles, mRNA cleavage factor complex, nucleus"
"115";"O43823";"AKAP8_HUMAN";"A-kinase anchor protein 8";"AKAP8";2;11;0,000141262861011148;2;2;2;2;3;3;3;2;0,000203235260057143;0,000205419774085027;0,000207275943097796;0,0001353356123119;"mitochondrion, female pronucleus, nucleus, condensed chromosome, Golgi apparatus, nuclear matrix"
"116";"O43837";"IDH3B_HUMAN";"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial";"IDH3B";7;20;0,000461647696905381;5;5;4;4;5;7;4;4;NA;NA;NA;NA;"mitochondrial matrix, mitochondrion"
"117";"O43852";"CALU_HUMAN";"Calumenin";"CALU";5;20;0,000141059018498866;3;4;3;4;4;6;4;6;NA;NA;NA;NA;"sarcoplasmic reticulum lumen, Golgi apparatus, melanosome, extracellular region, endoplasmic reticulum"
"118";"O43865";"SAHH2_HUMAN, SAHH3_HUMAN";"Putative adenosylhomocysteinase 2, Putative adenosylhomocysteinase 3";"AHCYL1, AHCYL2";1;2;6,41664944156613e-06;1;1;0;0;1;1;0;0;NA;NA;NA;NA;"endoplasmic reticulum, extracellular vesicular exosome"
"120";"O60231";"DHX16_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16";"DHX16";1;2;1,82929562894784e-05;1;1;0;0;1;1;0;0;4,82498970631065e-05;4,81947732384603e-05;NA;NA;"nucleus"
"121";"O60234";"GMFG_HUMAN";"Glia maturation factor gamma";"GMFG";3;11;0,000871983143931725;2;3;3;2;3;3;3;2;0,00123801760527767;0,00133474632551022;0,00117845618352785;0,000989284264646146;"intracellular"
"122";"O60256";"KPRB_HUMAN";"Phosphoribosyl pyrophosphate synthase-associated protein 2";"PRPSAP2";7;15;0,000361248705911731;3;2;3;5;3;2;4;6;NA;NA;NA;NA;"ribose phosphate diphosphokinase complex"
"123";"O60282";"KIF5C_HUMAN";"Kinesin heavy chain isoform 5C";"KIF5C";1;1;1,16075211147186e-05;0;0;0;1;0;0;0;1;NA;NA;NA;NA;"microtubule, kinesin complex, cytoplasm"
"125";"O60341";"KDM1A_HUMAN";"Lysine-specific histone demethylase 1A";"KDM1A";2;5;2,60760509548961e-05;NA;1;2;2;NA;1;2;2;NA;NA;NA;NA;"transcription factor complex, nuclear chromatin, nucleoplasm, nucleus"
"129";"O60502";"NCOAT_HUMAN";"Bifunctional protein NCOAT";"MGEA5";3;5;4,85082869291953e-05;NA;NA;2;3;NA;NA;2;3;NA;NA;NA;NA;"nucleus, cytoplasm"
"130";"O60506";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";13;60;0,0010256779354733;11;11;13;11;15;14;16;15;NA;NA;NA;NA;"ribonucleoprotein complex, nucleoplasm, CRD-mediated mRNA stability complex, endoplasmic reticulum, catalytic step 2 spliceosome, nucleus, histone pre-mRNA 3'end processing complex, GAIT complex"
"131";"O60508";"PRP17_HUMAN";"Pre-mRNA-processing factor 17";"CDC40";2;3;4,60451718415989e-05;NA;2;1;NA;NA;2;1;NA;NA;0,000163673556323361;8,2576253669358e-05;NA;"nucleoplasm, catalytic step 2 spliceosome, spliceosomal complex"
"132";"O60547";"GMDS_HUMAN";"GDP-mannose 4,6 dehydratase";"GMDS";4;14;0,000334446382569893;4;3;4;2;5;3;4;2;0,000630102150356375;0,000382124956093652;0,000514103772844713;0,00025175334333289;"extracellular vesicular exosome, cytoplasm"
"133";"O60563";"CCNT1_HUMAN";"Cyclin-T1";"CCNT1";2;3;3,67219758902008e-05;1;2;NA;NA;1;2;NA;NA;6,45724517720582e-05;0,000130533042852928;NA;NA;"nucleoplasm, nucleus, positive transcription elongation factor complex b"
"134";"O60566";"BUB1B_HUMAN";"Mitotic checkpoint serine/threonine-protein kinase BUB1 beta";"BUB1B";1;1;2,82118036997733e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"spindle midzone, condensed nuclear chromosome kinetochore, anaphase-promoting complex, microtubule organizing center, kinetochore, condensed chromosome kinetochore, condensed chromosome outer kinetochore, cytosol, cytoplasm, perinuclear region of cytoplasm"
"136";"O60613";"SEP15_HUMAN";"15 kDa selenoprotein";"SEP15";1;1;5,48562849717814e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"endoplasmic reticulum lumen"
"138";"O60684";"IMA7_HUMAN";"Importin subunit alpha-7";"KPNA6";3;3;4,97390942094883e-05;3;NA;NA;NA;3;NA;NA;NA;0,000262385820820043;NA;NA;NA;"nucleus, cytoplasm"
"142";"O60832";"DKC1_HUMAN";"H/ACA ribonucleoprotein complex subunit 4";"DKC1";3;10;0,000172893349521957;3;3;2;2;3;3;2;2;NA;NA;NA;NA;"nucleolus, nucleoplasm, cytoplasm, telomerase holoenzyme complex, Cajal body, nucleus"
"143";"O60841";"IF2P_HUMAN";"Eukaryotic translation initiation factor 5B";"EIF5B";13;46;0,000335072980007963;10;10;9;11;11;11;11;13;0,000422684917911194;0,000427228229599788;0,000431088655426345;0,00049896687227781;"cytosol"
"144";"O60869";"EDF1_HUMAN";"Endothelial differentiation-related factor 1";"EDF1";5;18;0,00108081707417375;4;3;4;4;5;3;5;5;NA;NA;NA;NA;"nucleolus, nucleus, intracellular, cytoplasm"
"147";"O75083";"WDR1_HUMAN";"WD repeat-containing protein 1";"WDR1";16;57;0,000835879431401699;14;13;12;13;16;14;14;13;NA;NA;NA;NA;"cytoplasm, extracellular vesicular exosome, cell projection, extracellular region, podosome, cell junction, cytosol"
