"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5836.1.id.csv";"peptide.count.P5836.2.id.csv";"peptide.count.P5837.1.id.csv";"peptide.count.P5837.2.id.csv";"spectra.count.P5836.1.id.csv";"spectra.count.P5836.2.id.csv";"spectra.count.P5837.1.id.csv";"spectra.count.P5837.2.id.csv";"dNSAF.P5836.1.id.csv";"dNSAF.P5836.2.id.csv";"dNSAF.P5837.1.id.csv";"dNSAF.P5837.2.id.csv";"Go.Cc"
"19";19;"O00231";"O00231-1,O00231-2";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";12;39;0,000410642190108667;9;11;10;5;11;12;11;5;NA;NA;NA;NA;"nucleoplasm, proteasome accessory complex, proteasome complex, cytosol"
"21";21;"O00233";"O00233-1,O00233-2";"O00233-1,O00233-2";"PSMD9_HUMAN";"26S proteasome non-ATPase regulatory subunit 9";"PSMD9";2;6;0,000119552262315183;1;1;2;2;1;1;2;2;NA;NA;NA;NA;"cytosol, nucleoplasm, nucleus, proteasome regulatory particle"
"23";23;"O00303";"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";9;41;0,00102060348678592;7;9;8;6;10;11;12;8;0,0013131540612469;0,0014599956305651;0,0016071143151112;0,001049324859606;"eukaryotic 48S preinitiation complex, cytosol, eukaryotic translation initiation factor 3 complex, eukaryotic 43S preinitiation complex"
"25";25;"O00418";"O00418";"O00418";"EF2K_HUMAN";"Eukaryotic elongation factor 2 kinase";"EEF2K";1;4;4,90301691885715e-05;1;1;1;1;1;1;1;1;6,46615172227783e-05;6,53565442146385e-05;6,59471046545632e-05;6,45877542895415e-05;"cytoplasm, cytosol"
"26";26;"O00425";"O00425-1";"O00425-1";"IF2B3_HUMAN";"Insulin-like growth factor 2 mRNA-binding protein 3";"IGF2BP3";1;3;5,75564648019986e-05;1;1;0;1;1;1;0;1;NA;NA;NA;NA;"nucleus, cytosol, cytoplasm"
"30";30;"O00487";"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";6;21;0,000602003488625808;4;6;4;4;5;7;5;4;0,000756122580427649;0,00106994987706223;0,000771155659267069;0,000604208023998936;"proteasome complex, nucleoplasm, cytosol, proteasome regulatory particle, lid subcomplex, proteasome accessory complex"
"31";31;"O00505";"O00505";"O00505";"IMA3_HUMAN";"Importin subunit alpha-3";"KPNA3";3;4;7,58090694427689e-05;NA;0;2;2;NA;0;2;2;NA;NA;0,000214127675062001;0,000179754786410432;"nuclear pore, cytosol, nucleoplasm"
"32";32;"O00507";"O00507-1,O00507-2";"O00507-1,O00507-2";"USP9Y_HUMAN";"Probable ubiquitin carboxyl-terminal hydrolase FAF-Y";"USP9Y";1;2;6,95633515884821e-06;NA;1;NA;1;NA;1;NA;1;NA;NA;NA;NA;"cytoplasm"
"33";33;"O00541";"O00541-1,O00541-2";"O00541-1,O00541-2";"PESC_HUMAN";"Pescadillo homolog";"PES1";1;1;7,55673313386784e-06;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;"cytoplasm, PeBoW complex, condensed chromosome, nucleolus, nucleoplasm, preribosome, large subunit precursor"
"37";37;"O00625";"O00625";"O00625";"PIR_HUMAN";"Pirin";"PIR";6;14;0,000429013980400001;3;4;3;4;3;4;3;4;0,000484961379170837;0,000653565442146385;0,000494603284909224;0,000645877542895415;"nucleus, cytoplasm"
"38";38;"O00629";"O00629";"O00629";"IMA4_HUMAN";"Importin subunit alpha-4";"KPNA4";3;14;0,000265331743049691;3;2;3;2;4;3;4;3;0,000359920153447326;0,000363788825762863;0,000428255350124003;0,000269632179615648;"cytosol, nucleoplasm"
"41";41;"O14508";"O14508";"O14508";"SOCS2_HUMAN";"Suppressor of cytokine signaling 2";"SOCS2";2;2;8,97648299538241e-05;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000472991129898157;"cytoplasm, cytosol"
"42";42;"O14519";"O14519";"O14519";"CDKA1_HUMAN";"Cyclin-dependent kinase 2-associated protein 1";"CDK2AP1";1;1;7,72758101341616e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000407183668347109;"nucleus, cytoplasm"
"44";44;"O14579";"O14579-1";"O14579-1";"COPE_HUMAN";"Coatomer subunit epsilon";"COPE";5;15;0,000432794715848795;4;2;3;3;6;2;4;3;NA;NA;NA;NA;"nucleus, COPI vesicle coat, Golgi apparatus, cytosol"
"47";47;"O14646";"O14646-1,O14646-2";"O14646-1,O14646-2";"CHD1_HUMAN";"Chromodomain-helicase-DNA-binding protein 1";"CHD1";1;1;2,59845560392649e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"cytoplasm, nucleus"
"49";49;"O14744";"O14744-1,O14744-2";"O14744-1,O14744-2";"ANM5_HUMAN";"Protein arginine N-methyltransferase 5";"PRMT5";7;27;0,000188337041182552;6;7;6;4;6;9;7;5;NA;NA;NA;NA;"nucleus, cytosol, cytoplasm, methylosome"
"52";52;"O14776";"O14776-1,O14776-2";"O14776-1,O14776-2";"TCRG1_HUMAN";"Transcription elongation regulator 1";"TCERG1";9;33;0,000133543578988681;5;8;8;6;5;10;10;8;NA;NA;NA;NA;"nucleus"
"56";56;"O14933";"O14933-1,O14933-2";"O14933-1,O14933-2";"UB2L6_HUMAN";"Ubiquitin/ISG15-conjugating enzyme E2 L6";"UBE2L6";1;3;8,71246878963587e-05;1;1;NA;1;1;1;NA;1;NA;NA;NA;NA;"cytosol"
"58";58;"O14974";"O14974-1,O14974-2";"O14974-1,O14974-2";"MYPT1_HUMAN";"Protein phosphatase 1 regulatory subunit 12A";"PPP1R12A";6;16;6,90230537120667e-05;3;4;3;5;4;4;3;5;NA;NA;NA;NA;"nucleoplasm, actin cytoskeleton, contractile fiber, cytoplasm, centrosome, PTW/PP1 phosphatase complex, kinetochore"
"59";59;"O14979";"O14979-1";"O14979-1";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";7;27;0,000721420758323875;5;7;5;6;6;7;7;7;NA;NA;NA;NA;"spliceosomal complex, cytoplasm, nucleus"
"61";61;"O15042";"O15042-1,O15042-2";"O15042-1,O15042-2";"SR140_HUMAN";"U2 snRNP-associated SURP motif-containing protein";"U2SURP";8;11;4,74994654128836e-05;2;NA;2;6;2;NA;2;7;NA;NA;NA;NA;"nucleus"
"63";63;"O15116";"O15116";"O15116";"LSM1_HUMAN";"U6 snRNA-associated Sm-like protein LSm1";"LSM1";4;15;0,00100226144722879;3;3;3;2;4;4;4;3;0,0014099127815493;0,00142506750543197;0,00143794438720476;0,00105622831262972;"cytosol, cytoplasm, ribonucleoprotein complex, nucleus"
"67";67;"O15212";"O15212";"O15212";"PFD6_HUMAN";"Prefoldin subunit 6";"PFDN6";3;8;0,00055111430483278;2;2;2;2;2;2;2;2;0,000726815503666888;0,000734627822567642;0,000741265905031912;0,000725986385425079;"prefoldin complex"
"68";68;"O15226";"O15226";"O15226";"NKRF_HUMAN";"NF-kappa-B-repressing factor";"NKRF";2;2;2,57586033780539e-05;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000135727889449036;"nucleolus, nucleus"
"69";69;"O15234";"O15234";"O15234";"CASC3_HUMAN";"Protein CASC3";"CASC3";1;1;1,26411353704532e-05;NA;1;NA;NA;NA;1;NA;NA;NA;6,74018414731336e-05;NA;NA;"exon-exon junction complex, perinuclear region of cytoplasm, cytosol, nuclear speck, ribonucleoprotein complex"
"71";71;"O15305";"O15305";"O15305";"PMM2_HUMAN";"Phosphomannomutase 2";"PMM2";1;5;0,000180624352955866;1;1;1;1;1;2;1;1;0,000190567479619977;0,000385231663053763;0,000194356304368123;0,000190350088861454;"neuronal cell body, cytosol"
"72";72;"O15347";"O15347";"O15347";"HMGB3_HUMAN";"High mobility group protein B3";"HMGB3";5;26;0,00115527336150572;4;4;5;5;5;5;8;8;0,00117198999966286;0,00118458736389032;0,00191246603498233;0,0018730448743967;"nucleus, chromosome"
"73";73;"O15355";"O15355";"O15355";"PPM1G_HUMAN";"Protein phosphatase 1G";"PPM1G";8;33;0,000537109339668761;7;8;7;5;7;10;10;6;0,000601020512647619;0,000867829570615621;0,000875671261438797;0,000514572767691402;"nucleus, cytoplasm"
"74";74;"O15371";"O15371";"O15371";"EIF3D_HUMAN";"Eukaryotic translation initiation factor 3 subunit D";"EIF3D";7;31;0,000502715808628259;6;5;6;7;8;7;7;9;0,000684373722430865;0,000605263616586296;0,000610732766645818;0,000769042147334413;"eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex, cytosol, eukaryotic 43S preinitiation complex"
"76";76;"O15382";"O15382-1";"O15382-1";"BCAT2_HUMAN";"Branched-chain-amino-acid aminotransferase, mitochondrial";"BCAT2";3;6;0,000136021196409621;2;1;2;NA;2;1;3;NA;NA;NA;NA;NA;"mitochondrial matrix, mitochondrion"
"79";79;"O15550";"O15550";"O15550";"KDM6A_HUMAN";"Lysine-specific demethylase 6A";"KDM6A";1;1;6,34312502885695e-06;NA;NA;1;NA;NA;NA;1;NA;NA;NA;3,41268029083214e-05;NA;"nucleus, histone methyltransferase complex"
"80";80;"O43143";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";14;54;0,000646742292362727;12;11;11;13;13;16;12;13;0,000821340700572352;0,00100972596611295;0,000781825737571394;0,000824610950992259;"U12-type spliceosomal complex, nucleolus, nucleus"
"81";81;"O43148";"O43148-1,O43148-2";"O43148-1,O43148-2";"MCES_HUMAN";"mRNA cap guanine-N7 methyltransferase";"RNMT";3;4;3,73391519555823e-05;NA;NA;2;2;NA;NA;2;2;NA;NA;NA;NA;"nucleus, nucleolus, mRNA cap binding complex, nucleoplasm, receptor complex"
"82";82;"O43172";"O43172-1,O43172-2";"O43172-1,O43172-2";"PRP4_HUMAN";"U4/U6 small nuclear ribonucleoprotein Prp4";"PRPF4";1;1;8,51218215079366e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"nucleoplasm, U4/U6 snRNP, nuclear speck, nucleus, spliceosomal complex, Cajal body"
"86";86;"O43252";"O43252";"O43252";"PAPS1_HUMAN";"Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1";"PAPSS1";1;1;1,42415355215202e-05;NA;1;NA;NA;NA;1;NA;NA;NA;7,59350874288668e-05;NA;NA;"cytosol"
"88";88;"O43290";"O43290-1";"O43290-1";"SNUT1_HUMAN";"U4/U6.U5 tri-snRNP-associated protein 1";"SART1";3;3;3,33251931203572e-05;NA;1;NA;2;NA;1;NA;2;NA;NA;NA;NA;"nucleus, nucleoplasm, Cajal body, catalytic step 2 spliceosome, Golgi apparatus, cytoplasm, cytosol"
"89";89;"O43314";"O43314-1,O43314-2";"O43314-1,O43314-2";"VIP2_HUMAN";"Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2";"PPIP5K2";1;4;2,1448233705781e-05;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"cytosol"
"90";90;"O43324";"O43324";"O43324";"MCA3_HUMAN";"Eukaryotic translation elongation factor 1 epsilon-1";"EEF1E1";3;9;0,000459657836142858;3;1;3;2;3;1;3;2;0,000808268965284729;0,00027231893422766;0,00082433880818204;0,000538231285746179;"cytoplasm, nucleus, cytosol"
"91";91;"O43390";"O43390-1";"O43390-1";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";14;66;0,00111042194183231;12;13;11;10;17;16;18;15;NA;NA;NA;NA;"cytoplasm, catalytic step 2 spliceosome, spliceosomal complex, ribonucleoprotein complex, nucleus, nucleoplasm"
"92";92;"O43395";"O43395";"O43395";"PRPF3_HUMAN";"U4/U6 small nuclear ribonucleoprotein Prp3";"PRPF3";2;3;3,90339011658649e-05;2;1;NA;NA;2;1;NA;NA;0,000137275549008827;6,93755410770321e-05;NA;NA;"spliceosomal complex, cytoplasm, nuclear speck, nucleus, U4/U6 x U5 tri-snRNP complex, Cajal body"
"93";93;"O43396";"O43396";"O43396";"TXNL1_HUMAN";"Thioredoxin-like protein 1";"TXNL1";5;18;0,000553498017223926;5;4;5;3;5;4;5;4;0,00081106574371132;0,000655826914264538;0,000827191191601355;0,000648112413286056;"nucleus, cytoplasm, proteasome complex"
"94";94;"O43399";"O43399-2,O43399-3";"O43399-2,O43399-3";"TPD54_HUMAN";"Tumor protein D54";"TPD52L2";5;17;0,000366684972845354;4;4;4;4;4;4;4;5;NA;NA;NA;NA;"cytoplasm, perinuclear region of cytoplasm"
"95";95;"O43447";"O43447";"O43447";"PPIH_HUMAN";"Peptidyl-prolyl cis-trans isomerase H";"PPIH";6;23;0,0011877647523769;6;5;4;5;7;6;4;6;0,00190278483442141;0,00165211215883977;0,00111050287655911;0,00163853023457339;"U4/U6 x U5 tri-snRNP complex, cytoplasm, U4/U6 snRNP, nuclear speck, spliceosomal complex"
"98";98;"O43592";"O43592";"O43592";"XPOT_HUMAN";"Exportin-T";"XPOT";3;4;3,69510110828631e-05;NA;2;2;NA;NA;2;2;NA;NA;9,85103836915029e-05;9,94005215687283e-05;NA;"cytoplasm, nucleoplasm, nucleus"
"102";102;"O43670";"O43670-1,O43670-2";"O43670-1,O43670-2";"ZN207_HUMAN";"Zinc finger protein 207";"ZNF207";2;8;7,43658423885237e-05;2;2;2;1;2;3;2;1;NA;NA;NA;NA;"kinetochore, nucleus"
"105";105;"O43684";"O43684-1,O43684-2";"O43684-1,O43684-2";"BUB3_HUMAN";"Mitotic checkpoint protein BUB3";"BUB3";9;31;0,000419951620622387;7;6;7;8;8;6;8;9;NA;NA;NA;NA;"nucleus, kinetochore, cytosol, condensed chromosome kinetochore"
"107";107;"O43719";"O43719";"O43719";"HTSF1_HUMAN";"HIV Tat-specific factor 1";"HTATSF1";6;17;0,000200098289817597;3;4;5;4;3;4;6;4;0,000186276556237805;0,000251038381751591;0,000379960139400463;0,000248085413827378;"nucleus"
"109";109;"O43765";"O43765";"O43765";"SGTA_HUMAN";"Small glutamine-rich tetratricopeptide repeat-containing protein alpha";"SGTA";4;8;0,000227136566528526;3;3;1;1;3;3;1;1;0,000449325239487357;0,000454154899894053;0,000152752878193477;0,000149604223194625;"cytoplasm"
"110";110;"O43768";"O43768-1,O43768-2,O43768-3,O43768-4,O43768-5,O43768-6,O43768-7,O43768-9,P56211-1,P56211-2";"O43768-1,O43768-2,O43768-3,O43768-4,O43768-5,O43768-6,O43768-7,O43768-9,P56211-1,P56211-2";"ARP19_HUMAN, ENSA_HUMAN";"Alpha-endosulfine, cAMP-regulated phosphoprotein 19";"ARPP19, ENSA";1;3;2,23659014230585e-05;1;1;1;NA;1;1;1;NA;NA;NA;NA;NA;"nucleoplasm, cytoplasm"
"113";113;"O43809";"O43809";"O43809";"CPSF5_HUMAN";"Cleavage and polyadenylation specificity factor subunit 5";"NUDT21";5;22;0,000861267839821273;4;4;5;4;5;5;7;5;0,001032590308073;0,00104368930739235;0,00147436808864277;0,00103141237576911;"nucleoplasm, centrosome, paraspeckles, mRNA cleavage factor complex, nucleus"
"115";115;"O43823";"O43823";"O43823";"AKAP8_HUMAN";"A-kinase anchor protein 8";"AKAP8";2;11;0,000141262861011148;2;2;2;2;3;3;3;2;0,000203235260057143;0,000205419774085027;0,000207275943097796;0,0001353356123119;"mitochondrion, female pronucleus, nucleus, condensed chromosome, Golgi apparatus, nuclear matrix"
"116";116;"O43837";"O43837-1";"O43837-1";"IDH3B_HUMAN";"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial";"IDH3B";7;20;0,000461647696905381;5;5;4;4;5;7;4;4;NA;NA;NA;NA;"mitochondrial matrix, mitochondrion"
"120";120;"O60231";"O60231";"O60231";"DHX16_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16";"DHX16";1;2;1,82929562894784e-05;1;1;0;0;1;1;0;0;4,82498970631065e-05;4,81947732384603e-05;NA;NA;"nucleus"
"121";121;"O60234";"O60234";"O60234";"GMFG_HUMAN";"Glia maturation factor gamma";"GMFG";3;11;0,000871983143931725;2;3;3;2;3;3;3;2;0,00123801760527767;0,00133474632551022;0,00117845618352785;0,000989284264646146;"intracellular"
"122";122;"O60256";"O60256-1";"O60256-1";"KPRB_HUMAN";"Phosphoribosyl pyrophosphate synthase-associated protein 2";"PRPSAP2";7;15;0,000361248705911731;3;2;3;5;3;2;4;6;NA;NA;NA;NA;"ribose phosphate diphosphokinase complex"
"123";123;"O60282";"O60282-1";"O60282-1";"KIF5C_HUMAN";"Kinesin heavy chain isoform 5C";"KIF5C";1;1;1,16075211147186e-05;0;0;0;1;0;0;0;1;NA;NA;NA;NA;"microtubule, kinesin complex, cytoplasm"
"125";125;"O60341";"O60341-1,O60341-2";"O60341-1,O60341-2";"KDM1A_HUMAN";"Lysine-specific histone demethylase 1A";"KDM1A";2;5;2,60760509548961e-05;NA;1;2;2;NA;1;2;2;NA;NA;NA;NA;"transcription factor complex, nuclear chromatin, nucleoplasm, nucleus"
"129";129;"O60502";"O60502-1";"O60502-1";"NCOAT_HUMAN";"Bifunctional protein NCOAT";"MGEA5";3;5;4,85082869291953e-05;NA;NA;2;3;NA;NA;2;3;NA;NA;NA;NA;"nucleus, cytoplasm"
"130";130;"O60506";"O60506-1";"O60506-1";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";13;60;0,0010256779354733;11;11;13;11;15;14;16;15;NA;NA;NA;NA;"ribonucleoprotein complex, nucleoplasm, CRD-mediated mRNA stability complex, endoplasmic reticulum, catalytic step 2 spliceosome, nucleus, histone pre-mRNA 3'end processing complex, GAIT complex"
"131";131;"O60508";"O60508";"O60508";"PRP17_HUMAN";"Pre-mRNA-processing factor 17";"CDC40";2;3;4,60451718415989e-05;NA;2;1;NA;NA;2;1;NA;NA;0,000163673556323361;8,2576253669358e-05;NA;"nucleoplasm, catalytic step 2 spliceosome, spliceosomal complex"
"133";133;"O60563";"O60563";"O60563";"CCNT1_HUMAN";"Cyclin-T1";"CCNT1";2;3;3,67219758902008e-05;1;2;NA;NA;1;2;NA;NA;6,45724517720582e-05;0,000130533042852928;NA;NA;"nucleoplasm, nucleus, positive transcription elongation factor complex b"
"134";134;"O60566";"O60566-1,O60566-2,O60566-3";"O60566-1,O60566-2,O60566-3";"BUB1B_HUMAN";"Mitotic checkpoint serine/threonine-protein kinase BUB1 beta";"BUB1B";1;1;2,82118036997733e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"spindle midzone, condensed nuclear chromosome kinetochore, anaphase-promoting complex, microtubule organizing center, kinetochore, condensed chromosome kinetochore, condensed chromosome outer kinetochore, cytosol, cytoplasm, perinuclear region of cytoplasm"
"136";136;"O60613";"O60613-1";"O60613-1";"SEP15_HUMAN";"15 kDa selenoprotein";"SEP15";1;1;5,48562849717814e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"endoplasmic reticulum lumen"
"138";138;"O60684";"O60684";"O60684";"IMA7_HUMAN";"Importin subunit alpha-7";"KPNA6";3;3;4,97390942094883e-05;3;NA;NA;NA;3;NA;NA;NA;0,000262385820820043;NA;NA;NA;"nucleus, cytoplasm"
"142";142;"O60832";"O60832-1";"O60832-1";"DKC1_HUMAN";"H/ACA ribonucleoprotein complex subunit 4";"DKC1";3;10;0,000172893349521957;3;3;2;2;3;3;2;2;NA;NA;NA;NA;"nucleolus, nucleoplasm, cytoplasm, telomerase holoenzyme complex, Cajal body, nucleus"
"143";143;"O60841";"O60841";"O60841";"IF2P_HUMAN";"Eukaryotic translation initiation factor 5B";"EIF5B";13;46;0,000335072980007963;10;10;9;11;11;11;11;13;0,000422684917911194;0,000427228229599788;0,000431088655426345;0,00049896687227781;"cytosol"
"144";144;"O60869";"O60869-1";"O60869-1";"EDF1_HUMAN";"Endothelial differentiation-related factor 1";"EDF1";5;18;0,00108081707417375;4;3;4;4;5;3;5;5;NA;NA;NA;NA;"nucleolus, nucleus, intracellular, cytoplasm"
"151";151;"O75153";"O75153";"O75153";"CLU_HUMAN";"Clustered mitochondria protein homolog";"KIAA0664";3;9;6,1100430472771e-05;2;3;2;2;2;3;2;2;7,16265851589217e-05;0,000108594716323024;7,30506506868729e-05;7,15448767913179e-05;"cytoplasm"
"156";156;"O75347";"O75347";"O75347";"TBCA_HUMAN";"Tubulin-specific chaperone A";"TBCA";4;17;0,00139883526678043;4;3;3;4;5;4;4;4;0,00217035185122751;0,00175494424280048;0,0017708018842429;0,00173430080962658;"nucleolus, cytoplasm, microtubule cytoskeleton, microtubule"
"163";163;"O75400";"O75400-1,O75400-2,O75400-3";"O75400-1,O75400-2,O75400-3";"PR40A_HUMAN";"Pre-mRNA-processing factor 40 homolog A";"PRPF40A";4;9;2,78580506753247e-05;3;2;2;2;3;2;2;2;NA;NA;NA;NA;"nuclear speck, nuclear matrix, cytoplasm, nucleus"
"168";168;"O75494";"O75494-1,O75494-2,O75494-3,O75494-4,O75494-5";"O75494-1,O75494-2,O75494-3,O75494-4,O75494-5";"SRS10_HUMAN";"Serine/arginine-rich splicing factor 10";"SRSF10";1;4;2,71350172990186e-05;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"nucleus, cytoplasm, nuclear speck, nucleoplasm"
"170";170;"O75531";"O75531";"O75531";"BAF_HUMAN";"Barrier-to-autointegration factor";"BANF1";3;13;0,001298059956748;2;2;2;3;3;3;3;4;0,00158021123550048;0,00159719644569482;0,00161162868116489;0,00210454480269292;"cytosol, chromosome, nucleoplasm"
"173";173;"O75592";"O75592-1,O75592-2";"O75592-1,O75592-2";"MYCB2_HUMAN";"Probable E3 ubiquitin-protein ligase MYCBP2";"MYCBP2";1;1;9,57620491964287e-07;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"axon, nucleus, microtubule cytoskeleton"
"174";174;"O75607";"O75607";"O75607";"NPM3_HUMAN";"Nucleoplasmin-3";"NPM3";2;8;0,000399403063614768;1;1;1;2;2;2;2;2;0,00052673707850016;0,000532398815231606;0,000537209560388296;0,000526136200673231;"nucleolus"
"175";175;"O75608";"O75608-1,O75608-2";"O75608-1,O75608-2";"LYPA1_HUMAN";"Acyl-protein thioesterase 1";"LYPLA1";5;20;0,000386379050670808;5;5;5;5;5;5;5;5;NA;NA;NA;NA;"mitochondrion, cytosol"
"176";176;"O75643";"O75643-1";"O75643-1";"U520_HUMAN";"U5 small nuclear ribonucleoprotein 200 kDa helicase";"SNRNP200";26;72;0,000299552297711076;16;14;17;16;18;16;20;18;NA;NA;NA;NA;"spliceosomal complex, nucleus, nucleoplasm, catalytic step 2 spliceosome, U5 snRNP"
"178";178;"O75717";"O75717";"O75717";"WDHD1_HUMAN";"WD repeat and HMG-box DNA-binding protein 1";"WDHD1";1;1;7,87131812704038e-06;1;NA;NA;NA;1;NA;NA;NA;4,1523117791421e-05;NA;NA;NA;"nucleoplasm, cytoplasm, nucleus, chromosome, centromeric region"
"179";179;"O75821";"O75821";"O75821";"EIF3G_HUMAN";"Eukaryotic translation initiation factor 3 subunit G";"EIF3G";9;33;0,000916442810809823;9;6;9;7;9;7;10;7;0,00131848874962071;0,00103651394340403;0,00149411408982995;0,0010243214156857;"eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, perinuclear region of cytoplasm, eukaryotic translation initiation factor 3 complex, nucleus, cytosol"
"180";180;"O75822";"O75822";"O75822";"EIF3J_HUMAN";"Eukaryotic translation initiation factor 3 subunit J";"EIF3J";4;9;0,000310001796468439;3;1;2;3;3;1;2;3;0,000545111627750166;0,00018365695564191;0,000370632952515956;0,000544489789068809;"cytosol, eukaryotic 48S preinitiation complex, eukaryotic translation initiation factor 3 complex, eukaryotic 43S preinitiation complex"
