"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5830.1.id.csv";"peptide.count.P5830.2.id.csv";"spectra.count.P5830.1.id.csv";"spectra.count.P5830.2.id.csv";"dNSAF.P5830.1.id.csv";"dNSAF.P5830.2.id.csv";"Go.Cc"
"56";56;"P01903";"P01903,P01906";"P01903,P01906";"DQA2_HUMAN, DRA_HUMAN";"HLA class II histocompatibility antigen, DQ alpha 2 chain, HLA class II histocompatibility antigen, DR alpha chain";"HLA-DQA2, HLA-DRA";1;6;0,000790899063787196;1;1;4;2;0,00132491087166275;0,000652133758821181;"integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, integral component of plasma membrane, MHC class II protein complex, lysosome, Golgi membrane, late endosome membrane, extracellular vesicular exosome, clathrin-coated endocytic vesicle membrane, trans-Golgi network membrane, transport vesicle membrane, lysosomal membrane, plasma membrane, endocytic vesicle membrane"
"57";57;"P01912";"P01912,Q5Y7A7";"P01912,Q5Y7A7";"2B13_HUMAN, 2B1D_HUMAN";"HLA class II histocompatibility antigen, DRB1-13 beta chain, HLA class II histocompatibility antigen, DRB1-3 chain";"HLA-DRB1";3;6;0,000756706059149779;3;3;3;3;0,000950723167776794;0,000935910009135285;"clathrin-coated endocytic vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, late endosome membrane, plasma membrane, Golgi membrane, transport vesicle membrane, MHC class II protein complex, ER to Golgi transport vesicle membrane, trans-Golgi network membrane, lysosomal membrane, endocytic vesicle membrane"
"60";60;"P02786";"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";10;18;0,00158908272421454;7;9;7;11;0,0015528478407021;0,00240216902344723;"coated pit, extracellular region, cell surface, endosome, blood microparticle, external side of plasma membrane, perinuclear region of cytoplasm, cytoplasmic membrane-bounded vesicle, extracellular space, extracellular vesicular exosome, melanosome, integral component of plasma membrane, intracellular membrane-bounded organelle, membrane, plasma membrane"
"61";61;"P04040";"P04040";"P04040";"CATA_HUMAN";"Catalase";"CAT";9;15;0,00190971358381254;7;7;7;8;0,00223940106059505;0,00251943896197329;"lysosome, Golgi apparatus, peroxisomal membrane, endoplasmic reticulum, intracellular membrane-bounded organelle, plasma membrane, mitochondrial intermembrane space, peroxisome, peroxisomal matrix, cytosol"
"63";63;"P04222";"P04222";"P04222";"1C03_HUMAN";"HLA class I histocompatibility antigen, Cw-3 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"phagocytic vesicle membrane, MHC class I protein complex, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, plasma membrane, cell surface, ER to Golgi transport vesicle membrane, Golgi membrane"
"65";65;"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";17;41;0,00527603292294902;14;17;19;22;0,00580888290420184;0,00733784449022295;"extracellular vesicular exosome, cytoskeleton, plasma membrane, blood microparticle, membrane, extracellular space, keratin filament"
"67";67;"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";17;113;0,0226319111700737;16;16;59;54;0,0296928346170925;0,0267530574551627;"perinuclear region of cytoplasm, nucleus, extracellular vesicular exosome, cytosol, microtubule cytoskeleton, plasma membrane, ribonucleoprotein complex, lipid particle, cytoplasm, GAIT complex"
"68";68;"P04439";"P04439";"P04439";"1A03_HUMAN";"HLA class I histocompatibility antigen, A-3 alpha chain";"HLA-A";0;0;0;0;0;0;0;0;0;"early endosome membrane, ER to Golgi transport vesicle membrane, phagocytic vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, integral component of plasma membrane, Golgi membrane, MHC class I protein complex, plasma membrane"
"69";69;"P04792";"P04792";"P04792";"HSPB1_HUMAN";"Heat shock protein beta-1";"HSPB1";3;7;0,00229103525550714;3;3;3;4;0,00246724256223051;0,00323840081209738;"spindle, proteasome complex, plasma membrane, cytoskeleton, cytoplasm, extracellular space, extracellular vesicular exosome, Z disc, nucleus, cytosol"
"72";72;"P04899";"P04899-1,P04899-4";"P04899-1,P04899-4";"GNAI2_HUMAN";"Guanine nucleotide-binding protein G(i) subunit alpha-2";"GNAI2";6;12;0,00129599234919173;5;6;5;7;NA;NA;"heterotrimeric G-protein complex, extrinsic component of cytoplasmic side of plasma membrane, plasma membrane, cytoplasm, centrosome, extracellular vesicular exosome, nucleus, membrane raft, midbody, cytosol"
"73";73;"P05023";"P05023-1";"P05023-1";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";18;31;0,00203316981549335;16;14;16;15;NA;NA;"basolateral plasma membrane, integral component of membrane, endosome, Golgi apparatus, endoplasmic reticulum, caveola, melanosome, T-tubule, sodium:potassium-exchanging ATPase complex, extracellular vesicular exosome, plasma membrane, membrane"
"74";74;"P05107";"P05107";"P05107";"ITB2_HUMAN";"Integrin beta-2";"ITGB2";15;32;0,00279197311464366;14;13;18;14;0,00394630474843111;0,00302152481492831;"receptor complex, extracellular vesicular exosome, plasma membrane, integrin complex"
"75";75;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";5;8;0,00180119742043706;5;3;5;3;0,0028287736311927;0,0016708192109395;"mitochondrion, integral component of plasma membrane, mitochondrial nucleoid, mitochondrial inner membrane, MMXD complex"
"78";78;"P05362";"P05362";"P05362";"ICAM1_HUMAN";"Intercellular adhesion molecule 1";"ICAM1";4;6;0,000756706059149779;3;2;4;2;0,00126763089036906;0,00062394000609019;"immunological synapse, extracellular vesicular exosome, external side of plasma membrane, plasma membrane, integral component of plasma membrane, extracellular space"
"82";82;"P05534";"P05534,P30447";"P05534,P30447";"1A23_HUMAN, 1A24_HUMAN";"HLA class I histocompatibility antigen, A-23 alpha chain, HLA class I histocompatibility antigen, A-24 alpha chain";"HLA-A";0;0;0;0;0;0;0;0;0;"MHC class I protein complex, plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, early endosome membrane, ER to Golgi transport vesicle membrane, extracellular vesicular exosome, phagocytic vesicle membrane, Golgi membrane"
"83";83;"P05556";"P05556-1";"P05556-1";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";15;36;0,00302682423659912;15;14;19;17;NA;NA;"integrin complex, filopodium, plasma membrane, sarcolemma, cell surface, alpha3-beta1 integrin complex, myelin sheath abaxonal region, alpha7-beta1 integrin complex, alpha8-beta1 integrin complex, alpha9-beta1 integrin complex, hemidesmosome, cytoplasm, recycling endosome, focal adhesion, intercalated disc, lamellipodium, neuromuscular junction, basement membrane, ruffle, external side of plasma membrane, extracellular vesicular exosome, cleavage furrow, receptor complex, acrosomal vesicle, membrane raft, melanosome"
"84";84;"P06213";"P06213-1,P06213-2";"P06213-1,P06213-2";"INSR_HUMAN";"Insulin receptor";"INSR";5;5;0,000121372293616643;5;NA;5;NA;NA;NA;"insulin receptor complex, endosome membrane, plasma membrane, receptor complex, extracellular vesicular exosome, caveola, integral component of plasma membrane, membrane"
"86";86;"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";16;55;0,00697580948037887;16;15;27;28;0,00860503313292115;0,00878469785512237;"plasma membrane, mitochondrial nucleoid, mitochondrial proton-transporting ATP synthase complex, extracellular vesicular exosome, mitochondrion, mitochondrial membrane, cell surface, mitochondrial matrix, mitochondrial proton-transporting ATP synthase, catalytic core"
"87";87;"P06733";"P06733-1";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";11;23;0,00355570481557477;9;9;11;12;NA;NA;"extracellular space, M band, extracellular vesicular exosome, phosphopyruvate hydratase complex, cytosol, nucleus, plasma membrane, cytoplasm"
"88";88;"P06744";"P06744-1,P06744-2";"P06744-1,P06744-2";"G6PI_HUMAN";"Glucose-6-phosphate isomerase";"GPI";1;1;6,0120612823728e-05;1;NA;1;NA;NA;NA;"cytoplasm, cytosol, extracellular space, plasma membrane, extracellular vesicular exosome, neuron projection, nucleus"
"93";93;"P07237";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";10;23;0,00303774781488081;9;9;11;12;0,00365067715080695;0,00392050492015726;"procollagen-proline 4-dioxygenase complex, extracellular vesicular exosome, endoplasmic reticulum lumen, extracellular region, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum, plasma membrane, melanosome"
"97";97;"P07900";"P07900-1,P07900-2";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";10;18;0,00150763736883742;9;9;9;9;NA;NA;"perinuclear region of cytoplasm, extracellular matrix, neuron projection, neuronal cell body, melanosome, extracellular vesicular exosome, nucleus, cytosol, extracellular region, protein complex, endocytic vesicle lumen, mitochondrion, apical plasma membrane, brush border membrane, cell surface, plasma membrane, cytoplasm, basolateral plasma membrane"
"100";100;"P07948";"P07948-1,P07948-2";"P07948-1,P07948-2";"LYN_HUMAN";"Tyrosine-protein kinase Lyn";"LYN";2;4;0,000262088296528439;2;2;2;2;NA;NA;"postsynaptic density, mast cell granule, mitochondrial crista, membrane raft, nucleus, plasma membrane, perinuclear region of cytoplasm, Golgi apparatus, alpha2-beta1 integrin complex, cytosol, cytoplasm, mitochondrial intermembrane space"
"105";105;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";13;26;0,000692245913370354;12;12;13;13;NA;NA;"extracellular vesicular exosome, nucleus, cytoplasm, cell junction, plasma membrane, integral component of membrane, apical plasma membrane, melanosome"
"106";106;"P08238";"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";6;11;0,00186302886646392;6;5;6;5;0,00242180531430729;0,00221050568455986;"apical plasma membrane, brush border membrane, mitochondrion, cell surface, extracellular vesicular exosome, cytosol, cytoplasm, melanosome, inclusion body, basolateral plasma membrane"
"107";107;"P08575";"P08575-1,P08575-2";"P08575-1,P08575-2";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";43;130;0,00334443961214205;39;40;63;67;NA;NA;"external side of plasma membrane, extracellular vesicular exosome, plasma membrane, focal adhesion, membrane raft, integral component of plasma membrane"
"110";110;"P08648";"P08648";"P08648";"ITA5_HUMAN";"Integrin alpha-5";"ITGA5";5;11;0,000703565913273675;5;5;6;5;0,000964317874656347;0,000791077414775932;"integrin complex, synapse, plasma membrane, ruffle, external side of plasma membrane, cytoplasm, alphav-beta3 integrin-vitronectin complex"
"114";114;"P08865";"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";4;8;0,00181951468233981;4;4;4;4;0,00228603265652996;0,00225041412366089;"cytosolic small ribosomal subunit, 90S preribosome, nucleus, extracellular vesicular exosome, plasma membrane, cytosol, cytoplasm"
"117";117;"P09429";"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";5;8;0,00260056604307289;4;4;4;4;0,00313664945895972;0,00332529886608926;"extracellular space, condensed chromosome, nucleoplasm, cell surface, nucleus, extracellular region"
"118";118;"P09496";"P09496-2";"P09496-2";"CLCA_HUMAN";"Clathrin light chain A";"CLTA";3;5;0,00135271378853388;3;2;3;2;NA;NA;"clathrin coat of trans-Golgi network vesicle, plasma membrane, clathrin coat of coated pit, clathrin coat, clathrin-coated endocytic vesicle membrane, intracellular membrane-bounded organelle, clathrin complex, cytoplasmic membrane-bounded vesicle, cytosol, trans-Golgi network membrane"
"125";125;"P10316";"P10316";"P10316";"1A69_HUMAN";"HLA class I histocompatibility antigen, A-69 alpha chain";"HLA-A";0;0;0;0;0;0;0;0;0;"early endosome membrane, ER to Golgi transport vesicle membrane, phagocytic vesicle membrane, Golgi membrane, MHC class I protein complex, plasma membrane, extracellular vesicular exosome, integral component of lumenal side of endoplasmic reticulum membrane"
"126";126;"P10321";"P10321";"P10321";"1C07_HUMAN";"HLA class I histocompatibility antigen, Cw-7 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"plasma membrane, ER to Golgi transport vesicle membrane, cell surface, early endosome membrane, MHC class I protein complex, phagocytic vesicle membrane, Golgi membrane, extracellular vesicular exosome, integral component of lumenal side of endoplasmic reticulum membrane"
"128";128;"P10586";"P10586-1,P10586-2";"P10586-1,P10586-2";"PTPRF_HUMAN";"Receptor-type tyrosine-protein phosphatase F";"PTPRF";7;12;0,000211099959867689;5;5;6;6;NA;NA;"extracellular vesicular exosome, integral component of plasma membrane"
"130";130;"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";34;116;0,0135828517516728;34;32;57;59;0,0167712212563487;0,0170892049835592;"secretory granule, early endosome, mitochondrial inner membrane, protein complex, extracellular vesicular exosome, extracellular space, mitochondrion, coated vesicle, cytosol, cell surface, lipopolysaccharide receptor complex, coated pit, plasma membrane, mitochondrial matrix, cytoplasm"
"131";131;"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";28;60;0,00652349430203322;22;24;30;30;0,00826347968182191;0,00800313695293252;"nucleus, midbody, endoplasmic reticulum-Golgi intermediate compartment, cell surface, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum chaperone complex, extracellular vesicular exosome, endoplasmic reticulum lumen, endoplasmic reticulum membrane, endoplasmic reticulum"
"132";132;"P11142";"P11142-1";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";22;53;0,00670753765651648;19;18;26;27;NA;NA;"nucleus, Prp19 complex, plasma membrane, spliceosomal complex, ribonucleoprotein complex, blood microparticle, melanosome, cytosol, intracellular, extracellular vesicular exosome, clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus"
"134";134;"P11717";"P11717";"P11717";"MPRI_HUMAN";"Cation-independent mannose-6-phosphate receptor";"IGF2R";3;3;8,08044206077243e-05;3;NA;3;NA;0,000203044851568548;NA;"integral component of plasma membrane, extracellular space, extracellular vesicular exosome, perinuclear region of cytoplasm, cell surface, nuclear envelope lumen, lysosomal membrane, late endosome, clathrin coat, trans-Golgi network transport vesicle, endocytic vesicle, endosome"
"140";140;"P12273";"P12273";"P12273";"PIP_HUMAN";"Prolactin-inducible protein";"PIP";1;1;0,000459552081584113;NA;1;NA;1;NA;0,0011367674083561;"extracellular space, extracellular vesicular exosome, apical plasma membrane"
"141";141;"P12814";"P12814-1,P12814-2,P12814-3";"P12814-1,P12814-2,P12814-3";"ACTN1_HUMAN";"Alpha-actinin-1";"ACTN1";2;4;0,000170494509191595;1;2;2;2;NA;NA;"cytosol, focal adhesion, Z disc, pseudopodium, plasma membrane, nucleus, cell projection, platelet alpha granule lumen, extracellular region, fascia adherens, cytoskeleton, ruffle, extracellular vesicular exosome, cytoplasm, dendritic spine"
"144";144;"P13164";"P13164,Q01628,Q01629";"P13164,Q01628,Q01629";"IFM1_HUMAN, IFM2_HUMAN, IFM3_HUMAN";"Interferon-induced transmembrane protein 1, Interferon-induced transmembrane protein 2, Interferon-induced transmembrane protein 3";"IFITM1, IFITM2, IFITM3";1;2;0,00034407489185272;1;1;1;1;0,000432294636972012;0,000425559081076899;"integral component of membrane, plasma membrane"
"145";145;"P13612";"P13612";"P13612";"ITA4_HUMAN";"Integrin alpha-4";"ITGA4";7;15;0,000975212266152332;6;5;8;7;0,00130693727456655;0,00112575222029063;"plasma membrane, cell surface, external side of plasma membrane, integrin complex, extracellular vesicular exosome"
"149";149;"P13647";"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";2;5;0,000834741529917664;2;2;3;2;0,00139560330153561;0,000698139836090253;"plasma membrane, cytosol, intermediate filament, extracellular vesicular exosome, mitochondrion, cytoplasm, keratin filament"
"150";150;"P13667";"P13667";"P13667";"PDIA4_HUMAN";"Protein disulfide-isomerase A4";"PDIA4";1;1;0,000104022641722915;1;NA;1;NA;0,00026138745491331;NA;"cell surface, melanosome, endoplasmic reticulum lumen"
"152";152;"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";1;1;0,000107008937657545;NA;1;NA;1;NA;0,000264701820765535;"plasma membrane, focal adhesion, actin cytoskeleton, actin filament, actin filament bundle, extracellular vesicular exosome, ruffle, cytosol, filopodium, cytoplasm, phagocytic cup, extracellular space, ruffle membrane"
"154";154;"P14618";"P14618-1";"P14618-1";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";19;38;0,00480149707839672;16;17;18;20;NA;NA;"cytosol, mitochondrion, nucleus, cytoplasm, extracellular vesicular exosome, cilium, plasma membrane"
"155";155;"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";26;58;0,00484618558761428;23;24;28;30;0,00587877638323085;0,00620054950012418;"extracellular region, endoplasmic reticulum membrane, cytosol, endoplasmic reticulum, perinuclear region of cytoplasm, endocytic vesicle lumen, midbody, extracellular vesicular exosome, melanosome, plasma membrane, endoplasmic reticulum lumen"
"159";159;"P15153";"P15153,P60763,P63000-1,P63000-2";"P15153,P60763,P63000-1,P63000-2";"RAC1_HUMAN, RAC2_HUMAN, RAC3_HUMAN";"Ras-related C3 botulinum toxin substrate 1, Ras-related C3 botulinum toxin substrate 2, Ras-related C3 botulinum toxin substrate 3";"RAC1, RAC2, RAC3";1;1;8,73627655094797e-05;NA;1;NA;1;NA;0,000432208441718725;"extracellular vesicular exosome, plasma membrane, cytosol, nuclear envelope"
"160";160;"P15311";"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";4;7;0,00102293057427159;4;2;4;3;0,0014123681437528;0,0011417383409225;"actin cytoskeleton, microspike, Schwann cell microvillus, cortical cytoskeleton, ruffle membrane, cytosol, filopodium, apical plasma membrane, plasma membrane, astrocyte projection, ruffle, T-tubule, nucleolus, uropod, actin filament, apical part of cell, extracellular vesicular exosome, microvillus membrane, basolateral plasma membrane, membrane raft, cell tip, cell body, extrinsic component of membrane, microvillus"
"164";164;"P16070";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"CD44_HUMAN";"CD44 antigen";"CD44";7;13;7,83674618909834e-05;7;6;7;6;NA;NA;"extracellular vesicular exosome, plasma membrane, integral component of plasma membrane, cytoplasm, Golgi apparatus, external side of plasma membrane, cell surface, basolateral plasma membrane"
"165";165;"P16150";"P16150";"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";4;13;0,00218057462711661;4;3;7;6;0,00295041089733398;0,00248952062429986;"external side of plasma membrane, extracellular vesicular exosome, extracellular space, plasma membrane, cell surface, integral component of plasma membrane, basement membrane, uropod"
"166";166;"P16188";"P16188";"P16188";"1A30_HUMAN";"HLA class I histocompatibility antigen, A-30 alpha chain";"HLA-A";0;0;0;0;0;0;0;0;0;"Golgi membrane, plasma membrane, MHC class I protein complex, early endosome membrane, extracellular vesicular exosome, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, integral component of plasma membrane, ER to Golgi transport vesicle membrane"
"167";167;"P16615";"P16615-1,P16615-2,P16615-3,P16615-4,P16615-5";"P16615-1,P16615-2,P16615-3,P16615-4,P16615-5";"AT2A2_HUMAN";"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2";"ATP2A2";3;3;3,86341289316394e-05;NA;3;NA;3;NA;NA;"sarcoplasmic reticulum, sarcoplasmic reticulum membrane, endoplasmic reticulum membrane, membrane, integral component of plasma membrane, intracellular membrane-bounded organelle, platelet dense tubular network membrane"
"171";171;"P17342";"P17342-1,P17342-2";"P17342-1,P17342-2";"ANPRC_HUMAN";"Atrial natriuretic peptide receptor 3";"NPR3";2;4;0,000248039201150759;2;2;2;2;NA;NA;"integral component of plasma membrane"
"172";172;"P17813";"P17813-1";"P17813-1";"EGLN_HUMAN";"Endoglin";"ENG";9;15;0,00152951224721764;9;6;9;6;NA;NA;"endothelial microparticle, external side of plasma membrane, cell surface, cytoplasm, transforming growth factor beta receptor homodimeric complex, extracellular space, nucleus"
"176";176;"P18065";"P18065";"P18065";"IBP2_HUMAN";"Insulin-like growth factor-binding protein 2";"IGFBP2";1;1;0,000206444935111632;1;NA;1;NA;0,000518753564366415;NA;"extracellular space, extracellular region, cytoplasmic vesicle, apical plasma membrane"
"178";178;"P18465";"P18465";"P18465";"1B57_HUMAN";"HLA class I histocompatibility antigen, B-57 alpha chain";"HLA-B";0;0;0;0;0;0;0;0;0;"ER to Golgi transport vesicle membrane, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex, Golgi membrane, plasma membrane, phagocytic vesicle membrane, cell surface"
"187";187;"P20701";"P20701-1,P20701-2,P20701-3";"P20701-1,P20701-2,P20701-3";"ITAL_HUMAN";"Integrin alpha-L";"ITGAL";13;27;0,00051611233777908;12;13;12;15;NA;NA;"integrin complex, extracellular vesicular exosome, immunological synapse, plasma membrane, external side of plasma membrane"
"188";188;"P21281";"P21281";"P21281";"VATB2_HUMAN";"V-type proton ATPase subunit B, brain isoform";"ATP6V1B2";3;6;0,000787803568429907;3;2;4;2;0,00131972531052121;0,000649581376203486;"plasma membrane, endomembrane system, microvillus, extracellular vesicular exosome, melanosome, lysosomal membrane, intracellular membrane-bounded organelle, proton-transporting V-type ATPase, V1 domain, integral component of membrane, cytosol"
"189";189;"P21333";"P21333-1,P21333-2";"P21333-1,P21333-2";"FLNA_HUMAN";"Filamin-A";"FLNA";3;5;6,33685341058561e-05;2;3;2;3;NA;NA;"cortical cytoskeleton, nucleus, neuronal cell body, plasma membrane, perinuclear region of cytoplasm, dendritic shaft, extracellular vesicular exosome, actin filament, trans-Golgi network, cytosol, cytoplasm, extracellular region, apical dendrite, Myb complex, actin cytoskeleton"
"202";202;"P23634";"P23634-1,P23634-2,P23634-3,P23634-4,P23634-5,P23634-6,P23634-7,P23634-8";"P23634-1,P23634-2,P23634-3,P23634-4,P23634-5,P23634-6,P23634-7,P23634-8";"AT2B4_HUMAN";"Plasma membrane calcium-transporting ATPase 4";"ATP2B4";3;4;2,70324753873007e-05;2;2;2;2;NA;NA;"protein complex, plasma membrane, integral component of plasma membrane"
"209";209;"P25445";"P25445-1,P25445-6";"P25445-1,P25445-6";"TNR6_HUMAN";"Tumor necrosis factor receptor superfamily member 6";"FAS";1;2;0,000200282399735165;1;1;1;1;NA;NA;"cytosol, cell surface, nucleus, CD95 death-inducing signaling complex, extracellular vesicular exosome, plasma membrane, cytoplasm, death-inducing signaling complex, external side of plasma membrane, membrane raft, integral component of membrane"
"210";210;"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";21;62;0,00752236065551426;17;18;30;32;0,00914619756342232;0,00960393730893255;"mitochondrion, mitochondrial proton-transporting ATP synthase complex, mitochondrial matrix, mitochondrial inner membrane, extracellular vesicular exosome, plasma membrane, proton-transporting ATP synthase complex, catalytic core F(1)"
"215";215;"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";26;67;0,0101694473547955;26;21;38;29;0,0139043650247314;0,0114965947374333;"blood microparticle, microvillus membrane, extrinsic component of membrane, cytoskeleton, filopodium, uropod, extracellular vesicular exosome, apical part of cell, cytoplasm, plasma membrane, microvillus, basolateral plasma membrane, apical plasma membrane"
