"";"accession";"name";"go_name"
"11";"P30453";"1A34_HUMAN";"P:regulation of immune response, C:early endosome membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:interferon-gamma-mediated signaling pathway, P:positive regulation of T cell mediated cytotoxicity, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:viral process, F:peptide antigen binding, C:MHC class I protein complex, C:integral component of lumenal side of endoplasmic reticulum membrane, C:plasma membrane, C:ER to Golgi transport vesicle membrane, C:Golgi membrane, C:phagocytic vesicle membrane"
"12";"P10316";"1A69_HUMAN";"C:plasma membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:positive regulation of T cell mediated cytotoxicity, C:early endosome membrane, C:MHC class I protein complex, F:peptide antigen binding, C:integral component of lumenal side of endoplasmic reticulum membrane, P:viral process, P:regulation of immune response, C:phagocytic vesicle membrane, P:interferon-gamma-mediated signaling pathway, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:Golgi membrane, C:extracellular vesicular exosome, C:ER to Golgi transport vesicle membrane"
"13";"P01889";"1B07_HUMAN";"P:regulation of dendritic cell differentiation, P:interferon-gamma-mediated signaling pathway, C:integral component of lumenal side of endoplasmic reticulum membrane, P:positive regulation of T cell mediated cytotoxicity, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:ER to Golgi transport vesicle membrane, P:regulation of T cell anergy, C:MHC class I protein complex, P:regulation of immune response, C:Golgi membrane, C:cell surface, C:phagocytic vesicle membrane, P:regulation of interleukin-12 production, C:extracellular vesicular exosome, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:integral component of plasma membrane, C:early endosome membrane, P:regulation of interleukin-6 production, P:viral process, P:type I interferon signaling pathway, F:peptide antigen binding"
"14";"P30464";"1B15_HUMAN";"P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:integral component of lumenal side of endoplasmic reticulum membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:type I interferon signaling pathway, C:cell surface, P:viral process, C:early endosome membrane, C:ER to Golgi transport vesicle membrane, P:regulation of immune response, P:interferon-gamma-mediated signaling pathway, F:peptide antigen binding, C:Golgi membrane, P:positive regulation of T cell mediated cytotoxicity, C:MHC class I protein complex, F:receptor binding, C:phagocytic vesicle membrane"
"15";"Q04826";"1B40_HUMAN";"C:early endosome membrane, F:peptide antigen binding, P:type I interferon signaling pathway, C:cell surface, C:integral component of lumenal side of endoplasmic reticulum membrane, C:ER to Golgi transport vesicle membrane, P:regulation of immune response, C:MHC class I protein complex, C:phagocytic vesicle membrane, P:interferon-gamma-mediated signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:positive regulation of T cell mediated cytotoxicity, P:viral process, C:Golgi membrane"
"16";"P30479";"1B41_HUMAN";"P:viral process, P:positive regulation of T cell mediated cytotoxicity, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:phagocytic vesicle membrane, C:cell surface, C:integral component of lumenal side of endoplasmic reticulum membrane, C:early endosome membrane, P:regulation of immune response, P:type I interferon signaling pathway, C:ER to Golgi transport vesicle membrane, F:peptide antigen binding, C:MHC class I protein complex, P:interferon-gamma-mediated signaling pathway, C:Golgi membrane"
"17";"P30486";"1B48_HUMAN";"P:viral process, C:integral component of membrane, F:peptide antigen binding, C:cell surface, P:antigen processing and presentation of peptide antigen via MHC class I, P:positive regulation of T cell mediated cytotoxicity, P:immune response, C:MHC class I protein complex"
"18";"P30490";"1B52_HUMAN";"P:regulation of immune response, C:MHC class I protein complex, F:peptide antigen binding, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:ER to Golgi transport vesicle membrane, C:Golgi membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:phagocytic vesicle membrane, C:early endosome membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:viral process, P:positive regulation of T cell mediated cytotoxicity, P:interferon-gamma-mediated signaling pathway, P:type I interferon signaling pathway, C:cell surface"
"19";"P30492";"1B54_HUMAN";"P:type I interferon signaling pathway, C:Golgi membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, F:peptide antigen binding, P:viral process, C:early endosome membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:MHC class I protein complex, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:positive regulation of T cell mediated cytotoxicity, C:phagocytic vesicle membrane, C:cell surface, P:regulation of immune response, P:interferon-gamma-mediated signaling pathway, C:ER to Golgi transport vesicle membrane"
"20";"P30493";"1B55_HUMAN";"F:peptide antigen binding, C:cell surface, P:viral process, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:interferon-gamma-mediated signaling pathway, C:ER to Golgi transport vesicle membrane, C:early endosome membrane, P:positive regulation of T cell mediated cytotoxicity, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:MHC class I protein complex, C:integral component of lumenal side of endoplasmic reticulum membrane, C:Golgi membrane, P:type I interferon signaling pathway, P:regulation of immune response, C:phagocytic vesicle membrane"
"21";"P18465";"1B57_HUMAN";"C:ER to Golgi transport vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, F:peptide antigen binding, C:phagocytic vesicle membrane, C:early endosome membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:viral process, C:Golgi membrane, C:cell surface, P:regulation of immune response, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:MHC class I protein complex, P:interferon-gamma-mediated signaling pathway"
"22";"Q31612";"1B73_HUMAN";"P:regulation of immune response, P:positive regulation of T cell mediated cytotoxicity, C:integral component of lumenal side of endoplasmic reticulum membrane, C:early endosome membrane, C:MHC class I protein complex, C:ER to Golgi transport vesicle membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:Golgi membrane, P:viral process, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:phagocytic vesicle membrane, C:cell surface, F:peptide antigen binding, P:type I interferon signaling pathway, P:interferon-gamma-mediated signaling pathway"
"23";"P30499";"1C01_HUMAN";"C:integral component of lumenal side of endoplasmic reticulum membrane, P:type I interferon signaling pathway, P:regulation of immune response, P:antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent, C:integral component of plasma membrane, C:cell surface, C:MHC class I protein complex, C:Golgi membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:early endosome membrane, F:peptide antigen binding, C:ER to Golgi transport vesicle membrane, P:viral process, C:phagocytic vesicle membrane, P:interferon-gamma-mediated signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:positive regulation of T cell mediated cytotoxicity, F:TAP binding"
"24";"P30501";"1C02_HUMAN";"P:type I interferon signaling pathway, C:phagocytic vesicle membrane, C:ER to Golgi transport vesicle membrane, C:early endosome membrane, P:viral process, C:cell surface, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:integral component of plasma membrane, F:TAP binding, F:peptide antigen binding, C:MHC class I protein complex, C:Golgi membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:regulation of immune response, P:positive regulation of T cell mediated cytotoxicity, C:integral component of lumenal side of endoplasmic reticulum membrane, P:interferon-gamma-mediated signaling pathway"
"25";"P04222";"1C03_HUMAN";"C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, F:peptide antigen binding, P:interferon-gamma-mediated signaling pathway, F:receptor binding, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, F:TAP binding, C:early endosome membrane, C:Golgi membrane, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:cell surface, C:ER to Golgi transport vesicle membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:regulation of immune response, C:MHC class I protein complex, P:viral process"
"26";"P10321";"1C07_HUMAN";"C:integral component of lumenal side of endoplasmic reticulum membrane, F:peptide antigen binding, F:receptor binding, C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, P:viral process, P:type I interferon signaling pathway, C:extracellular vesicular exosome, C:cell surface, P:regulation of immune response, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:interferon-gamma-mediated signaling pathway, C:MHC class I protein complex, C:Golgi membrane, C:ER to Golgi transport vesicle membrane, C:early endosome membrane"
"27";"P30508";"1C12_HUMAN";"C:Golgi membrane, F:peptide antigen binding, P:regulation of immune response, C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, C:ER to Golgi transport vesicle membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:type I interferon signaling pathway, C:MHC class I protein complex, C:cell surface, C:early endosome membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:integral component of plasma membrane, P:viral process, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:interferon-gamma-mediated signaling pathway"
"28";"Q95604";"1C17_HUMAN";"F:peptide antigen binding, P:interferon-gamma-mediated signaling pathway, C:MHC class I protein complex, C:phagocytic vesicle membrane, C:ER to Golgi transport vesicle membrane, C:early endosome membrane, P:positive regulation of T cell mediated cytotoxicity, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:Golgi membrane, P:type I interferon signaling pathway, C:integral component of lumenal side of endoplasmic reticulum membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:viral process, C:cell surface, P:regulation of immune response"
"29";"P30153";"2AAA_HUMAN";"C:chromosome, centromeric region, F:protein phosphatase type 2A regulator activity, P:negative regulation of tyrosine phosphorylation of Stat3 protein, F:protein serine/threonine phosphatase activity, P:peptidyl-serine dephosphorylation, P:regulation of DNA replication, P:negative regulation of cell growth, C:nucleus, P:inactivation of MAPK activity, P:second-messenger-mediated signaling, C:membrane, F:antigen binding, P:RNA splicing, C:microtubule cytoskeleton, P:protein complex assembly, C:protein phosphatase type 2A complex, P:G2/M transition of mitotic cell cycle, P:ceramide metabolic process, P:mitotic nuclear envelope reassembly, P:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay, C:cytosol, P:apoptotic process, C:mitochondrion, P:regulation of cell differentiation, P:fibroblast growth factor receptor signaling pathway, P:regulation of Wnt signaling pathway, P:positive regulation of extrinsic apoptotic signaling pathway in absence of ligand, P:regulation of cell adhesion, P:protein dephosphorylation, P:chromosome segregation, P:regulation of transcription, DNA-templated"
"30";"P63151";"2ABA_HUMAN";"P:signal transduction, P:mitotic nuclear envelope reassembly, P:protein dephosphorylation, C:cytosol, P:response to morphine, P:gene expression, C:protein phosphatase type 2A complex, P:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay, F:protein phosphatase type 2A regulator activity, F:protein serine/threonine phosphatase activity"
"31";"P01912";"2B13_HUMAN";"P:immunoglobulin production involved in immunoglobulin mediated immune response, C:ER to Golgi transport vesicle membrane, C:trans-Golgi network membrane, C:MHC class II protein complex, P:T cell receptor signaling pathway, C:plasma membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, C:Golgi membrane, P:T cell costimulation, C:late endosome membrane, P:interferon-gamma-mediated signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, C:lysosomal membrane, C:clathrin-coated endocytic vesicle membrane, P:humoral immune response mediated by circulating immunoglobulin"
"32";"P08195";"4F2_HUMAN";"P:leucine import, C:apical plasma membrane, C:melanosome, P:response to exogenous dsRNA, F:calcium:sodium antiporter activity, F:cation binding, F:neutral amino acid transmembrane transporter activity, C:extracellular vesicular exosome, C:integral component of membrane, P:tryptophan transport, P:leukocyte migration, P:cell growth, C:plasma membrane, P:blood coagulation, F:catalytic activity, P:carbohydrate metabolic process, F:double-stranded RNA binding"
"33";"P52209";"6PGD_HUMAN";"F:NADP binding, C:extracellular vesicular exosome, P:pentose biosynthetic process, F:phosphogluconate dehydrogenase (decarboxylating) activity, P:D-gluconate metabolic process, P:pentose-phosphate shunt, oxidative branch, C:cytosol"
"34";"Q15758";"AAAT_HUMAN";"F:L-glutamine transmembrane transporter activity, P:sodium ion transmembrane transport, C:extracellular vesicular exosome, C:integral component of plasma membrane, C:Golgi apparatus, C:melanosome, P:extracellular amino acid transport, F:L-serine transmembrane transporter activity, F:sodium:dicarboxylate symporter activity, F:receptor activity, F:virus receptor activity, P:response to virus"
"35";"P00505";"AATM_HUMAN";"P:4-hydroxyproline catabolic process, C:mitochondrial matrix, P:response to ethanol, P:2-oxoglutarate metabolic process, P:glutamate catabolic process to aspartate, P:aspartate biosynthetic process, F:L-aspartate:2-oxoglutarate aminotransferase activity, F:pyridoxal phosphate binding, P:glutamate catabolic process to 2-oxoglutarate, P:aspartate catabolic process, P:oxaloacetate metabolic process, C:extracellular vesicular exosome, C:mitochondrial inner membrane, F:kynurenine-oxoglutarate transaminase activity, F:L-phenylalanine:2-oxoglutarate aminotransferase activity, P:L-kynurenine metabolic process, P:cellular amino acid biosynthetic process, C:plasma membrane, P:fatty acid transport, P:cellular nitrogen compound metabolic process, P:gluconeogenesis, P:glutamate metabolic process"
"36";"P61221";"ABCE1_HUMAN";"F:ribonuclease inhibitor activity, F:ATPase activity, P:RNA catabolic process, P:response to virus, P:viral process, F:iron-sulfur cluster binding, F:ATP binding, P:ATP catabolic process, C:mitochondrion"
"37";"Q9NUJ1";"ABHDA_HUMAN";"C:cytosol, C:mitochondrion, P:glucuronoside catabolic process, F:hydrolase activity, hydrolyzing O-glycosyl compounds"
"38";"P53396";"ACLY_HUMAN";"F:metal ion binding, P:cellular carbohydrate metabolic process, P:coenzyme A metabolic process, F:ATP binding, C:plasma membrane, C:mitochondrion, P:positive regulation of cellular metabolic process, P:citrate metabolic process, P:ATP catabolic process, C:citrate lyase complex, F:cofactor binding, C:nucleus, P:triglyceride biosynthetic process, C:extracellular vesicular exosome, P:long-chain fatty-acyl-CoA biosynthetic process, P:energy reserve metabolic process, F:succinate-CoA ligase (ADP-forming) activity, C:cytosol, F:ATP citrate synthase activity"
"39";"Q9NPJ3";"ACO13_HUMAN";"C:mitochondrion, F:acyl-CoA hydrolase activity, P:protein homotetramerization"
"40";"Q99798";"ACON_HUMAN";"P:citrate metabolic process, C:mitochondrial matrix, F:iron ion binding, F:aconitate hydratase activity, P:isocitrate metabolic process, P:tricarboxylic acid cycle, C:nucleus, F:3 iron, 4 sulfur cluster binding, F:4 iron, 4 sulfur cluster binding, P:cell death"
"41";"O60488";"ACSL4_HUMAN";"P:dendritic spine development, C:peroxisomal membrane, F:long-chain fatty acid-CoA ligase activity, P:fatty acid transport, C:neuronal cell body, P:lipid biosynthetic process, P:positive regulation of cell growth, F:arachidonate-CoA ligase activity, F:ATP binding, P:triglyceride biosynthetic process, C:endoplasmic reticulum membrane, C:extracellular vesicular exosome, P:negative regulation of prostaglandin secretion, C:mitochondrial outer membrane, F:very long-chain fatty acid-CoA ligase activity, C:integral component of membrane, P:embryonic process involved in female pregnancy, P:response to interleukin-15, C:lipid particle, P:response to nutrient, P:long-chain fatty-acyl-CoA biosynthetic process"
"42";"P60709";"ACTB_HUMAN";"P:innate immune response, C:ribonucleoprotein complex, P:retina homeostasis, C:MLL5-L complex, F:ATP binding, P:cell junction assembly, P:Fc-gamma receptor signaling pathway involved in phagocytosis, P:blood coagulation, F:structural constituent of cytoskeleton, C:cortical cytoskeleton, P:'de novo' posttranslational protein folding, P:axon guidance, C:cytosol, C:blood microparticle, C:NuA4 histone acetyltransferase complex, C:cytoskeleton, C:extracellular vesicular exosome, C:postsynaptic density, C:axon, P:substantia nigra development, P:adherens junction organization"
"43";"P68032";"ACTC_HUMAN";"P:response to drug, C:I band, P:skeletal muscle thin filament assembly, P:cardiac muscle contraction, P:heart contraction, P:cardiac muscle tissue morphogenesis, P:apoptotic process, P:cardiac myofibril assembly, P:muscle filament sliding, F:ATP binding, P:negative regulation of apoptotic process, C:cytosol, C:extracellular vesicular exosome, C:actomyosin, actin portion, F:myosin binding, F:ATPase activity, P:response to ethanol, C:blood microparticle"
"44";"P12814";"ACTN1_HUMAN";"F:integrin binding, C:fascia adherens, F:calcium ion binding, P:focal adhesion assembly, C:ruffle, C:pseudopodium, P:negative regulation of cellular component movement, P:platelet degranulation, P:regulation of apoptotic process, C:Z disc, C:plasma membrane, C:extracellular vesicular exosome, C:focal adhesion, C:cytosol, C:nucleus, C:cytoskeleton, P:extracellular matrix organization, P:platelet activation, C:platelet alpha granule lumen, C:dendritic spine, P:actin filament bundle assembly, F:double-stranded RNA binding"
"45";"O43707";"ACTN4_HUMAN";"P:positive regulation of sodium:hydrogen antiporter activity, P:positive regulation of pinocytosis, C:platelet alpha granule lumen, P:regulation of apoptotic process, P:response to hypoxia, C:protein complex, P:protein transport, F:nucleoside binding, C:nucleus, C:neuron projection, P:negative regulation of cellular component movement, C:Z disc, C:extracellular vesicular exosome, P:platelet activation, F:calcium ion binding, P:positive regulation of cellular component movement, C:cell-cell junction, P:tight junction assembly, C:stress fiber, P:actin filament bundle assembly, C:cortical cytoskeleton, C:ribonucleoprotein complex, C:perinuclear region of cytoplasm, F:integrin binding, F:actin filament binding, P:platelet degranulation, C:pseudopodium, F:protein homodimerization activity"
"46";"P00813";"ADA_HUMAN";"P:liver development, C:external side of plasma membrane, C:cytosol, P:positive regulation of heart rate, F:purine nucleoside binding, P:response to hydrogen peroxide, P:embryonic digestive tract development, P:positive regulation of alpha-beta T cell differentiation, P:positive regulation of B cell proliferation, P:purine nucleotide salvage, P:positive regulation of T cell receptor signaling pathway, C:dendrite cytoplasm, P:negative regulation of penile erection, P:response to morphine, P:deoxyadenosine catabolic process, P:negative regulation of adenosine receptor signaling pathway, P:placenta development, P:aging, P:histamine secretion, C:cell junction, P:negative regulation of circadian sleep/wake cycle, non-REM sleep, C:lysosome, C:cytoplasmic membrane-bounded vesicle lumen, P:lung alveolus development, P:positive regulation of calcium-mediated signaling, P:negative regulation of thymocyte apoptotic process, P:positive regulation of T cell differentiation in thymus, P:dATP catabolic process, P:inosine biosynthetic process, F:adenosine deaminase activity, C:extracellular space, P:positive regulation of germinal center formation, P:response to hypoxia, P:hypoxanthine salvage, P:negative regulation of leukocyte migration, P:negative regulation of mature B cell apoptotic process, P:xanthine biosynthetic process, P:purine ribonucleoside monophosphate biosynthetic process, P:Peyer's patch development, P:response to vitamin E, P:adenosine catabolic process, F:zinc ion binding, C:neuronal cell body, P:cell adhesion, P:germinal center B cell differentiation, P:trophectodermal cell differentiation, P:regulation of cell-cell adhesion mediated by integrin, P:negative regulation of inflammatory response, P:negative regulation of mucus secretion, P:T cell activation, P:positive regulation of smooth muscle contraction"
"47";"O14672";"ADA10_HUMAN";"P:negative regulation of cell adhesion, P:constitutive protein ectodomain proteolysis, P:in utero embryonic development, C:postsynaptic density, C:extracellular vesicular exosome, P:positive regulation of cell proliferation, C:cell surface, P:extracellular matrix disassembly, F:protein homodimerization activity, P:response to tumor necrosis factor, C:nucleus, P:PMA-inducible membrane protein ectodomain proteolysis, P:integrin-mediated signaling pathway, P:positive regulation of T cell chemotaxis, P:cell-cell signaling, C:plasma membrane, P:protein phosphorylation, F:metalloendopeptidase activity, F:protein kinase binding, P:positive regulation of cell growth, F:zinc ion binding, P:Notch signaling pathway, P:collagen catabolic process, C:integral component of membrane, P:epidermal growth factor receptor signaling pathway, C:Golgi-associated vesicle, P:Notch receptor processing, P:monocyte activation, F:integrin binding"
"48";"Q16186";"ADRM1_HUMAN";"F:proteasome binding, P:transcription elongation from RNA polymerase II promoter, F:endopeptidase activator activity, C:nucleus, C:proteasome complex, C:integral component of plasma membrane, C:cytoplasm, P:proteasome assembly"
"49";"P05141";"ADT2_HUMAN";"P:energy reserve metabolic process, P:negative regulation of mitochondrial outer membrane permeabilization, P:regulation of insulin secretion, C:MMXD complex, C:mitochondrial nucleoid, C:integral component of plasma membrane, P:positive regulation of cell proliferation, P:viral process, P:small molecule metabolic process, P:chromosome segregation, F:adenine transmembrane transporter activity, C:mitochondrial inner membrane"
"50";"O95831";"AIFM1_HUMAN";"C:perinuclear region of cytoplasm, C:mitochondrial inner membrane, F:flavin adenine dinucleotide binding, C:nucleus, P:activation of cysteine-type endopeptidase activity involved in apoptotic process, P:chromosome condensation, P:apoptotic DNA fragmentation, C:cytosol, P:neuron apoptotic process, P:mitochondrial respiratory chain complex I assembly, F:DNA binding, P:positive regulation of apoptotic process, P:cell redox homeostasis, F:electron carrier activity, C:mitochondrial intermembrane space, P:intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress, F:NAD(P)H oxidase activity, P:neuron differentiation"
"51";"P30837";"AL1B1_HUMAN";"C:nucleus, P:ethanol catabolic process, F:aldehyde dehydrogenase (NAD) activity, C:mitochondrial matrix, C:mitochondrion, P:carbohydrate metabolic process"
