"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5574"	"spectra.count.P5574"	"dNSAF.P5574"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"Q5VYK3"	"Q5VYK3"	"ECM29_HUMAN"	"Proteasome-associated protein ECM29 homolog"	"ECM29"	23	33	0.000585362069030036	23	33	0.000776378575024498	0	"ER-associated protein catabolic process"	"proteasome complex;ER to Golgi transport vesicle;early endosome;endoplasmic reticulum;centrosome;multivesicular body;nucleus;endoplasmic reticulum-Golgi intermediate compartment;endocytic vesicle"	""
"O14672"	"O14672"	"ADA10_HUMAN"	"Disintegrin and metalloproteinase domain-containing protein 10"	"ADAM10"	22	39	0.00170635746544548	22	39	0.00226317940228033	0	"epidermal growth factor receptor signaling pathway;Notch receptor processing;PMA-inducible membrane protein ectodomain proteolysis;negative regulation of cell adhesion;positive regulation of cell proliferation;in utero embryonic development;Notch signaling pathway;integrin-mediated signaling pathway;response to tumor necrosis factor;collagen catabolic process;extracellular matrix disassembly;positive regulation of cell growth;constitutive protein ectodomain proteolysis;positive regulation of T cell chemotaxis;protein phosphorylation;monocyte activation;cell-cell signaling"	"plasma membrane;integral to membrane;Golgi-associated vesicle;postsynaptic density;nucleus;endomembrane system;cell surface"	"protein homodimerization activity;protein kinase binding;zinc ion binding;integrin binding;metalloendopeptidase activity"
"P25705"	"P25705"	"ATPA_HUMAN"	"ATP synthase subunit alpha, mitochondrial"	"ATP5A1"	22	48	0.00284068523389227	22	48	0.0037676632475297	0	"lipid metabolic process;respiratory electron transport chain;ATP hydrolysis coupled proton transport;mitochondrial ATP synthesis coupled proton transport;negative regulation of endothelial cell proliferation;embryo development"	"mitochondrial proton-transporting ATP synthase complex;mitochondrial matrix;plasma membrane;proton-transporting ATP synthase complex"	"proton-transporting ATP synthase activity;MHC class I protein binding;proton-transporting ATPase activity;ATP binding"
"P16435"	"P16435"	"NCPR_HUMAN"	"NADPH--cytochrome P450 reductase"	"POR"	21	36	0.00174028685488452	21	36	0.00230818069706491	0	"demethylation;cellular organofluorine metabolic process;negative regulation of lipase activity;negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of chondrocyte differentiation;carnitine metabolic process;positive regulation of monooxygenase activity;internal peptidyl-lysine acetylation;positive regulation of cholesterol biosynthetic process;nitric oxide catabolic process;response to nutrient;positive regulation of smoothened signaling pathway;regulation of growth plate cartilage chondrocyte proliferation;positive regulation of steroid hormone biosynthetic process;response to drug;nitrate catabolic process;cellular response to follicle-stimulating hormone stimulus;flavonoid metabolic process;fatty acid oxidation;negative regulation of apoptotic process;cellular response to peptide hormone stimulus"	"endoplasmic reticulum;mitochondrion;endoplasmic reticulum membrane"	"cytochrome-b5 reductase activity;FMN binding;iron-cytochrome-c reductase activity;flavin adenine dinucleotide binding;NADPH-hemoprotein reductase activity;hydrolase activity;iron ion binding;electron carrier activity;NADP binding"
"P22695"	"P22695"	"QCR2_HUMAN"	"Cytochrome b-c1 complex subunit 2, mitochondrial"	"UQCRC2"	20	45	0.00325103256279475	20	45	0.0043119159269121	0	"proteolysis;respiratory electron transport chain;small molecule metabolic process;aerobic respiration;oxidative phosphorylation"	"mitochondrial inner membrane;mitochondrial respiratory chain complex III"	"metalloendopeptidase activity;metal ion binding"
"P51149"	"P51149"	"RAB7A_HUMAN"	"Ras-related protein Rab-7a"	"RAB7A"	20	65	0.0102766133989792	20	65	0.0136300981715434	0	"small GTPase mediated signal transduction;epidermal growth factor catabolic process;early endosome to late endosome transport;endosome to lysosome transport;antigen processing and presentation of exogenous peptide antigen via MHC class II;phagosome-lysosome fusion;bone resorption;phagosome acidification;protein targeting to lysosome"	"alveolar lamellar body;phagocytic vesicle;late endosome;lysosomal membrane;phagocytic vesicle membrane;Golgi apparatus;melanosome"	"GTPase activity;GDP binding;GTP binding"
"Q92945"	"Q92945"	"FUBP2_HUMAN"	"Far upstream element-binding protein 2"	"KHSRP"	20	35	0.00184917433785719	20	35	0.00245260055844816	6	"regulation of transcription;mRNA processing;RNA splicing;mRNA transport;transcription"	"nucleoplasm;cytosol;cytoplasmic stress granule"	"RNA binding;DNA binding"
"O00116"	"O00116"	"ADAS_HUMAN"	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	"AGPS"	19	38	0.00189001264896822	19	38	0.0025067653078644	0	"ether lipid biosynthetic process"	"peroxisomal membrane;mitochondrion;peroxisomal matrix"	"alkylglycerone-phosphate synthase activity;FAD binding;UDP-N-acetylmuramate dehydrogenase activity"
"P02786"	"P02786"	"TFR1_HUMAN"	"Transferrin receptor protein 1"	"TFRC"	19	40	0.00172247690169125	19	40	0.00228455896478501	0	"positive regulation of bone resorption;proteolysis;transferrin transport;cellular iron ion homeostasis;osteoclast differentiation;modulation by virus of host morphology or physiology;transmembrane transport"	"extracellular vesicular exosome;coated pit;extracellular region;integral to plasma membrane;perinuclear region of cytoplasm;external side of plasma membrane;endosome;cytoplasmic membrane-bounded vesicle;melanosome"	"peptidase activity;transferrin receptor activity"
"P06576"	"P06576"	"ATPB_HUMAN"	"ATP synthase subunit beta, mitochondrial"	"ATP5B"	19	67	0.00414501530406988	19	67	0.00549762488123122	0	"mitochondrial ATP synthesis coupled proton transport;regulation of intracellular pH;ATP hydrolysis coupled proton transport;respiratory electron transport chain;angiogenesis;negative regulation of cell adhesion involved in substrate-bound cell migration;lipid metabolic process"	"cell surface;mitochondrial proton-transporting ATP synthase;plasma membrane;mitochondrial nucleoid"	"proton-transporting ATP synthase activity;proton-transporting ATPase activity;ATP binding;MHC class I protein binding"
"P42704"	"P42704"	"LPPRC_HUMAN"	"Leucine-rich PPR motif-containing protein, mitochondrial"	"LRPPRC"	19	31	0.000727789738232532	19	31	0.000965283522423507	0	"negative regulation of mitochondrial RNA catabolic process;mRNA transport;regulation of mitochondrial translation;transcription;regulation of transcription;mitochondrion transport along microtubule"	"microtubule;condensed nuclear chromosome;nuclear outer membrane;nucleoplasm;ribonucleoprotein complex;perinuclear region of cytoplasm;mitochondrial nucleoid;nuclear inner membrane"	"single-stranded DNA binding;RNA binding;microtubule binding;beta-tubulin binding"
"Q99623"	"Q99623"	"PHB2_HUMAN"	"Prohibitin-2"	"PHB2"	19	46	0.00524918492790363	19	46	0.00696210931657886	2	"regulation of branching involved in mammary gland duct morphogenesis;negative regulation of transcription;negative regulation of intracellular estrogen receptor signaling pathway;negative regulation of mammary gland epithelial cell proliferation;transcription;mammary gland alveolus development;mammary gland branching involved in thelarche"	"mitochondrial inner membrane;nucleus"	"estrogen receptor binding"
"Q9HAV4"	"Q9HAV4"	"XPO5_HUMAN"	"Exportin-5"	"XPO5"	19	32	0.000869822222780966	19	32	0.00115366432773196	0	"protein export from nucleus;gene silencing by RNA;gene expression"	"cytosol;nucleoplasm"	"tRNA binding;protein transporter activity;RNA binding"
"P04264"	"P04264"	"K2C1_HUMAN"	"Keratin, type II cytoskeletal 1"	"KRT1"	18	46	0.00274520332909737	18	46	0.00364102349906066	10	"response to oxidative stress;regulation of angiogenesis;complement activation;fibrinolysis"	"cytoskeleton;plasma membrane;membrane;keratin filament"	"receptor activity;structural molecule activity;carbohydrate binding"
"Q9Y512"	"Q9Y512"	"SAM50_HUMAN"	"Sorting and assembly machinery component 50 homolog"	"SAMM50"	18	37	0.00258187902321738	18	37	0.00342440288324917	0	"cellular protein metabolic process;protein import into mitochondrial outer membrane"	"integral to membrane;mitochondrial inner membrane;mitochondrial sorting and assembly machinery complex"	""
"Q9Y6D6"	"Q9Y6D6"	"BIG1_HUMAN"	"Brefeldin A-inhibited guanine nucleotide-exchange protein 1"	"ARFGEF1"	18	32	0.000755194487995877	18	32	0.0010016310442324	13	"negative regulation of Rho GTPase activity;positive regulation of wound healing;regulation of establishment of cell polarity;regulation of ARF protein signal transduction;positive regulation of protein glycosylation in Golgi;protein transport;negative regulation of actin filament polymerization;endomembrane system organization;exocytosis;Golgi organization"	"Golgi membrane;trans-Golgi network;perinuclear region of cytoplasm;nucleolus;small nuclear ribonucleoprotein complex;cytosol;nuclear matrix"	"ARF guanyl-nucleotide exchange factor activity;protein kinase A regulatory subunit binding"
"P23786"	"P23786"	"CPT2_HUMAN"	"Carnitine O-palmitoyltransferase 2, mitochondrial"	"CPT2"	17	31	0.00154185242415828	17	31	0.00204499275115254	0	"fatty acid beta-oxidation;carnitine shuttle"	"nucleolus;mitochondrial inner membrane"	"carnitine O-palmitoyltransferase activity"
"Q9C0E2"	"Q9C0E2"	"XPO4_HUMAN"	"Exportin-4"	"XPO4"	17	31	0.000881441264201694	17	31	0.00116907491768755	0	"positive regulation of protein export from nucleus;protein transport"	"nucleus;cytoplasm"	""
"O43175"	"O43175"	"SERA_HUMAN"	"D-3-phosphoglycerate dehydrogenase"	"PHGDH"	16	49	0.00300867916599354	16	49	0.00399047729120983	0	"neuron projection development;L-serine biosynthetic process;neural tube development;glycine metabolic process;gamma-aminobutyric acid metabolic process;spinal cord development;brain development;cell cycle process;glial cell development;threonine metabolic process;regulation of gene expression;glutamine metabolic process;cellular nitrogen compound metabolic process;taurine metabolic process"	"cytosol"	"NAD binding;phosphoglycerate dehydrogenase activity;electron carrier activity"
"O43592"	"O43592"	"XPOT_HUMAN"	"Exportin-T"	"XPOT"	16	29	0.000986574607933349	16	29	0.00130851558170118	0	"tRNA export from nucleus;intracellular protein transport"	"cytoplasm;nucleoplasm"	"tRNA binding"
"O95573"	"O95573"	"ACSL3_HUMAN"	"Long-chain-fatty-acid--CoA ligase 3"	"ACSL3"	16	30	0.00144885426887051	16	30	0.00192164725423322	3	"long-chain fatty acid import;very-low-density lipoprotein particle assembly;brain development;positive regulation of Golgi to plasma membrane protein transport;fatty acid biosynthetic process;positive regulation of secretion;positive regulation of phosphatidylcholine biosynthetic process;response to nutrient;response to organic cyclic compound"	"mitochondrial outer membrane;peroxisomal membrane;Golgi apparatus;integral to membrane;endoplasmic reticulum;endoplasmic reticulum membrane;perinuclear region of cytoplasm;lipid particle"	"ATP binding;long-chain fatty acid-CoA ligase activity"
"P27487"	"P27487"	"DPP4_HUMAN"	"Dipeptidyl peptidase 4"	"DPP4"	16	30	0.0012817386866371	16	30	0.00169999818528388	0	"negative regulation of extracellular matrix disassembly;T cell activation;proteolysis;T cell costimulation;regulation of cell-cell adhesion mediated by integrin;cell adhesion;positive regulation of cell proliferation;endothelial cell migration;response to hypoxia"	"extracellular vesicular exosome;membrane raft;invadopodium membrane;apical plasma membrane;cell surface;intercellular canaliculus;endocytic vesicle;lamellipodium;lamellipodium membrane;integral to membrane"	"serine-type peptidase activity;dipeptidyl-peptidase activity;serine-type endopeptidase activity;aminopeptidase activity"
"P35527"	"P35527"	"K1C9_HUMAN"	"Keratin, type I cytoskeletal 9"	"KRT9"	16	33	0.00177742313440872	16	33	0.00235743536063832	2	"intermediate filament organization;spermatogenesis;epidermis development"	"intermediate filament"	"structural constituent of cytoskeleton"
"P54577"	"P54577"	"SYYC_HUMAN"	"Tyrosine--tRNA ligase, cytoplasmic"	"YARS"	16	27	0.0016735428988023	16	27	0.00221965672146725	0	"tyrosyl-tRNA aminoacylation;apoptotic process"	"cytosol;nucleus;extracellular space"	"interleukin-8 receptor binding;tRNA binding;signal transducer activity;ATP binding;tyrosine-tRNA ligase activity"
"Q14974"	"Q14974"	"IMB1_HUMAN"	"Importin subunit beta-1"	"KPNB1"	16	36	0.00134494771775893	16	36	0.00178383371222939	0	"cytokine-mediated signaling pathway;viral infectious cycle;NLS-bearing substrate import into nucleus;ribosomal protein import into nucleus;modulation by virus of host morphology or physiology;apoptotic DNA fragmentation;protein import into nucleus;intracellular transport of viral material;small molecule metabolic process"	"nucleoplasm;cytosol;nuclear membrane;nuclear pore"	"nuclear localization sequence binding;protein transporter activity;zinc ion binding"
"Q8TEX9-1,Q8TEX9-2"	"Q8TEX9-[1,2]"	"IPO4_HUMAN"	"Importin-4"	"IPO4"	16	29	0.000438984631282091	16	29	0	0	"intracellular protein transport;protein transport"	"cytoplasm;nucleus"	""
"Q9NX63"	"Q9NX63"	"CHCH3_HUMAN"	"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial"	"CHCHD3"	16	31	0.00446933433963061	16	31	0.00592777634475053	0	"mitochondrial fusion;inner mitochondrial membrane organization"	"mitochondrial inner membrane;nucleus"	"RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription;phosphatase binding;protein complex scaffold"
"O75694-1,O75694-2"	"O75694-[1,2]"	"NU155_HUMAN"	"Nuclear pore complex protein Nup155"	"NUP155"	15	27	0.000317624245351407	15	27	0	0	"glucose transport;cytokine-mediated signaling pathway;regulation of atrial cardiac muscle cell action potential;mitotic nuclear envelope disassembly;mRNA export from nucleus;regulation of glucose transport;small molecule metabolic process;transmembrane transport;carbohydrate metabolic process;protein import into nucleus;viral process"	"nuclear pore;nuclear membrane;nuclear envelope"	"transporter activity;structural constituent of nuclear pore"
"P15144"	"P15144"	"AMPN_HUMAN"	"Aminopeptidase N"	"ANPEP"	15	28	0.000947629484694672	15	28	0.00125686180896135	0	"angiogenesis;cellular protein metabolic process;modulation by virus of host morphology or physiology;response to virus;proteolysis;cell differentiation;angiotensin maturation"	"external side of plasma membrane;cytosol;endoplasmic reticulum-Golgi intermediate compartment;integral to plasma membrane"	"zinc ion binding;aminopeptidase activity;receptor activity;metallopeptidase activity;virus receptor activity"
"P18031"	"P18031"	"PTN1_HUMAN"	"Tyrosine-protein phosphatase non-receptor type 1"	"PTPN1"	15	31	0.00233227332206011	15	31	0.00309334535691579	0	"endoplasmic reticulum unfolded protein response;actin cytoskeleton reorganization;type I interferon-mediated signaling pathway;insulin receptor signaling pathway;regulation of hepatocyte growth factor receptor signaling pathway;regulation of type I interferon-mediated signaling pathway;negative regulation of insulin receptor signaling pathway;JAK-STAT cascade involved in growth hormone signaling pathway;platelet-derived growth factor receptor-beta signaling pathway;platelet activation;regulation of endocytosis;interferon-gamma-mediated signaling pathway;regulation of interferon-gamma-mediated signaling pathway"	"endoplasmic reticulum;endoplasmic reticulum membrane;cytoplasmic vesicle;early endosome;cytosol"	"protein tyrosine phosphatase activity;zinc ion binding"
"P31930"	"P31930"	"QCR1_HUMAN"	"Cytochrome b-c1 complex subunit 1, mitochondrial"	"UQCRC1"	15	28	0.00190907856604114	15	28	0.00253205285263672	0	"aerobic respiration;mitochondrial electron transport;response to activity;respiratory electron transport chain;response to alkaloid;oxidative phosphorylation;small molecule metabolic process"	"mitochondrial respiratory chain complex III;mitochondrial respiratory chain"	"ubiquinol-cytochrome-c reductase activity;metal ion binding"
"P46977"	"P46977"	"STT3A_HUMAN"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A"	"STT3A"	15	31	0.00156311935414667	15	31	0.00207319954772016	5	"protein N-linked glycosylation via asparagine;co-translational protein modification;post-translational protein modification"	"oligosaccharyltransferase complex;integral to membrane"	"dolichyl-diphosphooligosaccharide-protein glycotransferase activity"
"P61106"	"P61106"	"RAB14_HUMAN"	"Ras-related protein Rab-14"	"RAB14"	15	37	0.0059885608477287	15	37	0.00794275984624576	10	"Golgi to endosome transport;small GTPase mediated signal transduction;fibroblast growth factor receptor signaling pathway;embryo development;regulation of protein localization;protein transport;endocytic recycling;neurotransmitter secretion"	"recycling endosome;cytoplasmic vesicle membrane;cytosol;rough endoplasmic reticulum;Golgi membrane;phagocytic vesicle;early endosome;lysosome;early endosome membrane;plasma membrane;perinuclear region of cytoplasm;late endosome;trans-Golgi network transport vesicle;phagocytic vesicle membrane;nuclear outer membrane-endoplasmic reticulum membrane network;Golgi stack"	"GTPase activity;GTP binding;GDP binding"
"Q00325-1,Q00325-2"	"Q00325-[1,2]"	"MPCP_HUMAN"	"Phosphate carrier protein, mitochondrial"	"SLC25A3"	15	40	0.00180812492442728	15	40	0	0	"generation of precursor metabolites and energy"	"integral to plasma membrane;mitochondrial inner membrane"	"phosphate ion carrier activity;symporter activity"
"Q10471"	"Q10471"	"GALT2_HUMAN"	"Polypeptide N-acetylgalactosaminyltransferase 2"	"GALNT2"	16	26	0.00149019893071012	16	26	0.00197648358774745	0	"protein O-linked glycosylation via serine;O-glycan processing;immunoglobulin biosynthetic process;protein O-linked glycosylation via threonine;post-translational protein modification"	"extracellular region;perinuclear region of cytoplasm;Golgi cisterna membrane;integral to Golgi membrane;Golgi stack"	"manganese ion binding;polypeptide N-acetylgalactosaminyltransferase activity"
"Q9HD20-1,Q9HD20-2"	"Q9HD20-[1,2]"	"AT131_HUMAN"	"Probable cation-transporting ATPase 13A1"	"ATP13A1"	19	33	0.000448502083621436	19	33	0	0	"ATP catabolic process"	"integral to membrane"	"cation-transporting ATPase activity;metal ion binding;ATP binding"
"Q9UGP8"	"Q9UGP8"	"SEC63_HUMAN"	"Translocation protein SEC63 homolog"	"SEC63"	15	32	0.001377981521353	15	32	0.00182764717182801	0	"nitrogen compound metabolic process;SRP-dependent cotranslational protein targeting to membrane;posttranslational protein targeting to membrane;renal system development;posttranslational protein targeting to membrane;multicellular organismal aging;liver development"	"integral to membrane;membrane;endoplasmic reticulum membrane;endoplasmic reticulum"	"protein transporter activity;receptor activity"
"P07099"	"P07099"	"HYEP_HUMAN"	"Epoxide hydrolase 1"	"EPHX1"	14	27	0.00194204538586289	14	27	0.00257577747018617	0	"response to organic cyclic compound;aromatic compound catabolic process;response to toxic substance"	"endoplasmic reticulum membrane;integral to membrane"	"epoxide hydrolase activity;cis-stilbene-oxide hydrolase activity"
"P09543-1,P09543-2"	"P09543-[1,2]"	"CN37_HUMAN"	"2',3'-cyclic-nucleotide 3'-phosphodiesterase"	"CNP"	14	25	0.000971706090621551	14	25	0	0	"forebrain development;RNA metabolic process;regulation of mitochondrial membrane permeability;response to toxic substance;response to lipopolysaccharide;aging;cyclic nucleotide catabolic process;microtubule cytoskeleton organization;axonogenesis;synaptic transmission;adult locomotory behavior"	"microvillus;melanosome;mitochondrial inner membrane;extracellular space;myelin sheath abaxonal region;pseudopodium;microtubule;cytoplasm;perinuclear region of cytoplasm;myelin sheath adaxonal region;plasma membrane;mitochondrial outer membrane"	"RNA binding;2';cyclic nucleotide binding"
"P20700"	"P20700"	"LMNB1_HUMAN"	"Lamin-B1"	"LMNB1"	16	31	0.00173129504282619	16	31	0.00229625465914397	0	"cellular component disassembly involved in execution phase of apoptosis"	"lamin filament;nucleoplasm;nuclear envelope;nuclear inner membrane"	"structural molecule activity"
"P21796"	"P21796"	"VDAC1_HUMAN"	"Voltage-dependent anion-selective channel protein 1"	"VDAC1"	14	48	0.00621966030456152	14	48	0.00824927213407149	10	"behavioral fear response;apoptotic process;learning;neuron-neuron synaptic transmission;modulation by virus of host morphology or physiology"	"pore complex;mitochondrial nucleoid;mitochondrial outer membrane;mitochondrial inner membrane;plasma membrane"	"voltage-gated anion channel activity;porin activity"
"P39656"	"P39656"	"OST48_HUMAN"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit"	"DDOST"	14	28	0.00200955638530646	14	28	0.00266531879224917	0	"translation;T cell activation;protein N-linked glycosylation via asparagine;post-translational protein modification;innate immune response;SRP-dependent cotranslational protein targeting to membrane;response to cytokine stimulus"	"integral to membrane;oligosaccharyltransferase complex"	"dolichyl-diphosphooligosaccharide-protein glycotransferase activity"
"Q9H2M9-1"	"Q9H2M9-1"	"RBGPR_HUMAN"	"Rab3 GTPase-activating protein non-catalytic subunit"	"RAB3GAP2"	14	23	0.000540360664780386	14	23	0	0	"intracellular protein transport"	"cytoplasm;plasma membrane"	"protein heterodimerization activity;GTPase activator activity"
"Q9UHG3"	"Q9UHG3"	"PCYOX_HUMAN"	"Prenylcysteine oxidase 1"	"PCYOX1"	14	27	0.00174976366449032	14	27	0.00232074999789051	0	"prenylated protein catabolic process;prenylcysteine catabolic process;prenylcysteine metabolic process"	"lysosome;plasma membrane;very-low-density lipoprotein particle"	"prenylcysteine oxidase activity;chloride-transporting ATPase activity"
"Q9UI26-1,Q9UI26-2"	"Q9UI26-[1,2]"	"IPO11_HUMAN"	"Importin-11"	"IPO11"	14	23	0.000386011490276451	14	23	0	0	"ribosomal protein import into nucleus"	"nucleus;cytoplasm"	"protein transporter activity"
"Q9UJZ1"	"Q9UJZ1"	"STML2_HUMAN"	"Stomatin-like protein 2"	"STOML2"	14	33	0.00303368825101241	14	33	0.00402364739022528	0	"stress-induced mitochondrial fusion;cellular calcium ion homeostasis;mitochondrial protein processing;mitochondrial ATP synthesis coupled proton transport;T cell receptor signaling pathway;protein oligomerization;CD4-positive;mitochondrial calcium ion transport;lipid localization;positive regulation of mitochondrial membrane potential;positive regulation of mitochondrial DNA replication;interleukin-2 production;positive regulation of cardiolipin metabolic process"	"mitochondrial intermembrane space;cytoskeleton;membrane raft;extrinsic to plasma membrane;mitochondrial inner membrane"	"cardiolipin binding;receptor binding"
"P13645"	"P13645"	"K1C10_HUMAN"	"Keratin, type I cytoskeletal 10"	"KRT10"	14	27	0.00167618687926011	14	27	0.00222316349084783	5	"cellular response to calcium ion;keratinocyte differentiation"	"intermediate filament;keratin filament;cytoplasm"	"structural constituent of epidermis"
"P30519"	"P30519"	"HMOX2_HUMAN"	"Heme oxygenase 2"	"HMOX2"	13	22	0.00227846628135109	13	22	0.00302197989645612	0	"transmembrane transport;heme catabolic process;response to hypoxia;cellular iron ion homeostasis;small molecule metabolic process;heme oxidation;response to oxidative stress"	"endoplasmic reticulum membrane;plasma membrane"	"heme oxygenase (decyclizing) activity;metal ion binding"
"P37268"	"P37268"	"FDFT_HUMAN"	"Squalene synthase"	"FDFT1"	13	26	0.00204053618569659	13	26	0.00270640798226329	0	"cholesterol biosynthetic process;isoprenoid biosynthetic process;farnesyl diphosphate metabolic process;cellular lipid metabolic process"	"endoplasmic reticulum membrane;integral to membrane"	"squalene synthase activity;oxidoreductase activity;farnesyl-diphosphate farnesyltransferase activity"
"P48449"	"P48449"	"ERG7_HUMAN"	"Lanosterol synthase"	"LSS"	13	22	0.000983600197960307	13	22	0.00130457055639362	0	"cholesterol biosynthetic process"	"lipid particle;endoplasmic reticulum membrane"	"lanosterol synthase activity"
"P52292"	"P52292"	"IMA2_HUMAN"	"Importin subunit alpha-2"	"KPNA2"	13	28	0.00173224520170085	13	28	0.00229751487573842	0	"M phase specific microtubule process;NLS-bearing substrate import into nucleus;modulation by virus of host morphology or physiology;G2 phase of mitotic cell cycle;DNA metabolic process;regulation of DNA recombination;cytokine-mediated signaling pathway"	"nucleoplasm;cytosol"	"nuclear localization sequence binding;protein transporter activity"
"Q8TCJ2"	"Q8TCJ2"	"STT3B_HUMAN"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B"	"STT3B"	13	27	0.00116199238093345	13	27	0.00154117602869848	5	"protein N-linked glycosylation via asparagine;response to unfolded protein;post-translational protein modification;co-translational protein modification;ER-associated protein catabolic process;glycoprotein catabolic process"	"integral to membrane;oligosaccharyltransferase complex"	"dolichyl-diphosphooligosaccharide-protein glycotransferase activity"
"O60488-1,O60488-2"	"O60488-[1,2]"	"ACSL4_HUMAN"	"Long-chain-fatty-acid--CoA ligase 4"	"ACSL4"	12	18	0.00044015825889737	12	18	0	3	"embryonic process involved in female pregnancy;dendritic spine development;triglyceride biosynthetic process;long-chain fatty-acyl-CoA biosynthetic process;response to nutrient;fatty acid transport;lipid biosynthetic process;response to interleukin-15;negative regulation of prostaglandin secretion;positive regulation of cell growth"	"mitochondrial outer membrane;lipid particle;integral to membrane;peroxisomal membrane;neuronal cell body;endoplasmic reticulum membrane"	"long-chain fatty acid-CoA ligase activity;arachidonate-CoA ligase activity;very long-chain fatty acid-CoA ligase activity;ATP binding"
