"";"Protein.G";"Protein.Acs";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5574";"Spectra.Count.P5574";"DNSAF.P5574";"Unspecific.Spectra.Count";"Go.Bp";"Go.Cc";"Go.F"
"335";"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";"4";"12";"7.85449467171212E-4";"4";"12";"0.00104175888794196";"0";"pyruvate metabolic process;leukocyte migration;blood coagulation";"integral to membrane;plasma membrane;mitochondrion";"secondary active monocarboxylate transmembrane transporter activity;mevalonate transmembrane transporter activity;symporter activity"
"366";"Q8TB61-1,Q8TB61-2,Q8TB61-3";"Q8TB61";"S35B2_HUMAN";"Adenosine 3'-phospho 5'-phosphosulfate transporter 1";"SLC35B2";"4";"5";"1.26261809923356E-4";"4";"5";"0";"0";"xenobiotic metabolic process;3'-phosphoadenosine 5'-phosphosulfate biosynthetic process;3'-phosphoadenosine 5'-phosphosulfate transport;glycosaminoglycan metabolic process;positive regulation of I-kappaB kinase/NF-kappaB cascade;carbohydrate metabolic process";"integral to membrane;Golgi membrane";"3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity;signal transducer activity"
"417";"O43772";"O43772";"MCAT_HUMAN";"Mitochondrial carnitine/acylcarnitine carrier protein";"SLC25A20";"3";"6";"6.52366667085724E-4";"3";"6";"8.65248245798973E-4";"0";"small molecule metabolic process;cellular lipid metabolic process;carnitine shuttle";"integral to membrane;mitochondrial inner membrane";""
"440";"P30825";"P30825";"CTR1_HUMAN";"High affinity cationic amino acid transporter 1";"SLC7A1";"3";"4";"2.0812121546667E-4";"3";"4";"2.76035741373069E-4";"0";"transmembrane transport;amino acid transport";"integral to plasma membrane";"arginine transmembrane transporter activity"
"506";"Q8NBI5";"Q8NBI5";"S43A3_HUMAN";"Solute carrier family 43 member 3";"SLC43A3";"3";"5";"3.33269461630691E-4";"3";"5";"4.42022610294452E-4";"0";"transmembrane transport";"integral to membrane";""
"508";"Q8NEW0";"Q8NEW0";"ZNT7_HUMAN";"Zinc transporter 7";"SLC30A7";"3";"3";"2.61120168607451E-4";"3";"3";"3.46329417533897E-4";"0";"cellular protein metabolic process;transmembrane transport;sequestering of zinc ion;zinc ion transport";"cytoplasmic membrane-bounded vesicle;vesicle;perinuclear region of cytoplasm;Golgi membrane;integral to membrane";"cation transmembrane transporter activity"
"543";"Q9UBX3-1,Q9UBX3-2";"Q9UBX3";"DIC_HUMAN";"Mitochondrial dicarboxylate carrier";"SLC25A10";"3";"7";"3.99110501611388E-4";"3";"7";"0";"0";"cellular nitrogen compound metabolic process;mitochondrial transport;sulfur amino acid catabolic process;sulfide oxidation;gluconeogenesis;thiosulfate transport;sulfate transport";"nucleus;integral to membrane;mitochondrial inner membrane";"thiosulfate transmembrane transporter activity;antiporter activity;phosphate ion transmembrane transporter activity;succinate transmembrane transporter activity;malate transmembrane transporter activity;dicarboxylic acid transmembrane transporter activity;sulfate transmembrane transporter activity"
"545";"Q9UJS0-1,Q9UJS0-2";"Q9UJS0";"CMC2_HUMAN";"Calcium-binding mitochondrial carrier protein Aralar2";"SLC25A13";"3";"5";"2.6262456464058E-4";"3";"5";"0";"7";"response to calcium ion;malate-aspartate shuttle;gluconeogenesis;ATP biosynthetic process";"mitochondrial inner membrane;integral to plasma membrane";"calcium ion binding;L-glutamate transmembrane transporter activity;L-aspartate transmembrane transporter activity"
"564";"O43826-1,O43826-2";"O43826";"G6PT1_HUMAN";"Glucose-6-phosphate translocase";"SLC37A4";"2";"3";"1.1443028367879E-4";"2";"3";"0";"0";"glucose homeostasis;glucose transport;glucose metabolic process;small molecule metabolic process";"integral to membrane;endoplasmic reticulum membrane;integral to endoplasmic reticulum membrane";"glucose-6-phosphate transmembrane transporter activity"
"592";"P11166";"P11166";"GTR1_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 1";"SLC2A1";"2";"4";"2.66073667740926E-4";"2";"4";"3.52899352283863E-4";"0";"protein complex assembly;regulation of insulin secretion;L-ascorbic acid metabolic process;response to osmotic stress;cellular response to glucose starvation;energy reserve metabolic process";"cell-cell junction;plasma membrane;midbody;female pronucleus;cortical actin cytoskeleton;basolateral plasma membrane;integral to membrane;caveola;melanosome";"xenobiotic transporter activity;glucose transmembrane transporter activity;dehydroascorbic acid transporter activity;protein self-association;D-glucose transmembrane transporter activity"
"593";"P11169";"P11169";"GTR3_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A3";"4";"6";"3.95891868533877E-4";"4";"6";"5.25080084648167E-4";"0";"L-ascorbic acid metabolic process";"integral to membrane;plasma membrane";"glucose transmembrane transporter activity"
"619";"P43007-1";"P43007";"SATT_HUMAN";"Neutral amino acid transporter A";"SLC1A4";"6";"11";"6.7668735423585E-4";"6";"11";"0";"0";"cognition;synaptic transmission";"integral to plasma membrane;intermediate filament;melanosome;dendrite;neuronal cell body";"L-threonine transmembrane transporter activity;L-hydroxyproline transmembrane transporter activity;chloride channel activity;L-glutamine transmembrane transporter activity;L-serine transmembrane transporter activity;sodium:dicarboxylate symporter activity;L-cystine transmembrane transporter activity;L-alanine transmembrane transporter activity;L-proline transmembrane transporter activity"
"689";"Q6NUK1-1";"Q6NUK1";"SCMC1_HUMAN";"Calcium-binding mitochondrial carrier protein SCaMC-1";"SLC25A24";"9";"12";"8.23322292632298E-4";"9";"12";"0";"0";"transmembrane transport";"integral to membrane;mitochondrial inner membrane";"calcium ion binding"
"718";"Q92581-2";"Q92581";"SL9A6_HUMAN";"Sodium/hydrogen exchanger 6";"SLC9A6";"2";"2";"9.78387477791744E-5";"2";"2";"0";"0";"regulation of pH";"early endosome membrane;recycling endosome membrane;integral to membrane;endoplasmic reticulum membrane;plasma membrane";"sodium:hydrogen antiporter activity"
"742";"Q9H2D1";"Q9H2D1";"MFTC_HUMAN";"Mitochondrial folate transporter/carrier";"SLC25A32";"2";"2";"2.07790864331009E-4";"2";"2";"2.75597589402636E-4";"0";"mitochondrial transport;folic acid metabolic process";"integral to membrane;mitochondrial inner membrane";"folic acid transporter activity"
"743";"Q9H2H9";"Q9H2H9";"S38A1_HUMAN";"Sodium-coupled neutral amino acid transporter 1";"SLC38A1";"2";"4";"2.68805430243399E-4";"2";"4";"3.56522548919221E-4";"0";"neurotransmitter uptake";"plasma membrane;integral to membrane;axon";"neutral amino acid transmembrane transporter activity;L-glutamine transmembrane transporter activity;sodium:amino acid symporter activity"
"778";"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";"1";"2";"1.19224266419431E-4";"1";"2";"1.58129764411348E-4";"0";"transmembrane transport;cell death";"integral to plasma membrane;Golgi membrane;endoplasmic reticulum membrane";"acetyl-CoA transporter activity"
"790";"O75746";"O75746";"CMC1_HUMAN";"Calcium-binding mitochondrial carrier protein Aralar1";"SLC25A12";"1";"1";"1.0458500361793E-4";"1";"1";"1.38713388471459E-4";"7";"malate-aspartate shuttle;gluconeogenesis;response to calcium ion;small molecule metabolic process";"mitochondrial inner membrane;integral to membrane";"calcium ion binding;L-glutamate transmembrane transporter activity;L-aspartate transmembrane transporter activity"
"813";"P12235";"P12235";"ADT1_HUMAN";"ADP/ATP translocase 1";"SLC25A4";"1";"2";"0.00110737539065665";"1";"2";"0.00146873631432906";"34";"modulation by virus of host morphology or physiology;small molecule metabolic process;energy reserve metabolic process;mitochondrial genome maintenance;viral process;regulation of insulin secretion;negative regulation of necrotic cell death;apoptotic mitochondrial changes";"integral to plasma membrane;mitochondrial inner membrane";"adenine transmembrane transporter activity"
"814";"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";"1";"1";"6.78485823501504E-4";"1";"1";"8.9989065690109E-4";"59";"small molecule metabolic process;apoptotic process;energy reserve metabolic process;cellular protein metabolic process;active induction of host immune response by virus;viral infectious cycle;protein targeting to mitochondrion;regulation of insulin secretion";"integral to membrane;mitochondrial inner membrane presequence translocase complex";"ATP:ADP antiporter activity"
"864";"P78382-1,P78382-2";"P78382";"S35A1_HUMAN";"CMP-sialic acid transporter";"SLC35A1";"1";"2";"9.71129410449076E-5";"1";"2";"0";"0";"carbohydrate metabolic process;cellular protein modification process";"integral to plasma membrane;Golgi membrane";"CMP-N-acetylneuraminate transmembrane transporter activity;sugar:hydrogen symporter activity"
"915";"Q8WUM9";"Q8WUM9";"S20A1_HUMAN";"Sodium-dependent phosphate transporter 1";"SLC20A1";"1";"1";"4.81989118293577E-5";"1";"1";"6.3927275892364E-5";"0";"positive regulation of I-kappaB kinase/NF-kappaB cascade;phosphate-containing compound metabolic process";"integral to plasma membrane";"signal transducer activity;receptor activity;sodium:phosphate symporter activity;high affinity inorganic phosphate:sodium symporter activity;inorganic phosphate transmembrane transporter activity"
"916";"Q8WUX1-1";"Q8WUX1";"S38A5_HUMAN";"Sodium-coupled neutral amino acid transporter 5";"SLC38A5";"5";"8";"5.54695951392099E-4";"5";"8";"0";"0";"transmembrane transport;amino acid transport";"plasma membrane;integral to membrane";"glycine transmembrane transporter activity"
"919";"Q92536";"Q92536";"YLAT2_HUMAN";"Y+L amino acid transporter 2";"SLC7A6";"1";"1";"7.2625933164236E-5";"1";"1";"9.63253710533484E-5";"2";"leukocyte migration;blood coagulation;protein complex assembly;cellular amino acid metabolic process";"basolateral plasma membrane;integral to plasma membrane";"antiporter activity;amino acid transmembrane transporter activity"
"933";"Q96QD8-1";"Q96QD8";"S38A2_HUMAN";"Sodium-coupled neutral amino acid transporter 2";"SLC38A2";"2";"3";"1.94033959281426E-4";"2";"3";"0";"0";"sodium ion transport;neurotransmitter secretion;transmembrane transport;glutamate secretion";"plasma membrane;integral to membrane";"amino acid transmembrane transporter activity;symporter activity"
"966";"Q9NUM3-1,Q9NUM3-2";"Q9NUM3";"S39A9_HUMAN";"Zinc transporter ZIP9";"SLC39A9";"1";"1";"5.3301402495332E-5";"1";"1";"0";"0";"zinc ion transport";"integral to membrane";"metal ion transmembrane transporter activity"
"78";"O75027-1,O75027-2";"O75027";"ABCB7_HUMAN";"ATP-binding cassette sub-family B member 7, mitochondrial";"ABCB7";"11";"19";"4.13440266961797E-4";"11";"19";"0";"0";"cellular iron ion homeostasis";"integral to membrane;mitochondrial inner membrane";"heme transporter activity;ATPase activity;ATP binding"
"442";"P33897";"P33897";"ABCD1_HUMAN";"ATP-binding cassette sub-family D member 1";"ABCD1";"3";"3";"1.31786823350875E-4";"3";"3";"1.74791759721806E-4";"0";"alpha-linolenic acid metabolic process;peroxisomal membrane transport;very long-chain fatty acid catabolic process;peroxisome organization;linoleic acid metabolic process;long-chain fatty acid catabolic process;fatty acid beta-oxidation using acyl-CoA oxidase";"perinuclear region of cytoplasm;integral to peroxisomal membrane;mitochondrion;cytosol";"ATP binding;ATPase activity;peroxisomal fatty-acyl-CoA transporter activity;protein homodimerization activity"
"607";"P28288-1";"P28288";"ABCD3_HUMAN";"ATP-binding cassette sub-family D member 3";"ABCD3";"5";"9";"5.46278713889943E-4";"5";"9";"0";"2";"very long-chain fatty acid catabolic process;peroxisome organization;transmembrane transport;fatty acid beta-oxidation";"mitochondrial inner membrane;cytosol;peroxisomal matrix;peroxisomal membrane;integral to membrane";"ATP binding;ATPase activity;ATPase activity;protein homodimerization activity"
"832";"P33527-1,P33527-2,P33527-3,P33527-5,P33527-9";"P33527";"MRP1_HUMAN";"Multidrug resistance-associated protein 1";"ABCC1";"4";"9";"3.8477276314723E-5";"4";"9";"0";"0";"cobalamin metabolic process;arachidonic acid metabolic process;leukotriene metabolic process;response to drug";"Golgi apparatus;nucleus;integral to plasma membrane";"ATPase activity;ATP binding"
