"";"Protein.G";"Protein.Acs";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5574";"Spectra.Count.P5574";"DNSAF.P5574";"Unspecific.Spectra.Count";"Go.Bp";"Go.Cc";"Go.F"
"19";"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";"19";"40";"0.00172247690169125";"19";"40";"0.00228455896478501";"0";"positive regulation of bone resorption;proteolysis;transferrin transport;cellular iron ion homeostasis;osteoclast differentiation;modulation by virus of host morphology or physiology;transmembrane transport";"extracellular vesicular exosome;coated pit;extracellular region;integral to plasma membrane;perinuclear region of cytoplasm;external side of plasma membrane;endosome;cytoplasmic membrane-bounded vesicle;melanosome";"peptidase activity;transferrin receptor activity"
"20";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";"19";"67";"0.00414501530406988";"19";"67";"0.00549762488123122";"0";"mitochondrial ATP synthesis coupled proton transport;regulation of intracellular pH;ATP hydrolysis coupled proton transport;respiratory electron transport chain;angiogenesis;negative regulation of cell adhesion involved in substrate-bound cell migration;lipid metabolic process";"cell surface;mitochondrial proton-transporting ATP synthase;plasma membrane;mitochondrial nucleoid";"proton-transporting ATP synthase activity;proton-transporting ATPase activity;ATP binding;MHC class I protein binding"
"21";"P42704";"P42704";"LPPRC_HUMAN";"Leucine-rich PPR motif-containing protein, mitochondrial";"LRPPRC";"19";"31";"7.27789738232532E-4";"19";"31";"9.65283522423507E-4";"0";"negative regulation of mitochondrial RNA catabolic process;mRNA transport;regulation of mitochondrial translation;transcription;regulation of transcription;mitochondrion transport along microtubule";"microtubule;condensed nuclear chromosome;nuclear outer membrane;nucleoplasm;ribonucleoprotein complex;perinuclear region of cytoplasm;mitochondrial nucleoid;nuclear inner membrane";"single-stranded DNA binding;RNA binding;microtubule binding;beta-tubulin binding"
"22";"Q99623";"Q99623";"PHB2_HUMAN";"Prohibitin-2";"PHB2";"19";"46";"0.00524918492790363";"19";"46";"0.00696210931657886";"2";"regulation of branching involved in mammary gland duct morphogenesis;negative regulation of transcription;negative regulation of intracellular estrogen receptor signaling pathway;negative regulation of mammary gland epithelial cell proliferation;transcription;mammary gland alveolus development;mammary gland branching involved in thelarche";"mitochondrial inner membrane;nucleus";"estrogen receptor binding"
"24";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";"18";"46";"0.00274520332909737";"18";"46";"0.00364102349906066";"10";"response to oxidative stress;regulation of angiogenesis;complement activation;fibrinolysis";"cytoskeleton;plasma membrane;membrane;keratin filament";"receptor activity;structural molecule activity;carbohydrate binding"
"25";"Q9Y512";"Q9Y512";"SAM50_HUMAN";"Sorting and assembly machinery component 50 homolog";"SAMM50";"18";"37";"0.00258187902321738";"18";"37";"0.00342440288324917";"0";"cellular protein metabolic process;protein import into mitochondrial outer membrane";"integral to membrane;mitochondrial inner membrane;mitochondrial sorting and assembly machinery complex";""
"26";"Q9Y6D6";"Q9Y6D6";"BIG1_HUMAN";"Brefeldin A-inhibited guanine nucleotide-exchange protein 1";"ARFGEF1";"18";"32";"7.55194487995877E-4";"18";"32";"0.0010016310442324";"13";"negative regulation of Rho GTPase activity;positive regulation of wound healing;regulation of establishment of cell polarity;regulation of ARF protein signal transduction;positive regulation of protein glycosylation in Golgi;protein transport;negative regulation of actin filament polymerization;endomembrane system organization;exocytosis;Golgi organization";"Golgi membrane;trans-Golgi network;perinuclear region of cytoplasm;nucleolus;small nuclear ribonucleoprotein complex;cytosol;nuclear matrix";"ARF guanyl-nucleotide exchange factor activity;protein kinase A regulatory subunit binding"
"27";"P23786";"P23786";"CPT2_HUMAN";"Carnitine O-palmitoyltransferase 2, mitochondrial";"CPT2";"17";"31";"0.00154185242415828";"17";"31";"0.00204499275115254";"0";"fatty acid beta-oxidation;carnitine shuttle";"nucleolus;mitochondrial inner membrane";"carnitine O-palmitoyltransferase activity"
"31";"O95573";"O95573";"ACSL3_HUMAN";"Long-chain-fatty-acid--CoA ligase 3";"ACSL3";"16";"30";"0.00144885426887051";"16";"30";"0.00192164725423322";"3";"long-chain fatty acid import;very-low-density lipoprotein particle assembly;brain development;positive regulation of Golgi to plasma membrane protein transport;fatty acid biosynthetic process;positive regulation of secretion;positive regulation of phosphatidylcholine biosynthetic process;response to nutrient;response to organic cyclic compound";"mitochondrial outer membrane;peroxisomal membrane;Golgi apparatus;integral to membrane;endoplasmic reticulum;endoplasmic reticulum membrane;perinuclear region of cytoplasm;lipid particle";"ATP binding;long-chain fatty acid-CoA ligase activity"
"32";"P27487";"P27487";"DPP4_HUMAN";"Dipeptidyl peptidase 4";"DPP4";"16";"30";"0.0012817386866371";"16";"30";"0.00169999818528388";"0";"negative regulation of extracellular matrix disassembly;T cell activation;proteolysis;T cell costimulation;regulation of cell-cell adhesion mediated by integrin;cell adhesion;positive regulation of cell proliferation;endothelial cell migration;response to hypoxia";"extracellular vesicular exosome;membrane raft;invadopodium membrane;apical plasma membrane;cell surface;intercellular canaliculus;endocytic vesicle;lamellipodium;lamellipodium membrane;integral to membrane";"serine-type peptidase activity;dipeptidyl-peptidase activity;serine-type endopeptidase activity;aminopeptidase activity"
"35";"Q14974";"Q14974";"IMB1_HUMAN";"Importin subunit beta-1";"KPNB1";"16";"36";"0.00134494771775893";"16";"36";"0.00178383371222939";"0";"cytokine-mediated signaling pathway;viral infectious cycle;NLS-bearing substrate import into nucleus;ribosomal protein import into nucleus;modulation by virus of host morphology or physiology;apoptotic DNA fragmentation;protein import into nucleus;intracellular transport of viral material;small molecule metabolic process";"nucleoplasm;cytosol;nuclear membrane;nuclear pore";"nuclear localization sequence binding;protein transporter activity;zinc ion binding"
"37";"Q9NX63";"Q9NX63";"CHCH3_HUMAN";"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial";"CHCHD3";"16";"31";"0.00446933433963061";"16";"31";"0.00592777634475053";"0";"mitochondrial fusion;inner mitochondrial membrane organization";"mitochondrial inner membrane;nucleus";"RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription;phosphatase binding;protein complex scaffold"
"38";"O75694-1,O75694-2";"O75694";"NU155_HUMAN";"Nuclear pore complex protein Nup155";"NUP155";"15";"27";"3.17624245351407E-4";"15";"27";"0";"0";"glucose transport;cytokine-mediated signaling pathway;regulation of atrial cardiac muscle cell action potential;mitotic nuclear envelope disassembly;mRNA export from nucleus;regulation of glucose transport;small molecule metabolic process;transmembrane transport;carbohydrate metabolic process;protein import into nucleus;viral process";"nuclear pore;nuclear membrane;nuclear envelope";"transporter activity;structural constituent of nuclear pore"
"39";"P15144";"P15144";"AMPN_HUMAN";"Aminopeptidase N";"ANPEP";"15";"28";"9.47629484694672E-4";"15";"28";"0.00125686180896135";"0";"angiogenesis;cellular protein metabolic process;modulation by virus of host morphology or physiology;response to virus;proteolysis;cell differentiation;angiotensin maturation";"external side of plasma membrane;cytosol;endoplasmic reticulum-Golgi intermediate compartment;integral to plasma membrane";"zinc ion binding;aminopeptidase activity;receptor activity;metallopeptidase activity;virus receptor activity"
"40";"P18031";"P18031";"PTN1_HUMAN";"Tyrosine-protein phosphatase non-receptor type 1";"PTPN1";"15";"31";"0.00233227332206011";"15";"31";"0.00309334535691579";"0";"endoplasmic reticulum unfolded protein response;actin cytoskeleton reorganization;type I interferon-mediated signaling pathway;insulin receptor signaling pathway;regulation of hepatocyte growth factor receptor signaling pathway;regulation of type I interferon-mediated signaling pathway;negative regulation of insulin receptor signaling pathway;JAK-STAT cascade involved in growth hormone signaling pathway;platelet-derived growth factor receptor-beta signaling pathway;platelet activation;regulation of endocytosis;interferon-gamma-mediated signaling pathway;regulation of interferon-gamma-mediated signaling pathway";"endoplasmic reticulum;endoplasmic reticulum membrane;cytoplasmic vesicle;early endosome;cytosol";"protein tyrosine phosphatase activity;zinc ion binding"
"42";"P46977";"P46977";"STT3A_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A";"STT3A";"15";"31";"0.00156311935414667";"15";"31";"0.00207319954772016";"5";"protein N-linked glycosylation via asparagine;co-translational protein modification;post-translational protein modification";"oligosaccharyltransferase complex;integral to membrane";"dolichyl-diphosphooligosaccharide-protein glycotransferase activity"
"43";"P61106";"P61106";"RAB14_HUMAN";"Ras-related protein Rab-14";"RAB14";"15";"37";"0.0059885608477287";"15";"37";"0.00794275984624576";"10";"Golgi to endosome transport;small GTPase mediated signal transduction;fibroblast growth factor receptor signaling pathway;embryo development;regulation of protein localization;protein transport;endocytic recycling;neurotransmitter secretion";"recycling endosome;cytoplasmic vesicle membrane;cytosol;rough endoplasmic reticulum;Golgi membrane;phagocytic vesicle;early endosome;lysosome;early endosome membrane;plasma membrane;perinuclear region of cytoplasm;late endosome;trans-Golgi network transport vesicle;phagocytic vesicle membrane;nuclear outer membrane-endoplasmic reticulum membrane network;Golgi stack";"GTPase activity;GTP binding;GDP binding"
"44";"Q00325-1,Q00325-2";"Q00325";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";"15";"40";"0.00180812492442728";"15";"40";"0";"0";"generation of precursor metabolites and energy";"integral to plasma membrane;mitochondrial inner membrane";"phosphate ion carrier activity;symporter activity"
"45";"Q10471";"Q10471";"GALT2_HUMAN";"Polypeptide N-acetylgalactosaminyltransferase 2";"GALNT2";"16";"26";"0.00149019893071012";"16";"26";"0.00197648358774745";"0";"protein O-linked glycosylation via serine;O-glycan processing;immunoglobulin biosynthetic process;protein O-linked glycosylation via threonine;post-translational protein modification";"extracellular region;perinuclear region of cytoplasm;Golgi cisterna membrane;integral to Golgi membrane;Golgi stack";"manganese ion binding;polypeptide N-acetylgalactosaminyltransferase activity"
"46";"Q9HD20-1,Q9HD20-2";"Q9HD20";"AT131_HUMAN";"Probable cation-transporting ATPase 13A1";"ATP13A1";"19";"33";"4.48502083621436E-4";"19";"33";"0";"0";"ATP catabolic process";"integral to membrane";"cation-transporting ATPase activity;metal ion binding;ATP binding"
"47";"Q9UGP8";"Q9UGP8";"SEC63_HUMAN";"Translocation protein SEC63 homolog";"SEC63";"15";"32";"0.001377981521353";"15";"32";"0.00182764717182801";"0";"nitrogen compound metabolic process;SRP-dependent cotranslational protein targeting to membrane;posttranslational protein targeting to membrane;renal system development;posttranslational protein targeting to membrane;multicellular organismal aging;liver development";"integral to membrane;membrane;endoplasmic reticulum membrane;endoplasmic reticulum";"protein transporter activity;receptor activity"
"48";"P07099";"P07099";"HYEP_HUMAN";"Epoxide hydrolase 1";"EPHX1";"14";"27";"0.00194204538586289";"14";"27";"0.00257577747018617";"0";"response to organic cyclic compound;aromatic compound catabolic process;response to toxic substance";"endoplasmic reticulum membrane;integral to membrane";"epoxide hydrolase activity;cis-stilbene-oxide hydrolase activity"
"49";"P09543-1,P09543-2";"P09543";"CN37_HUMAN";"2',3'-cyclic-nucleotide 3'-phosphodiesterase";"CNP";"14";"25";"9.71706090621551E-4";"14";"25";"0";"0";"forebrain development;RNA metabolic process;regulation of mitochondrial membrane permeability;response to toxic substance;response to lipopolysaccharide;aging;cyclic nucleotide catabolic process;microtubule cytoskeleton organization;axonogenesis;synaptic transmission;adult locomotory behavior";"microvillus;melanosome;mitochondrial inner membrane;extracellular space;myelin sheath abaxonal region;pseudopodium;microtubule;cytoplasm;perinuclear region of cytoplasm;myelin sheath adaxonal region;plasma membrane;mitochondrial outer membrane";"RNA binding;2';cyclic nucleotide binding"
"50";"P20700";"P20700";"LMNB1_HUMAN";"Lamin-B1";"LMNB1";"16";"31";"0.00173129504282619";"16";"31";"0.00229625465914397";"0";"cellular component disassembly involved in execution phase of apoptosis";"lamin filament;nucleoplasm;nuclear envelope;nuclear inner membrane";"structural molecule activity"
"51";"P21796";"P21796";"VDAC1_HUMAN";"Voltage-dependent anion-selective channel protein 1";"VDAC1";"14";"48";"0.00621966030456152";"14";"48";"0.00824927213407149";"10";"behavioral fear response;apoptotic process;learning;neuron-neuron synaptic transmission;modulation by virus of host morphology or physiology";"pore complex;mitochondrial nucleoid;mitochondrial outer membrane;mitochondrial inner membrane;plasma membrane";"voltage-gated anion channel activity;porin activity"
"52";"P39656";"P39656";"OST48_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit";"DDOST";"14";"28";"0.00200955638530646";"14";"28";"0.00266531879224917";"0";"translation;T cell activation;protein N-linked glycosylation via asparagine;post-translational protein modification;innate immune response;SRP-dependent cotranslational protein targeting to membrane;response to cytokine stimulus";"integral to membrane;oligosaccharyltransferase complex";"dolichyl-diphosphooligosaccharide-protein glycotransferase activity"
"53";"Q9H2M9-1";"Q9H2M9";"RBGPR_HUMAN";"Rab3 GTPase-activating protein non-catalytic subunit";"RAB3GAP2";"14";"23";"5.40360664780386E-4";"14";"23";"0";"0";"intracellular protein transport";"cytoplasm;plasma membrane";"protein heterodimerization activity;GTPase activator activity"
"54";"Q9UHG3";"Q9UHG3";"PCYOX_HUMAN";"Prenylcysteine oxidase 1";"PCYOX1";"14";"27";"0.00174976366449032";"14";"27";"0.00232074999789051";"0";"prenylated protein catabolic process;prenylcysteine catabolic process;prenylcysteine metabolic process";"lysosome;plasma membrane;very-low-density lipoprotein particle";"prenylcysteine oxidase activity;chloride-transporting ATPase activity"
"56";"Q9UJZ1";"Q9UJZ1";"STML2_HUMAN";"Stomatin-like protein 2";"STOML2";"14";"33";"0.00303368825101241";"14";"33";"0.00402364739022528";"0";"stress-induced mitochondrial fusion;cellular calcium ion homeostasis;mitochondrial protein processing;mitochondrial ATP synthesis coupled proton transport;T cell receptor signaling pathway;protein oligomerization;CD4-positive;mitochondrial calcium ion transport;lipid localization;positive regulation of mitochondrial membrane potential;positive regulation of mitochondrial DNA replication;interleukin-2 production;positive regulation of cardiolipin metabolic process";"mitochondrial intermembrane space;cytoskeleton;membrane raft;extrinsic to plasma membrane;mitochondrial inner membrane";"cardiolipin binding;receptor binding"
"58";"P30519";"P30519";"HMOX2_HUMAN";"Heme oxygenase 2";"HMOX2";"13";"22";"0.00227846628135109";"13";"22";"0.00302197989645612";"0";"transmembrane transport;heme catabolic process;response to hypoxia;cellular iron ion homeostasis;small molecule metabolic process;heme oxidation;response to oxidative stress";"endoplasmic reticulum membrane;plasma membrane";"heme oxygenase (decyclizing) activity;metal ion binding"
"59";"P37268";"P37268";"FDFT_HUMAN";"Squalene synthase";"FDFT1";"13";"26";"0.00204053618569659";"13";"26";"0.00270640798226329";"0";"cholesterol biosynthetic process;isoprenoid biosynthetic process;farnesyl diphosphate metabolic process;cellular lipid metabolic process";"endoplasmic reticulum membrane;integral to membrane";"squalene synthase activity;oxidoreductase activity;farnesyl-diphosphate farnesyltransferase activity"
"60";"P48449";"P48449";"ERG7_HUMAN";"Lanosterol synthase";"LSS";"13";"22";"9.83600197960307E-4";"13";"22";"0.00130457055639362";"0";"cholesterol biosynthetic process";"lipid particle;endoplasmic reticulum membrane";"lanosterol synthase activity"
"62";"Q8TCJ2";"Q8TCJ2";"STT3B_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B";"STT3B";"13";"27";"0.00116199238093345";"13";"27";"0.00154117602869848";"5";"protein N-linked glycosylation via asparagine;response to unfolded protein;post-translational protein modification;co-translational protein modification;ER-associated protein catabolic process;glycoprotein catabolic process";"integral to membrane;oligosaccharyltransferase complex";"dolichyl-diphosphooligosaccharide-protein glycotransferase activity"
"63";"O60488-1,O60488-2";"O60488";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";"12";"18";"4.4015825889737E-4";"12";"18";"0";"3";"embryonic process involved in female pregnancy;dendritic spine development;triglyceride biosynthetic process;long-chain fatty-acyl-CoA biosynthetic process;response to nutrient;fatty acid transport;lipid biosynthetic process;response to interleukin-15;negative regulation of prostaglandin secretion;positive regulation of cell growth";"mitochondrial outer membrane;lipid particle;integral to membrane;peroxisomal membrane;neuronal cell body;endoplasmic reticulum membrane";"long-chain fatty acid-CoA ligase activity;arachidonate-CoA ligase activity;very long-chain fatty acid-CoA ligase activity;ATP binding"
"65";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";"13";"21";"8.74085944230172E-4";"13";"21";"0.00115931939518196";"1";"negative regulation of apoptotic process;innate immune response;regulation of phosphoprotein phosphatase activity;toll-like receptor signaling pathway;actin rod assembly;protein folding;cellular response to ATP;response to hypoxia;ER-associated protein catabolic process;activation of signaling protein activity involved in unfolded protein response;sequestering of calcium ion;protein transport";"cytosol;perinuclear region of cytoplasm;plasma membrane;extracellular region;endocytic vesicle lumen;endoplasmic reticulum lumen;endoplasmic reticulum membrane;melanosome;midbody";"protein phosphatase binding;calcium ion binding;virion binding;low-density lipoprotein particle receptor binding;RNA binding;ATP binding"
"66";"P23396";"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";"12";"25";"0.00336698159795616";"12";"25";"0.0044657016801353";"0";"translational termination;negative regulation of DNA repair;translational initiation;activation of cysteine-type endopeptidase activity involved in apoptotic process;SRP-dependent cotranslational protein targeting to membrane;translational elongation;negative regulation of NF-kappaB transcription factor activity;nuclear-transcribed mRNA catabolic process;response to DNA damage stimulus;viral transcription;positive regulation of execution phase of apoptosis";"ruffle membrane;nucleus;cytosolic small ribosomal subunit";"iron-sulfur cluster binding;structural constituent of ribosome;DNA-(apurinic or apyrimidinic site) lyase activity;mRNA binding;endonuclease activity;damaged DNA binding"
"67";"P31689";"P31689";"DNJA1_HUMAN";"DnaJ homolog subfamily A member 1";"DNAJA1";"12";"21";"0.00173115436719096";"12";"21";"0.00229606807795773";"0";"androgen receptor signaling pathway;spermatogenesis;response to unfolded protein;response to heat;protein folding;sperm motility";"membrane";"low-density lipoprotein particle receptor binding;metal ion binding;ATP binding"
"68";"P33121-1,P33121-2";"P33121";"ACSL1_HUMAN";"Long-chain-fatty-acid--CoA ligase 1";"ACSL1";"12";"18";"4.39564753744634E-4";"12";"18";"0";"1";"response to organic cyclic compound;response to drug;triglyceride biosynthetic process;response to oleic acid;long-chain fatty-acyl-CoA biosynthetic process;xenobiotic catabolic process;adiponectin-mediated signaling pathway;long-chain fatty acid import;alpha-linolenic acid metabolic process;linoleic acid metabolic process;response to nutrient;positive regulation of protein serine/threonine kinase activity";"endoplasmic reticulum membrane;mitochondrial outer membrane;integral to membrane;peroxisomal membrane;plasma membrane";"ATP binding;long-chain fatty acid-CoA ligase activity"
"69";"P35232";"P35232";"PHB_HUMAN";"Prohibitin";"PHB";"12";"30";"0.00360960233075006";"12";"30";"0.00478749488943917";"0";"cellular response to interleukin-6;negative regulation of transcription by competitive promoter binding;positive regulation of transcription;negative regulation of cell growth;DNA biosynthetic process;histone deacetylation;progesterone receptor signaling pathway;negative regulation of androgen receptor signaling pathway;regulation of apoptotic process;negative regulation of glucocorticoid receptor signaling pathway;DNA replication;negative regulation of cell proliferation;negative regulation of transcription from RNA polymerase II promoter";"integral to plasma membrane;mitochondrial inner membrane;nucleoplasm";"sequence-specific DNA binding RNA polymerase II transcription factor activity;transcription regulatory region DNA binding"
"70";"P42345";"P42345";"MTOR_HUMAN";"Serine/threonine-protein kinase mTOR";"MTOR";"12";"20";"2.78637449435962E-4";"12";"20";"3.69562972025187E-4";"4";"positive regulation of stress fiber assembly;response to nutrient;cellular response to hypoxia;positive regulation of protein phosphorylation;cell growth;germ cell development;regulation of actin cytoskeleton organization;peptidyl-serine phosphorylation;positive regulation of lamellipodium assembly;positive regulation of lipid biosynthetic process;positive regulation of protein kinase B signaling cascade;T cell costimulation;positive regulation of endothelial cell proliferation;negative regulation of cell size;regulation of Rac GTPase activity;protein autophosphorylation;negative regulation of NFAT protein import into nucleus;regulation of protein kinase activity;positive regulation of translation;positive regulation of myotube differentiation;phosphatidylinositol-mediated signaling;regulation of fatty acid beta-oxidation;neurotrophin TRK receptor signaling pathway;negative regulation of macroautophagy;regulation of carbohydrate utilization;cellular response to nutrient levels;regulation of response to food;regulation of glycogen biosynthetic process;epidermal growth factor receptor signaling pathway;protein catabolic process;negative regulation of autophagy;positive regulation of transcription from RNA polymerase III promoter;ruffle organization;positive regulation of actin filament polymerization;positive regulation of peptidyl-tyrosine phosphorylation;TOR signaling cascade;Fc-epsilon receptor signaling pathway;fibroblast growth factor receptor signaling pathway;insulin receptor signaling pathway;peptidyl-threonine phosphorylation;innate immune response;response to amino acid stimulus";"PML body;endoplasmic reticulum membrane;lysosome;mTOR-FKBP12-rapamycin complex;Golgi membrane;phosphatidylinositol 3-kinase complex;membrane;TORC2 complex;TORC1 complex;mitochondrial outer membrane;endomembrane system";"RNA polymerase III type 1 promoter DNA binding;ribosome binding;RNA polymerase III type 2 promoter DNA binding;RNA polymerase III type 3 promoter DNA binding;ATP binding;drug binding;TFIIIC-class transcription factor binding;protein serine/threonine kinase activity"
"71";"P48735";"P48735";"IDHP_HUMAN";"Isocitrate dehydrogenase [NADP], mitochondrial";"IDH2";"12";"25";"0.00181012506261802";"12";"25";"0.00240080864662141";"0";"glyoxylate cycle;carbohydrate metabolic process;2-oxoglutarate metabolic process;isocitrate metabolic process;tricarboxylic acid cycle";"mitochondrial matrix;mitochondrial inner membrane";"magnesium ion binding;isocitrate dehydrogenase (NADP+) activity;NAD binding"
"72";"P50416-1,P50416-2";"P50416";"CPT1A_HUMAN";"Carnitine O-palmitoyltransferase 1, liver isoform";"CPT1A";"12";"22";"4.65714970832435E-4";"12";"22";"0";"0";"long-chain fatty acid metabolic process;response to organic cyclic compound;positive regulation of fatty acid beta-oxidation;eating behavior;carnitine shuttle;response to drug;regulation of insulin secretion;fatty acid beta-oxidation;carnitine metabolic process;triglyceride metabolic process;glucose metabolic process;protein homooligomerization";"integral to mitochondrial outer membrane;mitochondrial inner membrane";"carnitine O-palmitoyltransferase activity"
