"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834-1.id.csv";"peptide.count.P5834-2.id.csv";"peptide.count.P5835-1.id.csv";"peptide.count.P5835-2.id.csv";"spectra.count.P5834-1.id.csv";"spectra.count.P5834-2.id.csv";"spectra.count.P5835-1.id.csv";"spectra.count.P5835-2.id.csv";"dNSAF.P5834-1.id.csv";"dNSAF.P5834-2.id.csv";"dNSAF.P5835-1.id.csv";"dNSAF.P5835-2.id.csv"
"Q9UI26-1,Q9UI26-2";"Q9UI26-1,Q9UI26-2";"Q9UI26-[1,2]";"IPO11_HUMAN";"Importin-11";"IPO11";23;79;0,000389163651503102;20;19;12;15;22;24;15;18;NA;NA;NA;NA
"O60488-1,O60488-2";"O60488-1,O60488-2";"O60488-[1,2]";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";22;88;0,000636670512321478;22;20;13;13;26;25;18;19;NA;NA;NA;NA
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";22;64;0,000716526861225505;16;16;13;10;20;19;14;11;0,00118723630961168;0,00111783563928628;0,000897638150951919;0,000694762275365714
"Q14139-1,Q14139-2";"Q14139-1,Q14139-2";"Q14139-[1,2]";"UBE4A_HUMAN";"Ubiquitin conjugation factor E4 A";"UBE4A";22;71;0,000319897567807042;20;16;13;15;21;17;16;17;NA;NA;NA;NA
"Q8TEQ6";"Q8TEQ6";"Q8TEQ6";"GEMI5_HUMAN";"Gem-associated protein 5";"GEMIN5";22;51;0,000324869263858439;8;14;14;12;10;14;14;13;0,000337748260492978;0,000468638897777007;0,000510725154851954;0,000467167736883842
"Q9Y4R8";"Q9Y4R8";"Q9Y4R8";"TELO2_HUMAN";"Telomere length regulation protein TEL2 homolog";"TELO2";22;68;0,000780410752526524;17;17;15;14;17;19;17;15;0,00103447006045376;0,00114588169475224;0,00111733658216289;0,000971173073091858
"Q9Y6D5";"Q9Y6D5";"Q9Y6D5";"BIG2_HUMAN";"Brefeldin A-inhibited guanine nucleotide-exchange protein 2";"ARFGEF2";22;56;0,000380180722838474;14;11;14;15;14;11;16;15;0,000516961305195618;0,000398176911024249;0,000606112291283021;0,000564288103082931
"O00116";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";21;76;0,00110950046463699;16;16;14;15;20;20;18;18;0,0015480984097976;0,00153431927452828;0,00150489835033667;0,0014824410860387
"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";21;71;0,00091179360235911;20;19;10;11;24;21;13;13;0,00163419586146549;0,00141719409996202;0,00095609777842988;0,000941830143343361
"O15270";"O15270";"O15270";"SPTC2_HUMAN";"Serine palmitoyltransferase 2";"SPTLC2";21;58;0,000991360173543873;18;17;10;12;18;18;10;12;0,00163128803964793;0,00161676845974315;0,000978868242903847;0,00115711297107172
"O43264";"O43264";"O43264";"ZW10_HUMAN";"Centromere/kinetochore protein zw10 homolog";"ZW10";21;63;0,000776860216557354;15;14;13;16;17;14;16;16;0,0011114909378688;0,000907198277083089;0,00112990798975499;0,0011130466234357
"O95573";"O95573";"O95573";"ACSL3_HUMAN";"Long-chain-fatty-acid--CoA ligase 3";"ACSL3";21;81;0,00115740187737078;18;17;13;14;22;22;17;20;0,00165353573725656;0,0016408692241483;0,0014102383862013;0,00162111197585333
"P22695";"P22695";"P22695";"QCR2_HUMAN";"Cytochrome b-c1 complex subunit 2, mitochondrial";"UQCRC2";21;137;0,00290510714782054;20;21;19;19;34;38;30;35;0,00382274366710727;0,00423445023623677;0,00364320498352293;0,00418697795087947
"P46977";"P46977";"P46977";"STT3A_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A";"STT3A";21;96;0,00139065587323807;20;20;18;19;24;24;23;25;0,00183790243211171;0,00179156259119387;0,00194429151065102;0,00204979508193005
"Q7Z3U7-1,Q7Z3U7-2,Q7Z3U7-4";"Q7Z3U7-1,Q7Z3U7-2,Q7Z3U7-4";"Q7Z3U7-[1,2,4]";"MON2_HUMAN";"Protein MON2 homolog";"MON2";21;66;0,000172926660507429;16;16;10;11;19;21;13;13;NA;NA;NA;NA
"P09543-1,P09543-2";"P09543-1,P09543-2";"P09543-[1,2]";"CN37_HUMAN";"2',3'-cyclic-nucleotide 3'-phosphodiesterase";"CNP";20;57;0,00065028322957049;12;16;11;10;13;18;13;13;NA;NA;NA;NA
"P15144";"P15144";"P15144";"AMPN_HUMAN";"Aminopeptidase N";"ANPEP";20;65;0,000645693883314155;14;16;12;14;16;20;13;16;0,000842729061962209;0,00104403524574934;0,000739566844121562;0,000896652864174158
"P27487";"P27487";"P27487";"DPP4_HUMAN";"Dipeptidyl peptidase 4";"DPP4";20;73;0,00091544842171178;18;19;16;12;20;19;18;16;0,00132982866011334;0,00125209266123711;0,00129271947065474;0,00113193644863761
"P37268";"P37268";"P37268";"FDFT_HUMAN";"Squalene synthase";"FDFT1";20;93;0,0021423315484348;18;18;17;16;24;23;25;21;0,00293136331984697;0,00278421917274712;0,00329810523088706;0,00272906620395453
"P51149";"P51149";"P51149";"RAB7A_HUMAN";"Ras-related protein Rab-7a";"RAB7A";20;179;0,00830658426937919;20;19;17;15;44;52;38;45;0,0108262186377923;0,0126807411346038;0,0100988938142293;0,0117807516257664
"O75027-1,O75027-2";"O75027-1,O75027-2";"O75027-[1,2]";"ABCB7_HUMAN";"ATP-binding cassette sub-family B member 7, mitochondrial";"ABCB7";19;74;0,000472632599245032;14;14;17;15;15;17;22;20;NA;NA;NA;NA
"P20700";"P20700";"P20700";"LMNB1_HUMAN";"Lamin-B1";"LMNB1";19;51;0,000888262419824545;11;8;14;16;11;9;14;17;0,00102436033856488;0,000845756010898835;0,00138346242772902;0,00165071248462745
"P31930";"P31930";"P31930";"QCR1_HUMAN";"Cytochrome b-c1 complex subunit 1, mitochondrial";"UQCRC1";19;88;0,00176108867610581;18;18;15;13;28;26;18;16;0,00297105886480323;0,00273428480714894;0,00206296482191986;0,00180638191595086
"P38646";"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";19;47;0,000664917668579246;11;10;12;11;12;11;13;11;0,000900131446521491;0,000817776355599094;0,00105325646283586;0,000877917573289812
"P49411";"P49411";"P49411";"EFTU_HUMAN";"Elongation factor Tu, mitochondrial";"TUFM";19;65;0,00138138492293095;15;15;15;12;19;16;16;14;0,00214096530080637;0,00178687094272497;0,0019473414248211;0,0016784964705738
"P52272-1,P52272-2";"P52272-1,P52272-2";"P52272-[1,2]";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";19;63;0,000414502814176835;11;11;16;13;13;14;21;15;NA;NA;NA;NA
"P52292";"P52292";"P52292";"IMA2_HUMAN";"Importin subunit alpha-2";"KPNA2";20;90;0,00163428060680037;17;17;14;14;24;24;21;21;0,00231073441280942;0,00229016729521272;0,00218385690033104;0,00215126768818344
"Q969V3-1,Q969V3-2";"Q969V3-1,Q969V3-2";"Q969V3-[1,2]";"NCLN_HUMAN";"Nicalin";"NCLN";19;69;0,000588640975220253;16;14;16;16;17;15;18;19;NA;NA;NA;NA
"Q9BPX3";"Q9BPX3";"Q9BPX3";"CND3_HUMAN";"Condensin complex subunit 3";"NCAPG";19;62;0,000586766670408743;16;14;12;11;19;16;14;13;0,000953415089620177;0,000795729720307081;0,000758791658637189;0,000694077780513137
"Q9Y512";"Q9Y512";"Q9Y512";"SAM50_HUMAN";"Sorting and assembly machinery component 50 homolog";"SAMM50";19;90;0,00184335701705202;18;19;14;12;28;27;19;16;0,00304074254819946;0,00290604650653192;0,00222864714237255;0,00184874908242305
"O75306";"O75306";"O75306";"NDUS2_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial";"NDUFS2";18;71;0,00147304884355208;15;13;16;13;19;16;20;16;0,00209010003448052;0,00174441828533842;0,0023763453672223;0,00187270695390154
"P33121-1,P33121-2";"P33121-1,P33121-2";"P33121-[1,2]";"ACSL1_HUMAN";"Long-chain-fatty-acid--CoA ligase 1";"ACSL1";18;58;0,000425414909951279;16;15;13;12;16;16;13;13;NA;NA;NA;NA
"P54577";"P54577";"P54577";"SYYC_HUMAN";"Tyrosine--tRNA ligase, cytoplasmic";"YARS";18;60;0,00109158389014823;17;15;11;10;19;18;12;11;0,00183279605296303;0,00172087854995388;0,00125028171025446;0,00112898869746928
"Q13576-1";"Q13576-1";"Q13576-1";"IQGA2_HUMAN";"Ras GTPase-activating-like protein IQGAP2";"IQGAP2";45;153;0,000956476992659026;34;33;34;33;41;38;39;35;NA;NA;NA;NA
"Q14739";"Q14739";"Q14739";"LBR_HUMAN";"Lamin-B receptor";"LBR";18;106;0,00165565764671588;18;16;17;17;28;26;24;28;0,00231887521155374;0,00213407594704308;0,00214682518053449;0,0024672533486158
"Q16795";"Q16795";"Q16795";"NDUA9_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial";"NDUFA9";18;65;0,00165619624712145;14;13;15;15;16;13;17;19;0,00216158886715506;0,00174065876317174;0,00248066503785235;0,00273113446178246
"Q99623";"Q99623";"Q99623";"PHB2_HUMAN";"Prohibitin-2";"PHB2";18;90;0,00289141953510836;17;15;13;16;23;22;20;25;0,00391787982171854;0,00371418157492833;0,00367975887967868;0,00453105831760248
"Q9UGP8";"Q9UGP8";"Q9UGP8";"SEC63_HUMAN";"Translocation protein SEC63 homolog";"SEC63";18;79;0,000998512000567171;16;17;15;15;20;23;19;17;0,00134032730743003;0,00152765709873099;0,00137530988127991;0,00121217733833544
"Q9UI12-1,Q9UI12-2";"Q9UI12-1,Q9UI12-2";"Q9UI12-[1,2]";"VATH_HUMAN";"V-type proton ATPase subunit H";"ATP6V1H";18;67;0,000666250374359624;15;17;11;9;19;21;14;13;NA;NA;NA;NA
"Q9Y4W6";"Q9Y4W6";"Q9Y4W6";"AFG32_HUMAN";"AFG3-like protein 2";"AFG3L2";19;58;0,000699051966790033;15;11;15;14;17;11;15;15;0,00108638825671242;0,000696700307969617;0,00103536502982176;0,00101991450712407
"O43156";"O43156";"O43156";"TTI1_HUMAN";"TELO2-interacting protein 1 homolog";"TTI1";17;52;0,000458685755860266;13;8;11;14;13;9;13;17;0,000608008897952648;0,000417182678776698;0,000656713625588201;0,000845963982676709
"P07814";"P07814";"P07814";"SYEP_HUMAN";"Bifunctional glutamate/proline--tRNA ligase";"EPRS";17;55;0,000349422356370201;16;13;12;10;18;14;13;10;0,000606338543837393;0,000467399112333152;0,000472990170810549;0,000358409110307709
"P24557";"P24557";"P24557";"THAS_HUMAN";"Thromboxane-A synthase";"TBXAS1";17;56;0,00100925429843349;14;14;11;11;17;15;13;11;0,00162448675534671;0,0014206126866411;0,00134176573783405;0,0011183978091253
"P49821-1,P49821-2";"P49821-1,P49821-2";"P49821-[1,2]";"NDUV1_HUMAN";"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial";"NDUFV1";17;46;0,000476156421047418;15;12;9;7;17;13;9;7;NA;NA;NA;NA
"Q10471";"Q10471";"Q10471";"GALT2_HUMAN";"Polypeptide N-acetylgalactosaminyltransferase 2";"GALNT2";18;55;0,000925265504083614;13;15;11;11;15;17;11;12;0,00133797997414206;0,00150288050830765;0,00105978344617015;0,00113887476312138
"Q8TCJ2";"Q8TCJ2";"Q8TCJ2";"STT3B_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B";"STT3B";17;94;0,00116221202481193;17;16;15;16;26;23;25;20;0,00169939223066019;0,00146540493423167;0,00180377607512498;0,00139961794940502
"Q96QU8";"Q96QU8";"Q96QU8";"XPO6_HUMAN";"Exportin-6";"XPO6";17;57;0,000486700870487424;15;13;13;10;18;16;13;10;0,000814919002917457;0,000717925036543722;0,000635698789569378;0,000481701844253561
"Q9H993";"Q9H993";"Q9H993";"CF211_HUMAN";"UPF0364 protein C6orf211";"C6orf211";17;71;0,00154653427338915;15;17;11;13;19;22;14;16;0,00219436806341152;0,00251823195216229;0,00174642524606972;0,00196612997654515
"Q9NTJ5";"Q9NTJ5";"Q9NTJ5";"SAC1_HUMAN";"Phosphatidylinositide phosphatase SAC1";"SACM1L";17;48;0,00078549409744227;10;12;12;13;10;12;12;14;0,000867673555065435;0,00103194079997234;0,00112461455368715;0,00129247087683025
"Q9NX63";"Q9NX63";"Q9NX63";"CHCH3_HUMAN";"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial";"CHCHD3";17;88;0,00372388794947484;16;16;11;12;24;26;19;19;0,00538492733205368;0,00578174760983036;0,00460456171706047;0,00453584886384136
"A1L0T0";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";16;39;0,000592771504903279;9;11;8;6;11;12;9;7;0,000886482301433151;0,000958464002505958;0,000783404362754376;0,000600221839160886
"O14981";"O14981";"O14981";"BTAF1_HUMAN";"TATA-binding protein-associated factor 172";"BTAF1";16;46;0,000238979534197947;9;9;10;12;10;11;12;13;0,000275459370915852;0,000300308353408213;0,00035703014765514;0,000381010788112944
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";16;59;0,0016988919537319;11;13;12;12;13;15;15;16;0,00204148516917914;0,0021789541351934;0,00250655997547417;0,00259911067043289
"P26641";"P26641";"P26641";"EF1G_HUMAN";"Elongation factor 1-gamma";"EEF1G";16;56;0,00123096691319233;12;12;11;11;15;15;14;12;0,00174825300969134;0,00173269236150963;0,0017624108318461;0,00148809494220208
"P48449";"P48449";"P48449";"ERG7_HUMAN";"Lanosterol synthase";"LSS";16;47;0,000616774722630202;14;11;12;8;14;13;12;8;0,000974117660591222;0,000896486822016046;0,000901842545101577;0,000592256365885526
"P48735";"P48735";"P48735";"IDHP_HUMAN";"Isocitrate dehydrogenase [NADP], mitochondrial";"IDH2";18;58;0,00123262039276915;15;17;11;8;17;19;13;9;0,00191560053230044;0,0021219092444859;0,00158221490766715;0,00107903344536887
"Q5UIP0-1,Q5UIP0-2";"Q5UIP0-1,Q5UIP0-2";"Q5UIP0-[1,2]";"RIF1_HUMAN";"Telomere-associated protein RIF1";"RIF1";16;34;6,60602548406858e-05;2;4;11;13;2;4;12;16;NA;NA;NA;NA
"Q9H845";"Q9H845";"Q9H845";"ACAD9_HUMAN";"Acyl-CoA dehydrogenase family member 9, mitochondrial";"ACAD9";16;45;0,000696082480674234;13;10;11;10;13;11;11;10;0,00106621850220682;0,000894154823593857;0,000974454666285279;0,000872648268575292
"Q9UH99";"Q9UH99";"Q9UH99";"SUN2_HUMAN";"SUN domain-containing protein 2";"SUN2";16;66;0,000884228623986181;12;13;15;13;16;15;17;18;0,00113656764702574;0,00105604820359792;0,00130433852060019;0,0013604549994609
"Q9Y263";"Q9Y263";"Q9Y263";"PLAP_HUMAN";"Phospholipase A-2-activating protein";"PLAA";16;36;0,000434985882262842;11;9;5;6;14;11;5;6;0,000896923430883993;0,0006984530131469;0,000345989907240228;0,000408992131913401
"O95299";"O95299";"O95299";"NDUAA_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial";"NDUFA10";15;48;0,00129883108506651;11;10;11;11;11;12;13;12;0,00157818820987536;0,00170633591432047;0,00201453841764944;0,00183182391476706
"P00387-1,P00387-2,P00387-3";"P00387-1,P00387-2,P00387-3";"P00387-[1-3]";"NB5R3_HUMAN";"NADH-cytochrome b5 reductase 3";"CYB5R3";15;69;0,000734008569322265;12;11;12;11;18;17;17;17;NA;NA;NA;NA
"P07099";"P07099";"P07099";"HYEP_HUMAN";"Epoxide hydrolase 1";"EPHX1";15;65;0,00137227689047206;13;13;14;12;17;18;16;14;0,00190297019912043;0,00199697554807835;0,00193450181103108;0,00166742946087771
"P0CB43,Q9BTY7";"P0CB43,Q9BTY7";"P0CB43, Q9BTY7";"F203A_HUMAN, F203B_HUMAN";"Protein FAM203A, Protein FAM203B";"FAM203A, FAM203B";15;51;0,000628080576792982;13;11;10;10;14;12;12;13;0,000914171958400993;0,000776601602030469;0,000846344542326095;0,000903190957975428
"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";15;47;0,000770115046314015;10;10;13;10;10;11;15;11;0,000893128640005131;0,000927830118633815;0,00139560022046566;0,00102373624334742
"P12956";"P12956";"P12956";"XRCC6_HUMAN";"X-ray repair cross-complementing protein 6";"XRCC6";15;44;0,000694025094031847;9;8;10;10;11;9;12;12;0,000919961928580872;0,000745996612787889;0,00108398808376741;0,00106781197002021
"P39656";"P39656";"P39656";"OST48_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit";"DDOST";15;99;0,00208549974802004;14;13;13;13;24;24;25;26;0,00268065461486005;0,00265679495431476;0,0030160304414033;0,00308986380360015
"P49257";"P49257";"P49257";"LMAN1_HUMAN";"Protein ERGIC-53";"LMAN1";15;59;0,00118536022120776;13;14;13;11;15;16;15;13;0,00159788039787737;0,00168263680439935;0,00172587906670419;0,00148001879668242
"P56192";"P56192";"P56192";"SYMC_HUMAN";"Methionine--tRNA ligase, cytoplasmic";"MARS";15;50;0,000533663235183579;9;13;10;10;9;17;12;12;0,00050932437682341;0,000953494189159631;0,000733498603349283;0,000722552766380342
"Q00610-1,Q00610-2";"Q00610-1,Q00610-2";"Q00610-[1,2]";"CLH1_HUMAN";"Clathrin heavy chain 1";"CLTC";22;57;0,000163444322178613;15;12;15;11;15;12;17;13;NA;NA;NA;NA
"Q02878";"Q02878";"Q02878";"RL6_HUMAN";"60S ribosomal protein L6";"RPL6";15;45;0,00150092784895382;9;9;13;14;9;9;13;14;0,00159163867757316;0,00157747200412439;0,00248319839675538;0,00263430696076166
"Q04637-1,Q04637-3,Q04637-4,Q04637-5,Q04637-6";"Q04637-1,Q04637-3,Q04637-4,Q04637-5,Q04637-6";"Q04637-[1,3-6]";"IF4G1_HUMAN";"Eukaryotic translation initiation factor 4 gamma 1";"EIF4G1";17;55;6,60821266831449e-05;13;12;11;13;13;15;13;14;NA;NA;NA;NA
"Q14204";"Q14204";"Q14204";"DYHC1_HUMAN";"Cytoplasmic dynein 1 heavy chain 1";"DYNC1H1";15;29;5,99595800184736e-05;6;6;9;7;6;6;10;7;6,57758558101692e-05;6,51904056805602e-05;0,000118408082761938;8,16487736439259e-05
"Q15738";"Q15738";"Q15738";"NSDHL_HUMAN";"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating";"NSDHL";15;61;0,00157094432233665;14;12;11;9;19;16;14;12;0,00259441371572247;0,00216532350163991;0,00206480840084919;0,00174342490547536
"Q53H12-1";"Q53H12-1";"Q53H12-1";"AGK_HUMAN";"Acylglycerol kinase, mitochondrial";"AGK";15;57;0,00129748454810036;12;12;12;9;17;15;15;10;NA;NA;NA;NA
