"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"peptide.count.P5835.1.id.csv";"peptide.count.P5835.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"spectra.count.P5835.1.id.csv";"spectra.count.P5835.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"dNSAF.P5835.1.id.csv";"dNSAF.P5835.2.id.csv";"Go.Cc";"matched_mask"
"347";347;"P11166";"P11166";"P11166";"GTR1_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 1";"SLC2A1";6;15;0,000328362633621825;3;5;4;3;3;5;4;3;0,000349384099955083;0,00056429892830466;0,000496950273271872;0,000385508335721219;"caveola, integral component of membrane, basolateral plasma membrane, female pronucleus, plasma membrane, blood microparticle, extracellular vesicular exosome, midbody, melanosome, cell-cell junction, cortical actin cytoskeleton";FALSE
"348";348;"P11169";"P11169";"P11169";"GTR3_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A3";5;18;0,000390857457440173;5;5;5;3;5;5;5;3;0,000577610810409614;0,000559748130495751;0,00061617826222218;0,000382399397529919;"integral component of membrane, extracellular vesicular exosome, plasma membrane";FALSE
"362";362;"P12235";"P12235";"P12235";"ADT1_HUMAN";"ADP/ATP translocase 1";"SLC25A4";2;8;0,000559390124487731;2;2;2;2;2;2;2;2;0,000754994991030909;0,000780601579066056;0,000771683638568083;0,00074301554301619;"mitochondrial inner membrane, integral component of plasma membrane";FALSE
"363";363;"P12236";"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";2;43;0,00342074932750376;1;1;2;1;13;11;10;9;0,00556393342464139;0,00483867140752016;0,00443860644572935;0,00382493898947369;"integral component of membrane, mitochondrial inner membrane presequence translocase complex";FALSE
"388";388;"P14672";"P14672";"P14672";"GTR4_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 4";"SLC2A4";1;1;1,88721772756472e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,00010646651763954;"clathrin-coated vesicle, sarcolemma, vesicle membrane, multivesicular body, insulin-responsive compartment, perinuclear region of cytoplasm, extracellular vesicular exosome, coated pit, trans-Golgi network transport vesicle, external side of plasma membrane, integral component of plasma membrane";FALSE
"531";531;"P30825";"P30825";"P30825";"CTR1_HUMAN";"High affinity cationic amino acid transporter 1";"SLC7A1";2;5;0,000101811745980969;2;2;0;1;2;2;0;1;0,000202434172028382;0,000200632369363992;0;0,000129232410521126;"integral component of plasma membrane";FALSE
"537";537;"P31641";"P31641";"P31641";"SC6A6_HUMAN";"Sodium- and chloride-dependent taurine transporter";"SLC6A6";1;3;4,64803462901827e-05;1;1;1;NA;1;1;1;NA;8,21490930360339e-05;8,14179098902911e-05;8,87296697599939e-05;NA;"integral component of plasma membrane, integral component of membrane, plasma membrane";FALSE
"616";616;"P43007";"P43007-1";"P43007-1";"SATT_HUMAN";"Neutral amino acid transporter A";"SLC1A4";8;27;0,000487519421615074;8;7;6;4;9;7;7;4;NA;NA;NA;NA;"melanosome, neuronal cell body, intermediate filament, dendrite, integral component of plasma membrane, extracellular vesicular exosome";FALSE
"710";710;"P52569";"P52569-1,P52569-3";"P52569-1,P52569-3";"CTR2_HUMAN";"Low affinity cationic amino acid transporter 2";"SLC7A2";4;7;6,81272215127974e-05;2;2;2;1;2;2;2;1;NA;NA;NA;NA;"integral component of plasma membrane, cytoplasm";FALSE
"715";715;"P53007";"P53007";"P53007";"TXTP_HUMAN";"Tricarboxylate transport protein, mitochondrial";"SLC25A1";8;34;0,00105016688081142;8;8;8;8;9;8;9;8;0,00147392906476228;0,00129849785548503;0,00159199857640118;0,00139399247533185;"mitochondrial inner membrane, integral component of membrane, extracellular vesicular exosome";FALSE
"722";722;"P53985";"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";7;41;0,000787686935130963;5;7;5;5;8;13;9;11;0,000814919002917457;0,00131245670743149;0,000990223114521532;0,00119221206452756;"integral component of plasma membrane, centrosome, mitochondrion, extracellular vesicular exosome";FALSE
"729";729;"P55011";"P55011-1,P55011-3";"P55011-1,P55011-3";"S12A2_HUMAN";"Solute carrier family 12 member 2";"SLC12A2";2;2;7,92569161163732e-06;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;"integral component of plasma membrane, basolateral plasma membrane, extracellular vesicular exosome, apical plasma membrane";FALSE
"861";861;"P78381";"P78381-1,P78381-2";"P78381-1,P78381-2";"S35A2_HUMAN";"UDP-galactose translocator";"SLC35A2";1;1;1,21287098905359e-05;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"integral component of membrane, Golgi membrane, nucleus";FALSE
"862";862;"P78382";"P78382-1,P78382-2";"P78382-1,P78382-2";"S35A1_HUMAN";"CMP-sialic acid transporter";"SLC35A1";1;4;5,70085355092251e-05;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"Golgi membrane, integral component of plasma membrane";FALSE
"877";877;"Q00325";"Q00325-2";"Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";16;122;0,00323736039906945;14;15;12;12;32;31;26;33;NA;NA;NA;NA;"mitochondrial inner membrane, extracellular vesicular exosome, integral component of plasma membrane";FALSE
"885";885;"Q01650";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";6;32;0,000748948891145211;6;6;6;6;8;7;9;8;0,00100458456967142;0,000896078771573618;0,00115410619408104;0,00106886503902417;"plasma membrane, extracellular vesicular exosome, integral component of membrane, cytosol, apical plasma membrane";FALSE
"894";894;"Q02978";"Q02978";"Q02978";"M2OM_HUMAN";"Mitochondrial 2-oxoglutarate/malate carrier protein";"SLC25A11";13;47;0,0014378315189978;11;10;12;10;12;11;13;11;0,00194646258658628;0,00176837625940059;0,00227758324288392;0,00189842685434326;"integral component of plasma membrane, mitochondrial inner membrane";FALSE
"917";917;"Q08357";"Q08357";"Q08357";"S20A2_HUMAN";"Sodium-dependent phosphate transporter 2";"SLC20A2";5;14;0,000217721503924589;4;4;3;3;4;4;3;3;0,000312468942836448;0,000371625306493108;0,000253124518026976;0,000249347196987081;"integral component of plasma membrane, extracellular vesicular exosome";FALSE
"1016";1016;"Q15043";"Q15043-1,Q15043-2,Q15043-3";"Q15043-1,Q15043-2,Q15043-3";"S39AE_HUMAN";"Zinc transporter ZIP14";"SLC39A14";4;12;7,80970588073531e-05;2;4;2;2;3;5;2;2;NA;NA;NA;NA;"Golgi apparatus, endoplasmic reticulum, integral component of plasma membrane, lamellipodium";FALSE
"1043";1043;"Q15758";"Q15758-1";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";13;59;0,00104759770012008;13;12;11;10;16;16;14;13;NA;NA;NA;NA;"extracellular vesicular exosome, integral component of plasma membrane, Golgi apparatus, melanosome";FALSE
"1137";1137;"Q6KCM7";"Q6KCM7-1,Q6KCM7-2,Q6KCM7-4,Q6KCM7-6";"Q6KCM7-1,Q6KCM7-2,Q6KCM7-4,Q6KCM7-6";"SCMC2_HUMAN";"Calcium-binding mitochondrial carrier protein SCaMC-2";"SLC25A25";2;2;1,02408723169557e-05;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;"integral component of membrane, mitochondrial inner membrane";FALSE
"1139";1139;"Q6NUK1";"Q6NUK1-1";"Q6NUK1-1";"SCMC1_HUMAN";"Calcium-binding mitochondrial carrier protein SCaMC-1";"SLC25A24";21;68;0,00136939999971635;17;17;16;14;17;19;17;15;NA;NA;NA;NA;"integral component of membrane, mitochondrion, mitochondrial inner membrane";FALSE
"1143";1143;"Q6NXT4";"Q6NXT4-1,Q6NXT4-2,Q6NXT4-3";"Q6NXT4-1,Q6NXT4-2,Q6NXT4-3";"ZNT6_HUMAN";"Zinc transporter 6";"SLC30A6";3;9;6,25115286332175e-05;2;2;3;2;2;2;3;2;NA;NA;NA;NA;"mitochondrion, Golgi membrane, integral component of membrane";FALSE
"1153";1153;"Q6PML9";"Q6PML9";"Q6PML9";"ZNT9_HUMAN";"Zinc transporter 9";"SLC30A9";2;3;5,07355892604107e-05;NA;NA;1;2;NA;NA;1;2;NA;NA;9,68528085408384e-05;0,000190814991121569;"cytoskeleton, integral component of membrane, nucleus";FALSE
"1165";1165;"Q6ZQN7";"Q6ZQN7";"Q6ZQN7";"SO4C1_HUMAN";"Solute carrier organic anion transporter family member 4C1";"SLCO4C1";1;4;5,30714819519581e-05;1;1;1;1;1;1;1;1;7,03486708319627e-05;6,972251951931e-05;7,59839713414312e-05;7,48500793902288e-05;"extracellular vesicular exosome, plasma membrane, integral component of membrane, basolateral plasma membrane";FALSE
"1242";1242;"Q8IXU6";"Q8IXU6-1,Q8IXU6-3";"Q8IXU6-1,Q8IXU6-3";"S35F2_HUMAN";"Solute carrier family 35 member F2";"SLC35F2";2;7;8,98951438945601e-05;1;1;2;2;1;1;2;3;NA;NA;NA;NA;"integral component of membrane";FALSE
"1257";1257;"Q8N1S5";"Q8N1S5-1,Q8N1S5-2";"Q8N1S5-1,Q8N1S5-2";"S39AB_HUMAN";"Zinc transporter ZIP11";"SLC39A11";1;2;2,80875386938726e-05;1;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;"integral component of membrane";FALSE
"1282";1282;"Q8N8R3";"Q8N8R3";"Q8N8R3";"MCATL_HUMAN";"Mitochondrial carnitine/acylcarnitine carrier protein CACL";"SLC25A29";1;1;3,17027664465493e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,0001788496946486;"mitochondrial inner membrane, integral component of membrane";FALSE
"1285";1285;"Q8NBI5";"Q8NBI5";"Q8NBI5";"S43A3_HUMAN";"Solute carrier family 43 member 3";"SLC43A3";3;13;0,000254332376849201;2;2;3;3;3;2;4;4;0,000311196156918581;0,000205617532105827;0,000448166152759236;0,00044147826866416;"integral component of membrane";FALSE
"1294";1294;"Q8NBW4";"Q8NBW4-1,Q8NBW4-2";"Q8NBW4-1,Q8NBW4-2";"S38A9_HUMAN";"Putative sodium-coupled neutral amino acid transporter 9";"SLC38A9";1;2;1,71228845513448e-05;1;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;"integral component of membrane";FALSE
"1305";1305;"Q8NEW0";"Q8NEW0";"Q8NEW0";"ZNT7_HUMAN";"Zinc transporter 7";"SLC30A7";5;11;0,000281024788740289;3;2;2;4;3;2;2;4;0,00040637583257187;0,000268505873042449;0,000292619123676576;0,000576504866792826;"perinuclear region of cytoplasm, Golgi membrane, cytoplasmic membrane-bounded vesicle, integral component of membrane, vesicle";FALSE
"1317";1317;"Q8TAD4";"Q8TAD4-1";"Q8TAD4-1";"ZNT5_HUMAN";"Zinc transporter 5";"SLC30A5";2;7;8,78974740302366e-05;2;2;1;2;2;2;1;2;NA;NA;NA;NA;"secretory granule membrane, nucleolus, apical plasma membrane, integral component of plasma membrane, Golgi membrane";FALSE
"1319";1319;"Q8TB61";"Q8TB61-1,Q8TB61-2,Q8TB61-3";"Q8TB61-1,Q8TB61-2,Q8TB61-3";"S35B2_HUMAN";"Adenosine 3'-phospho 5'-phosphosulfate transporter 1";"SLC35B2";6;20;0,000148239787550994;5;5;4;4;6;5;4;5;NA;NA;NA;NA;"Golgi membrane, integral component of membrane";FALSE
"1320";1320;"Q8TBP6";"Q8TBP6";"Q8TBP6";"S2540_HUMAN";"Solute carrier family 25 member 40";"SLC25A40";5;7;0,000198939549210447;NA;2;1;3;NA;2;1;4;NA;0,000298692923857873;0,000162758565831941;0,000641319023414505;"integral component of membrane, mitochondrial inner membrane";FALSE
"1333";1333;"Q8TF71";"Q8TF71";"Q8TF71";"MOT10_HUMAN";"Monocarboxylate transporter 10";"SLC16A10";1;2;3,73046144982696e-05;1;NA;NA;1;1;NA;NA;1;9,88979372472641e-05;NA;NA;0,000105226131026263;"integral component of membrane, basolateral plasma membrane";FALSE
"1340";1340;"Q8WUM9";"Q8WUM9";"Q8WUM9";"S20A1_HUMAN";"Sodium-dependent phosphate transporter 1";"SLC20A1";1;4;5,97325565153933e-05;1;1;1;1;1;1;1;1;7,50109538767909e-05;8,92119660653557e-05;8,1019727910451e-05;7,9810688480892e-05;"integral component of plasma membrane";FALSE
"1342";1342;"Q8WUX1";"Q8WUX1-1";"Q8WUX1-1";"S38A5_HUMAN";"Sodium-coupled neutral amino acid transporter 5";"SLC38A5";6;22;0,000447734409179444;5;4;6;5;5;5;7;5;NA;NA;NA;NA;"plasma membrane, integral component of membrane";FALSE
"1356";1356;"Q92504";"Q92504";"Q92504";"S39A7_HUMAN";"Zinc transporter SLC39A7";"SLC39A7";3;7;0,000143372212437379;NA;2;2;3;NA;2;2;3;NA;0,00021526270418755;0,000234594436039216;0,000346640452954322;"endoplasmic reticulum membrane, integral component of membrane, Golgi apparatus";FALSE
"1360";1360;"Q92536";"Q92536";"Q92536";"YLAT2_HUMAN";"Y+L amino acid transporter 2";"SLC7A6";2;2;4,60821708508036e-05;0;0;2;0;0;0;2;0;NA;NA;0,000252484073527114;NA;"basolateral plasma membrane, integral component of plasma membrane";FALSE
"1366";1366;"Q92581";"Q92581-2";"Q92581-2";"SL9A6_HUMAN";"Sodium/hydrogen exchanger 6";"SLC9A6";5;11;0,000157945172744916;NA;NA;4;5;NA;NA;5;6;NA;NA;NA;NA;"plasma membrane, integral component of membrane, early endosome membrane, recycling endosome membrane, endoplasmic reticulum membrane";FALSE
"1399";1399;"Q969S0";"Q969S0-1,Q969S0-2,Q969S0-3";"Q969S0-1,Q969S0-2,Q969S0-3";"S35B4_HUMAN";"UDP-xylose and UDP-N-acetylglucosamine transporter";"SLC35B4";1;4;3,8694615239897e-05;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"integral component of membrane, Golgi membrane";FALSE
"1413";1413;"Q96AG3";"Q96AG3";"Q96AG3";"S2546_HUMAN";"Solute carrier family 25 member 46";"SLC25A46";4;9;0,000206826421291244;NA;3;3;3;NA;3;3;3;NA;0,000362290221042922;0,00039482580323825;0,00038893390534827;"integral component of membrane, mitochondrial inner membrane";FALSE
"1446";1446;"Q96K37";"Q96K37-1,Q96K37-2";"Q96K37-1,Q96K37-2";"S35E1_HUMAN";"Solute carrier family 35 member E1";"SLC35E1";1;5;5,85727941055148e-05;1;1;1;1;1;2;1;1;NA;NA;NA;NA;"integral component of membrane";FALSE
"1461";1461;"Q96QD8";"Q96QD8-1";"Q96QD8-1";"S38A2_HUMAN";"Sodium-coupled neutral amino acid transporter 2";"SLC38A2";4;13;0,000246792879511774;4;2;3;3;4;2;4;3;NA;NA;NA;NA;"plasma membrane, integral component of membrane";FALSE
"1472";1472;"Q96T83";"Q96T83";"Q96T83";"SL9A7_HUMAN";"Sodium/hydrogen exchanger 7";"SLC9A7";2;2;2,64991399539432e-05;NA;2;NA;NA;NA;2;NA;NA;NA;0,000139252701053739;NA;NA;"Golgi membrane, integral component of membrane, trans-Golgi network, recycling endosome membrane";FALSE
"1495";1495;"Q99808";"Q99808";"Q99808";"S29A1_HUMAN";"Equilibrative nucleoside transporter 1";"SLC29A1";9;42;0,000884757468856987;9;8;7;6;12;11;10;9;0,00134032730743003;0,00121769768739427;0,00120641217656132;0,00106956823970774;"basolateral plasma membrane, apical plasma membrane, integral component of plasma membrane";FALSE
"1549";1549;"Q9BXP2";"Q9BXP2-1";"Q9BXP2-1";"S12A9_HUMAN";"Solute carrier family 12 member 9";"SLC12A9";4;12;0,00012919338393514;3;3;2;3;3;3;3;3;NA;NA;NA;NA;"plasma membrane, integral component of membrane, extracellular vesicular exosome";FALSE
"1585";1585;"Q9H2D1";"Q9H2D1";"Q9H2D1";"MFTC_HUMAN";"Mitochondrial folate transporter/carrier";"SLC25A32";4;5;0,000152475210052451;NA;NA;2;3;NA;NA;2;3;NA;NA;0,000349285049213944;0,000516109118843102;"mitochondrial inner membrane, integral component of membrane";FALSE
"1586";1586;"Q9H2H9";"Q9H2H9";"Q9H2H9";"S38A1_HUMAN";"Sodium-coupled neutral amino acid transporter 1";"SLC38A1";4;15;0,000295870787473442;4;4;3;3;4;4;4;3;0,000418336243797462;0,000414612764944398;0,000451847188921529;0,000333828280155189;"integral component of membrane, axon, plasma membrane, extracellular vesicular exosome";FALSE
"1628";1628;"Q9HC21";"Q9HC21";"Q9HC21";"TPC_HUMAN";"Mitochondrial thiamine pyrophosphate carrier";"SLC25A19";3;4;0,000120074227916305;2;2;NA;NA;2;2;NA;NA;0,000318327735514631;0,000315494400824878;NA;NA;"integral component of membrane, mitochondrial inner membrane";FALSE
"1670";1670;"Q9NUM3";"Q9NUM3-1,Q9NUM3-2";"Q9NUM3-1,Q9NUM3-2";"S39A9_HUMAN";"Zinc transporter ZIP9";"SLC39A9";1;8;0,000125158804342729;1;1;1;1;2;2;2;2;NA;NA;NA;NA;"integral component of membrane";FALSE
"1680";1680;"Q9NVC3";"Q9NVC3-1";"Q9NVC3-1";"S38A7_HUMAN";"Putative sodium-coupled neutral amino acid transporter 7";"SLC38A7";2;7;0,000145544518686431;2;2;1;NA;3;3;1;NA;NA;NA;NA;NA;"axon, integral component of membrane, neuronal cell body";FALSE
"1703";1703;"Q9NY26";"Q9NY26";"Q9NY26";"S39A1_HUMAN";"Zinc transporter ZIP1";"SLC39A1";2;10;0,000296479575101988;2;1;1;2;3;2;2;3;0,000471596645206861;0,000311599408222102;0,000339582686735779;0,000501772754430793;"endoplasmic reticulum membrane, plasma membrane, integral component of membrane";FALSE
"1751";1751;"Q9UBX3";"Q9UBX3-1,Q9UBX3-2";"Q9UBX3-1,Q9UBX3-2";"DIC_HUMAN";"Mitochondrial dicarboxylate carrier";"SLC25A10";8;24;0,00040164201672353;4;5;5;6;4;6;6;8;NA;NA;NA;NA;"integral component of membrane, nucleus, mitochondrial inner membrane";FALSE
"1767";1767;"Q9UHW9";"Q9UHW9-1,Q9UHW9-2,Q9UHW9-3,Q9UHW9-4,Q9UHW9-5,Q9UHW9-6";"Q9UHW9-1,Q9UHW9-2,Q9UHW9-3,Q9UHW9-4,Q9UHW9-5,Q9UHW9-6";"S12A6_HUMAN";"Solute carrier family 12 member 6";"SLC12A6";6;15;2,0882474420227e-05;3;2;5;4;3;2;6;4;NA;NA;NA;NA;"basolateral plasma membrane, integral component of membrane";FALSE
"1778";1778;"Q9UJS0";"Q9UJS0-1,Q9UJS0-2";"Q9UJS0-1,Q9UJS0-2";"CMC2_HUMAN";"Calcium-binding mitochondrial carrier protein Aralar2";"SLC25A13";12;39;0,000393877897451622;9;9;8;10;10;9;9;11;NA;NA;NA;NA;"integral component of plasma membrane, mitochondrial inner membrane";FALSE
"1809";1809;"Q9Y289";"Q9Y289";"Q9Y289";"SC5A6_HUMAN";"Sodium-dependent multivitamin transporter";"SLC5A6";5;15;0,000226911926770971;2;2;5;4;2;2;6;5;0,000160417126558554;0,000158989304352694;0,000519802159853822;0,00042670438959469;"vesicle membrane, integral component of plasma membrane, brush border membrane";FALSE
"1810";1810;"Q9Y2D2";"Q9Y2D2-1,Q9Y2D2-2";"Q9Y2D2-1,Q9Y2D2-2";"S35A3_HUMAN";"UDP-N-acetylglucosamine transporter";"SLC35A3";1;8;0,000118226932102208;1;1;1;1;2;2;2;2;NA;NA;NA;NA;"Golgi membrane, integral component of membrane";FALSE
"1857";1857;"Q9Y619";"Q9Y619";"Q9Y619";"ORNT1_HUMAN";"Mitochondrial ornithine transporter 1";"SLC25A15";9;24;0,000765921985379755;7;5;6;3;8;5;7;4;0,0013536860513579;0,000838523324451503;0,00127935802909759;0,000720152258850839;"mitochondrial inner membrane, integral component of membrane";FALSE
"1860";1860;"Q9Y666";"Q9Y666-1";"Q9Y666-1";"S12A7_HUMAN";"Solute carrier family 12 member 7";"SLC12A7";2;7;6,20882434285605e-05;2;2;2;1;2;2;2;1;NA;NA;NA;NA;"integral component of plasma membrane";FALSE
"1876";1876;"Q9Y6M5";"Q9Y6M5";"Q9Y6M5";"ZNT1_HUMAN";"Zinc transporter 1";"SLC30A1";3;7;0,000132626366140298;1;2;2;2;1;2;2;2;0,000100458456967142;0,000199128615905248;0,000217011421109255;0,000213773007804835;"Golgi apparatus, nuclear membrane, T-tubule, integral component of membrane, endoplasmic reticulum";FALSE
"84";84;"O15439";"O15439-1,O15439-2";"O15439-1,O15439-2";"MRP4_HUMAN";"Multidrug resistance-associated protein 4";"ABCC4";4;8;2,89990588175228e-05;3;3;2;NA;3;3;2;NA;NA;NA;NA;NA;"platelet dense granule membrane, plasma membrane, basolateral plasma membrane, integral component of membrane";FALSE
"144";144;"O75027";"O75027-1,O75027-2";"O75027-1,O75027-2";"ABCB7_HUMAN";"ATP-binding cassette sub-family B member 7, mitochondrial";"ABCB7";19;74;0,000472632599245032;14;14;17;15;15;17;22;20;NA;NA;NA;NA;"mitochondrial inner membrane, integral component of membrane";FALSE
"499";499;"P28288";"P28288-1";"P28288-1";"ABCD3_HUMAN";"ATP-binding cassette sub-family D member 3";"ABCD3";18;62;0,000959360424000848;14;14;15;15;14;16;16;16;NA;NA;NA;NA;"peroxisomal matrix, integral component of membrane, peroxisomal membrane, cytosol, mitochondrial inner membrane";FALSE
"551";551;"P33527";"P33527-1,P33527-9";"P33527-1,P33527-9";"MRP1_HUMAN";"Multidrug resistance-associated protein 1";"ABCC1";27;93;0,000291754492389716;19;16;23;20;21;17;30;25;NA;NA;NA;NA;"extracellular vesicular exosome, nucleus, integral component of plasma membrane, Golgi apparatus";FALSE
"552";552;"P33897";"P33897";"P33897";"ABCD1_HUMAN";"ATP-binding cassette sub-family D member 1";"ABCD1";9;22;0,000283665290111003;5;5;6;6;5;5;6;6;0,000341828440821081;0,000338785933771681;0,000443052847660641;0,000436441268283428;"cytosol, mitochondrion, perinuclear region of cytoplasm, integral component of peroxisomal membrane";FALSE
"776";776;"P61221";"P61221";"P61221";"ABCE1_HUMAN";"ATP-binding cassette sub-family E member 1";"ABCE1";2;5;8,01831238172323e-05;1;1;1;2;1;1;1;2;8,5029111322773e-05;8,42722940433731e-05;9,18403927398935e-05;0,000180939757858183;"mitochondrion";FALSE
"1303";1303;"Q8NE71";"Q8NE71-1,Q8NE71-2";"Q8NE71-1,Q8NE71-2";"ABCF1_HUMAN";"ATP-binding cassette sub-family F member 1";"ABCF1";2;2;1,1367974240597e-05;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;"nucleoplasm, nuclear envelope, ribosome, polysomal ribosome";FALSE
"1493";1493;"Q99758";"Q99758";"Q99758";"ABCA3_HUMAN";"ATP-binding cassette sub-family A member 3";"ABCA3";1;2;1,12745753912024e-05;1;1;NA;NA;1;1;NA;NA;2,98899282173363e-05;2,9623887401397e-05;NA;NA;"alveolar lamellar body, extracellular space, plasma membrane, integral component of membrane, alveolar lamellar body membrane";FALSE
"1651";1651;"Q9NRK6";"Q9NRK6";"Q9NRK6";"ABCBA_HUMAN";"ATP-binding cassette sub-family B member 10, mitochondrial";"ABCB10";9;15;0,000208707657157581;4;3;5;3;4;3;5;3;0,000295774899432875;0,000219856725313504;0,000397560218617497;0,000234976509391981;"integral component of mitochondrial membrane, mitochondrial inner membrane";FALSE
"1676";1676;"Q9NUT2";"Q9NUT2-1,Q9NUT2-2";"Q9NUT2-1,Q9NUT2-2";"ABCB8_HUMAN";"ATP-binding cassette sub-family B member 8, mitochondrial";"ABCB8";2;2;1,3970635009732e-05;0;1;0;1;0;1;0;1;NA;NA;NA;NA;"nucleolus, ATP-binding cassette (ABC) transporter complex, mitochondrial envelope, mitochondrial inner membrane";FALSE
