"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"Go.Cc";"norm.sc";"matched_mask"
"79";79;"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";2;4;9,41091369951757e-05;2;2;2;2;9,4219547980508e-05;9,4031650828012e-05;"U12-type spliceosomal complex, nucleolus, nucleus";0,000189636372256199;FALSE
"80";80;"O43156";"O43156";"TTI1_HUMAN";"TELO2-interacting protein 1 homolog";"TTI1";13;22;0,000377862443995781;13;8;13;9;0,000447088626436432;0,000308905629786238;"TORC2 complex, cytoplasm, TORC1 complex";0,00104300004740909;FALSE
"82";82;"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";23;73;0,00256173722585132;22;23;32;41;0,00224854155780875;0,00287519855416421;"cytosol, extracellular vesicular exosome";0,00346086379367563;FALSE
"88";88;"O43314";"O43314-1,O43314-2";"VIP2_HUMAN";"Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2";"PPIP5K2";2;4;3,00952389023188e-05;2;2;2;2;3,01305473228093e-05;3,00704595367134e-05;"cytosol";0,000189636372256199;FALSE
"89";89;"O43324";"O43324";"MCA3_HUMAN";"Eukaryotic translation elongation factor 1 epsilon-1";"EEF1E1";2;5;0,000537476752235378;2;2;2;3;0,000430485865773011;0,000644441055243703;"cytosol, extracellular vesicular exosome, cytoplasm, nucleus";0,000237045465320248;FALSE
"90";90;"O43390";"O43390-1,O43390-2";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";3;5;8,86454548710482e-05;2;3;2;3;7,39578797832779e-05;0,000103334545193106;"spliceosomal complex, cytoplasm, nucleoplasm, catalytic step 2 spliceosome, nucleus, ribonucleoprotein complex";0,000237045465320248;FALSE
"93";93;"O43592";"O43592";"XPOT_HUMAN";"Exportin-T";"XPOT";28;69;0,00134156879154635;27;26;33;36;0,00128474523974461;0,00139874524256637;"nucleoplasm, cytoplasm, nucleus";0,00327122742141943;FALSE
"98";98;"O43681";"O43681";"ASNA_HUMAN";"ATPase ASNA1";"ASNA1";2;2;0,000107495350447076;2;NA;2;NA;0,000215242932886505;NA;"cytoplasm, nucleolus, endoplasmic reticulum, nucleus, extracellular vesicular exosome";9,48181861280994e-05;FALSE
"99";99;"O43684";"O43684-1,O43684-2";"BUB3_HUMAN";"Mitotic checkpoint protein BUB3";"BUB3";1;1;2,85124862466329e-05;NA;1;NA;1;NA;5,69780201282543e-05;"kinetochore, condensed chromosome kinetochore, nucleus, cytosol";4,74090930640497e-05;FALSE
"105";105;"O43765";"O43765";"SGTA_HUMAN";"Small glutamine-rich tetratricopeptide repeat-containing protein alpha";"SGTA";1;2;0,00011951559730218;1;1;1;1;0,000119655815726044;0,000119417192345479;"cytoplasm";9,48181861280994e-05;FALSE
"111";111;"O43837";"O43837-1";"IDH3B_HUMAN";"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial";"IDH3B";6;8;0,000388658513824232;6;2;6;2;0,000583671745281848;0,000194169253008492;"mitochondrion, mitochondrial matrix, nucleus";0,000379272744512397;FALSE
"113";113;"O43929";"O43929";"ORC4_HUMAN";"Origin recognition complex subunit 4";"ORC4";2;4;0,000171598082365057;2;2;2;2;0,000171799405147945;0,00017145679451438;"nucleoplasm, origin recognition complex, nucleus, nuclear origin of replication recognition complex";0,000189636372256199;FALSE
"122";122;"O60673";"O60673-1,O60673-2";"DPOLZ_HUMAN";"DNA polymerase zeta catalytic subunit";"REV3L";2;2;5,975779865109e-06;2;NA;2;NA;1,19655815726044e-05;NA;"zeta DNA polymerase complex, nucleus, chromosome";9,48181861280994e-05;FALSE
"126";126;"O60814";"O60814,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B2F_HUMAN";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 2-F";"HIST1H2BD, HIST1H2BH, HIST1H2BI,HIST1H2BG,HIST1H2BC,HIST1H2BE,HIST1H2BF, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST2H2BF";2;5;0,000223847082752603;2;2;2;3;0,000176142364831285;0,000271926847384578;"extracellular space, nucleus, nucleoplasm, nucleosome";0,000237045465320248;FALSE
"128";128;"O60841";"O60841";"IF2P_HUMAN";"Eukaryotic translation initiation factor 5B";"EIF5B";1;1;1,53313040801567e-05;1;NA;1;NA;3,0698582231354e-05;NA;"cytosol";4,74090930640497e-05;FALSE
"135";135;"O75208";"O75208-1";"COQ9_HUMAN";"Ubiquinone biosynthesis protein COQ9, mitochondrial";"COQ9";5;8;0,000470545684975878;4;4;4;4;0,00047109773990254;0,00047015825414006;"mitochondrion";0,000379272744512397;FALSE
"148";148;"O75531";"O75531";"BAF_HUMAN";"Barrier-to-autointegration factor";"BANF1";3;8;0,00168127559350932;3;3;4;4;0,00168324810437087;0,00167989129007347;"nucleus, chromosome, cytoplasm, cytosol, extracellular vesicular exosome, nucleoplasm";0,000379272744512397;FALSE
"154";154;"O75879";"O75879";"GATB_HUMAN";"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial";"PET112";2;2;6,71604702972753e-05;2;NA;2;NA;0,000134478528984747;NA;"mitochondrion, glutamyl-tRNA(Gln) amidotransferase complex";9,48181861280994e-05;FALSE
"160";160;"O76071";"O76071";"CIAO1_HUMAN";"Probable cytosolic iron-sulfur protein assembly protein CIAO1";"CIAO1";9;13;0,000717269860505266;8;5;8;5;0,000883829388135738;0,00055129175817308;"MMXD complex, CIA complex";0,000616318209832646;FALSE
"161";161;"O76094";"O76094";"SRP72_HUMAN";"Signal recognition particle subunit SRP72";"SRP72";2;4;0,00011150039331023;2;2;2;2;0,000111631208114015;0,000111408587791758;"cytosol, endoplasmic reticulum, signal recognition particle, endoplasmic reticulum targeting";0,000189636372256199;FALSE
"164";164;"O94829";"O94829";"IPO13_HUMAN";"Importin-13";"IPO13";1;2;3,88456718126504e-05;1;1;1;1;3,88912464405523e-05;3,88136876470766e-05;"cytoplasm, nucleus";9,48181861280994e-05;FALSE
"168";168;"O94925";"O94925-1,O94925-3";"GLSK_HUMAN";"Glutaminase kidney isoform, mitochondrial";"GLS";3;7;9,78545118419568e-05;2;3;3;4;8,39737002741074e-05;0,000111741647844947;"cytosol, mitochondrion, mitochondrial matrix";0,000331863651448348;FALSE
"171";171;"O95104";"O95104-1,O95104-2,Q9UPN6";"SCAF8_HUMAN, SFR15_HUMAN";"Protein SCAF8, Splicing factor, arginine/serine-rich 15";"SCAF4, SCAF8";1;1;5,24661738507466e-06;1;NA;1;NA;1,05055456724409e-05;NA;"nucleus";4,74090930640497e-05;FALSE
"187";187;"O95319";"O95319-1,O95319-2,O95319-3,O95319-4,O95319-5";"CELF2_HUMAN";"CUGBP Elav-like family member 2";"CELF2";8;16;0,000126884881254549;7;8;8;8;0,000127789898737343;0,000126133569867721;"cytoplasm, nucleus";0,000758545489024795;FALSE
"188";188;"O95347";"O95347-1,O95347-2";"SMC2_HUMAN";"Structural maintenance of chromosomes protein 2";"SMC2";4;6;4,68776716235367e-05;2;4;2;4;3,12884463845045e-05;6,24520989208601e-05;"nuclear chromosome, nucleoplasm, nucleus, cytosol, condensin complex, cytoplasm, extracellular vesicular exosome, condensed chromosome";0,000284454558384298;FALSE
"194";194;"O95671";"O95671-1,O95671-2";"ASML_HUMAN";"N-acetylserotonin O-methyltransferase-like protein";"ASMTL";8;15;0,000225896026301826;6;7;7;8;0,00021108364915923;0,00024075736685433;"cytoplasm";0,000711136395960745;FALSE
"198";198;"O95747";"O95747";"OXSR1_HUMAN";"Serine/threonine-protein kinase OSR1";"OXSR1";1;1;3,54918234872698e-05;NA;1;NA;1;NA;7,09252015258725e-05;"cytoplasm, extracellular vesicular exosome";4,74090930640497e-05;FALSE
"213";213;"P00367";"P00367";"DHE3_HUMAN";"Glutamate dehydrogenase 1, mitochondrial";"GLUD1";3;5;0,000167600277578774;2;3;2;3;0,000134237528036745;0,000200954737656639;"mitochondrion, mitochondrial matrix, cytoplasm";0,000237045465320248;FALSE
"227";227;"P02533";"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";1;1;4,26757942778808e-05;1;0;1;0;8,65614876477317e-05;NA;"extracellular vesicular exosome, intermediate filament, cytosol, cytoplasm, keratin filament, nucleus, cell periphery";4,74090930640497e-05;FALSE
"228";228;"P02545";"P02545-1,P02545-2,P02545-3";"LMNA_HUMAN";"Prelamin-A/C";"LMNA";1;2;2,02816528674844e-05;1;1;1;1;2,01442934177345e-05;2,04696501665579e-05;"lamin filament, cytosol, nuclear envelope, cytoplasm, nucleoplasm, perinuclear region of cytoplasm, nuclear speck, nucleus, nuclear lamina, intermediate filament";9,48181861280994e-05;FALSE
"229";229;"P02765";"P02765";"FETUA_HUMAN";"Alpha-2-HS-glycoprotein";"AHSG";2;3;0,000152895294096386;2;1;2;1;0,000204099565788839;0,000101846270310994;"extracellular region, extracellular vesicular exosome, blood microparticle, extracellular space";0,000142227279192149;FALSE
"239";239;"P04181";"P04181-1";"OAT_HUMAN";"Ornithine aminotransferase, mitochondrial";"OAT";1;1;4,26063575803899e-05;NA;1;NA;1;NA;8,51425539957512e-05;"mitochondrion, mitochondrial matrix";4,74090930640497e-05;FALSE
"243";243;"P04259";"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";0;0;0;0;0;0;0;0;0;"keratin filament, extracellular vesicular exosome";0;FALSE
"245";245;"P04350";"P04350";"TBB4A_HUMAN";"Tubulin beta-4A chain";"TUBB4A";0;0;0;0;0;0;0;0;NA;"nucleus, cytosol, neuronal cell body, microtubule, myelin sheath, internode region of axon, cilium";0;FALSE
"248";248;"P04637";"P04637-1,P04637-2,P04637-3,P04637-4,P04637-5,P04637-6";"P53_HUMAN";"Cellular tumor antigen p53";"TP53";1;1;7,93222687777403e-06;1;NA;1;NA;1,58830662944241e-05;NA;"cytoplasm, nuclear chromatin, chromatin, mitochondrial matrix, nucleolus, nuclear matrix, PML body, mitochondrion, protein complex, nucleoplasm, nucleus, replication fork, endoplasmic reticulum, cytosol";4,74090930640497e-05;FALSE
"253";253;"P04908";"P04908,P0C0S8,P20671,Q16777,Q6FI13,Q7L7L0,Q93077,Q96KK5,Q99878,Q9BTM1-1";"H2A1_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-B/E, Histone H2A type 1-C, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A type 3, Histone H2A.J";"H2AFJ, HIST1H2AC, HIST1H2AD, HIST1H2AE,HIST1H2AB, HIST1H2AH, HIST1H2AJ, HIST1H2AK,HIST1H2AI,HIST1H2AG,HIST1H2AL,HIST1H2AM, HIST2H2AA4,HIST2H2AA3, HIST2H2AC, HIST3H2A";1;4;0,000101181867731482;1;1;2;2;0,000101300576605782;0,000101098558125558;"nucleus, nucleosome, extracellular vesicular exosome";0,000189636372256199;FALSE
"257";257;"P05114";"P05114";"HMGN1_HUMAN";"Non-histone chromosomal protein HMG-14";"HMGN1";2;2;0,000374083819555823;2;NA;2;NA;0,000749045406445038;NA;"nucleus, chromatin, cytoplasm";9,48181861280994e-05;FALSE
"260";260;"P05386";"P05386";"RLA1_HUMAN";"60S acidic ribosomal protein P1";"RPLP1";2;2;0,000447468683679214;2;0;2;0;0,000876076498766127;0;"cytoplasm, cytosolic large ribosomal subunit, cytosol, extracellular vesicular exosome";9,48181861280994e-05;FALSE
"264";264;"P06454";"P06454-1,P06454-2";"PTMA_HUMAN";"Prothymosin alpha";"PTMA";2;3;0,000252759337537718;2;1;2;1;0,000337407840741008;0,000168367482901508;"nucleus, extracellular vesicular exosome";0,000142227279192149;FALSE
"267";267;"P06730";"P06730-1,P06730-2,P06730-3";"IF4E_HUMAN";"Eukaryotic translation initiation factor 4E";"EIF4E";1;1;2,87314761563612e-05;1;NA;1;NA;5,75303691586051e-05;NA;"chromatoid body, cytoplasmic mRNA processing body, RISC complex, mRNA cap binding complex, cytoplasmic stress granule, eukaryotic translation initiation factor 4F complex, extracellular vesicular exosome, cytoplasm, cytosol";4,74090930640497e-05;FALSE
"270";270;"P06899";"P06899,P23527,P33778,Q16778";"H2B1B_HUMAN, H2B1J_HUMAN, H2B1O_HUMAN, H2B2E_HUMAN";"Histone H2B type 1-B, Histone H2B type 1-J, Histone H2B type 1-O, Histone H2B type 2-E";"HIST1H2BB, HIST1H2BJ, HIST1H2BO, HIST2H2BE";1;2;0,000201462374477342;1;1;1;1;0,000198160160435195;0,000203945135538434;"nucleoplasm, extracellular space, nucleus, nucleosome";9,48181861280994e-05;FALSE
"273";273;"P07203";"P07203";"GPX1_HUMAN";"Glutathione peroxidase 1";"GPX1";1;1;9,21388718117791e-05;NA;1;NA;1;NA;0,000184126015783915;"nucleus, cytosol, mitochondrial matrix, cytoplasm, mitochondrion, extracellular vesicular exosome";4,74090930640497e-05;FALSE
"274";274;"P07205";"P07205";"PGK2_HUMAN";"Phosphoglycerate kinase 2";"PGK2";1;1;5,56810448358953e-05;1;0;1;0;0,000115474625865114;0;"cytoplasm, nucleus";4,74090930640497e-05;FALSE
"276";276;"P07339";"P07339";"CATD_HUMAN";"Cathepsin D";"CTSD";1;2;9,07970435815105e-05;1;1;1;1;9,09035687433299e-05;9,07222844760553e-05;"lysosomal lumen, extracellular region, extracellular space, lysosome, melanosome, mitochondrion, extracellular vesicular exosome";9,48181861280994e-05;FALSE
"277";277;"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";4;38;0,00628696943860631;4;4;15;23;0,00558418246226387;0,00694866632558099;"nucleus, microtubule, cytoplasmic ribonucleoprotein granule, cytosol, extracellular vesicular exosome, cell body, cytoskeleton, nuclear envelope lumen";0,00180154553643389;FALSE
"286";286;"P08107";"P08107-1,P08107-2";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1A,HSPA1B";3;5;0,000124087968366271;2;3;2;3;9,27317241855237e-05;0,00015556637597219;"nucleus, ribonucleoprotein complex, perinuclear region of cytoplasm, mitochondrion, inclusion body, cytoplasm, nuclear speck, vesicle, extracellular vesicular exosome, blood microparticle, cytosol, aggresome, centriole, endoplasmic reticulum";0,000237045465320248;FALSE
"291";291;"P08559";"P08559-1,P08559-2,P08559-3,P08559-4";"ODPA_HUMAN";"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial";"PDHA1";2;2;2,39797320228092e-05;2;NA;2;NA;4,80157311823743e-05;NA;"nucleus, pyruvate dehydrogenase complex, mitochondrial matrix, mitochondrion";9,48181861280994e-05;FALSE
"293";293;"P08670";"P08670";"VIME_HUMAN";"Vimentin";"VIM";14;28;0,00128440796414017;12;14;13;15;0,00120554518204674;0,00136355982933539;"cell leading edge, cell projection, cytosol, extracellular vesicular exosome, intermediate filament, cytoplasm, cytoskeleton, peroxisome, intermediate filament cytoskeleton";0,00132745460579339;FALSE
"298";298;"P09382";"P09382";"LEG1_HUMAN";"Galectin-1";"LGALS1";4;9;0,00124694606518608;3;4;4;5;0,00110969689843709;0,0013843548594124;"cell surface, extracellular space, cytoplasm, proteinaceous extracellular matrix, intracellular, nucleus, extracellular vesicular exosome";0,000426681837576447;FALSE
"299";299;"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";5;11;0,00100045672671906;5;4;7;4;0,00130647454612507;0,00069539685961181;"nucleoplasm, extracellular region, cell surface, condensed chromosome, extracellular space, nucleus";0,000521500023704547;FALSE
"304";304;"P0C0S5";"P0C0S5,Q71UI9-1,Q71UI9-2";"H2AV_HUMAN, H2AZ_HUMAN";"Histone H2A.V, Histone H2A.Z";"H2AFV, H2AFZ";2;4;0,000340961814699318;1;2;2;2;0,000341361838874692;0,00034068107868352;"nucleus, nuclear heterochromatin, nuclear euchromatin, nucleosome";0,000189636372256199;FALSE
"310";310;"P10412";"P10412,P16402,P16403";"H12_HUMAN, H13_HUMAN, H14_HUMAN";"Histone H1.2, Histone H1.3, Histone H1.4";"HIST1H1C, HIST1H1D, HIST1H1E";4;9;0,000257791299847045;4;4;4;5;0,000229416663535999;0,000286198937244524;"extracellular vesicular exosome, nucleosome, nuclear heterochromatin, nucleus";0,000426681837576447;FALSE
"319";319;"P11177";"P11177-1,P11177-2,P11177-3";"ODPB_HUMAN";"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial";"PDHB";7;13;0,000225770178933412;5;6;6;7;0,000208647745527866;0,000242936925189363;"pyruvate dehydrogenase complex, mitochondrial matrix, nucleus, extracellular vesicular exosome";0,000616318209832646;FALSE
"323";323;"P11310";"P11310-1,P11310-2";"ACADM_HUMAN";"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial";"ACADM";3;5;0,000111070017682845;2;2;3;2;0,000133440393072156;8,87828532164722e-05;"extracellular vesicular exosome, nucleus, mitochondrion, axon, mitochondrial matrix";0,000237045465320248;FALSE
"326";326;"P12004";"P12004";"PCNA_HUMAN";"Proliferating cell nuclear antigen";"PCNA";2;2;0,000143327133929434;1;1;1;1;0,000143495288591003;0,00014320912338749;"nucleus, DNA replication factor C complex, extracellular vesicular exosome, PCNA-p21 complex, cytoplasm, nucleoplasm, centrosome, PCNA complex, nuclear replication fork";9,48181861280994e-05;FALSE
"327";327;"P12036";"P12036-1,P12036-2";"NFH_HUMAN";"Neurofilament heavy polypeptide";"NEFH";0;0;0;0;0;0;0;NA;0;"mitochondrion, neurofilament, cytoplasm, neurofibrillary tangle, axon";0;FALSE
"332";332;"P12694";"P12694";"ODBA_HUMAN";"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial";"BCKDHA";1;1;4,2031889837733e-05;NA;1;NA;1;NA;8,39945645036737e-05;"mitochondrial matrix, mitochondrial alpha-ketoglutarate dehydrogenase complex, mitochondrion";4,74090930640497e-05;FALSE
"343";343;"P13804";"P13804-1";"ETFA_HUMAN";"Electron transfer flavoprotein subunit alpha, mitochondrial";"ETFA";11;24;0,00134804980020116;11;10;13;11;0,00146210064321104;0,00123469487461106;"mitochondrion, extracellular vesicular exosome, mitochondrial matrix";0,00113781823353719;FALSE
"347";347;"P14314";"P14314-1,P14314-2";"GLU2B_HUMAN";"Glucosidase 2 subunit beta";"PRKCSH";8;16;0,000283396832996836;7;8;7;9;0,00024826315554523;0,000318558930717058;"intracellular, endoplasmic reticulum lumen, endoplasmic reticulum";0,000758545489024795;FALSE
"348";348;"P14406";"P14406";"CX7A2_HUMAN";"Cytochrome c oxidase subunit 7A2, mitochondrial";"COX7A2";1;4;0,000901406794110418;1;1;2;2;0,000902464345114504;0,000900664607328549;"mitochondrial respiratory chain, extracellular vesicular exosome";0,000189636372256199;FALSE
"351";351;"P14678";"P14678-3";"RSMB_HUMAN";"Small nuclear ribonucleoprotein-associated proteins B and B'";"SNRPB";3;4;0,000311736516296519;NA;3;NA;4;NA;0,00062295968673558;"histone pre-mRNA 3'end processing complex, U1 snRNP, spliceosomal complex, SMN-Sm protein complex, cytosol, nucleoplasm, small nuclear ribonucleoprotein complex, U12-type spliceosomal complex, catalytic step 2 spliceosome, extracellular vesicular exosome, methylosome, U4 snRNP, U7 snRNP";0,000189636372256199;FALSE
"374";374;"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";8;13;0,000437328206315261;7;6;7;6;0,000471521388949215;0,000403355192850375;"nuclear heterochromatin, extracellular vesicular exosome, chaperonin-containing T-complex, cytosol, pericentriolar material, Golgi apparatus, acrosomal vesicle, centrosome, microtubule, cell body, zona pellucida receptor complex";0,000616318209832646;FALSE
"381";381;"P18621";"P18621";"RL17_HUMAN";"60S ribosomal protein L17";"RPL17";4;8;0,000813225694686572;4;4;4;4;0,000814179789614172;0,000812556113133365;"nucleus, cytosolic large ribosomal subunit, cytosol";0,000379272744512397;FALSE
"384";384;"P19012";"P19012";"K1C15_HUMAN";"Keratin, type I cytoskeletal 15";"KRT15";1;1;4,41731905683327e-05;1;0;1;0;8,95987328283539e-05;NA;"intermediate filament, nucleus, extracellular vesicular exosome";4,74090930640497e-05;FALSE
"390";390;"P20042";"P20042";"IF2B_HUMAN";"Eukaryotic translation initiation factor 2 subunit 2";"EIF2S2";2;2;0,000112337483350097;NA;2;NA;2;NA;0,000224489977202011;"cytosol, eukaryotic translation initiation factor 2 complex";9,48181861280994e-05;FALSE
"391";391;"P20231";"P20231,Q15661-1,Q15661-2";"TRYB1_HUMAN, TRYB2_HUMAN";"Tryptase alpha/beta-1, Tryptase beta-2";"TPSAB1, TPSB2";4;13;0,000294732706316709;4;4;7;6;0,000317776839097895;0,000271836954211889;"extracellular region";0,000616318209832646;FALSE
"400";400;"P20929";"P20929";"NEBU_HUMAN";"Nebulin";"NEB";3;4;1,12185880808464e-05;NA;3;NA;4;NA;2,2418702176719e-05;"cytosol, Z disc, actin cytoskeleton, extracellular vesicular exosome";0,000189636372256199;FALSE
"407";407;"P22314";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";4;7;0,000123751736147957;3;4;3;4;0,000106197363862718;0,00014131410663189;"extracellular vesicular exosome, cytoplasm, cytosol, nucleus, mitochondrion";0,000331863651448348;FALSE
"411";411;"P23193";"P23193-1,P23193-2";"TCEA1_HUMAN";"Transcription elongation factor A protein 1";"TCEA1";1;2;6,21401693614324e-05;1;1;1;1;6,22130736250032e-05;6,2089005322483e-05;"nucleus, nucleoplasm, nucleolus";9,48181861280994e-05;FALSE
"413";413;"P23246";"P23246-1";"SFPQ_HUMAN";"Splicing factor, proline- and glutamine-rich";"SFPQ";3;5;0,000132278578343643;2;3;2;3;0,000105947016470302;0,000158603597754462;"paraspeckles, nucleoplasm, nucleus, cytoplasm, nuclear matrix";0,000237045465320248;FALSE
"416";416;"P23526";"P23526";"SAHH_HUMAN";"Adenosylhomocysteinase";"AHCY";2;4;0,000173186953498066;2;1;2;2;0,000173390140380796;0,00017304435742655;"cytoplasm, extracellular vesicular exosome, cytosol, melanosome";0,000189636372256199;FALSE
"430";430;"P26368";"P26368-1,P26368-2";"U2AF2_HUMAN";"Splicing factor U2AF 65 kDa subunit";"U2AF2";2;2;3,93772441637709e-05;2;NA;2;NA;7,88468848889514e-05;NA;"nucleus, nucleoplasm, spliceosomal complex, nuclear speck";9,48181861280994e-05;FALSE
"432";432;"P26447";"P26447";"S10A4_HUMAN";"Protein S100-A4";"S100A4";2;4;0,000740760038724403;2;2;2;2;0,000741629115292117;0,000740150122854154;"neuron projection, nucleus, extracellular vesicular exosome, extracellular space, perinuclear region of cytoplasm";0,000189636372256199;FALSE
"433";433;"P26583";"P26583";"HMGB2_HUMAN";"High mobility group protein B2";"HMGB2";5;11;0,00102917797246219;5;3;7;4;0,00134398099242531;0,000715360405820761;"nucleoplasm, perinuclear region of cytoplasm, protein complex, cytoplasm, nucleus, condensed chromosome, extracellular space";0,000521500023704547;FALSE
"435";435;"P26640";"P26640";"SYVC_HUMAN";"Valine--tRNA ligase";"VARS";3;4;5,91904777778201e-05;2;2;2;2;5,92599213959682e-05;5,91417424116057e-05;"mitochondrion, cytosol";0,000189636372256199;FALSE
