"";"X.1";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5826.1.id.csv";"peptide.count.P5826.2.id.csv";"spectra.count.P5826.1.id.csv";"spectra.count.P5826.2.id.csv";"dNSAF.P5826.1.id.csv";"dNSAF.P5826.2.id.csv";"Go.Cc";"norm.sc"
"107";107;"P01892";"P01892";"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";2;8;0,0112713048430142;2;2;4;4;0,0133640834164559;0,0149367057586689;"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex";0,000822199383350463
"108";108;"P01903";"P01903";"P01903";"DRA_HUMAN";"HLA class II histocompatibility antigen, DR alpha chain";"HLA-DRA";6;19;0,00282332222373414;6;6;9;10;0,00332381995934719;0,00376564276966027;"extracellular vesicular exosome, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, integral component of plasma membrane, trans-Golgi network membrane, late endosome membrane, MHC class II protein complex, lysosomal membrane, Golgi membrane, clathrin-coated endocytic vesicle membrane";0,00195272353545735
"111";111;"P02647";"P02647";"P02647";"APOA1_HUMAN";"Apolipoprotein A-I";"APOA1";1;2;0,000282721799656405;1;1;1;1;0,000351331780971364;0,000358229686701764;"very-low-density lipoprotein particle, early endosome, extracellular vesicular exosome, blood microparticle, secretory granule lumen, endoplasmic reticulum lumen, endocytic vesicle lumen, cytosol, nucleus, plasma membrane, spherical high-density lipoprotein particle";0,000205549845837616
"114";114;"P02786";"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";16;35;0,00173818106433494;14;16;17;18;0,00209828283398555;0,00226533141353773;"extracellular vesicular exosome, blood microparticle, integral component of plasma membrane, endosome, external side of plasma membrane, coated pit, perinuclear region of cytoplasm, cytoplasmic membrane-bounded vesicle, melanosome";0,00359712230215827
"116";116;"P04040";"P04040";"P04040";"CATA_HUMAN";"Catalase";"CAT";14;28;0,00200533982374885;11;14;12;16;0,00213599056211053;0,00290390364628071;"endoplasmic reticulum, peroxisomal matrix, Golgi apparatus, lysosome, cytosol, peroxisomal membrane, mitochondrial intermembrane space, plasma membrane";0,00287769784172662
"119";119;"P04222";"P04222";"P04222";"1C03_HUMAN";"HLA class I histocompatibility antigen, Cw-3 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"phagocytic vesicle membrane, early endosome membrane, Golgi membrane, cell surface, ER to Golgi transport vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex";0
"120";120;"P04233";"P04233-1,P04233-2";"P04233-1,P04233-2";"HG2A_HUMAN";"HLA class II histocompatibility antigen gamma chain";"CD74";3;5;0,000318778380524747;2;3;2;3;NA;NA;"trans-Golgi network membrane, lysosomal membrane, external side of plasma membrane, clathrin-coated endocytic vesicle membrane, MHC class II protein complex, integral component of lumenal side of endoplasmic reticulum membrane, macrophage migration inhibitory factor receptor complex, extracellular vesicular exosome, Golgi membrane, NOS2-CD74 complex, plasma membrane, ER to Golgi transport vesicle membrane, multivesicular body, lysosomal lumen, cell surface";0,000513874614594039
"122";122;"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";16;38;0,00293094605726967;14;14;20;18;0,00372162345541836;0,00363975873315797;"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle";0,0039054470709147
"123";123;"P04350";"P04350";"P04350";"TBB4A_HUMAN";"Tubulin beta-4A chain";"TUBB4A";1;2;0,000912941126732757;1;1;1;1;0,000865700368788465;0,00157409584713609;"internode region of axon, plasma membrane, neuronal cell body, cilium, myelin sheath, cytosol, microtubule";0,000205549845837616
"124";124;"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";17;74;0,0083373392800168;17;14;40;34;0,0112006669276841;0,00970748983844362;"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane";0,00760534429599178
"125";125;"P04632";"P04632";"P04632";"CPNS1_HUMAN";"Calpain small subunit 1";"CAPNS1";1;2;0,000281666867568135;1;1;1;1;0,000350020841490127;0,00035689300876631;"extracellular vesicular exosome, plasma membrane, cytoplasm";0,000205549845837616
"126";126;"P04792";"P04792";"P04792";"HSPB1_HUMAN";"Heat shock protein beta-1";"HSPB1";5;10;0,00184113952459171;3;5;4;6;0,00183035288818252;0,00279943394193281;"spindle, Z disc, extracellular vesicular exosome, cytoskeleton, proteasome complex, cytosol, nucleus, plasma membrane, extracellular space";0,00102774922918808
"130";130;"P05023";"P05023-1";"P05023-1";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";19;40;0,00192986293351205;15;18;17;23;NA;NA;"T-tubule, endoplasmic reticulum, basolateral plasma membrane, melanosome, endosome, Golgi apparatus, sodium:potassium-exchanging ATPase complex, caveola, extracellular vesicular exosome";0,00411099691675231
"133";133;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";5;13;0,00296374036894847;4;5;7;6;0,00367247818028791;0,00385157018856527;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane";0,0013360739979445
"141";141;"P05534";"P05534,P30447";"P05534,P30447";"1A23_HUMAN, 1A24_HUMAN";"HLA class I histocompatibility antigen, A-23 alpha chain, HLA class I histocompatibility antigen, A-24 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;NA;"plasma membrane, ER to Golgi transport vesicle membrane, Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, extracellular vesicular exosome, early endosome membrane, phagocytic vesicle membrane";0
"142";142;"P05556";"P05556-1";"P05556-1";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";14;34;0,00160811309353436;14;13;18;16;NA;NA;"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface";0,00349434737923947
"146";146;"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";24;74;0,00527978952515241;24;24;36;38;0,0063837449502774;0,00687069641072986;"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane";0,00760534429599178
"147";147;"P06733";"P06733-1";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";11;28;0,00243505550026646;11;10;15;13;NA;NA;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space";0,00287769784172662
"148";148;"P06744";"P06744-1,P06744-2";"P06744-1,P06744-2";"G6PI_HUMAN";"Glucose-6-phosphate isomerase";"GPI";1;2;6,76404305629572e-05;1;1;1;1;NA;NA;"neuron projection, cytosol, nucleus, extracellular space, extracellular vesicular exosome, plasma membrane";0,000205549845837616
"155";155;"P07237";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";14;24;0,00178315087814788;13;9;14;10;0,00258519330171448;0,00188282138483014;"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome";0,00246659815005139
"156";156;"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";3;43;0,00927310054575285;3;3;21;22;0,0116750454631276;0,0115604518205985;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen";0,00441932168550874
"159";159;"P07900";"P07900-1,P07900-2";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";11;19;0,000712492642651239;9;10;9;10;NA;NA;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane";0,00195272353545735
"162";162;"P07948";"P07948-2";"P07948-2";"LYN_HUMAN";"Tyrosine-protein kinase Lyn";"LYN";8;16;0,00117948000794157;7;6;8;8;NA;NA;"mitochondrial intermembrane space, Golgi apparatus, perinuclear region of cytoplasm, mast cell granule, nucleus, cytosol, plasma membrane, mitochondrial crista, postsynaptic density, membrane raft, alpha2-beta1 integrin complex";0,00164439876670093
"166";166;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";23;58;0,000868696386801407;19;23;26;32;NA;NA;"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane";0,00596094552929085
"167";167;"P08238";"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";14;25;0,00195850794950268;13;10;13;12;0,00253213371993356;0,00238140361937517;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body";0,0025693730729702
"169";169;"P08575";"P08575-1,P08575-2";"P08575-1,P08575-2";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";50;143;0,002069517069149;47;49;69;74;NA;NA;"integral component of plasma membrane, membrane raft, extracellular vesicular exosome, focal adhesion, external side of plasma membrane";0,0146968139773895
"172";172;"P08648";"P08648";"P08648";"ITA5_HUMAN";"Integrin alpha-5";"ITGA5";11;19;0,000683626162848877;9;8;10;9;0,000894238184169248;0,000820615764675251;"synapse, alphav-beta3 integrin-vitronectin complex, ruffle, cytoplasm, external side of plasma membrane, integrin complex";0,00195272353545735
"176";176;"P08758";"P08758";"P08758";"ANXA5_HUMAN";"Annexin A5";"ANXA5";1;1;0,000117948000794157;NA;1;NA;1;NA;0,000298897894841784;"external side of plasma membrane, endothelial microparticle, cytoplasm, extracellular vesicular exosome";0,000102774922918808
"177";177;"P08865";"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";8;14;0,00179121031714516;7;7;7;7;0,00222589524961179;0,00226959757439185;"cytosolic small ribosomal subunit, 90S preribosome, nucleus, plasma membrane, extracellular vesicular exosome";0,00143884892086331
"180";180;"P09382";"P09382";"P09382";"LEG1_HUMAN";"Galectin-1";"LGALS1";2;4;0,00111832178530756;2;2;2;2;0,0013897123780645;0,00141699742739809;"nucleus, proteinaceous extracellular matrix, cell surface, cytoplasm, extracellular space";0,000411099691675231
"181";181;"P09429";"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";7;15;0,00263325769214861;7;6;8;7;0,00349044039141783;0,00311409899742138;"nucleoplasm, condensed chromosome, cell surface, extracellular space";0,00154162384378212
"182";182;"P09496";"P09496-2";"P09496-2";"CLCA_HUMAN";"Clathrin light chain A";"CLTA";1;2;0,000304381937533307;1;1;1;1;NA;NA;"clathrin coat of coated pit, cytosol, clathrin coat of trans-Golgi network vesicle, clathrin complex, clathrin-coated endocytic vesicle membrane, plasma membrane, trans-Golgi network membrane";0,000205549845837616
"183";183;"P09543";"P09543-1,P09543-2";"P09543-1,P09543-2";"CN37_HUMAN";"2',3'-cyclic-nucleotide 3'-phosphodiesterase";"CNP";3;6;0,000268955061193326;3;3;3;3;NA;NA;"pseudopodium, melanosome, mitochondrial outer membrane, myelin sheath abaxonal region, microtubule, extracellular vesicular exosome, myelin sheath adaxonal region, microvillus, mitochondrial inner membrane, plasma membrane, extracellular space, cytoplasm, perinuclear region of cytoplasm";0,000616649537512847
"191";191;"P10316";"P10316";"P10316";"1A69_HUMAN";"HLA class I histocompatibility antigen, A-69 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;NA;"plasma membrane, early endosome membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, Golgi membrane, extracellular vesicular exosome, ER to Golgi transport vesicle membrane";0
"192";192;"P10319";"P10319";"P10319";"1B58_HUMAN";"HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, cell surface";0
"193";193;"P10321";"P10321";"P10321";"1C07_HUMAN";"HLA class I histocompatibility antigen, Cw-7 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, extracellular vesicular exosome, cell surface, MHC class I protein complex, Golgi membrane, ER to Golgi transport vesicle membrane, early endosome membrane";0
"195";195;"P10586";"P10586-1,P10586-2";"P10586-1,P10586-2";"PTPRF_HUMAN";"Receptor-type tyrosine-protein phosphatase F";"PTPRF";4;6;5,93760255702099e-05;3;3;3;3;NA;NA;"extracellular vesicular exosome, integral component of plasma membrane";0,000616649537512847
"197";197;"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";38;144;0,00948524236753008;38;34;73;71;0,011950798853251;0,0118515884307248;"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol";0,0147995889003083
"198";198;"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";25;42;0,00253187848683249;19;22;19;23;0,00287884308742883;0,00347790028628398;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus";0,00431654676258993
"199";199;"P11142";"P11142-1";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";24;65;0,00455985577034011;22;22;31;34;NA;NA;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle";0,00668036998972251
"200";200;"P11169";"P11169,Q8TDB8-1,Q8TDB8-2";"P11169,Q8TDB8-1,Q8TDB8-2";"GTR14_HUMAN, GTR3_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 14, Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A14, SLC2A3";3;6;0,000147435000992696;3;3;3;3;0,000567372493060609;0,000578512054532486;"integral component of membrane, extracellular vesicular exosome, plasma membrane";0,000616649537512847
"201";201;"P11171";"P11171-1,P11171-2,P11171-3,P11171-4,P11171-5,P11171-6";"P11171-1,P11171-2,P11171-3,P11171-4,P11171-5,P11171-6";"41_HUMAN";"Protein 4.1";"EPB41";2;2;1,45614815795255e-05;NA;2;NA;2;NA;NA;"Golgi apparatus, spectrin, protein complex, extrinsic component of membrane, plasma membrane, spectrin-associated cytoskeleton, nucleus";0,000205549845837616
"203";203;"P11233";"P11233";"P11233";"RALA_HUMAN";"Ras-related protein Ral-A";"RALA";3;5;0,000916100977041993;3;2;3;2;0,00136610075999059;0,000928614818925932;"cytoplasmic vesicle membrane, extracellular vesicular exosome, midbody, cell surface, plasma membrane, cleavage furrow";0,000513874614594039
"206";206;"P11717";"P11717";"P11717";"MPRI_HUMAN";"Cation-independent mannose-6-phosphate receptor";"IGF2R";3;4;6,06075636356967e-05;3;NA;4;NA;0,000150631209184029;NA;"nuclear envelope lumen, extracellular vesicular exosome, endosome, late endosome, lysosomal membrane, clathrin coat, integral component of plasma membrane, extracellular space, trans-Golgi network transport vesicle, perinuclear region of cytoplasm, cell surface, endocytic vesicle";0,000411099691675231
"212";212;"P12814";"P12814-1,P12814-2,P12814-3";"P12814-1,P12814-2,P12814-3";"ACTN1_HUMAN";"Alpha-actinin-1";"ACTN1";1;2;4,83579247330302e-05;1;1;1;1;NA;NA;"fascia adherens, ruffle, pseudopodium, Z disc, plasma membrane, extracellular vesicular exosome, focal adhesion, cytosol, nucleus, cytoskeleton, platelet alpha granule lumen, dendritic spine";0,000205549845837616
"216";216;"P13164";"P13164,Q01628,Q01629";"P13164,Q01628,Q01629";"IFM1_HUMAN, IFM2_HUMAN, IFM3_HUMAN";"Interferon-induced transmembrane protein 1, Interferon-induced transmembrane protein 2, Interferon-induced transmembrane protein 3";"IFITM1, IFITM2, IFITM3";2;4;0,000387111387221847;2;2;2;2;0,000481054284714636;0,000490499109483954;"plasma membrane, integral component of membrane";0,000411099691675231
"217";217;"P13473";"P13473-1,P13473-2,P13473-3";"P13473-1,P13473-2,P13473-3";"LAMP2_HUMAN";"Lysosome-associated membrane glycoprotein 2";"LAMP2";2;3;9,20569762295856e-05;2;1;2;1;NA;NA;"extracellular vesicular exosome, integral component of membrane, lysosomal membrane, plasma membrane, phagocytic vesicle membrane, late endosome membrane, platelet dense granule membrane";0,000308324768756423
"218";218;"P13612";"P13612";"P13612";"ITA4_HUMAN";"Integrin alpha-4";"ITGA4";11;25;0,000914325587551601;11;8;13;12;0,00118165950751124;0,00111217821336478;"extracellular vesicular exosome, integrin complex, plasma membrane, external side of plasma membrane, cell surface";0,0025693730729702
"222";222;"P13647";"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";2;3;0,000331730757811747;1;2;1;2;0,000393847760562577;0,000432865734039856;"keratin filament, cytosol, plasma membrane, extracellular vesicular exosome, mitochondrion";0,000308324768756423
"223";223;"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";4;6;0,000361180480900766;3;3;3;3;0,000448830552724182;0,000457642709805603;"extracellular vesicular exosome, actin filament, actin filament bundle, ruffle membrane, phagocytic cup, plasma membrane, filopodium, focal adhesion, cytosol, ruffle, extracellular space";0,000616649537512847
"224";224;"P13987";"P13987";"P13987";"CD59_HUMAN";"CD59 glycoprotein";"CD59";1;4;0,00117948000794157;1;1;2;2;0,00146571227373991;0,00149448947420892;"anchored component of external side of plasma membrane, sarcolemma, extracellular vesicular exosome, compact myelin, extracellular space";0,000411099691675231
"225";225;"P14209";"P14209-1";"P14209-1";"CD99_HUMAN";"CD99 antigen";"CD99";2;4;0,000816072654143353;2;2;2;2;NA;NA;"integral component of plasma membrane, cytoplasm";0,000411099691675231
"227";227;"P14618";"P14618-1";"P14618-1";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";30;81;0,00575746173368086;30;28;40;41;NA;NA;"cytosol, mitochondrion, plasma membrane, nucleus, extracellular vesicular exosome, cilium";0,00832476875642343
"228";228;"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";27;58;0,00285755218896518;23;27;28;30;0,00343048704447658;0,00374353527786188;"cytosol, melanosome, midbody, extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum membrane, endocytic vesicle lumen, endoplasmic reticulum lumen, plasma membrane";0,00596094552929085
"233";233;"P15151";"P15151-1,P15151-2,P15151-3,P15151-4";"P15151-1,P15151-2,P15151-3,P15151-4";"PVR_HUMAN";"Poliovirus receptor";"PVR";4;7;0,000158395396749946;4;3;4;3;NA;NA;"plasma membrane, extracellular space, cell surface, cytoplasm, nucleus, integral component of membrane, cell junction";0,000719424460431655
"234";234;"P15153";"P15153";"P15153";"RAC2_HUMAN";"Ras-related C3 botulinum toxin substrate 2";"RAC2";3;5;0,00125096364478651;2;3;2;3;0,00117256981899193;0,00199265263227856;"extracellular vesicular exosome, cytosol, nuclear envelope, plasma membrane";0,000513874614594039
"235";235;"P15311";"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";5;8;0,000669078975520211;4;4;4;4;0,000834344850001495;0,000844907118926385;"cortical cytoskeleton, astrocyte projection, Schwann cell microvillus, nucleolus, cytosol, actin filament, uropod, microvillus, T-tubule, cell body, microspike, extracellular vesicular exosome, extrinsic component of membrane, ruffle membrane, ruffle, filopodium, microvillus membrane, apical plasma membrane, membrane raft, basolateral plasma membrane, cell tip, apical part of cell";0,000822199383350463
"239";239;"P16070";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"CD44_HUMAN";"CD44 antigen";"CD44";8;22;7,46050247610837e-05;8;8;12;10;NA;NA;"extracellular vesicular exosome, integral component of plasma membrane, basolateral plasma membrane, external side of plasma membrane, cell surface";0,00226104830421377
"240";240;"P16150";"P16150";"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";5;11;0,00103794240698858;5;4;6;5;0,00140708378279031;0,00119559157936714;"integral component of plasma membrane, uropod, cell surface, basement membrane, extracellular space, external side of plasma membrane, extracellular vesicular exosome";0,00113052415210689
"241";241;"P16188";"P16188";"P16188";"1A30_HUMAN";"HLA class I histocompatibility antigen, A-30 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;NA;"extracellular vesicular exosome, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, early endosome membrane, Golgi membrane, integral component of plasma membrane, ER to Golgi transport vesicle membrane, MHC class I protein complex";0
