"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5826.1.id.csv";"peptide.count.P5826.2.id.csv";"spectra.count.P5826.1.id.csv";"spectra.count.P5826.2.id.csv";"dNSAF.P5826.1.id.csv";"dNSAF.P5826.2.id.csv";"Go.Cc"
"19";"O14818";"O14818-1,O14818-2";"O14818-1,O14818-2";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";3;5;0,000380477421916634;3;2;3;2;NA;NA;"extracellular vesicular exosome, cytosol, proteasome core complex, nucleoplasm, proteasome core complex, alpha-subunit complex"
"20";"O14828";"O14828-1,O14828-2";"O14828-1,O14828-2";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";3;6;0,000326311471937724;3;2;4;2;NA;NA;"extracellular vesicular exosome, integral component of membrane, Golgi membrane"
"21";"O14929";"O14929-1";"O14929-1";"HAT1_HUMAN";"Histone acetyltransferase type B catalytic subunit";"HAT1";3;7;0,000630557331214584;3;3;4;3;NA;NA;"nucleoplasm, nuclear matrix, cytoplasm, nucleus"
"22";"O14950";"O14950,P19105,P24844-1";"O14950,P19105,P24844-1";"ML12A_HUMAN, ML12B_HUMAN, MYL9_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B, Myosin regulatory light polypeptide 9";"MYL12A, MYL12B, MYL9";3;6;0,000439728468980156;2;3;2;4;0,000546971344136175;0,00111542071544456;"myosin II complex, apical part of cell, Z disc, stress fiber, cytosol, extracellular vesicular exosome"
"23";"O14979";"O14979-1,O14979-2,O14979-3";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";6;12;0,000403394643985941;6;6;6;6;NA;NA;"cytoplasm, nucleus, spliceosomal complex"
"24";"O14980";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";9;16;0,000563859723684483;7;9;7;9;0,000613108402087282;0,000803759044952697;"Cajal body, annulate lamellae, ribonucleoprotein complex, kinetochore, nuclear envelope, cytosol, nucleoplasm, nucleolus"
"25";"O15031";"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";21;35;0,000718725576112379;16;19;16;19;0,000816588339667935;0,000988737323524509;"integral component of plasma membrane, intracellular, extracellular vesicular exosome"
"26";"O15042";"O15042-1,O15042-2,O15042-3";"O15042-1,O15042-2,O15042-3";"SR140_HUMAN";"U2 snRNP-associated SURP motif-containing protein";"U2SURP";1;1;1,22265501309135e-05;1;NA;1;NA;NA;NA;"nucleus"
"27";"O15126";"O15126-1";"O15126-1";"SCAM1_HUMAN";"Secretory carrier-associated membrane protein 1";"SCAMP1";1;2;0,000223333492627989;1;1;1;1;NA;NA;"integral component of membrane, Golgi apparatus, trans-Golgi network, recycling endosome membrane"
"28";"O15127";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";3;7;0,000803050218172981;3;3;3;4;0,000855370080723593;0,00116288542674007;"extracellular vesicular exosome, nucleus, Golgi apparatus, transport vesicle, recycling endosome membrane, integral component of membrane, trans-Golgi network membrane"
"29";"O15143";"O15143";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";4;4;0,000405842583377743;4;NA;4;NA;0,00100866220988553;NA;"Arp2/3 protein complex, cytoplasm, extracellular vesicular exosome"
"30";"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";2;5;0,000629056004235502;2;2;2;3;0,000625370570129027;0,00095647326349371;"focal adhesion, extracellular vesicular exosome, endosome, cell leading edge, cell projection, cytosol, Arp2/3 protein complex, plasma membrane, Golgi apparatus"
"31";"O15173";"O15173";"O15173";"PGRC2_HUMAN";"Membrane-associated progesterone receptor component 2";"PGRMC2";1;2;0,000338505473131212;1;1;1;1;0,000420652849862574;0,000428911777351439;"integral component of membrane"
"32";"O15260";"O15260-1,O15260-2";"O15260-1,O15260-2";"SURF4_HUMAN";"Surfeit locus protein 4";"SURF4";1;1;7,0154944710279e-05;1;NA;1;NA;NA;NA;"Golgi membrane, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, integral component of membrane"
"33";"O15269";"O15269-1";"O15269-1";"SPTC1_HUMAN";"Serine palmitoyltransferase 1";"SPTLC1";2;2;0,000159591375281734;2;NA;2;NA;NA;NA;"integral component of membrane, SPOTS complex"
"34";"O15270";"O15270";"O15270";"SPTC2_HUMAN";"Serine palmitoyltransferase 2";"SPTLC2";5;8;0,000537272032087261;4;4;4;4;0,000667655412949139;0,000680763888607622;"integral component of membrane, mitochondrion, serine C-palmitoyltransferase complex"
"35";"O15355";"O15355";"O15355";"PPM1G_HUMAN";"Protein phosphatase 1G";"PPM1G";9;23;0,00158992176894687;9;9;11;12;0,00188985611852179;0,00210213904064552;"cytoplasm, nucleus"
"36";"O15371";"O15371";"O15371";"EIF3D_HUMAN";"Eukaryotic translation initiation factor 3 subunit D";"EIF3D";6;13;0,00089537168486075;6;6;6;7;0,00102706845459147;0,00122177241687153;"cytosol, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex"
"37";"O15372";"O15372";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";3;5;0,000536127276337075;3;2;3;2;0,000799479422039949;0,000543450717894153;"cytosol, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex"
"38";"O15382";"O15382-1";"O15382-1";"BCAT2_HUMAN";"Branched-chain-amino-acid aminotransferase, mitochondrial";"BCAT2";2;2;0,000192568164561888;2;NA;2;NA;NA;NA;"mitochondrial matrix"
"39";"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";5;12;0,000974022200106583;4;4;6;6;0,00121039465186263;0,0012341590496693;"actin cytoskeleton, nuclear membrane, integral component of plasma membrane"
"40";"O43143";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";4;9;0,000427283323631661;3;4;4;5;0,000471977788776624;0,000601555511631264;"nucleolus, U12-type spliceosomal complex"
"41";"O43175";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";9;17;0,00120382199684843;9;7;10;7;0,0017599547001755;0,00125615625599549;"extracellular vesicular exosome, cytosol"
"42";"O43242";"O43242";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";1;3;0,000212041349742304;1;1;1;2;0,000175665890485682;0,000358229686701764;"extracellular vesicular exosome, nucleoplasm, proteasome accessory complex, cytosol"
"43";"O43324";"O43324";"O43324";"MCA3_HUMAN";"Eukaryotic translation elongation factor 1 epsilon-1";"EEF1E1";2;2;0,000433831727058967;2;NA;2;NA;0,00107822512091212;NA;"nucleus, cytosol"
"44";"O43390";"O43390-1";"O43390-1";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";11;21;0,00159649047520432;8;11;10;11;NA;NA;"nucleoplasm, cytoplasm, catalytic step 2 spliceosome"
"45";"O43399";"O43399-1,O43399-2,O43399-3,O43399-4,O43399-5";"O43399-1,O43399-2,O43399-3,O43399-4,O43399-5";"TPD54_HUMAN";"Tumor protein D54";"TPD52L2";4;5;0,000183220195408398;3;2;3;2;NA;NA;"perinuclear region of cytoplasm"
"46";"O43670";"O43670-1,O43670-2,O43670-3";"O43670-1,O43670-2,O43670-3";"ZN207_HUMAN";"Zinc finger protein 207";"ZNF207";1;3;7,89610047157533e-05;1;1;2;1;NA;NA;"nucleus"
"47";"O43684";"O43684-1,O43684-2";"O43684-1,O43684-2";"BUB3_HUMAN";"Mitotic checkpoint protein BUB3";"BUB3";5;8;0,000460284881147928;4;4;4;4;NA;NA;"nucleus, condensed chromosome kinetochore, cytosol, kinetochore"
"48";"O43699";"O43699-1,O43699-3";"O43699-1,O43699-3";"SIGL6_HUMAN";"Sialic acid-binding Ig-like lectin 6";"SIGLEC6";1;2;8,33186760576823e-05;1;1;1;1;NA;NA;"extracellular region, integral component of plasma membrane"
"49";"O43707";"O43707";"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";7;12;0,000852288517577973;6;6;6;6;0,00105911904616489;0,00107991336006817;"platelet alpha granule lumen, protein complex, nucleus, neuron projection, Z disc, extracellular vesicular exosome, cell-cell junction, stress fiber, cortical cytoskeleton, ribonucleoprotein complex, perinuclear region of cytoplasm, pseudopodium"
"50";"O43719";"O43719";"O43719";"HTSF1_HUMAN";"HIV Tat-specific factor 1";"HTATSF1";2;2;9,99824112692188e-05;2;NA;2;NA;0,000248491617269812;NA;"nucleus"
"51";"O43736";"O43736-1,O43736-2";"O43736-1,O43736-2";"ITM2A_HUMAN";"Integral membrane protein 2A";"ITM2A";5;8;0,000574043501963956;5;3;5;3;NA;NA;"integral component of membrane"
"52";"O43776";"O43776";"O43776";"SYNC_HUMAN";"Asparagine--tRNA ligase, cytoplasmic";"NARS";2;2;0,000137749489978577;NA;2;NA;2;NA;0,000349077833391865;"mitochondrion, extracellular vesicular exosome, cytosol"
"53";"O43809";"O43809";"O43809";"CPSF5_HUMAN";"Cleavage and polyadenylation specificity factor subunit 5";"NUDT21";3;4;0,00066508123795824;1;3;1;3;0,00041324046484297;0,00126406158170975;"centrosome, mRNA cleavage factor complex, paraspeckles"
"54";"O43837";"O43837-1";"O43837-1";"IDH3B_HUMAN";"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial";"IDH3B";2;2;0,000196069403917559;2;NA;2;NA;NA;NA;"mitochondrial matrix"
"55";"O60264";"O60264";"O60264";"SMCA5_HUMAN";"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5";"SMARCA5";2;5;0,000179388594363736;2;2;2;3;0,000178337615055806;0,000272758535216837;"chromatin silencing complex, nucleolus, NURF complex, RSF complex, nucleoplasm, condensed chromosome"
"56";"O60313";"O60313-1,O60313-2";"O60313-1,O60313-2";"OPA1_HUMAN";"Dynamin-like 120 kDa protein, mitochondrial";"OPA1";3;5;9,82900006617971e-05;3;2;3;2;NA;NA;"integral component of membrane, mitochondrial intermembrane space, dendrite, mitochondrial crista, mitochondrial outer membrane"
"57";"O60488";"O60488-1,O60488-2";"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";7;13;0,000409749032294749;4;7;4;9;NA;NA;"peroxisomal membrane, neuronal cell body, endoplasmic reticulum membrane, extracellular vesicular exosome, mitochondrial outer membrane, integral component of membrane, lipid particle"
"58";"O60506";"O60506-1";"O60506-1";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";10;19;0,00146762905643066;9;9;9;10;NA;NA;"catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm, GAIT complex, histone pre-mRNA 3'end processing complex, endoplasmic reticulum"
"59";"O60664";"O60664-1,O60664-3";"O60664-1,O60664-3";"PLIN3_HUMAN";"Perilipin-3";"PLIN3";2;2;8,69662678666592e-05;2;NA;2;NA;NA;NA;"lipid particle, endosome, Golgi apparatus, endosome membrane"
"60";"O60814";"O60814,P58876,P62807,Q93079,Q99877,Q99880";"O60814,P58876,P62807,Q93079,Q99877,Q99880";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1N_HUMAN";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-N";"HIST1H2BD, HIST1H2BF,HIST1H2BE,HIST1H2BC,HIST1H2BG,HIST1H2BI, HIST1H2BH, HIST1H2BK, HIST1H2BL, HIST1H2BN";2;5;0,00122316445268014;2;2;2;3;0,00134007979313363;0,0016700326822906;"nucleus, nucleosome"
"61";"O60832";"O60832-1";"O60832-1";"DKC1_HUMAN";"H/ACA ribonucleoprotein complex subunit 4";"DKC1";4;7;0,00051401463381111;3;4;3;4;NA;NA;"telomerase holoenzyme complex, cytoplasm, Cajal body, nucleolus, nucleoplasm"
"62";"O60841";"O60841";"O60841";"IF2P_HUMAN";"Eukaryotic translation initiation factor 5B";"EIF5B";3;4;0,000123748722144689;2;2;2;2;0,000153779648392384;0,000156798895654707;"cytosol"
"63";"O60884";"O60884";"O60884";"DNJA2_HUMAN";"DnaJ homolog subfamily A member 2";"DNAJA2";6;10;0,000916100977041993;4;6;4;6;0,000910733839993729;0,0013929222283889;"membrane, extracellular vesicular exosome"
"64";"O75131";"O75131";"O75131";"CPNE3_HUMAN";"Copine-3";"CPNE3";3;4;0,000281142348261677;2;2;2;2;0,000349369033591635;0,000356228403535832;"extracellular vesicular exosome, cytosol"
"65";"O75323";"O75323-1,O75323-2";"O75323-1,O75323-2";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";3;3;0,000222699022478477;3;NA;3;NA;NA;NA;"integral component of plasma membrane, mitochondrion"
"66";"O75348";"O75348";"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";1;2;0,000639717970408985;1;1;1;1;0,000794962589147068;0,000810570562282805;"vacuolar proton-transporting V-type ATPase complex, lysosomal membrane, plasma membrane, extracellular vesicular exosome, cytosol"
"67";"O75367";"O75367-1,O75367-2,O75367-3";"O75367-1,O75367-2,O75367-3";"H2AY_HUMAN";"Core histone macro-H2A.1";"H2AFY";4;7;0,00023674150697035;4;3;4;3;NA;NA;"condensed chromosome, sex chromatin, Barr body, nucleosome"
"68";"O75369";"O75369-1,O75369-2,O75369-3,O75369-6,O75369-7,O75369-8,O75369-9";"O75369-1,O75369-2,O75369-3,O75369-6,O75369-7,O75369-8,O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";2;2;4,14443397981005e-06;2;NA;2;NA;NA;NA;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"69";"O75390";"O75390";"O75390";"CISY_HUMAN";"Citrate synthase, mitochondrial";"CS";9;15;0,00121491502963938;7;8;7;8;0,00140909677818772;0,0016420141862553;"mitochondrial matrix, extracellular vesicular exosome"
"70";"O75396";"O75396";"O75396";"SC22B_HUMAN";"Vesicle-trafficking protein SEC22b";"SEC22B";2;2;0,000351101025619815;2;NA;2;NA;0,000872610097854456;NA;"Golgi apparatus, melanosome, integral component of membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, endoplasmic reticulum membrane, endoplasmic reticulum-Golgi intermediate compartment"
"71";"O75489";"O75489";"O75489";"NDUS3_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial";"NDUFS3";3;7;0,00100077091582921;3;2;5;2;0,00177662093786655;0,000724600957192204;"mitochondrial respiratory chain complex I"
"72";"O75531";"O75531";"O75531";"BAF_HUMAN";"Barrier-to-autointegration factor";"BANF1";2;5;0,00212041349742304;2;2;3;2;0,00316198602874227;0,00214937812021058;"cytosol, chromosome, nucleoplasm"
"73";"O75533";"O75533";"O75533";"SF3B1_HUMAN";"Splicing factor 3B subunit 1";"SF3B1";6;13;0,000376275830754364;5;6;6;7;0,000431620792266967;0,000513444236538034;"U12-type spliceosomal complex, nuclear speck, catalytic step 2 spliceosome, nucleoplasm"
"74";"O75592";"O75592-1,O75592-2";"O75592-1,O75592-2";"MYCB2_HUMAN";"Probable E3 ubiquitin-protein ligase MYCBP2";"MYCBP2";2;2;8,13434488235562e-06;NA;2;NA;2;NA;NA;"microtubule cytoskeleton, axon, nucleus"
"75";"O75643";"O75643-1";"O75643-1";"U520_HUMAN";"U5 small nuclear ribonucleoprotein 200 kDa helicase";"SNRNP200";14;24;0,000424082699484608;10;12;11;13;NA;NA;"nucleoplasm, catalytic step 2 spliceosome, U5 snRNP"
"76";"O75821";"O75821";"O75821";"EIF3G_HUMAN";"Eukaryotic translation initiation factor 3 subunit G";"EIF3G";5;12;0,00141537600952988;4;5;5;7;0,00146571227373991;0,00209228526389249;"cytosol, perinuclear region of cytoplasm, eukaryotic 48S preinitiation complex, eukaryotic translation initiation factor 3 complex, nucleus, eukaryotic 43S preinitiation complex"
"77";"O75822";"O75822";"O75822";"EIF3J_HUMAN";"Eukaryotic translation initiation factor 3 subunit J";"EIF3J";2;2;0,000292584188016512;NA;2;NA;2;NA;0,000741452142243186;"eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex, cytosol"
"78";"O75844";"O75844";"O75844";"FACE1_HUMAN";"CAAX prenyl protease 1 homolog";"ZMPSTE24";1;1;7,94597057981686e-05;1;NA;1;NA;0,00019748544319864;NA;"extracellular vesicular exosome, endoplasmic reticulum membrane, integral component of membrane, nuclear inner membrane"
"79";"O75915";"O75915";"O75915";"PRAF3_HUMAN";"PRA1 family protein 3";"ARL6IP5";2;5;0,00100381277271623;2;1;3;2;0,00149689764126629;0,00101752474839756;"integral component of membrane, endoplasmic reticulum membrane, endoplasmic reticulum"
"80";"O75937";"O75937";"O75937";"DNJC8_HUMAN";"DnaJ homolog subfamily C member 8";"DNAJC8";2;4;0,000596732968444745;2;2;2;2;0,000741546130587779;0,000756105346635343;"nucleoplasm"
"81";"O75947";"O75947-1";"O75947-1";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";10;24;0,00562633941676473;9;10;12;12;NA;NA;"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"82";"O75964";"O75964";"O75964";"ATP5L_HUMAN";"ATP synthase subunit g, mitochondrial";"ATP5L";3;6;0,00219864234490078;3;3;3;3;0,00273220151998119;0,00278584445677779;"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"83";"O76021";"O76021";"O76021";"RL1D1_HUMAN";"Ribosomal L1 domain-containing protein 1";"RSL1D1";3;3;0,000231081797474266;3;NA;3;NA;0,000574319911342984;NA;"nucleolus"
"84";"O76094";"O76094";"O76094";"SRP72_HUMAN";"Signal recognition particle 72 kDa protein";"SRP72";3;5;0,000281247095783384;3;2;3;2;0,000419399041070137;0,000285088901190375;"endoplasmic reticulum, cytosol, signal recognition particle, endoplasmic reticulum targeting, plasma membrane, nucleolus"
"85";"O94826";"O94826";"O94826";"TOM70_HUMAN";"Mitochondrial import receptor subunit TOM70";"TOMM70A";6;10;0,000620778951548192;3;6;4;6;0,00061714200999575;0,000943888088974055;"integral component of membrane, mitochondrial outer membrane translocase complex"
"86";"O95168";"O95168-1,O95168-2";"O95168-1,O95168-2";"NDUB4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4";"NDUFB4";1;1;0,000146292094008256;1;NA;1;NA;NA;NA;"mitochondrial respiratory chain complex I, integral component of membrane"
"87";"O95197";"O95197-1,O95197-2,O95197-3,O95197-4";"O95197-1,O95197-2,O95197-3,O95197-4";"RTN3_HUMAN";"Reticulon-3";"RTN3";2;6;5,48595352530961e-05;2;2;3;3;NA;NA;"endoplasmic reticulum membrane, extracellular space, Golgi membrane, integral component of membrane, endoplasmic reticulum"
"88";"O95202";"O95202-1";"O95202-1";"LETM1_HUMAN";"LETM1 and EF-hand domain-containing protein 1, mitochondrial";"LETM1";4;7;0,000357514914450488;3;4;3;4;NA;NA;"mitochondrial inner membrane, integral component of membrane"
"89";"O95297";"O95297-1,O95297-2,O95297-4";"O95297-1,O95297-2,O95297-4";"MPZL1_HUMAN";"Myelin protein zero-like protein 1";"MPZL1";2;5;0,00023384981570093;1;2;2;3;NA;NA;"integral component of plasma membrane"
"90";"O95299";"O95299";"O95299";"NDUAA_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial";"NDUFA10";2;2;0,000212638649319043;2;NA;2;NA;0,000528482171940023;NA;"mitochondrial respiratory chain complex I, mitochondrial matrix"
"91";"O95373";"O95373";"O95373";"IPO7_HUMAN";"Importin-7";"IPO7";6;9;0,000327254568677429;4;5;4;5;0,000361485878687299;0,000460728932318743;"Golgi apparatus, nuclear pore"
"92";"O95562";"O95562";"O95562";"SFT2B_HUMAN";"Vesicle transport protein SFT2B";"SFT2D2";1;1;0,000235896001588313;1;NA;1;NA;0,000586284909495963;NA;"integral component of membrane, extracellular vesicular exosome"
"93";"O95573";"O95573";"O95573";"ACSL3_HUMAN";"Long-chain-fatty-acid--CoA ligase 3";"ACSL3";1;3;0,000186751001257415;0;1;0;3;NA;0,000431741403660355;"endoplasmic reticulum, peroxisomal membrane, integral component of membrane, lipid particle, mitochondrial outer membrane, Golgi apparatus, endoplasmic reticulum membrane, perinuclear region of cytoplasm"
"94";"O95747";"O95747";"O95747";"OXSR1_HUMAN";"Serine/threonine-protein kinase OSR1";"OXSR1";1;1;7,16192794196017e-05;1;NA;1;NA;0,000177999213509211;NA;"extracellular vesicular exosome, cytoplasm"
"95";"O95758";"O95758-1,O95758-2,O95758-3,O95758-4,O95758-5,O95758-6";"O95758-1,O95758-2,O95758-3,O95758-4,O95758-5,O95758-6";"PTBP3_HUMAN";"Polypyrimidine tract-binding protein 3";"PTBP3";1;1;1,34679315794821e-05;0;1;0;1;NA;NA;"nucleus"
"96";"O95831";"O95831-1,O95831-3";"O95831-1,O95831-3";"AIFM1_HUMAN";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";12;25;0,000769644377123371;10;10;12;13;NA;NA;"perinuclear region of cytoplasm, mitochondrial inner membrane, nucleus, cytosol, mitochondrial intermembrane space"
"97";"P00338";"P00338-1,P00338-3";"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";9;21;0,00126190150247242;8;9;10;11;NA;NA;"extracellular vesicular exosome, cilium, mitochondrion, cytosol"
"98";"P00367";"P00367";"P00367";"DHE3_HUMAN";"Glutamate dehydrogenase 1, mitochondrial";"GLUD1";17;39;0,00263797679195533;16;16;20;19;0,00336220736628509;0,00325680860329399;"mitochondrial matrix"
"99";"P00387";"P00387-1,P00387-2,P00387-3";"P00387-1,P00387-2,P00387-3";"NB5R3_HUMAN";"NADH-cytochrome b5 reductase 3";"CYB5R3";3;7;0,000292584188016512;3;3;4;3;NA;NA;"lipid particle, mitochondrial outer membrane, mitochondrial inner membrane, endoplasmic reticulum membrane, hemoglobin complex, endoplasmic reticulum"
