"";"X";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5826.1.id.csv";"peptide.count.P5826.2.id.csv";"spectra.count.P5826.1.id.csv";"spectra.count.P5826.2.id.csv";"dNSAF.P5826.1.id.csv";"dNSAF.P5826.2.id.csv"
"27";"P38646";"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";19;41;0,002279054153784;18;18;21;20;0,00290120367585631;0,00281729974519502
"29";"Q14974";"Q14974";"Q14974";"IMB1_HUMAN";"Importin subunit beta-1";"KPNB1";19;40;0,00172344110749452;18;15;22;18;0,00235584803815729;0,00196535602087749
"31";"P27824";"P27824";"P27824";"CALX_HUMAN";"Calnexin";"CANX";17;42;0,00267773839640788;15;16;19;23;0,00301065223795224;0,00371602788181678
"32";"P35579-1";"P35579-1";"P35579";"MYH9_HUMAN";"Myosin-9";"MYH9";34;62;0,00156336953558081;30;28;32;30;NA;NA
"35";"P02786";"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";16;35;0,00173818106433494;14;16;17;18;0,00209828283398555;0,00226533141353773
"39";"P30101";"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";16;28;0,00209270116260523;12;15;12;16;0,00222904361630148;0,00303041033978205
"40";"P40939";"P40939";"P40939";"ECHA_HUMAN";"Trifunctional enzyme subunit alpha, mitochondrial";"HADHA";16;28;0,00138507744051854;13;11;15;13;0,00184414650431233;0,00162963989848207
"41";"P00505";"P00505";"P00505";"AATM_HUMAN";"Aspartate aminotransferase, mitochondrial";"GOT2";15;28;0,0024577071793387;13;11;15;13;0,00327228786695421;0,00289166335474842
"42";"P23284";"P23284";"P23284";"PPIB_HUMAN";"Peptidyl-prolyl cis-trans isomerase B";"PPIB";15;39;0,00681477337921793;13;15;20;19;0,00868570236290315;0,00841342222517615
"43";"P23396";"P23396";"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";15;40;0,00621289880726421;15;14;20;20;0,00772062432258058;0,00787220792998938
"44";"P78371-1,P78371-2";"P78371-1,P78371-2";"P78371";"TCPB_HUMAN";"T-complex protein 1 subunit beta";"CCT2";15;37;0,00130514423308674;15;14;19;18;NA;NA
"46";"P04040";"P04040";"P04040";"CATA_HUMAN";"Catalase";"CAT";14;28;0,00200533982374885;11;14;12;16;0,00213599056211053;0,00290390364628071
"47";"P07237";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";14;24;0,00178315087814788;13;9;14;10;0,00258519330171448;0,00188282138483014
"48";"P50990";"P50990";"P50990";"TCPQ_HUMAN";"T-complex protein 1 subunit theta";"CCT8";14;29;0,00199736760468937;12;14;14;15;0,00239649306071343;0,00261808375043899
"49";"P53396-1,P53396-2";"P53396-1,P53396-2";"P53396";"ACLY_HUMAN";"ATP-citrate synthase";"ACLY";14;29;0,000497074226780097;13;13;15;14;NA;NA
"50";"Q13435";"Q13435";"Q13435";"SF3B2_HUMAN";"Splicing factor 3B subunit 2";"SF3B2";14;21;0,000885598397024281;12;9;12;9;0,00125772852092989;0,000961816689546747
"51";"P04843";"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";13;24;0,00149232396391948;11;11;13;11;0,00200901583484613;0,00173331233911545
"52";"P07814";"P07814";"P07814";"SYEP_HUMAN";"Bifunctional glutamate/proline--tRNA ligase";"EPRS";13;22;0,000549175876713533;11;11;11;11;0,000682448042799534;0,000695846950954418
"53";"P08670";"P08670";"P08670";"VIME_HUMAN";"Vimentin";"VIM";13;24;0,00224336310065559;11;11;12;12;0,00278722439641527;0,00284420314404935
"54";"P17987";"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";13;27;0,00183286101953509;13;11;14;13;0,00236201114617079;0,00223635834989536
"55";"P27694";"P27694";"P27694";"RFA1_HUMAN";"Replication protein A 70 kDa DNA-binding subunit";"RPA1";13;20;0,00122543377448474;9;10;10;10;0,00152281794674276;0,00155271633684044
"57";"Q01813";"Q01813";"Q01813";"K6PP_HUMAN";"6-phosphofructokinase type C";"PFKP";13;27;0,00145739088179793;13;12;15;12;0,00199416635882981;0,00165918831422378
"58";"Q15233";"Q15233";"Q15233";"NONO_HUMAN";"Non-POU domain-containing octamer-binding protein";"NONO";13;27;0,00225770307806483;11;10;14;13;0,00290950583721065;0,00275472775971603
"59";"Q9P258";"Q9P258";"Q9P258";"RCC2_HUMAN";"Protein RCC2";"RCC2";13;30;0,00216915863529483;12;12;14;16;0,0025158586154616;0,00293171881530639
"60";"P39019";"P39019";"P39019";"RS19_HUMAN";"40S ribosomal protein S19";"RPS19";12;22;0,00572657879717836;11;10;12;10;0,00776322087056723;0,00659636733443938
"61";"P39023";"P39023";"P39023";"RL3_HUMAN";"60S ribosomal protein L3";"RPL3";15;36;0,00337161530806125;14;14;18;18;0,00418982764106296;0,00427208901808605
"62";"P46781";"P46781";"P46781";"RS9_HUMAN";"40S ribosomal protein S9";"RPS9";12;19;0,00369651466406429;8;11;8;11;0,00386827156780842;0,00542330200950041
"63";"P61247";"P61247";"P61247";"RS3A_HUMAN";"40S ribosomal protein S3a";"RPS3A";12;27;0,00386011638962694;10;11;13;14;0,00461921443845304;0,00507220670034543
"65";"Q1KMD3";"Q1KMD3";"Q1KMD3";"HNRL2_HUMAN";"Heterogeneous nuclear ribonucleoprotein U-like protein 2";"HNRNPUL2";12;23;0,0011621114937684;10;10;11;12;0,00138134061675086;0,00153650323452805
"66";"Q99613";"Q99613";"Q99613";"EIF3C_HUMAN";"Eukaryotic translation initiation factor 3 subunit C";"EIF3C,EIF3CL";12;28;0,00115751816770607;11;12;13;15;0,001335676464131;0,0015714237625855
"68";"P07954-1,P07954-2";"P07954-1,P07954-2";"P07954";"FUMH_HUMAN";"Fumarate hydratase, mitochondrial";"FH";11;18;0,000666059298602296;8;9;8;10;NA;NA
"69";"P08648";"P08648";"P08648";"ITA5_HUMAN";"Integrin alpha-5";"ITGA5";11;19;0,000683626162848877;9;8;10;9;0,000894238184169248;0,000820615764675251
"70";"P13612";"P13612";"P13612";"ITA4_HUMAN";"Integrin alpha-4";"ITGA4";11;25;0,000914325587551601;11;8;13;12;0,00118165950751124;0,00111217821336478
"71";"P14314-1,P14314-2";"P14314-1,P14314-2";"P14314";"GLU2B_HUMAN";"Glucosidase 2 subunit beta";"PRKCSH";11;23;0,000822061823716849;9;11;10;13;NA;NA
"72";"P17844";"P17844";"P17844";"DDX5_HUMAN";"Probable ATP-dependent RNA helicase DDX5";"DDX5";11;20;0,00199298365302318;11;8;11;9;0,00264549077177439;0,00235025618610329
"73";"P36578";"P36578";"P36578";"RL4_HUMAN";"60S ribosomal protein L4";"RPL4";11;23;0,00203301472094846;10;11;11;12;0,00241653733188032;0,0026879810683664
"74";"P40227";"P40227";"P40227";"TCPZ_HUMAN";"T-complex protein 1 subunit zeta";"CCT6A";14;30;0,00213239323469662;13;13;15;15;0,00264987529715689;0,00270190187427602
"76";"P50991";"P50991";"P50991";"TCPD_HUMAN";"T-complex protein 1 subunit delta";"CCT4";11;23;0,00189478835718649;11;9;14;9;0,00284259350058649;0,00189653209714082
"77";"P62269";"P62269";"P62269";"RS18_HUMAN";"40S ribosomal protein S18";"RPS18";11;21;0,00521454319300482;10;10;11;10;0,00678856210995326;0,00629258725982704
"78";"P63244";"P63244";"P63244";"GBLP_HUMAN";"Guanine nucleotide-binding protein subunit beta-2-like 1";"GNB2L1";11;25;0,00297660569827524;10;11;11;14;0,00325508340918894;0,0042241721416126
"79";"Q02878";"Q02878";"Q02878";"RL6_HUMAN";"60S ribosomal protein L6";"RPL6";11;18;0,00235896001588313;10;8;10;8;0,00325713838608868;0,00265687017637142
"80";"Q13740-1,Q13740-2";"Q13740-1,Q13740-2";"Q13740";"CD166_HUMAN";"CD166 antigen";"ALCAM";11;21;0,000679768923959461;10;9;11;10;NA;NA
"81";"Q15758-1";"Q15758-1";"Q15758";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";11;22;0,00153485013972433;11;9;11;11;NA;NA
"82";"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";10;22;0,00111009883100383;10;10;10;12;0,0012540853679058;0,00153444908581879
"83";"P08238";"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";14;25;0,00195850794950268;13;10;13;12;0,00253213371993356;0,00238140361937517
"84";"P17813-1,P17813-2";"P17813-1,P17813-2";"P17813";"EGLN_HUMAN";"Endoglin";"ENG";10;20;0,000573607298694986;6;8;9;11;NA;NA
"85";"P26641";"P26641";"P26641";"EF1G_HUMAN";"Elongation factor 1-gamma";"EEF1G";10;21;0,00181375415408863;10;8;11;10;0,00236123899476635;0,0021887260034181
"86";"P42765";"P42765";"P42765";"THIM_HUMAN";"3-ketoacyl-CoA thiolase, mitochondrial";"ACAA2";10;21;0,00199650016457615;10;8;12;9;0,00283543331544647;0,00216832729759279
"87";"P50895";"P50895";"P50895";"BCAM_HUMAN";"Basal cell adhesion molecule";"BCAM";10;19;0,00114191695036381;9;8;10;9;0,0014937195146394;0,00137074193812793
"88";"P54886-1,P54886-2";"P54886-1,P54886-2";"P54886";"P5CS_HUMAN";"Delta-1-pyrroline-5-carboxylate synthase";"ALDH18A1";10;14;0,000332331473935737;8;6;8;6;NA;NA
"89";"P62249";"P62249";"P62249";"RS16_HUMAN";"40S ribosomal protein S16";"RPS16";10;29;0,00749696881760118;9;10;15;14;0,00963756015609802;0,0091716614307616
"90";"Q06323";"Q06323";"Q06323";"PSME1_HUMAN";"Proteasome activator complex subunit 1";"PSME1";10;19;0,0028800154410782;9;7;10;9;0,00376729259113872;0,00345713227768811
"92";"Q86UE4";"Q86UE4";"Q86UE4";"LYRIC_HUMAN";"Protein LYRIC";"MTDH";10;19;0,0012321715546881;9;9;10;9;0,00161177981992017;0,00147908236622739
"93";"O14980";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";9;16;0,000563859723684483;7;9;7;9;0,000613108402087282;0,000803759044952697
"94";"O15355";"O15355";"O15355";"PPM1G_HUMAN";"Protein phosphatase 1G";"PPM1G";9;23;0,00158992176894687;9;9;11;12;0,00188985611852179;0,00210213904064552
"95";"O43175";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";9;17;0,00120382199684843;9;7;10;7;0,0017599547001755;0,00125615625599549
"96";"O75390";"O75390";"O75390";"CISY_HUMAN";"Citrate synthase, mitochondrial";"CS";9;15;0,00121491502963938;7;8;7;8;0,00140909677818772;0,0016420141862553
"97";"O75643-1";"O75643-1";"O75643";"U520_HUMAN";"U5 small nuclear ribonucleoprotein 200 kDa helicase";"SNRNP200";14;24;0,000424082699484608;10;12;11;13;NA;NA
"98";"P07900-1,P07900-2";"P07900-1,P07900-2";"P07900";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";11;19;0,000712492642651239;9;10;9;10;NA;NA
"102";"P46782";"P46782";"P46782";"RS5_HUMAN";"40S ribosomal protein S5";"RPS5";9;26;0,00481042826768325;9;9;14;12;0,00643763822191646;0,00562631331466888
"103";"Q01082-1,Q01082-2,Q01082-3";"Q01082-1,Q01082-2,Q01082-3";"Q01082";"SPTB2_HUMAN";"Spectrin beta chain, non-erythrocytic 1";"SPTBN1";9;13;6,91855165402836e-05;6;7;6;7;NA;NA
"104";"Q02338";"Q02338";"Q02338";"BDH_HUMAN";"D-beta-hydroxybutyrate dehydrogenase, mitochondrial";"BDH1";9;15;0,00165058426767333;6;8;6;9;0,00164091403240853;0,00250969660975026
"106";"Q13011";"Q13011";"Q13011";"ECH1_HUMAN";"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial";"ECH1";9;21;0,00241649562602662;9;8;11;10;0,0031459190265637;0,00291607702284668
"107";"Q15046-1,Q15046-2";"Q15046-1,Q15046-2";"Q15046";"SYK_HUMAN";"Lysine--tRNA ligase";"KARS";9;15;0,000474162817262941;7;7;8;7;NA;NA
"110";"P22234-1,P22234-2";"P22234-1,P22234-2";"P22234";"PUR6_HUMAN";"Multifunctional protein ADE2";"PAICS";8;18;0,000799271158322755;8;7;10;8;NA;NA
"111";"P23588";"P23588";"P23588";"IF4B_HUMAN";"Eukaryotic translation initiation factor 4B";"EIF4B";8;14;0,000864823311878595;6;7;7;7;0,00107469574244759;0,00109579588288968
"112";"P24539";"P24539";"P24539";"AT5F1_HUMAN";"ATP synthase subunit b, mitochondrial";"ATP5F1";8;17;0,00250639501687583;7;8;8;9;0,00293142454747981;0,00336260131697007
"113";"P26583";"P26583";"P26583";"HMGB2_HUMAN";"High mobility group protein B2";"HMGB2";8;16;0,00288944384720613;7;7;9;7;0,00403947497451764;0,00320349896863922
"114";"P27708";"P27708";"P27708";"PYR1_HUMAN";"CAD protein";"CAD";8;12;0,000203559695752612;6;5;7;5;0,000295118696015945;0,000214937812021058
"115";"P37268";"P37268";"P37268";"FDFT_HUMAN";"Squalene synthase";"FDFT1";8;14;0,00126716317399957;7;7;7;7;0,00157467409744719;0,00160559061018129
"116";"P46940";"P46940";"P46940";"IQGA1_HUMAN";"Ras GTPase-activating-like protein IQGAP1";"IQGAP1";8;18;0,000410006327443779;8;8;9;9;0,000509505292501018;0,000519508712820965
"117";"P51572-1,P51572-2";"P51572-1,P51572-2";"P51572";"BAP31_HUMAN";"B-cell receptor-associated protein 31";"BCAP31";8;17;0,0013041404965858;7;8;8;9;NA;NA
"118";"P60709,P63261";"P60709,P63261";"P60709";"ACTB_HUMAN, ACTG_HUMAN";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";10;47;0,00451512989592786;9;10;20;27;0,00525311278908383;0,00609689980557764
"119";"P61221";"P61221";"P61221";"ABCE1_HUMAN";"ATP-binding cassette sub-family E member 1";"ABCE1";8;15;0,000945159271806263;8;6;9;6;0,00140943283751951;0,000958070046905218
"120";"P61353";"P61353";"P61353";"RL27_HUMAN";"60S ribosomal protein L27";"RPL27";8;21;0,00582801886277009;8;8;11;10;0,00758721647583011;0,0070328916433361
"121";"P62805";"P62805";"P62805";"H4_HUMAN";"Histone H4";"HIST1H4J,HIST1H4D,HIST1H4K,HIST1H4C,HIST2H4A,HIST4H4,HIST1H4E,HIST1H4A,HIST1H4B,HIST1H4I,HIST2H4B,HIST1H4H,HIST1H4L,HIST1H4F";8;63;0,0230857446214582;8;8;32;31;0,0291434828797993;0,0287870593867039
"122";"P83731";"P83731";"P83731";"RL24_HUMAN";"60S ribosomal protein L24";"RPL24";8;15;0,00360605352746466;8;7;8;7;0,00477990244684607;0,00426453047417577
"123";"Q00325-1,Q00325-2";"Q00325-1,Q00325-2";"Q00325";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";8;17;0,000886239121989242;8;6;10;7;NA;NA
"124";"Q12874";"Q12874";"Q12874";"SF3A3_HUMAN";"Splicing factor 3A subunit 3";"SF3A3";8;12;0,000904032580937248;6;5;7;5;0,00131065688350395;0,000954564135223263
"125";"Q15029-1,Q15029-2";"Q15029-1,Q15029-2";"Q15029";"U5S1_HUMAN";"116 kDa U5 small nuclear ribonucleoprotein component";"EFTUD2";8;11;0,000219500851958033;5;6;5;6;NA;NA
"126";"Q15717";"Q15717";"Q15717";"ELAV1_HUMAN";"ELAV-like protein 1";"ELAVL1";8;17;0,00196821203779206;8;6;9;8;0,0025897247536018;0,0023471736527453
"128";"O43707";"O43707";"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";7;12;0,000852288517577973;6;6;6;6;0,00105911904616489;0,00107991336006817
"129";"O60488-1,O60488-2";"O60488-1,O60488-2";"O60488";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";7;13;0,000409749032294749;4;7;4;9;NA;NA
"130";"P00813";"P00813";"P00813";"ADA_HUMAN";"Adenosine deaminase";"ADA";7;13;0,00135169058761347;6;7;6;7;0,00155050554577445;0,00184443880012561
"131";"P09622";"P09622";"P09622";"DLDH_HUMAN";"Dihydrolipoyl dehydrogenase, mitochondrial";"DLD";7;16;0,00118643175651489;7;7;9;7;0,00165864493059762;0,00131538562759449
"133";"P17301";"P17301";"P17301";"ITA2_HUMAN";"Integrin alpha-2";"ITGA2";7;16;0,000511341036465776;7;7;9;7;0,000714860516235552;0,000566918953806602
"136";"P26373";"P26373";"P26373";"RL13_HUMAN";"60S ribosomal protein L13";"RPL13";7;16;0,00286205575386768;6;7;8;8;0,00355660987751105;0,00362643891372023
"137";"P27797";"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";7;14;0,00126716317399957;5;7;6;8;0,00134972065495473;0,00183496069735004
"139";"P48047";"P48047";"P48047";"ATPO_HUMAN";"ATP synthase subunit O, mitochondrial";"ATP5O";7;18;0,00318957973978564;7;6;9;9;0,00396361628955017;0,00404143632462131
"140";"P48643";"P48643";"P48643";"TCPE_HUMAN";"T-complex protein 1 subunit epsilon";"CCT5";7;11;0,000902853023367252;4;6;4;7;0,000809167096285248;0,00146962735726275
"141";"P49792";"P49792";"P49792";"RBP2_HUMAN";"E3 SUMO-protein ligase RanBP2";"RANBP2";7;8;9,36559807794791e-05;4;4;4;4;0,000116384101140638;0,000118669139391279
"142";"P55060-1,P55060-3";"P55060-1,P55060-3";"P55060";"XPO2_HUMAN";"Exportin-2";"CSE1L";8;12;0,000233223647296375;4;6;5;7;NA;NA
"145";"P61769";"P61769";"P61769";"B2MG_HUMAN";"Beta-2-microglobulin";"B2M";7;23;0,007294935175168;6;7;10;13;0,00788282231255076;0,0104488675843851
"146";"P62081";"P62081";"P62081";"RS7_HUMAN";"40S ribosomal protein S7";"RPS7";7;17;0,00330740785732068;6;7;9;8;0,00435180551378447;0,00394421964327303
"150";"P62906";"P62906";"P62906";"RL10A_HUMAN";"60S ribosomal protein L10a";"RPL10A";7;19;0,00330471817893305;6;7;10;9;0,00432283804236655;0,00396693980250847
"151";"P62937";"P62937";"P62937";"PPIA_HUMAN";"Peptidyl-prolyl cis-trans isomerase A";"PPIA";7;11;0,00251622401694201;7;4;7;4;0,00397963090082108;0,00231872306301505
"152";"P67809";"P67809";"P67809";"YBOX1_HUMAN";"Nuclease-sensitive element-binding protein 1";"YBX1";7;17;0,00282908784973638;7;7;9;8;0,00379012466744865;0,00330632733059554
"153";"P98172";"P98172";"P98172";"EFNB1_HUMAN";"Ephrin-B1";"EFNB1";7;14;0,00152718798716133;7;7;7;7;0,00189780086310832;0,00193506151573872
"154";"Q14839-1,Q14839-2";"Q14839-1,Q14839-2";"Q14839";"CHD4_HUMAN";"Chromodomain-helicase-DNA-binding protein 4";"CHD4";8;12;0,00011844150707363;5;6;5;7;NA;NA
"156";"Q92945";"Q92945";"Q92945";"FUBP2_HUMAN";"Far upstream element-binding protein 2";"KHSRP";7;12;0,000637018738466331;5;7;5;7;0,000659673597182518;0,000941675505549362
"157";"Q9HB71-1";"Q9HB71-1";"Q9HB71";"CYBP_HUMAN";"Calcyclin-binding protein";"CACYBP";7;13;0,0021520336987004;7;6;7;6;NA;NA
"158";"Q9P2B2";"Q9P2B2";"Q9P2B2";"FPRP_HUMAN";"Prostaglandin F2 receptor negative regulator";"PTGFRN";7;12;0,000515267716779933;4;7;5;7;0,000533592636628863;0,00076169656933515
"159";"Q9Y230";"Q9Y230";"Q9Y230";"RUVB2_HUMAN";"RuvB-like 2";"RUVBL2";7;15;0,00122278704926987;7;6;7;8;0,00141822699489304;0,00165265358703017
"160";"O00567";"O00567";"O00567";"NOP56_HUMAN";"Nucleolar protein 56";"NOP56";6;10;0,000635410105288385;4;6;4;6;0,000631687444574775;0,000966134609589606
"161";"O14979-1,O14979-2,O14979-3";"O14979-1,O14979-2,O14979-3";"O14979";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";6;12;0,000403394643985941;6;6;6;6;NA;NA
"162";"O15371";"O15371";"O15371";"EIF3D_HUMAN";"Eukaryotic translation initiation factor 3 subunit D";"EIF3D";6;13;0,00089537168486075;6;6;6;7;0,00102706845459147;0,00122177241687153
"163";"O60884";"O60884";"O60884";"DNJA2_HUMAN";"DnaJ homolog subfamily A member 2";"DNAJA2";6;10;0,000916100977041993;4;6;4;6;0,000910733839993729;0,0013929222283889
"165";"O94826";"O94826";"O94826";"TOM70_HUMAN";"Mitochondrial import receptor subunit TOM70";"TOMM70A";6;10;0,000620778951548192;3;6;4;6;0,00061714200999575;0,000943888088974055
"166";"O95373";"O95373";"O95373";"IPO7_HUMAN";"Importin-7";"IPO7";6;9;0,000327254568677429;4;5;4;5;0,000361485878687299;0,000460728932318743
"167";"P07195";"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";6;14;0,00167246027473391;6;5;7;7;0,00208163152085921;0,0021159504997449
"168";"P08708,P0CW22";"P08708,P0CW22";"P08708";"RS17_HUMAN, RS17L_HUMAN";"40S ribosomal protein S17, 40S ribosomal protein S17-like";"RPS17, RPS17L";6;14;0,00195706312428823;6;5;8;6;0,00277942475612901;0,00212549614109713
"169";"P18621";"P18621";"P18621";"RL17_HUMAN";"60S ribosomal protein L17";"RPL17";6;13;0,00266665045273745;5;5;7;6;0,00356869075345369;0,00311893455487079
"170";"P22087";"P22087";"P22087";"FBRL_HUMAN";"rRNA 2'-O-methyltransferase fibrillarin";"FBL";6;10;0,00117580561539346;5;4;6;4;0,0017533754302683;0,00119186699500774
"171";"P24557";"P24557";"P24557";"THAS_HUMAN";"Thromboxane-A synthase";"TBXAS1";6;11;0,00077894364501957;6;5;6;5;0,0010559728201053;0,000897254468568208
"172";"P26599-1,P26599-2,P26599-3";"P26599-1,P26599-2,P26599-3";"P26599";"PTBP1_HUMAN";"Polypyrimidine tract-binding protein 1";"PTBP1";6;10;0,000280011232838949;6;4;6;4;NA;NA
"173";"P27348";"P27348";"P27348";"1433T_HUMAN";"14-3-3 protein theta";"YWHAQ";6;13;0,00242719612636919;6;5;8;5;0,00368585756435231;0,00238404645010532
"174";"P27635";"P27635";"P27635";"RL10_HUMAN";"60S ribosomal protein L10";"RPL10";10;18;0,00317467516156234;8;9;9;9;0,00394509471810368;0,00402255110815111
"175";"P30048";"P30048";"P30048";"PRDX3_HUMAN";"Thioredoxin-dependent peroxide reductase, mitochondrial";"PRDX3";6;13;0,00191665501290504;6;6;6;7;0,00219856841060986;0,00261535657986561
"176";"P31689";"P31689";"P31689";"DNJA1_HUMAN";"DnaJ homolog subfamily A member 1";"DNAJA1";6;14;0,00133100010971743;6;6;6;8;0,00141771665772324;0,0019274020423047
"177";"P32942";"P32942";"P32942";"ICAM3_HUMAN";"Intercellular adhesion molecule 3";"ICAM3";6;13;0,000897008561798339;6;5;7;6;0,00120043710902281;0,00104914800383222
"179";"P48735";"P48735";"P48735";"IDHP_HUMAN";"Isocitrate dehydrogenase [NADP], mitochondrial";"IDH2";6;14;0,00116904213176509;5;6;7;7;0,00145274136866256;0,0014812639036407
"180";"P50914";"P50914";"P50914";"RL14_HUMAN";"60S ribosomal protein L14";"RPL14";6;16;0,00280880820495852;6;6;8;8;0,00349044039141783;0,00355897028276729
