"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5571";"Spectra.Count.P5571";"DNSAF.P5571";"Unspecific.Spectra.Count";"Go.Cc";"matched_mask";"norm.sc"
"23";23;"P04908";"P04908,Q7L7L0,Q93077";"H2A1B_HUMAN, H2A1C_HUMAN, H2A3_HUMAN";"Histone H2A type 1-B/E, Histone H2A type 1-C, Histone H2A type 3";"HIST1H2AB,HIST1H2AE, HIST1H2AC, HIST3H2A";1;2;"0.00366886518952679";1;2;"0.00455439293852097";40;"nucleus, nucleosome, extracellular vesicular exosome";FALSE;0,000975609756097561
"26";26;"P05387";"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";2;2;"0.00287128580049923";2;2;"0.00356430751710337";0;"extracellular vesicular exosome, cytosolic large ribosomal subunit";FALSE;0,000975609756097561
"27";27;"P05787";"P05787";"K2C8_HUMAN";"Keratin, type II cytoskeletal 8";"KRT8";1;1;"3.71204241960948E-4";1;1;"4.60799154780072E-4";2;"intermediate filament, nucleoplasm, keratin filament, Z disc, cytoplasm, nuclear matrix, sarcolemma, extracellular vesicular exosome, costamere, dystrophin-associated glycoprotein complex";FALSE;0,00048780487804878
"29";29;"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";5;8;"0.00249677026130368";5;8;"0.00309939784095945";0;"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane";FALSE;0,00390243902439024
"30";30;"P06733";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";10;15;"0.00570618433854973";10;15;"0";0;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space";FALSE;0,00731707317073171
"32";32;"P06753";"P06753-2,P06753-3";"TPM3_HUMAN";"Tropomyosin alpha-3 chain";"TPM3";3;5;"0.00269905198173186";3;5;"0";6;"cytosol, stress fiber, extracellular vesicular exosome, muscle thin filament tropomyosin";FALSE;0,0024390243902439
"33";33;"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";3;3;"0.00148292455265304";3;3;"0.00184084744521057";0;"extracellular vesicular exosome, cytosol, mitochondrion";FALSE;0,00146341463414634
"34";34;"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";3;5;"0.00162498950323529";3;5;"0.00201720159678586";0;"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome";FALSE;0,0024390243902439
"35";35;"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";1;2;"0.00337847238495035";1;2;"0.00419391009975773";21;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen";FALSE;0,000975609756097561
"36";36;"P07900";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";9;14;"0.00260618617148409";9;14;"0";19;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane";FALSE;0,00682926829268293
"37";37;"P07910";"P07910-1,P07910-2";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";9;16;"0.00431631198767858";9;16;"0";0;"catalytic step 2 spliceosome, nucleoplasm, extracellular vesicular exosome";FALSE;0,00780487804878049
"38";38;"P07954";"P07954-1,P07954-2";"FUMH_HUMAN";"Fumarate hydratase, mitochondrial";"FH";3;3;"4.8558509861384E-4";3;3;"0";0;"tricarboxylic acid cycle enzyme complex, extracellular vesicular exosome, mitochondrial matrix";FALSE;0,00146341463414634
"39";39;"P08107";"P08107-1";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";6;9;"0.00559738107742305";6;9;"0";25;"blood microparticle, mitochondrion, ribonucleoprotein complex, perinuclear region of cytoplasm, endoplasmic reticulum, extracellular vesicular exosome, aggresome, cytosol, nuclear speck";FALSE;0,00439024390243902
"40";40;"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";9;15;"0.00590951372318246";9;15;"0.00733585078235769";21;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body";FALSE;0,00731707317073171
"42";42;"P08670";"P08670";"VIME_HUMAN";"Vimentin";"VIM";16;28;"0.0102507778471328";16;28;"0.012724934776726";1;"cell projection, peroxisome, cytosol, extracellular vesicular exosome, intermediate filament, cell leading edge";FALSE;0,0136585365853659
"43";43;"P08779";"P08779";"K1C16_HUMAN";"Keratin, type I cytoskeletal 16";"KRT16";1;1;"4.75972324222676E-4";1;1;"5.90854359696647E-4";4;"intermediate filament, extracellular vesicular exosome";FALSE;0,00048780487804878
"44";44;"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";2;4;"0.00375418763579486";2;4;"0.0046603090533703";2;"nucleoplasm, condensed chromosome, cell surface, extracellular space";FALSE;0,00195121951219512
"45";45;"P09651";"P09651-1,P09651-2,P09651-3";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";8;15;"0.00221907168721378";8;15;"0";0;"extracellular vesicular exosome, intermediate filament cytoskeleton, nucleolus, catalytic step 2 spliceosome, cytoplasm, nucleoplasm";FALSE;0,00731707317073171
"48";48;"P0C0S8";"P0C0S8,P20671,Q16777,Q6FI13,Q96KK5,Q99878,Q9BTM1-1,Q9BTM1-2";"H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A1_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A.J";"H2AFJ, HIST1H2AD, HIST1H2AH, HIST1H2AJ, HIST1H2AM,HIST1H2AL,HIST1H2AG,HIST1H2AI,HIST1H2AK, HIST2H2AA3,HIST2H2AA4, HIST2H2AC";1;2;"0.00138514755461321";1;2;"0.00229188805938475";40;"extracellular vesicular exosome, nucleosome, nucleus";FALSE;0,000975609756097561
"50";50;"P0CG47";"P0CG47,P0CG48,P62979,P62987";"RL40_HUMAN, RS27A_HUMAN, UBB_HUMAN, UBC_HUMAN";"Polyubiquitin-B, Polyubiquitin-C, Ubiquitin-40S ribosomal protein S27a, Ubiquitin-60S ribosomal protein L40";"RPS27A, UBA52, UBB, UBC";5;20;"0.00275624262986153";5;20;"0.00342149719922277";0;"cytosol, nucleoplasm, endocytic vesicle membrane, endosome membrane, plasma membrane";FALSE;0,00975609756097561
"52";52;"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";16;36;"0.0103727078656778";16;36;"0.0128762941717347";0;"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol";FALSE;0,0175609756097561
"53";53;"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";19;34;"0.00907794175085742";19;34;"0.0112690196206807";5;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus";FALSE;0,0165853658536585
"54";54;"P11142";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";18;49;"0.0163038792254384";18;49;"0";19;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle";FALSE;0,0239024390243902
"59";59;"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";11;18;"0.0034636139901127";11;18;"0.00429960172517714";0;"polysome, ribonucleoprotein complex, extracellular vesicular exosome, cytosol";FALSE;0,00878048780487805
"60";60;"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";6;9;"0.00346954483598618";6;9;"0.00430696405689833";4;"cytoplasm, extracellular space, keratin filament, intermediate filament, extracellular vesicular exosome";FALSE;0,00439024390243902
"61";61;"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";1;1;"3.03884150622268E-4";1;1;"3.77230494506398E-4";2;"keratin filament, cytosol, plasma membrane, extracellular vesicular exosome, mitochondrion";FALSE;0,00048780487804878
"62";62;"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";7;9;"0.00236984115112974";7;9;"0.00294183275933173";0;"extracellular vesicular exosome, actin filament, actin filament bundle, ruffle membrane, phagocytic cup, plasma membrane, filopodium, focal adhesion, cytosol, ruffle, extracellular space";FALSE;0,00439024390243902
"63";63;"P14317";"P14317";"HCLS1_HUMAN";"Hematopoietic lineage cell-specific protein";"HCLS1";2;2;"6.79419479541998E-4";2;2;"8.43406099726106E-4";0;"plasma membrane, transcription factor complex, mitochondrion, cytoplasm, nucleus";FALSE;0,000975609756097561
"64";64;"P14618";"P14618-1,P14618-2";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";16;31;"0.00481927207098858";16;31;"0";0;"cytosol, mitochondrion, plasma membrane, nucleus, extracellular vesicular exosome, cilium";FALSE;0,0151219512195122
"65";65;"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";7;11;"0.00243560070537606";7;11;"0.00302346422683689";2;"cytosol, melanosome, midbody, extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum membrane, endocytic vesicle lumen, endoplasmic reticulum lumen, plasma membrane";FALSE;0,00536585365853659
"67";67;"P14866";"P14866-1,P14866-2";"HNRPL_HUMAN";"Heterogeneous nuclear ribonucleoprotein L";"HNRNPL";5;5;"7.00759480172774E-4";5;5;"0";0;"extracellular vesicular exosome, pronucleus, ribonucleoprotein complex, cytoplasm, nucleoplasm";FALSE;0,0024390243902439
"69";69;"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";4;5;"0.0016296655755527";4;5;"0.00202300629923261";8;"cortical cytoskeleton, astrocyte projection, Schwann cell microvillus, nucleolus, cytosol, actin filament, uropod, microvillus, T-tubule, cell body, microspike, extracellular vesicular exosome, extrinsic component of membrane, ruffle membrane, ruffle, filopodium, microvillus membrane, apical plasma membrane, membrane raft, basolateral plasma membrane, cell tip, apical part of cell";FALSE;0,0024390243902439
"72";72;"P16949";"P16949-1,P16949-2";"STMN1_HUMAN";"Stathmin";"STMN1";8;14;"0.00775632573624791";8;14;"0";0;"membrane, microtubule, intracellular, cytosol, extracellular vesicular exosome";FALSE;0,00682926829268293
"73";73;"P17066";"P17066";"HSP76_HUMAN";"Heat shock 70 kDa protein 6";"HSPA6";1;1;"3.88752206389825E-4";1;1;"4.82582545870166E-4";16;"blood microparticle, extracellular vesicular exosome";FALSE;0,00048780487804878
"74";74;"P17844";"P17844";"DDX5_HUMAN";"Probable ATP-dependent RNA helicase DDX5";"DDX5";9;14;"0.00407817669682742";9;14;"0.00506249703671102";2;"catalytic step 2 spliceosome, extracellular vesicular exosome, nucleolus";FALSE;0,00682926829268293
"75";75;"P18077";"P18077";"RL35A_HUMAN";"60S ribosomal protein L35a";"RPL35A";3;4;"0.00600359758286202";3;4;"0.00745264299030704";0;"cytosolic large ribosomal subunit, extracellular vesicular exosome";FALSE;0,00195121951219512
"77";77;"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";13;20;"0.0046506741839072";13;20;"0.00577317414742095";0;"ribonucleoprotein complex, nucleoplasm, extracellular vesicular exosome, nucleolus, cell cortex";FALSE;0,00975609756097561
"80";80;"P21333";"P21333-1,P21333-2";"FLNA_HUMAN";"Filamin-A";"FLNA";4;5;"1.55930235671237E-4";4;5;"0";0;"cytosol, plasma membrane, dendritic shaft, nucleus, cortical cytoskeleton, actin filament, perinuclear region of cytoplasm, apical dendrite, extracellular vesicular exosome, trans-Golgi network, Myb complex, actin cytoskeleton, neuronal cell body";FALSE;0,0024390243902439
"81";81;"P21796";"P21796";"VDAC1_HUMAN";"Voltage-dependent anion-selective channel protein 1";"VDAC1";7;11;"0.00641727303468467";7;11;"0.00796616432709499";0;"mitochondrial outer membrane, mitochondrial inner membrane, pore complex, extracellular vesicular exosome, mitochondrial nucleoid, plasma membrane";FALSE;0,00536585365853659
"86";86;"P23284";"P23284";"PPIB_HUMAN";"Peptidyl-prolyl cis-trans isomerase B";"PPIB";6;8;"0.00611477531587798";6;8;"0.00759065489753495";0;"endoplasmic reticulum lumen, extracellular vesicular exosome, melanosome, macromolecular complex";FALSE;0,00390243902439024
"87";87;"P23396";"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";6;11;"0.00747361427496198";6;11;"0.00927746709698717";0;"ruffle membrane, nucleus, extracellular vesicular exosome, cytosolic small ribosomal subunit";FALSE;0,00536585365853659
"88";88;"P23528";"P23528,Q9Y281-1";"COF1_HUMAN, COF2_HUMAN";"Cofilin-1, Cofilin-2";"CFL1, CFL2";2;3;"0.00149185783309071";2;3;"0.0037038737753032";0;"ruffle membrane, extracellular space, cytoplasm, extracellular vesicular exosome, nucleus, cortical actin cytoskeleton, lamellipodium membrane, nuclear matrix";FALSE;0,00146341463414634
"90";90;"P24752";"P24752";"THIL_HUMAN";"Acetyl-CoA acetyltransferase, mitochondrial";"ACAT1";5;8;"0.00309318845018652";5;8;"0.00383976922217225";0;"mitochondrial matrix, mitochondrial inner membrane, extracellular vesicular exosome";FALSE;0,00390243902439024
"92";92;"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";13;21;"0.00626957975425464";13;21;"0.00778282337595356";0;"mitochondrial matrix, plasma membrane, mitochondrial proton-transporting ATP synthase complex, proton-transporting ATP synthase complex, catalytic core F(1), extracellular vesicular exosome";FALSE;0,0102439024390244
"93";93;"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";23;46;"0.0152267817173652";23;46;"0.0189019611099183";8;"apical plasma membrane, apical part of cell, basolateral plasma membrane, filopodium, microvillus membrane, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleolus, uropod, extrinsic component of membrane, plasma membrane, microvillus, blood microparticle";FALSE;0,0224390243902439
"95";95;"P26583";"P26583";"HMGB2_HUMAN";"High mobility group protein B2";"HMGB2";4;5;"0.00482745419674578";4;5;"0.00599262228752759";2;"extracellular space, nucleoplasm, condensed chromosome, perinuclear region of cytoplasm, protein complex";FALSE;0,0024390243902439
"97";97;"P27348";"P27348";"1433T_HUMAN";"14-3-3 protein theta";"YWHAQ";2;3;"0.00281342060196876";2;3;"0.00349247580948828";5;"cytosol, protein complex, extracellular vesicular exosome, cytoplasmic vesicle membrane";FALSE;0,00146341463414634
"98";98;"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";2;2;"7.91841407811537E-4";2;2;"9.82962504716756E-4";0;"endocytic vesicle lumen, acrosomal vesicle, nucleus, cytosol, extracellular space, endoplasmic reticulum lumen, perinuclear region of cytoplasm, Golgi apparatus, external side of plasma membrane, sarcoplasmic reticulum lumen, proteinaceous extracellular matrix, polysome, MHC class I peptide loading complex, extracellular vesicular exosome, cell surface, integral component of lumenal side of endoplasmic reticulum membrane";FALSE;0,000975609756097561
"99";99;"P27816";"P27816-1,P27816-6";"MAP4_HUMAN";"Microtubule-associated protein 4";"MAP4";2;3;"6.01923195156739E-4";2;3;"0";9;"microtubule associated complex, microtubule, mitotic spindle, cytoplasm, plasma membrane";FALSE;0,00146341463414634
"100";100;"P27816";"P27816-5";"MAP4_HUMAN";"Microtubule-associated protein 4";"MAP4";1;2;"8.02564260208985E-4";1;2;"0";9;"microtubule associated complex, microtubule, mitotic spindle, cytoplasm, plasma membrane";FALSE;0,000975609756097561
"101";101;"P29401";"P29401";"TKT_HUMAN";"Transketolase";"TKT";3;6;"0.0015900378831015";3;6;"0.00197381395409416";0;"extracellular vesicular exosome, cytosol, nucleus, peroxisome";FALSE;0,00292682926829268
"104";104;"P30050";"P30050-1";"RL12_HUMAN";"60S ribosomal protein L12";"RPL12";3;6;"0.00600359758286202";3;6;"0";0;"extracellular vesicular exosome, cytosolic large ribosomal subunit";FALSE;0,00292682926829268
"105";105;"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";11;15;"0.00490392871867442";11;15;"0.00608755491782506";0;"endoplasmic reticulum lumen, cell surface, melanosome, extracellular vesicular exosome";FALSE;0,00731707317073171
"106";106;"P31146";"P31146";"COR1A_HUMAN";"Coronin-1A";"CORO1A";5;9;"0.0032231895916667";5;9;"0.0040011478093297";0;"phagocytic cup, immunological synapse, phagocytic vesicle, extracellular vesicular exosome, phagocytic vesicle membrane, cortical actin cytoskeleton, lamellipodium, actin filament";FALSE;0,00439024390243902
"107";107;"P31689";"P31689";"DNJA1_HUMAN";"DnaJ homolog subfamily A member 1";"DNAJA1";2;2;"8.31732662613126E-4";2;2;"0.00103248202636496";0;"extracellular vesicular exosome, membrane";FALSE;0,000975609756097561
"111";111;"P31946";"P31946-1,P31946-2";"1433B_HUMAN";"14-3-3 protein beta/alpha";"YWHAB";1;2;"0.0012024481947382";1;2;"0";7;"melanosome, perinuclear region of cytoplasm, extracellular vesicular exosome, cytosol, cytoplasmic vesicle membrane, transcriptional repressor complex";FALSE;0,000975609756097561
"113";113;"P32119";"P32119-1";"PRDX2_HUMAN";"Peroxiredoxin-2";"PRDX2";1;2;"0.00189002146127138";1;2;"0";2;"cytosol, cytoplasm, extracellular vesicular exosome";FALSE;0,000975609756097561
"116";116;"P34897";"P34897-1,P34897-2,P34897-3";"GLYM_HUMAN";"Serine hydroxymethyltransferase, mitochondrial";"SHMT2";4;4;"4.36769665419856E-4";4;4;"0";0;"extracellular vesicular exosome, microtubule cytoskeleton, mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial nucleoid";FALSE;0,00195121951219512
"118";118;"P35232";"P35232";"PHB_HUMAN";"Prohibitin";"PHB";12;25;"0.0151745343316825";12;25;"0.0188371031464562";0;"mitochondrial inner membrane, extracellular vesicular exosome, integral component of plasma membrane, nucleoplasm";FALSE;0,0121951219512195
"119";119;"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";4;6;"0.0015900378831015";4;6;"0.00197381395409416";0;"intermediate filament, extracellular vesicular exosome, extracellular space";FALSE;0,00292682926829268
"121";121;"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";10;17;"0.00462347725885511";10;17;"0.00573941289509685";1;"keratin filament, intermediate filament, extracellular vesicular exosome, extracellular space, Golgi apparatus";FALSE;0,00829268292682927
"123";123;"P37802";"P37802";"TAGL2_HUMAN";"Transgelin-2";"TAGLN2";2;2;"0.00165928576410759";2;2;"0.00205977570083863";0;"extracellular vesicular exosome";FALSE;0,000975609756097561
"124";124;"P38159";"P38159-1";"RBMX_HUMAN";"RNA-binding motif protein, X chromosome";"RBMX";8;13;"0.00548922285389558";8;13;"0";0;"nucleoplasm, extracellular vesicular exosome, extracellular space, catalytic step 2 spliceosome, supraspliceosomal complex, nuclear euchromatin";FALSE;0,00634146341463415
"125";125;"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";10;16;"0.00389040196827583";10;16;"0.00482940046500015";0;"nucleolus, extracellular vesicular exosome, mitochondrial nucleoid";FALSE;0,00780487804878049
"127";127;"P39019";"P39019";"RS19_HUMAN";"40S ribosomal protein S19";"RPS19";11;20;"0.0227722666936146";11;20;"0.0282686458253026";0;"nucleolus, extracellular vesicular exosome, cytosolic small ribosomal subunit";FALSE;0,00975609756097561
"128";128;"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";4;10;"0.00488458383221022";4;10;"0.00606354089448058";0;"plasma membrane, mitochondrial matrix, nucleus, mitochondrial inner membrane, extracellular vesicular exosome";FALSE;0,0048780487804878
"133";133;"P48643";"P48643";"TCPE_HUMAN";"T-complex protein 1 subunit epsilon";"CCT5";2;3;"9.15520888329236E-4";2;3;"0.00113649361682131";0;"zona pellucida receptor complex, centrosome, extracellular vesicular exosome, cytosol, chaperonin-containing T-complex, nucleolus, cell body, microtubule";FALSE;0,00146341463414634
"135";135;"P49006";"P49006";"MRP_HUMAN";"MARCKS-related protein";"MARCKSL1";2;2;"0.00169332239516621";2;2;"0.0021020275100866";0;"cytoplasm, extracellular vesicular exosome, plasma membrane";FALSE;0,000975609756097561
"136";136;"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";10;15;"9.86254083206126E-4";10;15;"0.00122429917702177";0;"mitochondrion, plasma membrane, Golgi apparatus, glycogen granule, cytosol, extracellular vesicular exosome, melanosome";FALSE;0,00731707317073171
"137";137;"P49368";"P49368-1";"TCPG_HUMAN";"T-complex protein 1 subunit gamma";"CCT3";3;7;"0.00212053676091915";3;7;"0";0;"cytosol, chaperonin-containing T-complex, cell body, microtubule, plasma membrane, extracellular vesicular exosome, zona pellucida receptor complex";FALSE;0,00341463414634146
"138";138;"P49411";"P49411";"EFTU_HUMAN";"Elongation factor Tu, mitochondrial";"TUFM";8;13;"0.00474842065458666";8;13;"0.0058945129845902";0;"mitochondrial nucleoid, extracellular vesicular exosome";FALSE;0,00634146341463415
"139";139;"P49588";"P49588";"SYAC_HUMAN";"Alanine--tRNA ligase, cytoplasmic";"AARS";3;3;"5.11670248539377E-4";3;3;"6.35168436673896E-4";0;"cytosol, extracellular vesicular exosome";FALSE;0,00146341463414634
"142";142;"P50454";"P50454";"SERPH_HUMAN";"Serpin H1";"SERPINH1";2;2;"7.89947050376582E-4";2;2;"9.80610919777243E-4";0;"endoplasmic reticulum lumen, endoplasmic reticulum-Golgi intermediate compartment, extracellular space";FALSE;0,000975609756097561
"143";143;"P50502";"P50502";"F10A1_HUMAN";"Hsc70-interacting protein";"ST13";5;8;"0.00357938067270906";5;8;"0.0044433101839229";0;"protein complex, cytosol, cytoplasm, extracellular vesicular exosome";FALSE;0,00390243902439024
"144";144;"P50552";"P50552";"VASP_HUMAN";"Vasodilator-stimulated phosphoprotein";"VASP";6;10;"0.0043447087770712";6;10;"0.00539336005877483";0;"tight junction, actin cytoskeleton, plasma membrane, extracellular vesicular exosome, lamellipodium membrane, filopodium membrane, cytosol, focal adhesion";FALSE;0,0048780487804878
"145";145;"P50990";"P50990";"TCPQ_HUMAN";"T-complex protein 1 subunit theta";"CCT8";2;2;"6.02550852294546E-4";2;2;"7.47984241727897E-4";0;"microtubule, intermediate filament cytoskeleton, extracellular vesicular exosome, zona pellucida receptor complex, aggresome, cell body, chaperonin-containing T-complex, cytosol, centrosome";FALSE;0,000975609756097561
"146";146;"P51571";"P51571";"SSRD_HUMAN";"Translocon-associated protein subunit delta";"SSR4";3;3;"0.00286298728662495";3;3;"0.00355400605029093";0;"Sec61 translocon complex, extracellular vesicular exosome, integral component of membrane";FALSE;0,00146341463414634
"149";149;"P52272";"P52272-1,P52272-2";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";19;35;"0.00395785114623609";19;35;"0";0;"catalytic step 2 spliceosome, nuclear matrix, integral component of plasma membrane, paraspeckles";FALSE;0,0170731707317073
"150";150;"P52566";"P52566";"GDIR2_HUMAN";"Rho GDP-dissociation inhibitor 2";"ARHGDIB";1;1;"8.21387728998535E-4";1;1;"0.00101964021011664";0;"cytosol, cytoskeleton, extracellular vesicular exosome, cytoplasmic membrane-bounded vesicle";FALSE;0,00048780487804878
"152";152;"P53999";"P53999";"TCP4_HUMAN";"Activated RNA polymerase II transcriptional coactivator p15";"SUB1";3;3;"0.0038999748077647";3;3;"0.00484128383228607";0;"nucleolus, extracellular vesicular exosome, transcription factor complex";FALSE;0,00146341463414634
