"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5571";"Spectra.Count.P5571";"DNSAF.P5571";"Unspecific.Spectra.Count";"Go.Cc";"matched_mask";"norm.sc"
"18";18;"P02545";"P02545-1,P02545-2";"LMNA_HUMAN";"Prelamin-A/C";"LMNA";3;3;"3.72964458272678E-4";3;3;"0";0;"nuclear envelope, nucleoplasm, cytosol, lamin filament, nuclear speck, perinuclear region of cytoplasm";FALSE;0,00146341463414634
"24";24;"P05114";"P05114";"HMGN1_HUMAN";"Non-histone chromosomal protein HMG-14";"HMGN1";2;5;"0.00825494667643528";2;5;"0.0102473841116722";0;"chromatin, nucleus, cytoplasm";FALSE;0,0024390243902439
"25";25;"P05204";"P05204";"HMGN2_HUMAN";"Non-histone chromosomal protein HMG-17";"HMGN2";2;5;"0.00917216297381697";2;5;"0.0113859823463024";0;"cytoplasm, nucleus, chromatin";FALSE;0,0024390243902439
"28";28;"P06454";"P06454-1,P06454-2";"PTMA_HUMAN";"Prothymosin alpha";"PTMA";2;2;"0.00148737777953789";2;2;"0";0;"cytoplasm, nucleus";FALSE;0,000975609756097561
"31";31;"P06748";"P06748-1,P06748-2";"NPM_HUMAN";"Nucleophosmin";"NPM1";9;16;"0.00449248798717566";9;16;"0";0;"spindle pole centrosome, ribonucleoprotein complex, cytosol, nucleolus, nucleoplasm";FALSE;0,00780487804878049
"41";41;"P08579";"P08579";"RU2B_HUMAN";"U2 small nuclear ribonucleoprotein B''";"SNRPB2";2;2;"0.00146754607581072";2;2;"0.00182175717540839";0;"nucleoplasm, catalytic step 2 spliceosome, U2 snRNP";FALSE;0,000975609756097561
"46";46;"P09661";"P09661";"RU2A_HUMAN";"U2 small nuclear ribonucleoprotein A'";"SNRPA1";3;5;"0.00323723399075893";3;5;"0.00401858200457733";0;"catalytic step 2 spliceosome, U2 snRNP, nucleoplasm";FALSE;0,0024390243902439
"47";47;"P0C0S5";"P0C0S5,Q71UI9-1";"H2AV_HUMAN, H2AZ_HUMAN";"Histone H2A.V, Histone H2A.Z";"H2AFV, H2AFZ";2;8;"0.0210673118304859";2;8;"0.0523043564033268";39;"nucleosome, nucleus";FALSE;0,00390243902439024
"55";55;"P11940";"P11940-1,P11940-2";"PABP1_HUMAN";"Polyadenylate-binding protein 1";"PABPC1";9;14;"0.00181712662688827";9;14;"0";0;"cytosol, catalytic step 2 spliceosome, cytoplasmic stress granule";FALSE;0,00682926829268293
"58";58;"P13010";"P13010";"XRCC5_HUMAN";"X-ray repair cross-complementing protein 5";"XRCC5";6;7;"0.00157881493811604";6;7;"0.00195988220715042";0;"nonhomologous end joining complex, Ku70:Ku80 complex, nuclear telomere cap complex, cytosol, nucleoplasm";FALSE;0,00341463414634146
"66";66;"P14678";"P14678-1,P14678-2,P14678-3,P63162";"RSMB_HUMAN, RSMN_HUMAN";"Small nuclear ribonucleoprotein-associated protein N, Small nuclear ribonucleoprotein-associated proteins B and B'";"SNRPB, SNRPN";2;2;"3.43956111518137E-4";2;2;"0.00170789735194536";0;"U12-type spliceosomal complex, catalytic step 2 spliceosome, nucleoplasm, cytosol, U1 snRNP, U4 snRNP, methylosome, histone pre-mRNA 3'end processing complex, SMN-Sm protein complex, U7 snRNP";FALSE;0,000975609756097561
"68";68;"P14927";"P14927";"QCR7_HUMAN";"Cytochrome b-c1 complex subunit 7";"UQCRB";4;7;"0.0104116444567652";4;7;"0.0129246286093163";0;"mitochondrial respiratory chain, mitochondrial respiratory chain complex III";FALSE;0,00341463414634146
"70";70;"P16402";"P16402";"H13_HUMAN";"Histone H1.3";"HIST1H1D";2;2;"0.00747053997867446";2;2;"0.00927365077979383";12;"nucleosome, nuclear chromatin";FALSE;0,000975609756097561
"71";71;"P16403";"P16403";"H12_HUMAN";"Histone H1.2";"HIST1H1C";1;1;"0.00387556181992267";1;1;"0.00481097845618412";12;"nucleus, nucleosome";FALSE;0,00048780487804878
"76";76;"P18859";"P18859";"ATP5J_HUMAN";"ATP synthase-coupling factor 6, mitochondrial";"ATP5J";3;3;"0.00458608148690849";3;3;"0.00569299117315121";0;"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";FALSE;0,00146341463414634
"82";82;"P22626";"P22626-1";"ROA2_HUMAN";"Heterogeneous nuclear ribonucleoproteins A2/B1";"HNRNPA2B1";10;23;"0.0107571543092358";10;23;"0";0;"nucleoplasm, cytoplasm, nucleolus, catalytic step 2 spliceosome";FALSE;0,011219512195122
"84";84;"P23193";"P23193-1";"TCEA1_HUMAN";"Transcription elongation factor A protein 1";"TCEA1";4;6;"0.00329100864176822";4;6;"0";0;"nucleolus, nucleoplasm";FALSE;0,00292682926829268
"85";85;"P23246";"P23246-1";"SFPQ_HUMAN";"Splicing factor, proline- and glutamine-rich";"SFPQ";14;22;"0.00541514908703044";14;22;"0";2;"paraspeckles, nuclear matrix, cytoplasm";FALSE;0,0107317073170732
"89";89;"P23588";"P23588";"IF4B_HUMAN";"Eukaryotic translation initiation factor 4B";"EIF4B";6;10;"0.00270211020505246";6;10;"0.0033542992182233";0;"cytosol, eukaryotic translation initiation factor 4F complex";FALSE;0,0048780487804878
"91";91;"P25398";"P25398";"RS12_HUMAN";"40S ribosomal protein S12";"RPS12";2;2;"0.00250149899285918";2;2;"0.00310526791262794";0;"cytosolic small ribosomal subunit";FALSE;0,000975609756097561
"94";94;"P26373";"P26373";"RL13_HUMAN";"60S ribosomal protein L13";"RPL13";5;6;"0.00469475640365987";5;6;"0.00582789617725432";0;"cytosolic large ribosomal subunit";FALSE;0,00292682926829268
"96";96;"P26641";"P26641";"EF1G_HUMAN";"Elongation factor 1-gamma";"EEF1G";2;2;"7.55601526447165E-4";2;2;"9.37975662395623E-4";0;"cytosol, eukaryotic translation elongation factor 1 complex";FALSE;0,000975609756097561
"103";103;"P29692";"P29692-1,P29692-2";"EF1D_HUMAN";"Elongation factor 1-delta";"EEF1D";5;9;"0.00264393309921415";5;9;"0";0;"nucleus, eukaryotic translation elongation factor 1 complex, cytosol";FALSE;0,00439024390243902
"108";108;"P31930";"P31930";"QCR1_HUMAN";"Cytochrome b-c1 complex subunit 1, mitochondrial";"UQCRC1";9;17;"0.00584725389580832";9;17;"0.0072585637457678";0;"mitochondrial respiratory chain complex III, mitochondrial respiratory chain";FALSE;0,00829268292682927
"109";109;"P31942";"P31942-1,P31942-2,P31942-3";"HNRH3_HUMAN";"Heterogeneous nuclear ribonucleoprotein H3";"HNRNPH3";3;3;"4.77164547770825E-4";3;3;"0";0;"spliceosomal complex";FALSE;0,00146341463414634
"110";110;"P31943";"P31943";"HNRH1_HUMAN";"Heterogeneous nuclear ribonucleoprotein H";"HNRNPH1";4;6;"0.00275777728611424";4;6;"0.00342340226447846";3;"cytoplasm, catalytic step 2 spliceosome, nucleoplasm, actin cytoskeleton";FALSE;0,00292682926829268
"112";112;"P31948";"P31948";"STIP1_HUMAN";"Stress-induced-phosphoprotein 1";"STIP1";6;8;"0.00243239681073599";6;8;"0.00301948703106363";0;"Golgi apparatus, nucleus";FALSE;0,00390243902439024
"114";114;"P33991";"P33991";"MCM4_HUMAN";"DNA replication licensing factor MCM4";"MCM4";7;9;"0.0017217733508208";7;9;"0.00213734546941019";0;"MCM complex, nucleoplasm";FALSE;0,00439024390243902
"115";115;"P33993";"P33993-1";"MCM7_HUMAN";"DNA replication licensing factor MCM7";"MCM7";6;9;"0.00206660695654847";6;9;"0";0;"cytosol, MCM complex, nucleoplasm, chromatin";FALSE;0,00439024390243902
"117";117;"P34931";"P34931";"HS71L_HUMAN";"Heat shock 70 kDa protein 1-like";"HSPA1L";0;0;"0";0;0;"0";24;"mitochondrial matrix, zona pellucida receptor complex, blood microparticle, cell body";FALSE;0
"120";120;"P35637";"P35637-1,P35637-2";"FUS_HUMAN";"RNA-binding protein FUS";"FUS";4;7;"0.00109856704819481";4;7;"0";0;"nucleoplasm, cytoplasm";FALSE;0,00341463414634146
"122";122;"P36542";"P36542-1,P36542-2";"ATPG_HUMAN";"ATP synthase subunit gamma, mitochondrial";"ATP5C1";3;6;"0.00166206980062455";3;6;"0";0;"mitochondrial matrix, mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)";FALSE;0,00292682926829268
"126";126;"P38919";"P38919";"IF4A3_HUMAN";"Eukaryotic initiation factor 4A-III";"EIF4A3";1;1;"5.35600757595152E-4";1;1;"6.64874881535908E-4";2;"nuclear speck, catalytic step 2 spliceosome, cytosol, exon-exon junction complex";FALSE;0,00048780487804878
"131";131;"P43487";"P43487";"RANG_HUMAN";"Ran-specific GTPase-activating protein";"RANBP1";2;2;"0.00164277545799707";2;2;"0.00203928042023327";0;"cytoplasm, nuclear envelope, centrosome";FALSE;0,000975609756097561
"132";132;"P46783";"P46783";"RS10_HUMAN";"40S ribosomal protein S10";"RPS10";4;7;"0.00700419718000569";4;7;"0.00869475015535822";0;"nucleolus, cytosolic small ribosomal subunit";FALSE;0,00341463414634146
"140";140;"P49736";"P49736";"MCM2_HUMAN";"DNA replication licensing factor MCM2";"MCM2";4;5;"9.13157818189743E-4";4;5;"0.00113356018934427";0;"nuclear origin of replication recognition complex, nucleoplasm, chromatin, MCM complex";FALSE;0,0024390243902439
"147";147;"P51610";"P51610-1,P51610-2";"HCFC1_HUMAN";"Host cell factor 1";"HCFC1";3;3;"1.21694545598554E-4";3;3;"0";0;"histone acetyltransferase complex, MLL5-L complex, Set1C/COMPASS complex, neuronal cell body, mitochondrion, MLL1 complex";FALSE;0,00146341463414634
"148";148;"P51991";"P51991-1,P51991-2";"ROA3_HUMAN";"Heterogeneous nuclear ribonucleoprotein A3";"HNRNPA3";3;4;"8.73539330839712E-4";3;4;"0";0;"nucleoplasm, nucleolus, catalytic step 2 spliceosome";FALSE;0,00195121951219512
"151";151;"P52597";"P52597";"HNRPF_HUMAN";"Heterogeneous nuclear ribonucleoprotein F";"HNRNPF";3;6;"0.00298371566618143";3;6;"0.0037038737753032";3;"catalytic step 2 spliceosome, nucleoplasm, cytoplasm";FALSE;0,00292682926829268
"155";155;"P56385";"P56385";"ATP5I_HUMAN";"ATP synthase subunit e, mitochondrial";"ATP5I";2;2;"0.00478547633416538";2;2;"0.00594051252850562";0;"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o), mitochondrial proton-transporting ATP synthase complex";FALSE;0,000975609756097561
"171";171;"P62306";"P62306";"RUXF_HUMAN";"Small nuclear ribonucleoprotein F";"SNRPF";1;1;"0.00191975504103146";1;1;"0.00238311258410981";0;"U7 snRNP, cytosol, nucleoplasm, U1 snRNP, pICln-Sm protein complex, U12-type spliceosomal complex, methylosome, catalytic step 2 spliceosome, SMN-Sm protein complex, U4 snRNP";FALSE;0,00048780487804878
"180";180;"P63173";"P63173";"RL38_HUMAN";"60S ribosomal protein L38";"RPL38";2;3;"0.00884458572475208";2;3;"0.0109793401196488";2;"cytosolic large ribosomal subunit, eukaryotic 80S initiation complex";FALSE;0,00146341463414634
"186";186;"P68363";"P68363,Q71U36";"TBA1A_HUMAN, TBA1B_HUMAN";"Tubulin alpha-1A chain, Tubulin alpha-1B chain";"TUBA1A, TUBA1B";9;14;"0.00256251116341672";9;14;"0.00318100615439935";0;"microtubule, cytoplasmic microtubule";FALSE;0,00682926829268293
"190";190;"P82650";"P82650";"RT22_HUMAN";"28S ribosomal protein S22, mitochondrial";"MRPS22";1;1;"4.58608148690849E-4";1;1;"5.69299117315121E-4";0;"mitochondrial small ribosomal subunit";FALSE;0,00048780487804878
"191";191;"P82979";"P82979";"SARNP_HUMAN";"SAP domain-containing ribonucleoprotein";"SARNP";7;10;"0.00786185397755741";7;10;"0.0097594134396878";0;"nuclear speck, transcription export complex";FALSE;0,0048780487804878
"192";192;"P84101";"P84101";"SERF2_HUMAN";"Small EDRK-rich factor 2";"SERF2";3;5;"0.0139914350448056";3;5;"0.017368447646902";0;"nucleus, cytosol";FALSE;0,0024390243902439
"193";193;"Q00059";"Q00059";"TFAM_HUMAN";"Transcription factor A, mitochondrial";"TFAM";5;7;"0.00469793713293065";5;7;"0.00583184461639881";0;"mitochondrial nucleoid";FALSE;0,00341463414634146
"202";202;"Q07955";"Q07955-1";"SRSF1_HUMAN";"Serine/arginine-rich splicing factor 1";"SRSF1";2;2;"0.00133144301232827";2;2;"0";0;"catalytic step 2 spliceosome, cytoplasm, nuclear speck";FALSE;0,000975609756097561
"207";207;"Q13263";"Q13263-1,Q13263-2";"TIF1B_HUMAN";"Transcription intermediary factor 1-beta";"TRIM28";4;7;"6.92031457904754E-4";4;7;"0";0;"nuclear euchromatin, nuclear heterochromatin, nucleoplasm";FALSE;0,00341463414634146
"210";210;"Q13573";"Q13573";"SNW1_HUMAN";"SNW domain-containing protein 1";"SNW1";2;2;"6.16040796748901E-4";2;2;"7.64730157587477E-4";0;"nuclear matrix, nucleoplasm, catalytic step 2 spliceosome, chromatin";FALSE;0,000975609756097561
"213";213;"Q14103";"Q14103-1,Q14103-3";"HNRPD_HUMAN";"Heterogeneous nuclear ribonucleoprotein D0";"HNRNPD";3;4;"0.00172739326830839";3;4;"0";6;"nucleoplasm, ribonucleoprotein complex, cytosol";FALSE;0,00195121951219512
"214";214;"Q14141";"Q14141-1,Q14141-2,Q14141-4";"SEPT6_HUMAN";"Septin-6";"SEPT6";4;4;"5.07216385648865E-4";4;4;"0";0;"cleavage furrow, condensed chromosome kinetochore, cytoplasm, axon terminus, septin complex, midbody, spindle, synaptic vesicle";FALSE;0,00195121951219512
"215";215;"Q14151";"Q14151";"SAFB2_HUMAN";"Scaffold attachment factor B2";"SAFB2";1;1;"2.30988364503261E-4";1;1;"2.86740373883797E-4";1;"nucleus, cytoplasm";FALSE;0,00048780487804878
"217";217;"Q14566";"Q14566";"MCM6_HUMAN";"DNA replication licensing factor MCM6";"MCM6";6;7;"0.00140766447588421";6;7;"0.00174742238201475";0;"nucleoplasm, MCM complex";FALSE;0,00341463414634146
"218";218;"Q15004";"Q15004";"PAF15_HUMAN";"PCNA-associated factor";"KIAA0101";4;6;"0.00892426667722733";4;6;"0.0110782530936997";0;"nucleus, perinuclear region of cytoplasm";FALSE;0,00292682926829268
"219";219;"Q15056";"Q15056-1,Q15056-2";"IF4H_HUMAN";"Eukaryotic translation initiation factor 4H";"EIF4H";6;9;"0.00299574677773861";6;9;"0";0;"perinuclear region of cytoplasm, eukaryotic translation initiation factor 4F complex, cytosol";FALSE;0,00439024390243902
"220";220;"Q15233";"Q15233";"NONO_HUMAN";"Non-POU domain-containing octamer-binding protein";"NONO";8;15;"0.00554214013394691";8;15;"0.00687980685755234";2;"paraspeckles, nuclear speck, nuclear matrix, nucleolus";FALSE;0,00731707317073171
"222";222;"Q15366";"Q15366-1,Q15366-2,Q15366-3,Q15366-4,Q15366-5,Q15366-6";"PCBP2_HUMAN";"Poly(rC)-binding protein 2";"PCBP2";1;2;"2.63856743082406E-4";1;2;"0";3;"ribonucleoprotein complex, nucleoplasm, cytosol";FALSE;0,000975609756097561
"223";223;"Q15424";"Q15424";"SAFB1_HUMAN";"Scaffold attachment factor B1";"SAFB";2;2;"4.81162647806792E-4";2;2;"5.97297434560127E-4";1;"nucleus";FALSE;0,000975609756097561
"224";224;"Q15428";"Q15428";"SF3A2_HUMAN";"Splicing factor 3A subunit 2";"SF3A2";2;2;"7.11633334175455E-4";2;2;"8.83395182040706E-4";0;"catalytic step 2 spliceosome, small nuclear ribonucleoprotein complex, nucleoplasm";FALSE;0,000975609756097561
"225";225;"Q15459";"Q15459";"SF3A1_HUMAN";"Splicing factor 3A subunit 1";"SF3A1";3;3;"6.24586129364586E-4";3;3;"7.7533801601555E-4";0;"catalytic step 2 spliceosome, nucleoplasm, U2-type spliceosomal complex";FALSE;0,00146341463414634
"227";227;"Q16576";"Q16576-1";"RBBP7_HUMAN";"Histone-binding protein RBBP7";"RBBP7";2;2;"7.76936157782144E-4";2;2;"0";0;"NuRD complex, ESC/E(Z) complex";FALSE;0,000975609756097561
"230";230;"Q6JBY9";"Q6JBY9-1";"CPZIP_HUMAN";"CapZ-interacting protein";"RCSD1";2;2;"7.93744872734161E-4";2;2;"0";0;"actin filament";FALSE;0,000975609756097561
"232";232;"Q86YP4";"Q86YP4-1,Q86YP4-2";"P66A_HUMAN";"Transcriptional repressor p66-alpha";"GATAD2A";4;8;"0.00123296632823391";4;8;"0";2;"NuRD complex, nuclear speck";FALSE;0,00390243902439024
"234";234;"Q8N163";"Q8N163-1";"K1967_HUMAN";"DBIRD complex subunit KIAA1967";"KIAA1967";4;7;"0.00125210458797502";4;7;"0";0;"nuclear chromatin, mitochondrial matrix, DBIRD complex";FALSE;0,00341463414634146
"235";235;"Q8N183";"Q8N183";"MIMIT_HUMAN";"Mimitin, mitochondrial";"NDUFAF2";4;7;"0.00683841736509431";4;7;"0.00848895725227282";0;"mitochondrion";FALSE;0,00341463414634146
"237";237;"Q8WW12";"Q8WW12-1";"PCNP_HUMAN";"PEST proteolytic signal-containing nuclear protein";"PCNP";4;7;"0.00649265468933112";4;7;"0";0;"nucleus";FALSE;0,00341463414634146
"238";238;"Q8WXI9";"Q8WXI9";"P66B_HUMAN";"Transcriptional repressor p66-beta";"GATAD2B";3;3;"9.87100783016943E-4";3;3;"0.00122535023870984";2;"nuclear speck, nucleus";FALSE;0,00146341463414634
"239";239;"Q92499";"Q92499";"DDX1_HUMAN";"ATP-dependent RNA helicase DDX1";"DDX1";1;1;"2.23106666930683E-4";1;1;"2.76956327342492E-4";0;"cytoplasmic stress granule, cleavage body, tRNA-splicing ligase complex";FALSE;0,00048780487804878
"241";241;"Q92841";"Q92841-1,Q92841-3,Q92841-4";"DDX17_HUMAN";"Probable ATP-dependent RNA helicase DDX17";"DDX17";7;10;"8.17819743893146E-4";7;10;"0";2;"nucleus, nucleolus";FALSE;0,0048780487804878
"243";243;"Q96CT7";"Q96CT7";"CC124_HUMAN";"Coiled-coil domain-containing protein 124";"CCDC124";8;11;"0.00814389358213346";8;11;"0.0101095269263134";0;"cytoplasm, microtubule organizing center, midbody";FALSE;0,00536585365853659
"245";245;"Q96PK6";"Q96PK6-1";"RBM14_HUMAN";"RNA-binding protein 14";"RBM14";2;2;"4.93569308008088E-4";2;2;"0";0;"mediator complex, ribonucleoprotein complex, transcription factor complex";FALSE;0,000975609756097561
"246";246;"Q96T88";"Q96T88-1,Q96T88-2";"UHRF1_HUMAN";"E3 ubiquitin-protein ligase UHRF1";"UHRF1";1;1;"1.04097688227431E-4";1;1;"0";0;"nuclear chromatin, nuclear matrix, replication fork, heterochromatin, euchromatin";FALSE;0,00048780487804878
"249";249;"Q99729";"Q99729-2,Q99729-3";"ROAA_HUMAN";"Heterogeneous nuclear ribonucleoprotein A/B";"HNRNPAB";2;3;"0.00138529655929852";2;3;"0";6;"nucleus, cytoplasm, ribonucleoprotein complex";FALSE;0,00146341463414634
"253";253;"Q9BY77";"Q9BY77-1";"PDIP3_HUMAN";"Polymerase delta-interacting protein 3";"POLDIP3";4;8;"0.00313727189603241";4;8;"0";0;"cytoplasm, nuclear speck";FALSE;0,00390243902439024
"254";254;"Q9GZT3";"Q9GZT3";"SLIRP_HUMAN";"SRA stem-loop-interacting RNA-binding protein, mitochondrial";"SLIRP";3;5;"0.00757334557471126";3;5;"0.00940126982722219";0;"mitochondrion, ribonucleoprotein complex, nucleus";FALSE;0,0024390243902439
"258";258;"Q9NSI8";"Q9NSI8-1,Q9NSI8-3";"SAMN1_HUMAN";"SAM domain-containing protein SAMSN-1";"SAMSN1";2;2;"4.42624486672133E-4";2;2;"0";0;"nucleus, cytoplasm, ruffle";FALSE;0,000975609756097561
"262";262;"Q9UHX1";"Q9UHX1-1,Q9UHX1-2,Q9UHX1-3,Q9UHX1-4,Q9UHX1-5,Q9UHX1-6";"PUF60_HUMAN";"Poly(U)-binding-splicing factor PUF60";"PUF60";6;6;"2.95346929389455E-4";6;6;"0";0;"nucleus, ribonucleoprotein complex";FALSE;0,00292682926829268
"263";263;"Q9UI08";"Q9UI08-1,Q9UI08-2";"EVL_HUMAN";"Ena/VASP-like protein";"EVL";2;2;"3.96872436367081E-4";2;2;"0";0;"cytosol, focal adhesion, lamellipodium, cytoskeleton";FALSE;0,000975609756097561
"265";265;"Q9UKM9";"Q9UKM9-1,Q9UKM9-2";"RALY_HUMAN";"RNA-binding protein Raly";"RALY";5;9;"0.0024279254930692";5;9;"0";0;"catalytic step 2 spliceosome";FALSE;0,00439024390243902
"267";267;"Q9Y237";"Q9Y237-1,Q9Y237-2";"PIN4_HUMAN";"Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4";"PIN4";4;8;"0.00504118881003681";4;8;"0";0;"preribosome, mitochondrial matrix, cytoplasm, spindle, nucleolus";FALSE;0,00390243902439024
"268";268;"Q9Y266";"Q9Y266";"NUDC_HUMAN";"Nuclear migration protein nudC";"NUDC";6;9;"0.00448909486936057";6;9;"0.00557259558942898";0;"microtubule, nucleoplasm, cytosol";FALSE;0,00439024390243902
"269";269;"Q9Y3I0";"Q9Y3I0";"RTCB_HUMAN";"tRNA-splicing ligase RtcB homolog";"C22orf28";3;3;"9.80785743734885E-4";3;3;"0.00121751098356501";0;"cytoplasm, tRNA-splicing ligase complex";FALSE;0,00146341463414634
