"";"protein.acs";"X.1";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768";"Go.Cc";"Go.Mf"
"11";"O75369";19;19;"O75369-1,O75369-2,O75369-3,O75369-6,O75369-7,O75369-8,O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";6;6;1,94964080325823e-05;NA;6;NA;6;NA;NA;"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber";"identical protein binding, protein binding, poly(A) RNA binding, actin binding"
"12";"O76094";24;24;"O76094";"SRP72_HUMAN";"Signal recognition particle 72 kDa protein";"SRP72";2;3;0,000264610712299146;2;NA;3;NA;0,000633705563179581;NA;"endoplasmic reticulum, cytosol, signal recognition particle, endoplasmic reticulum targeting, plasma membrane, nucleolus";"signal recognition particle binding, 7S RNA binding, poly(A) RNA binding"
"13";"O94804";26;26;"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";2;4;0,000244564446215877;NA;2;NA;4;NA;0,000588430720293567;"extracellular vesicular exosome, cytoplasm, plasma membrane";"identical protein binding, receptor signaling protein serine/threonine kinase activity, protein serine/threonine kinase activity, ATP binding, polo kinase kinase activity, protein homodimerization activity, protein binding"
"14";"O95347";28;28;"O95347-1";"SMC2_HUMAN";"Structural maintenance of chromosomes protein 2";"SMC2";2;2;9,88882138416747e-05;NA;2;NA;2;NA;NA;"extracellular vesicular exosome, cytosol, condensin complex, nuclear chromosome";"protein binding, ATP binding, protein heterodimerization activity"
"15";"P00338";30;30;"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";9;30;0,00292159568529978;9;6;15;15;NA;NA;"extracellular vesicular exosome, cilium, mitochondrion, cytosol";"protein binding, L-lactate dehydrogenase activity"
"16";"P00558";32;32;"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";24;122;0,0173153973862771;21;21;45;77;0,0152955551400539;0,0262945276785379;"extracellular vesicular exosome, cytosol";"protein binding, phosphoglycerate kinase activity, ATP binding"
"17";"P01892";33;33;"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";2;5;0,00294571733437553;2;1;3;2;0,00427158060440958;0,00273096339774603;"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex";"T cell receptor binding, receptor binding, protein binding, peptide antigen binding, poly(A) RNA binding, beta-2-microglobulin binding, TAP binding"
"18";"P02533";34;34;"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";10;22;0,00444501799380846;9;5;13;9;0,00643356211956014;0,00419982820265726;"keratin filament, cell periphery, cytosol, extracellular vesicular exosome, nucleus";"structural constituent of cytoskeleton, keratin filament binding, protein binding"
"19";"P02538";35;35;"P02538";"K2C6A_HUMAN";"Keratin, type II cytoskeletal 6A";"KRT6A";2;4;0,00162009475518363;2;1;2;2;0,00226581027065155;0,00164512107037067;"extracellular vesicular exosome, keratin filament, intermediate filament";"protein binding, structural constituent of cytoskeleton"
"20";"P02786";36;36;"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";1;1;7,78744684003188e-05;1;NA;1;NA;0,000186498435479605;NA;"extracellular vesicular exosome, blood microparticle, integral component of plasma membrane, endosome, external side of plasma membrane, coated pit, perinuclear region of cytoplasm, cytoplasmic membrane-bounded vesicle, melanosome";"identical protein binding, transferrin receptor activity, poly(A) RNA binding, double-stranded RNA binding, peptidase activity, protein binding"
"21";"P04040";38;38;"P04040";"CATA_HUMAN";"Catalase";"CAT";3;7;0,000786133153490884;3;2;5;2;0,00134477050250948;0,000540418346531473;"endoplasmic reticulum, peroxisomal matrix, Golgi apparatus, lysosome, cytosol, peroxisomal membrane, mitochondrial intermembrane space, plasma membrane";"catalase activity, oxidoreductase activity, acting on peroxide as acceptor, aminoacylase activity, metal ion binding, antioxidant activity, protein homodimerization activity, receptor binding, enzyme binding, NADP binding, heme binding"
"22";"P04075";39;39;"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";13;52;0,00972318362598266;12;13;20;32;0,0092712461384419;0,0141236637017434;"extracellular space, extracellular vesicular exosome, I band, actin cytoskeleton, cytosol, platelet alpha granule lumen";"actin binding, protein binding, tubulin binding, fructose-bisphosphate aldolase activity, identical protein binding, fructose binding, poly(A) RNA binding, cytoskeletal protein binding"
"23";"P04259";40;40;"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";0;0;0;0;0;0;0;0;0;"keratin filament, extracellular vesicular exosome";"structural constituent of cytoskeleton"
"24";"P04264";41;41;"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";25;196;0,0217364005336638;24;23;83;113;0,0219262234928043;0,0302635288397638;"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle";"protein binding, structural molecule activity, receptor activity, carbohydrate binding"
"25";"P04406";42;42;"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";10;61;0,0107768965822053;8;9;19;42;0,00803891763679252;0,0178531637046681;"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane";"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity, NAD binding, peptidyl-cysteine S-nitrosylase activity, identical protein binding, protein binding, microtubule binding, NADP binding"
"26";"P04908";45;45;"P04908,P0C0S8,P20671,Q16777,Q6FI13,Q7L7L0,Q93077,Q96KK5,Q99878,Q9BTM1-1";"H2A1_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-B/E, Histone H2A type 1-C, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A type 3, Histone H2A.J";"H2AFJ, HIST1H2AB,HIST1H2AE, HIST1H2AC, HIST1H2AD, HIST1H2AH, HIST1H2AJ, HIST1H2AM,HIST1H2AL,HIST1H2AG,HIST1H2AI,HIST1H2AK, HIST2H2AA3,HIST2H2AA4, HIST2H2AC, HIST3H2A";3;10;0,000457377094159523;2;3;5;5;0,000608321077100857;0,000611159803910056;"nucleus, nucleosome, extracellular vesicular exosome";"DNA binding"
"27";"P05023";46;46;"P05023-1,P05023-3";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";2;2;5,78539550188097e-05;2;NA;2;NA;NA;NA;"T-tubule, endoplasmic reticulum, basolateral plasma membrane, melanosome, endosome, Golgi apparatus, sodium:potassium-exchanging ATPase complex, caveola, extracellular vesicular exosome";"ADP binding, ATP binding, potassium ion binding, protein binding, sodium ion binding, sodium:potassium-exchanging ATPase activity, chaperone binding"
"28";"P05141";47;47;"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";10;25;0,00496515066981899;8;6;13;12;0,00618323671992784;0,00573423762326348;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane";"protein binding, poly(A) RNA binding, adenine transmembrane transporter activity"
"29";"P05198";50;50;"P05198";"IF2A_HUMAN";"Eukaryotic translation initiation factor 2 subunit 1";"EIF2S1";2;5;0,00093943803149591;2;2;3;2;0,00134989343775714;0,000904128471816147;"polysome, cytoplasmic stress granule, eukaryotic translation initiation factor 2 complex, extracellular vesicular exosome, nucleus, cytosol";"poly(A) RNA binding, protein binding, translation initiation factor activity, ribosome binding"
"30";"P05387";51;51;"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";3;3;0,00154394598219763;NA;3;NA;3;NA;0,00371478872115765;"extracellular vesicular exosome, cytosolic large ribosomal subunit";"RNA binding, structural constituent of ribosome"
"31";"P05388";52;52;"P05388,Q8NHW5";"RLA0_HUMAN, RLA0L_HUMAN";"60S acidic ribosomal protein P0, 60S acidic ribosomal protein P0-like";"RPLP0, RPLP0P6";5;10;0,000933510977669437;5;2;6;4;0,0013413767599164;0,000898424191236865;"extracellular vesicular exosome, nucleus, cytosolic large ribosomal subunit";"RNA binding, protein binding, poly(A) RNA binding, structural constituent of ribosome"
"32";"P05534";53;53;"P05534,P30447";"1A23_HUMAN, 1A24_HUMAN";"HLA class I histocompatibility antigen, A-23 alpha chain, HLA class I histocompatibility antigen, A-24 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;NA;"plasma membrane, ER to Golgi transport vesicle membrane, Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, extracellular vesicular exosome, early endosome membrane, phagocytic vesicle membrane";"TAP binding, peptide antigen binding, beta-2-microglobulin binding"
"33";"P05556";54;54;"P05556-1";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";1;2;0,000148332320762512;1;1;1;1;NA;NA;"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface";"metal ion binding, protein heterodimerization activity, peptide binding, cell adhesion molecule binding, virus receptor activity, actin binding, protein binding"
"34";"P05787";55;55;"P05787";"K2C8_HUMAN";"Keratin, type II cytoskeletal 8";"KRT8";1;1;0,000145630196623395;1;0;1;0;0,000357917024382717;0;"intermediate filament, nucleoplasm, keratin filament, Z disc, cytoplasm, nuclear matrix, sarcolemma, extracellular vesicular exosome, costamere, dystrophin-associated glycoprotein complex";"structural molecule activity, scaffold protein binding, protein binding"
"35";"P06576";57;57;"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";9;19;0,00212572272911267;6;7;7;12;0,0018755608256172;0,00323025106187622;"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane";"proton-transporting ATP synthase activity, rotational mechanism, transmembrane transporter activity, ATP binding, transporter activity, proton-transporting ATPase activity, rotational mechanism, MHC class I protein binding, protein binding"
"36";"P06733";58;58;"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";22;76;0,0103641227990839;17;19;29;47;NA;NA;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space";"transcription corepressor activity, sequence-specific DNA binding transcription factor activity, phosphopyruvate hydratase activity, magnesium ion binding, DNA binding, protein binding, poly(A) RNA binding"
"37";"P06744";59;59;"P06744-1,P06744-2";"G6PI_HUMAN";"Glucose-6-phosphate isomerase";"GPI";3;4;0,000212131168402302;2;2;2;2;NA;NA;"neuron projection, cytosol, nucleus, extracellular space, extracellular vesicular exosome, plasma membrane";"intramolecular transferase activity, monosaccharide binding, glucose-6-phosphate isomerase activity"
"38";"P07195";62;62;"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";6;24;0,00464656176057258;5;6;10;14;0,00458317113298382;0,00658634162413249;"extracellular vesicular exosome, cytosol, mitochondrion";"NAD binding, L-lactate dehydrogenase activity"
"39";"P07237";63;63;"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";5;7;0,00081553577143641;5;NA;7;NA;0,00195309385187303;NA;"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome";"procollagen-proline 4-dioxygenase activity, protein disulfide isomerase activity, protein binding, poly(A) RNA binding"
"40";"P07437";64;64;"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";3;14;0,0104604353499888;2;3;4;10;0,00936412564930629;0,0154192907907834;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen";"structural molecule activity, protein binding, GTP binding, MHC class I protein binding, structural constituent of cytoskeleton, GTPase activity"
"41";"P07737";65;65;"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";7;28;0,0118369191968485;6;6;12;16;0,0121490409398143;0,0162743124926906;"synapse, extracellular vesicular exosome, cytoplasm, blood microparticle, neuron projection, cytoskeleton, nucleus";"protein binding, actin binding, proline-rich region binding, adenyl-nucleotide exchange factor activity, phosphatidylinositol-4,5-bisphosphate binding, poly(A) RNA binding"
"42";"P07900";67;67;"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";8;26;0,00180470607921844;7;7;14;12;NA;NA;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane";"MHC class II protein complex binding, nitric-oxide synthase regulator activity, protein homodimerization activity, TPR domain binding, ATP binding, ATPase activity, identical protein binding, poly(A) RNA binding, protein binding, nucleotide binding"
"43";"P07910";68;68;"P07910-1,P07910-2,P07910-3,P07910-4";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";2;2;9,67068561834025e-05;2;NA;2;NA;NA;NA;"catalytic step 2 spliceosome, nucleoplasm, extracellular vesicular exosome";"identical protein binding, mRNA 3'-UTR binding, RNA binding, poly(U) RNA binding, nucleotide binding, RNA polymerase II distal enhancer sequence-specific DNA binding, nucleosomal DNA binding, poly(A) RNA binding, protein binding, RNA polymerase II core promoter proximal region sequence-specific DNA binding"
"44";"P08107";69;69;"P08107-1,P08107-2";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";2;4;0,000328680648186247;1;1;2;2;NA;NA;"blood microparticle, mitochondrion, ribonucleoprotein complex, perinuclear region of cytoplasm, endoplasmic reticulum, extracellular vesicular exosome, aggresome, cytosol, nuclear speck";"ATPase activity, coupled, enzyme binding, protein binding, poly(A) RNA binding, ATPase activity, virus receptor activity, heat shock protein binding, protein N-terminus binding, ubiquitin protein ligase binding, unfolded protein binding, ATP binding, double-stranded RNA binding, protein binding involved in protein folding"
"45";"P08195";70;70;"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";6;11;0,000258345458661375;1;6;2;9;NA;NA;"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane";"poly(A) RNA binding, double-stranded RNA binding, calcium:sodium antiporter activity, catalytic activity, neutral amino acid transmembrane transporter activity, protein binding, cation binding"
"46";"P08238";71;71;"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";9;27;0,0039949699137119;6;8;10;17;0,00351923185603122;0,00610557127879382;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body";"TPR domain binding, GTP binding, poly(A) RNA binding, dATP binding, CTP binding, MHC class II protein complex binding, ATP binding, nitric-oxide synthase regulator activity, UTP binding, double-stranded RNA binding, protein binding"
"47";"P08575";73;73;"P08575-1,P08575-2";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";23;54;0,00122544792298661;19;18;29;25;NA;NA;"integral component of plasma membrane, membrane raft, extracellular vesicular exosome, focal adhesion, external side of plasma membrane";"protein kinase binding, protein binding, transmembrane receptor protein tyrosine phosphatase activity, protein tyrosine phosphatase activity"
"48";"P08779";76;76;"P08779";"K1C16_HUMAN";"Keratin, type I cytoskeletal 16";"KRT16";5;13;0,00262104847299719;5;3;7;6;0,00345690181216892;0,00279396604884317;"intermediate filament, extracellular vesicular exosome";"protein binding, structural constituent of cytoskeleton"
"49";"P08865";77;77;"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";3;4;0,000802502996396506;1;2;1;3;0,000480470545642372;0,00144813797604451;"cytosolic small ribosomal subunit, 90S preribosome, nucleus, plasma membrane, extracellular vesicular exosome";"poly(A) RNA binding, ribosome binding, structural constituent of ribosome, protein binding, laminin receptor activity"
"50";"P09211";78;78;"P09211";"GSTP1_HUMAN";"Glutathione S-transferase P";"GSTP1";3;9;0,00253648268503896;2;3;4;5;0,00269978687551428;0,00339048176931055;"extracellular space, TRAF2-GSTP1 complex, extracellular vesicular exosome, nucleus, mitochondrion, cytosol";"protein binding, kinase regulator activity, glutathione transferase activity, dinitrosyl-iron complex binding, JUN kinase binding, nitric oxide binding, S-nitrosoglutathione binding"
"51";"P09429";79;79;"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";8;19;0,00541062064330683;5;7;6;13;0,00395550170133488;0,00918426317416961;"nucleoplasm, condensed chromosome, cell surface, extracellular space";"single-stranded DNA binding, repressing transcription factor binding, double-stranded DNA binding, chemoattractant activity, protein binding, poly(A) RNA binding, RAGE receptor binding, DNA binding, bending, transcription factor binding, sequence-specific DNA binding transcription factor activity, damaged DNA binding, cytokine activity"
"52";"P09651";81;81;"P09651-1,P09651-2,P09651-3";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";6;15;0,000833372447294758;6;4;10;5;NA;NA;"extracellular vesicular exosome, intermediate filament cytoskeleton, nucleolus, catalytic step 2 spliceosome, cytoplasm, nucleoplasm";"single-stranded RNA binding, single-stranded DNA binding, protein binding, poly(A) RNA binding, nucleotide binding, RNA binding"
"53";"P09972";83;83;"P09972";"ALDOC_HUMAN";"Fructose-bisphosphate aldolase C";"ALDOC";2;8;0,00149587440399733;1;2;1;7;0,000463562306922095;0,00308955143475636;"mitochondrion, cytoskeleton, axon, extracellular vesicular exosome, cytosol";"cytoskeletal protein binding, protein binding, fructose-bisphosphate aldolase activity"
"54";"P10599";85;85;"P10599";"THIO_HUMAN";"Thioredoxin";"TXN";3;19;0,0107095935590534;3;3;8;11;0,0107991475020571;0,0149181197849664;"extracellular vesicular exosome, mitochondrion, nucleoplasm, cytosol";"protein disulfide oxidoreductase activity, poly(A) RNA binding, protein binding, peptide disulfide oxidoreductase activity"
"55";"P10768";86;86;"P10768";"ESTD_HUMAN";"S-formylglutathione hydrolase";"ESD";3;4;0,000839497815379323;2;2;2;2;0,00100523979407447;0,00100993073979463;"Golgi apparatus, cytoplasmic membrane-bounded vesicle, nucleus, extracellular vesicular exosome";"S-formylglutathione hydrolase activity, hydrolase activity, acting on ester bonds, methylumbelliferyl-acetate deacetylase activity, carboxylic ester hydrolase activity"
"56";"P10809";87;87;"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";23;79;0,00815983085995662;21;19;37;42;0,0091524188580916;0,01043771350971;"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol";"double-stranded RNA binding, DNA replication origin binding, protein binding, ATPase activity, lipopolysaccharide binding, poly(A) RNA binding, ATP binding, chaperone binding, p53 binding, single-stranded DNA binding, unfolded protein binding"
"57";"P11021";88;88;"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";9;18;0,00173074219908048;4;8;6;12;0,00139003579243894;0,00276215395518144;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus";"calcium ion binding, ATPase activity, chaperone binding, glycoprotein binding, ATP binding, ribosome binding, enzyme binding, misfolded protein binding, protein domain specific binding, unfolded protein binding, ubiquitin protein ligase binding, protein binding"
"58";"P11142";89;89;"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";15;42;0,00510814687544035;11;12;21;21;NA;NA;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle";"heat shock protein binding, MHC class II protein complex binding, enzyme binding, ATP binding, unfolded protein binding, ATPase activity, coupled, protein binding, ATPase activity, poly(A) RNA binding"
"59";"P11413";90;90;"P11413-1,P11413-2,P11413-3";"G6PD_HUMAN";"Glucose-6-phosphate 1-dehydrogenase";"G6PD";2;2;7,6614363733647e-05;2;NA;2;NA;NA;NA;"nucleus, extracellular vesicular exosome, intracellular membrane-bounded organelle, cytoplasmic side of plasma membrane, cytosol, centrosome";"protein binding, glucose-6-phosphate dehydrogenase activity, NADP binding, protein homodimerization activity, glucose binding"
"60";"P11586";92;92;"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";4;11;0,000696289364520498;4;4;5;6;0,000757961555959892;0,000913798295044127;"extracellular vesicular exosome, mitochondrion, cytosol";"methenyltetrahydrofolate cyclohydrolase activity, formate-tetrahydrofolate ligase activity, methylenetetrahydrofolate dehydrogenase (NADP+) activity, methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity, ATP binding"
"61";"P12004";94;94;"P12004";"PCNA_HUMAN";"Proliferating cell nuclear antigen";"PCNA";2;2;0,00045352180830837;NA;2;NA;2;NA;0,00109118953495052;"extracellular vesicular exosome, PCNA complex, nucleoplasm, microtubule cytoskeleton, cytoplasm, DNA replication factor C complex, nuclear replication fork, PCNA-p21 complex";"identical protein binding, DNA polymerase binding, dinucleotide insertion or deletion binding, purine-specific mismatch base pair DNA N-glycosylase activity, protein binding, DNA polymerase processivity factor activity, MutLalpha complex binding, receptor tyrosine kinase binding"
"62";"P12814";96;96;"P12814-1,P12814-2,P12814-3";"ACTN1_HUMAN";"Alpha-actinin-1";"ACTN1";1;1;3,31752219642614e-05;1;NA;1;NA;NA;NA;"fascia adherens, ruffle, pseudopodium, Z disc, plasma membrane, extracellular vesicular exosome, focal adhesion, cytosol, nucleus, cytoskeleton, platelet alpha granule lumen, dendritic spine";"ion channel binding, double-stranded RNA binding, protein binding, integrin binding, calcium ion binding, vinculin binding"
"63";"P13164";99;99;"P13164,Q01628,Q01629";"IFM1_HUMAN, IFM2_HUMAN, IFM3_HUMAN";"Interferon-induced transmembrane protein 1, Interferon-induced transmembrane protein 2, Interferon-induced transmembrane protein 3";"IFITM1, IFITM2, IFITM3";1;3;0,00045526612295571;1;1;2;1;0,000726865697253845;0,000365128805925752;"plasma membrane, integral component of membrane";"receptor signaling protein activity, protein binding"
"64";"P13489";100;100;"P13489";"RINI_HUMAN";"Ribonuclease inhibitor";"RNH1";1;2;0,000256766143098665;1;1;1;1;0,000307459459792841;0,000308894217594454;"cytoplasm, angiogenin-PRI complex, extracellular vesicular exosome";"ribonuclease inhibitor activity, protein binding"
"65";"P13639";101;101;"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";17;58;0,0040008235047623;15;13;28;30;0,00462550898252447;0,0049790291717148;"polysome, ribonucleoprotein complex, extracellular vesicular exosome, cytosol";"GTPase activity, translation activator activity, translation elongation factor activity, GTP binding, poly(A) RNA binding, protein kinase binding"
