"";"X";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768"
"79";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";6;11;0,000258345458661375;1;6;2;9;NA;NA
"85";"P41252";"P41252";"P41252";"SYIC_HUMAN";"Isoleucine--tRNA ligase, cytoplasmic";"IARS";6;10;0,000468974611602554;5;2;7;3;0,000786189918186607;0,00033851085810866
"90";"P83731";"P83731";"P83731";"RL24_HUMAN";"60S ribosomal protein L24";"RPL24";6;20;0,00753943897888437;6;6;9;11;0,00812515476866559;0,00997708648039156
"91";"Q00325-1,Q00325-2";"Q00325-1,Q00325-2";"Q00325";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";6;14;0,00114445351350745;5;3;8;6;NA;NA
"92";"Q01518-1,Q01518-2";"Q01518-1,Q01518-2";"Q01518";"CAP1_HUMAN";"Adenylyl cyclase-associated protein 1";"CAP1";6;15;0,000934493620803826;5;5;6;9;NA;NA
"94";"Q15233";"Q15233";"Q15233";"NONO_HUMAN";"Non-POU domain-containing octamer-binding protein";"NONO";6;14;0,00182686406026814;6;2;12;2;0,00377532443796583;0,000604671907902519
"95";"Q29RF7-1";"Q29RF7-1";"Q29RF7";"PDS5A_HUMAN";"Sister chromatid cohesion protein PDS5 homolog A";"PDS5A";6;12;0,000531200562311823;4;4;7;5;NA;NA
"96";"Q7KZF4";"Q7KZF4";"Q7KZF4";"SND1_HUMAN";"Staphylococcal nuclease domain-containing protein 1";"SND1";6;14;0,00091053224591142;5;3;9;5;0,00140181241613241;0,000782418869840897
"97";"Q86UE4";"Q86UE4";"Q86UE4";"LYRIC_HUMAN";"Protein LYRIC";"MTDH";6;15;0,00152537618516088;5;5;8;7;0,00194829980707216;0,00171271759480636
"98";"Q92945";"Q92945";"Q92945";"FUBP2_HUMAN";"Far upstream element-binding protein 2";"KHSRP";6;12;0,00120919005786149;3;6;5;7;0,00128154440293399;0,00163563325861254
"99";"136429";"136429";"136429";"136429";"trypsin [Sus scrofa]";"";5;195;0,0499610225841006;5;4;106;89;0,065040320182844;0,0548641595397526
"101";"O43175";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";5;12;0,00133248621352891;5;3;7;5;0,00186148532223546;0,00133583709485031
"104";"P05388,Q8NHW5";"P05388,Q8NHW5";"P05388";"RLA0_HUMAN, RLA0L_HUMAN";"60S acidic ribosomal protein P0, 60S acidic ribosomal protein P0-like";"RPLP0, RPLP0P6";5;10;0,000933510977669437;5;2;6;4;0,0013413767599164;0,000898424191236865
"107";"P17844";"P17844";"P17844";"DDX5_HUMAN";"Probable ATP-dependent RNA helicase DDX5";"DDX5";5;13;0,0016916769699079;5;3;8;5;0,00246234633597394;0,00159446516431339
"109";"P24752";"P24752";"P24752";"THIL_HUMAN";"Acetyl-CoA acetyltransferase, mitochondrial";"ACAT1";5;10;0,00138605611204315;2;4;4;6;0,00132776403713817;0,00200094006057672
"110";"P25205";"P25205";"P25205";"MCM3_HUMAN";"DNA replication licensing factor MCM3";"MCM3";5;9;0,00065923436121062;2;4;2;7;0,000350838641001237;0,00123366539625904
"111";"P33992";"P33992";"P33992";"MCM5_HUMAN";"DNA replication licensing factor MCM5";"MCM5";5;5;0,000403164822780942;5;NA;5;NA;0,000965523235452995;NA
"114";"P48735";"P48735";"P48735";"IDHP_HUMAN";"Isocitrate dehydrogenase [NADP], mitochondrial";"IDH2";5;12;0,00157127245975865;4;4;5;7;0,00156790720093473;0,00220531336322412
"115";"P60709,P63261";"P60709,P63261";"P60709";"ACTB_HUMAN, ACTG_HUMAN";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";7;87;0,0158610624958012;7;7;37;50;0,0146263422409607;0,023550951169978
"117";"P62081";"P62081";"P62081";"RS7_HUMAN";"40S ribosomal protein S7";"RPS7";5;9;0,00274567713328959;2;5;2;7;0,00146122485530412;0,00513815278441908
"118";"P62241";"P62241";"P62241";"RS8_HUMAN";"40S ribosomal protein S8";"RPS8";5;18;0,00512174388325174;4;5;6;12;0,00408861954705288;0,00821539813332941
"119";"P62263";"P62263";"P62263";"RS14_HUMAN";"40S ribosomal protein S14";"RPS14";5;16;0,00627121546852899;4;5;6;10;0,00563200573368873;0,00943047909344657
"120";"P62805";"P62805";"P62805";"H4_HUMAN";"Histone H4";"HIST1H4J,HIST1H4D,HIST1H4K,HIST1H4C,HIST2H4A,HIST4H4,HIST1H4E,HIST1H4A,HIST1H4B,HIST1H4I,HIST2H4B,HIST1H4H,HIST1H4L,HIST1H4F";5;19;0,0109175468320447;5;4;12;7;0,0165132595298446;0,0096776858269641
"123";"P63173";"P63173";"P63173";"RL38_HUMAN";"60S ribosomal protein L38";"RPL38";5;11;0,0093004365118095;3;4;5;6;0,0101242007831786;0,012205734369518
"124";"Q06323";"Q06323";"Q06323";"PSME1_HUMAN";"Proteasome activator complex subunit 1";"PSME1";5;8;0,00190151312399172;2;4;4;4;0,00227692869019277;0,00228755396483603
"125";"Q13435";"Q13435";"Q13435";"SF3B2_HUMAN";"Splicing factor 3B subunit 2";"SF3B2";5;5;0,000330640201029287;5;NA;5;NA;0,000791836932762568;NA
"126";"Q14566";"Q14566";"Q14566";"MCM6_HUMAN";"DNA replication licensing factor MCM6";"MCM6";5;7;0,000504618966978923;4;3;4;3;0,000690566679485991;0,000520341903694433
"128";"Q92598-1,Q92598-2,Q92598-3";"Q92598-1,Q92598-2,Q92598-3";"Q92598";"HS105_HUMAN";"Heat shock protein 105 kDa";"HSPH1";5;7;0,000178836299702018;4;2;5;2;NA;NA
"129";"Q9P258";"Q9P258";"Q9P258";"RCC2_HUMAN";"Protein RCC2";"RCC2";5;12;0,00136056542492511;5;5;5;7;0,00135765144602011;0,00190958168616341
"132";"P09874";"P09874";"P09874";"PARP1_HUMAN";"Poly [ADP-ribose] polymerase 1";"PARP1";4;8;0,000466939613287908;3;3;3;5;0,000419345594569526;0,000702170780626446
"133";"P11142-1";"P11142-1";"P11142";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";15;42;0,00510814687544035;11;12;21;21;NA;NA
"135";"P16150";"P16150";"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";4;28;0,00414292171889696;4;3;14;14;0,00496085838375749;0,00498400820088651
"137";"P20042";"P20042";"P20042";"IF2B_HUMAN";"Eukaryotic translation initiation factor 2 subunit 2";"EIF2S2";4;5;0,000888657597360996;3;2;3;2;0,0012769262249054;0,000855256662528788
"138";"P22234-1,P22234-2";"P22234-1,P22234-2";"P22234";"PUR6_HUMAN";"Multifunctional protein ADE2";"PAICS";4;6;0,000417773618712299;NA;4;NA;6;NA;NA
"140";"P22695";"P22695";"P22695";"QCR2_HUMAN";"Cytochrome b-c1 complex subunit 2, mitochondrial";"UQCRC2";4;6;0,000783901933566123;4;NA;6;NA;0,00187733524456291;NA
"141";"P29966";"P29966";"P29966";"MARCS_HUMAN";"Myristoylated alanine-rich C-kinase substrate";"MARCKS";4;9;0,00160440169836801;2;4;2;7;0,000853848258822288;0,0030024145788473
"147";"P35232";"P35232";"P35232";"PHB_HUMAN";"Prohibitin";"PHB";4;10;0,00217590426412656;3;4;4;6;0,0020843942788897;0,00314118163921419
"148";"P45880-1,P45880-2,P45880-3";"P45880-1,P45880-2,P45880-3";"P45880";"VDAC2_HUMAN";"Voltage-dependent anion-selective channel protein 2";"VDAC2";4;8;0,000536821732283377;2;4;2;6;NA;NA
"152";"P49207";"P49207";"P49207";"RL34_HUMAN";"60S ribosomal protein L34";"RPL34";4;13;0,00657606622047137;3;4;6;7;0,00726865697253845;0,00851967213826754
"153";"P49321-1,P49321-2,P49321-3";"P49321-1,P49321-2,P49321-3";"P49321";"NASP_HUMAN";"Nuclear autoantigenic sperm protein";"NASP";4;6;0,000150214710619904;4;NA;6;NA;NA;NA
"154";"P50552";"P50552";"P50552";"VASP_HUMAN";"Vasodilator-stimulated phosphoprotein";"VASP";4;9;0,00140174043120574;4;3;6;3;0,00223798122575526;0,00112421237613981
"166";"Q13423";"Q13423";"Q13423";"NNTM_HUMAN";"NAD(P) transhydrogenase, mitochondrial";"NNT";4;6;0,000326986718144985;2;2;2;4;0,000261029117798342;0,000524494417351909
"167";"Q14008-1,Q14008-2,Q14008-3";"Q14008-1,Q14008-2,Q14008-3";"Q14008";"CKAP5_HUMAN";"Cytoskeleton-associated protein 5";"CKAP5";4;5;4,85437959188339e-05;4;NA;5;NA;NA;NA
"169";"Q14739";"Q14739";"Q14739";"LBR_HUMAN";"Lamin-B receptor";"LBR";4;4;0,000384940461686129;4;NA;4;NA;0,000921878445297559;NA
"170";"Q14974";"Q14974";"Q14974";"IMB1_HUMAN";"Importin subunit beta-1";"KPNB1";4;10;0,00067562324182925;3;3;6;4;0,00097081377372945;0,000650229380415722
"171";"Q15365";"Q15365";"Q15365";"PCBP1_HUMAN";"Poly(rC)-binding protein 1";"PCBP1";4;14;0,00355968158266097;4;4;8;6;0,00445919854719774;0,00411429248410719
"172";"Q16891-1,Q16891-2,Q16891-3";"Q16891-1,Q16891-2,Q16891-3";"Q16891";"IMMT_HUMAN";"Mitochondrial inner membrane protein";"IMMT";4;5;0,000130133236552863;2;3;2;3;NA;NA
"173";"Q32MZ4-1,Q32MZ4-2,Q32MZ4-3";"Q32MZ4-1,Q32MZ4-2,Q32MZ4-3";"Q32MZ4";"LRRF1_HUMAN";"Leucine-rich repeat flightless-interacting protein 1";"LRRFIP1";4;8;0,000195328699617961;4;2;6;2;NA;NA
"174";"Q86UP2-1,Q86UP2-2,Q86UP2-3";"Q86UP2-1,Q86UP2-2,Q86UP2-3";"Q86UP2";"KTN1_HUMAN";"Kinectin";"KTN1";4;4;5,81523910432251e-05;4;NA;4;NA;NA;NA
"176";"Q92841-1,Q92841-2,Q92841-3,Q92841-4";"Q92841-1,Q92841-2,Q92841-3,Q92841-4";"Q92841";"DDX17_HUMAN";"Probable ATP-dependent RNA helicase DDX17";"DDX17";4;7;0,000191801931430415;2;2;4;3;NA;NA
"179";"Q99497";"Q99497";"Q99497";"PARK7_HUMAN";"Protein DJ-1";"PARK7";4;7;0,00219202207349046;4;NA;7;NA;0,00524958559127777;NA
"180";"Q9P2E9-1,Q9P2E9-2";"Q9P2E9-1,Q9P2E9-2";"Q9P2E9";"RRBP1_HUMAN";"Ribosome-binding protein 1";"RRBP1";6;9;0,000188887008460348;3;5;3;6;NA;NA
"181";"Q9Y266";"Q9Y266";"Q9Y266";"NUDC_HUMAN";"Nuclear migration protein nudC";"NUDC";4;6;0,0010728325556056;4;NA;6;NA;0,00256928358243806;NA
"182";"O94776";"O94776";"O94776";"MTA2_HUMAN";"Metastasis-associated protein MTA2";"MTA2";3;3;0,000265799083761567;3;NA;3;NA;0,000636551546247753;NA
"183";"P04040";"P04040";"P04040";"CATA_HUMAN";"Catalase";"CAT";3;7;0,000786133153490884;3;2;5;2;0,00134477050250948;0,000540418346531473
"187";"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";3;14;0,0104604353499888;2;3;4;10;0,00936412564930629;0,0154192907907834
"188";"P08865";"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";3;4;0,000802502996396506;1;2;1;3;0,000480470545642372;0,00144813797604451
"189";"P09211";"P09211";"P09211";"GSTP1_HUMAN";"Glutathione S-transferase P";"GSTP1";3;9;0,00253648268503896;2;3;4;5;0,00269978687551428;0,00339048176931055
"191";"P10599";"P10599";"P10599";"THIO_HUMAN";"Thioredoxin";"TXN";3;19;0,0107095935590534;3;3;8;11;0,0107991475020571;0,0149181197849664
"193";"P14868";"P14868";"P14868";"SYDC_HUMAN";"Aspartate--tRNA ligase, cytoplasmic";"DARS";3;3;0,000354398778348756;3;NA;3;NA;0,000848735394997004;NA
"194";"P15311";"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";3;5;0,000632563941272214;2;1;3;2;0,000953272468843755;0,00057437264847768
"195";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"P16070";"CD44_HUMAN";"CD44 antigen";"CD44";4;10;5,31757376318439e-05;4;3;6;4;NA;NA
"196";"P18077";"P18077";"P18077";"RL35A_HUMAN";"60S ribosomal protein L35a";"RPL35A";3;8;0,00430433425339944;3;2;5;3;0,00644267322565908;0,00388364275393754
"200";"P22102-1";"P22102-1";"P22102";"PUR2_HUMAN";"Trifunctional purine biosynthetic protein adenosine-3";"GART";3;4;0,000234394439541554;NA;3;NA;4;NA;NA
"207";"P39019";"P39019";"P39019";"RS19_HUMAN";"40S ribosomal protein S19";"RPS19";3;8;0,00326535701982026;2;3;4;4;0,00391003616453792;0,00392828232582188
"209";"P41250";"P41250";"P41250";"SYG_HUMAN";"Glycine--tRNA ligase";"GARS";3;33;0,00264288452974289;3;NA;33;NA;0,00632933797270432;NA
"210";"P42765";"P42765";"P42765";"THIM_HUMAN";"3-ketoacyl-CoA thiolase, mitochondrial";"ACAA2";3;4;0,000596318347448285;NA;3;NA;4;NA;0,00143476306610623
"211";"P42766";"P42766";"P42766";"RL35_HUMAN";"60S ribosomal protein L35";"RPL35";3;5;0,0024058778855383;3;2;3;2;0,00345704416986585;0,00231545096440721
"214";"P53999";"P53999";"P53999";"TCP4_HUMAN";"Activated RNA polymerase II transcriptional coactivator p15";"SUB1";3;7;0,00326214308574564;3;2;5;2;0,00558026814820865;0,00224252337497706
"215";"P55060-1,P55060-3";"P55060-1,P55060-3";"P55060";"XPO2_HUMAN";"Exportin-2";"CSE1L";3;6;0,000182856630229379;3;NA;6;NA;NA;NA
"218";"P61006";"P61006";"P61006";"RAB8A_HUMAN";"Ras-related protein Rab-8A";"RAB8A";3;6;0,0024016937500852;3;1;5;1;0,00456485703589371;0,00137584767450283
"219";"P61204,P84077";"P61204,P84077";"P84077";"ARF1_HUMAN, ARF3_HUMAN";"ADP-ribosylation factor 1, ADP-ribosylation factor 3";"ARF1, ARF3";3;4;0,00102767254274138;2;2;2;2;0,00156617470679005;0,00110143827643901
"224";"P62913-1,P62913-2";"P62913-1,P62913-2";"P62913";"RL11_HUMAN";"60S ribosomal protein L11";"RPL11";3;9;0,00149623978611849;2;3;4;5;NA;NA
"225";"P78347-1,P78347-2,P78347-3,P78347-4";"P78347-1,P78347-2,P78347-3,P78347-4";"P78347";"GTF2I_HUMAN";"General transcription factor II-I";"GTF2I";3;3;4,44774017917653e-05;3;NA;3;NA;NA;NA
"226";"Q01469";"Q01469";"Q01469";"FABP5_HUMAN";"Fatty acid-binding protein, epidermal";"FABP5";3;13;0,00569925739107518;3;3;5;8;0,00524958559127777;0,00843853240361737
"227";"Q01650";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";3;6;0,000700409419931862;2;3;2;4;0,000559127459426034;0,00112347324900231
"229";"Q08170";"Q08170";"Q08170";"SRSF4_HUMAN";"Serine/arginine-rich splicing factor 4";"SRSF4";3;3;0,000359420623386087;3;NA;3;NA;0,000860762009905869;NA
"230";"Q13085-1,Q13085-4";"Q13085-1,Q13085-4";"Q13085";"ACACA_HUMAN";"Acetyl-CoA carboxylase 1";"ACACA";117;819;0,01033081502794;106;107;340;479;NA;NA
"231";"Q14444-1,Q14444-2";"Q14444-1,Q14444-2";"Q14444";"CAPR1_HUMAN";"Caprin-1";"CAPRIN1";3;4;0,00016695231589349;2;2;2;2;NA;NA
"232";"Q14839-1,Q14839-2";"Q14839-1,Q14839-2";"Q14839";"CHD4_HUMAN";"Chromodomain-helicase-DNA-binding protein 4";"CHD4";3;11;0,000170248576314505;3;2;5;6;NA;NA
"235";"Q6JBY9-1";"Q6JBY9-1";"Q6JBY9";"CPZIP_HUMAN";"CapZ-interacting protein";"RCSD1";3;3;0,000426811990270978;3;NA;3;NA;NA;NA
"236";"Q6P1L8";"Q6P1L8";"Q6P1L8";"RM14_HUMAN";"39S ribosomal protein L14, mitochondrial";"MRPL14";3;6;0,0024490177648652;3;2;4;2;0,00391003616453792;0,00196414116291094
"238";"Q9NUQ9";"Q9NUQ9";"Q9NUQ9";"FA49B_HUMAN";"Protein FAM49B";"FAM49B";3;9;0,00164401655511784;2;3;4;5;0,00174986186375926;0,00219753448010869
"240";"O00193";"O00193";"O00193";"SMAP_HUMAN";"Small acidic protein";"SMAP";2;2;0,000646826185620134;2;NA;2;NA;0,00154905804332787;NA
"241";"O15127";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";2;2;0,00035978477801971;NA;2;NA;2;NA;0,000865654919823971
"242";"O15347";"O15347";"O15347";"HMGB3_HUMAN";"High mobility group protein B3";"HMGB3";2;2;0,000591845959842423;2;NA;2;NA;0,001417388109645;NA
"243";"O43148-1,O43148-2";"O43148-1,O43148-2";"O43148";"MCES_HUMAN";"mRNA cap guanine-N7 methyltransferase";"RNMT";2;2;0,000124337386521517;2;NA;2;NA;NA;NA
"244";"O43776";"O43776";"O43776";"SYNC_HUMAN";"Asparagine--tRNA ligase, cytoplasmic";"NARS";2;2;0,000216002175124972;NA;2;NA;2;NA;0,000519708884346873
"246";"O60488-1,O60488-2";"O60488-1,O60488-2";"O60488";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";2;2;8,32413445629287e-05;2;NA;2;NA;NA;NA
"247";"O60664-1,O60664-3";"O60664-1,O60664-3";"O60664";"PLIN3_HUMAN";"Perilipin-3";"PLIN3";2;2;0,000136370036830051;NA;2;NA;2;NA;NA
"249";"O75821";"O75821";"O75821";"EIF3G_HUMAN";"Eukaryotic translation initiation factor 3 subunit G";"EIF3G";2;2;0,000369903724901514;2;NA;2;NA;0,000885867568528123;NA
"250";"O75964";"O75964";"O75964";"ATP5L_HUMAN";"ATP synthase subunit g, mitochondrial";"ATP5L";2;2;0,0011492154560047;NA;2;NA;2;NA;0,00276505309341831
"252";"O94804";"O94804";"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";2;4;0,000244564446215877;NA;2;NA;4;NA;0,000588430720293567
"253";"O95347-1";"O95347-1";"O95347";"SMC2_HUMAN";"Structural maintenance of chromosomes protein 2";"SMC2";2;2;9,88882138416747e-05;NA;2;NA;2;NA;NA
"254";"O95831-1,O95831-3";"O95831-1,O95831-3";"O95831";"AIFM1_HUMAN";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";5;8;0,00038619638488902;4;2;6;2;NA;NA
"255";"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";10;25;0,00496515066981899;8;6;13;12;0,00618323671992784;0,00573423762326348
"259";"P08559-1,P08559-2,P08559-3,P08559-4";"P08559-1,P08559-2,P08559-3,P08559-4";"P08559";"ODPA_HUMAN";"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial";"PDHA1";2;6;0,000227633061477855;2;2;4;2;NA;NA
"262";"P09622";"P09622";"P09622";"DLDH_HUMAN";"Dihydrolipoyl dehydrogenase, mitochondrial";"DLD";2;3;0,000348828660025004;1;2;1;2;0,000278465247474459;0,000559529407901938
"263";"P09972";"P09972";"P09972";"ALDOC_HUMAN";"Fructose-bisphosphate aldolase C";"ALDOC";2;8;0,00149587440399733;1;2;1;7;0,000463562306922095;0,00308955143475636
"264";"P11413-1,P11413-2,P11413-3";"P11413-1,P11413-2,P11413-3";"P11413";"G6PD_HUMAN";"Glucose-6-phosphate 1-dehydrogenase";"G6PD";2;2;7,6614363733647e-05;2;NA;2;NA;NA;NA
