"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768";"Go.Cc"
"115";115;"P16150";"P16150";"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";4;28;0,00414292171889696;4;3;14;14;0,00496085838375749;0,00498400820088651;"integral component of plasma membrane, uropod, cell surface, basement membrane, extracellular space, external side of plasma membrane, extracellular vesicular exosome"
"118";118;"P16615";"P16615-1,P16615-2,P16615-3,P16615-4,P16615-5";"P16615-1,P16615-2,P16615-3,P16615-4,P16615-5";"AT2A2_HUMAN";"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2";"ATP2A2";3;3;3,40794218719246e-05;NA;3;NA;3;NA;NA;"platelet dense tubular network membrane, integral component of plasma membrane, sarcoplasmic reticulum membrane"
"122";122;"P17813";"P17813-1,P17813-2";"P17813-1,P17813-2";"EGLN_HUMAN";"Endoglin";"ENG";1;1;4,49730972524638e-05;NA;1;NA;1;NA;NA;"endothelial microparticle, extracellular space, external side of plasma membrane, transforming growth factor beta receptor homodimeric complex, cytoplasm, nucleus, cell surface"
"125";125;"P17987";"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";4;6;0,000638682690477435;4;NA;6;NA;0,00152955551400539;NA;"cell body, plasma membrane, Golgi apparatus, chaperonin-containing T-complex, extracellular vesicular exosome, nuclear heterochromatin, nucleus, microtubule, zona pellucida receptor complex, cytosol, cell junction, centrosome, acrosomal vesicle, pericentriolar material"
"128";128;"P18465";"P10319,P18465";"P10319,P18465";"1B57_HUMAN, 1B58_HUMAN";"HLA class I histocompatibility antigen, B-57 alpha chain, HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"ER to Golgi transport vesicle membrane, phagocytic vesicle membrane, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane, cell surface, MHC class I protein complex"
"137";137;"P20701";"P20701-1,P20701-2,P20701-3";"P20701-1,P20701-2,P20701-3";"ITAL_HUMAN";"Integrin alpha-L";"ITGAL";2;2;3,37234165152378e-05;NA;2;NA;2;NA;NA;"integrin complex, immunological synapse, extracellular vesicular exosome, external side of plasma membrane"
"138";138;"P21281";"P21281";"P21281";"VATB2_HUMAN";"V-type proton ATPase subunit B, brain isoform";"ATP6V1B2";1;1;0,000115821127170729;1;NA;1;NA;0,0002773753639227;NA;"integral component of membrane, microvillus, cytosol, lysosomal membrane, melanosome, extracellular vesicular exosome, plasma membrane, proton-transporting V-type ATPase, V1 domain, Golgi apparatus"
"140";140;"P21333";"P21333-1,P21333-2";"P21333-1,P21333-2";"FLNA_HUMAN";"Filamin-A";"FLNA";14;27;0,000301848147256241;10;11;14;13;NA;NA;"cytosol, plasma membrane, dendritic shaft, nucleus, cortical cytoskeleton, actin filament, perinuclear region of cytoplasm, apical dendrite, extracellular vesicular exosome, trans-Golgi network, Myb complex, actin cytoskeleton, neuronal cell body"
"141";141;"P21796";"P21796";"P21796";"VDAC1_HUMAN";"Voltage-dependent anion-selective channel protein 1";"VDAC1";3;5;0,00197514356445253;1;2;1;4;0,00250421927499116;0,0030190862398101;"mitochondrial outer membrane, mitochondrial inner membrane, pore complex, extracellular vesicular exosome, mitochondrial nucleoid, plasma membrane"
"155";155;"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";11;30;0,00321073757599868;9;9;15;15;0,00384463320880198;0,00386257416756898;"mitochondrial matrix, plasma membrane, mitochondrial proton-transporting ATP synthase complex, proton-transporting ATP synthase complex, catalytic core F(1), extracellular vesicular exosome"
"157";157;"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";28;90;0,0115637512175725;24;21;48;42;0,0154902645890451;0,01224996501242;"apical plasma membrane, apical part of cell, basolateral plasma membrane, filopodium, microvillus membrane, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleolus, uropod, extrinsic component of membrane, plasma membrane, microvillus, blood microparticle"
"166";166;"P27797";"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";3;3;0,00042578846031829;3;NA;3;NA;0,0010197036760036;NA;"endocytic vesicle lumen, acrosomal vesicle, nucleus, cytosol, extracellular space, endoplasmic reticulum lumen, perinuclear region of cytoplasm, Golgi apparatus, external side of plasma membrane, sarcoplasmic reticulum lumen, proteinaceous extracellular matrix, polysome, MHC class I peptide loading complex, extracellular vesicular exosome, cell surface, integral component of lumenal side of endoplasmic reticulum membrane"
"167";167;"P27816";"P27816-1,P27816-6";"P27816-1,P27816-6";"MAP4_HUMAN";"Microtubule-associated protein 4";"MAP4";5;10;0,000256877586737163;5;3;7;3;NA;NA;"microtubule associated complex, microtubule, mitotic spindle, cytoplasm, plasma membrane"
"172";172;"P29966";"P29966";"P29966";"MARCS_HUMAN";"Myristoylated alanine-rich C-kinase substrate";"MARCKS";4;9;0,00160440169836801;2;4;2;7;0,000853848258822288;0,0030024145788473;"plasma membrane, extracellular vesicular exosome, centrosome, cell cortex, actin cytoskeleton, germinal vesicle"
"173";173;"P30040";"P30040";"P30040";"ERP29_HUMAN";"Endoplasmic reticulum resident protein 29";"ERP29";2;2;0,00045352180830837;NA;2;NA;2;NA;0,00109118953495052;"melanosome, cell surface, endoplasmic reticulum lumen, endoplasmic reticulum"
"177";177;"P30101";"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";10;25;0,00292993049426942;9;8;16;9;0,00449073460481583;0,00253782595801859;"endoplasmic reticulum lumen, cell surface, melanosome, extracellular vesicular exosome"
"193";193;"P35232";"P35232";"P35232";"PHB_HUMAN";"Prohibitin";"PHB";4;10;0,00217590426412656;3;4;4;6;0,0020843942788897;0,00314118163921419;"mitochondrial inner membrane, extracellular vesicular exosome, integral component of plasma membrane, nucleoplasm"
"195";195;"P35579";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";45;102;0,00349865746223473;39;24;64;38;NA;NA;"uropod, nucleus, ruffle, plasma membrane, cleavage furrow, protein complex, actomyosin contractile ring, myosin II complex, spindle, stress fiber, cortical cytoskeleton, cytosol, cell-cell adherens junction, immunological synapse, extracellular vesicular exosome, neuromuscular junction"
"210";210;"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";10;19;0,00332694474467634;7;7;10;9;0,00419345594569526;0,00379172221538281;"plasma membrane, mitochondrial matrix, nucleus, mitochondrial inner membrane, extracellular vesicular exosome"
"228";228;"P46940";"P46940";"P46940";"IQGA1_HUMAN";"Ras GTPase-activating-like protein IQGAP1";"IQGAP1";3;3;0,000107153764606353;2;1;2;1;0,000171078830373566;8,59385843760067e-05;"cell leading edge, actin filament, neuron projection, midbody, cytoplasm, extrinsic component of cytoplasmic side of plasma membrane, nucleus, ribonucleoprotein complex, microtubule, slit diaphragm, lateral plasma membrane, extracellular vesicular exosome"
"231";231;"P48047";"P48047";"P48047";"ATPO_HUMAN";"ATP synthase subunit O, mitochondrial";"ATP5O";3;4;0,00111144781191065;2;2;2;2;0,00133088085412676;0,00133709140198163;"plasma membrane, mitochondrial proton-transporting ATP synthase complex"
"235";235;"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";29;64;0,00150848830863859;25;18;38;26;0,00214499196202747;0,0014744747479439;"mitochondrion, plasma membrane, Golgi apparatus, glycogen granule, cytosol, extracellular vesicular exosome, melanosome"
"236";236;"P49368";"P49368-1";"P49368-1";"TCPG_HUMAN";"T-complex protein 1 subunit gamma";"CCT3";4;4;0,00043438235584765;4;NA;4;NA;NA;NA;"cytosol, chaperonin-containing T-complex, cell body, microtubule, plasma membrane, extracellular vesicular exosome, zona pellucida receptor complex"
"240";240;"P50552";"P50552";"P50552";"VASP_HUMAN";"Vasodilator-stimulated phosphoprotein";"VASP";4;9;0,00140174043120574;4;3;6;3;0,00223798122575526;0,00112421237613981;"tight junction, actin cytoskeleton, plasma membrane, extracellular vesicular exosome, lamellipodium membrane, filopodium membrane, cytosol, focal adhesion"
"244";244;"P51572";"P51572-1,P51572-2";"P51572-1,P51572-2";"BAP31_HUMAN";"B-cell receptor-associated protein 31";"BCAP31";8;15;0,00180440841415373;7;4;9;6;NA;NA;"Golgi membrane, integral component of plasma membrane, lipid particle, endoplasmic reticulum-Golgi intermediate compartment membrane, integral component of lumenal side of endoplasmic reticulum membrane, cytosol"
"249";249;"P53396";"P53396-1,P53396-2";"P53396-1,P53396-2";"ACLY_HUMAN";"ATP-citrate synthase";"ACLY";2;4;0,000107510619408251;2;2;2;2;NA;NA;"plasma membrane, mitochondrion, citrate lyase complex, nucleus, extracellular vesicular exosome, cytosol"
"264";264;"P61006";"P61006";"P61006";"RAB8A_HUMAN";"Ras-related protein Rab-8A";"RAB8A";3;6;0,0024016937500852;3;1;5;1;0,00456485703589371;0,00137584767450283;"neuronal cell body, extracellular vesicular exosome, Golgi membrane, dendrite, phagocytic vesicle, postsynaptic density, phagocytic vesicle membrane, recycling endosome membrane, nonmotile primary cilium, cytoplasmic vesicle membrane, plasma membrane"
"271";271;"P61586";"P61586";"P61586";"RHOA_HUMAN";"Transforming protein RhoA";"RHOA";5;14;0,00429318312839063;4;4;7;7;0,00514078588990413;0,00516477533770623;"cytosol, extracellular vesicular exosome, cell cortex, midbody, cleavage furrow, apical junction complex, plasma membrane, lamellipodium, cytoskeleton"
"301";301;"P62879";"P62873,P62879,Q9HAV0";"P62873,P62879,Q9HAV0";"GBB1_HUMAN, GBB2_HUMAN, GBB4_HUMAN";"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1, Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2, Guanine nucleotide-binding protein subunit beta-4";"GNB1, GNB2, GNB4";2;2;0,000116048227420083;2;NA;2;NA;0,000277919237185294;NA;"lysosomal membrane, protein complex, plasma membrane, extracellular vesicular exosome, cell body, perinuclear region of cytoplasm"
"309";309;"P62987";"P62987";"P62987";"RL40_HUMAN";"Ubiquitin-60S ribosomal protein L40";"UBA52";5;23;0,0106347320909185;4;4;10;13;0,0110733446066015;0,0144625237972153;"ribosome, plasma membrane, lysosomal membrane, cytosol, nucleoplasm, endocytic vesicle membrane, endosome membrane, cytosolic large ribosomal subunit"
"316";316;"P68104";"P68104,Q5VTE0";"P68104,Q5VTE0";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";18;77;0,00493204966535352;13;17;27;50;0,00414171850220941;0,00770564038479671;"extracellular space, eukaryotic translation elongation factor 1 complex, nucleus, cytosol, plasma membrane, extracellular vesicular exosome"
"320";320;"P68371";"P68371";"P68371";"TBB4B_HUMAN";"Tubulin beta-4B chain";"TUBB4B";3;5;0,00352797591674253;1;2;2;3;0,00435302715321685;0,00445539194646479;"cytosol, extracellular vesicular exosome, nucleus, microtubule, plasma membrane"
"327";327;"P84077";"P61204,P84077";"P61204,P84077";"ARF1_HUMAN, ARF3_HUMAN";"ADP-ribosylation factor 1, ADP-ribosylation factor 3";"ARF1, ARF3";3;4;0,00102767254274138;2;2;2;2;0,00156617470679005;0,00110143827643901;"Golgi membrane, postsynaptic membrane, plasma membrane, extracellular vesicular exosome, neuron projection, perinuclear region of cytoplasm, cytosol, sarcomere, cell junction, postsynaptic density"
"328";328;"P84085";"P84085";"P84085";"ARF5_HUMAN";"ADP-ribosylation factor 5";"ARF5";2;3;0,00155007275196825;0;2;0;3;0;0,00332267213392434;"plasma membrane, perinuclear region of cytoplasm, Golgi apparatus"
"330";330;"Q00325";"Q00325-1,Q00325-2";"Q00325-1,Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";6;14;0,00114445351350745;5;3;8;6;NA;NA;"mitochondrial inner membrane, extracellular vesicular exosome, integral component of plasma membrane"
"333";333;"Q00839";"Q00839-1";"Q00839-1";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";2;8;0,00443476862471457;2;2;5;3;NA;NA;"cell surface, catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm"
"334";334;"Q00839";"Q00839-2";"Q00839-2";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";1;3;0,00166303823426797;1;1;2;1;NA;NA;"cell surface, catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm"
"336";336;"Q01518";"Q01518-1,Q01518-2";"Q01518-1,Q01518-2";"CAP1_HUMAN";"Adenylyl cyclase-associated protein 1";"CAP1";6;15;0,000934493620803826;5;5;6;9;NA;NA;"cortical actin cytoskeleton, plasma membrane, extracellular vesicular exosome"
"338";338;"Q01650";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";3;6;0,000700409419931862;2;3;2;4;0,000559127459426034;0,00112347324900231;"plasma membrane, extracellular vesicular exosome, integral component of membrane, cytosol, apical plasma membrane"
"345";345;"Q04917";"Q04917";"Q04917";"1433F_HUMAN";"14-3-3 protein eta";"YWHAH";2;3;0,000839049912581484;1;1;1;2;0,000664816186512663;0,00135538593038471;"cytoplasmic vesicle membrane, extracellular vesicular exosome, cytosol, intercalated disc, plasma membrane"
"346";346;"Q06187";"Q06187";"Q06187";"BTK_HUMAN";"Tyrosine-protein kinase BTK";"BTK";2;2;0,000179619411181312;2;NA;2;NA;0,00043016331096965;NA;"nucleus, membrane raft, plasma membrane, perinuclear region of cytoplasm, mast cell granule, cytosol, cytoplasmic vesicle"
"360";360;"Q13509";"Q13509";"Q13509";"TBB3_HUMAN";"Tubulin beta-3 chain";"TUBB3";0;0;0;0;0;0;0;0;0;"microtubule, axon, cytoplasm, plasma membrane"
"368";368;"Q14444";"Q14444-1,Q14444-2";"Q14444-1,Q14444-2";"CAPR1_HUMAN";"Caprin-1";"CAPRIN1";3;4;0,00016695231589349;2;2;2;2;NA;NA;"cytosol, cytoplasmic mRNA processing body, dendrite, cytoplasmic stress granule, integral component of plasma membrane"
