"";"X";"accession";"name";"go_name"
"18";18;"O60488";"ACSL4_HUMAN";"P:dendritic spine development, C:peroxisomal membrane, F:long-chain fatty acid-CoA ligase activity, P:fatty acid transport, C:neuronal cell body, P:lipid biosynthetic process, P:positive regulation of cell growth, F:arachidonate-CoA ligase activity, F:ATP binding, P:triglyceride biosynthetic process, C:endoplasmic reticulum membrane, C:extracellular vesicular exosome, P:negative regulation of prostaglandin secretion, C:mitochondrial outer membrane, F:very long-chain fatty acid-CoA ligase activity, C:integral component of membrane, P:embryonic process involved in female pregnancy, P:response to interleukin-15, C:lipid particle, P:response to nutrient, P:long-chain fatty-acyl-CoA biosynthetic process"
"19";19;"P60709";"ACTB_HUMAN";"P:innate immune response, C:ribonucleoprotein complex, P:retina homeostasis, C:MLL5-L complex, F:ATP binding, P:cell junction assembly, P:Fc-gamma receptor signaling pathway involved in phagocytosis, P:blood coagulation, F:structural constituent of cytoskeleton, C:cortical cytoskeleton, P:'de novo' posttranslational protein folding, P:axon guidance, C:cytosol, C:blood microparticle, C:NuA4 histone acetyltransferase complex, C:cytoskeleton, C:extracellular vesicular exosome, C:postsynaptic density, C:axon, P:substantia nigra development, P:adherens junction organization"
"20";20;"Q562R1";"ACTBL_HUMAN";"F:ATP binding, C:cytoplasm, C:extracellular space, C:cytoskeleton, C:extracellular vesicular exosome"
"21";21;"P68032";"ACTC_HUMAN";"P:response to drug, C:I band, P:skeletal muscle thin filament assembly, P:cardiac muscle contraction, P:heart contraction, P:cardiac muscle tissue morphogenesis, P:apoptotic process, P:cardiac myofibril assembly, P:muscle filament sliding, F:ATP binding, P:negative regulation of apoptotic process, C:cytosol, C:extracellular vesicular exosome, C:actomyosin, actin portion, F:myosin binding, F:ATPase activity, P:response to ethanol, C:blood microparticle"
"22";22;"Q16186";"ADRM1_HUMAN";"F:proteasome binding, P:transcription elongation from RNA polymerase II promoter, F:endopeptidase activator activity, C:nucleus, C:proteasome complex, C:integral component of plasma membrane, C:cytoplasm, P:proteasome assembly"
"23";23;"P05141";"ADT2_HUMAN";"P:energy reserve metabolic process, P:negative regulation of mitochondrial outer membrane permeabilization, P:regulation of insulin secretion, C:MMXD complex, C:mitochondrial nucleoid, C:integral component of plasma membrane, P:positive regulation of cell proliferation, P:viral process, P:small molecule metabolic process, P:chromosome segregation, F:adenine transmembrane transporter activity, C:mitochondrial inner membrane"
"25";25;"Q09666";"AHNK_HUMAN";"C:cell-cell contact zone, P:protein oligomerization, C:actin cytoskeleton, C:nucleus, C:extracellular vesicular exosome, C:T-tubule, P:regulation of voltage-gated calcium channel activity, F:structural molecule activity conferring elasticity, C:lysosomal membrane, P:regulation of RNA splicing, C:costamere, C:cytosol"
"28";28;"P04075";"ALDOA_HUMAN";"F:fructose binding, C:extracellular space, P:fructose 1,6-bisphosphate metabolic process, P:fructose metabolic process, P:striated muscle contraction, P:glycolysis, C:extracellular vesicular exosome, P:platelet activation, P:gluconeogenesis, P:ATP biosynthetic process, F:identical protein binding, P:regulation of cell shape, P:actin filament organization, C:I band, C:actin cytoskeleton, C:cytosol, F:actin binding, C:platelet alpha granule lumen, P:muscle cell cellular homeostasis, P:protein homotetramerization, F:tubulin binding, F:fructose-bisphosphate aldolase activity, P:platelet degranulation"
"29";29;"P09972";"ALDOC_HUMAN";"P:organ regeneration, P:aging, C:mitochondrion, C:cytoskeleton, P:protein heterotetramerization, P:fructose 1,6-bisphosphate metabolic process, P:protein homotetramerization, P:small molecule metabolic process, P:response to hypoxia, P:response to organic cyclic compound, C:axon, F:cytoskeletal protein binding, F:fructose-bisphosphate aldolase activity, P:response to organonitrogen compound, C:extracellular vesicular exosome, P:fructose metabolic process, P:gluconeogenesis, P:epithelial cell differentiation, C:cytosol, P:apoptotic process, P:glycolysis"
"31";31;"Q92688";"AN32B_HUMAN";"F:RNA polymerase binding, P:positive regulation of protein export from nucleus, C:nucleus, P:activation of cysteine-type endopeptidase activity involved in apoptotic process, C:extracellular vesicular exosome, F:histone binding, P:negative regulation of cell differentiation, P:nucleosome assembly, C:cytoplasm"
"33";33;"O95782";"AP2A1_HUMAN";"P:neurotrophin TRK receptor signaling pathway, P:Golgi to endosome transport, P:axon guidance, C:clathrin coat of trans-Golgi network vesicle, P:negative regulation of epidermal growth factor receptor signaling pathway, P:intracellular protein transport, C:cytosol, P:synaptic transmission, P:viral process, P:regulation of defense response to virus by virus, P:epidermal growth factor receptor signaling pathway, C:AP-2 adaptor complex, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, C:apical plasma membrane, C:basolateral plasma membrane, P:endocytosis, F:protein transporter activity"
"34";34;"P63010";"AP2B1_HUMAN";"P:negative regulation of epidermal growth factor receptor signaling pathway, C:clathrin-coated endocytic vesicle membrane, P:axon guidance, P:endocytosis, P:epidermal growth factor receptor signaling pathway, C:trans-Golgi network, F:protein transporter activity, P:viral process, P:clathrin coat assembly, P:regulation of defense response to virus by virus, C:clathrin adaptor complex, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, C:plasma membrane, C:coated pit, C:cytosol, P:intracellular protein transport, P:synaptic transmission, P:neurotrophin TRK receptor signaling pathway"
"36";36;"O15143";"ARC1B_HUMAN";"F:structural constituent of cytoskeleton, C:Arp2/3 protein complex, P:regulation of actin filament polymerization, C:cytoplasm, C:extracellular vesicular exosome, P:cellular component movement"
"37";37;"P61204";"ARF3_HUMAN";"P:small GTPase mediated signal transduction, C:Golgi membrane, F:GTPase activity, P:vesicle-mediated transport, C:perinuclear region of cytoplasm, C:extracellular vesicular exosome, P:protein transport, P:phosphatidylinositol biosynthetic process, F:GTP binding"
"38";38;"P61160";"ARP2_HUMAN";"P:asymmetric cell division, C:Arp2/3 protein complex, P:cellular component movement, P:cytoplasmic transport, C:cell projection, P:meiotic cytokinesis, C:extracellular vesicular exosome, P:Fc-gamma receptor signaling pathway involved in phagocytosis, P:establishment or maintenance of cell polarity, P:Arp2/3 complex-mediated actin nucleation, P:innate immune response, C:cytosol, C:actin cap, P:spindle localization, F:ATP binding"
"39";39;"P61158";"ARP3_HUMAN";"P:response to carbohydrate, C:podosome, P:meiotic cytokinesis, C:Arp2/3 protein complex, P:positive regulation of dendrite morphogenesis, P:establishment or maintenance of cell polarity, P:cellular component movement, P:asymmetric cell division, P:response to antibiotic, F:ATP binding, P:spindle localization, P:Fc-gamma receptor signaling pathway involved in phagocytosis, C:extracellular vesicular exosome, P:cilium morphogenesis, C:Golgi membrane, P:positive regulation of filopodium assembly, P:positive regulation of lamellipodium assembly, P:positive regulation of actin filament polymerization, P:regulation of myosin II filament organization, C:excitatory synapse, C:lamellipodium, P:innate immune response, C:hemidesmosome, C:cytosol, P:positive regulation of neuron differentiation"
"40";40;"Q9BPX5";"ARP5L_HUMAN";"P:regulation of actin filament polymerization, C:cytoplasm, C:cytoskeleton, C:extracellular vesicular exosome"
"41";41;"O15144";"ARPC2_HUMAN";"C:focal adhesion, P:innate immune response, C:extracellular vesicular exosome, C:endosome, F:structural constituent of cytoskeleton, P:Fc-gamma receptor signaling pathway involved in phagocytosis, C:cell leading edge, C:cell projection, C:cytosol, C:Arp2/3 protein complex, P:positive regulation of substrate adhesion-dependent cell spreading, P:positive regulation of actin filament polymerization, P:cellular component movement, P:positive regulation of lamellipodium assembly, C:plasma membrane, C:Golgi apparatus"
"42";42;"P59998";"ARPC4_HUMAN";"C:extracellular vesicular exosome, P:Fc-gamma receptor signaling pathway involved in phagocytosis, C:Arp2/3 protein complex, P:actin filament polymerization, P:Arp2/3 complex-mediated actin nucleation, P:actin nucleation, C:cytosol, C:cell projection, P:innate immune response"
"43";43;"P16615";"AT2A2_HUMAN";"P:cell adhesion, P:regulation of the force of heart contraction, P:positive regulation of heart rate, F:metal ion binding, P:sarcoplasmic reticulum calcium ion transport, P:epidermis development, P:ER-nucleus signaling pathway, F:calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential, C:platelet dense tubular network membrane, P:relaxation of cardiac muscle, P:negative regulation of heart contraction, C:integral component of plasma membrane, P:cellular calcium ion homeostasis, P:blood coagulation, C:sarcoplasmic reticulum membrane, F:ATP binding"
"46";46;"P25705";"ATPA_HUMAN";"C:mitochondrial matrix, F:MHC class I protein binding, C:plasma membrane, P:lipid metabolic process, F:ATP binding, P:negative regulation of endothelial cell proliferation, F:proton-transporting ATPase activity, rotational mechanism, P:ATP hydrolysis coupled proton transport, P:respiratory electron transport chain, P:embryo development, C:mitochondrial proton-transporting ATP synthase complex, P:mitochondrial ATP synthesis coupled proton transport, C:proton-transporting ATP synthase complex, catalytic core F(1), C:extracellular vesicular exosome, F:proton-transporting ATP synthase activity, rotational mechanism"
"47";47;"P06576";"ATPB_HUMAN";"P:ATP hydrolysis coupled proton transport, F:MHC class I protein binding, P:lipid metabolic process, F:ATP binding, C:mitochondrial nucleoid, C:cell surface, P:mitochondrial ATP synthesis coupled proton transport, P:negative regulation of cell adhesion involved in substrate-bound cell migration, C:mitochondrial proton-transporting ATP synthase, catalytic core, P:respiratory electron transport chain, F:proton-transporting ATP synthase activity, rotational mechanism, P:angiogenesis, F:proton-transporting ATPase activity, rotational mechanism, C:extracellular vesicular exosome, C:plasma membrane, P:regulation of intracellular pH"
"49";49;"P48047";"ATPO_HUMAN";"C:plasma membrane, F:proton-transporting ATP synthase activity, rotational mechanism, F:transmembrane transporter activity, P:respiratory electron transport chain, F:drug binding, P:mitochondrial ATP synthesis coupled proton transport, C:mitochondrial proton-transporting ATP synthase complex, P:ATP catabolic process"
"53";53;"P51572";"BAP31_HUMAN";"C:Golgi membrane, C:integral component of plasma membrane, P:positive regulation of cysteine-type endopeptidase activity involved in apoptotic process, P:negative regulation of endoplasmic reticulum calcium ion concentration, P:vesicle-mediated transport, C:lipid particle, P:cellular component disassembly involved in execution phase of apoptosis, P:positive regulation of mitochondrial calcium ion concentration, C:endoplasmic reticulum-Golgi intermediate compartment membrane, P:immune response, P:calcium-mediated signaling using intracellular calcium source, P:spermatogenesis, C:integral component of lumenal side of endoplasmic reticulum membrane, C:cytosol, P:antigen processing and presentation of peptide antigen via MHC class I, P:positive regulation of intrinsic apoptotic signaling pathway, P:intracellular protein transport, P:positive regulation of cytosolic calcium ion concentration"
"55";55;"Q07021";"C1QBP_HUMAN";"P:mature ribosome assembly, C:nucleus, F:mitochondrial ribosome binding, P:positive regulation of trophoblast cell migration, P:mRNA processing, P:blood coagulation, intrinsic pathway, P:immune response, P:RNA splicing, P:positive regulation of apoptotic process, F:kininogen binding, F:transcription factor binding, C:extracellular space, P:negative regulation of MDA-5 signaling pathway, P:negative regulation of interleukin-12 production, P:positive regulation of neutrophil chemotaxis, P:phosphatidylinositol 3-kinase signaling, F:adrenergic receptor binding, P:positive regulation of protein kinase B signaling, C:nucleolus, P:negative regulation of transcription from RNA polymerase II promoter, P:negative regulation of mRNA splicing, via spliceosome, C:mitochondrion, P:transcription, DNA-templated, C:mitochondrial matrix, P:negative regulation of RIG-I signaling pathway, C:cytosol, F:mRNA binding, P:negative regulation of interferon-gamma production, P:negative regulation of defense response to virus, P:positive regulation of substrate adhesion-dependent cell spreading, P:innate immune response, F:transcription corepressor activity, F:hyaluronic acid binding, P:apoptotic process, P:regulation of complement activation, P:viral process, C:cell surface, F:complement component C1q binding, P:positive regulation of dendritic cell chemotaxis, P:positive regulation of mitochondrial translation, C:plasma membrane, P:complement activation, classical pathway"
"56";56;"P11586";"C1TC_HUMAN";"F:formate-tetrahydrofolate ligase activity, P:one-carbon metabolic process, P:purine nucleotide biosynthetic process, P:methionine biosynthetic process, F:methylenetetrahydrofolate dehydrogenase (NADP+) activity, P:folic acid-containing compound biosynthetic process, C:extracellular vesicular exosome, P:histidine biosynthetic process, F:methenyltetrahydrofolate cyclohydrolase activity, P:folic acid metabolic process, F:ATP binding, P:tetrahydrofolate interconversion, F:methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity, C:mitochondrion, C:cytosol"
"57";57;"P27797";"CALR_HUMAN";"F:unfolded protein binding, P:cell cycle arrest, C:endocytic vesicle lumen, P:positive regulation of gene expression, P:protein localization to nucleus, P:protein export from nucleus, P:negative regulation of transcription from RNA polymerase II promoter, F:protein binding involved in protein folding, P:chaperone-mediated protein folding, P:response to testosterone, P:peptide antigen assembly with MHC class I protein complex, F:zinc ion binding, F:hormone binding, C:acrosomal vesicle, P:regulation of meiosis, P:negative regulation of translation, F:mRNA binding, C:nucleus, P:cardiac muscle cell differentiation, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:cytosol, P:positive regulation of cell cycle, C:extracellular space, C:endoplasmic reticulum lumen, C:perinuclear region of cytoplasm, P:activation of signaling protein activity involved in unfolded protein response, F:chaperone binding, P:response to estradiol, C:Golgi apparatus, P:protein maturation by protein folding, P:cellular senescence, P:positive regulation of DNA replication, C:external side of plasma membrane, P:response to drug, P:positive regulation of dendritic cell chemotaxis, F:complement component C1q binding, P:positive regulation of cell proliferation, P:post-translational protein modification, F:iron ion binding, F:androgen receptor binding, P:protein N-linked glycosylation via asparagine, P:positive regulation of substrate adhesion-dependent cell spreading, C:sarcoplasmic reticulum lumen, P:negative regulation of retinoic acid receptor signaling pathway, C:proteinaceous extracellular matrix, F:carbohydrate binding, P:negative regulation of intracellular steroid hormone receptor signaling pathway, C:polysome, F:calcium ion binding, F:DNA binding, P:cortical actin cytoskeleton organization, P:sequestering of calcium ion, C:MHC class I peptide loading complex, P:protein stabilization, P:positive regulation of phagocytosis, P:cellular response to lithium ion, C:extracellular vesicular exosome, P:spermatogenesis, F:peptide binding, C:cell surface, P:regulation of apoptotic process, P:glucocorticoid receptor signaling pathway, P:negative regulation of neuron differentiation, C:integral component of lumenal side of endoplasmic reticulum membrane"
"59";59;"Q01518";"CAP1_HUMAN";"C:cortical actin cytoskeleton, P:signal transduction, P:establishment or maintenance of cell polarity, P:ameboidal cell migration, P:platelet degranulation, P:platelet activation, P:actin cytoskeleton organization, C:plasma membrane, P:receptor-mediated endocytosis, P:axon guidance, C:extracellular vesicular exosome, P:activation of adenylate cyclase activity"
"60";60;"Q14444";"CAPR1_HUMAN";"C:cytosol, C:cytoplasmic mRNA processing body, P:negative regulation of translation, C:dendrite, C:cytoplasmic stress granule, F:RNA binding, P:positive regulation of dendritic spine morphogenesis, P:positive regulation of dendrite morphogenesis, C:integral component of plasma membrane"
"64";64;"P06493";"CDK1_HUMAN";"F:ATP binding, P:positive regulation of cardiac muscle cell proliferation, P:response to toxic substance, P:positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle, P:Ras protein signal transduction, P:cell migration, P:neurotrophin TRK receptor signaling pathway, P:toll-like receptor 3 signaling pathway, C:midbody, P:response to activity, P:positive regulation of DNA replication, P:organ regeneration, P:TRIF-dependent toll-like receptor signaling pathway, P:DNA repair, P:G2/M transition of mitotic cell cycle, P:cellular response to hydrogen peroxide, P:toll-like receptor 4 signaling pathway, F:histone kinase activity, P:response to cadmium ion, P:mitosis, P:mitotic nuclear envelope disassembly, C:cytosol, P:regulation of transcription involved in G1/S transition of mitotic cell cycle, P:activation of MAPK activity, P:epithelial cell differentiation, P:toll-like receptor TLR6:TLR2 signaling pathway, P:fibroblast growth factor receptor signaling pathway, P:activation of MAPKK activity, P:response to ethanol, P:protein complex assembly, C:extracellular vesicular exosome, P:MyD88-dependent toll-like receptor signaling pathway, P:positive regulation of protein import into nucleus, translocation, P:ventricular cardiac muscle cell development, F:cyclin-dependent protein serine/threonine kinase activity, P:regulation of embryonic development, P:stress-activated MAPK cascade, P:toll-like receptor TLR1:TLR2 signaling pathway, C:nucleoplasm, P:regulation of Schwann cell differentiation, P:positive regulation of gene expression, P:epidermal growth factor receptor signaling pathway, P:toll-like receptor 10 signaling pathway, P:protein localization to kinetochore, C:mitochondrion, P:apoptotic process, P:Fc-epsilon receptor signaling pathway, P:response to copper ion, P:pronuclear fusion, F:RNA polymerase II carboxy-terminal domain kinase activity, P:negative regulation of apoptotic process, P:toll-like receptor 5 signaling pathway, P:response to drug, P:insulin receptor signaling pathway, P:chromosome condensation, P:positive regulation of mitotic cell cycle, P:response to amine, P:cell aging, P:centrosome cycle, P:response to axon injury, P:DNA replication, C:microtubule organizing center, P:axon guidance, P:innate immune response, P:mitotic G2 DNA damage checkpoint, P:toll-like receptor 2 signaling pathway, P:anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process, P:toll-like receptor 9 signaling pathway, P:response to organic cyclic compound, C:spindle microtubule"
"65";65;"P10809";"CH60_HUMAN";"P:B cell proliferation, P:positive regulation of T cell activation, C:coated vesicle, P:MyD88-dependent toll-like receptor signaling pathway, C:mitochondrial matrix, P:positive regulation of interleukin-10 production, F:single-stranded DNA binding, P:positive regulation of macrophage activation, F:DNA replication origin binding, C:extracellular vesicular exosome, P:positive regulation of interleukin-6 production, C:mitochondrial inner membrane, C:cell surface, C:early endosome, C:plasma membrane, P:protein maturation, P:'de novo' protein folding, P:positive regulation of interferon-gamma production, C:secretory granule, F:ATPase activity, P:positive regulation of interleukin-12 production, P:T cell activation, P:response to unfolded protein, P:protein stabilization, C:lipopolysaccharide receptor complex, F:lipopolysaccharide binding, F:unfolded protein binding, P:positive regulation of apoptotic process, C:coated pit, F:double-stranded RNA binding, C:extracellular space, P:viral process, P:chaperone-mediated protein complex assembly, P:activation of cysteine-type endopeptidase activity involved in apoptotic process, P:isotype switching to IgG isotypes, F:ATP binding, P:positive regulation of interferon-alpha production, P:B cell cytokine production, P:negative regulation of apoptotic process, C:cytosol, P:positive regulation of T cell mediated immune response to tumor cell, P:protein refolding"
"66";66;"O75390";"CISY_HUMAN";"F:citrate (Si)-synthase activity, P:cellular carbohydrate metabolic process, P:small molecule metabolic process, C:mitochondrial matrix, P:carbohydrate metabolic process, P:tricarboxylic acid cycle, C:extracellular vesicular exosome"
"67";67;"P09496";"CLCA_HUMAN";"C:clathrin coat of coated pit, P:negative regulation of epidermal growth factor receptor signaling pathway, C:cytosol, P:endocytosis, P:epidermal growth factor receptor signaling pathway, P:axon guidance, C:clathrin coat of trans-Golgi network vesicle, C:clathrin complex, P:post-Golgi vesicle-mediated transport, C:clathrin-coated endocytic vesicle membrane, F:peptide binding, C:plasma membrane, F:structural molecule activity, C:trans-Golgi network membrane, P:intracellular protein transport, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, P:neurotrophin TRK receptor signaling pathway"
"68";68;"Q00610";"CLH1_HUMAN";"C:cytosol, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, C:clathrin complex, C:spindle, C:mitochondrion, C:melanosome, F:double-stranded RNA binding, P:post-Golgi vesicle-mediated transport, P:mitosis, C:trans-Golgi network membrane, C:extracellular vesicular exosome, P:receptor internalization, C:clathrin coat of coated pit, F:structural molecule activity, P:transferrin transport, C:clathrin coat of trans-Golgi network vesicle, C:clathrin-coated endocytic vesicle membrane, P:intracellular protein transport"
"71";71;"P23528";"COF1_HUMAN";"P:negative regulation of apoptotic process, P:platelet activation, C:ruffle membrane, C:extracellular space, C:cytoplasm, P:response to amino acid, P:protein phosphorylation, P:neural crest cell migration, P:Rho protein signal transduction, P:neural fold formation, C:extracellular vesicular exosome, C:nucleus, P:axon guidance, P:actin filament depolymerization, P:establishment of cell polarity, C:cortical actin cytoskeleton, P:actin cytoskeleton organization, P:platelet degranulation, P:negative regulation of cell size, P:Fc-gamma receptor signaling pathway involved in phagocytosis, P:positive regulation of actin filament depolymerization, C:lamellipodium membrane, P:response to virus, P:innate immune response, P:protein import into nucleus, C:nuclear matrix, P:regulation of cell morphogenesis"
"72";72;"P53618";"COPB_HUMAN";"P:COPI coating of Golgi vesicle, P:intracellular protein transport, C:COPI vesicle coat, P:retrograde vesicle-mediated transport, Golgi to ER, C:endoplasmic reticulum-Golgi intermediate compartment, P:intra-Golgi vesicle-mediated transport, F:structural molecule activity, C:plasma membrane, C:cytosol, P:viral process"
"74";74;"Q9ULV4";"COR1C_HUMAN";"C:lamellipodium, P:actin cytoskeleton organization, P:signal transduction, C:plasma membrane, F:actin filament binding, C:cytoplasm, C:actin cytoskeleton, P:phagocytosis"
"77";77;"Q5TZA2";"CROCC_HUMAN";"C:plasma membrane, P:cell cycle, C:actin cytoskeleton, C:centriole, P:centrosome organization, F:structural molecule activity, C:ciliary rootlet, C:extracellular vesicular exosome, F:kinesin binding, P:cell projection organization, P:protein localization"
"78";78;"Q9HB71";"CYBP_HUMAN";"P:negative regulation of cell death, P:cardiac muscle cell differentiation, P:response to growth hormone, C:nuclear envelope lumen, C:cell body, C:neuron projection, P:aging, C:extracellular vesicular exosome, P:cellular response to calcium ion, P:positive regulation of DNA replication, C:beta-catenin destruction complex"
"85";85;"O00571";"DDX3X_HUMAN";"P:chromosome segregation, P:positive regulation of translational initiation, F:ATP binding, P:negative regulation of protein complex assembly, P:cellular response to arsenic-containing substance, P:positive regulation of transcription from RNA polymerase II promoter, P:positive regulation of interferon-beta production, F:eukaryotic initiation factor 4E binding, P:negative regulation of cell growth, F:poly(A) RNA binding, P:positive regulation of apoptotic process, F:transcription factor binding, P:positive regulation of cell growth, C:mitochondrial outer membrane, P:negative regulation of translation, F:ATP-dependent DNA helicase activity, P:positive regulation of chemokine (C-C motif) ligand 5 production, C:cytoplasmic stress granule, F:mRNA 5'-UTR binding, P:negative regulation of cysteine-type endopeptidase activity involved in apoptotic process, P:RNA secondary structure unwinding, F:RNA stem-loop binding, F:ATP-dependent RNA helicase activity, P:viral process, P:positive regulation of cysteine-type endopeptidase activity involved in apoptotic process, P:transcription, DNA-templated, P:extrinsic apoptotic signaling pathway via death domain receptors, P:response to virus, P:negative regulation of apoptotic process, C:extracellular vesicular exosome, P:innate immune response, F:ribosomal small subunit binding, P:cellular response to osmotic stress, P:negative regulation of intrinsic apoptotic signaling pathway, C:nucleus, P:stress granule assembly, P:positive regulation of G1/S transition of mitotic cell cycle, P:intrinsic apoptotic signaling pathway, P:mature ribosome assembly, F:DNA binding, C:nuclear speck"
