"";"X";"accession";"name";"go_name"
"13";13;"P08123";"CO1A2_HUMAN";"P:Rho protein signal transduction, P:blood vessel development, C:extracellular space, P:collagen fibril organization, C:extracellular vesicular exosome, F:identical protein binding, P:platelet activation, F:extracellular matrix structural constituent, P:skeletal system development, P:collagen catabolic process, P:cellular response to amino acid stimulus, C:endoplasmic reticulum lumen, F:protein binding, bridging, P:skin morphogenesis, C:collagen type I, F:platelet-derived growth factor binding, P:protein heterotrimerization, P:odontogenesis, P:extracellular matrix disassembly, P:regulation of blood pressure, P:leukocyte migration, F:metal ion binding, P:transforming growth factor beta receptor signaling pathway"
"15";15;"P81605";"DCD_HUMAN";"P:proteolysis, P:killing of cells of other organism, P:defense response to fungus, C:extracellular vesicular exosome, F:peptidase activity, P:defense response to bacterium"
"16";16;"P15924";"DESP_HUMAN";"C:desmosome, C:plasma membrane, C:fascia adherens, C:extracellular vesicular exosome, P:wound healing, C:mitochondrion, P:desmosome organization, P:peptide cross-linking, C:cornified envelope, P:cell-cell adhesion, P:adherens junction organization, P:ventricular cardiac muscle cell action potential, C:intercalated disc, P:ventricular compact myocardium morphogenesis, P:protein localization to adherens junction, P:keratinocyte differentiation, F:structural constituent of cytoskeleton, C:intermediate filament, C:basolateral plasma membrane, P:intermediate filament organization, P:bundle of His cell to Purkinje myocyte communication, F:protein binding, bridging, P:regulation of heart rate by cardiac conduction, P:cellular component disassembly involved in execution phase of apoptosis"
"17";17;"Q08554";"DSC1_HUMAN";"C:integral component of membrane, C:membrane, C:gap junction, F:calcium ion binding, C:plasma membrane, P:homophilic cell adhesion, C:desmosome"
"18";18;"Q02413";"DSG1_HUMAN";"C:apical plasma membrane, C:cytoplasmic side of plasma membrane, P:protein stabilization, F:toxic substance binding, P:homophilic cell adhesion, P:maternal process involved in female pregnancy, C:cytosol, P:calcium-dependent cell-cell adhesion, C:integral component of membrane, F:calcium ion binding, C:desmosome, C:lateral plasma membrane, P:cellular component disassembly involved in execution phase of apoptosis, P:cell-cell junction assembly, P:response to progesterone"
"19";19;"Q16610";"ECM1_HUMAN";"C:extracellular space, P:negative regulation of bone mineralization, C:proteinaceous extracellular matrix, P:regulation of type 2 immune response, P:positive regulation of angiogenesis, F:signal transducer activity, P:ossification, P:regulation of T cell migration, P:regulation of transcription from RNA polymerase II promoter, C:extracellular vesicular exosome, P:negative regulation of cytokine-mediated signaling pathway, P:biomineral tissue development, P:positive regulation of I-kappaB kinase/NF-kappaB signaling, P:angiogenesis, P:positive regulation of endothelial cell proliferation, P:negative regulation of peptidase activity, P:inflammatory response"
"20";20;"P68104";"EF1A1_HUMAN";"C:extracellular space, P:transcription, DNA-templated, C:eukaryotic translation elongation factor 1 complex, C:nucleus, F:translation elongation factor activity, C:cytosol, F:GTP binding, C:plasma membrane, F:GTPase activity, C:extracellular vesicular exosome, P:GTP catabolic process, P:regulation of transcription, DNA-templated"
"21";21;"P13639";"EF2_HUMAN";"C:polysome, F:GTPase activity, P:positive regulation of gene expression, C:ribonucleoprotein complex, F:GTP binding, F:translation activator activity, P:translational elongation, C:extracellular vesicular exosome, F:translation elongation factor activity, C:cytosol"
"22";22;"P06733";"ENOA_HUMAN";"C:M band, F:transcription corepressor activity, C:cytosol, F:magnesium ion binding, P:negative regulation of cell growth, P:small molecule metabolic process, C:phosphopyruvate hydratase complex, P:negative regulation of transcription from RNA polymerase II promoter, P:glycolysis, C:plasma membrane, F:phosphopyruvate hydratase activity, C:nucleus, C:extracellular vesicular exosome, F:DNA binding, F:sequence-specific DNA binding transcription factor activity, P:gluconeogenesis, C:extracellular space, P:transcription, DNA-templated, P:response to virus"
"23";23;"Q6ZVX7";"FBX50_HUMAN";"P:positive regulation of cell proliferation, C:extracellular vesicular exosome, P:protein catabolic process, C:cytoplasm"
"26";26;"P04406";"G3P_HUMAN";"C:perinuclear region of cytoplasm, P:small molecule metabolic process, P:negative regulation of translation, F:NAD binding, P:microtubule cytoskeleton organization, F:microtubule binding, P:peptidyl-cysteine S-trans-nitrosylation, C:extracellular vesicular exosome, P:protein stabilization, F:glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity, C:lipid particle, C:nucleus, C:GAIT complex, P:neuron apoptotic process, C:cytosol, P:cellular response to interferon-gamma, C:ribonucleoprotein complex, C:microtubule cytoskeleton, P:glycolysis, F:peptidyl-cysteine S-nitrosylase activity, P:gluconeogenesis, F:NADP binding, C:plasma membrane"
"27";27;"P38646";"GRP75_HUMAN";"F:unfolded protein binding, P:cellular protein metabolic process, C:nucleolus, P:protein folding, P:protein targeting to mitochondrion, F:ATP binding, P:negative regulation of apoptotic process, C:extracellular vesicular exosome, C:mitochondrial nucleoid, P:protein export from nucleus"
"28";28;"P11021";"GRP78_HUMAN";"C:extracellular vesicular exosome, C:cell surface, F:unfolded protein binding, C:endoplasmic reticulum lumen, P:platelet activation, P:cerebellar Purkinje cell layer development, P:activation of signaling protein activity involved in unfolded protein response, F:chaperone binding, F:ATP binding, P:positive regulation of protein ubiquitination, C:midbody, F:ATPase activity, P:cellular response to interleukin-4, P:cellular response to antibiotic, F:ribosome binding, P:substantia nigra development, P:ER-associated ubiquitin-dependent protein catabolic process, C:integral component of endoplasmic reticulum membrane, P:regulation of protein folding in endoplasmic reticulum, P:ER overload response, P:cerebellum structural organization, F:calcium ion binding, C:melanosome, P:negative regulation of apoptotic process, F:misfolded protein binding, C:endoplasmic reticulum-Golgi intermediate compartment, C:endoplasmic reticulum chaperone complex, C:nucleus, P:platelet degranulation, P:negative regulation of transforming growth factor beta receptor signaling pathway, P:cellular response to glucose starvation"
"31";31;"P0C0S8";"H2A1_HUMAN";"C:extracellular vesicular exosome, C:nucleosome, F:DNA binding, C:nucleus, P:nucleosome assembly"
"35";35;"Q71DI3";"H32_HUMAN";"P:nucleosome assembly, F:DNA binding, C:nucleosome, C:extracellular vesicular exosome, C:nucleoplasm, P:blood coagulation"
"36";36;"P62805";"H4_HUMAN";"P:negative regulation of megakaryocyte differentiation, C:nucleosome, P:phosphatidylinositol-mediated signaling, P:CENP-A containing nucleosome assembly at centromere, C:nucleolus, C:extracellular vesicular exosome, P:telomere maintenance, F:DNA binding, C:actin cytoskeleton, C:nucleoplasm"
"37";37;"P09429";"HMGB1_HUMAN";"C:nucleoplasm, F:chemoattractant activity, F:double-stranded DNA binding, C:condensed chromosome, P:positive regulation of DNA binding, P:myeloid dendritic cell activation, F:cytokine activity, C:cell surface, C:extracellular space, P:negative regulation of apoptotic cell clearance, P:positive regulation of apoptotic process, P:base-excision repair, DNA ligation, F:single-stranded DNA binding, F:sequence-specific DNA binding transcription factor activity, F:damaged DNA binding, P:V(D)J recombination, F:DNA binding, bending, P:dendritic cell chemotaxis, P:DNA topological change, P:innate immune response, P:positive regulation of cysteine-type endopeptidase activity involved in apoptotic process, P:neuron projection development, P:inflammatory response to antigenic stimulus, P:positive regulation of transcription from RNA polymerase II promoter, F:RAGE receptor binding, P:apoptotic DNA fragmentation, P:negative regulation of RNA polymerase II transcriptional preinitiation complex assembly"
"39";39;"P07910";"HNRPC_HUMAN";"F:RNA binding, C:catalytic step 2 spliceosome, C:nucleoplasm, F:nucleotide binding, P:mRNA splicing, via spliceosome, C:extracellular vesicular exosome"
"40";40;"Q00839";"HNRPU_HUMAN";"F:RNA binding, F:DNA binding, F:ATP binding, P:mRNA splicing, via spliceosome, C:cell surface, C:catalytic step 2 spliceosome, P:CRD-mediated mRNA stabilization, C:CRD-mediated mRNA stability complex, C:nucleoplasm"
"41";41;"Q86YZ3";"HORN_HUMAN";"C:cornified envelope, F:calcium ion binding, P:keratinization, P:establishment of skin barrier, C:extracellular vesicular exosome"
"43";43;"P07900";"HS90A_HUMAN";"C:extracellular vesicular exosome, P:protein refolding, P:innate immune response, P:regulation of nitric-oxide synthase activity, P:response to salt stress, P:skeletal muscle contraction, C:mitochondrion, F:TPR domain binding, P:positive regulation of cardiac muscle contraction, P:nitric oxide metabolic process, C:apical plasma membrane, C:basolateral plasma membrane, C:neuron projection, P:positive regulation of nitric oxide biosynthetic process, P:Fc-gamma receptor signaling pathway involved in phagocytosis, C:cell surface, F:GTP binding, F:ATP binding, C:extracellular matrix, P:protein import into mitochondrial outer membrane, P:positive regulation of lamellipodium assembly, F:dATP binding, P:cardiac muscle cell apoptotic process, P:axon guidance, C:perinuclear region of cytoplasm, C:neuronal cell body, P:chaperone-mediated protein complex assembly, P:positive regulation of cell size, F:nitric-oxide synthase regulator activity, P:neuron migration, P:response to heat, F:CTP binding, C:brush border membrane, C:cytosol, C:protein complex, F:MHC class II protein complex binding, F:protein homodimerization activity, C:endocytic vesicle lumen, F:UTP binding, C:melanosome, P:response to unfolded protein, P:positive regulation of protein import into nucleus, translocation, P:response to estrogen, F:ATPase activity, P:G2/M transition of mitotic cell cycle, F:mRNA binding, C:plasma membrane"
"44";44;"P08238";"HS90B_HUMAN";"C:basolateral plasma membrane, F:UTP binding, F:ATP binding, P:innate immune response, P:regulation of interferon-gamma-mediated signaling pathway, P:positive regulation of protein serine/threonine kinase activity, C:extracellular vesicular exosome, P:positive regulation of protein import into nucleus, translocation, F:nitric-oxide synthase regulator activity, C:brush border membrane, P:negative regulation of proteasomal ubiquitin-dependent protein catabolic process, C:apical plasma membrane, F:dATP binding, F:double-stranded RNA binding, P:cellular response to organic cyclic compound, P:nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway, P:regulation of type I interferon-mediated signaling pathway, P:response to unfolded protein, P:cellular response to interleukin-4, C:mitochondrion, C:melanosome, P:positive regulation of protein binding, P:protein folding, P:Fc-gamma receptor signaling pathway involved in phagocytosis, P:positive regulation of cell size, P:axon guidance, P:placenta development, F:CTP binding, F:GTP binding, C:cell surface, F:TPR domain binding, C:cytosol, F:MHC class II protein complex binding, P:response to salt stress, P:negative regulation of neuron apoptotic process, C:inclusion body, P:positive regulation of nitric oxide biosynthetic process"
"45";45;"P11142";"HSP7C_HUMAN";"C:clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, C:nucleolus, P:axon guidance, C:ribonucleoprotein complex, C:extracellular vesicular exosome, F:ATP binding, C:Prp19 complex, C:cytosol, P:mRNA processing, P:gene expression, C:melanosome, C:spliceosomal complex, P:mRNA metabolic process, P:viral process, P:RNA splicing, P:negative regulation of transcription, DNA-templated, P:neurotransmitter secretion, C:plasma membrane, P:post-Golgi vesicle-mediated transport, P:regulation of cell cycle, C:blood microparticle, P:protein folding, P:response to unfolded protein, F:MHC class II protein complex binding, P:chaperone mediated protein folding requiring cofactor, F:ATPase activity, coupled, P:transcription, DNA-templated"
"46";46;"P13645";"K1C10_HUMAN";"P:keratinocyte differentiation, C:cytoplasm, C:extracellular space, F:structural constituent of epidermis, P:cellular response to calcium ion, C:keratin filament, C:intermediate filament, C:extracellular vesicular exosome"
"47";47;"P13646";"K1C13_HUMAN";"P:cellular response to retinoic acid, F:structural molecule activity, P:response to radiation, C:extracellular vesicular exosome, P:tongue morphogenesis, C:keratin filament"
"48";48;"P02533";"K1C14_HUMAN";"C:keratin filament, C:cell periphery, C:cytosol, F:structural constituent of cytoskeleton, P:epithelial cell differentiation, P:epidermis development, C:extracellular vesicular exosome, P:response to ionizing radiation, P:hemidesmosome assembly, P:intermediate filament bundle assembly, P:response to zinc ion, C:nucleus"
"49";49;"P19012";"K1C15_HUMAN";"C:extracellular vesicular exosome, P:epidermis development, F:structural constituent of cytoskeleton, C:intermediate filament"
"50";50;"P08779";"K1C16_HUMAN";"C:intermediate filament, P:epidermis development, P:cell proliferation, P:intermediate filament cytoskeleton organization, F:structural constituent of cytoskeleton, C:extracellular vesicular exosome, P:cytoskeleton organization"
"51";51;"Q04695";"K1C17_HUMAN";"F:structural constituent of cytoskeleton, C:intermediate filament, P:positive regulation of hair follicle development, C:cell periphery, F:MHC class II receptor activity, C:cytoplasm, P:positive regulation of cell growth, P:intermediate filament organization, P:morphogenesis of an epithelium, P:keratinization, P:epidermis development, P:positive regulation of translation, C:extracellular vesicular exosome"
"52";52;"P08727";"K1C19_HUMAN";"C:extracellular vesicular exosome, P:sarcomere organization, C:sarcolemma, P:cell differentiation involved in embryonic placenta development, C:Z disc, P:response to estrogen, C:dystrophin-associated glycoprotein complex, P:viral process, C:costamere, C:intermediate filament, C:cell periphery, F:structural constituent of cytoskeleton, F:structural constituent of muscle"
"53";53;"P35527";"K1C9_HUMAN";"F:structural constituent of cytoskeleton, P:epidermis development, C:intermediate filament, C:extracellular vesicular exosome, C:extracellular space, P:intermediate filament organization"
"54";54;"Q15323";"K1H1_HUMAN";"P:epidermis development, C:extracellular space, F:structural constituent of cytoskeleton, C:intermediate filament"
"55";55;"P35908";"K22E_HUMAN";"C:keratin filament, P:keratinocyte activation, P:keratinocyte proliferation, C:intermediate filament, C:extracellular vesicular exosome, F:structural constituent of cytoskeleton, P:keratinocyte migration, P:keratinization, C:extracellular space, C:Golgi apparatus"
"57";57;"P04264";"K2C1_HUMAN";"P:retina homeostasis, P:complement activation, lectin pathway, P:regulation of angiogenesis, C:extracellular vesicular exosome, F:structural molecule activity, C:keratin filament, C:plasma membrane, C:cytoskeleton, C:membrane, P:fibrinolysis, F:carbohydrate binding, C:blood microparticle, F:receptor activity, P:response to oxidative stress"
"61";61;"P13647";"K2C5_HUMAN";"P:hemidesmosome assembly, C:keratin filament, F:structural constituent of cytoskeleton, C:cytosol, P:epidermis development, C:plasma membrane, C:extracellular vesicular exosome, C:mitochondrion"
"62";62;"P04259";"K2C6B_HUMAN";"F:structural constituent of cytoskeleton, P:ectoderm development, C:keratin filament, C:extracellular vesicular exosome"
"68";68;"Q8N1N4";"K2C78_HUMAN";"C:keratin filament, C:extracellular vesicular exosome, C:extracellular space, F:structural molecule activity"
"69";69;"Q5XKE5";"K2C79_HUMAN";"F:structural molecule activity, C:extracellular vesicular exosome, C:keratin filament"
"70";70;"P05787";"K2C8_HUMAN";"P:extrinsic apoptotic signaling pathway, C:intermediate filament, P:cell differentiation involved in embryonic placenta development, P:sarcomere organization, P:hepatocyte apoptotic process, F:structural molecule activity, P:response to other organism, C:nucleoplasm, C:keratin filament, C:Z disc, C:cytoplasm, C:nuclear matrix, P:viral process, P:tumor necrosis factor-mediated signaling pathway, P:response to hydrostatic pressure, C:sarcolemma, C:extracellular vesicular exosome, C:costamere, C:dystrophin-associated glycoprotein complex"
"72";72;"Q5T749";"KPRP_HUMAN";"C:extracellular vesicular exosome, C:cytoplasm"
"73";73;"P14618";"KPYM_HUMAN";"P:programmed cell death, P:glycolysis, F:pyruvate kinase activity, C:cytosol, F:magnesium ion binding, F:ATP binding, C:mitochondrion, F:MHC class II protein complex binding, F:potassium ion binding, C:plasma membrane, C:nucleus, C:extracellular vesicular exosome, C:cilium, P:small molecule metabolic process"
"74";74;"O76011";"KRT34_HUMAN";"P:epidermis development, C:extracellular space, F:structural molecule activity, C:intermediate filament"
"77";77;"P78386";"KRT85_HUMAN";"P:epidermis development, C:keratin filament, C:extracellular space, F:structural molecule activity"
"78";78;"O43790";"KRT86_HUMAN";"C:extracellular space, F:structural molecule activity, C:keratin filament"
"79";79;"O76009";"KT33A_HUMAN";"F:structural molecule activity, C:intermediate filament, C:extracellular space"
"80";80;"Q14525";"KT33B_HUMAN";"C:extracellular space, C:intermediate filament, F:structural molecule activity"
"81";81;"P00338";"LDHA_HUMAN";"C:extracellular vesicular exosome, P:glycolysis, P:substantia nigra development, C:cilium, P:cellular response to extracellular stimulus, C:mitochondrion, P:cellular carbohydrate metabolic process, P:pyruvate metabolic process, F:L-lactate dehydrogenase activity, C:cytosol"
"82";82;"P61626";"LYSC_HUMAN";"P:defense response to bacterium, C:extracellular space, C:extracellular vesicular exosome, P:retina homeostasis, P:inflammatory response, P:cytolysis, P:cell wall macromolecule catabolic process, F:lysozyme activity"
"83";83;"Q13765";"NACA_HUMAN";"P:positive regulation of transcription from RNA polymerase II promoter involved in heart development, C:nucleus, P:skeletal muscle tissue regeneration, F:DNA binding, C:nascent polypeptide-associated complex, P:positive regulation of cell proliferation involved in heart morphogenesis, P:transcription, DNA-templated, F:TBP-class protein binding, P:negative regulation of striated muscle cell apoptotic process, P:translation, F:transcription coactivator activity, P:viral process, P:positive regulation of skeletal muscle tissue growth, P:cardiac ventricle development, P:negative regulation of transcription from RNA polymerase II promoter involved in heart development, P:protein transport, C:extracellular vesicular exosome, P:heart trabecula morphogenesis, P:regulation of skeletal muscle fiber development"
"85";85;"P19338";"NUCL_HUMAN";"F:telomeric DNA binding, F:RNA binding, C:ribonucleoprotein complex, C:nucleoplasm, C:extracellular vesicular exosome, F:nucleotide binding, C:nucleolus, C:cell cortex, P:angiogenesis"
"86";86;"Q8NC51";"PAIRB_HUMAN";"P:regulation of apoptotic process, C:nucleus, C:extracellular vesicular exosome, P:regulation of mRNA stability, C:cytoplasm, C:perinuclear region of cytoplasm, C:plasma membrane, F:mRNA 3'-UTR binding"
"87";87;"P00558";"PGK1_HUMAN";"F:phosphoglycerate kinase activity, C:extracellular vesicular exosome, F:ATP binding, C:cytosol, P:epithelial cell differentiation, P:gluconeogenesis, P:small molecule metabolic process, P:glycolysis"
"88";88;"P12273";"PIP_HUMAN";"P:detection of chemical stimulus involved in sensory perception of bitter taste, F:protein dimerization activity, P:proteolysis, F:actin binding, C:extracellular vesicular exosome, C:apical plasma membrane, P:retina homeostasis, F:aspartic-type endopeptidase activity, F:IgG binding, C:extracellular space, P:positive regulation of gene expression, P:negative regulation of T cell apoptotic process"
"89";89;"Q13835";"PKP1_HUMAN";"P:cellular component disassembly involved in execution phase of apoptosis, F:signal transducer activity, P:cell-cell adhesion, P:intermediate filament bundle assembly, C:plasma membrane, P:multicellular organismal development, C:nucleus, C:desmosome, F:lamin binding, F:intermediate filament binding, C:intermediate filament, P:cell adhesion, F:structural constituent of epidermis"
"90";90;"P14923";"PLAK_HUMAN";"C:cytosol, C:gamma-catenin-TCF7L2 complex, P:positive regulation of canonical Wnt signaling pathway, F:structural constituent of cell wall, C:cytoplasmic side of plasma membrane, C:intermediate filament, P:morphogenesis of embryonic epithelium, P:detection of mechanical stimulus, P:negative regulation of heart induction by canonical Wnt signaling pathway, P:oocyte development, P:desmosome assembly, P:cell migration, P:bundle of His cell to Purkinje myocyte communication, P:gastrulation, F:transcription coactivator activity, P:establishment of protein localization to plasma membrane, P:adherens junction organization, P:regulation of cell proliferation, C:fascia adherens, P:ventricular cardiac muscle cell action potential, P:positive regulation of protein import into nucleus, P:positive regulation of sequence-specific DNA binding transcription factor activity, F:protein homodimerization activity, P:ectoderm development, P:cellular response to indole-3-methanol, C:apicolateral plasma membrane, C:actin cytoskeleton, P:cytoskeletal anchoring at plasma membrane, P:skin development, F:protein kinase binding, C:lateral plasma membrane, C:extracellular vesicular exosome, P:regulation of heart rate by cardiac conduction, C:zonula adherens, C:desmosome, P:protein heterooligomerization, P:negative regulation of Wnt signaling pathway involved in heart development, C:protein-DNA complex, C:catenin complex, P:atrioventricular valve morphogenesis, P:cell morphogenesis, P:endothelial cell-cell adhesion, C:basolateral plasma membrane, P:nervous system development, C:Z disc"
"91";91;"P62937";"PPIA_HUMAN";"F:peptide binding, P:entry into host cell, F:peptidyl-prolyl cis-trans isomerase activity, P:viral release from host cell, P:lipid particle organization, F:unfolded protein binding, P:platelet degranulation, P:establishment of integrated proviral latency, P:positive regulation of protein secretion, C:cytosol, P:leukocyte migration, P:RNA-dependent DNA replication, C:nucleus, F:virion binding, P:uncoating of virus, P:positive regulation of viral genome replication, P:virion assembly, P:protein folding, P:platelet activation, C:extracellular vesicular exosome"
"92";92;"Q06830";"PRDX1_HUMAN";"C:extracellular space, P:natural killer cell mediated cytotoxicity, P:retina homeostasis, F:thioredoxin peroxidase activity, P:skeletal system development, P:removal of superoxide radicals, P:regulation of stress-activated MAPK cascade, C:nuclear euchromatin, C:melanosome, C:mitochondrial matrix, C:mitochondrion, C:nucleus, C:cytosol, C:extracellular vesicular exosome, C:peroxisomal matrix, P:regulation of NF-kappaB import into nucleus, F:heme binding, C:nucleolus, P:cell proliferation, P:hydrogen peroxide catabolic process, P:erythrocyte homeostasis"
"94";94;"P60900";"PSA6_HUMAN";"C:proteasome core complex, alpha-subunit complex, F:threonine-type endopeptidase activity, C:cytoplasmic mRNA processing body, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:G1/S transition of mitotic cell cycle, F:purine ribonucleoside triphosphate binding, P:small molecule metabolic process, P:negative regulation of apoptotic process, P:positive regulation of NF-kappaB transcription factor activity, C:extracellular vesicular exosome, P:viral process, C:nuclear matrix, F:RNA binding, P:apoptotic process, C:polysome, C:nucleoplasm, F:endopeptidase activity, C:cytosol, P:regulation of cellular amino acid metabolic process, P:mRNA metabolic process, P:anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process, P:positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle, P:gene expression, P:DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest, P:regulation of inflammatory response, C:mitochondrion, P:negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle, C:sarcomere, P:protein polyubiquitination"
"95";95;"P30050";"RL12_HUMAN";"C:extracellular vesicular exosome, F:structural constituent of ribosome, P:SRP-dependent cotranslational protein targeting to membrane, P:translational termination, C:cytosolic large ribosomal subunit, P:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay, P:viral transcription, P:translational initiation, F:RNA binding, P:translational elongation"
