"";"protein.acs";"X.1";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5455.1.id.csv";"peptide.count.P5455.2.id.csv";"spectra.count.P5455.1.id.csv";"spectra.count.P5455.2.id.csv";"dNSAF.P5455.1.id.csv";"dNSAF.P5455.2.id.csv";"Go.Cc";"norm.sc";"Go.Mf"
"12";"P00338";21;21;"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";6;10;0,00257472069955181;5;5;5;5;NA;NA;"extracellular vesicular exosome, cilium, nucleus, cytosol, mitochondrion";0,00244977951984321;"protein binding, L-lactate dehydrogenase activity"
"13";"P00558";22;22;"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";16;28;0,0101289054689097;15;12;15;13;0,0160664567054429;0,0139660563608676;"cytosol, extracellular vesicular exosome";0,006859382655561;"protein binding, phosphoglycerate kinase activity, ATP binding"
"14";"P00813";23;23;"P00813";"ADA_HUMAN";"Adenosine deaminase";"ADA";8;19;0,00789564325365717;8;8;10;9;0,0123043387441133;0,0111071433613766;"cell surface, cytoplasmic membrane-bounded vesicle lumen, cytoplasm, external side of plasma membrane, plasma membrane, cell junction, cytosol, neuronal cell body, membrane, dendrite cytoplasm, lysosome, extracellular space";0,00465458108770211;"zinc ion binding, adenosine deaminase activity, protein binding, purine nucleoside binding"
"15";"P01889";24;24;"P01889";"1B07_HUMAN";"HLA class I histocompatibility antigen, B-7 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"integral component of lumenal side of endoplasmic reticulum membrane, cell surface, Golgi membrane, endoplasmic reticulum, Golgi apparatus, plasma membrane, phagocytic vesicle membrane, extracellular vesicular exosome, ER to Golgi transport vesicle membrane, early endosome membrane, integral component of plasma membrane, MHC class I protein complex";0;"receptor binding, peptide antigen binding"
"16";"P01892";25;25;"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";2;12;0,0172398105327973;2;2;6;6;0,0242990223096565;0,0268266855902367;"ER to Golgi transport vesicle membrane, endoplasmic reticulum exit site, early endosome membrane, Golgi apparatus, cell surface, MHC class I protein complex, phagocytic vesicle membrane, Golgi medial cisterna, integral component of lumenal side of endoplasmic reticulum membrane, endoplasmic reticulum, plasma membrane, Golgi membrane";0,00293973542381186;"T cell receptor binding, receptor binding, protein binding, peptide antigen binding, poly(A) RNA binding, beta-2-microglobulin binding, TAP binding"
"17";"P01903";26;26;"P01903";"DRA_HUMAN";"HLA class II histocompatibility antigen, DR alpha chain";"HLA-DRA";2;2;0,00118778222174785;NA;2;NA;2;NA;0,00352746547697261;"extracellular vesicular exosome, cell surface, endocytic vesicle membrane, plasma membrane, Golgi membrane, late endosome membrane, transport vesicle membrane, integral component of plasma membrane, lysosome, clathrin-coated endocytic vesicle membrane, ER to Golgi transport vesicle membrane, MHC class II protein complex, trans-Golgi network membrane, lysosomal membrane, integral component of lumenal side of endoplasmic reticulum membrane";0,000489955903968643;"peptide antigen binding, MHC class II receptor activity, MHC class II protein complex binding"
"18";"P01911";27;27;"P01911";"2B1F_HUMAN";"HLA class II histocompatibility antigen, DRB1-15 beta chain";"HLA-DRB1";0;0;NA;0;0;0;0;0;NA;"endocytic vesicle membrane, clathrin-coated endocytic vesicle membrane, cell surface, ER to Golgi transport vesicle membrane, trans-Golgi network membrane, transport vesicle membrane, Golgi membrane, late endosome membrane, MHC class II protein complex, integral component of lumenal side of endoplasmic reticulum membrane, lysosomal membrane, extracellular vesicular exosome, plasma membrane";0;"MHC class II protein complex binding, peptide antigen binding"
"19";"P01912";28;28;"P01912,Q5Y7A7";"2B13_HUMAN, 2B1D_HUMAN";"HLA class II histocompatibility antigen, DRB1-13 beta chain, HLA class II histocompatibility antigen, DRB1-3 chain";"HLA-DRB1";1;2;0,00198484660739443;1;1;1;1;0,00251868888953747;0,00336833169605655;"late endosome membrane, clathrin-coated endocytic vesicle membrane, lysosomal membrane, ER to Golgi transport vesicle membrane, plasma membrane, MHC class II protein complex, endocytic vesicle membrane, Golgi membrane, trans-Golgi network membrane, integral component of lumenal side of endoplasmic reticulum membrane, transport vesicle membrane";0,000489955903968643;"peptide antigen binding"
"20";"P02533";30;30;"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";2;3;0,00236835934170454;2;1;2;1;0,00392033214162471;0,00291283915007462;"cytoplasm, cell periphery, nucleus, keratin filament, intermediate filament, cytosol, extracellular vesicular exosome";0,000734933855952964;"structural constituent of cytoskeleton, keratin filament binding, protein binding"
"21";"P02765";31;31;"P02765";"FETUA_HUMAN";"Alpha-2-HS-glycoprotein";"AHSG";3;12;0,00493237086088207;2;3;6;6;0,007302138905907;0,00732405638543087;"extracellular region, blood microparticle, extracellular vesicular exosome, extracellular space";0,00293973542381186;"kinase inhibitor activity, cysteine-type endopeptidase inhibitor activity"
"22";"P02786";32;32;"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";22;44;0,00873332507253548;17;21;19;25;0,0111661874102828;0,0147364511702474;"endosome, melanosome, perinuclear region of cytoplasm, extracellular region, external side of plasma membrane, extracellular vesicular exosome, integral component of plasma membrane, extracellular space, cytoplasmic membrane-bounded vesicle, coated pit, cell surface, membrane, intracellular membrane-bounded organelle, plasma membrane, blood microparticle";0,0107790298873101;"identical protein binding, transferrin receptor activity, poly(A) RNA binding, double-stranded RNA binding, peptidase activity, protein binding"
"23";"P03989";33;33;"P03989";"1B27_HUMAN";"HLA class I histocompatibility antigen, B-27 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"ER to Golgi transport vesicle membrane, extracellular vesicular exosome, Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, Golgi apparatus, cell surface, plasma membrane, early endosome membrane, endoplasmic reticulum, membrane, phagocytic vesicle membrane";0;"peptide antigen binding"
"24";"P04075";34;34;"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";14;23;0,00953162601572928;10;12;10;13;0,0122705356156954;0,0159995755562686;"actin cytoskeleton, platelet alpha granule lumen, extracellular vesicular exosome, I band, extracellular region, nucleus, M band, cytosol, extracellular space";0,00563449289563939;"actin binding, protein binding, tubulin binding, fructose-bisphosphate aldolase activity, identical protein binding, fructose binding, poly(A) RNA binding, cytoskeletal protein binding"
"25";"P04222";35;35;"P04222";"1C03_HUMAN";"HLA class I histocompatibility antigen, Cw-3 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"integral component of lumenal side of endoplasmic reticulum membrane, endoplasmic reticulum, phagocytic vesicle membrane, cell surface, Golgi apparatus, early endosome membrane, MHC class I protein complex, Golgi membrane, ER to Golgi transport vesicle membrane, plasma membrane";0;"peptide antigen binding, TAP binding, receptor binding"
"26";"P04264";36;36;"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";23;52;0,0141797634817046;21;20;26;26;0,021037744396185;0,0210062454582302;"plasma membrane, extracellular vesicular exosome, membrane, keratin filament, cytoskeleton, nucleus, blood microparticle, extracellular space";0,0127388535031847;"protein binding, structural molecule activity, receptor activity, carbohydrate binding"
"27";"P04406";37;37;"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";6;10;0,00450293558692467;6;4;6;4;0,00799965665214289;0,00534911182776742;"nucleus, extracellular vesicular exosome, cytosol, ribonucleoprotein complex, cytoplasm, microtubule cytoskeleton, lipid particle, plasma membrane, perinuclear region of cytoplasm, GAIT complex";0,00244977951984321;"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity, NAD binding, peptidyl-cysteine S-nitrosylase activity, identical protein binding, protein binding, microtubule binding, NADP binding"
"28";"P04439";38;38;"P04439,P13746-1,P13746-2,P16188";"1A03_HUMAN, 1A11_HUMAN, 1A30_HUMAN";"HLA class I histocompatibility antigen, A-11 alpha chain, HLA class I histocompatibility antigen, A-3 alpha chain, HLA class I histocompatibility antigen, A-30 alpha chain";"HLA-A";0;0;0;0;0;0;0;0;0;"plasma membrane, integral component of plasma membrane, cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, endoplasmic reticulum, Golgi membrane, Golgi apparatus, phagocytic vesicle membrane, MHC class I protein complex, ER to Golgi transport vesicle membrane";0;"TAP binding, receptor binding, beta-2-microglobulin binding, peptide antigen binding"
"29";"P04899";40;40;"P04899-1,P04899-4";"GNAI2_HUMAN";"Guanine nucleotide-binding protein G(i) subunit alpha-2";"GNAI2";2;3;0,0012110359863708;1;2;1;2;NA;NA;"membrane raft, centrosome, heterotrimeric G-protein complex, midbody, cytoplasm, nucleus, extrinsic component of cytoplasmic side of plasma membrane, cytosol, plasma membrane, extracellular vesicular exosome";0,000734933855952964;"GTP binding, signal transducer activity, metal ion binding, G-protein coupled receptor binding, G-protein beta/gamma-subunit complex binding, GTPase activity, protein binding"
"30";"P04920";41;41;"P04920-1,P04920-2";"B3A2_HUMAN";"Anion exchange protein 2";"SLC4A2";1;1;6,0776930766308e-05;1;NA;1;NA;NA;NA;"integral component of membrane, basolateral plasma membrane, plasma membrane, membrane";0,000244977951984321;"anion transmembrane transporter activity, inorganic anion exchanger activity, chloride transmembrane transporter activity"
"31";"P05023";42;42;"P05023-1";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";31;50;0,00737284174789719;29;20;30;20;NA;NA;"protein complex, Golgi apparatus, sodium:potassium-exchanging ATPase complex, extracellular vesicular exosome, T-tubule, membrane, integral component of membrane, plasma membrane, caveola, melanosome, basolateral plasma membrane, endoplasmic reticulum, endosome";0,0122488975992161;"ADP binding, ATP binding, potassium ion binding, protein binding, sodium ion binding, sodium:potassium-exchanging ATPase activity, chaperone binding"
"32";"P05026";43;43;"P05026-1,P05026-2";"AT1B1_HUMAN";"Sodium/potassium-transporting ATPase subunit beta-1";"ATP1B1";3;6;0,00149354794219779;3;3;3;3;NA;NA;"caveola, extracellular vesicular exosome, apical plasma membrane, plasma membrane, sodium:potassium-exchanging ATPase complex, basolateral plasma membrane";0,00146986771190593;"protein binding, sodium:potassium-exchanging ATPase activity, MHC class II protein complex binding"
"33";"P05107";44;44;"P05107";"ITB2_HUMAN";"Integrin beta-2";"ITGB2";8;16;0,00313858709309704;8;8;8;8;0,00464652792105395;0,00466047454434873;"plasma membrane, extracellular vesicular exosome, receptor complex, cell surface, integrin complex";0,00391964723174914;"metal ion binding, protein binding, glycoprotein binding, receptor activity, protein kinase binding"
"34";"P05141";45;45;"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";1;2;0,00531512615000253;1;1;1;1;0,0074940855102569;0,00826823703243412;"MMXD complex, mitochondrion, extracellular vesicular exosome, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane, nucleus";0,000489955903968643;"protein binding, poly(A) RNA binding, adenine transmembrane transporter activity"
"35";"P05362";48;48;"P05362";"ICAM1_HUMAN";"Intercellular adhesion molecule 1";"ICAM1";9;15;0,00425324273013092;8;7;8;7;0,00671650370543325;0,00589458046809897;"immunological synapse, integral component of plasma membrane, extracellular space, external side of plasma membrane, plasma membrane, extracellular vesicular exosome";0,00367466927976482;"transmembrane signaling receptor activity, receptor activity, protein binding, integrin binding, virus receptor activity"
"36";"P05556";49;49;"P05556-1";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";14;38;0,00718325438866555;13;12;19;19;NA;NA;"alpha7-beta1 integrin complex, plasma membrane, alpha9-beta1 integrin complex, extracellular vesicular exosome, filopodium, hemidesmosome, alpha8-beta1 integrin complex, intercalated disc, cell surface, recycling endosome, external side of plasma membrane, membrane raft, acrosomal vesicle, ruffle, melanosome, sarcolemma, myelin sheath abaxonal region, cytoplasm, basement membrane, lamellipodium, receptor complex, alpha3-beta1 integrin complex, integrin complex, focal adhesion, cleavage furrow, neuromuscular junction";0,00930916217540421;"metal ion binding, protein heterodimerization activity, peptide binding, cell adhesion molecule binding, virus receptor activity, actin binding, protein binding"
"37";"P05787";50;50;"P05787";"K2C8_HUMAN";"Keratin, type II cytoskeletal 8";"KRT8";0;0;0;0;0;0;0;0;0;"nucleoplasm, extracellular vesicular exosome, intermediate filament, Z disc, costamere, nuclear matrix, cytoplasm, keratin filament, nucleus, dystrophin-associated glycoprotein complex, sarcolemma";0;"structural molecule activity, scaffold protein binding, protein binding"
"38";"P06213";51;51;"P06213-1,P06213-2";"INSR_HUMAN";"Insulin receptor";"INSR";13;20;0,00126616553478938;9;11;9;11;NA;NA;"membrane, insulin receptor complex, endosome membrane, receptor complex, extracellular vesicular exosome, caveola, plasma membrane, integral component of plasma membrane";0,00489955903968643;"GTP binding, insulin-like growth factor II binding, PTB domain binding, insulin receptor substrate binding, insulin-like growth factor receptor binding, protein binding, insulin binding, insulin-activated receptor activity, receptor signaling protein tyrosine kinase activity, protein tyrosine kinase activity, SH2 domain binding, phosphatidylinositol 3-kinase binding, ATP binding, insulin-like growth factor I binding"
"39";"P06396";52;52;"P06396-1,P06396-2,P06396-3";"GELS_HUMAN";"Gelsolin";"GSN";2;2;0,000128600462201174;NA;2;NA;2;NA;NA;"blood microparticle, extracellular vesicular exosome, protein complex, lamellipodium, cytosol, actin cytoskeleton, perinuclear region of cytoplasm, ruffle, extracellular region";0,000489955903968643;"calcium ion binding, protein binding"
"40";"P06733";54;54;"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";24;44;0,0152933803113525;22;17;24;20;NA;NA;"M band, cytoplasm, extracellular vesicular exosome, plasma membrane, extracellular space, phosphopyruvate hydratase complex, cytosol, nucleus";0,0107790298873101;"transcription corepressor activity, sequence-specific DNA binding transcription factor activity, phosphopyruvate hydratase activity, magnesium ion binding, DNA binding, protein binding, poly(A) RNA binding"
"41";"P07195";57;57;"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";4;5;0,00255930321033293;3;2;3;2;0,00451327934247957;0,0030657869329377;"cytosol, extracellular vesicular exosome, mitochondrion, cytoplasm";0,00122488975992161;"NAD binding, L-lactate dehydrogenase activity"
"42";"P07437";58;58;"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";2;4;0,00614944818272922;2;1;2;2;0,00828242729831786;0,00995529145723381;"nucleus, nuclear envelope lumen, cytoskeleton, microtubule, cell body, cytosol, extracellular vesicular exosome";0,000979911807937286;"structural molecule activity, protein binding, GTP binding, MHC class I protein binding, structural constituent of cytoskeleton, GTPase activity"
"43";"P07737";59;59;"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";2;4;0,00430995263319933;2;2;2;2;0,00638067852016159;0,00639983022250745;"neuron projection, blood microparticle, cytoskeleton, synapse, nucleus, extracellular vesicular exosome, cytosol";0,000979911807937286;"protein binding, actin binding, proline-rich region binding, adenyl-nucleotide exchange factor activity, phosphatidylinositol-4,5-bisphosphate binding, poly(A) RNA binding"
"44";"P07900";60;60;"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";3;3;0,000583884748805465;3;0;3;0;NA;NA;"plasma membrane, cytosol, endocytic vesicle lumen, mitochondrion, extracellular region, nucleus, extracellular vesicular exosome, cytoplasm, melanosome";0,000734933855952964;"MHC class II protein complex binding, nitric-oxide synthase regulator activity, protein homodimerization activity, TPR domain binding, ATP binding, ATPase activity, identical protein binding, poly(A) RNA binding, protein binding, nucleotide binding"
"45";"P08069";61;61;"P08069";"IGF1R_HUMAN";"Insulin-like growth factor 1 receptor";"IGF1R";4;5;0,000640029542457545;3;2;3;2;0,0011435744238768;0,000756268272312512;"receptor complex, intracellular membrane-bounded organelle, membrane, neuron projection, plasma membrane, integral component of plasma membrane, caveola";0,00122488975992161;"protein tyrosine kinase activity, phosphatidylinositol 3-kinase binding, ATP binding, insulin binding, insulin receptor substrate binding, insulin-like growth factor binding, insulin receptor binding, insulin-like growth factor-activated receptor activity, protein binding, identical protein binding, insulin-like growth factor I binding"
"46";"P08107";62;62;"P08107-1";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1A,HSPA1B";1;1;0,00121274776637365;0;1;0;1;NA;NA;"blood microparticle, nucleus, endoplasmic reticulum, centriole, mitochondrion, aggresome, perinuclear region of cytoplasm, cytoplasm, cytosol, nuclear speck, extracellular vesicular exosome, inclusion body, ribonucleoprotein complex";0,000244977951984321;"ATPase activity, coupled, enzyme binding, protein binding, poly(A) RNA binding, ATPase activity, virus receptor activity, heat shock protein binding, protein N-terminus binding, ubiquitin protein ligase binding, unfolded protein binding, ATP binding, double-stranded RNA binding, protein binding involved in protein folding"
"47";"P08195";63;63;"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";31;117;0,00700367302894891;29;30;57;60;NA;NA;"plasma membrane, cytoplasm, apical plasma membrane, cell junction, nucleus, melanosome, extracellular vesicular exosome, integral component of membrane";0,0286624203821656;"poly(A) RNA binding, double-stranded RNA binding, calcium:sodium antiporter activity, catalytic activity, neutral amino acid transmembrane transporter activity, protein binding, cation binding"
"48";"P08238";64;64;"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";8;15;0,00620101380237012;6;7;7;8;0,00820498853904757;0,0103503030218353;"extracellular vesicular exosome, cytoplasm, brush border membrane, basolateral plasma membrane, cell surface, apical plasma membrane, cytosol, inclusion body, mitochondrion, melanosome";0,00367466927976482;"TPR domain binding, GTP binding, poly(A) RNA binding, dATP binding, CTP binding, MHC class II protein complex binding, ATP binding, nitric-oxide synthase regulator activity, UTP binding, double-stranded RNA binding, protein binding"
"49";"P08575";65;65;"P08575-1,P08575-2";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";51;242;0,0139974305226987;48;50;124;118;NA;NA;"membrane raft, plasma membrane, integral component of plasma membrane, extracellular vesicular exosome, external side of plasma membrane, focal adhesion";0,0592846643802058;"protein kinase binding, protein binding, transmembrane receptor protein tyrosine phosphatase activity, protein tyrosine phosphatase activity"
"50";"P08648";66;66;"P08648";"ITA5_HUMAN";"Integrin alpha-5";"ITGA5";13;27;0,00388265513667623;11;11;14;13;0,00596097707317289;0,00555180696137443;"ruffle, external side of plasma membrane, synapse, integrin complex, cytoplasm, alphav-beta3 integrin-vitronectin complex, plasma membrane";0,00661440470357668;"metal ion binding, platelet-derived growth factor receptor binding, protein binding, vascular endothelial growth factor receptor 2 binding"
"51";"P08779";67;67;"P08779";"K1C16_HUMAN";"Keratin, type I cytoskeletal 16";"KRT16";1;2;0,00157556815966814;1;1;1;1;0,00195602195649774;0,00290668092777002;"intermediate filament, extracellular vesicular exosome, cytoskeleton, nucleus";0,000489955903968643;"protein binding, structural constituent of cytoskeleton"
"52";"P09429";68;68;"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";2;2;0,00204639223863146;2;NA;2;NA;0,00657852901691079;NA;"condensed chromosome, nucleoplasm, nucleus, extracellular region, extracellular space, cell surface";0,000489955903968643;"single-stranded DNA binding, repressing transcription factor binding, double-stranded DNA binding, chemoattractant activity, protein binding, poly(A) RNA binding, RAGE receptor binding, DNA binding, bending, transcription factor binding, sequence-specific DNA binding transcription factor activity, damaged DNA binding, cytokine activity"
"53";"P10319";69;69;"P10319";"1B58_HUMAN";"HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"ER to Golgi transport vesicle membrane, early endosome membrane, Golgi apparatus, cell surface, phagocytic vesicle membrane, endoplasmic reticulum, MHC class I protein complex, plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane";0;"peptide antigen binding"
"54";"P10321";70;70;"P10321";"1C07_HUMAN";"HLA class I histocompatibility antigen, Cw-7 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"ER to Golgi transport vesicle membrane, Golgi apparatus, phagocytic vesicle membrane, Golgi membrane, early endosome membrane, cell surface, endoplasmic reticulum, MHC class I protein complex, plasma membrane, extracellular vesicular exosome, integral component of lumenal side of endoplasmic reticulum membrane";0;"receptor binding, peptide antigen binding"
"55";"P10599";71;71;"P10599";"THIO_HUMAN";"Thioredoxin";"TXN";1;1;0,00143665087773311;NA;1;NA;1;NA;0,00426655348167163;"nucleus, mitochondrion, nucleoplasm, cytoplasm, cytosol, extracellular vesicular exosome";0,000244977951984321;"protein disulfide oxidoreductase activity, poly(A) RNA binding, protein binding, peptide disulfide oxidoreductase activity"
"56";"P10809";72;72;"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";20;35;0,0092141221215867;18;15;19;16;0,0148103009281238;0,0125092667525451;"protein complex, mitochondrial matrix, cytoplasm, coated vesicle, mitochondrion, lipopolysaccharide receptor complex, cell surface, mitochondrial inner membrane, plasma membrane, early endosome, coated pit, cytosol, secretory granule, extracellular vesicular exosome, extracellular space";0,00857422831945125;"double-stranded RNA binding, DNA replication origin binding, protein binding, ATPase activity, lipopolysaccharide binding, poly(A) RNA binding, ATP binding, chaperone binding, p53 binding, single-stranded DNA binding, unfolded protein binding"
"57";"P11021";73;73;"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";15;24;0,00605752301399394;13;11;13;11;0,00965423404084892;0,00830578690148367;"endoplasmic reticulum, melanosome, endoplasmic reticulum membrane, nucleus, extracellular vesicular exosome, endoplasmic reticulum-Golgi intermediate compartment, cell surface, integral component of endoplasmic reticulum membrane, endoplasmic reticulum lumen, midbody, endoplasmic reticulum chaperone complex";0,00587947084762371;"calcium ion binding, ATPase activity, chaperone binding, glycoprotein binding, ATP binding, ribosome binding, enzyme binding, misfolded protein binding, protein domain specific binding, unfolded protein binding, ubiquitin protein ligase binding, protein binding"
"58";"P11142";74;74;"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";22;39;0,011960457285159;19;17;21;18;NA;NA;"cytosol, nucleolus, extracellular vesicular exosome, ribonucleoprotein complex, plasma membrane, extracellular space, melanosome, spliceosomal complex, nucleus, intracellular, blood microparticle, clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, Prp19 complex";0,00955414012738853;"heat shock protein binding, MHC class II protein complex binding, enzyme binding, ATP binding, unfolded protein binding, ATPase activity, coupled, protein binding, ATPase activity, poly(A) RNA binding"
"59";"P11166";75;75;"P11166";"GTR1_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 1";"SLC2A1";5;10;0,00306602321467432;5;5;5;5;0,00453910057328568;0,00455272475178376;"caveola, basolateral plasma membrane, cortical actin cytoskeleton, integral component of membrane, melanosome, membrane, cell-cell junction, extracellular vesicular exosome, blood microparticle, plasma membrane, midbody, female pronucleus";0,00244977951984321;"identical protein binding, xenobiotic transporter activity, protein self-association, glucose transmembrane transporter activity, D-glucose transmembrane transporter activity, dehydroascorbic acid transporter activity, protein binding"
"60";"P11169";76;76;"P11169";"GTR3_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A3";5;9;0,00273716749890683;4;5;4;5;0,0036019959388009;0,00451600922959195;"extracellular vesicular exosome, integral component of membrane, plasma membrane";0,00220480156785889;"glucose transmembrane transporter activity"
