"";"X";"accession";"name";"go_name"
"11";11;"P30487";"1B49_HUMAN";"P:regulation of immune response, C:cell surface, C:MHC class I protein complex, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:integral component of lumenal side of endoplasmic reticulum membrane, P:positive regulation of T cell mediated cytotoxicity, P:interferon-gamma-mediated signaling pathway, P:viral process, C:early endosome membrane, C:Golgi membrane, F:peptide antigen binding, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:type I interferon signaling pathway, C:ER to Golgi transport vesicle membrane, C:phagocytic vesicle membrane"
"12";12;"P18465";"1B57_HUMAN";"C:ER to Golgi transport vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, F:peptide antigen binding, C:phagocytic vesicle membrane, C:early endosome membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:viral process, C:Golgi membrane, C:cell surface, P:regulation of immune response, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:MHC class I protein complex, P:interferon-gamma-mediated signaling pathway"
"13";13;"P04222";"1C03_HUMAN";"C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, F:peptide antigen binding, P:interferon-gamma-mediated signaling pathway, F:receptor binding, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, F:TAP binding, C:early endosome membrane, C:Golgi membrane, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:cell surface, C:ER to Golgi transport vesicle membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:regulation of immune response, C:MHC class I protein complex, P:viral process"
"14";14;"P10321";"1C07_HUMAN";"C:integral component of lumenal side of endoplasmic reticulum membrane, F:peptide antigen binding, F:receptor binding, C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, P:viral process, P:type I interferon signaling pathway, C:extracellular vesicular exosome, C:cell surface, P:regulation of immune response, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:interferon-gamma-mediated signaling pathway, C:MHC class I protein complex, C:Golgi membrane, C:ER to Golgi transport vesicle membrane, C:early endosome membrane"
"15";15;"P30508";"1C12_HUMAN";"C:Golgi membrane, F:peptide antigen binding, P:regulation of immune response, C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, C:ER to Golgi transport vesicle membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:type I interferon signaling pathway, C:MHC class I protein complex, C:cell surface, C:early endosome membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:integral component of plasma membrane, P:viral process, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:interferon-gamma-mediated signaling pathway"
"16";16;"Q95604";"1C17_HUMAN";"F:peptide antigen binding, P:interferon-gamma-mediated signaling pathway, C:MHC class I protein complex, C:phagocytic vesicle membrane, C:ER to Golgi transport vesicle membrane, C:early endosome membrane, P:positive regulation of T cell mediated cytotoxicity, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:Golgi membrane, P:type I interferon signaling pathway, C:integral component of lumenal side of endoplasmic reticulum membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:viral process, C:cell surface, P:regulation of immune response"
"17";17;"P04229";"2B11_HUMAN";"P:regulation of interleukin-4 production, P:negative regulation of T cell proliferation, C:integral component of lumenal side of endoplasmic reticulum membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, C:ER to Golgi transport vesicle membrane, C:late endosome membrane, C:external side of plasma membrane, P:interferon-gamma-mediated signaling pathway, F:MHC class II protein complex binding, P:immunoglobulin production involved in immunoglobulin mediated immune response, P:T cell costimulation, P:humoral immune response mediated by circulating immunoglobulin, C:clathrin-coated endocytic vesicle membrane, P:regulation of interleukin-10 secretion, P:positive regulation of insulin secretion involved in cellular response to glucose stimulus, C:trans-Golgi network membrane, C:Golgi membrane, P:inflammatory response to antigenic stimulus, P:protein tetramerization, P:negative regulation of interferon-gamma production, C:MHC class II protein complex, P:T cell receptor signaling pathway, P:T-helper 1 type immune response, C:extracellular vesicular exosome, F:peptide antigen binding, P:detection of bacterium, C:lysosomal membrane"
"18";18;"P20039";"2B1B_HUMAN";"C:integral component of plasma membrane, P:T cell costimulation, C:lysosomal membrane, C:MHC class II protein complex, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, C:trans-Golgi network membrane, C:clathrin-coated endocytic vesicle membrane, C:Golgi membrane, C:late endosome membrane, P:interferon-gamma-mediated signaling pathway, P:T cell receptor signaling pathway, F:MHC class II receptor activity, C:ER to Golgi transport vesicle membrane, C:integral component of lumenal side of endoplasmic reticulum membrane"
"19";19;"Q5Y7A7";"2B1D_HUMAN";"P:interferon-gamma-mediated signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, C:ER to Golgi transport vesicle membrane, C:MHC class II protein complex, C:integral component of lumenal side of endoplasmic reticulum membrane, P:T cell receptor signaling pathway, C:late endosome membrane, P:T cell costimulation, C:clathrin-coated endocytic vesicle membrane, C:plasma membrane, C:lysosomal membrane, C:trans-Golgi network membrane, C:Golgi membrane"
"20";20;"P08195";"4F2_HUMAN";"P:leucine import, C:apical plasma membrane, C:melanosome, P:response to exogenous dsRNA, F:calcium:sodium antiporter activity, F:cation binding, F:neutral amino acid transmembrane transporter activity, C:extracellular vesicular exosome, C:integral component of membrane, P:tryptophan transport, P:leukocyte migration, P:cell growth, C:plasma membrane, P:blood coagulation, F:catalytic activity, P:carbohydrate metabolic process, F:double-stranded RNA binding"
"21";21;"Q15758";"AAAT_HUMAN";"F:L-glutamine transmembrane transporter activity, P:sodium ion transmembrane transport, C:extracellular vesicular exosome, C:integral component of plasma membrane, C:Golgi apparatus, C:melanosome, P:extracellular amino acid transport, F:L-serine transmembrane transporter activity, F:sodium:dicarboxylate symporter activity, F:receptor activity, F:virus receptor activity, P:response to virus"
"22";22;"P00505";"AATM_HUMAN";"P:4-hydroxyproline catabolic process, C:mitochondrial matrix, P:response to ethanol, P:2-oxoglutarate metabolic process, P:glutamate catabolic process to aspartate, P:aspartate biosynthetic process, F:L-aspartate:2-oxoglutarate aminotransferase activity, F:pyridoxal phosphate binding, P:glutamate catabolic process to 2-oxoglutarate, P:aspartate catabolic process, P:oxaloacetate metabolic process, C:extracellular vesicular exosome, C:mitochondrial inner membrane, F:kynurenine-oxoglutarate transaminase activity, F:L-phenylalanine:2-oxoglutarate aminotransferase activity, P:L-kynurenine metabolic process, P:cellular amino acid biosynthetic process, C:plasma membrane, P:fatty acid transport, P:cellular nitrogen compound metabolic process, P:gluconeogenesis, P:glutamate metabolic process"
"25";25;"P53396";"ACLY_HUMAN";"F:metal ion binding, P:cellular carbohydrate metabolic process, P:coenzyme A metabolic process, F:ATP binding, C:plasma membrane, C:mitochondrion, P:positive regulation of cellular metabolic process, P:citrate metabolic process, P:ATP catabolic process, C:citrate lyase complex, F:cofactor binding, C:nucleus, P:triglyceride biosynthetic process, C:extracellular vesicular exosome, P:long-chain fatty-acyl-CoA biosynthetic process, P:energy reserve metabolic process, F:succinate-CoA ligase (ADP-forming) activity, C:cytosol, F:ATP citrate synthase activity"
"26";26;"O60488";"ACSL4_HUMAN";"P:dendritic spine development, C:peroxisomal membrane, F:long-chain fatty acid-CoA ligase activity, P:fatty acid transport, C:neuronal cell body, P:lipid biosynthetic process, P:positive regulation of cell growth, F:arachidonate-CoA ligase activity, F:ATP binding, P:triglyceride biosynthetic process, C:endoplasmic reticulum membrane, C:extracellular vesicular exosome, P:negative regulation of prostaglandin secretion, C:mitochondrial outer membrane, F:very long-chain fatty acid-CoA ligase activity, C:integral component of membrane, P:embryonic process involved in female pregnancy, P:response to interleukin-15, C:lipid particle, P:response to nutrient, P:long-chain fatty-acyl-CoA biosynthetic process"
"27";27;"P62736";"ACTA_HUMAN";"F:ATP binding, P:regulation of blood pressure, C:protein complex, P:glomerular mesangial cell development, C:cytosol, P:response to virus, C:extracellular space, C:actin cytoskeleton, C:smooth muscle contractile fiber, P:vascular smooth muscle contraction, P:muscle contraction"
"28";28;"P60709";"ACTB_HUMAN";"P:innate immune response, C:ribonucleoprotein complex, P:retina homeostasis, C:MLL5-L complex, F:ATP binding, P:cell junction assembly, P:Fc-gamma receptor signaling pathway involved in phagocytosis, P:blood coagulation, F:structural constituent of cytoskeleton, C:cortical cytoskeleton, P:'de novo' posttranslational protein folding, P:axon guidance, C:cytosol, C:blood microparticle, C:NuA4 histone acetyltransferase complex, C:cytoskeleton, C:extracellular vesicular exosome, C:postsynaptic density, C:axon, P:substantia nigra development, P:adherens junction organization"
"29";29;"O14672";"ADA10_HUMAN";"P:negative regulation of cell adhesion, P:constitutive protein ectodomain proteolysis, P:in utero embryonic development, C:postsynaptic density, C:extracellular vesicular exosome, P:positive regulation of cell proliferation, C:cell surface, P:extracellular matrix disassembly, F:protein homodimerization activity, P:response to tumor necrosis factor, C:nucleus, P:PMA-inducible membrane protein ectodomain proteolysis, P:integrin-mediated signaling pathway, P:positive regulation of T cell chemotaxis, P:cell-cell signaling, C:plasma membrane, P:protein phosphorylation, F:metalloendopeptidase activity, F:protein kinase binding, P:positive regulation of cell growth, F:zinc ion binding, P:Notch signaling pathway, P:collagen catabolic process, C:integral component of membrane, P:epidermal growth factor receptor signaling pathway, C:Golgi-associated vesicle, P:Notch receptor processing, P:monocyte activation, F:integrin binding"
"31";31;"Q9BRR6";"ADPGK_HUMAN";"F:metal ion binding, P:glycolysis, C:extracellular region, F:ADP-specific glucokinase activity"
"32";32;"P05141";"ADT2_HUMAN";"P:energy reserve metabolic process, P:negative regulation of mitochondrial outer membrane permeabilization, P:regulation of insulin secretion, C:MMXD complex, C:mitochondrial nucleoid, C:integral component of plasma membrane, P:positive regulation of cell proliferation, P:viral process, P:small molecule metabolic process, P:chromosome segregation, F:adenine transmembrane transporter activity, C:mitochondrial inner membrane"
"35";35;"Q12904";"AIMP1_HUMAN";"F:cytokine activity, P:inflammatory response, P:leukocyte migration, P:tRNA aminoacylation for protein translation, C:transport vesicle, C:cell surface, P:signal transduction, C:aminoacyl-tRNA synthetase multienzyme complex, C:nucleus, P:apoptotic process, C:Golgi apparatus, P:chemotaxis, C:cytosol, P:cell-cell signaling, C:endoplasmic reticulum, F:protein homodimerization activity, C:extracellular space, P:angiogenesis, P:negative regulation of endothelial cell proliferation, F:tRNA binding, P:glucose metabolic process, P:cell adhesion"
"36";36;"P04075";"ALDOA_HUMAN";"F:fructose binding, C:extracellular space, P:fructose 1,6-bisphosphate metabolic process, P:fructose metabolic process, P:striated muscle contraction, P:glycolysis, C:extracellular vesicular exosome, P:platelet activation, P:gluconeogenesis, P:ATP biosynthetic process, F:identical protein binding, P:regulation of cell shape, P:actin filament organization, C:I band, C:actin cytoskeleton, C:cytosol, F:actin binding, C:platelet alpha granule lumen, P:muscle cell cellular homeostasis, P:protein homotetramerization, F:tubulin binding, F:fructose-bisphosphate aldolase activity, P:platelet degranulation"
"37";37;"P09972";"ALDOC_HUMAN";"P:organ regeneration, P:aging, C:mitochondrion, C:cytoskeleton, P:protein heterotetramerization, P:fructose 1,6-bisphosphate metabolic process, P:protein homotetramerization, P:small molecule metabolic process, P:response to hypoxia, P:response to organic cyclic compound, C:axon, F:cytoskeletal protein binding, F:fructose-bisphosphate aldolase activity, P:response to organonitrogen compound, C:extracellular vesicular exosome, P:fructose metabolic process, P:gluconeogenesis, P:epithelial cell differentiation, C:cytosol, P:apoptotic process, P:glycolysis"
"38";38;"P15144";"AMPN_HUMAN";"C:external side of plasma membrane, C:cytosol, F:aminopeptidase activity, C:endoplasmic reticulum-Golgi intermediate compartment, P:cell differentiation, F:zinc ion binding, C:extracellular vesicular exosome, P:angiotensin maturation, F:virus receptor activity, P:cellular protein metabolic process, P:viral process, C:integral component of plasma membrane, P:response to virus, C:lysosomal membrane, P:angiogenesis, F:metallopeptidase activity, F:receptor activity, P:proteolysis"
"40";40;"P61158";"ARP3_HUMAN";"P:response to carbohydrate, C:podosome, P:meiotic cytokinesis, C:Arp2/3 protein complex, P:positive regulation of dendrite morphogenesis, P:establishment or maintenance of cell polarity, P:cellular component movement, P:asymmetric cell division, P:response to antibiotic, F:ATP binding, P:spindle localization, P:Fc-gamma receptor signaling pathway involved in phagocytosis, C:extracellular vesicular exosome, P:cilium morphogenesis, C:Golgi membrane, P:positive regulation of filopodium assembly, P:positive regulation of lamellipodium assembly, P:positive regulation of actin filament polymerization, P:regulation of myosin II filament organization, C:excitatory synapse, C:lamellipodium, P:innate immune response, C:hemidesmosome, C:cytosol, P:positive regulation of neuron differentiation"
"41";41;"Q92485";"ASM3B_HUMAN";"F:sphingomyelin phosphodiesterase activity, P:sphingomyelin catabolic process, C:extracellular space, C:extracellular vesicular exosome, F:hydrolase activity, acting on glycosyl bonds"
"42";42;"P05023";"AT1A1_HUMAN";"C:T-tubule, C:endoplasmic reticulum, P:ATP biosynthetic process, F:ADP binding, P:regulation of sodium ion transport, F:chaperone binding, C:basolateral plasma membrane, P:regulation of cardiac muscle cell contraction, C:melanosome, P:positive regulation of heart contraction, P:potassium ion import, P:negative regulation of heart contraction, P:regulation of the force of heart contraction, P:response to drug, P:negative regulation of glucocorticoid biosynthetic process, C:endosome, C:Golgi apparatus, P:membrane hyperpolarization, F:sodium:potassium-exchanging ATPase activity, P:regulation of blood pressure, F:potassium ion binding, C:sodium:potassium-exchanging ATPase complex, C:caveola, C:extracellular vesicular exosome, F:sodium ion binding, P:positive regulation of striated muscle contraction, F:ATP binding, P:cellular response to mechanical stimulus"
"43";43;"P54709";"AT1B3_HUMAN";"C:sodium:potassium-exchanging ATPase complex, F:sodium:potassium-exchanging ATPase activity, P:leukocyte migration, C:extracellular vesicular exosome, P:blood coagulation, C:caveola, C:melanosome"
"44";44;"P16615";"AT2A2_HUMAN";"P:cell adhesion, P:regulation of the force of heart contraction, P:positive regulation of heart rate, F:metal ion binding, P:sarcoplasmic reticulum calcium ion transport, P:epidermis development, P:ER-nucleus signaling pathway, F:calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential, C:platelet dense tubular network membrane, P:relaxation of cardiac muscle, P:negative regulation of heart contraction, C:integral component of plasma membrane, P:cellular calcium ion homeostasis, P:blood coagulation, C:sarcoplasmic reticulum membrane, F:ATP binding"
"45";45;"P23634";"AT2B4_HUMAN";"F:ATP binding, F:scaffold protein binding, F:calcium-transporting ATPase activity, P:regulation of sodium ion transmembrane transport, C:protein complex, P:blood coagulation, C:integral component of plasma membrane, P:negative regulation of peptidyl-cysteine S-nitrosylation, F:metal ion binding"
"51";51;"P25705";"ATPA_HUMAN";"C:mitochondrial matrix, F:MHC class I protein binding, C:plasma membrane, P:lipid metabolic process, F:ATP binding, P:negative regulation of endothelial cell proliferation, F:proton-transporting ATPase activity, rotational mechanism, P:ATP hydrolysis coupled proton transport, P:respiratory electron transport chain, P:embryo development, C:mitochondrial proton-transporting ATP synthase complex, P:mitochondrial ATP synthesis coupled proton transport, C:proton-transporting ATP synthase complex, catalytic core F(1), C:extracellular vesicular exosome, F:proton-transporting ATP synthase activity, rotational mechanism"
"52";52;"P06576";"ATPB_HUMAN";"P:ATP hydrolysis coupled proton transport, F:MHC class I protein binding, P:lipid metabolic process, F:ATP binding, C:mitochondrial nucleoid, C:cell surface, P:mitochondrial ATP synthesis coupled proton transport, P:negative regulation of cell adhesion involved in substrate-bound cell migration, C:mitochondrial proton-transporting ATP synthase, catalytic core, P:respiratory electron transport chain, F:proton-transporting ATP synthase activity, rotational mechanism, P:angiogenesis, F:proton-transporting ATPase activity, rotational mechanism, C:extracellular vesicular exosome, C:plasma membrane, P:regulation of intracellular pH"
"55";55;"P48047";"ATPO_HUMAN";"C:plasma membrane, F:proton-transporting ATP synthase activity, rotational mechanism, F:transmembrane transporter activity, P:respiratory electron transport chain, F:drug binding, P:mitochondrial ATP synthesis coupled proton transport, C:mitochondrial proton-transporting ATP synthase complex, P:ATP catabolic process"
"56";56;"P61769";"B2MG_HUMAN";"P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:endoplasmic reticulum lumen, C:plasma membrane, P:response to cadmium ion, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:ER to Golgi transport vesicle membrane, P:regulation of immune response, C:phagocytic vesicle membrane, P:retina homeostasis, C:early endosome lumen, P:positive regulation of T cell mediated cytotoxicity, C:MHC class I protein complex, C:external side of plasma membrane, C:Golgi membrane, C:early endosome membrane, P:interferon-gamma-mediated signaling pathway, P:T cell differentiation in thymus, C:extracellular space, P:response to drug, P:response to molecule of bacterial origin, P:antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent, P:viral process, C:extracellular vesicular exosome, P:regulation of defense response to virus by virus, P:protein refolding"
"58";58;"P51572";"BAP31_HUMAN";"C:Golgi membrane, C:integral component of plasma membrane, P:positive regulation of cysteine-type endopeptidase activity involved in apoptotic process, P:negative regulation of endoplasmic reticulum calcium ion concentration, P:vesicle-mediated transport, C:lipid particle, P:cellular component disassembly involved in execution phase of apoptosis, P:positive regulation of mitochondrial calcium ion concentration, C:endoplasmic reticulum-Golgi intermediate compartment membrane, P:immune response, P:calcium-mediated signaling using intracellular calcium source, P:spermatogenesis, C:integral component of lumenal side of endoplasmic reticulum membrane, C:cytosol, P:antigen processing and presentation of peptide antigen via MHC class I, P:positive regulation of intrinsic apoptotic signaling pathway, P:intracellular protein transport, P:positive regulation of cytosolic calcium ion concentration"
"59";59;"P35613";"BASI_HUMAN";"C:sarcolemma, C:mitochondrion, F:mannose binding, P:cell surface receptor signaling pathway, P:embryo implantation, C:membrane raft, P:response to peptide hormone, P:response to cAMP, C:integral component of plasma membrane, P:odontogenesis of dentin-containing tooth, C:extracellular vesicular exosome, P:leukocyte migration, P:blood coagulation, P:pyruvate metabolic process, C:melanosome, C:acrosomal membrane, P:decidualization, C:Golgi membrane, P:response to mercury ion, P:protein targeting to plasma membrane"
"60";60;"Q07812";"BAX_HUMAN";"P:apoptotic process involved in embryonic digit morphogenesis, F:protein homodimerization activity, P:B cell receptor apoptotic signaling pathway, P:regulation of protein heterodimerization activity, P:positive regulation of apoptotic DNA fragmentation, P:response to toxic substance, P:ectopic germ cell programmed cell death, P:positive regulation of extrinsic apoptotic signaling pathway in absence of ligand, P:response to salt stress, P:protein homooligomerization, P:positive regulation of developmental pigmentation, P:B cell homeostasis, P:germ cell development, P:T cell homeostatic proliferation, C:extracellular vesicular exosome, P:viral process, P:intrinsic apoptotic signaling pathway by p53 class mediator, P:cerebral cortex development, P:development of secondary sexual characteristics, P:endoplasmic reticulum calcium ion homeostasis, P:B cell homeostatic proliferation, P:cellular response to organic substance, P:retinal cell programmed cell death, P:spermatid differentiation, P:retinal cell apoptotic process, P:hypothalamus development, C:endoplasmic reticulum membrane, C:mitochondrial outer membrane, P:establishment or maintenance of transmembrane electrochemical gradient, P:regulation of mammary gland epithelial cell proliferation, P:protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, P:mitochondrial fusion, P:glycosphingolipid metabolic process, P:B cell negative selection, P:fertilization, P:vagina development, P:homeostasis of number of cells within a tissue, P:release of cytochrome c from mitochondria, C:mitochondrial permeability transition pore complex, P:regulation of nitrogen utilization, P:positive regulation of endoplasmic reticulum unfolded protein response, F:BH3 domain binding, P:odontogenesis of dentin-containing tooth, P:negative regulation of apoptotic signaling pathway, P:apoptotic process involved in patterning of blood vessels, P:extrinsic apoptotic signaling pathway in absence of ligand, P:intrinsic apoptotic signaling pathway in response to DNA damage, C:cytosol, P:negative regulation of neuron apoptotic process, P:negative regulation of endoplasmic reticulum calcium ion concentration, P:positive regulation of intrinsic apoptotic signaling pathway, P:blood vessel remodeling, P:retina development in camera-type eye, P:ovarian follicle development, P:post-embryonic camera-type eye morphogenesis, P:myeloid cell homeostasis, P:nuclear fragmentation involved in apoptotic nuclear change, P:regulation of protein homodimerization activity, P:positive regulation of apoptotic process involved in mammary gland involution, P:cellular response to UV, P:regulation of cell cycle, P:release of matrix enzymes from mitochondria, C:nucleus, P:response to acid, P:negative regulation of peptidyl-serine phosphorylation, P:positive regulation of protein oligomerization, P:positive regulation of B cell apoptotic process, P:transformed cell apoptotic process, P:neuron migration, P:positive regulation of neuron apoptotic process, P:regulation of mitochondrial membrane potential, P:negative regulation of protein binding, F:channel activity, P:thymocyte apoptotic process, P:Sertoli cell proliferation, P:mitochondrial fragmentation involved in apoptotic process, P:intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress, P:kidney development, P:negative regulation of fibroblast proliferation, C:BAX complex, P:positive regulation of release of cytochrome c from mitochondria, P:activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c, P:response to axon injury, P:extrinsic apoptotic signaling pathway via death domain receptors, P:positive regulation of release of sequestered calcium ion into cytosol, P:response to gamma radiation, P:activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway, P:positive regulation of mitochondrial outer membrane permeabilization, F:lipid binding, P:neuron apoptotic process"
"61";61;"P50895";"BCAM_HUMAN";"F:laminin binding, F:transmembrane signaling receptor activity, C:integral component of plasma membrane, F:laminin receptor activity, P:cell-matrix adhesion, C:extracellular vesicular exosome, C:external side of plasma membrane"
"66";66;"Q10589";"BST2_HUMAN";"P:negative regulation of intracellular transport of viral material, P:multicellular organismal development, C:extracellular vesicular exosome, C:membrane raft, F:signal transducer activity, C:Golgi apparatus, P:negative regulation of cell growth, C:late endosome, P:defense response to virus, P:response to interferon-alpha, P:response to interferon-gamma, P:B cell activation, C:apical plasma membrane, P:negative regulation of plasmacytoid dendritic cell cytokine production, P:response to interferon-beta, P:positive regulation of I-kappaB kinase/NF-kappaB signaling, P:humoral immune response, C:integral component of plasma membrane, C:anchored component of membrane, F:metalloendopeptidase inhibitor activity, P:regulation of actin cytoskeleton organization, P:cell-cell signaling, P:cell proliferation, C:cell surface, P:negative regulation of cell migration, P:negative regulation of viral genome replication"
