"";"Protein.Acs";"ID";"Description";"Go.Cc"
"845";"O43184-1";"ADA12_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 12";"integral to membrane;plasma membrane;nucleus;mitochondrion;extracellular region"
"852";"O60312";"AT10A_HUMAN";"Probable phospholipid-transporting ATPase VA";"endoplasmic reticulum membrane;endoplasmic reticulum;integral to membrane;plasma membrane"
"861";"O75106-2";"AOC2_HUMAN";"Retina-specific copper amine oxidase";"cytoplasm;plasma membrane"
"872";"O94856-1";"NFASC_HUMAN";"Neurofascin";"integral to membrane;plasma membrane;paranodal junction;paranode region of axon;intracellular;axon initial segment;node of Ranvier"
"873";"O94856-6";"NFASC_HUMAN";"Neurofascin";"integral to membrane;plasma membrane;paranodal junction;paranode region of axon;intracellular;axon initial segment;node of Ranvier"
"875";"O94910-2";"LPHN1_HUMAN";"Latrophilin-1";"cell junction;plasma membrane;presynaptic membrane;growth cone;axon;integral to membrane"
"884";"O95970-1";"LGI1_HUMAN";"Leucine-rich glioma-inactivated protein 1";"extracellular region;extracellular space;synapse;cell junction"
"886";"O96014";"WNT11_HUMAN";"Protein Wnt-11";"cytoplasm;plasma membrane;extracellular space;proteinaceous extracellular matrix"
"890";"P00748";"FA12_HUMAN";"Coagulation factor XII";"extracellular space;plasma membrane"
"892";"P02771";"FETA_HUMAN";"Alpha-fetoprotein";"extracellular space;cytoplasm"
"893";"P04279-2";"SEMG1_HUMAN";"Semenogelin-1";"secretory granule;extracellular space"
"923";"P15813";"CD1D_HUMAN";"Antigen-presenting glycoprotein CD1d";"cell surface;lysosomal membrane;cytoplasm;integral to plasma membrane;endosome membrane"
"926";"P16234-3";"PGFRA_HUMAN";"Platelet-derived growth factor receptor alpha";"integral to plasma membrane;external side of plasma membrane;cytoplasm;nucleus"
"936";"P19526";"FUT1_HUMAN";"Galactoside 2-alpha-L-fucosyltransferase 1";"Golgi apparatus;Golgi cisterna membrane;integral to plasma membrane"
"946";"P23276";"KELL_HUMAN";"Kell blood group glycoprotein";"integral to membrane;plasma membrane"
"955";"P28039-2";"AOAH_HUMAN";"Acyloxyacyl hydrolase";"extracellular region"
"963";"P30461";"1B13_HUMAN";"HLA class I histocompatibility antigen, B-13 alpha chain";"MHC class I protein complex;integral to lumenal side of endoplasmic reticulum membrane;Golgi membrane;early endosome membrane;phagocytic vesicle membrane;plasma membrane;ER to Golgi transport vesicle membrane"
"979";"P39059";"COFA1_HUMAN";"Collagen alpha-1(XV) chain";"endoplasmic reticulum lumen;collagen type XV;basement membrane;extracellular space;integral to membrane"
"982";"P43115-7";"PE2R3_HUMAN";"Prostaglandin E2 receptor EP3 subtype";"nuclear envelope;integral to plasma membrane"
"1001";"P49796-3";"RGS3_HUMAN";"Regulator of G-protein signaling 3";"nucleus;cytosol;plasma membrane"
"1002";"P49796-6";"RGS3_HUMAN";"Regulator of G-protein signaling 3";"nucleus;cytosol;plasma membrane"
"1022";"P54762";"EPHB1_HUMAN";"Ephrin type-B receptor 1";"membrane raft;axon;integral to plasma membrane;dendrite;early endosome membrane"
"1028";"P59044";"NALP6_HUMAN";"NACHT, LRR and PYD domains-containing protein 6";"plasma membrane;cytoplasm;nuclear membrane"
"1049";"P78539-3";"SRPX_HUMAN";"Sushi repeat-containing protein SRPX";"autophagic vacuole;cell surface;endoplasmic reticulum;membrane"
"1055";"P87889-1";"GAK10_HUMAN";"HERV-K_5q33.3 provirus ancestral Gag polyprotein";"plasma membrane;viral capsid"
"1056";"P98161-2";"PKD1_HUMAN";"Polycystin-1";"integral to plasma membrane;nucleus;basolateral plasma membrane;polycystin complex;motile primary cilium;cytoplasm"
"1069";"Q02505-3";"MUC3A_HUMAN";"Mucin-3A";"extracellular region;integral to membrane;Golgi lumen"
"1092";"Q13018-2";"PLA2R_HUMAN";"Secretory phospholipase A2 receptor";"cell surface;extracellular region;integral to membrane;plasma membrane;integral to plasma membrane"
"1103";"Q13882-1";"PTK6_HUMAN";"Protein-tyrosine kinase 6";"cytoplasm;ruffle;nucleus;plasma membrane"
"1110";"Q14439";"GP176_HUMAN";"Probable G-protein coupled receptor 176";"integral to plasma membrane"
"1113";"Q14524-3";"SCN5A_HUMAN";"Sodium channel protein type 5 subunit alpha";"cell surface;T-tubule;endoplasmic reticulum;voltage-gated sodium channel complex;intercalated disc"
"1117";"Q14831-5";"GRM7_HUMAN";"Metabotropic glutamate receptor 7";"dendritic shaft;integral to plasma membrane;axon;presynaptic active zone;cell cortex;postsynaptic membrane;asymmetric synapse;presynaptic membrane"
"1127";"Q15109-3";"RAGE_HUMAN";"Advanced glycosylation end product-specific receptor";"extracellular region;integral to plasma membrane"
"1133";"Q15375-2";"EPHA7_HUMAN";"Ephrin type-A receptor 7";"dendrite;postsynaptic membrane;neuromuscular junction;neuronal cell body;integral to plasma membrane"
"1138";"Q16288-1";"NTRK3_HUMAN";"NT-3 growth factor receptor";"integral to plasma membrane;cytoplasm"
"1148";"Q2VWP7";"PRTG_HUMAN";"Protogenin";"integral to membrane"
"1149";"Q32M45-2";"ANO4_HUMAN";"Anoctamin-4";"plasma membrane;intracellular;integral to membrane"
"1167";"Q4ZG55-1";"GREB1_HUMAN";"Protein GREB1";"integral to membrane"
"1184";"Q5JX71";"F209A_HUMAN";"Protein FAM209A";"integral to membrane"
"1192";"Q5T6X5-2";"GPC6A_HUMAN";"G-protein coupled receptor family C group 6 member A";"cell surface;integral to membrane;plasma membrane"
"1193";"Q5T848";"GP158_HUMAN";"Probable G-protein coupled receptor 158";"plasma membrane;integral to membrane"
"1208";"Q66K79-2";"CBPZ_HUMAN";"Carboxypeptidase Z";"proteinaceous extracellular matrix"
"1225";"Q6UVK1";"CSPG4_HUMAN";"Chondroitin sulfate proteoglycan 4";"integral to plasma membrane;Golgi lumen;lysosomal lumen;cell surface;extracellular region;lamellipodium membrane;apical plasma membrane"
"1226";"Q6UWF7-[1,2]";"NXPE4_HUMAN";"NXPE family member 4";"extracellular region"
"1228";"Q6UX73-2";"CP089_HUMAN";"UPF0764 protein C16orf89";"extracellular region"
"1229";"Q6W4X9";"MUC6_HUMAN";"Mucin-6";"extracellular region;Golgi lumen"
"1240";"Q6ZRI0-1";"OTOG_HUMAN";"Otogelin";"cytosol;extracellular space;apical plasma membrane;proteinaceous extracellular matrix"
"1254";"Q76LX8-1";"ATS13_HUMAN";"A disintegrin and metalloproteinase with thrombospondin motifs 13";"proteinaceous extracellular matrix;extracellular space;cell surface"
"1260";"Q7RTU9";"STRC_HUMAN";"Stereocilin";"cell surface;stereocilium bundle tip;kinocilium;stereocilium"
"1277";"Q86UL8-2";"MAGI2_HUMAN";"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2";"plasma membrane;nucleus;postsynaptic density;tight junction;slit diaphragm;perinuclear region of cytoplasm"
"1281";"Q86UW8";"HPLN4_HUMAN";"Hyaluronan and proteoglycan link protein 4";"proteinaceous extracellular matrix"
"1282";"Q86UX2-3";"ITIH5_HUMAN";"Inter-alpha-trypsin inhibitor heavy chain H5";"extracellular region"
"1288";"Q86VZ4-1";"LRP11_HUMAN";"Low-density lipoprotein receptor-related protein 11";"integral to membrane"
"1290";"Q86WD7-6";"SPA9_HUMAN";"Serpin A9";"membrane;cytoplasm;extracellular region"
"1292";"Q86Y22-1";"CONA1_HUMAN";"Collagen alpha-1(XXIII) chain";"endoplasmic reticulum lumen;plasma membrane;integral to membrane;collagen"
"1295";"Q8IV77-1";"CNGA4_HUMAN";"Cyclic nucleotide-gated cation channel alpha-4";"integral to membrane"
"1315";"Q8N7P1-2";"PLD5_HUMAN";"Inactive phospholipase D5";"integral to membrane"
"1321";"Q8NB59-5";"SYT14_HUMAN";"Synaptotagmin-14";"integral to membrane"
"1322";"Q8NBV8-4";"SYT8_HUMAN";"Synaptotagmin-8";"plasma membrane;integral to membrane;synaptic vesicle;acrosomal vesicle"
"1337";"Q8NFF2-1";"NCKX4_HUMAN";"Sodium/potassium/calcium exchanger 4";"plasma membrane;integral to membrane"
"1342";"Q8NGN1";"OR6T1_HUMAN";"Olfactory receptor 6T1";"plasma membrane;integral to membrane"
"1343";"Q8NGT9";"OR2A1_HUMAN";"Olfactory receptor 2A1/2A42";"integral to membrane;plasma membrane"
"1344";"Q8NGX3";"O10T2_HUMAN";"Olfactory receptor 10T2";"integral to membrane;plasma membrane"
"1355";"Q8TE56-1";"ATS17_HUMAN";"A disintegrin and metalloproteinase with thrombospondin motifs 17";"proteinaceous extracellular matrix"
"1365";"Q8WVV5-1";"BT2A2_HUMAN";"Butyrophilin subfamily 2 member A2";"integral to membrane"
"1381";"Q92823-1";"NRCAM_HUMAN";"Neuronal cell adhesion molecule";"synapse;integral to plasma membrane;axon initial segment;external side of plasma membrane"
"1383";"Q92959";"SO2A1_HUMAN";"Solute carrier organic anion transporter family member 2A1";"integral to plasma membrane"
"1399";"Q96F81";"DISP1_HUMAN";"Protein dispatched homolog 1";"integral to membrane;basolateral plasma membrane"
"1420";"Q96RV3-[1,3]";"PCX1_HUMAN";"Pecanex-like protein 1";"integral to membrane"
"1427";"Q99466-1";"NOTC4_HUMAN";"Neurogenic locus notch homolog protein 4";"Golgi membrane;extracellular region;nucleoplasm;integral to plasma membrane;cytosol;cell surface;endoplasmic reticulum membrane"
"1430";"Q99715-2";"COCA1_HUMAN";"Collagen alpha-1(XII) chain";"extracellular space;endoplasmic reticulum lumen;extracellular vesicular exosome;collagen type XII"
"1447";"Q9BW04-1";"SARG_HUMAN";"Specifically androgen-regulated gene protein";"plasma membrane;cytoplasm"
"1452";"Q9BXS0-2";"COPA1_HUMAN";"Collagen alpha-1(XXV) chain";"extracellular space;integral to plasma membrane;endoplasmic reticulum lumen;collagen"
"1453";"Q9BXS9-2";"S26A6_HUMAN";"Solute carrier family 26 member 6";"plasma membrane;integral to plasma membrane"
"1465";"Q9C0H9-1";"SRCN1_HUMAN";"SRC kinase signaling inhibitor 1";"neuronal cell body;axon;cell junction;plasma membrane;actin cytoskeleton;filopodium;postsynaptic membrane;cytoplasm;postsynaptic density;lamellipodium"
"1469";"Q9H1J5-1";"WNT8A_HUMAN";"Protein Wnt-8a";"plasma membrane;extracellular space;proteinaceous extracellular matrix"
"1470";"Q9H207";"O10A5_HUMAN";"Olfactory receptor 10A5";"plasma membrane;integral to membrane"
"1486";"Q9HCF6-8";"TRPM3_HUMAN";"Transient receptor potential cation channel subfamily M member 3";"integral to membrane"
"1488";"Q9HD67";"MYO10_HUMAN";"Unconventional myosin-X";"cytosol;filopodium membrane;neuron projection;myosin complex;nucleolus;cell cortex;filopodium tip;neuronal cell body;lamellipodium;plasma membrane;ruffle"
"1489";"Q9NP58-[1,4]";"ABCB6_HUMAN";"ATP-binding cassette sub-family B member 6, mitochondrial";"endoplasmic reticulum;Golgi apparatus;ATP-binding cassette (ABC) transporter complex;plasma membrane;integral to mitochondrial outer membrane;vacuolar membrane"
"1491";"Q9NP85-2";"PODO_HUMAN";"Podocin";"membrane raft;slit diaphragm;integral to plasma membrane;cell-cell junction;intrinsic to internal side of plasma membrane;protein complex"
"1494";"Q9NPY3";"C1QR1_HUMAN";"Complement component C1q receptor";"plasma membrane;integral to membrane;cell surface;cytoplasmic membrane-bounded vesicle"
"1497";"Q9NRD9-2";"DUOX1_HUMAN";"Dual oxidase 1";"apical plasma membrane;integral to membrane"
"1508";"Q9NY59";"NSMA2_HUMAN";"Sphingomyelin phosphodiesterase 3";"Golgi membrane;plasma membrane;Golgi cis cisterna"
"1519";"Q9P1Z3";"HCN3_HUMAN";"Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3";"integral to membrane;plasma membrane"
"1521";"Q9P283-2";"SEM5B_HUMAN";"Semaphorin-5B";"integral to membrane"
"1523";"Q9P2N4-3";"ATS9_HUMAN";"A disintegrin and metalloproteinase with thrombospondin motifs 9";"extracellular space;proteinaceous extracellular matrix"
"1524";"Q9P2P1-1";"NYNRI_HUMAN";"Protein NYNRIN";"integral to membrane"
"1528";"Q9UBY0";"SL9A2_HUMAN";"Sodium/hydrogen exchanger 2";"plasma membrane;integral to membrane"
"1538";"Q9UKF2-[1,2]";"ADA30_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 30";"integral to membrane"
"1548";"Q9ULL8-2";"SHRM4_HUMAN";"Protein Shroom4";"nucleus;internal side of plasma membrane;stress fiber;cortical actin cytoskeleton;myosin II complex;cytoplasm;apical plasma membrane;basal plasma membrane"
"1549";"Q9UMD9-2";"COHA1_HUMAN";"Collagen alpha-1(XVII) chain";"cell-cell junction;endoplasmic reticulum lumen;extracellular region;collagen;integral to plasma membrane;basement membrane;hemidesmosome"
"1550";"Q9UN67";"PCDBA_HUMAN";"Protocadherin beta-10";"integral to membrane;plasma membrane"
"1557";"Q9Y2N7-2";"HIF3A_HUMAN";"Hypoxia-inducible factor 3-alpha";"nucleoplasm;plasma membrane;cytosol"
"1558";"Q9Y2P5";"S27A5_HUMAN";"Bile acyl-CoA synthetase";"protein complex;integral to endoplasmic reticulum membrane;basal plasma membrane"
"1572";"Q9Y5H9-2";"PCDA2_HUMAN";"Protocadherin alpha-2";"integral to plasma membrane"
"1578";"Q9Y6R7";"FCGBP_HUMAN";"IgGFc-binding protein";"cytoplasm;extracellular region"
"1594";"A6NNC1";"P12LL_HUMAN";"Putative POM121-like protein 1-like";"integral to membrane"
"1623";"O75038-3";"PLCH2_HUMAN";"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2";"plasma membrane;cytoplasm"
"1627";"O75309-1";"CAD16_HUMAN";"Cadherin-16";"integral to membrane;plasma membrane"
"1646";"O95255";"MRP6_HUMAN";"Multidrug resistance-associated protein 6";"lateral plasma membrane;integral to membrane;apical plasma membrane;plasma membrane"
"1649";"O95436-2";"NPT2B_HUMAN";"Sodium-dependent phosphate transport protein 2B";"integral to plasma membrane;apical plasma membrane;brush border membrane"
"1660";"P02461-1";"CO3A1_HUMAN";"Collagen alpha-1(III) chain";"extracellular space;endoplasmic reticulum lumen;collagen type III"
"1663";"P02768-1";"ALBU_HUMAN";"Serum albumin";"extracellular vesicular exosome;basement membrane;protein complex;platelet alpha granule lumen;extracellular space"
"1713";"P13591-4";"NCAM1_HUMAN";"Neural cell adhesion molecule 1";"integral to membrane;Golgi membrane;growth cone;anchored to membrane;axon;extracellular region;neuronal cell body;external side of plasma membrane"
"1727";"P15313";"VATB1_HUMAN";"V-type proton ATPase subunit B, kidney isoform";"microvillus;cytosol;proton-transporting V-type ATPase;lateral plasma membrane;apical plasma membrane;vacuolar proton-transporting V-type ATPase complex;basolateral plasma membrane;endomembrane system"
"1735";"P16157-1";"ANK1_HUMAN";"Ankyrin-1";"spectrin-associated cytoskeleton;cytosol;cortical cytoskeleton;basolateral plasma membrane;M band;sarcoplasmic reticulum"
"1736";"P16157-10";"ANK1_HUMAN";"Ankyrin-1";"spectrin-associated cytoskeleton;cytosol;cortical cytoskeleton;basolateral plasma membrane;M band;sarcoplasmic reticulum"
"1737";"P16157-13";"ANK1_HUMAN";"Ankyrin-1";"spectrin-associated cytoskeleton;cytosol;cortical cytoskeleton;basolateral plasma membrane;M band;sarcoplasmic reticulum"
"1738";"P16157-8";"ANK1_HUMAN";"Ankyrin-1";"spectrin-associated cytoskeleton;cytosol;cortical cytoskeleton;basolateral plasma membrane;M band;sarcoplasmic reticulum"
"1784";"P30462";"1B14_HUMAN";"HLA class I histocompatibility antigen, B-14 alpha chain";"integral to lumenal side of endoplasmic reticulum membrane;early endosome membrane;MHC class I protein complex;phagocytic vesicle membrane;ER to Golgi transport vesicle membrane;integral to plasma membrane;Golgi membrane"
"1805";"P36382";"CXA5_HUMAN";"Gap junction alpha-5 protein";"connexon complex;intercalated disc;integral to plasma membrane"
"1824";"P48594";"SPB4_HUMAN";"Serpin B4";"cytoplasm;extracellular region"
"1874";"P81605-1";"DCD_HUMAN";"Dermcidin";"extracellular region"
"1892";"Q03167-1";"TGBR3_HUMAN";"Transforming growth factor beta receptor type 3";"inhibin-betaglycan-ActRII complex;endoplasmic reticulum;extracellular space;external side of plasma membrane;integral to plasma membrane;proteinaceous extracellular matrix"
"1899";"Q08289-8";"CACB2_HUMAN";"Voltage-dependent L-type calcium channel subunit beta-2";"sarcolemma;integral to plasma membrane;voltage-gated calcium channel complex"
"1967";"Q29718";"1B82_HUMAN";"HLA class I histocompatibility antigen, B-82 alpha chain";"integral to lumenal side of endoplasmic reticulum membrane;plasma membrane;MHC class I protein complex;phagocytic vesicle membrane;ER to Golgi transport vesicle membrane;early endosome membrane;Golgi membrane"
"1969";"Q29974";"2B1G_HUMAN";"HLA class II histocompatibility antigen, DRB1-16 beta chain";"late endosome membrane;integral to lumenal side of endoplasmic reticulum membrane;MHC class II protein complex;external side of plasma membrane;Golgi membrane;trans-Golgi network membrane;clathrin-coated endocytic vesicle membrane;lysosomal membrane;ER to Golgi transport vesicle membrane"
"1975";"Q31610";"1B81_HUMAN";"HLA class I histocompatibility antigen, B-81 alpha chain";"integral to lumenal side of endoplasmic reticulum membrane;early endosome membrane;plasma membrane;MHC class I protein complex;phagocytic vesicle membrane;Golgi membrane;ER to Golgi transport vesicle membrane"
"1988";"Q5IJ48-2";"CRUM2_HUMAN";"Protein crumbs homolog 2";"extracellular region;plasma membrane;integral to membrane"
"2003";"Q5VYP0";"S31A3_HUMAN";"Spermatogenesis-associated protein 31A3";"integral to membrane"
"2035";"Q86WI1";"PKHL1_HUMAN";"Fibrocystin-L";"extracellular space;integral to membrane;cytosol"
"2048";"Q8N1N2";"DYNAP_HUMAN";"Dynactin-associated protein";"Golgi apparatus;Golgi membrane;integral to membrane;plasma membrane"
"2050";"Q8N2C7-1";"UNC80_HUMAN";"Protein unc-80 homolog";"plasma membrane;integral to membrane"
"2051";"Q8N2C7-4";"UNC80_HUMAN";"Protein unc-80 homolog";"plasma membrane;integral to membrane"
"2059";"Q8N8V4";"ANS4B_HUMAN";"Ankyrin repeat and SAM domain-containing protein 4B";"plasma membrane"
"2075";"Q8WWU5-3";"TCP11_HUMAN";"T-complex protein 11 homolog";"integral to membrane"
"2089";"Q92823-5";"NRCAM_HUMAN";"Neuronal cell adhesion molecule";"synapse;integral to plasma membrane;axon initial segment;external side of plasma membrane"
"2111";"Q96PL2";"TECTB_HUMAN";"Beta-tectorin";"plasma membrane;anchored to membrane;proteinaceous extracellular matrix"
"2117";"Q99102-11";"MUC4_HUMAN";"Mucin-4";"integral to plasma membrane;proteinaceous extracellular matrix;Golgi lumen"
"2118";"Q99102-3";"MUC4_HUMAN";"Mucin-4";"integral to plasma membrane;proteinaceous extracellular matrix;Golgi lumen"
"2132";"Q9BXS0-1";"COPA1_HUMAN";"Collagen alpha-1(XXV) chain";"extracellular space;integral to plasma membrane;endoplasmic reticulum lumen;collagen"
"2134";"Q9BZJ3-1";"TRYD_HUMAN";"Tryptase delta";"extracellular region"
"2157";"Q9P283-4";"SEM5B_HUMAN";"Semaphorin-5B";"integral to membrane"
"2177";"Q9UN75-1";"PCDAC_HUMAN";"Protocadherin alpha-12";"integral to membrane;plasma membrane"
"2194";"Q9Y5H5-2";"PCDA9_HUMAN";"Protocadherin alpha-9";"integral to membrane;plasma membrane"
"2195";"Q9Y5H8-1";"PCDA3_HUMAN";"Protocadherin alpha-3";"integral to plasma membrane"
"2196";"Q9Y5I0-1";"PCDAD_HUMAN";"Protocadherin alpha-13";"plasma membrane;integral to membrane"
"2202";"Q9Y6N7-3";"ROBO1_HUMAN";"Roundabout homolog 1";"cytoplasm;axolemma;integral to plasma membrane;cell surface"
"2203";"Q9Y6N7-4";"ROBO1_HUMAN";"Roundabout homolog 1";"cytoplasm;axolemma;integral to plasma membrane;cell surface"
"2204";"Q9Y6N7-5";"ROBO1_HUMAN";"Roundabout homolog 1";"cytoplasm;axolemma;integral to plasma membrane;cell surface"
"2249";"P30487, P30488";"1B49_HUMAN, 1B50_HUMAN";"HLA class I histocompatibility antigen, B-49 alpha chain, HLA class I histocompatibility antigen, B-50 alpha chain";"early endosome membrane;integral to lumenal side of endoplasmic reticulum membrane;Golgi membrane;MHC class I protein complex;plasma membrane;phagocytic vesicle membrane;ER to Golgi transport vesicle membrane"
"2274";"O60241-4";"BAI2_HUMAN";"Brain-specific angiogenesis inhibitor 2";"plasma membrane;integral to membrane"
"2276";"Q9UN72-[1,2]";"PCDA7_HUMAN";"Protocadherin alpha-7";"integral to plasma membrane"
"2283";"Q08289-7";"CACB2_HUMAN";"Voltage-dependent L-type calcium channel subunit beta-2";"sarcolemma;integral to plasma membrane;voltage-gated calcium channel complex"
