"";"Group";"AC";"ID";"Entrez_ID";"Gene_symbol";"Descr";"SP_GN";"Entrez_GN";"Non_spec_binder";"Group_size";"Specific_reporter";"Pc_P4569.1.merged";"Pc_P4569.2.merged";"Pc_grp0";"Pc_mean_grp0";"Pc_sd_grp0";"Pc_CV_grp0";"Sc_P4569.1.merged";"Sc_P4569.2.merged";"Sc_grp0";"Sc_mean_grp0";"Sc_sd_grp0";"Sc_CV_grp0";"Seqcov_P4569.1.merged";"Seqcov_P4569.2.merged";"Seqcov_grp0";"Seqcov_mean_grp0";"Seqcov_sd_grp0";"Seqcov_CV_grp0";"Glob_pc";"Glob_sc";"Glob_seqcov"
"6241";"Q9Y2P4";"Q9Y2P4";"S27A6_HUMAN";"28965";"SLC27A6";"Long-chain fatty acid transport protein 6";"SLC27A6,FACVL2,FATP1,ACSVL2";NA;0;1;1;6;5;7;"5.5";"0.71";"0.13";9;7;16;"8";"1.41";"0.18";"0.11";"0.09";"0.12";"0.1";"0.01";"0.1";7;16;"0.12"
"6267";"Q8NBS3-1";"Q8NBS3-1";"S4A11_HUMAN";"83959";"SLC4A11";"Sodium bicarbonate transporter-like protein 11";"SLC4A11,BTR1";NA;0;2;1;5;6;7;"5.5";"0.71";"0.13";5;7;12;"6";"1.41";"0.24";"0.07";"0.08";"0.09";"0.07";"0.01";"0.15";7;12;"0.09"
"6287";"P53985";"P53985";"MOT1_HUMAN";"6566";"SLC16A1";"Monocarboxylate transporter 1";"SLC16A1,MCT1";NA;0;1;1;7;6;7;"6.5";"0.71";"0.11";15;13;28;"14";"1.41";"0.1";"0.11";"0.1";"0.11";"0.11";"0.01";"0.09";7;28;"0.11"
"6341";"P43003";"P43003";"EAA1_HUMAN";"6507";"SLC1A3";"Excitatory amino acid transporter 1";"SLC1A3,GLAST1,EAAT1,GLAST";NA;0;1;1;6;6;7;"6";"0";"0";9;12;21;"10.5";"2.12";"0.2";"0.15";"0.16";"0.17";"0.15";"0";"0.02";7;21;"0.17"
"6513";"Q8TAD4-1";"Q8TAD4-1";"ZNT5_HUMAN";"64924";"SLC30A5";"Zinc transporter 5";"SLC30A5,ZTL1,ZNTL1,ZNT5";NA;0;3;1;4;6;6;"5";"1.41";"0.28";4;7;11;"5.5";"2.12";"0.39";"0.07";"0.09";"0.09";"0.08";"0.02";"0.21";6;11;"0.09"
"6525";"P19634-1";"P19634-1";"SL9A1_HUMAN";"6548";"SLC9A1";"Sodium/hydrogen exchanger 1";"SLC9A1,NHE1,APNH1";NA;0;2;1;5;4;6;"4.5";"0.71";"0.16";6;5;11;"5.5";"0.71";"0.13";"0.08";"0.06";"0.09";"0.07";"0.02";"0.23";6;11;"0.09"
"6580";"Q96QD8-1";"Q96QD8-1";"S38A2_HUMAN";"54407";"SLC38A2";"Sodium-coupled neutral amino acid transporter 2";"SLC38A2,SAT2,KIAA1382,ATA2,SNAT2";NA;0;2;1;6;5;6;"5.5";"0.71";"0.13";11;10;21;"10.5";"0.71";"0.07";"0.19";"0.16";"0.19";"0.17";"0.02";"0.13";6;21;"0.19"
"6833";"O15427";"O15427";"MOT4_HUMAN";"9123";"SLC16A3";"Monocarboxylate transporter 4";"SLC16A3,MCT4";NA;0;1;1;6;6;6;"6";"0";"0";13;11;24;"12";"1.41";"0.12";"0.13";"0.13";"0.13";"0.13";"0";"0";6;24;"0.13"
"6851";"P53794";"P53794";"SC5A3_HUMAN";"6526";"SLC5A3";"Sodium/myo-inositol cotransporter";"SLC5A3";NA;0;1;1;3;5;6;"4";"1.41";"0.35";3;5;8;"4";"1.41";"0.35";"0.05";"0.09";"0.11";"0.07";"0.03";"0.42";6;8;"0.11"
"6854";"Q96AG3";"Q96AG3";"S2546_HUMAN";"91137";"SLC25A46";"Solute carrier family 25 member 46";"SLC25A46,TB1";NA;0;1;1;5;6;6;"5.5";"0.71";"0.13";5;6;11;"5.5";"0.71";"0.13";"0.14";"0.19";"0.19";"0.17";"0.04";"0.23";6;11;"0.19"
"6899";"Q96H78";"Q96H78";"S2544_HUMAN";"9673";"SLC25A44";"Solute carrier family 25 member 44";"SLC25A44,KIAA0446";NA;0;1;1;5;6;6;"5.5";"0.71";"0.13";5;6;11;"5.5";"0.71";"0.13";"0.21";"0.25";"0.25";"0.23";"0.03";"0.13";6;11;"0.25"
"6921";"Q9H2H9";"Q9H2H9";"S38A1_HUMAN";"81539";"SLC38A1";"Sodium-coupled neutral amino acid transporter 1";"SLC38A1,NAT2,SAT1,ATA1,SNAT1";NA;0;1;1;5;5;6;"5";"0";"0";5;5;10;"5";"0";"0";"0.09";"0.09";"0.11";"0.09";"0";"0.02";6;10;"0.11"
"6992";"Q96CQ1-1";"Q96CQ1-1";"S2536_HUMAN";"55186";"SLC25A36";"Solute carrier family 25 member 36";"SLC25A36";NA;0;4;1;5;3;5;"4";"1.41";"0.35";5;3;8;"4";"1.41";"0.35";"0.18";"0.1";"0.18";"0.14";"0.05";"0.37";5;8;"0.18"
"6995";"Q5SVS4";"Q5SVS4";"KMCP1_HUMAN";"253512";"SLC25A30";"Kidney mitochondrial carrier protein 1";"SLC25A30,KMCP1";NA;0;1;1;5;5;5;"5";"0";"0";7;7;14;"7";"0";"0";"0.18";"0.18";"0.18";"0.18";"0";"0";5;14;"0.18"
"7005";"P41440-1";"P41440-1";"S19A1_HUMAN";"6573";"SLC19A1";"Folate transporter 1";"SLC19A1,RFC1,FLOT1";NA;0;2;1;4;5;5;"4.5";"0.71";"0.16";5;6;11;"5.5";"0.71";"0.13";"0.06";"0.08";"0.08";"0.07";"0.01";"0.14";5;11;"0.08"
"7056";"Q13433-1";"Q13433-1";"S39A6_HUMAN";"25800";"SLC39A6";"Zinc transporter ZIP6";"SLC39A6,LIV1,ZIP6";NA;0;1;1;5;3;5;"4";"1.41";"0.35";6;3;9;"4.5";"2.12";"0.47";"0.07";"0.04";"0.07";"0.06";"0.02";"0.44";5;9;"0.07"
"7204";"O75387-1";"O75387-1";"LAT3_HUMAN";"8501";"SLC43A1";"Large neutral amino acids transporter small subunit 3";"SLC43A1,PB39,LAT3,POV1";NA;0;2;2;5;5;5;"5";"0";"0";6;6;12;"6";"0";"0";"0.14";"0.14";"0.14";"0.14";"0";"0";5;12;"0.14"
"7230";"Q8NEW0";"Q8NEW0";"ZNT7_HUMAN";"148867";"SLC30A7";"Zinc transporter 7";"SLC30A7,ZNT7,ZNTL2";NA;0;1;1;5;5;5;"5";"0";"0";8;9;17;"8.5";"0.71";"0.08";"0.13";"0.13";"0.13";"0.13";"0";"0";5;17;"0.13"
"7362";"P30825";"P30825";"CTR1_HUMAN";"6541";"SLC7A1";"High affinity cationic amino acid transporter 1";"SLC7A1,ATRC1,ERR,REC1L";NA;0;1;1;4;5;5;"4.5";"0.71";"0.16";8;9;17;"8.5";"0.71";"0.08";"0.08";"0.09";"0.09";"0.09";"0.01";"0.1";5;17;"0.09"
"7411";"Q9H1K4";"Q9H1K4";"GHC2_HUMAN";"83733";"SLC25A18";"Mitochondrial glutamate carrier 2";"SLC25A18,GC2";NA;0;1;1;4;4;5;"4";"0";"0";5;5;10;"5";"0";"0";"0.13";"0.12";"0.16";"0.12";"0.01";"0.07";5;10;"0.16"
"7442";"Q92536";"Q92536";"YLAT2_HUMAN";"9057";"SLC7A6";"Y+L amino acid transporter 2";"SLC7A6,KIAA0245";NA;0;1;1;5;5;5;"5";"0";"0";9;7;16;"8";"1.41";"0.18";"0.09";"0.09";"0.09";"0.09";"0";"0";5;16;"0.09"
"7502";"Q9Y289";"Q9Y289";"SC5A6_HUMAN";"8884";"SLC5A6";"Sodium-dependent multivitamin transporter";"SLC5A6,SMVT";NA;0;1;1;4;4;5;"4";"0";"0";6;7;13;"6.5";"0.71";"0.11";"0.09";"0.08";"0.1";"0.08";"0";"0.04";5;13;"0.1"
"7507";"Q08357";"Q08357";"S20A2_HUMAN";"6575";"SLC20A2";"Sodium-dependent phosphate transporter 2";"SLC20A2,GLVR2,PIT2";NA;0;1;1;5;5;5;"5";"0";"0";5;5;10;"5";"0";"0";"0.11";"0.11";"0.11";"0.11";"0";"0";5;10;"0.11"
"7691";"Q96DW6";"Q96DW6";"S2538_HUMAN";"54977";"SLC25A38";"Solute carrier family 25 member 38";"SLC25A38";NA;0;1;1;3;4;4;"3.5";"0.71";"0.2";3;4;7;"3.5";"0.71";"0.2";"0.1";"0.14";"0.14";"0.12";"0.03";"0.27";4;7;"0.14"
"7743";"Q9NRA2-1";"Q9NRA2-1";"S17A5_HUMAN";"26503";"SLC17A5";"Sialin";"SLC17A5";NA;0;2;1;4;0;4;"2";"2.83";"1.41";4;0;4;"2";"2.83";"1.41";"0.07";"0";"0.07";"0.04";"0.05";"1.41";4;4;"0.07"
"7883";"Q8TED4-2";"Q8TED4-2";"SPX2_HUMAN";"219855";"SLC37A2";"Sugar phosphate exchanger 2";"SLC37A2,SPX2";NA;0;3;1;3;3;4;"3";"0";"0";3;3;6;"3";"0";"0";"0.05";"0.07";"0.08";"0.06";"0.01";"0.24";4;6;"0.08"
