"";"X";"AC";"Group";"ID";"Entrez_ID";"Gene_symbol";"Descr";"SP_GN";"Entrez_GN";"Non_spec_binder";"Group_size";"Specific_reporter";"Pc_P4569.1.merged";"Pc_P4569.2.merged";"Pc_grp0";"Pc_mean_grp0";"Pc_sd_grp0";"Pc_CV_grp0";"Sc_P4569.1.merged";"Sc_P4569.2.merged";"Sc_grp0";"Sc_mean_grp0";"Sc_sd_grp0";"Sc_CV_grp0";"Seqcov_P4569.1.merged";"Seqcov_P4569.2.merged";"Seqcov_grp0";"Seqcov_mean_grp0";"Seqcov_sd_grp0";"Seqcov_CV_grp0";"Glob_pc";"Glob_sc";"Glob_seqcov";"Go.Cc"
"52";52;"A6NDB9";"A6NDB9";"PALM3_HUMAN";"342979";"PALM3";"Paralemmin-3";"PALM3";NA;0;1;1;2;3;4;"2.5";"0.71";"0.28";2;3;5;"2.5";"0.71";"0.28";"0.03";"0.05";"0.06";"0.04";"0.02";"0.49";4;5;"0.06";"cytoplasm, plasma membrane"
"54";54;"A6NED2";"A6NED2";"RCCD1_HUMAN";"91433";"RCCD1";"RCC1 domain-containing protein 1";"RCCD1";NA;0;1;1;6;6;7;"6";"0";"0";6;6;12;"6";"0";"0";"0.24";"0.24";"0.28";"0.24";"0";"0.01";7;12;"0.28";"plasma membrane, cytoplasm"
"60";60;"A6NGN9";"A6NGN9";"IGLO5_HUMAN";"402665";"IGLON5";"IgLON family member 5";"IGLON5";NA;0;1;1;2;0;2;"1";"1.41";"1.41";2;0;2;"1";"1.41";"1.41";"0.04";"0";"0.04";"0.02";"0.03";"1.41";2;2;"0.04";"extracellular region"
"61";61;"A6NGU5";"A6NGU5";"GGT3_HUMAN";NA;"GGT3P";"Putative gamma-glutamyltranspeptidase 3";"GGT3P,GGT3";NA;0;7;4;2;2;3;"2";"0";"0";2;2;4;"2";"0";"0";"0.04";"0.03";"0.06";"0.04";"0";"0.1";3;4;"0.06";"anchored component of external side of plasma membrane, integral component of membrane"
"70";70;"A6NJW9";"A6NJW9";"CD8BL_HUMAN";NA;"CD8BP";"Putative T-cell surface glycoprotein CD8 beta-2 chain";"CD8BP,CD8B2";NA;0;1;1;2;1;2;"1.5";"0.71";"0.47";3;2;5;"2.5";"0.71";"0.28";"0.13";"0.09";"0.13";"0.11";"0.03";"0.25";2;5;"0.13";"plasma membrane, integral component of membrane"
"71";71;"A6NK02";"A6NK02";"TRI75_HUMAN";NA;"TRIM75";"Tripartite motif-containing protein 75";"TRIM75";NA;0;1;1;2;2;2;"2";"0";"0";3;5;8;"4";"1.41";"0.35";"0.03";"0.03";"0.03";"0.03";"0";"0";2;8;"0.03";"intracellular, extracellular space"
"83";83;"A6NNL5";"A6NNL5";"CO061_HUMAN";"145853";"C15orf61";"Uncharacterized protein C15orf61";"C15orf61";NA;0;1;1;4;3;4;"3.5";"0.71";"0.2";5;4;9;"4.5";"0.71";"0.16";"0.27";"0.23";"0.27";"0.25";"0.03";"0.13";4;9;"0.27";"extracellular region"
"84";84;"A6NNZ2";"A6NNZ2";"TBB8L_HUMAN";NA;NA;"Tubulin beta-8 chain-like protein LOC260334";NA;NA;0;1;1;10;9;10;"9.5";"0.71";"0.07";277;284;561;"280.5";"4.95";"0.02";"0.27";"0.21";"0.27";"0.24";"0.04";"0.17";10;561;"0.27";"microtubule, microtubule cytoskeleton, plasma membrane, cytoplasm"
"90";90;"A8K7I4";"A8K7I4";"CLCA1_HUMAN";"1179";"CLCA1";"Calcium-activated chloride channel regulator 1";"CLCA1,CACC1";NA;0;1;1;0;4;4;"2";"2.83";"1.41";0;5;5;"2.5";"3.54";"1.41";"0";"0.05";"0.05";"0.03";"0.04";"1.41";4;5;"0.05";"extracellular space, zymogen granule membrane, integral component of plasma membrane"
"94";94;"A8MTJ3";"A8MTJ3";"GNAT3_HUMAN";"346562";"GNAT3";"Guanine nucleotide-binding protein G(t) subunit alpha-3";"GNAT3";NA;0;1;1;3;2;3;"2.5";"0.71";"0.28";15;13;28;"14";"1.41";"0.1";"0.12";"0.05";"0.12";"0.09";"0.05";"0.53";3;28;"0.12";"photoreceptor inner segment, heterotrimeric G-protein complex, axoneme, apical plasma membrane, photoreceptor outer segment, acrosomal vesicle"
"101";101;"A8TX70";"A8TX70-1";"CO6A5_HUMAN";"256076";"COL6A5";"Collagen alpha-5(VI) chain";"COL6A5,VWA4,COL29A1";NA;0;2;1;2;4;4;"3";"1.41";"0.47";2;4;6;"3";"1.41";"0.47";"0.01";"0.01";"0.01";"0.01";"0";"0.39";4;6;"0.01";"collagen, extracellular region"
"104";104;"B0I1T2";"B0I1T2-4";"MYO1G_HUMAN";"64005";"MYO1G";"Unconventional myosin-Ig";"MYO1G,HA2";NA;0;1;1;24;23;26;"23.5";"0.71";"0.03";60;60;120;"60";"0";"0";"0.4";"0.4";"0.44";"0.4";"0";"0";26;120;"0.44";"myosin complex, plasma membrane, extracellular vesicular exosome"
"105";105;"B0I1T2";"B0I1T2-1";"MYO1G_HUMAN";"64005";"MYO1G";"Unconventional myosin-Ig";"MYO1G,HA2";NA;0;3;1;40;37;42;"38.5";"2.12";"0.06";93;90;183;"91.5";"2.12";"0.02";"0.46";"0.43";"0.47";"0.44";"0.03";"0.06";42;183;"0.47";"myosin complex, plasma membrane, extracellular vesicular exosome"
"119";119;"O00154";"O00154-1";"BACH_HUMAN";"11332";"ACOT7";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7,BACH";NA;0;6;3;13;13;13;"13";"0";"0";50;49;99;"49.5";"0.71";"0.01";"0.36";"0.36";"0.36";"0.36";"0";"0";13;99;"0.36";"cell body, cytosol, neuron projection, mitochondrion, extracellular vesicular exosome"
"120";120;"O00159";"O00159-1";"MYO1C_HUMAN";"4641";"MYO1C";"Unconventional myosin-Ic";"MYO1C";NA;0;3;3;15;19;20;"17";"2.83";"0.17";16;21;37;"18.5";"3.54";"0.19";"0.16";"0.21";"0.21";"0.18";"0.03";"0.19";20;37;"0.21";"nuclear pore, membrane raft, stereocilium membrane, filamentous actin, nucleoplasm, lateral plasma membrane, microvillus, myosin I complex, basal plasma membrane, brush border, cytosol, unconventional myosin complex, nucleolus, extracellular vesicular exosome"
"122";122;"O00161";"O00161-1";"SNP23_HUMAN";"8773";"SNAP23";"Synaptosomal-associated protein 23";"SNAP23";NA;0;2;1;10;10;10;"10";"0";"0";18;21;39;"19.5";"2.12";"0.11";"0.65";"0.65";"0.65";"0.65";"0";"0";10;39;"0.65";"neuron projection, cell junction, extracellular vesicular exosome, synapse, nucleus, Golgi apparatus, specific granule, azurophil granule, plasma membrane"
"126";126;"O00182";"O00182-1";"LEG9_HUMAN";"3965";"LGALS9";"Galectin-9";"LGALS9";NA;0;2;2;13;11;14;"12";"1.41";"0.12";29;27;56;"28";"1.41";"0.05";"0.38";"0.29";"0.38";"0.34";"0.07";"0.2";14;56;"0.38";"extracellular region, cytoplasm"
"127";127;"O00186";"O00186";"STXB3_HUMAN";"6814";"STXBP3";"Syntaxin-binding protein 3";"STXBP3";NA;0;1;1;19;20;22;"19.5";"0.71";"0.04";32;30;62;"31";"1.41";"0.05";"0.35";"0.33";"0.39";"0.34";"0.01";"0.04";22;62;"0.39";"basolateral plasma membrane, nucleus, apical plasma membrane, cytosol, extracellular vesicular exosome, specific granule, tertiary granule, plasma membrane, platelet alpha granule"
"128";128;"O00189";"O00189";"AP4M1_HUMAN";"9179";"AP4M1";"AP-4 complex subunit mu-1";"AP4M1,MUARP2";NA;0;1;1;4;4;5;"4";"0";"0";4;4;8;"4";"0";"0";"0.09";"0.09";"0.11";"0.09";"0";"0.02";5;8;"0.11";"clathrin adaptor complex, coated pit, extracellular vesicular exosome, trans-Golgi network, Golgi trans cisterna, AP-type membrane coat adaptor complex"
"129";129;"O00192";"O00192-2";"ARVC_HUMAN";"421";"ARVCF";"Armadillo repeat protein deleted in velo-cardio-facial syndrome";"ARVCF";NA;0;2;1;0;3;3;"1.5";"2.12";"1.41";0;3;3;"1.5";"2.12";"1.41";"0";"0.04";"0.04";"0.02";"0.03";"1.41";3;3;"0.04";"plasma membrane, nucleus, cytoplasm, intracellular"
"131";131;"O00213";"O00213-1";"APBB1_HUMAN";"322";"APBB1";"Amyloid beta A4 precursor protein-binding family B member 1";"APBB1,RIR,FE65";NA;0;2;2;12;11;14;"11.5";"0.71";"0.06";14;12;26;"13";"1.41";"0.11";"0.22";"0.21";"0.24";"0.21";"0.01";"0.03";14;26;"0.24";"cytoplasm, nucleus, plasma membrane, synapse, nuclear speck, growth cone, lamellipodium"
"132";132;"O00214";"O00214-2";"LEG8_HUMAN";"3964";"LGALS8";"Galectin-8";"LGALS8";NA;0;2;1;6;5;7;"5.5";"0.71";"0.13";6;5;11;"5.5";"0.71";"0.13";"0.17";"0.16";"0.21";"0.16";"0";"0.02";7;11;"0.21";"cytoplasm, extracellular space"
"137";137;"O00232";"O00232-1";"PSD12_HUMAN";"5718";"PSMD12";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";NA;0;2;1;31;29;32;"30";"1.41";"0.05";69;65;134;"67";"2.83";"0.04";"0.67";"0.62";"0.71";"0.64";"0.04";"0.06";32;134;"0.71";"nucleoplasm, extracellular vesicular exosome, cytosol, proteasome regulatory particle"
"139";139;"O00238";"O00238";"BMR1B_HUMAN";"658";"BMPR1B";"Bone morphogenetic protein receptor type-1B";"BMPR1B";NA;0;1;1;0;2;2;"1";"1.41";"1.41";0;2;2;"1";"1.41";"1.41";"0";"0.04";"0.04";"0.02";"0.03";"1.41";2;2;"0.04";"integral component of plasma membrane, receptor complex"
"140";140;"O00241";"O00241-1";"SIRB1_HUMAN";"10326";"SIRPB1";"Signal-regulatory protein beta-1";"SIRPB1";NA;0;1;1;0;2;2;"1";"1.41";"1.41";0;2;2;"1";"1.41";"1.41";"0";"0.08";"0.08";"0.04";"0.05";"1.41";2;2;"0.08";"integral component of plasma membrane"
"152";152;"O00299";"O00299";"CLIC1_HUMAN";"1192";"CLIC1";"Chloride intracellular channel protein 1";"CLIC1,G6,NCC27";NA;0;1;1;15;14;15;"14.5";"0.71";"0.05";115;115;230;"115";"0";"0";"0.77";"0.77";"0.77";"0.77";"0";"0";15;230;"0.77";"brush border, mitochondrion, nuclear envelope, perinuclear region of cytoplasm, plasma membrane, blood microparticle, nuclear membrane, extracellular vesicular exosome, chloride channel complex"
"157";157;"O00329";"O00329";"PK3CD_HUMAN";"5293";"PIK3CD";"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform";"PIK3CD";NA;0;1;1;23;22;25;"22.5";"0.71";"0.03";33;27;60;"30";"4.24";"0.14";"0.25";"0.24";"0.27";"0.24";"0.01";"0.03";25;60;"0.27";"mast cell granule, phosphatidylinositol 3-kinase complex, plasma membrane"
"159";159;"O00391";"O00391-1";"QSOX1_HUMAN";"5768";"QSOX1";"Sulfhydryl oxidase 1";"QSOX1,QSCN6";NA;0;2;1;5;6;7;"5.5";"0.71";"0.13";6;7;13;"6.5";"0.71";"0.11";"0.07";"0.1";"0.11";"0.09";"0.02";"0.19";7;13;"0.11";"integral component of Golgi membrane, extracellular space"
"161";161;"O00400";"O00400";"ACATN_HUMAN";"9197";"SLC33A1";"Acetyl-coenzyme A transporter 1";"SLC33A1,ACATN,AT1";NA;0;1;1;8;10;10;"9";"1.41";"0.16";8;11;19;"9.5";"2.12";"0.22";"0.17";"0.21";"0.21";"0.19";"0.03";"0.18";10;19;"0.21";"integral component of plasma membrane, Golgi membrane, endoplasmic reticulum membrane"
"162";162;"O00401";"O00401";"WASL_HUMAN";"8976";"WASL";"Neural Wiskott-Aldrich syndrome protein";"WASL";NA;0;1;1;1;1;1;"1";"0";"0";1;1;2;"1";"0";"0";"0.03";"0.03";"0.03";"0.03";"0";"0";1;2;"0.03";"nucleus, actin cap, actin cytoskeleton, extracellular vesicular exosome, cytosol, plasma membrane, endocytic vesicle membrane, lamellipodium"
"167";167;"O00422";"O00422";"SAP18_HUMAN";"10284";"SAP18";"Histone deacetylase complex subunit SAP18";"SAP18";NA;0;1;1;9;10;10;"9.5";"0.71";"0.07";21;22;43;"21.5";"0.71";"0.03";"0.48";"0.52";"0.52";"0.5";"0.03";"0.06";10;43;"0.52";"histone deacetylase complex, ASAP complex, nuclear speck, cytoplasm, plasma membrane"
"172";172;"O00443";"O00443";"P3C2A_HUMAN";"5286";"PIK3C2A";"Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha";"PIK3C2A";NA;0;1;1;23;21;27;"22";"1.41";"0.06";25;24;49;"24.5";"0.71";"0.03";"0.15";"0.13";"0.18";"0.14";"0.01";"0.1";27;49;"0.18";"clathrin-coated vesicle, Golgi apparatus, plasma membrane, nucleus, extracellular vesicular exosome, phosphatidylinositol 3-kinase complex"
"176";176;"O00463";"O00463";"TRAF5_HUMAN";"7188";"TRAF5";"TNF receptor-associated factor 5";"TRAF5,RNF84";NA;0;1;1;11;11;12;"11";"0";"0";12;12;24;"12";"0";"0";"0.26";"0.25";"0.28";"0.26";"0.01";"0.02";12;24;"0.28";"centrosome, cytoplasmic side of plasma membrane, CD40 receptor complex, cytosol"
"177";177;"O00468";"O00468";"AGRIN_HUMAN";"375790";"AGRN";"Agrin";"AGRN,AGRIN";NA;0;1;1;2;0;2;"1";"1.41";"1.41";2;0;2;"1";"1.41";"1.41";"0.01";"0";"0.01";"0.01";"0.01";"1.41";2;2;"0.01";"Golgi lumen, extracellular vesicular exosome, plasma membrane, synapse, lysosomal lumen, basal lamina, cell surface, cell junction, extracellular space, integral component of membrane"
"178";178;"O00469";"O00469-1";"PLOD2_HUMAN";"5352";"PLOD2";"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2";"PLOD2";NA;0;2;2;3;0;3;"1.5";"2.12";"1.41";3;0;3;"1.5";"2.12";"1.41";"0.03";"0";"0.03";"0.02";"0.02";"1.41";3;3;"0.03";"endoplasmic reticulum membrane, extracellular vesicular exosome, rough endoplasmic reticulum membrane"
"181";181;"O00478";"O00478";"BT3A3_HUMAN";"10384";"BTN3A3";"Butyrophilin subfamily 3 member A3";"BTN3A3,BTF3";NA;0;1;1;2;1;2;"1.5";"0.71";"0.47";2;1;3;"1.5";"0.71";"0.47";"0.02";"0.01";"0.02";"0.02";"0.01";"0.52";2;3;"0.02";"plasma membrane, integral component of membrane"
"190";190;"O00522";"O00522-1";"KRIT1_HUMAN";"889";"KRIT1";"Krev interaction trapped protein 1";"KRIT1,CCM1";NA;0;3;1;17;13;20;"15";"2.83";"0.19";19;13;32;"16";"4.24";"0.27";"0.27";"0.18";"0.31";"0.22";"0.06";"0.28";20;32;"0.31";"cell-cell junction, extracellular space, microtubule, plasma membrane, cytoplasm"
"194";194;"O00559";"O00559";"RCAS1_HUMAN";"9166";"EBAG9";"Receptor-binding cancer antigen expressed on SiSo cells";"EBAG9,RCAS1";NA;0;1;1;4;4;4;"4";"0";"0";5;5;10;"5";"0";"0";"0.31";"0.31";"0.31";"0.31";"0";"0";4;10;"0.31";"Golgi apparatus, focal adhesion, Golgi membrane, secretory granule, integral component of membrane, plasma membrane"
"195";195;"O00560";"O00560-1";"SDCB1_HUMAN";"6386";"SDCBP";"Syntenin-1";"SDCBP,MDA9,SYCL";NA;0;3;3;10;9;11;"9.5";"0.71";"0.07";25;24;49;"24.5";"0.71";"0.03";"0.39";"0.37";"0.46";"0.38";"0.01";"0.04";11;49;"0.46";"nucleus, extracellular vesicular exosome, melanosome, cytosol, adherens junction, blood microparticle, interleukin-5 receptor complex, endoplasmic reticulum membrane, cytoskeleton, focal adhesion"
"199";199;"O00571";"O00571-1";"DDX3X_HUMAN";"1654";"DDX3X";"ATP-dependent RNA helicase DDX3X";"DDX3X,DDX3,DBX";NA;0;2;1;42;42;43;"42";"0";"0";199;219;418;"209";"14.14";"0.07";"0.62";"0.6";"0.62";"0.61";"0.01";"0.02";43;418;"0.62";"mitochondrial outer membrane, cytoplasmic stress granule, extracellular vesicular exosome, nucleus, nuclear speck"
"200";200;"O00584";"O00584-1";"RNT2_HUMAN";"8635";"RNASET2";"Ribonuclease T2";"RNASET2,RNASE6PL";NA;0;1;1;13;12;15;"12.5";"0.71";"0.06";22;22;44;"22";"0";"0";"0.55";"0.44";"0.55";"0.49";"0.08";"0.16";15;44;"0.55";"extracellular space, endoplasmic reticulum lumen, lysosomal lumen, lysosome"
"201";201;"O00584";"O00584-2";"RNT2_HUMAN";"8635";"RNASET2";"Ribonuclease T2";"RNASET2,RNASE6PL";NA;0;1;1;4;6;6;"5";"1.41";"0.28";10;14;24;"12";"2.83";"0.24";"0.38";"0.39";"0.39";"0.38";"0.01";"0.02";6;24;"0.39";"extracellular space, endoplasmic reticulum lumen, lysosomal lumen, lysosome"
"202";202;"O00587";"O00587-1";"MFNG_HUMAN";"4242";"MFNG";"Beta-1,3-N-acetylglucosaminyltransferase manic fringe";"MFNG";NA;0;2;1;6;6;7;"6";"0";"0";6;6;12;"6";"0";"0";"0.22";"0.21";"0.26";"0.22";"0";"0.02";7;12;"0.26";"integral component of Golgi membrane, extracellular space"
"203";203;"O00592";"O00592-1";"PODXL_HUMAN";"5420";"PODXL";"Podocalyxin";"PODXL,PCLP1,PCLP";NA;0;2;2;4;4;4;"4";"0";"0";8;5;13;"6.5";"2.12";"0.33";"0.06";"0.06";"0.06";"0.06";"0";"0";4;13;"0.06";"microvillus membrane, lamellipodium, filopodium, cell body, ruffle, integral component of plasma membrane, apical plasma membrane, slit diaphragm, membrane raft, cytoplasm, extracellular vesicular exosome"
"204";204;"O00622";"O00622";"CYR61_HUMAN";"3491";"CYR61";"Protein CYR61";"CYR61,GIG1,CCN1,IGFBP10";NA;0;1;1;0;2;2;"1";"1.41";"1.41";0;2;2;"1";"1.41";"1.41";"0";"0.05";"0.05";"0.02";"0.04";"1.41";2;2;"0.05";"extracellular region"
"214";214;"O00750";"O00750";"P3C2B_HUMAN";"5287";"PIK3C2B";"Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta";"PIK3C2B";NA;0;1;1;21;22;26;"21.5";"0.71";"0.03";28;29;57;"28.5";"0.71";"0.02";"0.16";"0.15";"0.18";"0.15";"0.01";"0.05";26;57;"0.18";"nucleus, endoplasmic reticulum, plasma membrane, endocytic vesicle, phosphatidylinositol 3-kinase complex"
"217";217;"O00764";"O00764-1";"PDXK_HUMAN";"8566";"PDXK";"Pyridoxal kinase";"PDXK,PNK,PKH,C21orf97,C21orf124";NA;0;3;1;11;11;12;"11";"0";"0";27;28;55;"27.5";"0.71";"0.03";"0.48";"0.44";"0.48";"0.46";"0.03";"0.06";12;55;"0.48";"extracellular vesicular exosome, cytosol, nucleus"
"221";221;"O14492";"O14492";"SH2B2_HUMAN";"10603";"SH2B2";"SH2B adapter protein 2";"SH2B2,APS";NA;0;1;1;1;1;1;"1";"0";"0";1;1;2;"1";"0";"0";"0.02";"0.02";"0.02";"0.02";"0";"0";1;2;"0.02";"plasma membrane, cytosol"
"222";222;"O14494";"O14494-1";"LPP1_HUMAN";"8611";"PPAP2A";"Lipid phosphate phosphohydrolase 1";"PPAP2A,LPP1";NA;0;2;1;4;5;5;"4.5";"0.71";"0.16";6;6;12;"6";"0";"0";"0.21";"0.25";"0.25";"0.23";"0.02";"0.1";5;12;"0.25";"integral component of plasma membrane, extracellular vesicular exosome"
"226";226;"O14512";"O14512-1";"SOCS7_HUMAN";"30837";"SOCS7";"Suppressor of cytokine signaling 7";"SOCS7,NAP4,SOCS6";NA;0;2;2;0;2;2;"1";"1.41";"1.41";0;2;2;"1";"1.41";"1.41";"0";"0.04";"0.04";"0.02";"0.03";"1.41";2;2;"0.04";"nucleus, cytoplasm, plasma membrane"
"230";230;"O14526";"O14526-1";"FCHO1_HUMAN";"23149";"FCHO1";"FCH domain only protein 1";"FCHO1,KIAA0290";NA;0;2;2;9;9;11;"9";"0";"0";11;9;20;"10";"1.41";"0.14";"0.11";"0.11";"0.13";"0.11";"0";"0.02";11;20;"0.13";"plasma membrane, coated pit"
"231";231;"O14529";"O14529";"CUX2_HUMAN";"23316";"CUX2";"Homeobox protein cut-like 2";"CUX2,KIAA0293,CUTL2";NA;0;1;1;0;4;4;"2";"2.83";"1.41";0;4;4;"2";"2.83";"1.41";"0";"0.02";"0.02";"0.01";"0.02";"1.41";4;4;"0.02";"extracellular vesicular exosome, nucleus"
"237";237;"O14578";"O14578-3";"CTRO_HUMAN";"11113";"CIT";"Citron Rho-interacting kinase";"CIT,STK21,KIAA0949,CRIK";NA;0;1;1;41;44;48;"42.5";"2.12";"0.05";45;54;99;"49.5";"6.36";"0.13";"0.29";"0.31";"0.34";"0.3";"0.01";"0.03";48;99;"0.34";"actin cytoskeleton, ruffle, Golgi cisterna, plasma membrane, neuronal cell body, vacuole"
"238";238;"O14578";"O14578-4";"CTRO_HUMAN";"11113";"CIT";"Citron Rho-interacting kinase";"CIT,STK21,KIAA0949,CRIK";NA;0;3;1;53;56;62;"54.5";"2.12";"0.04";59;69;128;"64";"7.07";"0.11";"0.29";"0.3";"0.33";"0.29";"0.01";"0.02";62;128;"0.33";"actin cytoskeleton, ruffle, Golgi cisterna, plasma membrane, neuronal cell body, vacuole"
"247";247;"O14640";"O14640-1";"DVL1_HUMAN";"1855";"DVL1";"Segment polarity protein dishevelled homolog DVL-1";"DVL1";NA;0;4;2;5;2;5;"3.5";"2.12";"0.61";5;2;7;"3.5";"2.12";"0.61";"0.11";"0.03";"0.11";"0.07";"0.05";"0.71";5;7;"0.11";"neuronal cell body, microtubule, synapse, cell cortex, axon, plasma membrane, cytosol, growth cone, dendrite, clathrin-coated vesicle"
"248";248;"O14641";"O14641";"DVL2_HUMAN";"1856";"DVL2";"Segment polarity protein dishevelled homolog DVL-2";"DVL2";NA;0;1;1;12;11;13;"11.5";"0.71";"0.06";19;17;36;"18";"1.41";"0.08";"0.22";"0.21";"0.23";"0.21";"0.01";"0.03";13;36;"0.23";"plasma membrane, apical part of cell, cell cortex, nucleus, cytosol, clathrin-coated vesicle"
