"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P4569"	"spectra.count.P4569"	"dNSAF.P4569"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"Q9NU22"	"Q9NU22"	"MDN1_HUMAN"	"Midasin"	"MDN1"	8	8	0.000109977024046305	8	8	0.000163666374439661	0	"protein complex assembly"	"nucleolus;nucleus"	"ATPase activity;unfolded protein binding;ATP binding"
"P31948"	"P31948"	"STIP1_HUMAN"	"Stress-induced-phosphoprotein 1"	"STIP1"	7	12	0.00170008681371028	7	12	0.00253004704796779	0	"response to stress;axon guidance"	"Golgi apparatus;nucleus;protein complex"	""
"P49454"	"P49454"	"CENPF_HUMAN"	"Centromere protein F"	"CENPF"	7	11	0.000263619380537163	7	11	0.0003923149277651	0	"cell differentiation;cell division;DNA replication;regulation of G2/M transition of mitotic cell cycle;kinetochore assembly;mitosis;mitotic spindle assembly checkpoint;G2 phase of mitotic cell cycle;metaphase plate congression;regulation of striated muscle tissue development;protein transport;cell proliferation;M phase of mitotic cell cycle;response to drug;negative regulation of transcription;muscle organ development"	"spindle pole;nuclear envelope;pronucleus;condensed chromosome outer kinetochore;midbody;nuclear matrix;perinuclear region of cytoplasm;cytosol"	"dynein binding;chromatin binding"
"P14618-1,P14618-2,P14618-3"	"P14618-[1-3]"	"KPYM_HUMAN"	"Pyruvate kinase isozymes M1/M2"	"PKM"	6	16	0.000772669713199149	6	16	0	0	"glycolysis;small molecule metabolic process;programmed cell death"	"nucleus;extracellular vesicular exosome;plasma membrane;mitochondrion;cytosol"	"pyruvate kinase activity;magnesium ion binding;ATP binding;potassium ion binding"
"P20700"	"P20700"	"LMNB1_HUMAN"	"Lamin-B1"	"LMNB1"	6	20	0.00262556069352868	6	20	0.00390732521913115	0	"cellular component disassembly involved in execution phase of apoptosis"	"nuclear envelope;lamin filament;nucleoplasm;nuclear inner membrane"	"structural molecule activity"
"P27708"	"P27708"	"PYR1_HUMAN"	"CAD protein"	"CAD"	6	6	0.000207448795470715	6	6	0.000308722594841913	0	"response to amine stimulus;'de novo' pyrimidine nucleobase biosynthetic process;cellular response to epidermal growth factor stimulus;glutamine catabolic process;embryo development;drug metabolic process;organ regeneration;UTP biosynthetic process;glutamine metabolic process;carbamoyl phosphate biosynthetic process;cellular response to drug;lactation;'de novo' UMP biosynthetic process;pyrimidine nucleoside biosynthetic process;response to caffeine;female pregnancy;response to cortisol stimulus;peptidyl-threonine phosphorylation;protein autophosphorylation;response to testosterone stimulus"	"neuronal cell body;terminal bouton;protein complex;nuclear matrix;cytosol"	"aspartate binding;metal ion binding;ATP binding;dihydroorotase activity;protein kinase activity;carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity;identical protein binding;aspartate carbamoyltransferase activity"
"P52732"	"P52732"	"KIF11_HUMAN"	"Kinesin-like protein KIF11"	"KIF11"	6	7	0.000509945547578345	6	7	0.000758894320496022	0	"spindle assembly involved in mitosis;antigen processing and presentation of exogenous peptide antigen via MHC class II;microtubule-based movement;mitotic centrosome separation;blood coagulation;cell division"	"spindle;cytosol;microtubule;kinesin complex;spindle pole"	"microtubule motor activity;ATP binding"
"P57740"	"P57740"	"NU107_HUMAN"	"Nuclear pore complex protein Nup107"	"NUP107"	6	12	0.000997996907940198	6	12	0.00148520599680704	0	"small molecule metabolic process;mitotic cell cycle;mRNA export from nucleus;viral reproductive process;cytokine-mediated signaling pathway;regulation of glucose transport;protein transport;glucose transport;carbohydrate metabolic process;transmembrane transport;nuclear pore complex assembly"	"nuclear membrane;nuclear pore outer ring;condensed chromosome kinetochore;cytosol;nuclear periphery"	"nucleocytoplasmic transporter activity;structural constituent of nuclear pore"
"P62937"	"P62937"	"PPIA_HUMAN"	"Peptidyl-prolyl cis-trans isomerase A"	"PPIA"	6	24	0.0111896623011477	6	24	0.0166523096611698	0	"viral release from host cell;leukocyte migration;protein folding;entry into host cell;establishment of integrated proviral latency;RNA-dependent DNA replication;lipid particle organization;positive regulation of viral genome replication;platelet activation;platelet degranulation;positive regulation of protein secretion;uncoating of virus"	"cytosol;nucleus;extracellular region"	"unfolded protein binding;virion binding;peptidyl-prolyl cis-trans isomerase activity;peptide binding"
"Q13523"	"Q13523"	"PRP4B_HUMAN"	"Serine/threonine-protein kinase PRP4 homolog"	"PRPF4B"	6	7	0.000534759183955047	6	7	0.000795821650887586	0	"mRNA splicing"	"chromosome;catalytic step 2 spliceosome"	"protein kinase activity;protein serine/threonine kinase activity;ATP binding"
"Q14008-1,Q14008-2,Q14008-3"	"Q14008-[1-3]"	"CKAP5_HUMAN"	"Cytoskeleton-associated protein 5"	"CKAP5"	6	10	0.000126195748557071	6	10	0	0	"cell division;establishment or maintenance of microtubule cytoskeleton polarity;spindle organization;centrosome organization;RNA transport;mitosis;G2/M transition of mitotic cell cycle"	"centrosome;cytosol;spindle pole"	""
"Q14789"	"Q14789"	"GOGB1_HUMAN"	"Golgin subfamily B member 1"	"GOLGB1"	6	6	0.000141630429555797	6	6	0.000210772560148284	0	"Golgi organization"	"Golgi stack;endoplasmic reticulum-Golgi intermediate compartment;integral to membrane;Golgi membrane"	""
"Q66GS9-1"	"Q66GS9-1"	"CP135_HUMAN"	"Centrosomal protein of 135 kDa"	"CEP135"	6	8	0.000539852128564142	6	8	0	0	"centriole-centriole cohesion;G2/M transition of mitotic cell cycle;centriole replication"	"centriole;cytosol"	""
"Q6UW63"	"Q6UW63"	"KDEL1_HUMAN"	"KDEL motif-containing protein 1"	"KDELC1"	6	7	0.00107271413992576	6	7	0.00159639920805538	0	""	"endoplasmic reticulum lumen"	""
"Q8NFC6"	"Q8NFC6"	"BD1L1_HUMAN"	"Biorientation of chromosomes in cell division protein 1-like 1"	"BOD1L1"	7	9	0.000226928992095547	7	9	0.000337712769677117	0	""	""	"DNA binding"
"Q92499"	"Q92499"	"DDX1_HUMAN"	"ATP-dependent RNA helicase DDX1"	"DDX1"	6	7	0.000727706078706395	6	7	0.00108296270600513	0	"response to exogenous dsRNA;transcription;response to virus;regulation of transcription;regulation of translational initiation;multicellular organismal development;DNA duplex unwinding;spliceosomal complex assembly;double-strand break repair"	"tRNA-splicing ligase complex;cleavage body;cytoplasmic stress granule"	"poly(A) RNA binding;ATP binding;ATP-dependent helicase activity;nuclease activity;RNA helicase activity;DNA/RNA helicase activity;chromatin binding;transcription cofactor activity;exonuclease activity;double-stranded RNA binding;DNA binding"
"Q9Y6D6"	"Q9Y6D6"	"BIG1_HUMAN"	"Brefeldin A-inhibited guanine nucleotide-exchange protein 1"	"ARFGEF1"	6	7	0.000291239858433062	6	7	0.000433419363138885	0	"regulation of ARF protein signal transduction;negative regulation of actin filament polymerization;protein transport;negative regulation of Rho GTPase activity;positive regulation of wound healing;exocytosis;Golgi organization;regulation of establishment of cell polarity;positive regulation of protein glycosylation in Golgi;endomembrane system organization"	"Golgi membrane;trans-Golgi network;small nuclear ribonucleoprotein complex;cytosol;nucleolus;perinuclear region of cytoplasm;nuclear matrix"	"ARF guanyl-nucleotide exchange factor activity;protein kinase A regulatory subunit binding"
"O00267-1,O00267-2"	"O00267-[1,2]"	"SPT5H_HUMAN"	"Transcription elongation factor SPT5"	"SUPT5H"	5	7	0.000247701241142011	5	7	0	0	"response to organic substance;chromatin remodeling;positive regulation of transcription elongation from RNA polymerase II promoter;positive regulation of viral transcription;transcription elongation from RNA polymerase II promoter;cell cycle;positive regulation of transcription from RNA polymerase II promoter;retroviral genome replication;negative regulation of transcription from RNA polymerase II promoter;positive regulation of macroautophagy;positive regulation of DNA-dependent transcription;7-methylguanosine mRNA capping;negative regulation of DNA-dependent transcription"	"DSIF complex"	""
"O15050"	"O15050"	"TRNK1_HUMAN"	"TPR and ankyrin repeat-containing protein 1"	"TRANK1"	5	5	0.000131502441573317	5	5	0.000195700220376996	0	""	""	"ATP binding;hydrolase activity"
"O95714"	"O95714"	"HERC2_HUMAN"	"E3 ubiquitin-protein ligase HERC2"	"HERC2"	5	5	7.95706747211319e-05	5	5	0.000118416041498286	0	"intracellular protein transport;DNA repair;spermatogenesis;protein ubiquitination involved in ubiquitin-dependent protein catabolic process"	"centriole;mitochondrial inner membrane;nucleus;cytoplasm"	"guanyl-nucleotide exchange factor activity;heme binding;SUMO binding;ubiquitin-protein ligase activity;zinc ion binding"
"P06400"	"P06400"	"RB_HUMAN"	"Retinoblastoma-associated protein"	"RB1"	5	9	0.000746077968624475	5	9	0.00111030351323802	0	"negative regulation of G1/S transition of mitotic cell cycle;maintenance of mitotic sister chromatid cohesion;digestive tract development;sister chromatid biorientation;cell division;neuron maturation;neuron projection development;positive regulation of mitotic metaphase/anaphase transition;Ras protein signal transduction;positive regulation of transcription from RNA polymerase II promoter;negative regulation of transcription involved in G1/S phase of mitotic cell cycle;negative regulation of transcription from RNA polymerase II promoter during mitosis;enucleate erythrocyte differentiation;androgen receptor signaling pathway;neuron apoptotic process;regulation of transcription involved in G1/S phase of mitotic cell cycle;negative regulation of smoothened signaling pathway;cell morphogenesis involved in neuron differentiation;positive regulation of macrophage differentiation;regulation of cohesin localization to chromatin;mitotic cell cycle checkpoint;negative regulation of epithelial cell proliferation;protein localization to chromosome;virus-host interaction;cell cycle arrest;transcription;negative regulation of sequence-specific DNA binding transcription factor activity;positive regulation of transcription;regulation of centromere complex assembly;regulation of lipid kinase activity;negative regulation of protein kinase activity;striated muscle cell differentiation;chromatin remodeling;myoblast differentiation"	"chromatin;Rb-E2F complex;PML body;SWI/SNF complex;spindle"	"transcription coactivator activity;core promoter binding;kinase binding;sequence-specific DNA binding transcription factor activity;androgen receptor binding"
"P11021"	"P11021"	"GRP78_HUMAN"	"78 kDa glucose-regulated protein"	"HSPA5"	5	41	0.00482276156137003	5	41	0.00717717092621139	0	"negative regulation of apoptotic process;ER-associated protein catabolic process;negative regulation of transforming growth factor beta receptor signaling pathway;cellular response to glucose starvation;platelet degranulation;ER overload response;activation of signaling protein activity involved in unfolded protein response;positive regulation of protein ubiquitination;cerebellum structural organization;platelet activation;regulation of protein folding in endoplasmic reticulum;cerebellar Purkinje cell layer development"	"integral to endoplasmic reticulum membrane;midbody;endoplasmic reticulum chaperone complex;melanosome;nucleus;cell surface;endoplasmic reticulum-Golgi intermediate compartment;endoplasmic reticulum lumen"	"protein binding;misfolded protein binding;unfolded protein binding;ribosome binding;ATP binding;chaperone binding;calcium ion binding;ATPase activity"
"P18669"	"P18669"	"PGAM1_HUMAN"	"Phosphoglycerate mutase 1"	"PGAM1"	5	8	0.00242295837229576	5	8	0.00360581508411158	0	"regulation of pentose-phosphate shunt;regulation of glycolysis;respiratory burst;glycolysis;gluconeogenesis;small molecule metabolic process"	"cytosol"	"bisphosphoglycerate 2-phosphatase activity;bisphosphoglycerate mutase activity;phosphoglycerate mutase activity"
"P29144"	"P29144"	"TPP2_HUMAN"	"Tripeptidyl-peptidase 2"	"TPP2"	5	8	0.000492739332716671	5	8	0.00073328825569603	0	"protein polyubiquitination;antigen processing and presentation of peptide antigen via MHC class I;proteolysis"	"nucleus;cytosol"	"tripeptidyl-peptidase activity;serine-type endopeptidase activity;aminopeptidase activity"
"P31040"	"P31040"	"DHSA_HUMAN"	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"	"SDHA"	5	9	0.00104271137783662	5	9	0.00155174948838085	0	"respiratory electron transport chain;succinate metabolic process;tricarboxylic acid cycle;nervous system development"	"mitochondrial respiratory chain complex II"	"flavin adenine dinucleotide binding;succinate dehydrogenase (ubiquinone) activity"
"P42704"	"P42704"	"LPPRC_HUMAN"	"Leucine-rich PPR motif-containing protein, mitochondrial"	"LRPPRC"	5	10	0.000551857448496343	5	10	0.000821267065427136	0	"regulation of transcription;mRNA transport;mitochondrion transport along microtubule;transcription"	"nuclear inner membrane;microtubule;nuclear outer membrane;mitochondrial nucleoid;nucleoplasm;perinuclear region of cytoplasm;condensed nuclear chromosome"	"single-stranded DNA binding;microtubule binding;RNA binding;beta-tubulin binding"
"P46939"	"P46939"	"UTRO_HUMAN"	"Utrophin"	"UTRN"	5	7	0.000156860617023808	5	7	0.000233437926724089	0	"muscle organ development;muscle contraction;positive regulation of cell-matrix adhesion;regulation of sodium ion transmembrane transporter activity"	"protein complex;nucleus;plasma membrane;postsynaptic membrane;neuromuscular junction;filopodium;dystrophin-associated glycoprotein complex;cytoskeleton;cytoplasm;cell junction"	"zinc ion binding;actin binding;calcium ion binding"
"P78332"	"P78332"	"RBM6_HUMAN"	"RNA-binding protein 6"	"RBM6"	5	8	0.000602826864843664	5	8	0.000897119086821706	1	"RNA processing"	"nucleus"	"nucleotide binding;DNA binding;RNA binding"
"Q14151"	"Q14151"	"SAFB2_HUMAN"	"Scaffold attachment factor B2"	"SAFB2"	5	5	0.000504518155301615	5	5	0.000750817346016151	2	"regulation of transcription;transcription"	"cytoplasm;nucleus"	"DNA binding;nucleotide binding;RNA binding"
"Q14152"	"Q14152"	"EIF3A_HUMAN"	"Eukaryotic translation initiation factor 3 subunit A"	"EIF3A"	5	7	0.000389654484980269	5	7	0.000579878728251664	0	"formation of translation preinitiation complex;formation of translation initiation complex;regulation of translational initiation"	"eukaryotic 43S preinitiation complex;eukaryotic 48S preinitiation complex;eukaryotic translation initiation factor 3 complex;nucleolus;cytosol"	"translation initiation factor activity;structural molecule activity"
"Q14683"	"Q14683"	"SMC1A_HUMAN"	"Structural maintenance of chromosomes protein 1A"	"SMC1A"	5	7	0.00043674168551722	5	7	0.000649953286653527	0	"meiosis;DNA repair;response to radiation;negative regulation of DNA endoreduplication;signal transduction in response to DNA damage;cell cycle checkpoint;chromosome condensation;mRNA splicing;DNA recombination;mitotic sister chromatid cohesion;stem cell maintenance;mitotic spindle organization;cytokinesis"	"kinetochore;meiotic cohesin complex;cytosol;nucleoplasm;condensed chromosome kinetochore;cohesin core heterodimer;condensed nuclear chromosome"	"chromatin binding;ATP binding;microtubule motor activity"
"Q15020-1"	"Q15020-1"	"SART3_HUMAN"	"Squamous cell carcinoma antigen recognized by T-cells 3"	"SART3"	5	7	0.000559192625381861	5	7	0	0	"RNA processing"	"intracellular membrane-bounded organelle;nuclear speck;cytoplasm"	"nucleotide binding;RNA binding"
"Q69YQ0"	"Q69YQ0"	"CYTSA_HUMAN"	"Cytospin-A"	"SPECC1L"	5	5	0.000344355095435946	5	5	0.000512464766877989	0	"cell cycle;cell division"	"spindle;gap junction;cytoplasm"	""
"Q8WZ42-3"	"Q8WZ42-3"	"TITIN_HUMAN"	"Titin"	"TTN"	5	5	1.23793375960925e-05	5	5	0	5	"mitotic chromosome condensation;forward locomotion;muscle filament sliding;regulation of protein kinase activity;platelet degranulation;response to calcium ion;sarcomerogenesis;in utero embryonic development;cardiac muscle contraction;adult heart development;detection of muscle stretch;sarcomere organization;cardiac myofibril assembly;skeletal muscle thin filament assembly;cardiac muscle hypertrophy;skeletal muscle myosin thick filament assembly;platelet activation;cardiac muscle fiber development;cardiac muscle tissue morphogenesis"	"striated muscle thin filament;extracellular region;condensed nuclear chromosome;Z disc;M band;Golgi apparatus;cytosol"	"nucleic acid binding;structural constituent of muscle;protein serine/threonine kinase activity;actinin binding;actin filament binding;protein tyrosine kinase activity;telethonin binding;calmodulin binding;protein self-association;calcium ion binding;ATP binding"
"Q8WZ42-8"	"Q8WZ42-8"	"TITIN_HUMAN"	"Titin"	"TTN"	5	5	1.43965894411237e-05	5	5	0	11	"mitotic chromosome condensation;forward locomotion;muscle filament sliding;regulation of protein kinase activity;platelet degranulation;response to calcium ion;sarcomerogenesis;in utero embryonic development;cardiac muscle contraction;adult heart development;detection of muscle stretch;sarcomere organization;cardiac myofibril assembly;skeletal muscle thin filament assembly;cardiac muscle hypertrophy;skeletal muscle myosin thick filament assembly;platelet activation;cardiac muscle fiber development;cardiac muscle tissue morphogenesis"	"striated muscle thin filament;extracellular region;condensed nuclear chromosome;Z disc;M band;Golgi apparatus;cytosol"	"nucleic acid binding;structural constituent of muscle;protein serine/threonine kinase activity;actinin binding;actin filament binding;protein tyrosine kinase activity;telethonin binding;calmodulin binding;protein self-association;calcium ion binding;ATP binding"
"Q99798"	"Q99798"	"ACON_HUMAN"	"Aconitate hydratase, mitochondrial"	"ACO2"	5	9	0.000887641480619888	5	9	0.00132097648754472	0	"cell death;tricarboxylic acid cycle;citrate metabolic process;isocitrate metabolic process"	"mitochondrial matrix;nucleus"	"iron ion binding;citrate hydro-lyase (cis-aconitate-forming) activity;4 iron;3 iron;isocitrate hydro-lyase (cis-aconitate-forming) activity"
"Q9NVP1"	"Q9NVP1"	"DDX18_HUMAN"	"ATP-dependent RNA helicase DDX18"	"DDX18"	5	6	0.000688915776003495	5	6	0.00102523548287053	0	""	"nucleolus"	"ATP binding;ATP-dependent RNA helicase activity;RNA binding"
"Q9UPU5"	"Q9UPU5"	"UBP24_HUMAN"	"Ubiquitin carboxyl-terminal hydrolase 24"	"USP24"	5	7	0.000205535304672798	5	7	0.000305874962764809	0	"ubiquitin-dependent protein catabolic process"	""	"ubiquitin thiolesterase activity;cysteine-type peptidase activity"
"Q9UQE7"	"Q9UQE7"	"SMC3_HUMAN"	"Structural maintenance of chromosomes protein 3"	"SMC3"	5	8	0.000505695502516945	5	8	0.000752569458803896	0	"cytokinesis;stem cell maintenance;mitotic spindle organization;DNA repair;meiosis;signal transduction;mitosis;negative regulation of DNA endoreduplication;sister chromatid cohesion"	"lateral element;basement membrane;meiotic cohesin complex;nucleoplasm;cytosol;chromatin;spindle pole;nuclear meiotic cohesin complex;chromosome;nuclear matrix"	"chromatin binding;microtubule motor activity;ATP binding;dynein binding"
"O00203-1"	"O00203-1"	"AP3B1_HUMAN"	"AP-3 complex subunit beta-1"	"AP3B1"	4	4	0.000281275789105632	4	4	0	0	"melanosome organization;blood coagulation;anterograde synaptic vesicle transport;intracellular protein transport;antigen processing and presentation;endocytosis;positive regulation of NK T cell differentiation;protein targeting to lysosome;anterograde axon cargo transport"	"clathrin-coated vesicle membrane;Golgi apparatus;AP-3 adaptor complex"	""
"O15143"	"O15143"	"ARC1B_HUMAN"	"Actin-related protein 2/3 complex subunit 1B"	"ARPC1B"	4	7	0.00144758736086756	4	7	0.00215428065173064	0	"regulation of actin filament polymerization;cellular component movement"	"Arp2/3 protein complex;cytoplasm"	"structural constituent of cytoskeleton"
"O15226"	"O15226"	"NKRF_HUMAN"	"NF-kappa-B-repressing factor"	"NKRF"	4	4	0.000445964801857335	4	4	0.00066367900823503	0	"negative regulation of transcription;transcription"	"nucleolus;nucleus"	"double-stranded RNA binding;DNA binding"
"O43290-1"	"O43290-1"	"SNUT1_HUMAN"	"U4/U6.U5 tri-snRNP-associated protein 1"	"SART1"	4	9	0.000865450443604391	4	9	0	0	"intrinsic apoptotic signaling pathway;positive regulation of cytotoxic T cell differentiation;spliceosomal snRNP assembly;cell cycle arrest"	"Cajal body;cytosol;catalytic step 2 spliceosome;Golgi apparatus"	""
"O60313-1,O60313-2"	"O60313-[1,2]"	"OPA1_HUMAN"	"Dynamin-like 120 kDa protein, mitochondrial"	"OPA1"	4	6	0.00024040290100122	4	6	0	0	"axon transport of mitochondrion;inner mitochondrial membrane organization;mitochondrial fusion;negative regulation of release of cytochrome c from mitochondria;visual perception;mitochondrial fission;cellular senescence;neural tube closure;apoptotic process"	"integral to membrane;mitochondrial intermembrane space;dendrite;mitochondrial crista;mitochondrial outer membrane"	"GTP binding;magnesium ion binding;GTPase activity"
"O75116"	"O75116"	"ROCK2_HUMAN"	"Rho-associated protein kinase 2"	"ROCK2"	4	4	0.000221697199770577	4	4	0.000329926884497241	0	"regulation of establishment of cell polarity;positive regulation of centrosome duplication;axon guidance;smooth muscle contraction;actin cytoskeleton organization;regulation of cell motility;regulation of keratinocyte differentiation;centrosome duplication;negative regulation of angiogenesis;regulation of focal adhesion assembly;intracellular signal transduction;neural tube closure;cytokinesis;regulation of stress fiber assembly"	"centrosome;spindle pole centrosome;plasma membrane;nucleus;cytosol"	"metal ion binding;protein serine/threonine kinase activity;ATP binding;phospholipid binding;structural molecule activity"
"O75165"	"O75165"	"DJC13_HUMAN"	"DnaJ homolog subfamily C member 13"	"DNAJC13"	4	4	0.000137189350549069	4	4	0.00020416340422745	0	""	""	""
"O75533"	"O75533"	"SF3B1_HUMAN"	"Splicing factor 3B subunit 1"	"SF3B1"	4	6	0.000353967461596888	4	6	0.000526769764971822	0	"anterior/posterior pattern specification;mRNA splicing"	"nucleoplasm;U12-type spliceosomal complex;nuclear speck;catalytic step 2 spliceosome"	"chromatin binding"
"O94826"	"O94826"	"TOM70_HUMAN"	"Mitochondrial import receptor subunit TOM70"	"TOMM70A"	4	5	0.000632639213161104	4	5	0.000941485435201832	0	"cellular protein metabolic process;protein targeting to mitochondrion"	"mitochondrial outer membrane translocase complex;integral to membrane"	"protein transmembrane transporter activity"
