Group;AC;ID;Entrez_ID;Gene_symbol;Descr;SP_GN;Entrez_GN;Non_spec_binder;Group_size;Specific_reporter;Pc_P4569-1.merged;Pc_P4569-2.merged;Pc_grp0;Pc_mean_grp0;Pc_sd_grp0;Pc_CV_grp0;Sc_P4569-1.merged;Sc_P4569-2.merged;Sc_grp0;Sc_mean_grp0;Sc_sd_grp0;Sc_CV_grp0;Seqcov_P4569-1.merged;Seqcov_P4569-2.merged;Seqcov_grp0;Seqcov_mean_grp0;Seqcov_sd_grp0;Seqcov_CV_grp0;Glob_pc;Glob_sc;Glob_seqcov
O75369-1;O75369-1;FLNB_HUMAN;2317;FLNB;Filamin-B;FLNB,TAP,FLN1L,TABP,FLN3;NA;0;6;3;124;120;129;122;2.83;0.02;330;329;659;329.5;0.71;0;0.62;0.61;0.64;0.61;0.01;0.01;129;659;0.64
P21333-1;P21333-1;FLNA_HUMAN;2316;FLNA;Filamin-A;FLNA,FLN,FLN1;NA;0;2;2;123;125;129;124;1.41;0.01;326;323;649;324.5;2.12;0.01;0.61;0.6;0.62;0.6;0;0;129;649;0.62
Q01082-3;Q01082-3;SPTB2_HUMAN;6711;SPTBN1;Spectrin beta chain, non-erythrocytic 1;SPTBN1,SPTB2;NA;0;1;1;118;123;128;120.5;3.54;0.03;258;269;527;263.5;7.78;0.03;0.63;0.64;0.66;0.64;0.01;0.01;128;527;0.66
Q709C8-1;Q709C8-1;VP13C_HUMAN;54832;VPS13C;Vacuolar protein sorting-associated protein 13C;VPS13C,KIAA1421;NA;0;4;2;118;111;125;114.5;4.95;0.04;181;175;356;178;4.24;0.02;0.37;0.36;0.39;0.36;0.01;0.03;125;356;0.39
Q03001-7;Q03001-7;DYST_HUMAN;667;DST;Dystonin;DST,DMH,BP240,KIAA0728,BPAG1,BP230,DT;NA;0;3;1;94;99;123;96.5;3.54;0.04;104;110;214;107;4.24;0.04;0.14;0.15;0.18;0.14;0.01;0.08;123;214;0.18
Q6P2Q9;Q6P2Q9;PRP8_HUMAN;10594;PRPF8;Pre-mRNA-processing-splicing factor 8;PRPF8,PRPC8;NA;0;1;1;120;111;122;115.5;6.36;0.06;307;302;609;304.5;3.54;0.01;0.57;0.53;0.58;0.55;0.02;0.04;122;609;0.58
P49327;P49327;FAS_HUMAN;2194;FASN;Fatty acid synthase;FASN,FAS;NA;0;1;1;114;105;115;109.5;6.36;0.06;608;562;1170;585;32.53;0.06;0.61;0.54;0.61;0.57;0.05;0.08;115;1170;0.61
Q14315-1;Q14315-1;FLNC_HUMAN;2318;FLNC;Filamin-C;FLNC,FLN2,ABPL;NA;0;2;2;110;103;114;106.5;4.95;0.05;186;188;374;187;1.41;0.01;0.52;0.5;0.53;0.51;0.01;0.03;114;374;0.53
Q03001-8;Q03001-8;DYST_HUMAN;667;DST;Dystonin;DST,DMH,BP240,KIAA0728,BPAG1,BP230,DT;NA;0;1;1;87;85;110;86;1.41;0.02;94;93;187;93.5;0.71;0.01;0.19;0.19;0.23;0.19;0;0.02;110;187;0.23
Q9Y4A5-1;Q9Y4A5-1;TRRAP_HUMAN;8295;TRRAP;Transformation/transcription domain-associated protein;TRRAP,PAF400;NA;0;2;2;102;91;108;96.5;7.78;0.08;134;121;255;127.5;9.19;0.07;0.31;0.28;0.33;0.3;0.02;0.08;108;255;0.33
Q14980-1;Q14980-1;NUMA1_HUMAN;4926;NUMA1;Nuclear mitotic apparatus protein 1;NUMA1,NUMA;NA;0;1;1;95;100;106;97.5;3.54;0.04;164;171;335;167.5;4.95;0.03;0.53;0.54;0.57;0.53;0.01;0.01;106;335;0.57
Q14980-2;Q14980-2;NUMA1_HUMAN;4926;NUMA1;Nuclear mitotic apparatus protein 1;NUMA1,NUMA;NA;0;1;1;95;100;106;97.5;3.54;0.04;164;171;335;167.5;4.95;0.03;0.53;0.54;0.57;0.53;0.01;0.01;106;335;0.57
O75643-1;O75643-1;U520_HUMAN;23020;SNRNP200;U5 small nuclear ribonucleoprotein 200 kDa helicase;SNRNP200,HELIC2,ASCC3L1,KIAA0788;NA;0;2;1;101;92;104;96.5;6.36;0.07;258;227;485;242.5;21.92;0.09;0.55;0.48;0.57;0.52;0.05;0.1;104;485;0.57
O75369-4;O75369-4;FLNB_HUMAN;2317;FLNB;Filamin-B;FLNB,TAP,FLN1L,TABP,FLN3;NA;0;2;2;100;93;103;96.5;4.95;0.05;262;255;517;258.5;4.95;0.02;0.58;0.56;0.6;0.57;0.01;0.02;103;517;0.6
Q14789;Q14789;GOGB1_HUMAN;2804;GOLGB1;Golgin subfamily B member 1;GOLGB1;NA;0;1;1;85;89;102;87;2.83;0.03;95;100;195;97.5;3.54;0.04;0.33;0.32;0.38;0.32;0.01;0.04;102;195;0.38
P12270;P12270;TPR_HUMAN;7175;TPR;Nucleoprotein TPR;TPR;NA;0;1;1;94;94;102;94;0;0;188;185;373;186.5;2.12;0.01;0.44;0.43;0.46;0.44;0.01;0.02;102;373;0.46
Q13085-4;Q13085-4;ACACA_HUMAN;31;ACACA;Acetyl-CoA carboxylase 1;ACACA,ACC1,ACAC,ACCA;NA;0;2;1;92;95;101;93.5;2.12;0.02;163;160;323;161.5;2.12;0.01;0.46;0.46;0.49;0.46;0;0.01;101;323;0.49
Q13085-1;Q13085-1;ACACA_HUMAN;31;ACACA;Acetyl-CoA carboxylase 1;ACACA,ACC1,ACAC,ACCA;NA;0;1;1;92;95;100;93.5;2.12;0.02;163;160;323;161.5;2.12;0.01;0.47;0.47;0.5;0.47;0;0;100;323;0.5
Q14008-1;Q14008-1;CKAP5_HUMAN;9793;CKAP5;Cytoskeleton-associated protein 5;CKAP5,KIAA0097;NA;0;3;1;92;91;98;91.5;0.71;0.01;166;175;341;170.5;6.36;0.04;0.51;0.5;0.53;0.5;0;0.01;98;341;0.53
Q13085-3;Q13085-3;ACACA_HUMAN;31;ACACA;Acetyl-CoA carboxylase 1;ACACA,ACC1,ACAC,ACCA;NA;0;1;1;90;93;98;91.5;2.12;0.02;161;158;319;159.5;2.12;0.01;0.47;0.47;0.5;0.47;0;0;98;319;0.5
P42704;P42704;LPPRC_HUMAN;10128;LRPPRC;Leucine-rich PPR motif-containing protein, mitochondrial;LRPPRC,LRP130;NA;0;1;1;91;90;96;90.5;0.71;0.01;271;264;535;267.5;4.95;0.02;0.68;0.65;0.7;0.67;0.02;0.03;96;535;0.7
P49454;P49454;CENPF_HUMAN;1063;CENPF;Centromere protein F;CENPF;NA;0;1;1;83;76;95;79.5;4.95;0.06;100;94;194;97;4.24;0.04;0.31;0.29;0.36;0.3;0.01;0.04;95;194;0.36
Q9NR09;Q9NR09;BIRC6_HUMAN;57448;BIRC6;Baculoviral IAP repeat-containing protein 6;BIRC6,KIAA1289;NA;0;1;1;84;79;94;81.5;3.54;0.04;124;126;250;125;1.41;0.01;0.24;0.22;0.27;0.23;0.02;0.07;94;250;0.27
Q14839-1;Q14839-1;CHD4_HUMAN;1108;CHD4;Chromodomain-helicase-DNA-binding protein 4;CHD4;NA;0;2;2;83;83;91;83;0;0;229;226;455;227.5;2.12;0.01;0.46;0.44;0.48;0.45;0.01;0.02;91;455;0.48
O95071;O95071;UBR5_HUMAN;51366;UBR5;E3 ubiquitin-protein ligase UBR5;UBR5,EDD,HYD,EDD1,KIAA0896;NA;0;1;1;87;79;90;83;5.66;0.07;125;118;243;121.5;4.95;0.04;0.38;0.35;0.39;0.37;0.02;0.06;90;243;0.39
Q14152;Q14152;EIF3A_HUMAN;8661;EIF3A;Eukaryotic translation initiation factor 3 subunit A;EIF3A,EIF3S10,KIAA0139;NA;0;1;1;81;80;88;80.5;0.71;0.01;257;281;538;269;16.97;0.06;0.53;0.51;0.55;0.52;0.01;0.02;88;538;0.55
A5YKK6-1;A5YKK6-1;CNOT1_HUMAN;23019;CNOT1;CCR4-NOT transcription complex subunit 1;CNOT1,KIAA1007,CDC39,NOT1;NA;0;4;1;83;75;88;79;5.66;0.07;134;126;260;130;5.66;0.04;0.4;0.36;0.42;0.38;0.03;0.08;88;260;0.42
P35580-1;P35580-1;MYH10_HUMAN;4628;MYH10;Myosin-10;MYH10;NA;0;3;2;80;73;87;76.5;4.95;0.06;166;161;327;163.5;3.54;0.02;0.42;0.39;0.45;0.4;0.02;0.05;87;327;0.45
O75592-2;O75592-2;MYCB2_HUMAN;23077;MYCBP2;Probable E3 ubiquitin-protein ligase MYCBP2;MYCBP2,PAM,KIAA0916;NA;0;1;1;72;72;87;72;0;0;91;96;187;93.5;3.54;0.04;0.2;0.19;0.23;0.19;0;0.02;87;187;0.23
O75592-1;O75592-1;MYCB2_HUMAN;23077;MYCBP2;Probable E3 ubiquitin-protein ligase MYCBP2;MYCBP2,PAM,KIAA0916;NA;0;1;1;73;72;87;72.5;0.71;0.01;92;96;188;94;2.83;0.03;0.2;0.19;0.23;0.2;0.01;0.03;87;188;0.23
P11388-1;P11388-1;TOP2A_HUMAN;7153;TOP2A;DNA topoisomerase 2-alpha;TOP2A,TOP2;NA;0;4;4;84;80;85;82;2.83;0.03;307;294;601;300.5;9.19;0.03;0.51;0.49;0.51;0.5;0.02;0.03;85;601;0.51
Q92614-1;Q92614-1;MY18A_HUMAN;399687;MYO18A;Unconventional myosin-XVIIIa;MYO18A,MYSPDZ,KIAA0216;NA;0;4;2;79;72;85;75.5;4.95;0.07;138;121;259;129.5;12.02;0.09;0.42;0.38;0.44;0.4;0.03;0.08;85;259;0.44
Q93008-1;Q93008-1;USP9X_HUMAN;8239;USP9X;Probable ubiquitin carboxyl-terminal hydrolase FAF-X;USP9X,USP9,DFFRX,FAM;NA;0;2;2;77;73;84;75;2.83;0.04;121;115;236;118;4.24;0.04;0.33;0.31;0.35;0.32;0.02;0.05;84;236;0.35
P50851-1;P50851-1;LRBA_HUMAN;987;LRBA;Lipopolysaccharide-responsive and beige-like anchor protein;LRBA,LBA,BGL,CDC4L;NA;0;1;1;79;72;84;75.5;4.95;0.07;115;103;218;109;8.49;0.08;0.33;0.28;0.34;0.31;0.04;0.12;84;218;0.34
A6NHR9-1;A6NHR9-1;SMHD1_HUMAN;23347;SMCHD1;Structural maintenance of chromosomes flexible hinge domain-containing protein 1;SMCHD1,KIAA0650;NA;0;3;1;80;80;84;80;0;0;130;121;251;125.5;6.36;0.05;0.4;0.41;0.43;0.41;0.01;0.02;84;251;0.43
P50851-2;P50851-2;LRBA_HUMAN;987;LRBA;Lipopolysaccharide-responsive and beige-like anchor protein;LRBA,LBA,BGL,CDC4L;NA;0;1;1;79;72;84;75.5;4.95;0.07;115;103;218;109;8.49;0.08;0.33;0.28;0.34;0.31;0.04;0.12;84;218;0.34
Q02880-2;Q02880-2;TOP2B_HUMAN;7155;TOP2B;DNA topoisomerase 2-beta;TOP2B;NA;0;2;1;80;75;83;77.5;3.54;0.05;166;154;320;160;8.49;0.05;0.53;0.48;0.54;0.5;0.03;0.07;83;320;0.54
P46940;P46940;IQGA1_HUMAN;8826;IQGAP1;Ras GTPase-activating-like protein IQGAP1;IQGAP1,KIAA0051;NA;0;1;1;79;73;83;76;4.24;0.06;216;212;428;214;2.83;0.01;0.56;0.49;0.58;0.53;0.05;0.1;83;428;0.58
Q99996-1;Q99996-1;AKAP9_HUMAN;10142;AKAP9;A-kinase anchor protein 9;AKAP9,KIAA0803,AKAP450,AKAP350;NA;0;6;4;62;70;82;66;5.66;0.09;67;83;150;75;11.31;0.15;0.18;0.21;0.25;0.2;0.02;0.09;82;150;0.25
Q00610-1;Q00610-1;CLH1_HUMAN;1213;CLTC;Clathrin heavy chain 1;CLTC,CLTCL2,KIAA0034,CLH17;NA;0;2;2;79;75;81;77;2.83;0.04;379;305;684;342;52.33;0.15;0.58;0.53;0.59;0.56;0.04;0.06;81;684;0.59
P07814;P07814;SYEP_HUMAN;2058;EPRS;Bifunctional glutamate/proline--tRNA ligase;EPRS,QARS,QPRS,GLNS,PARS;NA;0;1;1;76;75;80;75.5;0.71;0.01;239;234;473;236.5;3.54;0.01;0.57;0.54;0.58;0.55;0.02;0.04;80;473;0.58
P27708;P27708;PYR1_HUMAN;790;CAD;CAD protein;CAD;NA;0;1;1;77;75;80;76;1.41;0.02;168;167;335;167.5;0.71;0;0.44;0.4;0.45;0.42;0.03;0.07;80;335;0.45
P42858;P42858;HD_HUMAN;3064;HTT;Huntingtin;HTT,HD,IT15;NA;0;1;1;75;69;79;72;4.24;0.06;111;104;215;107.5;4.95;0.05;0.29;0.26;0.3;0.27;0.02;0.07;79;215;0.3
O75691;O75691;UTP20_HUMAN;27340;UTP20;Small subunit processome component 20 homolog;UTP20,DRIM;NA;0;1;1;69;70;79;69.5;0.71;0.01;105;104;209;104.5;0.71;0.01;0.27;0.28;0.31;0.28;0;0.01;79;209;0.31
Q8WZ42-1;Q8WZ42-1;TITIN_HUMAN;7273;TTN;Titin;TTN;NA;0;10;2;42;61;79;51.5;13.44;0.26;48;66;114;57;12.73;0.22;0.01;0.02;0.02;0.02;0;0.29;79;114;0.02
Q14690;Q14690;RRP5_HUMAN;22984;PDCD11;Protein RRP5 homolog;PDCD11,KIAA0185;NA;0;1;1;72;71;78;71.5;0.71;0.01;134;128;262;131;4.24;0.03;0.43;0.41;0.45;0.42;0.02;0.04;78;262;0.45
Q92614-2;Q92614-2;MY18A_HUMAN;399687;MYO18A;Unconventional myosin-XVIIIa;MYO18A,MYSPDZ,KIAA0216;NA;0;1;1;71;66;77;68.5;3.54;0.05;127;113;240;120;9.9;0.08;0.43;0.38;0.45;0.41;0.03;0.08;77;240;0.45
Q9NZM1-1;Q9NZM1-1;MYOF_HUMAN;26509;MYOF;Myoferlin;MYOF,FER1L3,KIAA1207;NA;0;8;2;72;71;77;71.5;0.71;0.01;98;105;203;101.5;4.95;0.05;0.42;0.4;0.43;0.41;0.01;0.03;77;203;0.43
Q92608-1;Q92608-1;DOCK2_HUMAN;1794;DOCK2;Dedicator of cytokinesis protein 2;DOCK2,KIAA0209;NA;0;2;1;73;71;76;72;1.41;0.02;122;130;252;126;5.66;0.04;0.41;0.39;0.41;0.4;0.01;0.03;76;252;0.41
Q9NTJ3-1;Q9NTJ3-1;SMC4_HUMAN;10051;SMC4;Structural maintenance of chromosomes protein 4;SMC4,SMC4L1,CAPC;NA;0;2;1;71;67;76;69;2.83;0.04;163;144;307;153.5;13.44;0.09;0.52;0.49;0.54;0.5;0.03;0.05;76;307;0.54
Q15751;Q15751;HERC1_HUMAN;8925;HERC1;Probable E3 ubiquitin-protein ligase HERC1;HERC1;NA;0;1;1;70;60;76;65;7.07;0.11;82;74;156;78;5.66;0.07;0.18;0.15;0.19;0.16;0.02;0.14;76;156;0.19
Q14683;Q14683;SMC1A_HUMAN;8243;SMC1A;Structural maintenance of chromosomes protein 1A;SMC1A,SMC1,DXS423E,KIAA0178,SB1.8,SMC1L1;NA;0;1;1;67;68;75;67.5;0.71;0.01;137;130;267;133.5;4.95;0.04;0.53;0.53;0.58;0.53;0.01;0.01;75;267;0.58
Q9ULT8;Q9ULT8;HECD1_HUMAN;25831;HECTD1;E3 ubiquitin-protein ligase HECTD1;HECTD1,KIAA1131;NA;0;1;1;69;66;75;67.5;2.12;0.03;97;87;184;92;7.07;0.08;0.34;0.31;0.36;0.32;0.02;0.06;75;184;0.36
Q5VYK3;Q5VYK3;ECM29_HUMAN;NA;ECM29;Proteasome-associated protein ECM29 homolog;ECM29,KIAA0368;NA;0;1;1;74;68;75;71;4.24;0.06;152;135;287;143.5;12.02;0.08;0.51;0.45;0.51;0.48;0.04;0.09;75;287;0.51
Q86UP2-1;Q86UP2-1;KTN1_HUMAN;3895;KTN1;Kinectin;KTN1,CG1,KIAA0004;NA;0;3;1;66;68;75;67;1.41;0.02;104;118;222;111;9.9;0.09;0.5;0.49;0.55;0.5;0;0.01;75;222;0.55
Q5JSL3;Q5JSL3;DOC11_HUMAN;139818;DOCK11;Dedicator of cytokinesis protein 11;DOCK11,ZIZ2;NA;0;1;1;72;64;74;68;5.66;0.08;116;101;217;108.5;10.61;0.1;0.4;0.35;0.41;0.38;0.03;0.08;74;217;0.41
Q8N3C0-1;Q8N3C0-1;ASCC3_HUMAN;10973;ASCC3;Activating signal cointegrator 1 complex subunit 3;ASCC3,HELIC1;NA;0;3;1;66;60;73;63;4.24;0.07;94;79;173;86.5;10.61;0.12;0.34;0.32;0.37;0.33;0.01;0.04;73;173;0.37
P46939;P46939;UTRO_HUMAN;7402;UTRN;Utrophin;UTRN,DMDL,DRP1;NA;0;1;1;62;55;73;58.5;4.95;0.08;74;70;144;72;2.83;0.04;0.21;0.18;0.24;0.2;0.02;0.11;73;144;0.24
Q86U86-1;Q86U86-1;PB1_HUMAN;55193;PBRM1;Protein polybromo-1;PBRM1,PB1,BAF180;NA;0;9;5;65;63;73;64;1.41;0.02;96;98;194;97;1.41;0.01;0.43;0.4;0.45;0.41;0.02;0.05;73;194;0.45
Q9Y6D6;Q9Y6D6;BIG1_HUMAN;10565;ARFGEF1;Brefeldin A-inhibited guanine nucleotide-exchange protein 1;ARFGEF1,ARFGEP1,BIG1;NA;0;1;1;68;60;73;64;5.66;0.09;111;106;217;108.5;3.54;0.03;0.43;0.37;0.44;0.4;0.04;0.1;73;217;0.44
Q9H583;Q9H583;HEAT1_HUMAN;55127;HEATR1;HEAT repeat-containing protein 1;HEATR1,BAP28;NA;0;1;1;69;67;73;68;1.41;0.02;125;117;242;121;5.66;0.05;0.36;0.35;0.38;0.36;0.01;0.02;73;242;0.38
P53621-2;P53621-2;COPA_HUMAN;1314;COPA;Coatomer subunit alpha;COPA;NA;0;1;1;70;67;72;68.5;2.12;0.03;156;164;320;160;5.66;0.04;0.62;0.61;0.63;0.62;0.01;0.02;72;320;0.63
P53621-1;P53621-1;COPA_HUMAN;1314;COPA;Coatomer subunit alpha;COPA;NA;0;1;1;70;67;72;68.5;2.12;0.03;159;167;326;163;5.66;0.03;0.62;0.6;0.63;0.61;0.01;0.02;72;326;0.63
Q8NF50-1;Q8NF50-1;DOCK8_HUMAN;81704;DOCK8;Dedicator of cytokinesis protein 8;DOCK8;NA;0;3;2;65;68;72;66.5;2.12;0.03;88;95;183;91.5;4.95;0.05;0.32;0.34;0.35;0.33;0.02;0.05;72;183;0.35
Q12789-2;Q12789-2;TF3C1_HUMAN;2975;GTF3C1;General transcription factor 3C polypeptide 1;GTF3C1;NA;0;2;1;58;66;72;62;5.66;0.09;107;114;221;110.5;4.95;0.04;0.32;0.34;0.37;0.33;0.02;0.06;72;221;0.37
O95602;O95602;RPA1_HUMAN;25885;POLR1A;DNA-directed RNA polymerase I subunit RPA1;POLR1A;NA;0;1;1;67;67;71;67;0;0;114;105;219;109.5;6.36;0.06;0.47;0.46;0.48;0.46;0.01;0.02;71;219;0.48
Q6ZS81-1;Q6ZS81-1;WDFY4_HUMAN;57705;WDFY4;WD repeat- and FYVE domain-containing protein 4;WDFY4,C10orf64,KIAA1607;NA;0;5;1;67;60;71;63.5;4.95;0.08;89;81;170;85;5.66;0.07;0.26;0.23;0.27;0.25;0.02;0.1;71;170;0.27
P24928;P24928;RPB1_HUMAN;5430;POLR2A;DNA-directed RNA polymerase II subunit RPB1;POLR2A,POLR2;NA;0;1;1;66;64;71;65;1.41;0.02;110;113;223;111.5;2.12;0.02;0.35;0.35;0.37;0.35;0;0.01;71;223;0.37
Q9Y520-4;Q9Y520-4;PRC2C_HUMAN;23215;PRRC2C;Protein PRRC2C;PRRC2C,BAT2D1,BAT2L2,XTP2,KIAA1096;NA;0;7;1;69;68;71;68.5;0.71;0.01;116;109;225;112.5;4.95;0.04;0.32;0.31;0.33;0.31;0.01;0.02;71;225;0.33
Q9UPU5;Q9UPU5;UBP24_HUMAN;23358;USP24;Ubiquitin carboxyl-terminal hydrolase 24;USP24,KIAA1057;NA;0;1;1;65;66;70;65.5;0.71;0.01;93;96;189;94.5;2.12;0.02;0.32;0.32;0.34;0.32;0;0.01;70;189;0.34
Q9NZJ4-1;Q9NZJ4-1;SACS_HUMAN;26278;SACS;Sacsin;SACS,KIAA0730;NA;0;2;1;57;55;70;56;1.41;0.03;64;60;124;62;2.83;0.05;0.14;0.13;0.17;0.13;0;0.03;70;124;0.17
P26358-2;P26358-2;DNMT1_HUMAN;1786;DNMT1;DNA (cytosine-5)-methyltransferase 1;DNMT1,AIM,DNMT,CXXC9;NA;0;3;1;67;67;70;67;0;0;132;130;262;131;1.41;0.01;0.45;0.45;0.46;0.45;0;0;70;262;0.46
