"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5396"	"peptide.count.P5455"	"spectra.count.P5396"	"spectra.count.P5455"	"dNSAF.P5396"	"dNSAF.P5455"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"P10809"	"P10809"	"CH60_HUMAN"	"60 kDa heat shock protein, mitochondrial"	"HSPD1"	21	45	0.00977481371891862	6	20	10	35	0.0138954120997719	0.0135742090119233	0	"positive regulation of T cell mediated immune response to tumor cell;positive regulation of interferon-alpha production;positive regulation of interleukin-6 production;positive regulation of T cell activation;protein maturation;modulation by virus of host morphology or physiology;protein refolding;MyD88-dependent toll-like receptor signaling pathway;protein stabilization;T cell activation;isotype switching to IgG isotypes;positive regulation of interleukin-12 production;positive regulation of macrophage activation;B cell proliferation;positive regulation of apoptotic process;chaperone-mediated protein complex assembly;response to unfolded protein;activation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of interleukin-10 production;'de novo' protein folding;positive regulation of interferon-gamma production;B cell cytokine production;negative regulation of apoptotic process"	"secretory granule;cell surface;coated vesicle;extracellular space;mitochondrial matrix;mitochondrial inner membrane;coated pit;early endosome;lipopolysaccharide receptor complex;plasma membrane;cytosol"	"lipopolysaccharide binding;ATP binding;DNA replication origin binding;ATPase activity;single-stranded DNA binding;unfolded protein binding"
"P13645"	"P13645"	"K1C10_HUMAN"	"Keratin, type I cytoskeletal 10"	"KRT10"	23	104	0.0248404889411641	15	22	52	52	0.0814401997038696	0.0215566590066036	16	"cellular response to calcium ion;keratinocyte differentiation"	"intermediate filament;keratin filament;cytoplasm"	"structural constituent of epidermis"
"P27487"	"P27487"	"DPP4_HUMAN"	"Dipeptidyl peptidase 4"	"DPP4"	20	40	0.00649952800805381	0	20	0	40	0	0.0116046576110885	0	"negative regulation of extracellular matrix disassembly;T cell activation;proteolysis;T cell costimulation;regulation of cell-cell adhesion mediated by integrin;cell adhesion;positive regulation of cell proliferation;endothelial cell migration;response to hypoxia"	"extracellular vesicular exosome;membrane raft;invadopodium membrane;apical plasma membrane;cell surface;intercellular canaliculus;endocytic vesicle;lamellipodium;lamellipodium membrane;integral to membrane"	"serine-type peptidase activity;dipeptidyl-peptidase activity;serine-type endopeptidase activity;aminopeptidase activity"
"P35908"	"P35908"	"K22E_HUMAN"	"Keratin, type II cytoskeletal 2 epidermal"	"KRT2"	17	43	0.0120946768596866	9	14	17	26	0.0367948389081308	0.0114208563128043	42	"keratinization;keratinocyte proliferation;keratinocyte activation;keratinocyte migration"	"intermediate filament;keratin filament;Golgi apparatus"	"structural constituent of cytoskeleton"
"Q9P2B2"	"Q9P2B2"	"FPRP_HUMAN"	"Prostaglandin F2 receptor negative regulator"	"PTGFRN"	17	31	0.00438958453012644	0	17	0	31	0	0.00783743457431478	0	"lipid particle organization"	"integral to membrane;endoplasmic reticulum membrane;Golgi apparatus"	""
"P05166-1,P05166-2"	"P05166-[1,2]"	"PCCB_HUMAN"	"Propionyl-CoA carboxylase beta chain, mitochondrial"	"PCCB"	15	36	0.00415656271683886	6	15	9	27	0	0	0	"fatty acid beta-oxidation;biotin metabolic process;short-chain fatty acid catabolic process"	"mitochondrial matrix;cytosol"	"ATP binding;propionyl-CoA carboxylase activity"
"P11021"	"P11021"	"GRP78_HUMAN"	"78 kDa glucose-regulated protein"	"HSPA5"	15	25	0.00544956394154319	1	15	1	24	0.0021913957247255	0.00892391943599831	10	"negative regulation of transforming growth factor beta receptor signaling pathway;ER overload response;platelet activation;cellular response to glucose starvation;ER-associated protein catabolic process;cellular response to interleukin-4;cerebellum structural organization;negative regulation of apoptotic process;regulation of protein folding in endoplasmic reticulum;positive regulation of protein ubiquitination;cerebellar Purkinje cell layer development;activation of signaling protein activity involved in unfolded protein response;platelet degranulation"	"melanosome;endoplasmic reticulum lumen;cell surface;endoplasmic reticulum-Golgi intermediate compartment;endoplasmic reticulum chaperone complex;midbody;integral to endoplasmic reticulum membrane;nucleus"	"unfolded protein binding;ribosome binding;ATPase activity;misfolded protein binding;ATP binding;calcium ion binding;chaperone binding;protein binding"
"P00558"	"P00558"	"PGK1_HUMAN"	"Phosphoglycerate kinase 1"	"PGK1"	18	42	0.0125361399925124	8	16	14	28	0.0267311740681943	0.0149218642951215	0	"glycolysis;small molecule metabolic process;gluconeogenesis"	"cytosol"	"ATP binding;phosphoglycerate kinase activity"
"P15144"	"P15144"	"AMPN_HUMAN"	"Aminopeptidase N"	"ANPEP"	14	23	0.0029604106630272	0	14	0	23	0	0.00528569952926984	0	"angiogenesis;cellular protein metabolic process;modulation by virus of host morphology or physiology;response to virus;proteolysis;cell differentiation;angiotensin maturation"	"external side of plasma membrane;cytosol;endoplasmic reticulum-Golgi intermediate compartment;integral to plasma membrane"	"zinc ion binding;aminopeptidase activity;receptor activity;metallopeptidase activity;virus receptor activity"
"P06213-1,P06213-2"	"P06213-[1,2]"	"INSR_HUMAN"	"Insulin receptor"	"INSR"	13	20	0.00104472152800946	0	13	0	20	0	0	4	"G-protein coupled receptor signaling pathway;glucose homeostasis;protein heterotetramerization;heart morphogenesis;positive regulation of glucose import;transformation of host cell by virus;positive regulation of glycolysis;positive regulation of nitric oxide biosynthetic process;positive regulation of protein kinase B signaling cascade;peptidyl-tyrosine phosphorylation;activation of protein kinase B activity;regulation of transcription;cellular response to growth factor stimulus;positive regulation of DNA replication;positive regulation of developmental growth;positive regulation of glycogen biosynthetic process;male sex determination;protein autophosphorylation;positive regulation of mitosis;carbohydrate metabolic process;exocrine pancreas development;activation of MAPK activity;positive regulation of cell migration;positive regulation of respiratory burst;regulation of embryonic development;positive regulation of cell proliferation"	"caveola;endosome membrane;insulin receptor complex"	"insulin-like growth factor receptor binding;insulin binding;receptor signaling protein tyrosine kinase activity;GTP binding;insulin-activated receptor activity;ATP binding"
"P08648"	"P08648"	"ITA5_HUMAN"	"Integrin alpha-5"	"ITGA5"	13	27	0.00320360434372185	0	13	0	27	0	0.00571991250506512	0	"angiogenesis;modulation by virus of host morphology or physiology;memory;cell-substrate junction assembly;cell-cell adhesion mediated by integrin;cell adhesion;negative regulation of anoikis;wound healing;axon guidance;extracellular matrix organization;heterophilic cell-cell adhesion;blood coagulation;positive regulation of vascular endothelial growth factor receptor signaling pathway;leukocyte cell-cell adhesion;positive regulation of peptidyl-tyrosine phosphorylation;leukocyte migration;integrin-mediated signaling pathway"	"alphav-beta3 integrin-vitronectin complex;ruffle;integrin complex;synapse;external side of plasma membrane"	"metal ion binding;platelet-derived growth factor receptor binding;vascular endothelial growth factor receptor 2 binding"
"P13612"	"P13612"	"ITA4_HUMAN"	"Integrin alpha-4"	"ITGA4"	13	23	0.00277395068909622	0	13	0	23	0	0.00495278240775575	0	"blood vessel remodeling;integrin-mediated signaling pathway;regulation of immune response;chorio-allantoic fusion;face development;leukocyte cell-cell adhesion;blood coagulation;heterophilic cell-cell adhesion;B cell differentiation;heart development;leukocyte migration"	"plasma membrane;integrin complex;cell surface;external side of plasma membrane;extracellular vesicular exosome"	"metal ion binding"
"P17301"	"P17301"	"ITA2_HUMAN"	"Integrin alpha-2"	"ITGA2"	13	24	0.002529367546572	0	13	0	24	0	0.00451608860123309	0	"integrin-mediated signaling pathway;response to virus;cell-matrix adhesion;extracellular matrix organization;organ morphogenesis;blood coagulation;modulation by virus of host morphology or physiology;axon guidance"	"cell surface;integrin complex;external side of plasma membrane;basal part of cell"	"collagen binding;virus receptor activity;metal ion binding"
"P26038"	"P26038"	"MOES_HUMAN"	"Moesin"	"MSN"	16	23	0.0049613814751253	7	11	10	13	0.0137990834197042	0.00500689690169928	0	"leukocyte migration;membrane to membrane docking;leukocyte cell-cell adhesion;regulation of lymphocyte migration"	"apical part of cell;extracellular vesicular exosome;cytoplasm;filopodium;microvillus;basolateral plasma membrane;microvillus membrane;nucleolus;extrinsic to membrane;plasma membrane;cytoskeleton;apical plasma membrane;uropod"	"structural constituent of cytoskeleton"
"Q15758-1"	"Q15758-1"	"AAAT_HUMAN"	"Neutral amino acid transporter B(0)"	"SLC1A5"	13	34	0.00782226004814018	0	13	0	34	0	0	0	"response to virus"	"integral to plasma membrane;Golgi apparatus;melanosome"	"sodium:dicarboxylate symporter activity;virus receptor activity;receptor activity;L-glutamine transmembrane transporter activity"
"162648"	"162648"	"162648"	"albumin [Bos taurus]"	""	16	44	0.0090222443156279	2	16	4	40	0.00524683435464205	0.014644427891423	0	""	""	""
"P19338"	"P19338"	"NUCL_HUMAN"	"Nucleolin"	"NCL"	12	20	0.00350608341842903	0	12	0	20	0	0.00625997727471394	0	"angiogenesis"	"nucleoplasm;nucleolus;cell cortex;ribonucleoprotein complex"	"telomeric DNA binding;RNA binding;nucleotide binding"
"P04075"	"P04075"	"ALDOA_HUMAN"	"Fructose-bisphosphate aldolase A"	"ALDOA"	14	23	0.00786460744820687	0	14	0	23	0	0.0140419545186921	0	"glycolysis;regulation of cell shape;platelet degranulation;fructose 1;striated muscle contraction;protein homotetramerization;fructose metabolic process;actin filament organization;ATP biosynthetic process;muscle cell cellular homeostasis;gluconeogenesis;platelet activation"	"extracellular vesicular exosome;actin cytoskeleton;platelet alpha granule lumen;I band;cytosol"	"identical protein binding;actin binding;fructose binding;fructose-bisphosphate aldolase activity;tubulin binding"
"O14980"	"O14980"	"XPO1_HUMAN"	"Exportin-1"	"XPO1"	10	15	0.00174322074725813	0	10	0	15	0	0.00311245368700763	0	"mRNA metabolic process;modulation by virus of host morphology or physiology;intracellular transport of viral material;negative regulation of transforming growth factor beta receptor signaling pathway;protein export from nucleus;regulation of protein export from nucleus;regulation of protein catabolic process;negative regulation of transcription from RNA polymerase II promoter;protein localization to nucleus;mRNA transport;regulation of centrosome duplication;response to drug;viral infectious cycle;gene expression;transforming growth factor beta receptor signaling pathway;mitotic cell cycle"	"nuclear envelope;Cajal body;nucleolus;cytosol;nucleoplasm;ribonucleoprotein complex;kinetochore;annulate lamellae"	"transporter activity;protein transporter activity;RNA binding"
"P13639"	"P13639"	"EF2_HUMAN"	"Elongation factor 2"	"EEF2"	10	16	0.00232104356837726	0	10	0	16	0	0.00414413413990387	0	"translational elongation"	"cytosol;ribonucleoprotein complex;polysome"	"GTP binding;translation elongation factor activity;GTPase activity"
"P32942"	"P32942"	"ICAM3_HUMAN"	"Intercellular adhesion molecule 3"	"ICAM3"	10	24	0.00546102938300097	0	10	0	24	0	0.00975045820485608	0	"regulation of immune response;cell-cell adhesion"	"integral to plasma membrane"	"integrin binding"
"P43121-1"	"P43121-1"	"MUC18_HUMAN"	"Cell surface glycoprotein MUC18"	"MCAM"	17	32	0.00616549653767086	0	17	0	32	0	0	0	"vascular wound healing;cell adhesion;glomerular filtration"	"external side of plasma membrane;integral to membrane"	""
"P55060-1,P55060-3"	"P55060-[1,3]"	"XPO2_HUMAN"	"Exportin-2"	"CSE1L"	10	14	0.000897282934582506	0	10	0	14	0	0	0	"apoptotic process;cell proliferation"	"nucleus;cytoplasm"	"importin-alpha export receptor activity"
"Q13740-1,Q13740-2"	"Q13740-[1,2]"	"CD166_HUMAN"	"CD166 antigen"	"ALCAM"	10	18	0.00192142993514249	0	10	0	18	0	0	0	"cell adhesion;signal transduction;motor neuron axon guidance;axon guidance"	"neuronal cell body;external side of plasma membrane;integral to membrane;axon"	"receptor binding"
"Q14974"	"Q14974"	"IMB1_HUMAN"	"Importin subunit beta-1"	"KPNB1"	10	16	0.00227335089231471	0	10	0	16	0	0.00405898069867296	0	"cytokine-mediated signaling pathway;viral infectious cycle;NLS-bearing substrate import into nucleus;ribosomal protein import into nucleus;modulation by virus of host morphology or physiology;apoptotic DNA fragmentation;protein import into nucleus;intracellular transport of viral material;small molecule metabolic process"	"nucleoplasm;cytosol;nuclear membrane;nuclear pore"	"nuclear localization sequence binding;protein transporter activity;zinc ion binding"
"Q9ULF5"	"Q9ULF5"	"S39AA_HUMAN"	"Zinc transporter ZIP10"	"SLC39A10"	10	15	0.00224667800278394	0	10	0	15	0	0.00401135727892319	0	"transmembrane transport;zinc ion transport"	"integral to membrane"	"metal ion transmembrane transporter activity"
"P05362"	"P05362"	"ICAM1_HUMAN"	"Intercellular adhesion molecule 1"	"ICAM1"	9	15	0.00350937860961176	0	9	0	15	0	0.0062658607120022	0	"interferon-gamma-mediated signaling pathway;regulation of cell shape;response to organic cyclic compound;response to copper ion;T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell;cell aging;heterophilic cell-cell adhesion;response to ethanol;cellular response to interleukin-1;leukocyte migration;cellular response to hypoxia;positive regulation of NF-kappaB transcription factor activity;regulation of cell adhesion;positive regulation of vasoconstriction;negative regulation of calcium ion transport;modulation by virus of host morphology or physiology;response to ionizing radiation;regulation of immune response;membrane to membrane docking;adhesion to symbiont;regulation of leukocyte mediated cytotoxicity;response to drug;response to sulfur dioxide;response to amino acid stimulus;response to virus;cell adhesion mediated by integrin;T cell antigen processing and presentation;cellular response to nutrient levels;cellular response to alkaloid;virion attachment;leukocyte cell-cell adhesion;cellular response to lipopolysaccharide;response to gonadotropin stimulus;cellular response to tumor necrosis factor;positive regulation of cellular extravasation;cellular response to glucose stimulus;response to amphetamine;positive regulation of nitric oxide biosynthetic process;ovarian follicle development"	"integral to plasma membrane;external side of plasma membrane;extracellular space;immunological synapse"	"virus receptor activity;transmembrane signaling receptor activity"
"P16150"	"P16150"	"LEUK_HUMAN"	"Leukosialin"	"SPN"	9	63	0.0196033889132913	2	9	4	59	0.00796207113316931	0.0327788060047209	0	"negative regulation of cell adhesion;apoptotic signaling pathway;cellular defense response;blood coagulation;defense response to bacterium;leukocyte migration;positive regulation of T cell proliferation;T cell costimulation;immune response;establishment or maintenance of cell polarity;negative thymic T cell selection;cell surface receptor signaling pathway;response to protozoan;positive regulation of tumor necrosis factor biosynthetic process;regulation of defense response to virus;negative regulation of T cell proliferation;negative regulation of type IV hypersensitivity;chemotaxis"	"cell surface;external side of plasma membrane;basement membrane;uropod;integral to plasma membrane;extracellular space"	"transmembrane signaling receptor activity"
"P33992"	"P33992"	"MCM5_HUMAN"	"DNA replication licensing factor MCM5"	"MCM5"	9	13	0.00220443800763623	2	8	2	11	0.0021695016711633	0.00333041025310053	0	"G1/S transition of mitotic cell cycle;DNA duplex unwinding;DNA replication initiation;DNA strand elongation involved in DNA replication"	"MCM complex;nucleoplasm"	"DNA binding;ATP binding;DNA helicase activity"
"Q9UIW2"	"Q9UIW2"	"PLXA1_HUMAN"	"Plexin-A1"	"PLXNA1"	9	10	0.00065646604089784	0	9	0	10	0	0.00117209490111996	0	"dichotomous subdivision of terminal units involved in salivary gland branching;axon guidance"	"cytoplasm;integral to membrane;nucleus;plasma membrane;semaphorin receptor complex"	"semaphorin receptor activity"
"P00813"	"P00813"	"ADA_HUMAN"	"Adenosine deaminase"	"ADA"	8	19	0.00651474728851344	0	8	0	19	0	0.0116318310517756	0	"positive regulation of T cell receptor signaling pathway;negative regulation of inflammatory response;placenta development;negative regulation of adenosine receptor signaling pathway;adenosine catabolic process;dATP catabolic process;hypoxanthine salvage;response to hypoxia;positive regulation of calcium-mediated signaling;histamine secretion;negative regulation of penile erection;cell adhesion;purine nucleotide salvage;purine ribonucleoside monophosphate biosynthetic process;negative regulation of mature B cell apoptotic process;positive regulation of germinal center formation;negative regulation of thymocyte apoptotic process;inosine biosynthetic process;positive regulation of alpha-beta T cell differentiation;embryonic digestive tract development;liver development;response to hydrogen peroxide;response to morphine;negative regulation of leukocyte migration;regulation of cell-cell adhesion mediated by integrin;positive regulation of B cell proliferation;trophectodermal cell differentiation;Peyer's patch development;negative regulation of circadian sleep/wake cycle;positive regulation of smooth muscle contraction;deoxyadenosine catabolic process;negative regulation of mucus secretion;aging;positive regulation of T cell differentiation in thymus;xanthine biosynthetic process;germinal center B cell differentiation;lung alveolus development;positive regulation of heart rate;T cell activation"	"external side of plasma membrane;dendrite cytoplasm;lysosome;cell junction;neuronal cell body;extracellular space;cytosol;cytoplasmic membrane-bounded vesicle lumen"	"purine nucleoside binding;adenosine deaminase activity;zinc ion binding"
"P13647"	"P13647"	"K2C5_HUMAN"	"Keratin, type II cytoskeletal 5"	"KRT5"	8	15	0.00507342275648452	1	7	1	14	0.00348621758655718	0.00721629706822347	16	"hemidesmosome assembly;epidermis development"	"cytosol;keratin filament;mitochondrion;plasma membrane"	"structural constituent of cytoskeleton"
"P25445-1,P25445-6"	"P25445-[1,6]"	"TNR6_HUMAN"	"Tumor necrosis factor receptor superfamily member 6"	"FAS"	8	14	0.0026007812820287	0	8	0	14	0	0	0	"regulation of extrinsic apoptotic signaling pathway in absence of ligand;neuron apoptotic process;transformed cell apoptotic process;positive regulation of protein homooligomerization;B cell mediated immunity;positive regulation of necrotic cell death;response to toxic substance;cellular response to mechanical stimulus;negative thymic T cell selection;regulation of myeloid cell differentiation;protein homooligomerization;inflammatory cell apoptotic process;cellular response to lithium ion;spleen development;cellular response to hyperoxia;negative regulation of B cell activation;protein complex assembly;response to glucocorticoid stimulus;gene expression;activation of cysteine-type endopeptidase activity involved in apoptotic process;immunoglobulin production;apoptotic signaling pathway;regulation of lymphocyte differentiation;renal system process;positive regulation of apoptotic process;negative regulation of apoptotic process;extrinsic apoptotic signaling pathway via death domain receptors;activation-induced cell death of T cells"	"cytosol;CD95 death-inducing signaling complex;external side of plasma membrane;integral to membrane;nucleus;membrane raft;extracellular region"	"signal transducer activity;transmembrane signaling receptor activity;receptor activity"
"Q99808"	"Q99808"	"S29A1_HUMAN"	"Equilibrative nucleoside transporter 1"	"SLC29A1"	8	18	0.00491313005345646	0	8	0	18	0	0.00877220499680308	0	"uridine transport;nucleobase-containing compound metabolic process;lactation;sleep;cellular response to glucose stimulus;regulation of excitatory postsynaptic membrane potential;cellular response to hypoxia;nucleoside transport"	"apical plasma membrane;integral to plasma membrane;basolateral plasma membrane"	"nucleoside transmembrane transporter activity"
"Q9Y666-1"	"Q9Y666-1"	"S12A7_HUMAN"	"Solute carrier family 12 member 7"	"SLC12A7"	8	12	0.00137912422553164	0	8	0	12	0	0	0	"potassium ion transport;cell volume homeostasis"	"integral to plasma membrane"	"potassium:chloride symporter activity"
"P04406"	"P04406"	"G3P_HUMAN"	"Glyceraldehyde-3-phosphate dehydrogenase"	"GAPDH"	7	21	0.00780234384608609	4	6	11	10	0.0261441141686156	0.00663370726126402	0	"glycolysis;cellular response to interferon-gamma;microtubule cytoskeleton organization;peptidyl-cysteine S-trans-nitrosylation;small molecule metabolic process;neuron apoptotic process;gluconeogenesis;protein stabilization;negative regulation of translation"	"cytosol;extracellular vesicular exosome;ribonucleoprotein complex;perinuclear region of cytoplasm;lipid particle;nucleus;plasma membrane;microtubule cytoskeleton"	"NAD binding;microtubule binding;NADP binding;peptidyl-cysteine S-nitrosylase activity;glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"
"P05107"	"P05107"	"ITB2_HUMAN"	"Integrin beta-2"	"ITGB2"	8	16	0.00258966889683704	0	8	0	16	0	0.00462375434595256	0	"leukocyte cell-cell adhesion;blood coagulation;cell-matrix adhesion;regulation of peptidyl-tyrosine phosphorylation;multicellular organismal development;cell-cell signaling;toll-like receptor 4 signaling pathway;inflammatory response;integrin-mediated signaling pathway;apoptotic process;neutrophil chemotaxis;innate immune response;regulation of cell shape"	"integrin complex"	"receptor activity;metal ion binding"
"P06733-1"	"P06733-1"	"ENOA_HUMAN"	"Alpha-enolase"	"ENO1"	24	47	0.0134790326812185	3	24	3	44	0	0	0	"transcription;negative regulation of transcription from RNA polymerase II promoter;small molecule metabolic process;negative regulation of cell growth;glycolysis;response to virus;gluconeogenesis"	"nucleus;cytosol;extracellular vesicular exosome;M band;phosphopyruvate hydratase complex;plasma membrane"	"sequence-specific DNA binding transcription factor activity;phosphopyruvate hydratase activity;transcription corepressor activity;magnesium ion binding;DNA binding"
"P45880-1,P45880-2,P45880-3"	"P45880-[1-3]"	"VDAC2_HUMAN"	"Voltage-dependent anion-selective channel protein 2"	"VDAC2"	7	10	0.00141117870016134	0	7	0	10	0	0	0	"negative regulation of intrinsic apoptotic signaling pathway;negative regulation of protein polymerization"	"mitochondrial nucleoid;pore complex;mitochondrial outer membrane;mitochondrial inner membrane"	"voltage-gated anion channel activity;nucleotide binding;porin activity"
"P50895"	"P50895"	"BCAM_HUMAN"	"Basal cell adhesion molecule"	"BCAM"	7	11	0.00218013626575881	0	7	0	11	0	0.00389254956333725	0	"cell-matrix adhesion"	"integral to plasma membrane;external side of plasma membrane"	"laminin receptor activity;laminin binding;transmembrane signaling receptor activity"
"P54709"	"P54709"	"AT1B3_HUMAN"	"Sodium/potassium-transporting ATPase subunit beta-3"	"ATP1B3"	7	15	0.00669171835237798	0	7	0	15	0	0.0119478060888357	0	"leukocyte migration;blood coagulation"	"melanosome;caveola;sodium:potassium-exchanging ATPase complex"	"sodium:potassium-exchanging ATPase activity"
"P61978-1,P61978-2,P61978-3"	"P61978-[1-3]"	"HNRPK_HUMAN"	"Heterogeneous nuclear ribonucleoprotein K"	"HNRNPK"	7	9	0.000806474911582487	0	7	0	9	0	0	0	"regulation of low-density lipoprotein particle clearance;positive regulation of receptor-mediated endocytosis;modulation by virus of host morphology or physiology;mRNA splicing;regulation of apoptotic process;regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter;positive regulation of low-density lipoprotein particle receptor biosynthetic process;signal transduction"	"cell projection;cell junction;podosome;catalytic step 2 spliceosome;cytoplasm;nuclear chromatin;nucleoplasm"	"RNA binding;RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription;RNA polymerase II core promoter proximal region sequence-specific DNA binding;single-stranded DNA binding"
"P83731"	"P83731"	"RL24_HUMAN"	"60S ribosomal protein L24"	"RPL24"	7	17	0.013477206006509	3	6	5	12	0.0253569144368449	0.0169856708218353	0	"SRP-dependent cotranslational protein targeting to membrane;translational initiation;translational termination;nuclear-transcribed mRNA catabolic process;translational elongation;viral transcription"	"cytosolic large ribosomal subunit"	"structural constituent of ribosome;RNA binding"
"P98172"	"P98172"	"EFNB1_HUMAN"	"Ephrin-B1"	"EFNB1"	7	8	0.00287782569605157	0	7	0	8	0	0.00513824724282878	0	"neural crest cell migration;embryonic pattern specification;axon guidance;positive regulation of T cell proliferation;cell-cell signaling;cell adhesion"	"synapse;cytoplasm;membrane raft;integral to plasma membrane;nucleus"	"ephrin receptor binding"
