"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5396";"Peptide.Count.P5455";"Spectra.Count.P5396";"Spectra.Count.P5455";"DNSAF.P5396";"DNSAF.P5455";"Unspecific.Spectra.Count";"Go.Cc"
"40";40;"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";7;21;"0.00780234384608609";4;6;11;10;"0.0261441141686156";"0.00663370726126402";0;"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane"
"41";41;"P04439";"P04439,P13746-1,P13746-2,P16188";"1A03_HUMAN, 1A11_HUMAN, 1A30_HUMAN";"HLA class I histocompatibility antigen, A-11 alpha chain, HLA class I histocompatibility antigen, A-3 alpha chain, HLA class I histocompatibility antigen, A-30 alpha chain";"HLA-A";0;0;"0";0;0;0;0;"0";"0";15;"MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, early endosome membrane, integral component of plasma membrane, ER to Golgi transport vesicle membrane, Golgi membrane"
"44";44;"P04920";"P04920-1,P04920-2";"B3A2_HUMAN";"Anion exchange protein 2";"SLC4A2";1;1;"5.0147446154001E-5";0;1;0;1;"0";"0";0;"plasma membrane, integral component of membrane, basolateral plasma membrane"
"45";45;"P05023";"P05023-1";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";31;50;"0.00608338032034362";0;31;0;50;"0";"0";0;"T-tubule, endoplasmic reticulum, basolateral plasma membrane, melanosome, endosome, Golgi apparatus, sodium:potassium-exchanging ATPase complex, caveola, extracellular vesicular exosome"
"46";46;"P05026";"P05026-1,P05026-2";"AT1B1_HUMAN";"Sodium/potassium-transporting ATPase subunit beta-1";"ATP1B1";3;6;"0.00123233625103198";0;3;0;6;"0";"0";0;"apical plasma membrane, caveola, sodium:potassium-exchanging ATPase complex, extracellular vesicular exosome, basolateral plasma membrane"
"48";48;"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";1;2;"0.00438554561818597";0;1;0;2;"0";"0.00783022325217993";17;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane"
"51";51;"P05362";"P05362";"ICAM1_HUMAN";"Intercellular adhesion molecule 1";"ICAM1";9;15;"0.00350937860961176";0;9;0;15;"0";"0.0062658607120022";0;"extracellular vesicular exosome, external side of plasma membrane, immunological synapse, integral component of plasma membrane, extracellular space"
"52";52;"P05556";"P05556-1";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";14;38;"0.00592695054067764";0;14;0;38;"0";"0";0;"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface"
"57";57;"P06733";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";24;47;"0.0134790326812185";3;24;3;44;"0";"0";0;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space"
"61";61;"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";2;6;"0.00738666234613507";1;2;2;4;"0.0125528148495912";"0.00905934323844018";35;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen"
"63";63;"P07900";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";5;7;"0.00109106090895671";3;3;4;3;"0";"0";20;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane"
"64";64;"P08069";"P08069";"IGF1R_HUMAN";"Insulin-like growth factor 1 receptor";"IGF1R";4;5;"5.28092593895052E-4";0;4;0;5;"0";"9.42889042328895E-4";4;"neuron projection, intracellular membrane-bounded organelle, integral component of plasma membrane, caveola, receptor complex"
"66";66;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";31;118;"0.00582816803166634";1;31;1;117;"0";"0";0;"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane"
"67";67;"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";8;17;"0.00561213023361366";2;8;2;15;"0.00366577860643154";"0.00913530950951825";22;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body"
"68";68;"P08575";"P08575-1,P08575-2";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";51;242;"0.0115493721808757";0;51;0;242;"0";"0";0;"integral component of plasma membrane, membrane raft, extracellular vesicular exosome, focal adhesion, external side of plasma membrane"
"69";69;"P08648";"P08648";"ITA5_HUMAN";"Integrin alpha-5";"ITGA5";13;27;"0.00320360434372185";0;13;0;27;"0";"0.00571991250506512";0;"synapse, alphav-beta3 integrin-vitronectin complex, ruffle, cytoplasm, external side of plasma membrane, integrin complex"
"71";71;"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";2;2;"0.0016884917237977";0;2;0;2;"0";"0.00301473711776437";2;"nucleoplasm, condensed chromosome, cell surface, extracellular space"
"72";72;"P10319";"P10319";"1B58_HUMAN";"HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";0;0;"0";0;0;0;0;"0";"0";13;"phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, cell surface"
"73";73;"P10321";"P10321";"1C07_HUMAN";"HLA class I histocompatibility antigen, Cw-7 alpha chain";"HLA-C";0;0;"0";0;0;0;0;"0";"0";17;"integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, extracellular vesicular exosome, cell surface, MHC class I protein complex, Golgi membrane, ER to Golgi transport vesicle membrane, early endosome membrane"
"75";75;"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";21;45;"0.00977481371891862";6;20;10;35;"0.0138954120997719";"0.0135742090119233";0;"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol"
"76";76;"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";15;25;"0.00544956394154319";1;15;1;24;"0.0021913957247255";"0.00892391943599831";10;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus"
"77";77;"P11142";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";22;43;"0.0117038829187248";2;22;4;39;"0";"0";22;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle"
"78";78;"P11166";"P11166";"GTR1_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 1";"SLC2A1";5;10;"0.00252979596248436";0;5;0;10;"0";"0.00451685352138912";0;"caveola, integral component of membrane, basolateral plasma membrane, female pronucleus, plasma membrane, blood microparticle, extracellular vesicular exosome, midbody, melanosome, cell-cell junction, cortical actin cytoskeleton"
"79";79;"P11169";"P11169";"GTR3_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A3";5;9;"0.00225845494392757";0;5;0;9;"0";"0.00403238455498206";0;"integral component of membrane, extracellular vesicular exosome, plasma membrane"
"84";84;"P12821";"P12821-1,P12821-2";"ACE_HUMAN";"Angiotensin-converting enzyme";"ACE";4;4;"1.90606372671103E-4";0;4;0;4;"0";"0";0;"external side of plasma membrane, endosome, extracellular space, extracellular vesicular exosome, plasma membrane, integral component of membrane"
"85";85;"P13598";"P13598";"ICAM2_HUMAN";"Intercellular adhesion molecule 2";"ICAM2";3;6;"0.00271562097500139";0;3;0;6;"0";"0.00484863694368752";0;"uropod, integral component of plasma membrane"
"86";86;"P13612";"P13612";"ITA4_HUMAN";"Integrin alpha-4";"ITGA4";13;23;"0.00277395068909622";0;13;0;23;"0";"0.00495278240775575";0;"extracellular vesicular exosome, integrin complex, plasma membrane, external side of plasma membrane, cell surface"
"90";90;"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";8;15;"0.00507342275648452";1;7;1;14;"0.00348621758655718";"0.00721629706822347";16;"keratin filament, cytosol, plasma membrane, extracellular vesicular exosome, mitochondrion"
"91";91;"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";6;8;"0.00158808244152128";0;6;0;8;"0";"0.00283546020098686";0;"extracellular vesicular exosome, actin filament, actin filament bundle, ruffle membrane, phagocytic cup, plasma membrane, filopodium, focal adhesion, cytosol, ruffle, extracellular space"
"92";92;"P14209";"P14209-1";"CD99_HUMAN";"CD99 antigen";"CD99";2;4;"0.00269115592117255";0;2;0;4;"0";"0";0;"integral component of plasma membrane, cytoplasm"
"93";93;"P14618";"P14618-1";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";19;37;"0.00867276943522886";8;17;11;26;"0";"0";0;"cytosol, mitochondrion, plasma membrane, nucleus, extracellular vesicular exosome, cilium"
"94";94;"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";4;6;"0.00101087737306484";0;4;0;6;"0";"0.00181863420914568";2;"cytosol, melanosome, midbody, extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum membrane, endocytic vesicle lumen, endoplasmic reticulum lumen, plasma membrane"
"95";95;"P15144";"P15144";"AMPN_HUMAN";"Aminopeptidase N";"ANPEP";14;23;"0.0029604106630272";0;14;0;23;"0";"0.00528569952926984";0;"external side of plasma membrane, cytosol, endoplasmic reticulum-Golgi intermediate compartment, extracellular vesicular exosome, integral component of plasma membrane, lysosomal membrane"
"96";96;"P15151";"P15151-1,P15151-2,P15151-3";"PVR_HUMAN";"Poliovirus receptor";"PVR";6;10;"9.94931745437493E-4";0;6;0;10;"0";"0";0;"plasma membrane, extracellular space, cell surface, cytoplasm, nucleus, integral component of membrane, cell junction"
"97";97;"P15529";"P15529-1,P15529-10,P15529-11,P15529-12,P15529-13,P15529-14,P15529-15";"MCP_HUMAN";"Membrane cofactor protein";"CD46";1;2;"1.5119771787443E-4";0;1;0;2;"0";"0";2;"extracellular vesicular exosome, integral component of plasma membrane, inner acrosomal membrane, cell surface, Golgi apparatus, basolateral plasma membrane"
"98";98;"P15529";"P15529-16,P15529-2,P15529-3,P15529-4,P15529-5,P15529-6,P15529-7";"MCP_HUMAN";"Membrane cofactor protein";"CD46";1;1;"7.55988589372148E-5";0;1;0;1;"0";"0";2;"extracellular vesicular exosome, integral component of plasma membrane, inner acrosomal membrane, cell surface, Golgi apparatus, basolateral plasma membrane"
"100";100;"P16070";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"CD44_HUMAN";"CD44 antigen";"CD44";10;87;"9.72914522715009E-4";0;10;0;87;"0";"0";0;"extracellular vesicular exosome, integral component of plasma membrane, basolateral plasma membrane, external side of plasma membrane, cell surface"
"101";101;"P16150";"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";9;63;"0.0196033889132913";2;9;4;59;"0.00796207113316931";"0.0327788060047209";0;"integral component of plasma membrane, uropod, cell surface, basement membrane, extracellular space, external side of plasma membrane, extracellular vesicular exosome"
"102";102;"P16189";"P16189,P30459";"1A31_HUMAN, 1A74_HUMAN";"HLA class I histocompatibility antigen, A-31 alpha chain, HLA class I histocompatibility antigen, A-74 alpha chain";"HLA-A";0;0;"0";0;0;0;0;"0";"0";25;"MHC class I protein complex, ER to Golgi transport vesicle membrane, plasma membrane, early endosome membrane, Golgi membrane, phagocytic vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane"
"103";103;"P16284";"P16284-1,P16284-2,P16284-3,P16284-6";"PECA1_HUMAN";"Platelet endothelial cell adhesion molecule";"PECAM1";11;17;"7.16775522703902E-4";0;11;0;17;"0";"0";0;"cell junction, extracellular space, extracellular vesicular exosome, integral component of membrane, plasma membrane, platelet alpha granule membrane"
"105";105;"P16615";"P16615-1,P16615-2,P16615-3,P16615-5";"AT2A2_HUMAN";"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2";"ATP2A2";6;10;"2.98622747970802E-4";0;6;0;10;"0";"0";0;"platelet dense tubular network membrane, integral component of plasma membrane, sarcoplasmic reticulum membrane"
"108";108;"P17301";"P17301";"ITA2_HUMAN";"Integrin alpha-2";"ITGA2";13;24;"0.002529367546572";0;13;0;24;"0";"0.00451608860123309";0;"integrin complex, external side of plasma membrane, perinuclear region of cytoplasm, basal part of cell, axon terminus, cell surface, cell outer membrane, focal adhesion, nucleus"
"109";109;"P17342";"P17342-1,P17342-2";"ANPRC_HUMAN";"Atrial natriuretic peptide receptor 3";"NPR3";2;2;"2.30066472004123E-4";0;2;0;2;"0";"0";0;"integral component of plasma membrane"
"110";110;"P17813";"P17813-1";"EGLN_HUMAN";"Endoglin";"ENG";9;20;"0.00378315991958147";0;9;0;20;"0";"0";0;"endothelial microparticle, extracellular space, external side of plasma membrane, transforming growth factor beta receptor homodimeric complex, cytoplasm, nucleus, cell surface"
"111";111;"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";2;2;"4.47719285446872E-4";0;2;0;2;"0";"7.9938558723865E-4";0;"cell body, plasma membrane, Golgi apparatus, chaperonin-containing T-complex, extracellular vesicular exosome, nuclear heterochromatin, nucleus, microtubule, zona pellucida receptor complex, cytosol, cell junction, centrosome, acrosomal vesicle, pericentriolar material"
"112";112;"P18433";"P18433-1,P18433-2,P18433-3,P18433-4";"PTPRA_HUMAN";"Receptor-type tyrosine-protein phosphatase alpha";"PTPRA";26;59;"0.00228911836655224";0;26;0;59;"0";"0";0;"integral component of plasma membrane, receptor complex, extracellular vesicular exosome"
"113";113;"P18464";"P18464,P30490,P30498";"1B51_HUMAN, 1B52_HUMAN, 1B78_HUMAN";"HLA class I histocompatibility antigen, B-51 alpha chain, HLA class I histocompatibility antigen, B-52 alpha chain, HLA class I histocompatibility antigen, B-78 alpha chain";"HLA-B";0;0;"0";0;0;0;0;"0";"0";10;"cell surface, Golgi membrane, ER to Golgi transport vesicle membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, early endosome membrane, phagocytic vesicle membrane"
"114";114;"P18465";"P18465";"1B57_HUMAN";"HLA class I histocompatibility antigen, B-57 alpha chain";"HLA-B";0;0;"0";0;0;0;0;"0";"0";17;"ER to Golgi transport vesicle membrane, phagocytic vesicle membrane, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane, cell surface, MHC class I protein complex"
"117";117;"P19256";"P19256-1,P19256-2,P19256-3";"LFA3_HUMAN";"Lymphocyte function-associated antigen 3";"CD58";2;4;"6.63818460555896E-4";0;2;0;4;"0";"0";0;"extracellular vesicular exosome, anchored component of membrane, integral component of plasma membrane"
"119";119;"P19440";"P19440-1";"GGT1_HUMAN";"Gamma-glutamyltranspeptidase 1";"GGT1";3;3;"6.5623529712248E-4";0;3;0;3;"0";"0";0;"integral component of membrane, anchored component of external side of plasma membrane, extracellular vesicular exosome"
"120";120;"P20039";"P20039";"2B1B_HUMAN";"HLA class II histocompatibility antigen, DRB1-11 beta chain";"HLA-DRB1";0;0;"0";0;0;0;0;"0";"0";6;"integral component of plasma membrane, lysosomal membrane, MHC class II protein complex, trans-Golgi network membrane, clathrin-coated endocytic vesicle membrane, Golgi membrane, late endosome membrane, ER to Golgi transport vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane"
"122";122;"P20701";"P20701-1,P20701-2,P20701-3";"ITAL_HUMAN";"Integrin alpha-L";"ITGAL";22;43;"0.00152479667755895";0;22;0;43;"0";"0";0;"integrin complex, immunological synapse, extracellular vesicular exosome, external side of plasma membrane"
"123";123;"P21796";"P21796";"VDAC1_HUMAN";"Voltage-dependent anion-selective channel protein 1";"VDAC1";1;1;"8.79618101443325E-4";0;1;0;1;"0";"0.00157052433393883";3;"mitochondrial outer membrane, mitochondrial inner membrane, pore complex, extracellular vesicular exosome, mitochondrial nucleoid, plasma membrane"
"126";126;"P23229";"P23229-1,P23229-2,P23229-3,P23229-4,P23229-5,P23229-6,P23229-9";"ITA6_HUMAN";"Integrin alpha-6";"ITGA6";2;2;"3.1470533844306E-5";0;2;0;2;"0";"0";0;"external side of plasma membrane, basal plasma membrane, filopodium, plasma membrane, hemidesmosome, basement membrane, alpha6-beta4 integrin complex, cell-cell adherens junction"
"127";127;"P23470";"P23470-1,P23470-2";"PTPRG_HUMAN";"Receptor-type tyrosine-protein phosphatase gamma";"PTPRG";6;9;"3.8761026027269E-4";0;6;0;9;"0";"0";0;"extracellular space, integral component of plasma membrane"
"132";132;"P25116";"P25116";"PAR1_HUMAN";"Proteinase-activated receptor 1";"F2R";2;2;"5.85722171078731E-4";0;2;0;2;"0";"0.00104578443883456";0;"caveola, platelet dense tubular network, Golgi apparatus, postsynaptic membrane, integral component of plasma membrane, neuromuscular junction, extracellular region"
"133";133;"P25445";"P25445-1,P25445-6";"TNR6_HUMAN";"Tumor necrosis factor receptor superfamily member 6";"FAS";8;14;"0.0026007812820287";0;8;0;14;"0";"0";0;"integral component of membrane, CD95 death-inducing signaling complex, extracellular vesicular exosome, membrane raft, cytosol, nucleus, cell surface, external side of plasma membrane"
"134";134;"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";3;5;"0.00112537035582487";0;3;0;5;"0";"0.00200930554477708";0;"mitochondrial matrix, plasma membrane, mitochondrial proton-transporting ATP synthase complex, proton-transporting ATP synthase complex, catalytic core F(1), extracellular vesicular exosome"
"135";135;"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";16;23;"0.0049613814751253";7;11;10;13;"0.0137990834197042";"0.00500689690169928";0;"apical plasma membrane, apical part of cell, basolateral plasma membrane, filopodium, microvillus membrane, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleolus, uropod, extrinsic component of membrane, plasma membrane, microvillus, blood microparticle"
"139";139;"P27105";"P27105-1";"STOM_HUMAN";"Erythrocyte band 7 integral membrane protein";"STOM";2;4;"0.00172869390769764";0;2;0;4;"0";"0";0;"extracellular vesicular exosome, blood microparticle, melanosome, integral component of plasma membrane, cytoskeleton, cytoplasm, membrane raft"
"141";141;"P27487";"P27487";"DPP4_HUMAN";"Dipeptidyl peptidase 4";"DPP4";20;40;"0.00649952800805381";0;20;0;40;"0";"0.0116046576110885";0;"integral component of membrane, intercellular canaliculus, membrane raft, lamellipodium, endocytic vesicle, lysosomal membrane, lamellipodium membrane, apical plasma membrane, invadopodium membrane, cell surface, extracellular vesicular exosome"
"143";143;"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";1;1;"2.98479523631248E-4";0;1;0;1;"0";"5.32923724825767E-4";0;"endocytic vesicle lumen, acrosomal vesicle, nucleus, cytosol, extracellular space, endoplasmic reticulum lumen, perinuclear region of cytoplasm, Golgi apparatus, external side of plasma membrane, sarcoplasmic reticulum lumen, proteinaceous extracellular matrix, polysome, MHC class I peptide loading complex, extracellular vesicular exosome, cell surface, integral component of lumenal side of endoplasmic reticulum membrane"
