"";"Protein.Acs";"X.1";"X";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5396";"Peptide.Count.P5455";"Spectra.Count.P5396";"Spectra.Count.P5455";"DNSAF.P5396";"DNSAF.P5455";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc";"Go.Mf"
"12";"P00338";21;21;"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";8;13;"0.0029242002968765";3;6;3;10;"0";"0";4;"extracellular vesicular exosome, cilium, mitochondrion, cytosol";0,0028546332894159;"protein binding, L-lactate dehydrogenase activity"
"13";"P00558";22;22;"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";18;42;"0.0125361399925124";8;16;14;28;"0.0267311740681943";"0.0149218642951215";0;"extracellular vesicular exosome, cytosol";0,00922266139657444;"protein binding, phosphoglycerate kinase activity, ATP binding"
"14";"P00813";23;23;"P00813";"ADA_HUMAN";"Adenosine deaminase";"ADA";8;19;"0.00651474728851344";0;8;0;19;"0";"0.0116318310517756";0;"external side of plasma membrane, cytosol, dendrite cytoplasm, cell junction, lysosome, cytoplasmic membrane-bounded vesicle lumen, extracellular space, neuronal cell body";0,00417215634606939;"zinc ion binding, adenosine deaminase activity, protein binding, purine nucleoside binding"
"15";"P01889";24;24;"P01889";"1B07_HUMAN";"HLA class I histocompatibility antigen, B-7 alpha chain";"HLA-B";0;0;"0";0;0;0;0;"0";"0";17;"integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, MHC class I protein complex, Golgi membrane, cell surface, phagocytic vesicle membrane, extracellular vesicular exosome, integral component of plasma membrane, early endosome membrane";0;"receptor binding, peptide antigen binding"
"16";"P01892";25;25;"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";2;12;"0.0142246812976263";0;2;0;12;"0";"0.0253976220859823";30;"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex";0,00263504611330698;"T cell receptor binding, receptor binding, protein binding, peptide antigen binding, poly(A) RNA binding, beta-2-microglobulin binding, TAP binding"
"17";"P01903";26;26;"P01903";"DRA_HUMAN";"HLA class II histocompatibility antigen, DR alpha chain";"HLA-DRA";2;2;"9.8004693979709E-4";0;2;0;2;"0";"0.0017498361673413";0;"extracellular vesicular exosome, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, integral component of plasma membrane, trans-Golgi network membrane, late endosome membrane, MHC class II protein complex, lysosomal membrane, Golgi membrane, clathrin-coated endocytic vesicle membrane";0,00043917435221783;"peptide antigen binding, MHC class II receptor activity, MHC class II protein complex binding"
"18";"P01911";27;27;"P01911";"2B1F_HUMAN";"HLA class II histocompatibility antigen, DRB1-15 beta chain";"HLA-DRB1";0;0;"0";0;0;0;0;"0";"0";4;"late endosome membrane, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, plasma membrane, MHC class II protein complex, clathrin-coated endocytic vesicle membrane, trans-Golgi network membrane, lysosomal membrane, extracellular vesicular exosome";0;"MHC class II protein complex binding, peptide antigen binding"
"19";"P01912";28;28;"P01912,Q5Y7A7";"2B13_HUMAN, 2B1D_HUMAN";"HLA class II histocompatibility antigen, DRB1-13 beta chain, HLA class II histocompatibility antigen, DRB1-3 chain";"HLA-DRB1";1;2;"0.00163771001781882";0;1;0;2;"0";"0.00292406833226769";5;"ER to Golgi transport vesicle membrane, trans-Golgi network membrane, MHC class II protein complex, plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane, late endosome membrane, lysosomal membrane, clathrin-coated endocytic vesicle membrane";0,00043917435221783;"peptide antigen binding"
"20";"P02533";30;30;"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";2;5;"0.00304715323065653";1;2;2;3;"0.00724933560296123";"0.00348905780663806";27;"keratin filament, cell periphery, cytosol, extracellular vesicular exosome, nucleus";0,00109793588054458;"structural constituent of cytoskeleton, keratin filament binding, protein binding"
"21";"P02538";31;31;"P02538";"K2C6A_HUMAN";"Keratin, type II cytoskeletal 6A";"KRT6A";2;3;"0.00269260582726782";2;1;2;1;"0.01212340991566";"0.00214449214747932";29;"extracellular vesicular exosome, keratin filament, intermediate filament";0,000658761528326746;"protein binding, structural constituent of cytoskeleton"
"22";"P02765";32;32;"P02765";"FETUA_HUMAN";"Alpha-2-HS-glycoprotein";"AHSG";3;12;"0.00406973170640535";0;3;0;12;"0";"0.00726634964312844";0;"blood microparticle, extracellular vesicular exosome";0,00263504611330698;"kinase inhibitor activity, cysteine-type endopeptidase inhibitor activity"
"23";"P02786";33;33;"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";22;44;"0.00720592407840281";0;22;0;44;"0";"0.0128659006619779";0;"extracellular vesicular exosome, blood microparticle, integral component of plasma membrane, endosome, external side of plasma membrane, coated pit, perinuclear region of cytoplasm, cytoplasmic membrane-bounded vesicle, melanosome";0,00966183574879227;"identical protein binding, transferrin receptor activity, poly(A) RNA binding, double-stranded RNA binding, peptidase activity, protein binding"
"24";"P03989";34;34;"P03989";"1B27_HUMAN";"HLA class I histocompatibility antigen, B-27 alpha chain";"HLA-B";0;0;"0";0;0;0;0;"0";"0";16;"ER to Golgi transport vesicle membrane, cell surface, phagocytic vesicle membrane, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex, Golgi membrane, extracellular vesicular exosome";0;"peptide antigen binding"
"25";"P04075";35;35;"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";14;23;"0.00786460744820687";0;14;0;23;"0";"0.0140419545186921";0;"extracellular space, extracellular vesicular exosome, I band, actin cytoskeleton, cytosol, platelet alpha granule lumen";0,00505050505050505;"actin binding, protein binding, tubulin binding, fructose-bisphosphate aldolase activity, identical protein binding, fructose binding, poly(A) RNA binding, cytoskeletal protein binding"
"26";"P04222";36;36;"P04222";"1C03_HUMAN";"HLA class I histocompatibility antigen, Cw-3 alpha chain";"HLA-C";0;0;"0";0;0;0;0;"0";"0";11;"phagocytic vesicle membrane, early endosome membrane, Golgi membrane, cell surface, ER to Golgi transport vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex";0;"peptide antigen binding, TAP binding, receptor binding"
"27";"P04229";37;37;"P04229,Q29974,Q30134";"2B11_HUMAN, 2B18_HUMAN, 2B1G_HUMAN";"HLA class II histocompatibility antigen, DRB1-1 beta chain, HLA class II histocompatibility antigen, DRB1-16 beta chain, HLA class II histocompatibility antigen, DRB1-8 beta chain";"HLA-DRB1";0;0;"0";0;0;0;0;"0";"0";5;"integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, late endosome membrane, external side of plasma membrane, clathrin-coated endocytic vesicle membrane, trans-Golgi network membrane, Golgi membrane, MHC class II protein complex, extracellular vesicular exosome, lysosomal membrane";0;"peptide antigen binding, MHC class II protein complex binding"
"28";"P04259";38;38;"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";0;0;"0";0;0;0;0;"0";"0";36;"keratin filament, extracellular vesicular exosome";0;"structural constituent of cytoskeleton"
"29";"P04264";39;39;"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";25;142;"0.0345289187404925";18;23;90;52;"0.146258629482291";"0.0208975291591065";43;"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle";0,031181379007466;"protein binding, structural molecule activity, receptor activity, carbohydrate binding"
"30";"P04406";40;40;"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";7;21;"0.00780234384608609";4;6;11;10;"0.0261441141686156";"0.00663370726126402";0;"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane";0,00461133069828722;"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity, NAD binding, peptidyl-cysteine S-nitrosylase activity, identical protein binding, protein binding, microtubule binding, NADP binding"
"31";"P04439";41;41;"P04439,P13746-1,P13746-2,P16188";"1A03_HUMAN, 1A11_HUMAN, 1A30_HUMAN";"HLA class I histocompatibility antigen, A-11 alpha chain, HLA class I histocompatibility antigen, A-3 alpha chain, HLA class I histocompatibility antigen, A-30 alpha chain";"HLA-A";0;0;"0";0;0;0;0;"0";"0";15;"MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, early endosome membrane, integral component of plasma membrane, ER to Golgi transport vesicle membrane, Golgi membrane";0;"TAP binding, receptor binding, beta-2-microglobulin binding, peptide antigen binding"
"32";"P04899";43;43;"P04899-1,P04899-4";"GNAI2_HUMAN";"Guanine nucleotide-binding protein G(i) subunit alpha-2";"GNAI2";2;3;"9.99233774252273E-4";0;2;0;3;"0";"0";4;"centrosome, midbody, cytosol, extracellular vesicular exosome, cytoplasm, heterotrimeric G-protein complex, membrane raft, nucleus";0,000658761528326746;"GTP binding, signal transducer activity, metal ion binding, G-protein coupled receptor binding, G-protein beta/gamma-subunit complex binding, GTPase activity, protein binding"
"33";"P04920";44;44;"P04920-1,P04920-2";"B3A2_HUMAN";"Anion exchange protein 2";"SLC4A2";1;1;"5.0147446154001E-5";0;1;0;1;"0";"0";0;"plasma membrane, integral component of membrane, basolateral plasma membrane";0,000219587176108915;"anion transmembrane transporter activity, inorganic anion exchanger activity, chloride transmembrane transporter activity"
"34";"P05023";45;45;"P05023-1";"AT1A1_HUMAN";"Sodium/potassium-transporting ATPase subunit alpha-1";"ATP1A1";31;50;"0.00608338032034362";0;31;0;50;"0";"0";0;"T-tubule, endoplasmic reticulum, basolateral plasma membrane, melanosome, endosome, Golgi apparatus, sodium:potassium-exchanging ATPase complex, caveola, extracellular vesicular exosome";0,0109793588054458;"ADP binding, ATP binding, potassium ion binding, protein binding, sodium ion binding, sodium:potassium-exchanging ATPase activity, chaperone binding"
"35";"P05026";46;46;"P05026-1,P05026-2";"AT1B1_HUMAN";"Sodium/potassium-transporting ATPase subunit beta-1";"ATP1B1";3;6;"0.00123233625103198";0;3;0;6;"0";"0";0;"apical plasma membrane, caveola, sodium:potassium-exchanging ATPase complex, extracellular vesicular exosome, basolateral plasma membrane";0,00131752305665349;"protein binding, sodium:potassium-exchanging ATPase activity, MHC class II protein complex binding"
"36";"P05107";47;47;"P05107";"ITB2_HUMAN";"Integrin beta-2";"ITGB2";8;16;"0.00258966889683704";0;8;0;16;"0";"0.00462375434595256";0;"extracellular vesicular exosome, integrin complex";0,00351339481774264;"metal ion binding, protein binding, glycoprotein binding, receptor activity, protein kinase binding"
"37";"P05141";48;48;"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";1;2;"0.00438554561818597";0;1;0;2;"0";"0.00783022325217993";17;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane";0,00043917435221783;"protein binding, poly(A) RNA binding, adenine transmembrane transporter activity"
"38";"P05362";51;51;"P05362";"ICAM1_HUMAN";"Intercellular adhesion molecule 1";"ICAM1";9;15;"0.00350937860961176";0;9;0;15;"0";"0.0062658607120022";0;"extracellular vesicular exosome, external side of plasma membrane, immunological synapse, integral component of plasma membrane, extracellular space";0,00329380764163373;"transmembrane signaling receptor activity, receptor activity, protein binding, integrin binding, virus receptor activity"
"39";"P05556";52;52;"P05556-1";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";14;38;"0.00592695054067764";0;14;0;38;"0";"0";0;"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface";0,00834431269213878;"metal ion binding, protein heterodimerization activity, peptide binding, cell adhesion molecule binding, virus receptor activity, actin binding, protein binding"
"40";"P05787";53;53;"P05787";"K2C8_HUMAN";"Keratin, type II cytoskeletal 8";"KRT8";0;0;"0";0;0;0;0;"0";"0";10;"intermediate filament, nucleoplasm, keratin filament, Z disc, cytoplasm, nuclear matrix, sarcolemma, extracellular vesicular exosome, costamere, dystrophin-associated glycoprotein complex";0;"structural molecule activity, scaffold protein binding, protein binding"
"41";"P06213";54;54;"P06213-1,P06213-2";"INSR_HUMAN";"Insulin receptor";"INSR";13;20;"0.00104472152800946";0;13;0;20;"0";"0";4;"insulin receptor complex, endosome membrane, extracellular vesicular exosome, caveola";0,0043917435221783;"GTP binding, insulin-like growth factor II binding, PTB domain binding, insulin receptor substrate binding, insulin-like growth factor receptor binding, protein binding, insulin binding, insulin-activated receptor activity, receptor signaling protein tyrosine kinase activity, protein tyrosine kinase activity, SH2 domain binding, phosphatidylinositol 3-kinase binding, ATP binding, insulin-like growth factor I binding"
"42";"P06396";55;55;"P06396-1,P06396-2,P06396-3";"GELS_HUMAN";"Gelsolin";"GSN";2;2;"1.06109088963538E-4";0;2;0;2;"0";"0";0;"protein complex, blood microparticle, extracellular vesicular exosome, perinuclear region of cytoplasm, ruffle, lamellipodium, actin cytoskeleton, cytosol";0,00043917435221783;"calcium ion binding, protein binding"
"43";"P06733";57;57;"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";24;47;"0.0134790326812185";3;24;3;44;"0";"0";0;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space";0,010320597277119;"transcription corepressor activity, sequence-specific DNA binding transcription factor activity, phosphopyruvate hydratase activity, magnesium ion binding, DNA binding, protein binding, poly(A) RNA binding"
"44";"P07195";60;60;"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";4;7;"0.00313028166280101";2;4;2;5;"0.00667479017151918";"0.00377035557414158";4;"extracellular vesicular exosome, cytosol, mitochondrion";0,00153711023276241;"NAD binding, L-lactate dehydrogenase activity"
"45";"P07437";61;61;"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";2;6;"0.00738666234613507";1;2;2;4;"0.0125528148495912";"0.00905934323844018";35;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen";0,00131752305665349;"structural molecule activity, protein binding, GTP binding, MHC class I protein binding, structural constituent of cytoskeleton, GTPase activity"
"46";"P07737";62;62;"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";2;4;"0.00355617032440658";0;2;0;4;"0";"0.00634940552149557";0;"synapse, extracellular vesicular exosome, cytoplasm, blood microparticle, neuron projection, cytoskeleton, nucleus";0,000878348704435661;"protein binding, actin binding, proline-rich region binding, adenyl-nucleotide exchange factor activity, phosphatidylinositol-4,5-bisphosphate binding, poly(A) RNA binding"
"47";"P07900";63;63;"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";5;7;"0.00109106090895671";3;3;4;3;"0";"0";20;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane";0,00153711023276241;"MHC class II protein complex binding, nitric-oxide synthase regulator activity, protein homodimerization activity, TPR domain binding, ATP binding, ATPase activity, identical protein binding, poly(A) RNA binding, protein binding, nucleotide binding"
"48";"P08069";64;64;"P08069";"IGF1R_HUMAN";"Insulin-like growth factor 1 receptor";"IGF1R";4;5;"5.28092593895052E-4";0;4;0;5;"0";"9.42889042328895E-4";4;"neuron projection, intracellular membrane-bounded organelle, integral component of plasma membrane, caveola, receptor complex";0,00109793588054458;"protein tyrosine kinase activity, phosphatidylinositol 3-kinase binding, ATP binding, insulin binding, insulin receptor substrate binding, insulin-like growth factor binding, insulin receptor binding, insulin-like growth factor-activated receptor activity, protein binding, identical protein binding, insulin-like growth factor I binding"
"49";"P08107";65;65;"P08107-1";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";1;1;"0.00101678317352328";0;1;0;1;"0";"0";18;"blood microparticle, mitochondrion, ribonucleoprotein complex, perinuclear region of cytoplasm, endoplasmic reticulum, extracellular vesicular exosome, aggresome, cytosol, nuclear speck";0,000219587176108915;"ATPase activity, coupled, enzyme binding, protein binding, poly(A) RNA binding, ATPase activity, virus receptor activity, heat shock protein binding, protein N-terminus binding, ubiquitin protein ligase binding, unfolded protein binding, ATP binding, double-stranded RNA binding, protein binding involved in protein folding"
"50";"P08195";66;66;"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";31;118;"0.00582816803166634";1;31;1;117;"0";"0";0;"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane";0,025911286780852;"poly(A) RNA binding, double-stranded RNA binding, calcium:sodium antiporter activity, catalytic activity, neutral amino acid transmembrane transporter activity, protein binding, cation binding"
"51";"P08238";67;67;"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";8;17;"0.00561213023361366";2;8;2;15;"0.00366577860643154";"0.00913530950951825";22;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body";0,00373298199385156;"TPR domain binding, GTP binding, poly(A) RNA binding, dATP binding, CTP binding, MHC class II protein complex binding, ATP binding, nitric-oxide synthase regulator activity, UTP binding, double-stranded RNA binding, protein binding"
"52";"P08575";68;68;"P08575-1,P08575-2";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";51;242;"0.0115493721808757";0;51;0;242;"0";"0";0;"integral component of plasma membrane, membrane raft, extracellular vesicular exosome, focal adhesion, external side of plasma membrane";0,0531400966183575;"protein kinase binding, protein binding, transmembrane receptor protein tyrosine phosphatase activity, protein tyrosine phosphatase activity"
"53";"P08648";69;69;"P08648";"ITA5_HUMAN";"Integrin alpha-5";"ITGA5";13;27;"0.00320360434372185";0;13;0;27;"0";"0.00571991250506512";0;"synapse, alphav-beta3 integrin-vitronectin complex, ruffle, cytoplasm, external side of plasma membrane, integrin complex";0,00592885375494071;"metal ion binding, platelet-derived growth factor receptor binding, protein binding, vascular endothelial growth factor receptor 2 binding"
"54";"P08779";70;70;"P08779";"K1C16_HUMAN";"Keratin, type I cytoskeletal 16";"KRT16";4;5;"0.00304071104623654";3;1;3;2;"0.0108510139680688";"0.00232112090871482";27;"intermediate filament, extracellular vesicular exosome";0,00109793588054458;"protein binding, structural constituent of cytoskeleton"
"55";"P09429";71;71;"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";2;2;"0.0016884917237977";0;2;0;2;"0";"0.00301473711776437";2;"nucleoplasm, condensed chromosome, cell surface, extracellular space";0,00043917435221783;"single-stranded DNA binding, repressing transcription factor binding, double-stranded DNA binding, chemoattractant activity, protein binding, poly(A) RNA binding, RAGE receptor binding, DNA binding, bending, transcription factor binding, sequence-specific DNA binding transcription factor activity, damaged DNA binding, cytokine activity"
"56";"P10319";72;72;"P10319";"1B58_HUMAN";"HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";0;0;"0";0;0;0;0;"0";"0";13;"phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, cell surface";0;"peptide antigen binding"
"57";"P10321";73;73;"P10321";"1C07_HUMAN";"HLA class I histocompatibility antigen, Cw-7 alpha chain";"HLA-C";0;0;"0";0;0;0;0;"0";"0";17;"integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, extracellular vesicular exosome, cell surface, MHC class I protein complex, Golgi membrane, ER to Golgi transport vesicle membrane, early endosome membrane";0;"receptor binding, peptide antigen binding"
"58";"P10599";74;74;"P10599";"THIO_HUMAN";"Thioredoxin";"TXN";1;1;"0.00118539010813553";0;1;0;1;"0";"0.00211646850716519";0;"extracellular vesicular exosome, mitochondrion, nucleoplasm, cytosol";0,000219587176108915;"protein disulfide oxidoreductase activity, poly(A) RNA binding, protein binding, peptide disulfide oxidoreductase activity"
"59";"P10809";75;75;"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";21;45;"0.00977481371891862";6;20;10;35;"0.0138954120997719";"0.0135742090119233";0;"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol";0,00988142292490119;"double-stranded RNA binding, DNA replication origin binding, protein binding, ATPase activity, lipopolysaccharide binding, poly(A) RNA binding, ATP binding, chaperone binding, p53 binding, single-stranded DNA binding, unfolded protein binding"
"60";"P11021";76;76;"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";15;25;"0.00544956394154319";1;15;1;24;"0.0021913957247255";"0.00892391943599831";10;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus";0,00548967940272288;"calcium ion binding, ATPase activity, chaperone binding, glycoprotein binding, ATP binding, ribosome binding, enzyme binding, misfolded protein binding, protein domain specific binding, unfolded protein binding, ubiquitin protein ligase binding, protein binding"
"61";"P11142";77;77;"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";22;43;"0.0117038829187248";2;22;4;39;"0";"0";22;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle";0,00944224857268336;"heat shock protein binding, MHC class II protein complex binding, enzyme binding, ATP binding, unfolded protein binding, ATPase activity, coupled, protein binding, ATPase activity, poly(A) RNA binding"
"62";"P11166";78;78;"P11166";"GTR1_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 1";"SLC2A1";5;10;"0.00252979596248436";0;5;0;10;"0";"0.00451685352138912";0;"caveola, integral component of membrane, basolateral plasma membrane, female pronucleus, plasma membrane, blood microparticle, extracellular vesicular exosome, midbody, melanosome, cell-cell junction, cortical actin cytoskeleton";0,00219587176108915;"identical protein binding, xenobiotic transporter activity, protein self-association, glucose transmembrane transporter activity, D-glucose transmembrane transporter activity, dehydroascorbic acid transporter activity, protein binding"
"63";"P11169";79;79;"P11169";"GTR3_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 3";"SLC2A3";5;9;"0.00225845494392757";0;5;0;9;"0";"0.00403238455498206";0;"integral component of membrane, extracellular vesicular exosome, plasma membrane";0,00197628458498024;"glucose transmembrane transporter activity"
"64";"P11586";81;81;"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";2;2;"2.66237350490332E-4";0;2;0;2;"0";"4.7535656310662E-4";0;"extracellular vesicular exosome, mitochondrion, cytosol";0,00043917435221783;"methenyltetrahydrofolate cyclohydrolase activity, formate-tetrahydrofolate ligase activity, methylenetetrahydrofolate dehydrogenase (NADP+) activity, methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity, ATP binding"
